	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1257.mec1_plus_gamma_120_min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6824.Sporulation t0"	"7542.DES459 (mec1) - log phase (MMS time "	"8193.steady state 15 dec C"	"8204.steady state 29 dec C"	"8230.dtt 060 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YDR451C"	0.308	0.186	0.134	0.382	-0.225	-0.874	-0.298	-0.575	0.152	0.93	-0.167	-1.737	-1.085	-1.683	-2.638	0.847	0.196	0.328	-0.884	-0.376	-0.224	-0.817	-1.105	-0.476	0.08	0.17	0.331	0.143	0.002	0.073	0.131	-0.278	-0.293	-0.255	0.255	-1.602	-0.111	0.784	0.902	-0.66	-0.376	-0.077	0.054	0.018	0.59	-0.039	-0.049	0.15	-1.636	-1.17	-1.568	-0.004	-0.01	-1.721	-1.545	0.148	-0.102	0.202
"YDR474C"	1.948	1.431	1.759	1.595	1.866	1.585	0.807	2.283	1.984	1.586	1.836	1.71	2.703	0.046	-1.684	1.295	0.899	0.834	0.539	0.276	0.411	1.325	0.871	0.316	0.0	-0.005	-0.438	-0.241	0.492	0.467	0.099	0.369	-0.127	-0.165	0.601	0.995	0.138	0.356	0.085	1.486	1.173	1.878	1.569	0.737	0.752	0.098	0.789	0.395	1.402	-0.631	1.061	-0.173	0.86	1.373	0.535	0.479	0.074	0.6
"YER117W"	-1.836	-1.667	-1.868	-2.379	-2.386	-3.056	-1.02	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-2.458	-3.05	-3.141	-0.388	-3.768	-1.917	-2.534	-2.571	-0.153	0.568	0.217	0.248	0.265	-0.327	0.308	-0.789	0.174	0.631	-0.004	-1.573	-1.876	-0.225	-1.623	-2.116	-3.314	-2.377	-1.067	-1.674	-1.503	-0.386	-0.035	0.121	0.012	-3.319	-2.632	-2.403	-0.019	0.069	-3.238	-3.345	-2.147	0.179	-0.525
"YER156C"	-2.471	-2.725	-2.771	-1.843	-2.542	-2.112	-1.4	-3.105	-2.154	-1.121	-2.374	-1.3	-1.659	-1.153	-3.573	-2.009	-2.475	-2.482	-0.883	-1.496	-1.192	-1.186	-1.949	-0.995	-0.696	0.268	0.064	-0.252	-0.37	-0.462	-0.812	0.148	-0.051	0.192	-0.755	-1.711	-0.2195	-0.663	-0.683	-2.306	-2.803	-2.157	-1.602	-0.634	-0.075	-0.205	0.138	-0.179	-0.625	-1.289	-0.994	0.475	0.18	-2.471	-2.602	-1.809	0.104	-0.57
"YGL102C"	-1.212	-1.346	-1.538	-1.384	-2.074	-2.584	-0.538	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-3.301	-3.227	-0.516	-3.32	-1.921	-2.077	-2.144	-0.264	0.473	-0.091	-0.009	0.269	-0.466	-0.26	-0.79	0.153	0.479	0.439	-1.881	-2.146	-0.054	-0.861	-1.483	-2.437	-2.289	-1.524	-1.496	-1.486	-0.519	0.276	0.632	0.63	-3.42	-2.202	-1.7	0.521	0.497	-3.272	-2.955	-2.203	0.426	0.261
"YGL103W"	-1.262	-1.382	-1.794	-1.348	-2.193	-2.762	-1.077	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-5.266	-2.039	-3.266	-2.763	-0.519	-3.07	-1.762	-1.73	-2.048	-0.54	0.094	-0.131	-0.538	0.023	-0.334	0.098	-0.441	-0.217	0.375	0.106	-2.136	-1.88166666666667	-0.0218	-1.415	-1.373	-2.243	-2.276	-1.086	-1.845	-1.458	-0.699	0.291	0.669	0.68	-2.976	-2.146	-1.398	0.741	0.378	-3.189	-2.934	-2.202	0.532	-0.366
"YGL111W"	-2.705	-2.012	-2.506	-2.165	-2.854	-2.867	-2.19	-3.668	-1.845	-1.719	-1.627	-1.26	-2.081	-2.589	-2.826	-1.167	-2.085	-1.026	-1.242	-2.617	-1.672	-1.665	-1.401	-1.587	-0.072	-0.17	-0.055	-0.188	-1.057	-0.033	-1.192	-0.422	0.115	-0.316	-1.04	-1.525	-0.201	-1.262	-0.934	-2.724	-3.188	-2.001	-2.456	-0.795	0.419	-0.494	-0.409	-1.2	-2.663	-2.385	-1.839	-0.282	0.081	-3.063	-1.924	-1.524	-0.236	-1.06
"YGL120C"	-3.316	-3.34	-3.231	-3.301	-3.954	-3.877	-1.855	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.085	-3.171	-3.229	-1.816	-3.459	-2.023	-2.178	-1.783	-1.395	-0.29	-0.086	-0.136	-0.349	-0.894	-0.06	-1.385	-0.151	0.226	0.004	-1.354	-2.122	-0.403	-2.989	-2.071	-3.8	-3.466	-2.416	-2.286	-1.291	-0.128	-0.015	0.166	-0.628	-2.891	-3.416	-1.183	0.424	0.325	-3.546	-0.554	-2.329	0.104	-0.604
"YGL123W"	-1.71	-2.094	-2.557	-2.339	-3.47	-4.378	-1.363	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.013	-4.112	-3.654	-0.539	-3.511	-2.071	-2.414	-2.278	-0.144	0.253	0.04	0.225	0.42	-0.514	-0.079	-1.025	0.03	0.584	0.137	-1.983	-2.357	0.078	-1.745	-2.237	-3.308	-2.292	-1.348	-1.987	-1.488	-0.797	0.822	0.292	-0.365	-4.217	-3.27	-2.813	0.49	0.525	-4.123	-3.488	-2.693	0.385	-0.276
"YGL135W"	-1.664	-2.365	-2.285	-2.468	-3.231	-3.984	-1.047	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-2.615	-3.217	-3.23	-0.503	-3.581	-2.03	-2.512	-2.692	-0.065	0.292	-0.099	-0.12	-0.246	-0.656	0.082	-0.499	0.064	0.244	0.587	-1.561	-2.233	0.893	-2.046	-2.497	-3.406	-2.824	-1.612	-1.861	-1.859	-0.292	-0.325	0.193	-0.344	-3.443	-2.903	-2.236	-0.108	0.113	-3.617	-3.009	-1.968	0.164	-0.711
"YGL147C"	-2.372	-2.337	-3.006	-2.704	-4.102	-4.319	-1.272	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-2.882	-3.0	-3.753	-0.733	-4.384	-2.459	-2.874	-3.388	-0.493	0.043	0.008	0.094	-0.229	-0.625	0.22	-0.479	-0.494	0.465	0.712	-2.28	-2.532	-0.057	-1.167	-2.428	-3.829	-2.3925	-1.8665	-2.087	-2.3285	-0.322	0.405	0.348	0.1065	-3.1805	-2.6025	-3.0	0.282	0.4845	-3.1585	-3.3875	-2.3945	0.2635	-0.2545
"YGR034W"	-2.251	-2.125	-2.191	-2.26	-3.059	-2.884	-1.764	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-3.268	-2.935	-0.376	-3.635	-2.067	-2.022	-2.01	-0.518	0.298	0.179	0.115	0.24	-0.498	0.093	-0.386	-0.287	0.38	0.524	-2.337	-1.469	-0.414	-1.611	-2.06	-2.708	-2.451	-0.862	-2.186	-1.714	0.231	0.055	0.211	0.583	-2.986	-3.003	-2.725	0.226	0.519	-4.347	-3.643	-2.741	0.271	0.286
"YGR130C"	2.532	2.556	2.5215	2.343	2.727	2.42	1.165	2.297	1.554	1.54	2.489	1.688	1.313	1.441	-1.064	2.377	2.109	2.538	1.04	1.238	1.103	1.427	0.785	1.06	0.125	-0.212	-0.179	0.097	0.762	-0.205	NaN	0.234	-0.365	-0.156	0.26	1.9315	-0.3055	1.139	1.002	2.443	2.842	2.021	2.165	0.808	0.3	0.844	0.918	0.51	2.274	1.905	0.84	0.22	0.237	2.995	1.727	1.221	0.438	0.789
"YHL011C"	-2.744	-2.4425	-2.467	-2.107	-3.0145	-3.024	-1.817	-2.604	-1.684	-1.225	-1.072	-0.736	-1.162	-2.023	-3.592	-1.461	-2.503	-2.019	-0.853	-1.801	-0.989	-1.128	-1.272	-0.567	-0.124	0.093	0.158	0.191	-0.885	0.292	-0.466	0.156	0.436	0.227	-0.296	-1.063	-0.485	-2.065	-1.707	-3.2715	-2.38	-1.532	-2.437	-0.978	-0.113	0.131	0.35	-0.152	-2.033	-1.74	-0.172	0.536	0.495	-2.086	-0.98	-1.253	0.576	-0.615
"YHR066W"	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-2.046	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	-3.164	-5.203	-2.29	-2.974	-2.008	-1.469	-2.742	-1.611	-1.41	-1.569	-1.181	0.069	-0.036	-0.341	-0.403	-1.159	0.071	-0.456	-0.044	0.085	-0.807	-1.507	-1.372	0.33	-1.28	-0.692	-4.347	-3.068	-1.906	-2.219	-0.845	-0.163	-0.197	-0.062	-0.263	-1.623	-1.898	-0.729	0.192	0.245	-2.382	-1.908	-1.368	0.536	-1.118
"YHR089C"	-4.5225	-3.925	-3.658	-3.523	-4.938	-4.6915	-2.977	-3.409	-3.231	-2.709	-2.468	-2.358	-2.702	-2.601	-4.276	-1.808	-2.292	-1.864	-1.143	-4.426	-3.154	-3.217	-3.48	-1.461	-0.445	-0.124	-0.162	0.204	-1.81	0.141	-1.738	0.428	0.016	-0.194	-1.661	-2.189	0.102	-3.038	-2.255	-4.9325	-3.579	-1.269	-3.412	-1.77	-0.608	0.204	0.37	0.086	-2.523	-2.905	-1.029	0.032	0.259	-3.956	-3.219	-2.005	0.741	-0.64
"YHR203C"	-1.486	-1.5815	-2.0645	-1.915	-2.8785	-3.5975	-0.834	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-2.51	-3.917	-3.774	-0.804	-4.669	-2.276	-2.437	-2.591	-0.423	-0.136	0.083	0.137	0.242	-0.357	0.058	-0.494	-0.273	0.61	0.721	-1.982	-2.302	-0.295	-1.168	-2.11	-2.809	-2.942	-1.743	-1.471	-1.05	-0.276	-0.108	0.323	-0.061	-4.467	-3.308	-2.46	0.162	0.172	-3.717	-3.449	-2.785	0.133	-0.062
"YHR216W"	-1.6175	1.047	-1.8525	-1.571	-1.9425	-2.8755	-0.71	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-1.841	-1.762	-2.914	0.344	-2.554	-0.935	-2.088	-2.767	-0.175	-0.351	0.294	0.334	0.148	-0.198	-0.081	-0.09	0.477	0.236	0.212	-0.896	-1.783	-0.482	-1.733	-1.656	-2.9045	-2.155	-1.434	-2.258	-1.101	-0.169	0.27	0.28	-0.073	-2.109	-3.074	-2.509	-0.193	-0.139	-3.001	-2.823	-2.765	-0.059	-0.35
"YIL052C"	-2.0235	-1.6215	-2.1565	-1.989	-2.7275	-2.972	-1.116	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.539	-2.82	-2.793	-0.437	-4.174	-2.279	-2.271	-2.546	-0.284	0.332	0.373	-0.026	0.257	-0.392	-0.239	-1.014	-0.577	0.094	0.205	-2.17	-1.743	-0.647	-0.844	-1.821	-2.531	-2.337	-0.963	-1.081	-1.525	-0.248	0.949	0.088	0.413	-3.32	-2.562	-2.217	0.933	0.291	-2.821	-2.677	-1.94	0.431	-0.259
"YJL011C"	-0.450666666666667	0.411	-0.349	-0.787333333333333	-1.194	-1.35133333333333	-0.3955	-0.175	-0.2355	-0.342	-0.311	-0.6395	-0.293	-0.699	-2.389	-0.1805	-0.1405	-0.593	-0.571	-1.816	-1.101	-1.0515	-1.54	-0.9985	0.0155	0.0855	-0.005	-0.081	-0.2725	0.122	-0.3415	-0.009	-0.264	0.136	-0.433	-0.571	-0.046	-0.291	-0.191	-1.324	-2.215	-1.399	-1.591	-0.499	0.162	-0.062	0.197	0.151	-0.834	-1.094	-0.307	0.331	-0.217	-2.744	-1.98	-0.5	1.027	-0.029
"YJL122W"	-3.1605	-2.3075	-2.6115	-2.3555	-3.015	-2.6085	-2.0	-4.13	-2.475	-2.636	-2.364	-2.423	-1.794	-3.846	NaN	-2.124	-2.718	-2.694	-1.984	-1.834	-1.836	-1.889	-1.753	-1.628	-0.004	0.063	-0.442	-0.59	-1.355	-0.222	-1.423	0.149	0.217	-0.348	-1.155	-1.219	0.416	-2.97	-0.941	-2.9625	-3.081	-2.605	-2.196	-1.794	-1.165	-0.956	-0.819	-0.605	-2.529	-2.241	-1.562	-0.624	-0.486	-3.406	-2.805	-1.521	-0.134	-1.368
"YJL190C"	-2.166	-2.292	-2.525	-2.8085	-3.022	-3.838	-1.283	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-3.969	-3.744	-0.403	-4.469	-2.547	-3.105	-3.227	-0.265	0.398	0.188	0.16	0.362	-0.463	0.1	-0.056	0.219	0.708	0.435	-2.139	-2.43	0.243	-2.107	-2.806	-3.7855	-3.078	-2.014	-2.354	-1.994	-0.276	0.507	0.217	-0.193	-4.772	-3.912	-3.608	-0.204	0.062	-4.874	-4.273	-3.311	-0.03	-0.372
"YJR079W"	0.847	0.9575	0.8385	0.971	0.6785	0.402	0.621	1.881	2.516	2.015	1.664	1.089	1.48	-0.311	-0.374	0.595	0.632	0.664	0.21	2.165	1.207	0.568	0.761	0.47	0.106	0.054	0.33	0.225	0.016	0.509	-0.103	0.372	0.01	0.415	0.995	0.666	0.334	0.655	0.839	0.405	-0.1	-0.077	0.264	0.164	-0.054	-0.102	-0.244	-0.178	0.246	0.965	0.52	-0.187	0.095	1.259	1.432	1.107	-0.417	0.21
"YKL091C"	4.009	3.776	3.851	2.683	3.567	3.623	1.543	5.27	3.548	3.187	3.034	2.301	2.535	2.96	0.173	2.75	3.432	2.619	1.47	3.642	2.481	1.844	1.293	1.699	-0.264	0.219	0.223	0.234	0.819	0.138	0.7	0.231	0.101	0.177	0.892	1.133	-0.016	1.483	1.857	3.699	3.205	2.553	2.597	1.576	0.949	0.737	0.977	0.774	3.707	2.805	1.478	-0.312	0.538	4.146	3.248	2.188	0.017	1.461
"YLL044W"	-1.737	-2.245	-2.526	-2.196	-3.582	-4.162	-1.173	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-3.313	-3.031	-0.866	-3.872	-1.944	-2.654	-2.736	-0.106	0.198	0.292	0.289	0.001	-0.218	-0.024	-0.863	-0.1	0.294	-0.03	-2.173	-2.227	-0.136	-1.532	-2.312	-3.517	-2.328	-1.637	-2.048	-1.407	-0.293	0.875	0.482	0.391	-3.189	-2.774	-2.055	0.452	0.47	-3.806	-2.77	-2.196	0.324	-0.157
"YLL045C"	-1.746	-2.108	-2.105	-2.319	-3.116	-3.722	-0.961	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-3.169	-3.335	-0.87	-3.66	-2.096	-2.604	-2.495	0.085	0.362	0.184	-0.092	-0.06	-0.299	0.258	-0.565	0.038	0.908	0.313	-1.957	-2.165	0.233	-1.497	-2.279	-3.545	-2.751	-1.345	-1.04	-1.119	-0.123	0.484	0.3	-0.323	-3.449	-2.833	-2.875	-0.164	0.064	-3.788	-3.87	-2.635	0.015	-1.177
"YLR003C"	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-2.485	-3.378	-2.664	-2.083	-1.89	-1.349	-1.803	-3.993	-3.267	-1.976	-2.206	-1.397	-1.007	-3.393	-1.951	-1.333	-1.316	-1.368	0.178	-0.182	-0.228	-0.37	-1.268	-0.207	-0.255	0.081	0.365	-0.256	-1.447	-0.83	-0.514	-1.304	-0.949	-3.305	-2.573	-1.447	-2.402	-1.32	-0.654	-0.561	-0.548	-0.708	-2.516	-1.754	-1.05	-0.434	-0.366	-3.839	-2.794	-1.764	-0.165	-0.879
"YLR215C"	-0.973	-0.947	-0.888	-0.753	-0.993	-0.848	-0.726	-1.234	-1.072	-0.754	-0.65	-0.197	-0.585	-1.236	-3.445	0.159	-0.983	-1.008	-0.529	-0.761	-0.647	-0.386	-0.386	-1.162	-0.291	-0.08	-0.06	-0.115	-1.023	0.31	-0.3	-0.011	0.0	-0.07	-0.322	-0.95	0.255	-0.046	-0.259	-1.032	-1.47	-1.306	-1.697	-0.992	-0.119	-0.455	-0.081	-0.479	-2.566	-1.381	-0.36	-0.709	-0.289	-1.766	-1.451	-1.5	0.231	-0.345
"YLR325C"	-1.897	-1.784	-1.721	-1.92	-2.61	-3.056	-0.906	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-2.676	-3.178	-3.753	-0.307	-4.948	-2.81	-2.802	-3.314	-0.22	0.406	0.085	0.025	0.343	-0.309	0.028	-0.05	-0.238	0.532	0.514	-2.301	-2.253	-0.031	-1.3	-1.841	-2.735	-1.941	-1.328	-1.548	-1.379	-0.682	0.577	0.568	1.073	-2.769	-2.034	-1.466	0.922	0.16	-2.866	-2.701	-2.834	0.925	0.191
"YLR397C"	-1.872	-1.586	-1.419	-1.265	-1.312	-1.133	-1.432	-2.71	-2.159	-1.356	-1.446	-1.044	-1.115	-1.226	-3.405	-0.953	-1.514	-1.327	-1.194	-1.345	-1.507	-0.787	-1.066	-0.75	-0.156	-0.317	-0.309	-0.305	0.063	-0.136	-0.339	-0.37	-0.044	-0.317	-0.786	-1.123	0.337	-0.751	-0.715	-1.45	-2.458	-2.074	-2.123	-0.545	-0.557	-0.195	0.323	-0.018	-0.839	-0.832	-1.248	0.529	0.13	-2.467	-1.639	-1.818	0.124	-0.783
