	"107.heat shock 10 min"	"108.heat shock 15 min"	"404.W303a vs GZY29-3b"	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"975.1 mM Menadione (105 min) redo"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"6668.wt - 0.1 mM H2O2 - 10 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"21660..24 mM H2O2- 120 minutes"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"
"YGL180W"	0.93	1.881	0.536	1.117	0.839	1.411	1.106	1.294	0.694	2.411	1.867	2.401	2.398	2.906	2.944	4.3	2.412	1.787	1.466	1.363	0.415	0.367	2.159	2.399	2.973	3.256	2.738	2.877	2.817	1.351	0.755	1.115	2.144	2.212	2.458	2.691	2.474	2.664	-0.378	0.711	-0.19
"YGL184C"	0.139	0.467	-0.678	0.585	0.748	1.629	0.945	1.614	0.924	1.305	1.095	1.838	2.0	3.012	4.156	3.784	2.78	2.013	1.786	1.508	0.3	-0.345	1.349	1.688	2.152	1.432	2.004	3.576	2.512	1.012	0.478	1.144	2.011	0.564	1.262	1.984	2.273	3.465	-0.684	-0.087	-0.283
"YGR201C"	1.2505	1.9395	-0.0485	1.412	0.234	0.724	1.272	1.488	1.144	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.68	2.97	2.896	3.228	0.041	1.092	2.855	2.842	3.597	2.109	2.914	5.103	3.769	2.061	-0.17	2.156	3.357	0.946	2.825	2.23	1.778	2.563	0.533	0.127	-0.023
"YHR160C"	1.224	1.4005	0.5885	0.459	0.047	0.501	0.594	0.857	0.355	2.803	2.285	3.129	2.892	3.668	3.757	5.293	2.099	2.171	1.972	0.87	-0.1115	-0.126	2.914	1.936	1.829	2.887	3.407	3.939	3.173	1.186	-0.037	0.769	1.422	1.995	2.57	2.466	2.55	3.31	-0.061	-0.428	-0.17
"YIL146C"	0.075	0.2955	0.3905	0.798	-0.449	-0.251	-0.074	-0.163	-0.211	2.334	2.196	2.111	2.234	2.539	2.94	3.637	2.194	0.997	1.658	1.857	-0.0965	0.033	2.306	1.867	2.177	2.693	3.595	3.491	2.947	1.522	-0.087	0.581	1.477	2.292	2.114	2.336	1.873	2.441	-1.017	-0.434	-0.32
"YJL163C"	2.5895	3.0055	0.9245	1.04	1.775	1.559	1.842	1.566	1.112	3.842	2.233	3.424	2.79	3.922	3.8	5.291	3.049	1.743	1.552	1.668	0.918	0.866	3.863	3.154	4.047	4.772	5.26	5.571	4.674	2.308	-0.452	1.175	1.213	2.517	2.537	3.309	1.252	3.589	1.141	-0.009	0.347
"YJR094C"	-0.1505	-0.161	0.064	0.415	-0.362	-0.474	-0.329	-0.652	-0.929	0.175	-0.149	0.271	0.26	1.419	2.035	2.352	2.407	0.122	1.164	1.271	-0.308	-0.191	0.437	0.676	0.769	2.434	1.549	1.155	1.639	0.032	-0.339	-0.074	0.635	-0.426	-0.258	1.545	2.503	3.476	-0.737	-0.348	-0.277
"YKL064W"	0.823	0.983	0.635	-0.091	0.197	0.404	0.363	0.532	0.208	1.385	0.893	0.888	0.571	1.432	1.627	2.15	1.25	1.532	1.199	0.919	0.132	0.245	1.399	0.981	1.674	1.789	1.821	1.291	1.302	1.198	0.055	0.524	1.024	0.721	1.107	1.641	1.617	1.1	0.468	-0.028	0.003
"YKR097W"	0.049	0.121	1.281	3.251	-0.162	-0.1	0.111	0.107	0.294	5.028	6.83	7.19	6.862	7.33	5.367	5.07	4.713	0.58	5.974	6.148	0.212	1.079	6.922	6.534	5.735	5.448	6.528	6.693	5.565	4.283	0.225	0.936	5.059	1.384	2.05	3.289	3.323	4.123	0.88	-0.364	0.172
"YLR142W"	2.594	3.058	1.23	1.781	0.167	0.14	0.641	0.669	0.296	3.095	4.015	5.049	5.05	5.354	5.307	6.188	5.372	4.467	4.387	4.716	-0.216	0.89	4.418	4.268	4.522	5.09	3.893	5.129	4.349	3.052	0.45	2.974	3.391	5.382	5.132	4.875	5.459	5.902	-0.108	1.42	0.946
"YLR189C"	0.484	0.918	0.049	-0.202	-0.187	-0.23	-0.241	-0.229	-0.487	0.744	0.353	1.124	0.838	1.235	1.353	1.996	1.296	0.998	0.988	0.469	0.058	-0.001	0.401	0.944	1.67	1.597	1.583	0.938	1.194	0.984	-0.247	0.482	0.982	1.16	1.443	1.707	1.692	1.456	-0.12	-0.362	-0.205
"YLR246W"	0.975	1.001	0.391	0.78	0.147	0.339	0.427	0.645	0.407	1.539	1.682	1.763	1.901	2.089	2.836	2.503	1.083	0.655	0.527	0.39	0.416	-0.126	1.861	1.556	1.704	2.228	2.212	2.565	2.24	1.104	-0.125	1.02	1.008	2.279	1.455	2.156	1.839	2.368	-0.93	-1.117	-0.11
"YLR312C"	2.513	3.556	1.047	1.801	0.877	1.064	0.655	-0.461	-0.455	4.821	5.627	6.446	5.561	5.97	4.818	6.051	6.5	2.674	4.286	4.34	0.678	1.434	4.955	5.214	4.896	5.569	6.764	7.043	6.406	2.783	0.672	1.737	3.462	4.649	4.618	4.916	4.296	5.025	0.215	-0.057	-0.218
"YML034W"	-0.129	0.138	0.127	0.152	-0.227	0.092	0.066	-0.071	-0.225	0.621	0.502	1.107	0.665	0.637	0.793	1.585	0.316	0.774	0.364	0.312	-0.261	0.0175	-0.011	0.308	0.77	0.963	1.628	1.883	1.319	0.429	-0.0935	0.212	0.1405	0.988	0.934	1.282	1.024	1.091	-0.4005	-0.0585	-0.24
"YMR081C"	2.043	1.638	0.213	0.727	0.791	1.542	1.187	0.981	0.56	5.134	4.866	4.127	4.854	4.825	5.524	6.678	3.83	5.535	4.182	4.914	0.0	-0.388	5.537	4.601	3.765	5.056	4.13	4.987	4.226	2.79	-0.354	0.445	4.371	2.369	3.016	3.007	3.482	3.108	-0.005	0.039	0.157
"YMR255W"	0.588	-0.068	0.313	-0.716	0.204	0.151	-0.154	0.122	0.007	0.72	0.929	0.446	0.47	1.128	1.222	2.588	1.478	1.602	1.44	1.619	0.157	-0.205	0.851	0.67	0.89	1.008	1.786	1.813	1.666	1.169	-0.457	-0.117	0.488	1.318	1.268	1.311	1.572	1.494	-0.3735	0.294	0.218
"YOL044W"	0.489	-0.079	0.123	0.485	-0.281	-0.285	-0.356	0.161	0.101	1.045	0.306	0.234	0.755	1.867	1.103	2.251	1.3815	1.101	1.059	1.9285	0.402	-0.453	0.984	0.715	0.655	1.375	1.077	1.015	1.077	0.716	0.009	0.095	1.153	1.442	1.578	1.423	1.917	2.025	-0.385	0.625	0.055
"YOR032C"	0.602	0.898	-1.619	1.064	0.727	0.898	0.976	-0.259	0.434	1.409	0.91	1.8835	2.276	2.372	2.21	3.784	3.271	1.9435	1.946	2.901	-0.149	-0.376	1.009	1.033	2.599	2.772	3.53	4.701	3.536	1.357	0.164	0.7925	1.863	1.62	2.379	3.006	2.397	2.188	-1.422	-0.188	-0.203
"YOR178C"	2.72	3.206	1.412	1.411	0.902	1.479	1.12	-0.097	-0.531	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.121	2.623	2.2575	2.2275	-2.132	-0.108	3.591	4.802	5.508	5.525	6.246	5.242	4.229	2.585	-0.155	-0.23	3.538	2.812	3.601	3.712	3.702	3.655	-0.647	-0.239	-0.276
"YPL054W"	2.401	2.358	1.671	1.771	1.982	2.818	1.67	1.771	0.993	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	3.385	5.1485	4.589	0.651	1.007	0.465	5.006	4.065	4.256	4.91	5.184	5.018	3.449	2.322	0.076	1.0725	4.457	4.466	4.26	4.568	4.886	4.785	-0.087	-0.333	-0.701
"YPR025C"	-0.099	0.095	0.011	0.108	0.167	0.2935	0.1585	0.1895	0.0375	0.921	0.1555	0.555	0.725	0.9645	1.4305	2.2715	1.8105	0.3485	0.0275	0.391	-0.093	-0.609	0.311	0.544	1.214	1.421	1.739	2.296	2.454	0.614	-0.475	-0.087	0.591	0.671	0.493	1.013	0.892	0.79	-0.214	0.131	-0.33
"YPR049C"	0.321	0.1195	-0.0015	0.624	-0.164666666666667	0.056	-0.084	0.037	0.100333333333333	0.953333333333333	1.08666666666667	1.18466666666667	1.38933333333333	1.679	2.121	2.34566666666667	1.69966666666667	0.571666666666667	0.793666666666667	1.18933333333333	0.007	0.732	1.033	1.119	1.5345	1.8485	2.0825	1.4045	1.546	0.295	0.4435	0.334666666666667	1.1935	1.1535	1.805	1.9485	1.605	1.4575	0.055	-0.195	-0.047
