	"103.alpha factor release sample026"	"497.Heat Shock 000 minutes"	"585.21 deg growth"	"597.25 deg growth"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"13060.wt/crz1 Na 45min (2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YEL027W"	0.336	0.472	-0.056	-0.202	0.144	0.543	-0.909	-0.366	-0.609	-1.504	-1.527	-2.097	-3.096	-1.251	-1.138	-1.56	-0.203	-0.955	-0.73	-0.347	-0.522	-0.827	0.399	0.016	0.288	-0.278	0.268	-0.598	0.178	0.125	0.618	0.604	0.47	-0.942	0.193	0.1545	-0.301	-0.858	-0.29	-0.66	-0.424
"YEL034W"	-0.049	0.484	-0.135	0.207	0.335	0.441	-1.287	-0.512	-0.63	-0.203	-0.555	-0.966	-3.471	-0.819	-1.288	-1.447	-0.919	-1.013	-0.916	-0.216	-0.969	-2.125	0.166	0.285	0.345	0.115	0.272	0.156	0.306	0.571	1.106	0.718	0.291	-0.4865	-0.2255	0.183	-1.25	-1.054	-0.467	-0.338	-0.605
"YEL054C"	0.502	1.093	0.336	0.466	0.547	1.203	-3.654	-2.711	-2.761	-1.871	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	-3.347	-2.777	-2.579	-2.504	-3.005	-3.554	0.369	0.032	0.396	0.091	0.346	0.171	0.881	0.362	1.382	1.149	0.343	-2.202	-0.228	0.33	-4.422	-2.487	-3.815	-2.936	-2.194
"YER006W"	0.237	1.191	0.529	0.493	0.067	0.969	-4.011	-2.738	-2.065	-2.285	-2.061	-2.345	-4.571	-1.934	-1.931	-1.673	-2.857	-2.01	-1.682	-2.195	-2.03	-3.232	0.049	0.166	0.07	-0.159	-0.234	0.132	0.39	0.369	0.724	0.535	0.356	-1.125	-0.327	0.2635	-0.701	-1.381	-1.851	-1.301	0.127
"YER043C"	0.553	1.109	0.251	0.231	0.191	0.891	-3.945	-1.445	-1.979	-2.553	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.583	-3.174	-3.716	-3.31	-4.857	-4.918	0.405	0.049	0.47	-0.103	0.078	-0.009	0.444	0.35	0.527	0.577	0.714	-1.415	-0.513	0.0	-3.094	-2.542	-2.164	-2.202	-1.71
"YER090W"	0.077	0.672	-0.307	-0.032	0.1	0.427	-2.556	-1.619	-1.095	-1.299	-1.173	-3.804	-5.004	-2.439	-2.138	-1.889	-1.857	-1.078	-1.311	-2.327	-2.585	-3.495	0.15	-0.028	0.01	-0.122	0.039	-0.111	-0.068	0.181	0.477	0.463	-0.432	-0.819	0.125	-0.001	-1.276	-1.879	-1.123	-0.297	-1.05
"YER102W"	0.532	1.351	0.418	0.268	0.447	1.084	-3.932	-3.965	-3.177	-2.924	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	0.501	-0.405	0.563	0.299	0.334	0.068	0.683	0.546	1.012	0.728	0.564	-2.388	0.126	0.529	-3.324	-2.758	-2.385	-2.329	-2.436
"YER126C"	0.335	0.995	0.945	0.803	0.244	1.185	-4.455	-2.713	-2.384	-1.898	-2.335	-2.608	-5.367	-2.355	-2.036	-1.58	-2.303	-1.206	-1.723	-1.575	-2.584	-2.842	0.197	-0.346	0.123	0.385	0.017	-0.147	1.02	0.277	0.807	0.85	0.105	-1.0895	-0.418	0.09	-2.489	-2.31	-3.761	-2.961	-2.173
"YER131W"	0.242	1.224	0.487	0.078	0.505	1.29	-2.813	-3.262	-2.7	-2.3	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	-4.139	-2.2	-2.498	-2.105	-2.654	-3.304	0.356	0.466	0.573	0.487	0.281	-0.265	1.126	0.715	1.014	1.42	0.56	-2.4735	-0.3265	0.0515	-3.884	-3.237	-3.578	-4.068	-2.732
"YGL031C"	0.469	1.133	0.496	0.443	0.339	1.047	-3.366	-4.285	-3.732	-2.9	-3.104	-3.683	-5.763	-3.041	-2.881	-3.063	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	0.308	0.12	0.335	0.114	0.194	0.03	0.566	0.354	0.979	0.769	0.663	-2.655	0.062	0.267	-3.814	-2.458	-2.773	-2.852	-1.578
"YGL041C"	0.287	0.238	0.01	-0.104	-0.128	0.049	1.793	1.159	1.064	0.083	-0.311	-2.04	-0.898	0.67	0.65	0.548	0.778	-0.278	-0.279	0.107	-0.333	-0.498	-0.031	-0.019	0.148	-0.14	0.056	0.064	-0.055	-0.094	-0.29	0.284	0.376	0.021	-0.172	0.229	2.033	0.925	1.413	1.16	1.339
"YGL076C"	0.175	1.317	0.155	0.243	0.222	1.147	-3.969	-3.136	-2.73	-2.564	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-4.142	-2.568	-2.648	-2.836	-2.79	-3.782	0.275	-0.251	0.069	-0.016	0.104	-0.125	0.434	0.425	1.119	0.934	0.565	-1.8735	0.249333333333333	0.3835	-4.003	-3.509	-3.347	-3.315	-2.544
"YGL086W"	-0.0335	-0.422	0.1185	-0.032	-0.2745	-0.1785	0.3685	0.408	0.1345	0.237	0.0345	-0.5145	-1.8165	0.1495	-0.2625	-0.4595	-0.738	-0.246	-0.392	-0.2275	-0.7735	-0.8325	0.047	0.174	-0.3325	-0.042	0.1975	0.127	0.1265	-0.1225	0.307	0.062	0.04	0.178	0.069	-0.009	-1.36	-1.339	-1.207	-1.114	-1.227
"YGL102C"	0.354	1.138	0.292	0.352	0.434	1.09	-3.419	-2.825	-2.081	-1.973	-2.356	-2.658	-5.65	-3.301	-3.227	-3.132	-3.32	-2.077	-2.144	-1.199	-1.938	-2.13	0.086	-0.17	0.518	0.231	0.021	-0.26	0.977	0.568	1.168	0.956	0.278	-2.146	-0.054	0.519	-3.42	-2.202	-3.272	-2.955	-2.203
"YGL104C"	-0.033	-0.974	0.113	0.159	0.134	-1.036	2.984	2.155	1.754	1.626	1.497	-0.097	-0.792	1.559	0.583	0.806	2.284	1.535	1.466	1.044	1.675	0.977	-0.112	0.102	-0.107	0.422	0.001	-0.391	-0.559	-0.159	-0.627	-0.604	-0.139	1.127	-0.433	-0.092	0.548	0.209	1.442	0.712	-0.18
"YGL234W"	0.249	0.694	-0.612	-0.414	0.055	0.662	-3.06	-2.064	-1.454	-0.802	-1.819	-2.485	-5.74	-2.072	-1.609	-0.87	-1.15	-0.696	-1.082	-0.957	-0.919	-1.198	0.086	0.269	0.529	0.254	NaN	0.088	-0.026	0.321	0.67	0.41	0.155	-1.528	-0.277	0.409	-1.593	-1.723	-1.354	-1.402	-0.886
"YGR027C"	0.107	1.159	0.302	0.132	0.387	1.017	-3.433	-2.572	-1.843	-1.632	-1.697	-2.797	-5.39	-3.005	-2.616	-2.612	-4.002	-1.779	-1.889	-1.187	-1.867	-2.368	0.162	0.662	0.591	0.238	0.319	0.197	0.902	0.494	1.142	1.471	0.595	-1.824	-0.472	0.274	-2.956	-3.132	-3.188	-2.624	-2.011
"YGR085C"	0.287	1.473	0.497	0.456	0.424	1.133	-3.713	-3.301	-2.511	-2.202	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	0.272	0.027	-0.96	0.278	0.311	0.29	0.353	0.605	1.232	0.766	0.538	-2.156	0.409	0.236	-4.004	-2.792	-3.45	-3.003	-2.048
"YGR118W"	0.226	1.216	0.444	0.275	0.419	0.973	-2.621	-2.692	-2.681	-2.455	-1.993	-2.204	-5.471	-2.458	-2.209	-2.183	-3.851	-1.997	-2.117	-1.76	-2.214	-3.141	0.138	-0.009	0.468	0.229	0.3825	-0.191	0.988	0.476	1.028	1.156	0.656	-2.095	-0.179	0.2275	-2.477	-2.162	-2.13	-2.249	-1.697
"YGR148C"	0.242	1.076	0.421	0.399	0.259	0.859	-3.45	-3.596	-3.464	-3.033	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	0.13	0.218	0.022	0.25	-0.28	0.708	0.436	0.917	0.713	0.527	-2.7095	-0.124	0.0495	-3.53	-2.779	-3.103	-2.693	-1.897
"YHR046C"	-0.331	0.453	-0.097	0.015	-0.026	0.499	-1.981	-1.807	-0.96	-0.134	0.725	-2.104	-2.169	-1.261	-1.05	-0.543	-0.677	0.104	-0.031	-0.678	-1.713	-0.802	-0.209	0.057	0.298	0.273	-0.225	0.527	0.474	-0.058	0.594	0.97	-0.759	-0.512	0.306	0.155	-0.767	-2.589	-1.46	-1.643	-1.528
"YHR047C"	-0.102	0.063	-0.523	-0.3	-0.393	0.13	-1.098	-1.272	-1.298	-1.862	-2.047	-3.032	-4.423	-0.188	-0.437	-0.614	-0.677	-1.632	-1.63	-1.978	-3.102	-3.056	-0.109	0.24	0.276	-0.23	0.1175	-0.116	0.408	0.036	0.147	0.292	-0.022	-1.841	0.176	-0.01	-0.806	-1.7	0.117	-0.857	-0.805
"YHR064C"	0.067	0.709	-0.065	0.042	0.035	0.778	-4.543	-2.196	-1.596	-1.668	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-2.977	-1.754	-2.25	-2.957	-3.678	-3.675	-0.017	-0.062	0.392	-0.069	-0.0065	-0.042	0.807	0.677	0.687	0.945	-0.324	-2.056	0.115	0.172	-2.793	-2.097	-2.415	-2.781	-1.789
"YHR068W"	-0.167	0.968	0.213	0.014	0.214	0.941	-3.316	-2.566	-2.252	-2.251	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	-0.125	0.276	0.241	-0.0565	0.011	0.833	0.389	0.495	0.97	-0.048	-2.29	0.437	0.06	-2.437	-2.467	-2.406	-2.362	-1.8
"YHR204W"	0.173	0.745	-0.201	-0.003	0.056	0.67	-1.236	-0.465	-0.285	-0.373	-0.642	-1.658	-2.025	-1.294	-0.997	-0.806	-0.97	-0.697	-0.447	-0.668	-0.88	-1.121	-0.081	0.33	0.175	0.26	-0.0865	-0.188	0.346	0.224	0.259	0.721	0.032	-0.26	-0.288	0.183	-1.518	-1.648	-1.497	-1.541	-1.259
"YHR216W"	-0.08	1.01	0.521	0.286	0.405	0.917	-2.62	-2.056	-2.143	-1.201	-2.045	-3.15	-4.943	-1.762	-2.914	-3.038	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.225	-0.039	0.042	0.163	0.1095	-0.081	0.636	0.323	0.904	0.527	0.841	-1.783	-0.482	-0.039	-2.109	-3.074	-3.001	-2.823	-2.765
"YIL133C"	0.496	1.02	0.129	0.212	0.26	0.983	-3.333	-3.196	-3.135	-2.331	-2.883	-2.693	-5.79	-2.93	-2.571	-2.194	-4.433	-2.465	-2.757	-2.615	-3.007	-3.393	0.204	0.002	0.429	0.235	0.179	-0.165	1.021	0.612	1.125	0.815	0.287	-2.13	-0.45	-0.044	-4.387	-3.183	-4.098	-3.154	-2.466
"YIR026C"	-0.031	0.96	0.593	0.312	0.147	1.1	-4.983	-2.403	-2.432	-2.146	-2.2	-4.02	-4.724	-2.112	-2.284	-1.499	-0.988	-1.886	-1.544	-1.519	-2.47	-1.168	0.007	-0.278	-0.094	0.057	-0.2175	-0.242	0.242	0.253	0.719	0.958	-0.134	-1.804	-0.581	0.113	-1.822	-1.135	-2.578	-1.739	-1.698
"YJL125C"	-0.23	0.945	0.294	0.19	0.101	0.853	-2.303	-1.93	-2.066	-1.635	-0.934	-2.343	-4.009	-1.988	-1.388	-1.484	-1.688	-0.819	-0.974	-1.983	-1.697	-1.865	-0.017	-0.035	0.154	0.278	-0.099	-0.051	-0.067	0.046	0.664	0.439	0.133	-1.07	0.1	0.25	-1.15	-1.094	-1.31	-1.121	-1.091
"YJL148W"	-0.188	1.362	0.747	0.849	0.597	1.211	-3.572	-2.334	-2.266	-1.974	-1.709	-2.742	-4.104	-3.006	-1.938	-2.149	-3.662	-2.572	-2.639	-2.998	-3.352	-3.666	-0.205	0.039	-0.022	-0.06	-0.2685	-0.208	0.218	0.568	0.531	0.701	0.464	-1.839	-0.582	0.208	-3.568	-2.484	-3.944	-2.823	-2.113
"YKL119C"	-0.043	0.171	0.173	0.128	0.113	0.064	-0.208	-0.661	-0.889	-0.855	-0.428	-3.005	-2.274	-0.138	-0.152	-0.233	-0.898	-0.78	-1.062	-1.549	-2.161	-1.891	0.112	-0.117	0.138	-0.289	0.035	-0.349	-0.132	0.019	-0.051	0.353	0.199	-0.15	0.076	0.037	-0.651	-0.928	-0.462	-1.057	-0.59
"YKR092C"	-0.121	0.585	-0.128	0.015	-0.115	0.799	-3.321	-2.765	-2.665	-2.556	-2.63	-2.016	-2.54	-2.076	-1.729	-2.186	-1.592	-1.026	-1.62	-0.709	-0.639	-0.778	-0.106	0.29	0.154	-0.253	-0.054	0.064	0.407	0.039	0.902	0.433	0.106	-2.882	0.061	-0.024	-2.126	-1.877	-3.872	-2.601	-1.732
"YKR094C"	-0.121	0.976	0.327	0.345	0.356	0.977	-3.138	-2.914	-2.619	-2.274	-2.41	-2.464	-4.383	-2.102	-2.333	-1.972	-2.785	-1.746	-1.839	-1.792	-2.197	-2.387	0.144	-0.168	0.257	0.016	0.221	-0.246	0.323	0.352	1.061	0.704	0.253	-2.035	-0.476	0.292	-3.423	-2.549	-3.694	-3.422	-2.865
"YLL038C"	-0.023	0.363	-0.22	-0.397	-0.264	0.212	NaN	-2.13	3.138	-1.596	NaN	-5.502	-4.528	0.317	-2.793	-0.443	-0.136	-0.696	-1.031	-0.555	-0.6	-0.87	-0.069	0.094	NaN	0.015	0.284	-0.088	-0.148	-0.024	-0.498	0.529	-0.005	-0.494	-0.458	-0.031	0.734	0.925	0.731	0.408	0.508
"YLL045C"	0.341	1.394	0.465	0.333	0.374	1.348	-3.851	-3.176	-2.506	-2.189	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	0.209	-0.042	0.515	0.223	-0.056	0.258	0.972	0.549	1.356	0.864	0.456	-2.165	0.233	0.219	-3.449	-2.833	-3.788	-3.87	-2.635
"YLR029C"	0.168	1.094	0.411	0.337	0.223	0.903	-3.174	-2.641	-3.465	-2.572	-3.108	-3.615	-6.877	-2.777	-2.809	-2.78	-3.178	-2.201	-2.595	-2.242	-2.378	-2.987	0.219	-0.016	0.365	-0.158	0.467	0.37	0.775	0.151	0.769	0.782	0.456	-2.49	0.188	1.015	-3.518	-2.733	-3.637	-2.766	-2.153
"YLR044C"	0.314	0.643	-0.055	-0.02	0.323	0.712	-2.007	-2.635	-1.83	-0.594	-1.066	-4.948	-6.198	-1.634	-2.043	-2.307	-2.978	-0.643	-1.066	-1.373	-0.923	-2.628	0.202	-0.166	-0.28	0.238	-0.056	-0.1	0.605	0.331	0.753	0.381	0.316	-1.154	0.689	-0.009	-3.282	-3.407	-2.618	-3.903	-3.397
"YLR060W"	-0.019	0.836	-0.117	-0.081	-0.153	0.614	-3.165	-2.617	-2.047	-2.296	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.095	-0.334	-0.212	0.076	0.144	0.144	0.331	0.663	0.566	0.376	-2.464	0.219	-0.301	-2.734	-2.666	-2.64	-2.996	-2.646
"YLR076C"	-0.027	0.754	0.375	0.442	0.369	1.03	-3.332	-2.564	-2.261	-1.808	-1.839	-1.78	-4.142	-1.405	-2.576	-2.924	-3.015	-1.575	-1.453	-1.198	-1.871	-1.996	0.14	-0.206	0.309	-0.03	0.659	0.114	0.668	0.742	1.122	0.795	0.147	-2.021	-0.125	0.798	-4.238	-2.762	-3.867	-3.418	-2.353
"YLR134W"	0.5645	0.232	-0.2065	-0.0475	0.1775	0.3095	-2.4245	-3.4315	-2.2835	-1.553	-2.7835	-5.018	-5.8935	-1.989	-1.875	-2.161	-2.7405	-0.706	-1.1115	-1.3995	-1.2085	-2.6145	0.3965	-0.037	0.4745	0.095	0.0355	-0.128	0.613	0.2895	0.5465	0.426	0.111	-0.655	-0.0625	0.2325	-3.416	-3.64	-2.736	-3.769	-3.584
"YLR202C"	-0.266	-0.61	-0.255	-0.329	-0.264	-0.541	2.168	1.953	1.5	0.975	3.129	1.047	-1.056	0.423	0.528	0.326	1.606	0.189	0.446	0.866	0.636	0.292	-0.274	0.027	-0.16	-0.225	-0.024	0.014	-0.044	-0.436	-0.121	-0.217	-0.815	0.326	0.152	0.099	1.2	1.091	1.574	0.912	0.358
"YLR283W"	-0.188	-0.693	-0.292	-0.197	-0.175	-0.409	1.555	0.619	1.021	0.555	1.028	0.61	-2.007	1.207	1.321	0.49	1.276	0.322	0.963	0.32	-0.098	0.108	-0.047	-0.585	-0.035	0.208	0.054	0.037	0.076	-0.194	-0.14	-0.148	-0.076	0.791	0.336	0.152	1.458	1.709	2.138	1.427	1.049
"YLR293C"	0.291	0.886	-0.044	-0.044	0.148	0.877	-3.594	-2.185	-2.087	-2.565	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	-0.238	0.584	0.078	0.168	-0.14	0.285	0.239	0.637	0.846	-0.145	-2.235	0.26	0.387	-3.113	-2.525	-2.822	-2.422	-1.899
"YLR355C"	0.168	1.174	0.14	0.38	0.424	1.252	NaN	-3.638	NaN	-3.036	-1.153	-5.125	-6.009	-3.526	-2.557	-2.705	-2.647	-1.288	-1.519	-1.878	-1.989	-3.088	0.3895	0.101	0.11	-0.336	0.392	0.057	0.178	0.464	1.127	0.765	-0.147	-0.934	-0.32	0.088	-3.857	-2.137	-4.176	-2.151	-2.062
"YLR432W"	-0.301	0.975	0.346	0.291	0.166	0.949	-2.58	-2.16	-2.424	-1.536	-2.129	-3.532	-5.65	-2.412	-2.49	-3.15	-2.585	-1.997	-2.641	-1.934	-2.482	-3.034	-0.128	-0.171	0.338	0.228	0.104	-0.117	0.619	0.477	0.935	0.628	0.88	-1.904	0.187	-0.258	-3.491	-3.179	-3.412	-2.927	-2.885
"YLR448W"	-0.051	1.062	0.103	0.196	0.101	0.837	-4.815	-3.882	-3.116	-3.083	-2.688	-3.552	-5.971	-3.425	-3.454	-3.179	-4.891	-2.521	-2.621	-2.668	-3.192	-4.132	-0.047	0.23	0.051	0.011	0.184	-0.209	0.563	0.232	1.0	0.674	0.355	-2.337	-0.069	-0.066	-4.85	-3.788	-4.791	-4.505	-3.161
"YMR114C"	-0.551	-0.646	0.243	0.14	-0.048	-0.848	2.727	2.543	2.068	3.029	2.327	4.1	4.572	2.095	2.582	2.58	1.821	2.032	2.343	3.614	3.555	3.502	0.0	-0.105	-0.238	0.124	-0.008	0.15	-0.556	0.166	-0.427	-0.695	-0.084	1.879	0.307	0.032	2.623	2.896	2.454	2.753	2.047
"YMR300C"	0.038	0.36	0.021	0.048	-0.102	0.418	-3.362	-2.403	-1.602	-1.008	-1.794	-3.133	-4.702	-2.115	-1.993	-1.355	-1.559	-0.742	-0.949	-1.803	-2.016	-1.571	-0.066	-0.285	0.188	0.135	-0.1	-0.074	0.506	0.321	0.619	0.288	0.12	-1.0795	-0.244	-0.102	-2.533	-3.184	-2.758	NaN	-1.063
"YMR309C"	0.134	1.103	0.525	0.385	0.016	1.08	-3.127	-2.334	-1.924	-1.851	-1.52	-3.731	-3.516	-2.787	-2.363	-1.881	-3.374	-1.926	-2.303	-3.144	-3.173	-3.384	-0.106	0.048	0.117	-0.046	-0.047	-0.367	0.584	0.593	0.504	0.645	0.125	-1.607	0.201	-0.274	-3.723	-3.06	-3.181	-2.122	-2.245
"YNL162W"	-0.065	1.123	0.096	0.23	0.291	1.003	-3.953	-3.395	-3.14	-2.838	-2.163	-2.858	-6.425	-2.86	-2.872	-2.421	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	0.065	-0.316	0.315	-0.03	0.3	-0.226	0.69	0.283	1.117	1.0	0.393	-1.852	0.031	0.288	-2.704	-2.701	-3.916	-3.323	-2.825
"YNL301C"	-0.006	1.125	0.142	0.331	0.371	1.063	-2.992	-2.551	-2.514	-2.036	-3.266	-5.123	-6.272	-2.943	-3.585	-3.098	-3.466	-2.799	-2.781	-2.652	-2.985	-3.448	0.204	-0.295	0.658	0.135	-0.02	-0.001	0.2	0.39	0.977	0.876	0.387	-2.232	0.115	0.244	-4.167	-3.163	-4.02	-3.032	-2.764
"YNR034W"	-0.085	-1.212	-0.03	0.063	0.094	-1.056	1.1025	0.669	0.505	0.8665	0.9385	0.723	-1.7035	0.71	0.4605	0.3785	1.376	2.233	1.852	0.757	0.474	0.44	-0.321	0.158	0.08	0.159	0.386	0.049	0.2405	0.0395	-0.0345	0.266	-0.408	1.731	0.017	-0.261	1.425	0.764	1.423	1.342	0.179
