	"52.Elutriation2:Sample2:Time1.5hrs"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"981.wt_plus_gamma_60_min"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"12744.heat shock 17 to 37, 20 minutes"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"14712.Ca 15min (1)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"30319.usv1("	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34368.batch 02X25 7"
"YDR471W"	0.482	-2.818	-1.805	-3.206	-3.84	-2.42	-1.52	-0.304	-3.952	-3.834	-3.394	-4.747	-0.457	-4.253	-2.633	-2.405	0.322	0.174	-1.353	0.09	0.027	0.498	0.135	-3.29	0.3355	0.1155	-0.8945	0.2135	-2.2465	-3.1985	-2.5065	0.689	-0.12	-2.211	0.913	-3.645	-2.464	-3.608	-3.311	-2.499	-2.873	-2.833
"YER131W"	1.045	-1.733	-2.354	-3.171	-3.29	-2.511	-1.797	-0.446	-2.813	-3.262	-2.7	-6.55	-0.19	-4.139	-2.498	-2.654	0.431	0.378	-1.557	0.281	-0.083	0.605	0.579	-3.097	0.266	0.2475	-0.911	0.368	-3.2065	-3.3915	-2.167	0.598	0.0585	-2.338	1.501	-3.884	-3.237	-3.578	-4.068	-2.732	-3.858	-3.24
"YGL030W"	0.382	-2.291	-1.943	-2.592	-0.272	-2.277	-1.631	-0.828	-3.613	-2.888	-2.582	-5.484	-0.862	-3.284	-2.534	-2.044	0.002	-0.019	-2.064	-0.008	-0.304	-0.392	-0.6	-2.603	0.271	0.242	-1.279	0.284	-2.717	-2.86233333333333	-3.24366666666667	0.553	-0.534	-2.86	1.264	-3.939	-2.871	-3.575	-2.76	-2.198	-3.156	-2.564
"YGL076C"	0.542	-2.09	-1.99	-2.744	-3.119	-2.349	-1.633	-0.969	-3.969	-3.136	-2.73	-5.667	-0.794	-4.142	-2.648	-2.79	0.167	0.108	-1.701	0.104	-0.116	-0.19	-0.219	-2.656	0.308	0.216	-1.6305	-0.5915	-3.289	-2.84433333333333	-2.94466666666667	0.689	-0.0315	-2.625	0.755	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	-2.886
"YHR094C"	-0.31	-1.6415	-1.342	-2.1085	-1.284	-0.9	-1.142	1.003	-0.469	-0.919	-1.412	-2.55	-1.187	-0.597	-1.573	-0.63	-1.184	-0.892	-1.373	0.3665	0.388	0.18	0.093	-1.473	0.985	0.807	1.205	0.082	-0.995	-1.511	1.518	0.557	-0.38	-1.35	0.819	-1.953	-2.147	-2.363	-1.53	-1.389	-1.568	0.338
"YHR203C"	0.142	-2.0645	-1.915	-2.8785	-3.5975	-2.585	-1.621	-0.754	-3.926	-2.827	-3.148	-5.944	-0.796	-4.669	-2.591	-3.081	-0.014	-0.266	-1.711	0.204	0.036	-0.113	-0.224	-2.809	0.281	0.125	-0.594	-0.137	-3.724	-3.381	-2.823	0.676	0.138	-2.942	0.626	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	-3.001
"YIL018W"	1.009	-2.4325	-2.2685	-3.509	-3.965	-2.824	-2.493	-1.096	-4.365	-3.03	-2.782	-5.749	-0.722	-3.907	-2.606	-3.27	-0.161	0.029	-1.814	0.074	-0.099	0.069	-0.051	-3.4165	0.288	0.203	-0.707	0.236	-4.085	-3.975	-2.913	0.727	0.152	-2.641	0.28	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	-1.609
"YIL052C"	0.95	-2.1565	-1.989	-2.7275	-2.972	-2.49	-2.029	-0.646	-3.856	-3.261	-2.954	-6.278	-0.098	-4.174	-2.546	-2.5	-0.04	0.063	-1.557	0.236	0.081	0.051	-0.012	-2.531	0.23	0.147	-1.129	-0.245	-2.098	-3.136	-2.316	0.613	-0.255	-2.337	-0.066	-3.32	-2.562	-2.821	-2.677	-1.94	-3.315	-2.473
"YIL133C"	0.13	-2.6465	-2.027	-3.384	-3.811	-2.661	-2.068	-0.55	-3.333	-3.196	-3.135	-5.79	-0.554	-4.433	-2.757	-3.007	0.077	-0.091	-1.753	0.179	-0.177	0.226	0.021	-3.3115	0.228	0.045	-1.065	-0.17	-1.963	-2.428	-2.38	0.607	-0.02	-2.292	1.088	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	-2.441
"YJL177W"	0.539	-2.4035	-2.211	-3.2765	-3.7865	-2.665	-1.964	-0.717	-4.132	-3.846	-3.2	-5.49	-0.66	-5.074	-2.421	-2.278	0.001	-0.17	-1.604	0.352	0.078	0.067	-0.019	-3.293	0.336	0.2	-0.944	-0.245	-3.725	-2.818	-2.989	0.495	-0.127	-2.626	0.558	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	-2.986
"YJL190C"	0.309	-2.525	-2.8085	-3.022	-3.838	-2.911	-2.272	-1.094	-3.794	-3.553	-3.267	-6.079	-0.211	-4.469	-3.227	-3.365	0.534	0.549	-1.33	0.2805	-0.099	-0.082	-0.492	-3.7855	0.054	0.056	-1.068	0.271	-4.302	-4.04	-3.973	0.881	0.084	-3.078	0.115	-4.772	-3.912	-4.874	-4.273	-3.311	-3.497	-3.73
"YJR123W"	0.196	-2.5565	-1.912	-3.5655	-4.258	-2.317	-1.807	-0.576	-3.844	-3.276	-3.279	-9.147	-0.775	-4.282	-2.635	-3.543	0.362	0.072	-1.723	0.301	0.009	0.01	-0.174	-3.445	0.319	0.286	-0.555	0.081	-3.684	-3.786	-3.013	0.668	-0.629	-2.744	1.029	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587	-2.787
"YJR145C"	0.72	-2.2535	-1.8995	-2.8575	-3.3335	-2.537	-1.542	-0.561	-4.507	-3.488	-3.177	-6.528	-0.746	-4.857	-2.336	-3.105	0.062	-0.252	-1.592	0.362	0.076	0.02	-0.1	-2.7805	0.331	0.295	-0.829	-0.283	-3.725	-3.373	-3.245	0.361	0.106	-2.804	0.879	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-2.836
"YKL006W"	0.578	-2.75	-1.949	-3.315	-3.5445	-2.018	-1.646	-0.529	-4.299	-3.901	-3.389	-5.113	-0.823	-4.545	-2.791	-2.29	0.279	-0.083	-1.685	0.142	0.321	0.186	-0.009	-3.02	0.142	0.205	-0.139	-0.134	-3.051	-3.228	-3.645	-0.101	-0.795	-2.654	1.204	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	-2.763
"YKL163W"	-0.321	1.452	1.1	2.387	2.486	1.322	1.226	0.095	1.297	1.046	1.181	-0.67	0.112	0.982	3.854	2.522	-0.243	-0.267	0.175	0.319	0.321	-0.037	-0.162	3.465	0.238	-0.207	-0.225	0.034	-0.234	-0.65	0.571	-0.649	0.123	1.66	-0.043	1.958	0.717	2.477	2.34	0.812	3.627	0.276
"YKL180W"	0.791	-1.947	-2.16	-2.81	-3.531	-2.553	-1.948	-0.635	-2.661	-2.738	-2.549	-5.237	-0.142	-4.629	-2.354	-2.04	0.507	0.341	-1.2	0.5	0.044	0.391	0.041	-3.37	0.361	-0.109	-1.161	0.072	-2.976	-3.428	-3.127	0.028	0.073	-1.891	0.723	-3.827	-3.339	-3.071	-2.962	-2.254	-2.482	-2.998
"YKR057W"	0.489	-1.925	-2.223	-2.604	-2.966	-2.236	-1.558	-0.857	-3.036	-2.945	-2.525	-3.461	-0.197	-4.013	-2.576	-1.048	0.466	0.345	-0.449	-0.097	-0.292	0.265	-0.276	-2.587	0.187	0.215	-0.981	0.22	-3.004	-3.187	-2.626	0.448	-0.22	-2.084	0.329	-3.811	-2.631	-3.29	-2.638	-2.13	-2.085	-2.585
"YKR094C"	0.103	-2.14	-2.109	-2.994	-3.29	-1.884	-1.985	-0.665	-3.138	-2.914	-2.619	-4.383	-0.692	-2.785	-1.839	-2.197	-0.094	-0.269	-1.755	0.221	-0.057	0.109	-0.188	-2.821	0.319	0.121	-0.325	0.065	-3.85	-3.426	-2.283	-0.069	-0.022	-2.445	0.548	-3.423	-2.549	-3.694	-3.422	-2.865	-3.683	-2.686
"YLR167W"	0.912	-1.586	-1.934	-2.464	-2.707	-1.294	-1.851	-0.276	-1.481	-2.342	-1.799	-4.496	-0.418	-1.894	-1.439	-1.976	0.352	0.246	-1.692	0.327	0.087	0.582	0.406	-2.342	0.195	0.16	-0.274	-0.482	-3.983	-4.326	-3.625	0.502	0.169	-3.055	-0.01	-3.929	-2.902	-3.272	-3.393	-2.874	-3.566	-3.288
"YLR185W"	-0.281	-1.728	-1.439	-2.305	-2.948	-2.435	-1.598	-0.905	-4.508	-3.498	-3.001	-5.928	-0.74	-4.019	-2.209	-2.479	0.054	-0.297	-1.649	0.187	-0.219	0.134	-0.011	-2.487	0.479	0.339	-0.55	0.107	-2.199	-2.22	-2.434	-0.248	-0.133	-2.373	0.297	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	-3.05
"YLR448W"	0.418	-2.009	-1.814	-2.821	-3.482	-2.804	-1.88	0.357	-4.815	-3.882	-3.116	-5.971	-0.443	-4.891	-2.621	-3.192	0.305	0.072	-1.664	0.184	-0.096	-0.059	-0.056	-2.983	0.144	0.16	-1.389	0.264	-1.846	-2.363	-1.903	0.615	-0.053	-2.6	0.232	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-2.638
"YML006C"	-0.315	-0.336	-0.585	-0.662	-0.7	-0.246	-0.447	-0.157	-0.662	-0.477	0.222	-4.428	0.14	-0.84	0.619	-1.482	0.097	-0.067	0.159	0.085	-0.122	-0.15	0.063	-1.036	-0.412	-0.28	-0.172	0.011	-1.099	-0.505	-0.539	0.375	-0.173	-2.193	-0.342	-1.135	-1.13	-1.548	-0.927	-0.579	-1.132	0.494
"YML026C"	NaN	-2.104	-1.803	-3.139	-3.539	-2.467	-1.536	-1.084	-3.811	-3.779	-3.236	-5.271	-0.267	-3.572	-2.821	-2.803	0.154	0.161	-1.412	0.137	-0.202	-0.242	-0.048	-3.032	0.331	0.111	-0.705	-0.393	-2.841	-1.477	-3.733	-0.006	-0.823	-2.416	0.601	-4.522	-3.396	-4.595	-3.765	-2.94	-3.307	-2.672
"YML063W"	0.204	-1.871	-2.086	-3.191	-3.74	-2.716	-2.087	-0.83	-4.408	-3.73	-3.027	-13.273	-0.631	-5.57	-2.875	-3.364	0.558	0.524	-1.581	0.129	-0.003	0.394	0.338	-3.158	0.238	0.156	-0.595	0.289	-2.845	-2.804	-2.236	0.438	0.184	-2.792	0.578	-4.819	-3.531	-4.008	-3.578	-2.829	-3.392	-2.743
"YMR242C"	0.329	-2.539	-1.639	-3.309	-3.708	-2.703	-2.14	-0.635	-4.702	-3.631	-3.819	-6.226	-0.638	-4.84	-3.004	-3.133	0.265	0.006	-1.705	0.19	0.144	-0.026	-0.048	-3.054	0.247	0.164	-0.626	-0.298	-3.868	-3.792	-3.5	0.63	0.1305	-2.43	0.834	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	-2.724
"YNL069C"	0.913	-1.976	-1.954	-2.865	-3.347	-2.405	-1.946	-0.807	-3.663	-3.006	-2.506	-4.824	-0.471	-4.269	-2.466	-2.509	0.199	0.255	-1.709	-1.1	-0.094	0.215	0.072	-2.91	0.157	0.114	-0.821	0.296	-2.827	-2.98	-2.465	0.389	0.0335	-2.543	0.666	-3.601	-3.131	-3.741	-3.469	-3.02	-3.775	-2.99
"YNL160W"	1.308	2.972	4.166	4.086	4.219	3.764	2.582	2.778	2.571	2.798	2.648	-1.182	0.35	5.446	5.173	3.551	0.025	-0.244	0.999	0.511	0.339	0.454	0.386	3.679	-0.234	-0.212	1.43	-0.356	1.625	1.413	2.386	-1.249	-0.152	3.162	0.114	4.154	3.964	4.413	3.933	2.612	2.023	4.864
"YNL162W"	0.51	-2.384	-1.97	-3.17	-3.58	-2.232	-1.506	-0.56	-3.953	-3.395	-3.14	-6.425	-0.499	-3.999	-2.0	-2.487	0.315	0.17	-1.613	0.3	-0.333	0.12	0.028	-2.998	0.337	0.239	-0.566	0.007	-2.454	-1.369	-2.539	0.476	-0.5945	-2.02	0.212	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-2.223
"YOL040C"	0.571	-2.147	-1.958	-3.012	-3.574	-2.371	-1.781	-0.627	-0.886	-3.313	-1.742	-6.413	-0.573	-3.938	-2.245	-2.837	-0.037	-0.309	-1.538	0.487	0.107	-0.011	-0.331	-3.277	0.555	0.349	-1.124	-0.041	-3.274	-2.818	-2.517	0.349	0.121	-2.391	0.819	-4.411	-3.555	-3.746	-3.451	-2.823	-2.976	-2.959
"YOL120C"	0.707	-1.766	-1.994	-2.511	-2.899	-1.726	-1.441	-0.608	-1.9285	-0.823	-1.079	-3.424	-0.317	-3.598	-2.819	-3.234	0.175	0.273	-1.61	-0.129	-0.066	0.113	-0.385	-2.505	0.359	0.317	-1.06	0.22	-4.092	-3.437	-3.721	0.573	0.132	-2.04	0.305	-3.446	-3.085	-3.919	-3.387	-2.622	-3.525	-2.929
"YOR048C"	0.514	-0.918	-0.8685	-0.916	-0.963	-0.693	-0.5525	-0.236	-0.803666666666667	-0.0803333333333334	0.413666666666667	-2.10433333333333	0.437	-1.005	-0.3985	-0.7	0.1635	0.4405	0.2825	-0.2235	-0.245	0.1865	0.073	-1.144	-0.102	-0.15	-0.692	-0.214	-0.736	-1.003	-0.416	0.526	0.226	-1.629	-0.557	-1.828	-1.769	-2.899	-1.207	-1.019	-0.831	-0.327
"YOR242C"	-0.465	-0.515	-1.379	-1.247	-0.933	-0.646	-0.143	-0.238	-0.744	-0.76	-0.441	-2.172	0.644	-1.795	-1.054	-1.659	0.719	0.781	NaN	0.102	-0.166	-0.046	-0.198	-0.418	0.341	0.19	-1.215	0.254	-0.786	-0.995	-1.345	0.42	-0.14	-1.106	-0.568	-0.258	-1.108	-1.55	-1.119	-1.472	-1.09	-0.496
"YOR312C"	0.584	-2.612	-1.995	-2.723	-3.7	-2.417	-1.633	-0.583	-3.8645	-3.381	-2.919	-4.8175	-0.242	-4.638	-2.402	-1.569	0.533	0.435	-1.663	0.097	-0.373	0.276	0.103	-2.873	0.303	0.094	-0.627	-0.309	-3.671	-3.676	-3.352	0.546	-0.008	-3.057	-0.25	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-2.092
"YPR044C"	0.18	-1.9475	-1.783	-2.4	-2.752	-2.0885	-1.7	-0.6655	-3.163	-2.92933333333333	-2.74733333333333	-4.76433333333333	-0.1735	-3.0915	-2.1115	-1.702	0.1375	0.1415	-1.2335	0.1355	-0.429	-0.2755	-0.322	-2.5325	0.348	0.259	-0.795	-0.163	-3.57	-3.494	-3.302	0.639	0.179	-1.457	0.048	-2.586	-2.282	-2.862	-2.352	-2.43	-2.877	-2.464
"YPR102C"	0.963	-2.298	-2.206	-3.37	-4.232	-2.43	-1.866	-0.617	-3.521	-3.2315	-3.2945	-6.451	-0.511	-4.644	-3.232	-3.749	0.309	0.074	-1.642	0.435	-0.071	0.226	0.125	-3.007	0.158	0.161	-0.721	-0.022	-4.168	-3.02	-2.297	0.627	0.117	-2.5	0.577	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	-2.864
"YPR132W"	0.205	-1.583	-1.962	-1.788	-3.128	-2.014	-1.741	-0.526	-2.849	-3.586	-3.351	-5.805	-0.496	-3.788	-2.292	-2.388	0.471	0.042	-1.473	0.215	-0.032	0.359	0.17	-2.027	0.419	0.049	-0.527	-0.251	-3.629	-2.504	-2.963	0.683	0.031	-2.05	0.453	-2.884	-2.466	-2.903	-2.829	-2.063	-2.893	-2.496
