	"54.Elutriation2:Sample2:Time2.5hrs"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8195.steady state 21 dec C"	"8227.dtt 000 min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"30773.Pomona/Brown Sir3x red"	"33775.DBY8778(wt)_stationary_phase_9hours"
"YBR249C"	0.6655	1.035	0.915	0.864	-1.844	-0.216	0.351	-3.39	-6.025	-0.414	-1.662	-1.147	-1.6935	-2.9975	-3.288	-3.9875	0.14	0.457	0.795	1.032	-0.835	-0.065	-0.08	0.225	-2.096
"YBR288C"	-0.208	0.5175	0.491	0.536	-1.014	-0.889	-1.298	-2.229	-3.524	-0.812	-0.693	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.2105	0.238	0.12	-0.08	-0.958	0.257	0.161	0.1	-1.104
"YCL037C"	0.706	0.64	0.537	0.291	-4.172	-1.976	-2.769	-2.555	-3.932	-0.772	-2.218	-2.8585	-3.054	-2.457	-2.4225	-2.617	-0.06	0.184	0.601	-0.277	-2.864	-0.368	-0.257	0.295	-1.311
"YCR044C"	0.008	0.371	0.266	-1.101	0.734	-1.079	-0.32	-1.836	-2.699	-0.819	-0.423	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.177	0.223	0.389	0.245	-0.741	-0.126	0.015	-0.043	-1.165
"YCR053W"	0.059	0.3425	0.371	0.291	-2.562	-1.707	-1.033	-3.556	-4.283	-1.071	-1.206	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.025	0.012	0.406	0.278	-1.451	0.073	-0.07	0.252	-2.601
"YCR088W"	0.208	-0.3645	-0.436	-0.252	0.287	-1.566	-1.788	-2.807	-5.435	0.494	0.149	-0.931	-1.115	-0.9585	-0.9895	-1.491	-0.0985	-0.101	-0.614	0.29	-1.319	-0.067	-0.117	0.148	-0.407
"YDL063C"	0.482	0.263	1.0	0.922	0.085	-1.975	-1.826	-1.564	-3.701	-1.508	-0.719	-1.236	-1.876	-1.864	-1.229	-1.954	-0.15	0.245	0.632	-0.529	-1.1	-0.799	-0.905	0.095	-2.579
"YDR037W"	0.529	0.71	0.672	0.502	-4.313	-3.858	-3.458	-4.551	-5.224	-1.483	-3.226	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	0.268	0.787	0.358	-2.523	-0.137	-0.097	0.185	-3.366
"YDR064W"	0.463	1.178	0.993	1.04	-3.874	-2.639	-2.597	-3.761	-5.03	-1.745	-3.208	-2.718	-2.943	-2.527	-2.531	-3.199	-0.36	0.478	1.003	-0.011	-1.996	0.4715	0.3675	-0.4825	-2.803
"YDR087C"	0.293	0.873	1.227	0.989	-4.139	-2.277	-3.312	-3.817	-4.944	-1.846	-2.528	-1.373	-2.022	-1.73	-3.407	-2.893	0.311	1.031	0.332	-0.209	-1.782	-0.323	-0.154	-0.476	-2.16
"YDR101C"	0.692	1.358	1.377	1.43	-4.306	-2.315	-2.948	-4.145	-4.667	-2.448	-3.385	-1.96	-2.252	-2.862	-3.177	-3.516	0.107	0.485	0.936	-0.537	-2.013	-0.578	-0.547	-0.103	-2.116
"YDR261C"	-0.378	-0.254	-0.248	-0.421	-1.494	-2.394	-2.402	-2.845	-3.44	-0.862	-0.927	-1.565	-1.827	-1.083	-1.671	-1.836	0.297	-0.212	0.113	0.056	-1.649	0.172	0.124	0.135	-0.917
"YDR413C"	0.507	1.14	1.079	0.937	-2.622	-1.554	-1.58	-1.42	-2.057	-1.696	-1.399	-1.311	-1.594	-1.706	-1.349	-1.81	0.208	0.214	-0.274	-0.082	-1.613	-0.225	-0.138	-1.041	-1.046
"YDR417C"	0.939	1.045	0.832	0.691	-3.705	-2.511	-3.327	-4.279	-5.062	-1.775	-3.58	-2.573	-2.986	-2.861	-3.022	-3.606	0.078	0.393	1.195	0.048	-2.149	0.481	0.49	-0.093	-2.61
"YDR465C"	0.49	0.615	1.193	0.714	-4.438	-2.015	-1.621	-2.676	-2.557	-1.28	-1.835	-1.19	-1.551	-1.198	-2.747	-2.7	0.025	0.761	0.711	-0.512	-0.852	-0.441	-0.516	0.016	-2.306
"YDR507C"	0.826	0.241	0.352	0.367	-3.229	-0.795	-1.28	-2.939	-1.493	-1.447	-0.805	-1.576	-2.121	-1.959	-1.473	-1.836	-0.248	0.166	-0.241	-0.082	-0.943	0.309	0.432	0.052	-0.281
"YEL042W"	0.545	0.745	-0.631	0.856	-1.578	-1.264	-1.261	-3.201	-4.334	-1.243	-1.707	-1.705	-1.658	-1.896	-2.665	-3.071	-0.007	0.425	1.117	-0.134	-1.2195	-0.129	0.016	0.386	-1.936
"YER024W"	-0.271	-0.553	-0.217	-0.817	4.222	4.47	4.755	4.492	2.456	1.452	2.797	2.82	2.599	2.31	3.434	2.595	-0.009	0.027	-0.126	-0.274	0.933	-0.047	0.166	-0.072	1.507
"YER043C"	0.871	1.109	0.891	0.879	-3.945	-2.767	-3.397	-4.78	-6.476	-1.223	-2.364	-3.174	-3.716	-3.31	-4.857	-4.918	-0.103	0.444	0.527	-0.691	-1.415	-0.218	0.139	0.21	-2.542
"YER090W"	-0.081	0.672	0.427	0.083	-2.556	-1.569	-1.173	-3.804	-5.004	-1.499	-2.439	-1.078	-1.311	-2.327	-2.585	-3.495	-0.122	-0.068	0.477	1.129	-0.819	-0.076	-0.144	0.015	-1.879
"YER102W"	0.885	1.351	1.084	1.107	-3.932	-2.3	-2.578	-3.64	-6.434	-1.229	-3.101	-2.613	-2.593	-2.579	-3.326	-3.859	0.299	0.683	1.012	0.241	-2.388	0.118	0.049	0.011	-2.758
"YER118C"	0.449	0.606	0.622	0.472	-2.119	-0.913	-1.822	-2.598	-3.457	-1.486	-1.55	-1.116	-1.35	-1.371	-2.206	-1.965	0.143	0.468	0.369	-0.251	-1.1755	-0.017	-0.0035	0.02	-1.824
"YFL039C"	-0.054	0.331	0.171	0.196	-0.038	-1.186	-1.097	-2.57	-3.733	0.306	-0.271	-0.479	-0.492	-1.583	-2.201	-2.764	0.14	0.254	0.24	0.029	-0.53	0.198333333333333	0.127	0.0236666666666667	-0.306
"YGL031C"	0.78	1.133	1.047	1.003	-3.366	-1.846	-3.104	-3.683	-5.763	-1.245	-3.041	-2.475	-2.899	-2.92	-3.061	-3.473	0.114	0.566	0.979	-0.081	-2.655	0.077	-0.045	0.142	-2.458
"YGL076C"	0.542	1.317	1.147	1.006	-3.969	-2.446	-2.401	-3.976	-5.667	-1.913	-3.32	-2.568	-2.648	-2.836	-2.79	-3.782	-0.016	0.434	1.119	0.048	-1.8735	0.308	0.216	-0.0315	-3.509
"YGL078C"	0.446	1.47	1.485	1.169	-4.866	-1.111	-2.045	-2.215	-4.455	-1.861	-2.914	-1.879	-1.744	-2.103	-1.515	-2.198	0.117	0.529	0.743	-0.257	-1.112	-0.654	-0.667	0.004	-2.245
"YGL123W"	1.132	1.27	1.264	1.189	-3.781	-2.802	-3.62	-4.004	-5.982	-1.642	-4.112	-2.414	-2.278	-2.388	-2.65	-3.558	0.027	1.004	1.022	-0.14	-2.357	0.356	0.221	0.216	-3.27
"YGL135W"	1.047	1.167	1.101	0.43	-3.221	-2.301	-2.942	-3.418	-5.687	-1.34	-3.217	-2.512	-2.692	-2.267	-2.874	-3.825	-0.045	0.461	1.065	0.116	-2.233	0.286	0.108	0.149	-2.903
"YGL147C"	0.75	1.427	1.186	1.241	-3.892	-2.422	-3.896	-3.921	-7.507	-1.716	-3.0	-2.874	-3.388	-3.018	-2.755	-3.483	0.326	0.674	1.176	0.131	-2.532	0.097	-0.08	0.071	-2.6025
"YGL148W"	1.097	1.117	0.837	0.827	-3.561	-1.574	-2.182	-2.826	-3.915	-1.329	-2.983	-2.049	-2.327	-1.666	-1.996	2.781	0.038	0.008	0.25	0.62	-2.275	0.156	0.046	0.018	-2.547
"YGL202W"	0.408	0.531	0.573	0.211	-0.928	-1.935	-1.435	-3.334	-4.405	-1.291	-1.664	-1.963	-2.379	-2.119	-2.237	-2.614	0.433	0.03	0.545	0.87	-2.572	0.121	0.052	0.223	-1.598
"YGR027C"	0.884	1.159	1.017	0.858	-3.433	-1.57	-1.697	-2.797	-5.39	-1.812	-3.005	-1.779	-1.889	-1.187	-1.867	-2.368	0.238	0.902	1.142	0.045	-1.824	0.313	0.128	0.057	-3.132
"YGR034W"	0.823	1.076	1.008	1.165	-3.922	-2.107	-2.998	-3.052	-6.281	-2.052	-3.268	-2.022	-2.01	-1.301	-1.401	-2.48	0.049	0.322	0.89	-0.238	-1.469	0.213	0.223	-0.694	-3.003
"YGR085C"	0.995	1.473	1.133	1.122	-3.713	-2.29	-2.146	-3.406	-6.059	-1.594	-3.071	-2.625	-2.77	-3.306	-3.54	-4.179	0.278	0.353	1.232	0.199	-2.156	0.139	0.035	0.177	-2.792
"YGR151C"	0.624	0.447	0.436	0.309	-2.709	-2.677	-1.671	-3.87	-3.928	-1.059	-1.322	-2.815	-2.712	-1.696	-2.582	-2.109	-0.12	0.281	0.38	0.114	-1.997	0.437	0.4315	0.0765	-1.59
"YGR185C"	0.745	0.667	0.691	0.336	-3.192	-2.13	-2.168	-5.306	-6.361	-1.312	-1.442	-2.531	-2.944	-4.576	-4.871	-5.006	0.181	0.329	0.864	0.364	-2.438	-0.091	-0.09	0.247	-2.768
"YGR214W"	0.407	1.051	0.967	0.903	-4.3	-1.862	-2.776	-3.03	-5.16	-1.901	-3.581	-2.119	-1.46	-0.955	-1.925	-3.246	0.128	0.896	1.082	-0.2705	-1.905	0.247	0.26	-0.096	-2.906
"YHR068W"	0.453	0.968	0.941	0.818	-3.316	-3.015	-2.166	-4.28	-6.532	-1.698	-2.873	-1.927	-2.429	-2.724	-3.669	-3.425	0.241	0.833	0.495	-0.317	-2.29	0.276	0.128	0.103	-2.467
"YHR203C"	0.411	1.231	1.011	0.884	-3.926	-2.372	-2.895	-3.782	-5.944	-1.998	-3.917	-2.437	-2.591	-2.575	-3.081	-3.941	0.264	0.672	0.703	0.119	-2.302	0.281	0.125	0.138	-3.308
"YIL018W"	0.825	1.253	1.177	1.056	-4.365	-2.488	-2.78	-3.492	-5.749	-0.848	-3.362	-2.218	-2.606	-2.661	-3.27	-3.914	-0.233	0.746	0.99	-0.217	-2.495	0.288	0.203	0.152	-3.397
"YJR007W"	0.357	1.053	0.742	-0.487	-2.169	-1.68	-2.662	-3.21	-8.057	-1.092	-1.588	-1.848	-2.051	-2.909	-3.009	-3.616	-0.054	0.523	0.728	0.1185	-1.685	-0.213	-0.109	-0.02	-2.16
"YJR063W"	0.156	1.345	1.244	0.823	-3.233	-2.513	-2.698	-2.37	-3.68	-3.168	-1.586	-1.698	-1.726	-1.715	-2.078	-1.317	0.019	0.699	0.878	-0.411	-1.026	0.051	0.076	-0.408	-1.289
"YJR070C"	0.51	1.246	1.272	1.129	-5.317	-2.526	-3.68	-3.511	-7.226	-1.83	-3.471	-1.543	-1.829	-1.463	-2.254	-2.322	-0.067	0.771	0.994	-0.4815	-2.575	-0.254	-0.39	0.168	-2.355
"YKL014C"	0.108	-0.196	0.0635	0.3755	-0.782	-0.881	-0.147	-2.13	-2.7895	-0.459	-1.0925	-1.767	-1.4065	-1.294	-2.075	-1.805	-0.156	0.1205	0.087	-0.663333333333333	-0.3495	-0.3235	-0.1675	-0.1495	-1.6725
"YKL056C"	0.743	0.909	1.083	1.069	-3.205	-1.541	-1.771	-3.426	-5.119	-1.392	-1.914	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	0.564	0.722	0.064	-1.777	0.07	0.057	0.125	-1.747
"YKL080W"	-0.436	0.55	0.72	0.482	-1.609	-1.25	-1.469	-4.229	-5.94	-0.555	-0.874	-1.299	-1.962	-2.874	-2.944	-2.866	0.172	0.25	0.475	0.549	-1.244	0.195	0.113	0.138	-1.463
"YKL081W"	1.035	1.515	1.025	0.724	-3.858	-2.542	-3.137	-4.49	-5.155	-2.074	-3.28	-3.222	-3.654	-2.997	-2.811	-3.497	-0.042	0.333	0.898	0.058	-2.502	0.089	-0.112	0.208	-3.449
"YKL153W"	0.066	0.427	-0.069	0.254	-1.89	-0.669	-0.956	-3.54	-5.051	-0.287	-1.511	0.359	-0.755	-1.986	-2.039	-2.818	0.273	0.189	0.297	0.558	-0.232	0.526	0.452	0.244	-0.105
"YKL154W"	-0.216	0.426	0.727	0.541	-1.585	-1.486	-1.312	-2.701	-3.89	-1.526	-1.149	-1.477	-1.447	-1.765	-2.132	-2.222	-0.006	0.195	0.58	0.389	-1.175	0.022	-0.079	-0.32	-2.137
"YKR094C"	0.249	0.976	0.977	0.785	-3.138	-1.978	-2.41	-2.464	-4.383	-1.021	-2.102	-1.746	-1.839	-1.792	-2.197	-2.387	0.016	0.323	1.061	-0.086	-2.035	0.319	0.121	-0.022	-2.549
"YLL044W"	0.757	1.121	1.115	1.006	-4.871	-2.211	-2.963	-3.79	-6.48	-1.665	-3.313	-2.654	-2.736	-2.724	-3.494	-3.967	-0.086	1.015	1.065	-0.248	-2.227	0.177	0.218	0.202	-2.774
"YLL045C"	1.088	1.394	1.348	1.206	-3.851	-1.64	-2.221	-3.857	-6.618	-1.489	-3.169	-2.604	-2.495	-2.943	-3.021	-3.731	0.223	0.972	1.356	-0.256	-2.165	0.168	0.149	0.142	-2.833
"YLR020C"	0.301	0.606	0.57	0.348	-1.407	-0.962	-0.385	-1.106	-2.701	-1.11	-1.178	-1.134	-0.832	-1.019	-1.266	-1.711	0.117	-0.104	0.032	0.026	-0.345	-0.339	-0.176	0.219	-1.285
"YLR060W"	0.675	0.836	0.614	0.566	-3.165	-2.499	-2.849	-4.941	-5.967	-1.197	-2.093	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	0.144	0.663	0.289	-2.464	-0.091	-0.021	0.239	-2.666
"YLR061W"	0.571	1.1	1.127	0.696	-4.925	-2.908	-3.127	-4.939	-6.591	-1.703	-3.239	-2.433	-2.88	-3.309	-3.833	-3.91	0.078	0.147	1.066	0.174	-2.482	0.563	0.363	0.031	-2.246
"YLR062C"	0.832	1.164	1.05	1.07	-4.53	-3.127	-4.077	-5.705	-6.896	-1.847	-3.6	-3.209	-3.706	-4.299	-4.293	-5.234	0.023	0.609	1.124	0.22	-2.675	0.365	0.14	0.034	-3.723
"YLR293C"	0.773	0.886	0.877	1.013	-3.594	-2.207	-2.675	-3.488	-6.281	-0.951	-2.107	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.285	0.637	0.036	-2.235	0.592	0.473	0.092	-2.525
"YLR339C"	0.778	0.906	0.66	0.586	-3.243	-3.285	-3.76	-4.988	-6.865	-0.884	-2.453	-2.647	-2.474	-2.461	-3.161	-3.973	-0.052	0.269	0.936	-0.196	-2.977	0.221	0.428	0.106	-3.474
"YLR367W"	0.64	0.942	0.906	0.963	-3.848	-2.22	-3.463	-2.78	-6.716	-2.286	-3.055	-2.591	-2.935	-2.165	-2.476	-3.007	0.19	0.771	1.035	-0.012	-1.95	0.473	0.181	0.097	-1.523
"YML031W"	-0.24	0.303	0.335	0.448	-1.934	-1.017	-1.313	-3.731	-3.953	-1.295	-1.333	-1.039	-1.033	-1.68	-1.828	-2.276	-0.085	0.288	0.347	-0.119	-0.533	0.005	0.015	0.066	-1.245
"YML073C"	NaN	1.165	1.148	1.114	0.912	-1.884	-2.135	-3.862	-6.033	-1.506	-3.5	-2.561	-2.549	-2.401	-2.624	-3.718	0.02	0.481	1.37	-0.227	-1.975	0.293	0.113	0.121	-3.737
"YMR017W"	-0.379	-0.692	-0.374	0.436	0.609	1.684	0.271	2.858	4.246	0.948	1.021	0.619	1.867	2.08	2.127	2.376	-0.078	-0.564	-0.585	-0.469	-0.577	0.416	0.407	0.152	-1.129
"YMR235C"	0.574	0.788	0.731	0.601	-1.54	-1.783	-1.785	-3.534	-5.187	-0.945	-1.622	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	0.142	0.428	0.172	-1.782	0.214	0.094	0.1645	-1.514
"YNL066W"	-1.146	0.949	0.95	0.687	-0.787	-4.141	-3.125	-4.175	-5.451	-1.216	-1.234	-2.162	-2.812	-2.02	-3.425	-3.757	-0.196	0.471	1.304	-0.462	-3.3795	-0.022	0.105	0.183	-1.68
"YNL067W"	0.717	1.17	1.166	0.859	-4.019	-1.807	-2.908	-2.84	-5.731	-1.822	-2.866	-2.506	-2.759	-1.884	-1.906	-2.76	0.53	0.858	1.371	-0.01	-1.5625	0.007	0.028	-5.0E-4	-2.15
"YNL069C"	0.87	1.134	0.991	0.906	-3.663	-1.978	-2.285	-4.006	-4.824	-1.785	-3.44	-2.199	-2.466	-2.107	-2.509	-3.665	0.164	0.764	1.188	-0.159	-2.137	0.157	0.114	0.0335	-3.131
"YNL079C"	0.4	0.307	0.258	-0.036	0.929	-0.891	-1.362	-2.802	-4.703	0.155	0.338	-0.764	-0.464	-1.383	-2.486	-3.23	-0.054	-0.034	0.047	0.263	-1.2105	0.171	0.184	0.1205	0.248
"YNL119W"	0.885	1.189	1.033	0.844	-6.697	-2.2	-3.337	-5.354	-6.231	-1.542	-3.359	-1.955	-2.206	-2.822	-2.843	-3.318	-0.324	0.468	0.874	-0.181	-1.92	0.23	0.22	0.129	-2.801
"YNL130C"	-0.024	-0.04	-0.715	-0.869	-1.538	-1.04	-1.728	-1.94	-2.872	-1.593	-1.169	-0.874	-0.669	-0.934	-1.411	-1.614	0.054	-0.219	0.556	0.326	-0.314	0.423	0.3	0.059	-0.739
"YNL233W"	0.563	-0.048	-0.332	-0.261	-1.391	0.058	-0.245	-2.221	-3.551	-0.583	-0.651	-0.713	-0.912	-2.264	-2.84	-2.716	0.216	0.164	0.191	0.22	-0.1605	0.014	-0.152	0.09	-1.836
"YNL235C"	0.053	-0.037	-0.434	-0.341	-0.819	0.209	-0.381	-1.155	-3.321	-0.984	-0.783	-0.714	-0.669	-2.224	-2.601	-2.532	-0.209	-0.018	-0.083	0.147	-0.5945	0.386	0.142	0.162	-0.636
"YNL255C"	0.362	1.207	1.222	1.096	-2.297	-0.205	-0.537	-2.208	-5.229	-0.75	-1.708	-1.192	-1.457	-1.3	-2.442	-2.225	0.099	0.854	1.025	-0.068	-1.116	0.063	0.008	0.025	-1.888
"YOR004W"	0.554	1.45	1.465	1.253	-1.3775	-0.1845	-1.3515	-3.012	-5.273	-1.551	-0.599	-2.135	-1.689	-2.507	-2.832	-2.931	0.021	0.906	0.443	-0.239	-1.929	-0.57	-0.575	0.009	-2.505
"YOR095C"	0.226	1.399	1.185	1.246	-1.698	-1.113	-3.275	-2.7255	-4.37	-0.707	-3.469	-1.933	-2.497	-2.868	-3.333	-3.068	-0.103	0.667	0.0525	-0.567	-1.164	-0.663	-0.638	-0.006	-0.799
"YOR224C"	0.405	0.887	0.9	0.6655	-2.895	-2.2005	-2.081	-3.348	-4.849	-2.32	-2.254	-2.173	-2.296	-2.099	-2.615	-2.202	0.002	0.27	1.233	-0.033	-2.041	0.143	-0.125	0.075	-1.751
"YOR310C"	0.728	1.211	1.223	1.0465	-6.006	-3.303	-3.319	-4.7765	-7.1385	-2.5655	-3.766	-3.838	-4.105	-4.745	-5.099	-4.866	0.202	0.711	1.276	0.101	-2.849	-0.297	-0.218	0.099	-4.629
"YOR312C"	0.761	1.374	1.167	0.9475	-3.8645	-2.227	-2.2895	-3.3005	-4.8175	-2.054	-2.99	-2.511	-2.402	-2.039	-1.569	-3.224	0.298	0.5755	1.4125	0.348	-1.883	0.303	0.094	-0.008	-3.433
"YOR323C"	0.242	0.575	0.361	0.1355	-2.5575	-1.941	-2.0305	-4.2845	-6.434	-1.2325	-1.9425	-1.557	-1.382	-2.742	-3.497	-3.428	0.153	-0.1565	0.5905	0.693	-1.603	0.229	-0.079	0.15	-2.03
"YPL037C"	0.804	0.835	0.69	0.915	-2.6595	-1.975	-2.12	-3.9955	-5.417	-1.4285	-1.813	-1.561	-1.872	-2.115	-3.222	-3.654	-0.106	0.57	0.9945	-0.193	-1.648	0.507	0.281	0.134	-1.607
"YPL043W"	0.535	0.604	1.064	1.0935	-4.668	-2.036	-2.04	-2.4695	-3.79	-2.2635	-3.157	-2.069	-2.134	-1.995	-2.623	-2.739	-0.112	0.6335	0.5575	-0.326	-1.87	-0.315	-0.57	0.191	-2.958
"YPL081W"	-0.243	0.427	0.779	0.714	-4.5065	-2.508	-3.086	-3.4025	-6.801	-1.7785	-2.5355	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	0.2385	1.001	0.127	-1.844	0.415	0.291	-0.095	-2.359
"YPL142C"	0.366	1.023	1.2695	1.009	-3.1395	-1.78	-1.891	-3.5865	-5.604	-2.088	-2.825	-2.303	-2.376	-2.148	-2.632	-2.979	0.2	0.534	1.161	-0.209	-2.011	0.253	0.122	0.142	-3.021
"YPL273W"	0.479	0.8235	0.772	0.938	-3.42133333333333	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.034	-2.94366666666667	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.0235	0.390333333333333	0.744333333333333	0.714	-2.628	0.552	0.323	0.282	-1.961
"YPR033C"	0.509	0.789	0.6725	0.5805	-2.7945	-2.534	-2.142	-4.8805	-7.94	-1.804	-2.32	-2.096	-2.55	-3.951	-4.382	-4.54	0.015	0.209	0.6775	0.435	-2.107	0.006	-0.293	0.327	-2.033
"YPR060C"	0.436	0.26	0.5105	0.719	-3.5465	-3.446	-3.377	-2.069	-3.801	-1.514	-1.7345	-1.98	-2.627	-2.107	-3.352	-2.894	-0.092	0.387	0.7485	0.203	-2.467	0.177	0.129	-0.493	-1.945
"YPR118W"	0.195	1.07	0.7795	0.756	-2.848	-2.706	-3.095	-3.9965	-5.524	-2.1155	-2.525	-2.594	-2.077	-2.882	-3.334	-3.538	0.036	0.2995	0.5705	0.162	-1.794	0.094	-0.239	0.177	-1.789
"YPR187W"	0.365	1.237	1.0935	0.9015	-2.5615	-1.511	-1.4365	-3.609	-5.408	-2.045	-2.283	-1.816	-2.016	-2.28	-2.584	-3.22	-0.039	0.5085	1.2765	-0.158	-1.604	0.14	0.006	0.088	-2.061
