	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"11827.Pomona College Bio164: WT/dna2-1"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YGR155W"	0.476	0.257	0.431	0.43	0.392	0.674	0.363	-0.15	-1.383	-0.902	-1.262	-0.984	-1.39	-4.396	-0.015	0.046	0.119	0.178	-1.318	-1.786	-2.407	-0.002	0.461	0.048	0.3315	1.057	-0.576	-1.97	-2.099	-1.553	-1.582	-1.769	-1.434
"YGR214W"	0.407	0.351	0.573	0.145	-0.354	0.374	-1.829	-2.515	-4.3	-2.826	-2.795	-2.24	-3.03	-5.16	-3.581	-2.953	-2.7	0.468	-0.955	-1.925	-3.246	-0.233	-0.054	-0.225	0.71	-0.765	1.872	-3.673	-2.906	-2.083	-3.805	-2.3	-2.11
"YHR025W"	0.69	0.639	0.735	0.296	0.565	0.748	-1.411	-1.377	-3.632	-1.376	-1.47	-1.274	-2.666	-5.429	-2.472	-2.269	-2.199	-0.188	-1.471	-2.319	-2.178	-0.614	-0.072	-0.016	0.502	0.943	1.013	-3.915	-2.334	-1.934	-3.0	-1.597	-1.63
"YHR127W"	0.647	0.568	0.296	0.522	-0.006	0.177	-0.404	-0.978	-1.85	-1.131	-0.613	-0.487	-1.518	-2.837	-1.385	-1.034	-0.982	0.004	-1.135	-1.011	-1.628	0.01	-0.216	-0.657	-0.366	0.874	-0.047	-0.897	-0.667	0.265	-1.399	-0.18	-0.14
"YHR142W"	0.001	0.345	0.247	-0.062	-0.0425	-0.095	0.691	0.162	-0.878	-0.403	-0.512	-0.622	-1.533	-2.576	-0.885	-0.635	-0.905	0.223	-0.607	-0.788	-0.545	-0.05	0.051	-0.022	-0.338	0.483	0.278	-1.338	-0.772	-0.939	-1.063	-1.155	-0.356
"YHR203C"	0.411	0.405	0.946	0.228	0.5205	0.563	-1.279	-2.585	-3.926	-2.827	-3.148	-2.671	-3.782	-5.944	-3.917	-3.774	-3.412	0.587	-2.575	-3.081	-3.941	-0.367	0.063	-0.034	0.705	-2.06	0.908	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785
"YHR208W"	0.22	-0.085	0.276	0.118	0.5725	0.344	-1.924	-2.459	-3.191	-1.767	-1.529	-1.413	-3.12	-4.064	-2.446	-2.137	-1.934	-1.463	-2.263	-2.683	-2.939	0.196	-0.045	-0.217	-0.354	NaN	1.025	-4.041	-3.355	-2.435	-3.596	-3.088	-2.843
"YIL018W"	0.825	0.743	0.849	0.362	-0.146	0.233	-1.888	-2.824	-4.365	-3.03	-2.782	-2.724	-3.492	-5.749	-3.362	-3.505	-3.056	0.447	-2.661	-3.27	-3.914	-0.261	0.458	-0.114	1.527	-1.856	0.827	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806
"YIL052C"	0.956	0.918	0.596	0.61	-0.18	0.23	-1.558	-2.49	-3.856	-3.261	-2.954	-2.61	-2.895	-6.278	-2.82	-2.793	-2.559	0.466	-2.162	-2.5	-3.158	0.126	-0.043	-0.73	0.291	-1.962	1.102	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94
"YIL097W"	-0.551	-0.671	-0.682	-0.354	0.0685	-0.935	1.009	1.462	3.652	2.439	2.393	2.036	3.556	1.438	1.732	2.315	1.786	-0.569	2.674	2.268	1.763	0.04	0.319	-0.053	-0.523	NaN	-1.037	2.145	1.491	1.067	1.995	2.194	0.877
"YIL111W"	-0.881	-0.377	-0.493	-0.478	0.186	-0.543	1.454	1.308	3.567	0.705	0.653	0.054	0.131	-2.06	1.65	0.288	0.034	-0.496	1.226	1.172	0.658	-0.189	0.023	0.013	-0.159	1.226	0.991	2.437	1.759	0.968	2.635	2.316	1.215
"YIL133C"	0.08	0.154	0.081	-0.148	-0.475	0.095	-1.391	-2.661	-3.333	-3.196	-3.135	-2.331	-2.693	-5.79	-2.93	-2.571	-2.194	0.405	-2.615	-3.007	-3.393	0.002	0.041	-0.184	0.311	-1.034	1.623	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466
"YIL148W"	0.634	0.421	0.389	0.39	0.152	0.15	-0.817	-1.398	-1.734	-1.482	-1.408	-1.077	-1.931	-3.41	-1.789	-2.019	-1.629	0.423	-0.901	-1.348	-2.118	0.041	0.103	-0.922	0.263	0.845	1.185	-2.58	-2.025	-1.956	-2.552	-2.609	-1.815
"YJL014W"	0.218	0.021	0.294	0.243	-0.258	0.393	-0.087	-0.423	-1.884	-1.661	-1.298	-1.283	-2.624	-3.962	-1.585	-1.866	-1.425	0.022	-2.252	-3.068	-2.866	-0.02	0.242	0.011	0.261	0.563	0.139	-2.007	-1.358	-1.024	-1.344	-1.416	-0.623
"YJL111W"	0.59	0.499	-0.566	0.435	-0.2125	0.216	-0.315	-0.035	-1.744	-1.717	-1.355	-1.285	-3.38	-6.57	-1.929	-1.669	-1.796	0.192	-1.573	-1.994	-2.239	0.018	0.203	0.16	0.383	-0.595	-0.278	-2.75	-2.343	-1.819	-1.829	-2.027	-2.019
"YJL145W"	0.168	-0.223	-0.101	0.371	0.079	-0.259	-1.103	-1.45	-2.076	-1.698	-1.277	-0.742	-2.136	-3.628	-1.713	-1.117	-1.336	0.311	-2.303	-2.334	-2.853	-0.167	0.374	-0.31	0.526	-0.483	0.998	-0.529	-0.792	-0.957	-1.581	-1.582	-1.22
"YJL179W"	0.004	0.096	-0.201	0.011	-0.082	-0.414	0.096	-0.416	-1.056	-1.704	-0.966	-1.471	-2.457	-4.843	-1.417	-1.763	-1.397	0.165	-1.17	-1.585	-0.391	-0.057	0.415	-0.368	-0.383	-0.075	0.912	-1.241	-1.288	-0.564	-1.339	-1.722	-1.504
"YJL189W"	0.381	0.194	-0.234	0.395	0.252	-0.394	-0.867	-1.93	-3.545	-2.317	-2.319	-2.282	-2.901	-4.28	-2.446	-2.278	-1.716	0.679	-1.577	-2.282	-2.837	0.038	-0.245	-0.934	-0.374	-0.933	0.32	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288
"YJR064W"	0.408	0.413	0.292	0.368	-0.1135	0.432	-0.156	-0.573	-3.248	-2.118	-1.695	-2.216	-1.931	-4.297	-2.003	-2.214	-1.978	0.051	-1.961	-2.702	-2.57	0.023	0.122	0.142	-0.276	-0.662	-0.671	-1.981	-1.001	-0.402	-1.421	-1.607	-1.108
"YJR105W"	0.792	0.616	0.53	0.392	0.508	0.197	-1.04	-1.207	-2.77	-1.093	-1.685	-1.401	-1.424	-4.641	-2.087	-1.587	-2.56	0.015	-1.362	-1.023	-1.04	-0.234	0.56	0.089	0.518	-0.63	0.32	-2.371	-1.138	-1.597	-2.447	-1.661	-1.64
"YJR145C"	0.667	0.733	0.717	0.39	0.5215	0.46	-1.245	-2.537	-4.507	-3.488	-3.177	-2.731	-3.54	-6.528	-3.551	-3.547	-3.597	0.622	-2.519	-3.105	-3.178	-0.172	0.493	0.052	0.476	-0.765	1.977	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74
"YKL006W"	0.738	0.65	0.785	0.032	-0.245	0.066	-1.129	-2.018	-4.299	-3.901	-3.389	-2.854	-2.835	-5.113	-3.049	-3.027	-2.997	0.947	-1.939	-2.29	-2.843	-0.003	0.065	-0.306	0.267	-1.874	2.45	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993
"YKL024C"	-0.185	-0.15	0.092	-0.205	-0.2955	-0.311	-0.544	-0.521	-2.211	-1.535	-1.404	-1.438	-2.025	-5.4	-1.547	-1.696	-1.45	0.575	-0.542	-1.239	-1.798	-0.547	0.547	0.256	0.242	1.195	2.008	-1.628	-1.143	-1.034	-1.568	-2.021	-1.027
"YKL073W"	0.292	0.173	0.338	0.294	-0.037	0.375	1.573	1.468	-1.767	-1.697	-1.279	-0.85	-2.672	-3.282	-1.348	-1.282	-1.264	-0.22	-2.148	-2.623	-3.195	0.09	-0.3	0.283	-0.126	-1.339	-0.281	-2.546	-1.74	-1.566	-1.835	-1.673	-1.506
"YKL180W"	0.93	0.503	0.732	0.526	0.058	0.642	-1.825	-2.553	-2.661	-2.738	-2.549	-1.831	-2.561	-5.237	-2.625	-3.204	-2.593	0.599	-2.059	-2.04	-2.857	0.332	0.571	-0.694	-0.477	-1.015	2.281	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254
"YLL045C"	1.088	0.884	1.063	0.575	0.036	0.737	-1.602	-2.573	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-3.169	-3.335	-3.185	0.568	-2.943	-3.021	-3.731	-0.042	0.681	-0.157	0.265	-0.549	0.965	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635
"YLR029C"	1.126	1.225	0.913	0.554	0.378	0.553	-1.953	-1.826	-3.174	-2.641	-3.465	-2.572	-3.615	-6.877	-2.777	-2.809	-2.78	0.631	-2.242	-2.378	-2.987	-0.016	0.493	-0.379	0.842	-1.042	0.77	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153
"YLR048W"	0.908	0.855	0.833	0.556	0.759	0.742	-1.634	-2.441	-4.075	-2.679	-2.64	-2.034	-3.645	-3.72	-3.296	-3.55	-2.771	0.859	-2.294	-2.17	-3.634	-0.106	0.532	-0.086	0.379	-1.741	0.25	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576
"YLR075W"	0.951	0.886	0.608	0.283	0.588	0.283	-1.593	-2.513	-4.356	-3.127	-2.622	-2.246	-1.991	-6.109	-2.552	-2.46	-2.807	0.657	-1.003	-2.135	-2.586	-0.205	0.736	0.057	-0.335	-1.304	0.576	-4.584	-2.951	-2.268	-4.051	-3.6	-2.245
"YLR167W"	0.566	0.621	0.542	0.025	0.657	0.119	-0.978	-1.294	-1.481	-2.342	-1.799	-1.963	-1.761	-4.496	-1.882	-1.934	-2.295	0.811	-1.334	-1.976	-2.263	0.143	-0.022	0.047	-0.311	-1.966	0.518	-3.929	-2.902	-2.68	-3.272	-3.393	-2.874
"YLR172C"	0.45	0.135	0.622	0.068	0.236	0.342	-1.225	-1.078	-1.435	-0.556	-0.587	-0.207	-1.228	-4.325	-1.627	-1.604	-1.201	0.285	-0.531	-1.476	-1.169	0.408	0.177	-0.649	0.079	1.091	0.995	-2.742	-1.671	-1.534	-2.202	-1.545	-1.227
"YLR185W"	0.161	-0.018	0.072	-0.038	0.69	0.481	-1.306	-2.435	-4.508	-3.498	-3.001	-2.551	-2.578	-5.928	-2.94	-2.559	-2.616	0.58	-2.015	-2.479	-3.065	-0.033	0.41	0.25	0.402	-1.651	1.77	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643
"YLR212C"	0.44	0.232	0.441	0.24	-0.654	0.374	-1.058	-1.047	-1.673	-0.302	0.391	-0.109	-1.846	-6.673	-1.003	-1.234	-0.697	-0.115	-0.696	-1.095	-0.695	0.6	NaN	-0.04	-0.35	0.293	-0.247	-2.607	-2.302	-2.506	-2.98	-1.959	-1.533
"YLR293C"	0.773	0.761	0.251	0.208	0.682	0.292	-0.733	-1.011	-3.594	-2.185	-2.087	-2.565	-3.488	-6.281	-2.107	-1.751	-2.233	0.117	-2.379	-3.03	-3.186	-0.238	0.495	0.357	0.399	-0.881	1.274	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899
"YLR325C"	0.508	0.586	0.216	0.212	0.301	-0.348	-1.083	-2.174	-4.528	-3.555	-3.974	-3.918	-2.337	-5.498	-3.178	-3.753	-2.76	0.978	-1.609	-1.204	-2.637	0.092	-0.735	-0.775	-0.021	-0.702	1.522	-2.769	-2.034	-1.466	-2.866	-2.701	-2.834
"YLR333C"	0.774	0.812	0.395	0.222	0.012	0.019	-1.343	-2.23	-3.93	-3.067	-2.402	-2.401	-3.011	-5.863	-3.538	-3.334	-2.939	0.96	-1.584	-2.45	-2.848	0.131	0.334	-0.63	-0.112	-1.367	1.112	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359
"YLR339C"	0.778	0.79	0.558	0.075	0.751	0.179	-1.817	-2.05	-3.243	-2.951	-2.69	-2.664	-4.988	-6.865	-2.453	-3.194	-3.201	0.246	-2.461	-3.161	-3.973	-0.354	0.475	0.199	-0.076	-0.123	0.917	-4.034	-3.474	-3.052	-3.409	-3.723	-3.161
"YLR340W"	0.749	0.619	0.482	0.285	-0.33	0.756	-1.531	-1.992	-2.59	-2.224	-2.566	-1.969	-4.11	-6.819	-2.128	-2.646	-3.015	0.459	-2.702	-3.206	-4.105	-0.251	0.182	-0.145	-0.019	-1.445	1.065	-4.14	-3.346	-3.304	-3.405	-3.289	-2.708
"YLR388W"	0.79	0.559	0.74	0.738	0.428	0.473	-1.394	-2.289	-3.12	-2.544	-2.264	-1.926	-3.596	-5.506	-3.204	-3.058	-2.742	0.583	-2.232	-2.581	-3.193	0.041	0.589	0.002	-0.02	-1.639	0.876	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816
"YLR448W"	0.746	0.543	0.661	0.386	-0.478	0.484	-1.486	-2.804	-4.815	-3.882	-3.116	-3.083	-3.552	-5.971	-3.425	-3.454	-3.179	0.861	-2.668	-3.192	-4.132	0.23	0.136	-0.466	-0.061	1.217	1.398	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161
"YML008C"	0.061	0.079	0.013	0.059	-0.669	-0.249	-1.096	-1.443	-2.795	-2.419	-1.034	-0.545	-4.23	-4.829	-1.558	-1.093	-1.94	0.471	-3.358	-5.162	-3.504	-0.392	1.045	0.346	0.889	-0.305	-0.014	-3.199	-2.808	-2.562	-2.241	-2.487	-2.113
"YML063W"	1.029	0.706	0.422	0.314	0.601	0.206	-1.399	-2.716	-4.408	-3.73	-3.027	-2.778	-4.048	-13.273	-3.657	-3.146	-3.415	0.667	-3.123	-3.364	-4.059	-0.253	-0.033	-0.416	-0.138	-2.068	0.542	-4.819	-3.531	-2.707	-4.008	-3.578	-2.829
"YML074C"	0.093	0.16	0.042	0.047	-0.031	-0.064	-0.301	-0.623	-2.476	-2.119	-1.152	-1.538	-2.837	-5.319	-1.258	-1.23	-1.664	0.186	-2.826	-3.214	-3.466	0.045	0.699	0.094	0.322	-0.173	-0.38	-1.353	-1.494	-1.074	-1.384	-1.274	-1.659
"YMR121C"	1.158	1.33	0.824	0.488	0.469	0.502	-1.731	-1.194	-3.215	-2.875	-2.279	-2.002	NaN	-4.199	-2.574	-2.217	-2.44	0.887	-2.277	-2.155	-2.582	-0.219	0.588	-0.41	0.572	-0.786	1.081	-3.713	-2.508	-2.69	-3.436	-2.969	-2.254
"YMR123W"	0.408	0.46	0.069	0.659	0.305	0.186	-0.553	-0.636	-3.098	-1.897	-1.503	-2.225	-2.374	-3.061	-2.235	-1.468	-1.286	0.444	-1.615	-1.137	-1.512	-0.13	0.752	-0.369	-0.225	NaN	0.589	-2.52	-1.331	-1.183	-1.533	-1.272	-0.879
"YMR202W"	0.238	0.444	0.146	0.24	0.217	0.056	-0.637	-1.517	-3.652	-2.101	-2.009	-1.785	-4.391	-5.431	-1.983	-1.581	-1.907	0.309	-2.263	-2.876	-2.931	-0.24	1.009	-0.194	-0.0505	0.6675	0.237	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11
"YMR242C"	0.822	0.67	0.515	0.368	0.758	0.094	-1.261	-2.703	-4.702	-3.631	-3.819	-3.001	-3.971	-6.226	-3.832	-4.338	-3.636	0.77	-2.601	-3.133	-3.475	-0.057	0.094	-0.297	1.4225	-1.4935	0.918	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771
"YNL069C"	0.87	0.674	0.447	0.17	0.473	0.449	-1.327	-2.405	-3.663	-3.006	-2.506	-1.993	-4.006	-4.824	-3.44	-3.85	-3.199	0.662	-2.107	-2.509	-3.665	0.228	-0.058	-0.624	0.062	-0.862	0.598	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02
"YNL089C"	0.372	0.029	0.487	0.073	-0.036	0.245	-0.195	-0.502	-1.202	-0.797	-0.46	-0.924	-2.333	-2.142	-1.254	-1.218	-1.259	0.13	-1.866	-1.819	-2.26	0.023	-0.013	-0.427	0.2405	1.03	0.259	-0.872	-0.839	-0.681	-1.474	-1.578	-0.762
