	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1170.pho85 delete vs. wild type"	"1250.mec1_plus_gamma_10_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2144.heat shock 37 to 37, 30 minutes"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"33414.delKIN82_heat shock _0min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YGR245C"	-5.097	-5.1995	-4.2355	-3.9115	-1.8945	-4.207	-2.765	-2.396	-1.545	-1.475	-2.482	-3.799	-1.068	-3.273	-2.711	-1.833	-3.164	-2.228	-2.367	-2.154	-2.194	-2.446	-3.203	-1.671	-0.952	-1.044	0.283	-0.142	-1.211	-1.483	-2.288	0.04	-4.6765	-0.614	-0.118	0.569	-3.415	NaN	-1.044	-0.71	-1.186	-0.68
"YHR170W"	-5.3995	-4.622	-4.723	-3.947	-1.2945	-4.51	-1.901	-2.071	-1.573	-1.404	-2.573	-4.858	-0.84	-2.759	-2.694	-1.429	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	-1.344	-0.488	-0.841	0.154	0.181	-0.853	-1.052	-1.32	-0.218	-5.252	-0.103	0.098	-0.342	-3.601	-0.333	-0.227	-0.291	-0.394	-0.333
"YHR196W"	-4.423	-3.5265	-3.894	-3.3595	-1.0035	-3.061	-2.692	-2.23	-1.968	-1.4	-2.447	0.884	-0.076	-2.461	-2.348	-1.41	-3.843	-2.204	-2.19	-1.992	-2.264	-2.831	-2.681	-1.239	0.773	-0.952	0.279	-0.113	-0.962	-0.54	-1.371	-0.117	-3.967	-0.064	-0.2	-1.053	-2.306	-1.21	-0.458	0.075	-0.231	0.148
"YHR203C"	-1.486	-2.0645	-2.8785	-3.5975	-0.7715	-3.926	-2.827	-3.148	-2.671	-2.372	-3.782	-5.944	-1.473	-3.917	-3.774	-3.049	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-1.266	-0.745	-0.289	0.39	0.441	-0.357	-0.319	-1.8	0.109	-2.809	0.736	0.617	0.626	-3.717	-2.05	-0.473	-0.138	-0.485	-0.81
"YJL069C"	-3.028	-3.073	-2.9805	-3.0365	-1.212	-4.742	-2.843	-2.261	-2.587	-2.233	-3.072	-6.298	-0.541	-1.49	-2.566	-1.513	-2.694	-1.774	-1.863	-1.855	-1.613	-1.653	-2.017	-1.295	0.123	-0.998	0.435	0.609	-0.685	-0.746	-0.751	-0.566	-3.224	-0.923	-0.323	-0.666	-2.354	-1.301	-0.536	-0.534	-0.64	-0.713
"YJR145C"	-1.459	-2.2535	-2.8575	-3.3335	-0.6635	-4.507	-3.488	-3.177	-2.731	-2.328	-3.54	-6.528	-1.641	-3.551	-3.547	-3.707	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-0.752	-0.657	-0.36	0.134	0.764	-0.291	-0.223	-1.761	0.112	-2.7805	0.683	0.894	0.879	-4.108	-1.724	-0.358	-0.325	-0.444	-0.502
"YLR009W"	-4.735	-4.564	-4.204	-3.864	-1.087	-4.675	-2.624	-2.259	-2.408	-1.898	-2.518	-5.388	-0.697	-2.737	-2.637	-1.838	-3.455	-2.226	-1.984	-2.757	-2.555	-3.216	-2.799	-1.169	-0.956	-1.153	0.175	0.061	-1.235	-0.938	-1.049	-0.094	-4.344	-0.856	-0.101	0.429	-3.361	-2.04	-0.788	-0.449	-0.829	-0.356
"YLR061W"	-1.678	-2.212	-3.322	-3.851	-0.752	-4.925	-4.297	-4.115	-3.603	-2.908	-4.939	-6.591	-1.362	-3.239	-3.818	-3.058	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.77	-0.571	-0.377	0.518	0.94	-0.438	-0.171	-1.944	0.098	-2.697	0.611	0.665	0.111	-4.004	-1.487	-0.907	-0.294	-0.601	-0.712
"YLR129W"	-4.096	-3.022	-3.676	-3.658	-1.33	-4.83	-2.28	-3.089	-2.498	-2.028	-2.877	-4.914	-0.675	-3.12	-2.647	-2.333	-3.861	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	-1.299	-0.579	-0.781	-0.281	-0.029	-1.221	-0.849	-1.91	0.065	-4.108	-0.165	-0.114	-0.638	-4.119	-1.753	-0.278	-0.184	-0.502	-0.311
"YLR175W"	-4.176	-3.679	-4.552	-4.902	-1.32	-5.607	-3.276	-2.921	-2.657	-2.484	-3.401	-5.468	-0.783	-3.996	-3.068	-3.152	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	NaN	-0.922	NaN	0.375	0.171	-1.179	-0.983	-2.214	-0.265	-4.431	0.105	-0.236	-0.04	-4.338	-2.713	-0.259	-0.084	-0.197	0.485
"YLR197W"	-4.98	-4.044	-4.76	-5.179	-1.654	-5.817	-3.612	-3.173	-2.795	-2.789	-4.736	-5.242	-1.088	-3.899	-3.238	-3.282	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	NaN	-0.814	-0.215	0.494	0.341	-1.26	-1.07	-2.453	-0.315	-5.072	0.099	-0.187	0.508	-4.545	-3.015	-0.618	-0.655	-0.759	-0.762
"YMR093W"	-2.825	-3.204	-3.006	-2.835	-1.133	-1.169	-3.661	-3.154	-2.81	-2.903	-3.98	-4.21	-0.775	-2.075	-2.079	-2.068	-3.288	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	-2.213	-0.243	-0.935	0.129	0.289	-0.55	-0.636	-0.344	-0.104	-3.181	-0.699	0.664	-0.98	-3.843	-1.843	-0.714	-0.687	-0.692	-0.951
"YMR131C"	-4.819	-4.183	-4.525	-4.347	-1.327	-5.631	-3.641	-3.811	-2.698	-2.414	-5.052	-6.665	-0.65	-3.547	-2.98	-3.081	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-0.838	-0.362	-0.911	0.297	0.028	-1.786	-1.074	-2.295	-0.093	-4.674	-0.263	-0.582	-0.541	-4.181	-2.03	-0.499	-0.408	-0.536	-0.465
"YMR242C"	-2.278	-2.539	-3.309	-3.708	-0.772	-4.702	-3.631	-3.819	-3.001	-2.522	-3.971	-6.226	-1.253	-3.832	-4.338	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.655	-0.713	-0.418	0.362	0.499	-0.524	-0.223	-1.87	0.197	-3.054	0.571	1.024	0.834	-4.607	-1.905	-0.514	-0.236	-0.562	-0.604
"YMR290C"	-3.64	-3.689	-3.89	-3.624	-1.716	-5.132	-3.842	-3.455	-3.073	-2.719	-3.509	-5.217	-0.68	-3.243	-3.378	-2.846	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	-1.144	-1.13	-0.801	0.191	0.369	-1.015	-1.277	-1.973	-0.323	-4.129	-0.831	-0.416	-0.124	-4.544	-2.21	-0.644	-0.707	-0.816	-0.989
"YNL002C"	-4.666	-4.07	-4.559	-4.222	-1.118	-5.196	-2.914	-2.785	-2.336	-1.951	-2.73	-3.468	-0.578	-3.072	-2.59	-2.177	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	-1.129	-1.005	-0.998	-0.035	0.035	-1.678	-1.062	-1.586	-0.095	-4.603	-0.285	-0.519	-0.542	-4.466	-2.619	-0.926	-0.668	-0.841	-0.399
"YNL132W"	-4.679	-5.146	-3.329	-4.954	-1.943	-5.826	-3.389	-2.815	-3.25	-2.572	-4.956	-6.392	-1.371	-3.285	-3.141	-2.512	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-1.435	-1.284	-0.829	0.159	-0.302	-0.954	-1.488	-1.64	-0.305	-3.45	-0.229	-0.092	-0.623	-3.989	-2.269	-0.55	-0.667	-0.715	-0.525
"YNL175C"	-5.334	-4.901	-4.362	-3.931	-1.369	-4.877	-2.65	-2.975	-2.4	-2.146	-2.872	-6.011	-0.893	-2.575	-2.601	-1.735	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	-1.129	-0.564	-1.168	0.262	0.122	-0.967	-1.122	-1.834	-0.284	-5.147	-0.295	-0.9825	-0.807	-2.5475	-0.823	-0.9695	-0.6575	-0.708	-0.3845
"YNL182C"	-6.33	-4.05	-4.805	-3.807	-1.44	-4.184	-3.243	-3.17	-2.812	-2.323	-5.862	-2.532	-1.04	-2.667	-2.624	-2.311	-3.931	-2.613	-2.5	-2.685	-3.434	-3.351	-2.827	-1.179	-0.701	-1.342	0.12	0.082	-1.371	-0.997	-1.675	-0.201	-4.61	-0.502	-0.699	-1.077	-3.607	-1.208	-0.501	-0.638	-0.688	-0.765
"YNL248C"	-4.791	-4.315	-4.455	-4.373	-1.343	-5.716	-3.559	-4.488	-3.442	-2.794	-4.575	-5.215	-0.381	-3.866	-3.014	-3.947	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	-1.242	-0.833	-0.842	0.275	0.292	-1.778	-0.797	-2.203	-0.111	-4.868	0.103	-0.374	-0.574	-6.193	-3.661	-0.556	-0.406	-0.535	-0.818
"YOR243C"	-3.594	-3.234	-3.633	-3.982	-1.413	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-3.3625	-4.3935	-0.586	-2.588	-2.1815	-2.414	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	-1.039	-0.862	-0.532	0.211	0.047	-1.098	-0.732	-2.226	-0.065	-4.099	-0.108	0.014	0.252	-2.825	-1.862	-0.211	-0.188	-0.154	-0.102
"YOR272W"	NaN	-3.645	-2.566	1.0	-1.576	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-3.353	-4.712	-0.7375	-3.033	-2.763	-1.376	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	-1.083	-0.319	-0.93	0.028	0.202	-0.65	-1.023	-1.244	0.134	-2.217	-0.179	-0.368	-0.764	-3.502	-1.678	-0.636	-0.514	-0.738	-0.692
"YOR309C"	-4.991	-4.328	-5.523	-5.514	-1.808	-6.798	-4.4185	-4.0545	-4.227	-3.75	-4.234	-6.859	-0.975	-3.709	-3.9105	-2.194	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.997	-0.98	-0.261	0.27	-0.072	-1.12	-0.86	-2.255	-0.142	-4.939	0.411	-0.235	-0.166	-4.097	-2.63	-1.41	-1.044	-1.344	-1.13
"YOR310C"	-5.053	-4.365	-4.639	-3.004	-1.747	-6.006	-3.92	-3.4655	-3.0705	-3.303	-4.7765	-7.1385	-1.0005	-3.766	-3.585	-2.603	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.981	-0.299	-0.481	0.222	0.311	-1.306	-0.768	-2.194	0.024	-4.948	0.463	-0.217	0.333	-5.14	-3.033	-1.189	-0.909	-1.184	-1.042
"YPL079W"	-2.261	-2.597	-3.115	-3.828	-0.879	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-3.892	-6.4765	-1.563	-3.085	-3.172	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.275	-0.548	-0.616	0.055	0.418	-0.287	-0.207	-1.564	-0.1435	-3.135	0.136	1.136	0.613	-3.573	-1.449	-0.721	-0.302	-0.573	-1.115
"YPL081W"	-2.088	-2.158	-2.931	-3.841	-0.53	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.4025	-6.801	-0.895	-2.5355	-2.916	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.582	-0.462	-0.531	-0.137	0.212	0.075	-0.043	-1.266	0.146	-2.52	0.257	0.511	0.28	-3.939	-1.902	-0.736	-0.312	-0.685	-0.632
"YPL086C"	-2.374	-1.502	-2.561	-2.524	-1.24	-3.4025	-1.371	-1.22	-1.1505	-1.1455	-2.5065	-5.552	-0.621	-2.6475	-2.4025	-1.6415	-2.484	-1.489	-1.604	-1.418	-1.907	-1.958	-2.56	-1.482	-0.555	-0.72	0.113	0.15	-0.869	-0.976	-1.462	-0.013	-2.138	0.066	-0.518	-0.723	-3.672	-0.792	-0.407	-0.584	-0.795	-0.78
"YPL090C"	-2.294	-2.09	-3.529	-3.965	-0.751	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-4.364	-6.197	-1.263	-3.398	-3.223	-3.2385	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.484	-0.316	-0.373	0.321	0.294	-0.467	-0.548	-1.976	0.184	-3.272	0.282	0.32	-0.129	-4.101	-1.747	-0.174	-0.088	-0.294	-0.35
"YPL226W"	-3.457	-3.002	-3.229	-4.183	-1.431	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-3.95033333333333	-5.67966666666667	-0.600333333333333	-3.37333333333333	-2.503	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-1.425	-0.4755	-0.395	0.105	-0.11	-0.539	-0.6695	-1.3215	0.4925	-3.215	-0.347	0.464	0.312	-3.811	-1.952	0.018	0.059	-0.042	-0.113
"YPR102C"	-2.11	-2.298	-3.37	-4.232	-0.478	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-4.045	-6.451	-1.274	-3.5055	-4.118	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-0.718	-0.733	-0.359	0.326	0.288	-0.503	-0.34	-1.98	0.189	-3.007	0.548	1.292	0.577	-4.015	-1.558	-0.354	-0.07	-0.369	-0.381
"YPR110C"	-3.178	-3.084	-3.52	-3.728	-0.629	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.662	-6.318	-0.9515	-3.01	-3.296	-2.0215	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-1.359	-0.755	-0.741	0.352	0.196	-1.228	-0.593	-1.245	0.13	-3.168	-0.012	0.406	0.128	-3.882	-2.538	-0.297	-0.061	-0.273	-0.416
"YPR112C"	-0.627	-2.839	-1.994	-3.273	-1.963	-3.443	-2.472	-2.345	-2.418	-1.45	-1.7485	-3.311	-0.269	-2.1835	-2.12	-1.4615	-2.327	-2.287	-1.815	-2.126	-2.141	-2.48	-1.838	-0.358	-0.31	-0.385	-0.102	0.048	-0.073	-0.129	-0.556	0.177	-3.648	-0.086	-0.356	-0.956	-3.372	-1.591	-0.509	-0.048	-0.328	0.435
"YPR163C"	-2.552	-2.832	-3.276	-3.939	-1.438	-3.6815	-2.265	-2.266	-1.717	-1.8375	-2.9485	-5.4905	-0.56	-2.5635	-2.469	-2.0525	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-1.531	-0.474	-0.407	0.338	0.0695	-0.87	-0.59	-1.34	0.198	-3.572	0.412	-0.39	0.108	-3.575	-1.488	-0.665	-0.424	-0.577	-0.007
"YPR190C"	-2.139	-2.209	-2.308	-2.807	-1.78	-3.288	-1.7615	-1.4335	-1.441	-1.5705	-3.3155	-3.101	-0.286	-2.21	-1.9665	-1.1755	-1.497	-1.343	-0.983	-0.705	-1.601	-1.95	-2.429	-1.405	-0.476	-0.891	0.077	-0.018	-0.392	-0.91	-0.911	-0.743	-2.414	-0.014	-0.848	-0.665	-2.124	-0.585	-0.71	-0.491	-0.795	-0.577
