	"512.2.5mM DTT 005 min"	"686.YP ethanol vs reference pool"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"12061.Pomona College Bio164: dna2-1/WT"	"12368.Muhlenberg College Bio550: wt /fus3 mutant"	"12733.Nitrogen Depletion 8 h"	"18434.2mM MD 100min"	"21661..24 mM H2O2- 049 minutes/redo"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34357.batch 02X25 1"	"40948.H2O2_II_28_min"	"40959.H2O2_II_160_min"	"42221.U2 Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42378.CC PU 2A Phosphate-Uracil Chemostat Comparison"
"YER101C"	-1.036	1.078	0.339	0.467	2.427	2.086	2.453	0.399	0.276	-0.123	1.177	1.403	1.319	-0.062	-0.022	1.61	2.538	3.054	2.598	-0.03	-0.82	0.357	1.1385	1.017	2.135	2.944	2.252	1.048	2.15	-0.5	-0.674	-0.336	-0.66	-0.09	0.29	0.184
"YER131W"	0.491	-1.21	-2.511	-1.797	-2.813	-3.262	-3.664	-6.55	-2.634	-0.482	-2.621	-2.795	-2.905	0.248	0.333	-4.139	-2.105	-2.654	-3.304	0.2895	-1.2785	-2.775	-1.44425	-0.599	-3.237	-3.578	-4.068	-2.732	-3.858	0.822	0.226	0.7265	-1.939	-0.092	0.988	0.873
"YGL076C"	0.431	-0.842	-2.349	-1.633	-3.969	-3.136	-3.976	-5.667	-2.396	-0.394	-3.32	-2.996	-2.857	-0.366	-0.563	-4.142	-2.836	-2.79	-3.782	0.3675	-1.058	-2.969	-2.27433333333333	-1.346	-3.509	-3.347	-3.315	-2.544	-2.894	0.692	0.319	-0.4815	-1.339	1.592	0.396	0.326
"YGL102C"	0.767	-0.669	-2.115	-1.28	-3.419	-2.825	-2.658	-5.65	-1.718	0.044	-3.301	-3.227	-3.132	-0.271	-0.077	-3.32	-1.199	-1.938	-2.13	-0.234	-1.359	-2.0	-1.03466666666667	-1.19	-2.202	-3.272	-2.955	-2.203	-3.411	0.719	-1.111	-0.419	-1.681	-0.155	0.386	0.494
"YGL147C"	0.625	-1.473	-2.743	-1.941	-3.892	-3.111	-3.921	-7.507	-2.882	-0.116	-3.0	-3.753	-3.466	-0.343	0.6	-4.384	-3.018	-2.755	-3.483	-0.695	-1.312	-3.553	-2.02933333333333	-1.27	-2.6025	-3.1585	-3.3875	-2.3945	-3.135	0.756	-0.811	-0.937	-1.07	0.3895	0.0855	0.181
"YGR264C"	-0.297	-1.489	-1.217	-1.553	-3.787	-2.696	-5.206	-4.616	-1.919	-0.021	-3.505	-3.321	-2.811	-0.537	-0.749	-3.897	-4.623	-4.957	-4.753	-0.566	-1.127	-2.274	0.7925	-1.405	-2.673	-3.33	-3.082	-1.962	-2.066	0.521	-0.663	-1.621	-1.553	-1.423	0.008	-0.095
"YHR203C"	0.557	-2.628	-2.585	-1.621	-3.926	-2.827	-3.782	-5.944	-2.51	-0.226	-3.917	-3.774	-3.412	-0.423	-0.303	-4.669	-2.575	-3.081	-3.941	0.453	-2.204	-3.65	-1.5545	-1.268	-3.308	-3.717	-3.449	-2.785	-3.424	0.635	-0.934	-0.832	-0.822	-0.288	0.513	0.518
"YIL018W"	0.395	-1.109	-2.824	-2.493	-4.365	-3.03	-3.492	-5.749	-2.754	-0.694	-3.362	-3.505	-3.056	-0.084	-0.182	-3.907	-2.661	-3.27	-3.914	0.325	-2.225	-3.591	-1.2065	-1.13	-3.397	-4.06	-3.676	-2.806	-2.821	0.374	-0.848	-1.131	-1.034	0.627	0.101	0.229
"YIL146C"	-0.385	0.798	0.613	0.604	2.334	2.196	3.637	2.194	1.251	0.876	1.068	0.997	1.658	0.366	0.033	2.306	3.595	3.491	2.947	0.583	0.24	2.292	0.822	-1.374	0.878	1.024	1.778	0.827	2.204	0.419	NaN	-1.698	0.866	0.966	0.252	0.265
"YJL190C"	0.641	-1.053	-2.911	-2.272	-3.794	-3.553	-3.585	-6.079	-3.053	0.119	-3.969	-3.744	-3.536	0.107	0.571	-4.469	-2.941	-3.365	-3.524	0.838	-1.518	-3.532	-1.942	-1.538	-3.912	-4.874	-4.273	-3.311	-3.497	0.696	-0.875	-1.624	-0.518	1.662	0.202	0.331
"YJR008W"	-1.0	1.406	2.899	2.473	2.34	2.316	3.964	3.29	2.285	0.506	3.536	2.826	1.935	-0.135	0.294	3.467	4.553	5.21	4.377	-1.304	-1.617	2.324	0.0815	2.661	3.265	3.072	3.435	2.523	3.297	-0.469	-1.518	-0.897	-0.519	-0.153	0.167	0.142
"YJR041C"	0.86	-0.322	-0.985	-1.108	-3.864	-2.277	-3.322	-4.286	-1.797	-0.86	-1.873	-1.595	-0.994	0.424	-0.089	-2.769	-2.965	-2.872	-2.952	-0.585	-0.563	-2.468	1.249	-1.897	-2.551	-3.443	-2.965	-1.855	-1.034	0.226	-1.069	-1.103	-0.314	0.13	-0.212	-0.721
"YJR123W"	1.368	-1.858	-2.317	-1.807	-3.844	-3.276	-4.381	-9.147	-2.017	-0.128	-3.809	-3.529	-3.442	-0.213	-0.024	-4.282	-2.639	-3.543	-4.006	0.301	-0.564	-3.404	-2.424	-1.881	-3.113	-3.711	-4.025	-2.566	-3.587	1.017	-1.12	-0.544	-1.124	-0.189	0.182	0.385
"YKL056C"	0.362	-1.453	-1.904	-1.194	-3.205	-2.603	-3.426	-5.119	-1.652	-0.067	-1.914	-2.359	-2.371	-0.047	0.188	-2.468	-2.754	-3.265	-3.483	-0.95	-0.83	-1.827	-0.271	-1.273	-1.747	-2.472	-2.233	-1.941	-2.598	0.572	0.563	-1.396	-0.775	-0.386	-0.26	-0.186
"YKL060C"	0.794	-1.084	-0.353	-0.361	-2.383	-1.744	-1.412	-4.684	-0.383	-0.246	-0.705	-1.231	-1.902	0.019	0.043	-1.873	-0.564	-1.392	-2.196	0.778	-0.941	-0.322	-0.276	0.195	-1.568	-1.374	-1.758	-1.542	0.122	0.648	0.805	-0.491	-0.086	-0.232	0.542	0.557
"YKL180W"	0.774	-0.73	-2.553	-1.948	-2.661	-2.738	-2.561	-5.237	-2.195	-0.356	-2.625	-3.204	-2.593	0.03	0.436	-4.629	-2.059	-2.04	-2.857	0.084	NaN	-3.208	-1.506	-1.135	-3.339	-3.071	-2.962	-2.254	-2.482	0.721	-0.843	-0.372	-1.487	0.519	0.714	0.955
"YKR013W"	-0.17	-0.017	-1.331	-0.614	-2.29	0.17	-3.03	-2.894	-1.364	-0.317	-1.04	-1.679	-2.921	0.149	-0.307	0.03	-0.508	-0.788	-2.208	-0.299	-1.254	-1.049	-0.231	0.491	-0.942	-2.752	-1.641	-0.256	-1.711	-0.253	-0.081	0.195	0.818	0.028	0.027	-0.072
"YLL044W"	0.331	-1.193	-2.783	-2.271	-4.871	-3.525	-3.79	-6.48	-2.802	-0.369	-3.313	-3.031	-3.269	0.119	-0.208	-3.872	-2.724	-3.494	-3.967	-1.785	-2.475	-3.04	-1.891	-0.852	-2.774	-3.806	-2.77	-2.196	-2.935	0.919	0.162	0.627	-0.113	0.586	0.445	0.34
"YLL045C"	0.78	-0.971	-2.573	-1.975	-3.851	-3.176	-3.857	-6.618	-2.711	-0.031	-3.169	-3.335	-3.185	0.372	-0.074	-3.66	-2.943	-3.021	-3.731	-0.681	-1.35	-2.953	-2.057	-0.836	-2.833	-3.788	-3.87	-2.635	-2.362	0.439	-0.717	0.783	-0.543	0.485	0.786	0.833
"YLR061W"	0.537	-1.105	-1.995	-1.3	-4.925	-4.297	-4.939	-6.591	-2.641	-0.281	-3.239	-3.818	-3.021	-0.114	-0.067	-4.326	-3.309	-3.833	-3.91	-0.367	-1.434	-2.383	-0.163	-1.848	-2.246	-4.004	-2.793	-2.94	-3.717	0.736	-0.268	0.338	-0.778	0.24	0.621	0.667
"YLR175W"	0.54	-1.501	-2.615	-2.244	-5.607	-3.276	-3.401	-5.468	-3.43	-0.355	-3.996	-3.068	-3.13	-0.32	-0.454	-4.678	-3.701	-4.364	-4.96	0.468	-1.168	-3.576	-0.952	-1.796	-3.16	-4.338	-2.959	-2.455	-2.526	0.086	-0.125	-2.034	-1.477	0.365	-0.326	-0.317
"YLR198C"	1.112	-0.846	-2.6	-2.306	-5.143	-2.989	-3.745	-3.401	-3.057	-0.133	-3.471	-3.106	-2.998	0.249	0.385	-5.282	-3.841	-4.919	-4.589	-0.315	-0.811	-3.325	-1.007	-0.845	-2.674	-3.761	-2.805	-1.946	-1.701	0.131	-1.527	0.202	-1.37	-0.305	0.009	0.173
"YLR293C"	-0.034	-1.282	-1.011	-1.218	-3.594	-2.185	-3.488	-6.281	-1.204	-0.176	-2.107	-1.751	-2.233	-0.454	-0.738	-2.473	-2.379	-3.03	-3.186	0.894	-0.325	-1.494	-1.532	-0.065	-2.525	-2.822	-2.422	-1.899	-2.582	0.792	-0.406	-0.18	-1.026	-0.036	0.702	0.515
"YLR340W"	0.794	-1.031	-1.992	-1.728	-2.59	-2.224	-4.11	-6.819	-2.513	-0.33	-2.128	-2.646	-3.015	0.688	0.395	-3.499	-2.702	-3.206	-4.105	-0.95	-1.458	-2.965	-2.278	-1.301	-3.346	-3.405	-3.289	-2.708	-3.543	0.556	0.673	0.94	-1.01	1.214	0.465	0.39
"YLR388W"	0.64	-0.744	-2.289	-1.937	-3.12	-2.544	-3.596	-5.506	-2.593	0.037	-3.204	-3.058	-2.742	0.072	-0.22	-4.025	-2.232	-2.581	-3.193	0.199	NaN	-2.994	-2.131	-1.689	-2.798	-3.762	-3.521	-2.816	-2.864	0.512	-0.86	0.439	0.209	0.901	0.411	0.485
"YMR049C"	0.492	-1.456	-2.676	-1.777	-5.984	-3.638	-4.225	-9.471	-3.313	-0.344	-3.131	-2.567	-2.163	0.372	-0.261	-4.161	-3.3	-3.396	-4.217	NaN	0.046	-2.978	2.866	1.001	-3.559	-4.037	-2.722	-2.729	-1.772	0.578	0.475	0.024	-1.679	0.044	0.071	-0.249
"YMR217W"	0.68	-1.12	-2.862	-2.309	-5.293	-3.056	-4.735	-5.29	-2.699	-0.239	-3.48	-2.869	-2.622	0.261	-0.202	-4.287	-3.713	-4.205	-4.469	-0.9475	-1.586	-2.638	-1.315	-2.611	-2.927	-4.222	-3.421	-2.938	-3.323	0.287	-0.468	-0.942	-2.121	-0.405	-0.177	-0.029
"YMR242C"	0.588	-1.39	-2.703	-2.14	-4.702	-3.631	-3.971	-6.226	-2.432	-0.082	-3.832	-4.338	-3.636	-0.161	-0.178	-4.84	-2.601	-3.133	-3.475	0.272	-1.3075	-3.185	-1.15	-1.163	-3.141	-4.607	-3.588	-2.771	-3.856	0.801	0.798	-1.264	-0.779	-0.152	0.273	0.444
"YNL062C"	0.507	-0.383	-1.093	-1.064	-4.157	-2.785	-3.07	-6.263	-2.538	-0.481	-2.304	-2.254	-1.829	0.0	-0.286	-2.028	-1.717	-2.639	-2.206	-1.2985	-2.008	-1.154	0.629	-0.432	-2.338	-2.838	-2.509	-1.871	-2.066	0.562	-1.004	-1.063	-1.003	0.018	-0.159	-0.008
"YNL067W"	0.727	-0.339	-2.271	-1.499	-4.019	-2.871	-2.84	-5.731	-2.532	-0.177	-2.866	-3.241	-2.399	-0.149	-0.27	-4.131	-1.884	-1.906	-2.76	0.2725	-1.854	-3.133	-1.783	-1.702	-2.15	-3.107	-2.534	-2.013	-2.982	0.858	-1.411	-0.37	-1.203	0.052	0.53	0.716
"YNL069C"	0.423	-0.839	-2.405	-1.946	-3.663	-3.006	-4.006	-4.824	-2.585	-0.166	-3.44	-3.85	-3.199	0.154	0.096	-4.269	-2.107	-2.509	-3.665	0.14	-1.456	-3.789	-2.082	-1.664	-3.131	-3.741	-3.469	-3.02	-3.775	0.418	-0.917	0.533	-0.171	1.332	0.116	0.034
"YNL255C"	0.005	-0.524	-1.543	-1.097	-2.297	-1.542	-2.208	-5.229	-1.642	-0.05	-1.708	-1.27	-1.604	-0.153	-0.124	-2.739	-1.3	-2.442	-2.225	-0.902	NaN	-0.94	-0.963	0.037	-1.888	-2.147	-1.189	-1.154	-1.609	0.417	-0.633	-0.62	-0.985	0.427	0.38	0.573
"YOR254C"	-0.14	-1.067	0.049	-0.171	-2.6515	-1.5795	-2.192	-6.426	-1.2395	0.0535	-2.053	-1.8245	-2.018	-0.379	-0.645	-2.631	-2.354	-2.689	-2.309	-0.844	-0.931	NaN	-0.658	-0.996	-2.254	-2.342	-2.212	-1.537	-2.314	0.333	-1.141	-0.366	-0.529	-0.209	0.057	0.007
"YOR309C"	0.858	-1.663	-2.572	-2.067	-6.798	-4.4185	-4.234	-6.859	-3.07	-0.195	-3.709	-3.9105	-3.8235	0.04	-0.088	-5.839	-4.746	-5.449	-5.009	-0.147	-0.84	-3.577	-2.089	-2.004	-3.28	-4.097	-3.518	-2.477	-3.672	0.005	0.829	-1.024	-1.759	-1.202	-0.032	-0.238
"YPL079W"	0.51	-1.022	-2.516	-2.168	-4.616	-4.1965	-3.892	-6.4765	-2.527	-0.3645	-3.085	-3.172	-3.0255	-0.393	0.142	-4.735	-3.015	-3.498	-4.547	-1.924	-1.117	-3.141	-1.716	-1.491	-2.753	-3.573	-3.431	-2.725	-2.785	0.848	-1.098	-0.581	-0.957	-0.507	0.106	0.326
"YPL142C"	0.409	-0.787	-2.066	-1.527	-3.1395	-2.973	-3.5865	-5.604	-2.427	0.1135	-2.825	-3.3035	-2.8235	-0.038	0.304	-4.155	-2.148	-2.632	-2.979	-0.673	-1.993	-2.534	-0.387	-1.507	-3.021	-3.677	-3.278	-2.971	-3.35	0.555	-0.473	-0.732	-0.674	1.092	0.153	0.666
"YPL230W"	-1.9815	1.218	1.701	0.864	5.7835	4.1855	6.6385	4.1485	3.278	1.156	4.669	3.9765	3.797	0.282	0.919	4.417	5.844	6.611	5.087	-0.958	NaN	2.79	1.366	1.851	3.913	-1.432	1.055	-1.089	-0.368	0.286	-1.335	0.766	-0.577	-0.186	0.155	0.007
"YPR080W"	0.7385	-1.309	-0.859	-0.748	-2.0535	-1.906	-2.848	-5.6305	-1.5215	-0.019	-2.094	-2.144	-2.5835	0.292	0.108	-2.241	-1.689	-2.389	-3.139	0.893	0.758	-1.881	-1.693	-0.475	-1.319	-2.31	-1.719	-1.872	-2.163	0.468	0.376	0.789	-1.11	-1.219	0.13	0.246
