	"42.alpha factor release sample022"	"50.Elutriation2:Sample2:Time0.5hrs"	"810.DES460 (wild type) + heat 20 min"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"2141.Elutriation2:Sample2:Time1.0hrs"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"5244.DES459 (mec1) - mock irradiation -15 min"	"8230.dtt 060 min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YDL191W"	0.118	0.179	-0.957	-1.853	-2.737	-5.192	-2.911	-2.813	-2.518	0.138	-3.616	-2.354	-1.999	-2.077	0.13	0.26	-1.083	-0.858	0.513	-3.35	-2.399	-3.234	-2.557	-1.83	-2.46	0.59	0.424
"YDR025W"	0.175	0.15	-1.11	-2.592	-3.393	-6.697	-3.357	-3.356	-3.471	0.436	-4.504	-2.828	-1.915	-2.886	0.645	0.662	-0.254	-0.151	0.453	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	0.676	0.682
"YDR417C"	0.209	0.416	-1.539	-2.511	-4.279	-5.062	-3.58	-3.209	-2.864	0.221	-4.223	-2.458	-2.573	-2.986	0.144	0.566	-0.741	-1.101	0.187	-3.553	-2.61	-3.585	-3.332	-2.261	-2.404	0.565	0.569
"YDR447C"	-0.032	-0.218	-1.574	-2.507	-3.659	-5.332	-3.574	-3.565	-2.813	NaN	-4.249	-2.279	-2.432	-2.817	-0.13	0.242	-1.093	-1.098	0.441	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	0.646	0.658
"YEL026W"	0.623	0.057	-0.994	-2.285	-3.458	-4.755	-3.518	-3.357	-1.904	-0.11	-3.331	-2.232	-2.812	-1.923	0.183	0.399	-0.768	-0.302	-0.224	-3.877	-2.787	-3.527	-2.617	-2.218	-2.423	0.736	0.765
"YER055C"	0.231	0.175	-0.629	-2.576	-2.242	-5.075	-0.301	-1.722	-2.025	-0.281	-0.64	-1.572	-1.841	-1.202	0.307	-0.234	-0.356	-0.486	0.677	-2.631	-2.627	-2.981	-2.572	-2.387	-1.609	-0.234	0.045
"YER131W"	0.303	0.362	-1.307	-1.895	-3.664	-6.55	-2.621	-2.795	-2.905	0.087	-4.139	-2.089	-2.2	-2.498	0.103	0.554	-0.843	-0.849	0.208	-3.884	-3.237	-3.578	-4.068	-2.732	-3.858	0.363	0.405
"YGL030W"	-0.137	-0.101	-1.118	-2.363	-3.668	-5.484	-2.388	-2.751	-2.6	-0.566	-3.284	-2.059	-2.592	-2.534	-0.268	0.08	-0.639	-0.61	0.011	-3.939	-2.871	-3.575	-2.76	-2.198	-3.156	0.684	0.631
"YGL076C"	0.028	0.109	-1.418	-2.446	-3.976	-5.667	-3.32	-2.996	-2.857	-0.131	-4.142	-2.037	-2.568	-2.648	0.051	0.313	-1.298	-0.71	0.428	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	0.159	0.245
"YGL123W"	0.66	0.345	-1.483	-2.802	-4.004	-5.982	-4.112	-3.654	-3.701	-0.166	-3.511	-2.071	-2.414	-2.278	0.576	0.639	-0.266	-0.596	0.137	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	0.588	0.35
"YGR118W"	0.296	0.032	-1.283	-2.097	-2.204	-5.471	-2.458	-2.209	-2.183	0.009	-3.851	-1.903	-1.997	-2.117	0.165	0.224	-1.058	-1.303	0.112	-2.477	-2.162	-2.13	-2.249	-1.697	-1.94	0.599	0.617
"YGR130C"	-0.231	0.286	0.978	1.688	1.441	-1.064	2.109	2.538	1.276	0.259	1.238	1.103	1.427	0.785	0.421	0.109	1.311	0.832	-0.156	2.274	1.905	2.995	1.727	1.221	2.054	0.412	0.324
"YGR214W"	-0.003	-0.035	-1.829	-1.862	-3.03	-5.16	-3.581	-2.953	-2.7	-0.095	-4.842	-1.984	-2.119	-1.46	0.109	0.02	-0.313	-0.862	0.35	-3.673	-2.906	-3.805	-2.3	-2.11	-2.419	0.585	0.51
"YHR021C"	0.192	-0.216	-0.704	-1.714	-1.221	-2.894	-2.639	-2.717	-1.787	-0.048	-2.705	-2.071	-1.49	-0.902	-0.133	-0.302	-1.046	-1.328	0.357	-2.576	-2.1	-3.519	-3.078	-2.345	-2.663	0.914	0.781
"YHR203C"	-0.175	0.113	-1.279	-2.372	-3.782	-5.944	-3.917	-3.774	-3.412	0.0915	-4.669	-2.276	-2.437	-2.591	-0.036	0.489	-0.556	-1.338	0.721	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	0.56	0.591
"YIL133C"	0.216	-0.089	-1.391	-2.167	-2.693	-5.79	-2.93	-2.571	-2.194	-0.0475	-4.433	-2.003	-2.465	-2.757	0.24	-0.141	-0.981	-1.207	0.077	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	0.458	0.455
"YIL148W"	0.313	0.589	-0.817	-1.243	-1.931	-3.41	-1.789	-2.019	-1.629	-0.1735	-2.319	-1.404	-1.39	-1.549	0.221	0.364	-0.967	-0.598	0.036	-2.58	-2.025	-2.552	-2.609	-1.815	-2.449	0.947	0.912
"YJL136C"	0.074	0.092	-1.065	-1.762	-2.0505	-2.106	-1.93	-2.1825	-1.308	-0.053	-3.159	-1.774	-2.063	-2.01	0.0165	0.425	-1.1595	-1.257	0.1095	-3.426	-2.42	-3.751	-2.53	-2.526	-2.859	0.781	0.565
"YJL189W"	0.077	-0.086	-0.867	-1.647	-2.901	-4.28	-2.446	-2.278	-1.716	-0.273	-3.49	-1.87	-1.78	-2.141	0.265	0.371	-0.336	-0.868	-0.165	-2.736	-2.597	-2.888	-2.522	-2.288	-1.966	0.766	0.558
"YJR145C"	0.013	0.437	-1.245	-2.328	-3.54	-6.528	-3.551	-3.547	-3.597	-0.284	-4.857	-1.988	-2.396	-2.336	0.18	0.351	-0.593	-1.198	0.491	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	0.61	0.516
"YKL006W"	0.256	0.126	-1.129	-2.383	-2.835	-5.113	-3.049	-3.027	-2.997	0.094	-4.545	-2.315	-2.442	-2.791	0.189	0.2	-0.7	-0.988	0.671	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	0.647	0.594
"YKL056C"	0.119	-0.002	-0.777	-1.541	-3.426	-5.119	-1.914	-2.359	-2.371	0.011	-2.468	-1.669	-1.741	-2.281	-0.07	-0.04	-0.485	-0.435	0.227	-1.781	-1.747	-2.472	-2.233	-1.941	-2.598	0.377	0.372
"YKR094C"	0.07	0.097	-1.088	-1.978	-2.464	-4.383	-2.102	-2.333	-1.972	-0.249	-2.785	-1.579	-1.746	-1.839	-0.159	0.181	-0.717	-0.721	0.0	-3.423	-2.549	-3.694	-3.422	-2.865	-3.683	0.545	0.526
"YLR048W"	0.4	0.873	-1.634	-2.257	-3.645	-3.72	-3.296	-3.55	-2.771	0.102	-5.136	-2.08	-2.645	-2.575	0.311	0.589	-1.018	-0.553	0.32	-4.39	-3.403	-4.032	-3.798	-2.576	-3.432	0.322	0.255
"YLR062C"	0.04	0.095	-1.496	-3.127	-5.705	-6.896	-3.6	-3.985	-3.965	-0.233	-4.96	-2.666	-3.209	-3.706	-0.186	0.39	-1.663	-1.816	0.374	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419	0.558	0.576
"YLR075W"	0.131	0.488	-1.593	-2.047	-1.991	-6.109	-2.552	-2.46	-2.807	0.09	-4.079	-1.489	-1.706	-1.888	0.4	0.883	-0.652	-1.083	0.317	-4.584	-2.951	-4.051	-3.6	-2.245	-2.384	0.465	0.316
"YLR083C"	-0.544	-0.781	-0.917	-2.021	-3.767	-5.137	-2.718	-2.103	-0.41	-0.04	-3.208	-1.494	-2.031	-2.545	-0.129	-0.871	-0.54	0.697	-0.493	-3.186	-2.942	-3.492	-2.869	-2.182	-2.82	-0.095	0.072
"YLR084C"	0.105	-0.916	NaN	-2.131	-3.113	-3.637	-0.801	-0.488	-1.141	0.162	-0.678	NaN	-1.138	-1.616	0.187	-0.789	0.262	0.773	-0.217	-2.293	-2.127	-2.067	-2.201	-1.204	-2.582	-0.292	-0.436
"YLR175W"	-0.196	-0.396	-1.615	-2.484	-3.401	-5.468	-3.996	-3.068	-3.13	0.049	-4.678	-2.413	-2.762	-3.408	0.012	-0.266	-0.965	-0.786	-0.793	-3.995	-3.16	-4.338	-2.959	-2.455	-2.526	0.133	0.218
"YLR185W"	0.003	-0.265	-1.306	-2.201	-2.578	-5.928	-2.94	-2.559	-2.616	0.191	-4.019	-2.046	-2.136	-2.209	-0.137	-0.063	-0.763	-1.428	-0.183	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	0.544	0.539
"YLR186W"	-0.103	-0.551	-0.632	-2.293	-4.298	-5.516	-3.036	-2.821	-2.007	0.148	-2.372	-1.577	-2.069	-1.671	-0.298	-0.581	-0.316	-0.558	-0.235	-3.381	-2.552	-4.173	-2.896	-1.936	-2.714	0.465	0.446
"YLR249W"	0.134	-0.611	-1.196	-3.403	-4.146	-6.742	-3.879	-4.141	-3.557	-0.214	-4.679	-2.712	-3.131	-3.778	0.466	-0.422	0.119	0.143	-0.199	-5.053	-5.102	-5.085	-4.9	-3.269	-3.19	-0.61	-0.389
"YLR264W"	0.465	0.297	-1.549	-1.529	-2.597	-5.152	-2.945	-2.94	-2.616	-0.043	-3.525	-2.236	-2.241	-2.158	0.251	0.664	-0.862	-0.493	0.162	-3.507	-2.202	-3.145	-2.797	-2.013	-2.667	0.583	0.465
"YLR344W"	-0.1935	-0.3945	-1.279	-1.903	-3.139	-4.414	-3.245	-2.655	-2.639	-0.314	-3.619	-1.879	-2.264	-1.964	-0.1875	-0.189	-1.698	-1.108	0.208	-3.46	-2.977	-4.22	-3.608	-2.781	-2.182	0.627	0.555
"YLR388W"	0.412	0.619	-1.394	-1.98	-3.596	-5.506	-3.204	-3.058	-2.742	-0.145	-4.025	-2.079	-2.671	-2.555	0.184	0.652	-1.245	-0.904	0.414	-3.674	-2.798	-3.762	-3.521	-2.816	-2.864	0.883	0.727
"YLR432W"	0.052	-0.247	-1.262	-1.818	-3.532	-5.65	-2.412	-2.49	-3.15	0.112	-2.585	-0.9	-1.997	-2.641	0.057	-0.071	0.125	0.194	0.62	-3.491	-3.179	-3.412	-2.927	-2.885	-3.367	0.108	0.05
"YLR448W"	0.104	-0.241	-1.486	-2.052	-3.552	-5.971	-3.425	-3.454	-3.179	-0.482	-4.891	-2.352	-2.521	-2.621	-0.196	0.183	-1.334	-1.207	0.126	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	0.422	0.365
"YMR010W"	-0.063	-0.713	0.521	-1.284	-1.643	-4.183	-1.002	-1.066	-0.737	0.147	-0.962	-1.407	-1.367	-0.818	-0.041	-0.907	-0.169	-0.125	0.344	-2.599	-1.8	-1.583	-1.497	-1.252	-1.765	-0.373	-0.246
"YMR217W"	0.104	-0.615	-1.7	-2.518	-4.735	-5.29	-3.48	-2.869	-2.622	0.222	-4.287	-2.652	-3.341	-4.118	0.02	-0.388	-0.192	-0.096	-0.265	-3.621	-2.927	-4.222	-3.421	-2.938	-3.323	0.466	0.524
"YMR229C"	-0.203	-0.461	-1.511	-2.443	-4.4055	-5.288	-2.914	-2.1435	-2.161	0.1735	-4.826	-2.78	-2.897	-2.0525	0.211	-0.1085	0.1685	0.364	-1.3445	-3.4135	-2.548	-3.9575	-2.553	-2.0965	-1.7485	-0.151	-0.1535
"YMR242C"	0.045	0.269	-1.261	-2.522	-3.971	-6.226	-3.832	-4.338	-3.636	0.022	-4.84	-2.479	-2.59	-3.004	-0.009	0.488	-1.179	-1.121	0.277	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	0.573	0.501
"YMR290C"	0.077	-0.87	-1.501	-2.719	-3.509	-5.217	-3.243	-3.378	-2.625	0.246	-4.614	-3.037	-3.295	-3.716	0.361	-0.078	-0.48	0.291	-0.595	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	0.249	0.295
"YMR296C"	-0.181	-0.517	-0.146	-0.41	-2.027	-4.409	-1.248	-1.495	-0.376	0.214	-1.213	-0.824	-1.069	-1.321	-0.289	-0.756	0.412	0.589	0.324	-3.537	-2.751	-2.304	-2.26	-2.151	-2.535	-0.122	-0.171
"YNL059C"	-0.087	-0.107	-0.214	-0.135	-1.821	-3.096	-0.283	-0.326	-0.593	-0.125	-0.73	-0.543	-0.723	-0.804	-0.13	-0.208	-0.045	0.213	-0.166	-1.315	-1.426	-0.742	-0.971	-0.951	-0.697	0.31	0.13
"YNL067W"	-0.066	-0.236	-1.162	-1.807	-2.84	-5.731	-2.866	-3.241	-2.399	0.276	-4.131	-1.968	-2.506	-2.759	-0.008	0.237	-0.765	-0.583	0.123	-2.698	-2.15	-3.107	-2.534	-2.013	-2.982	0.594	0.553
"YNL069C"	-0.033	-0.097	-1.327	-1.978	-4.006	-4.824	-3.44	-3.85	-3.199	0.059	-4.269	-1.921	-2.199	-2.466	-0.063	0.196	-0.693	-1.132	0.415	-3.601	-3.131	-3.741	-3.469	-3.02	-3.775	0.547	0.474
"YNL162W"	0.182	-0.125	-1.038	-2.175	-2.858	-6.425	-2.86	-2.872	-2.421	0.004	-3.999	-2.089	-2.0	-2.0	0.07	0.281	-0.92	-1.264	0.459	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	0.541	0.454
"YNL196C"	-0.814	-1.233	-1.847	2.319	2.007	2.64	1.871	1.659	1.657	1.218	0.914	0.766	0.672	1.151	-0.755	-1.303	0.959	0.595	-0.844	1.718	2.036	1.223	1.488	1.211	0.773	0.363	0.232
"YNL209W"	0.0815	-0.702	-1.446	-2.885	-4.055	-5.803	-3.728	-2.985	-4.021	0.129	-4.059	-2.262	-2.633	-2.99	0.476	-0.217	0.727	-0.053	0.431	-4.586	-3.709	-4.209	-4.158	-3.075	-2.368	0.012	0.114
"YNL247W"	-0.1	0.093	-1.038	-1.822	-3.191	-4.64	-2.34	-2.065	-2.13	0.112	-2.936	-1.062	-1.899	-2.277	0.14	-0.075	0.161	0.26	0.463	-3.771	-2.246	-2.994	-2.147	-1.583	-1.551	-0.178	-0.053
"YNL301C"	-0.001	0.243	-1.272	-1.241	-5.123	-6.272	-2.943	-3.585	-3.098	0.015	-3.466	-1.992	-2.799	-2.781	-0.027	0.537	-1.027	-1.236	0.455	-4.167	-3.163	-4.02	-3.032	-2.764	-3.161	0.683	0.613
"YNR026C"	-0.366	0.265	0.532	0.6205	-1.123	-2.7105	-0.0195	-0.111	0.01	-0.419	-1.042	-0.126	-0.424	-0.134	-0.554	-0.226	0.235	0.491	-0.1	-2.19	-2.616	-1.816	-1.921	-1.747	-1.408	0.995	-0.105
"YOL121C"	0.06	0.162	-1.241	1.1705	-3.476	-1.754	-1.922	-1.2305	-1.7075	0.055	-4.227	-2.02	-1.993	-2.307	0.041	0.217	-0.846	-1.322	0.152	-3.912	-2.653	-3.465	-2.982	-2.546	-2.879	0.763	0.774
"YOL127W"	0.269	0.197	-1.401	-1.312	-1.335	-2.676	-1.0185	-2.851	-3.97	0.003	-4.436	-2.11	-1.935	-2.11	0.061	0.668	-1.095	-1.355	0.209	-3.393	-2.333	-3.103	-2.261	-2.342	-2.917	0.576	0.713
"YOR234C"	0.109	-0.031	-0.607	-2.058	-2.8745	-4.019	-2.7115	-2.657	-2.407	-0.165	-3.657	-1.912	-1.717	-1.324	-0.433	0.24	-1.534	-1.091	-0.2495	-3.604	-2.922	-4.032	-3.302	-2.445	-3.127	0.665	0.548
"YOR293W"	0.018	-0.449	-1.238	-2.4345	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-0.016	-4.233	-2.537	-2.533	-2.507	0.427	0.26	-0.968	-0.986	0.1875	-3.53	-3.262	-3.853	-3.23	-2.89	-3.271	0.484	0.385
"YOR369C"	-0.034	0.016	-1.267	-2.805	-3.724	-6.5475	-3.0405	-3.6415	-3.752	-0.095	-3.998	-2.456	-2.858	-2.986	0.153	0.362	-1.221	-1.722	0.3845	-3.362	-2.395	-3.032	-3.003	-2.641	-3.203	0.385	0.5
"YPL029W"	0.03	-0.397	-0.32	-0.403	-1.841	NaN	-0.1975	-0.7825	-0.548	0.161	-0.639	-0.242	-0.328	-0.08	-0.109	-0.416	0.301	0.198	-0.2885	-0.733	-0.021	-0.292	-0.283	-0.227	-1.062	-0.104	-0.142
"YPL090C"	0.17	-0.194	-2.068	-2.57	-4.364	-6.197	-3.398	-3.223	-3.3795	0.379	-5.307	-2.412	-2.833	-2.954	0.111	0.175	-1.207	-1.043	0.4045	-4.244	-3.265	-4.101	-3.571	-2.951	-2.658	0.512	0.476
"YPL131W"	-0.182	-0.554	-1.352	1.807	-0.193	0.701	NaN	1.601	0.784	-0.169	-4.151	-2.041	-2.857	-3.176	0.017	-0.303	NaN	NaN	NaN	-3.889	-3.176	-3.546	-3.162	-3.096	-3.578	0.403	0.517
"YPL143W"	0.034	-0.138	-0.867	-2.5465	-3.35	-5.0395	-3.0685	-3.1305	-2.7815	0.054	-4.372	-2.232	-2.155	-2.195	0.088	0.249	-0.733	-0.866	0.3155	-2.893	-2.234	-3.13	-2.792	-2.506	-2.952	0.88	0.813
"YPL160W"	0.27	-0.1385	-0.59	-1.47166666666667	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	0.1385	-4.0365	-1.8835	-2.449	-2.824	0.3475	-0.086	0.35	0.7485	0.180333333333333	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	0.2735	0.2085
"YPL198W"	0.005	-0.275	-1.23	-2.218	-4.3605	-6.879	-3.4825	-3.3185	-3.022	0.103	-3.875	-2.024	-2.227	-2.449	-0.067	0.306	-1.706	-0.875	-0.14	-4.2325	-3.528	-3.4955	-4.5575	-2.68	-3.5	0.1385	0.1645
"YPL210C"	-0.485	-0.405	0.047	-0.484333333333333	-2.00066666666667	-3.50166666666667	-0.457	-0.722333333333333	-0.389666666666667	0.1015	-1.2465	-0.887	-1.072	-1.187	-0.197	-0.388	-0.2025	-0.0995	-0.290333333333333	-1.53	-1.491	-1.147	-1.646	-1.406	-1.084	0.016	0.207
"YPL220W"	0.389	-0.174	-1.691	-2.1715	-3.187	-6.1465	-3.0375	-3.442	-3.3935	-0.055	-3.51	-1.794	-2.548	-2.639	0.031	0.217	-1.016	-0.551	0.389	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	0.617	0.676
"YPR041W"	0.252	0.3845	-0.926	-1.647	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-0.0735	-1.646	-1.315	-1.658	-1.0965	0.003	0.125	-0.177	-0.1635	0.0566666666666667	-3.035	-2.533	-3.187	-2.708	-2.293	-1.616	0.39	0.224
"YPR044C"	-0.293	-0.389	-1.155	-2.15066666666667	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	0.167	-3.0915	-1.926	-2.14	-2.1115	-0.091	0.189	-1.0445	-1.2595	0.546666666666667	-2.586	-2.282	-2.862	-2.352	-2.43	-2.877	0.697	0.621
"YPR102C"	0.096	0.388	-1.124	-2.7315	-4.045	-6.451	-3.5055	-4.118	-3.673	0.152	-4.644	-2.495	-2.723	-3.232	0.279	0.282	-1.312	-1.15	0.6555	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	0.509	0.422
"YPR132W"	0.113	-0.185	-1.022	-2.6445	-3.1925	-5.805	-2.5895	-3.048	-2.967	-0.241	-3.788	-1.948	-2.214	-2.292	-0.036	-0.017	-0.968	-1.069	0.2665	-2.884	-2.466	-2.903	-2.829	-2.063	-2.893	0.513	0.497
