	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"8234.dtt 240 min"
"YIL133C"	-3.333	-3.196	-3.135	-2.331	-2.693	-5.79	-0.935	-2.404
"YIR012W"	-4.7	-3.151	-2.338	-2.719	-3.791	-4.69	-0.678	-0.908
"YIR026C"	-4.983	-2.403	-2.432	-2.146	-4.02	-4.724	-1.327	-1.332
"YJL033W"	-1.99	-1.695	-1.453	-0.774	-2.188	-3.95	-0.17	-1.0
"YJL069C"	-4.742	-2.843	-2.261	-2.587	-3.072	-6.298	-0.541	-0.857
"YJL117W"	-1.357	-0.556	-0.355	-0.946	-1.153	-2.592	-0.265	0.173
"YJL188C"	-2.525	-2.39	-2.043	-1.864	-2.786	-4.633	-1.02	-1.98
"YJL189W"	-3.545	-2.317	-2.319	-2.282	-2.901	-4.28	-0.329	-2.0
"YJL190C"	-3.794	-3.553	-3.267	-2.958	-3.585	-6.079	-1.801	-2.139
"YJR003C"	-2.372	-2.025	-1.727	-1.346	-2.48	-3.457	-0.331	-0.412
"YJR070C"	-5.317	-3.975	-3.514	-3.056	-3.511	-7.226	-0.887	-2.021
"YJR071W"	-4.366	-2.638	-2.22	-2.338	-2.688	-4.787	-0.578	-1.89
"YJR145C"	-4.507	-3.488	-3.177	-2.731	-3.54	-6.528	-1.641	-1.921
"YKL006W"	-4.299	-3.901	-3.389	-2.854	-2.835	-5.113	-1.399	-2.167
"YKL009W"	-5.997	-3.719	-3.38	-2.839	-3.082	-6.168	-0.576	-1.783
"YKL078W"	-5.829	-4.282	-3.547	-3.31	-4.795	-8.494	-1.231	-1.907
"YKL143W"	-4.748	-1.715	-2.281	-1.954	-2.312	-3.827	-0.424	-1.512
"YKL172W"	-4.354	-2.219	-1.661	-1.733	-2.813	-5.305	-0.026	-1.395
"YKR026C"	-3.144	-2.386	-1.661	-2.212	-2.863	-3.755	-0.538	-0.715
"YKR060W"	-3.243	-2.165	-2.05	-2.019	-3.218	-3.796	-0.285	-1.309
"YKR081C"	-4.081	-2.662	-2.469	-1.772	-2.08	-4.632	-0.798	-1.645
"YLL008W"	-5.659	-3.509	-3.627	-2.64	-2.899	-6.113	-0.852	-1.714
"YLL011W"	-4.731	-2.872	-2.311	-2.362	-1.781	-4.961	-0.639	-1.333
"YLL044W"	-4.871	-3.525	-3.158	-2.869	-3.79	-6.48	-1.254	-2.173
"YLL045C"	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-0.863	-1.957
"YLR029C"	-3.174	-2.641	-3.465	-2.572	-3.615	-6.877	-0.955	-1.935
"YLR060W"	-3.165	-2.617	-2.047	-2.296	-4.941	-5.967	-0.371	-0.882
"YLR061W"	-4.925	-4.297	-4.115	-3.603	-4.939	-6.591	-1.362	-1.984
"YLR062C"	-4.53	-4.418	-3.352	-3.067	-5.705	-6.896	-1.355	-2.245
"YLR065C"	-1.734	-1.826	-1.451	-1.638	-1.93	-3.028	-0.557	-0.198
"YLR129W"	-4.83	-2.28	-3.089	-2.498	-2.877	-4.914	-0.675	-1.327
"YLR175W"	-5.607	-3.276	-2.921	-2.657	-3.401	-5.468	-0.783	-1.58
"YLR185W"	-4.508	-3.498	-3.001	-2.551	-2.578	-5.928	-1.23	-2.242
"YLR186W"	-4.787	-2.844	-2.506	-2.174	-4.298	-5.516	-0.589	-1.521
"YLR197W"	-5.817	-3.612	-3.173	-2.795	-4.736	-5.242	-1.088	-1.869
"YLR222C"	-4.423	-1.933	-1.902	-1.176	-3.721	-4.745	-0.385	-1.358
"YLR243W"	-2.943	-2.291	-1.335	-2.004	-1.955	-3.657	-0.493	-0.857
"YLR249W"	-6.529	-4.864	-4.043	-3.482	-4.146	-6.742	-0.973	-1.42
"YLR264W"	-3.105	-2.523	-2.018	-1.862	-2.597	-5.152	-1.164	-1.688
"YLR276C"	-4.467	-2.163	-1.657	-1.532	-3.174	-5.399	-0.423	-1.375
"YLR301W"	-2.642	-2.4	-1.622	-1.91	-3.676	-5.415	-0.023	-0.198
"YLR333C"	-3.93	-3.067	-2.402	-2.401	-3.011	-5.863	-1.394	-1.566
"YLR367W"	-3.848	-3.069	-3.283	-2.91	-2.78	-6.716	-1.603	-1.738
"YLR388W"	-3.12	-2.544	-2.264	-1.926	-3.596	-5.506	-1.483	-1.953
"YLR448W"	-4.815	-3.882	-3.116	-3.083	-3.552	-5.971	-0.947	-2.034
"YML024W"	-3.616	-3.535	-3.016	-2.718	-3.909	-4.621	-1.631	-2.253
"YML026C"	-3.811	-3.779	-3.236	-2.913	-4.268	-5.271	-1.498	-2.254
"YML063W"	-4.408	-3.73	-3.027	-2.778	-4.048	-13.273	-1.224	-2.152
"YML093W"	-4.947	-2.836	-1.941	-1.822	-2.962	-5.889	-0.276	-1.695
"YMR049C"	-5.984	-3.638	-2.864	-3.076	-4.225	-9.471	-0.716	-1.618
"YMR116C"	-3.012	-3.687	-4.292	-3.142	-4.551	-6.865	-1.577	-1.666
"YMR121C"	-3.215	-2.875	-2.279	-2.002	NaN	-4.199	-0.681	-1.432
"YMR220W"	-1.178	-1.153	-1.038	-1.413	-1.869	-3.12	-0.109	0.007
"YMR242C"	-4.702	-3.631	-3.819	-3.001	-3.971	-6.226	-1.253	-2.26
"YMR290C"	-5.132	-3.842	-3.455	-3.073	-3.509	-5.217	-0.68	-1.853
"YNL062C"	-4.157	-2.785	-2.295	-2.256	-3.07	-6.263	-0.607	-1.0
"YNL067W"	-4.019	-2.871	-2.193	-2.054	-2.84	-5.731	-1.248	-1.723
"YNL069C"	-3.663	-3.006	-2.506	-1.993	-4.006	-4.824	-1.387	-1.844
"YNL089C"	-1.202	-0.797	-0.46	-0.924	-2.333	-2.142	0.016	-0.017
"YNL109W"	-1.856	-1.28	-1.234	-1.077	-1.843	-2.711	-0.104	-0.082
"YNL114C"	-5.245	-2.663	-2.941	-2.849	-3.791	-6.572	-0.631	-1.252
"YNL119W"	-6.697	-3.692	-2.694	-2.909	-5.354	-6.231	-1.052	-1.613
"YNL150W"	-1.878	-1.962	-0.855	-1.64	-0.614	-2.283	-0.487	-0.118
"YNL178W"	-4.244	-3.755	-3.785	-3.505	-4.338	-6.62	-1.624	-2.233
"YNL209W"	-3.795	-3.591	-3.12	-3.471	-4.055	-5.803	-1.756	-1.517
"YNL256W"	-3.093	-1.34	-1.539	-1.259	-2.448	-3.668	-0.408	-0.618
"YNL313C"	-4.999	-2.695	-2.073	-2.007	-3.628	-5.714	-0.297	-0.962
"YNR043W"	-3.5005	-1.8155	-1.672	-1.574	-2.934	-5.1565	-0.4085	-0.627
"YOL005C"	-2.939	-2.997	-2.464	-2.2455	-2.9265	-4.3805	-0.41	-0.7675
"YOL056W"	-0.7675	-0.259	-0.661	0.337	-1.064	-0.3845	1.0305	-0.335
"YOR145C"	-4.1305	-2.03	-1.7885	-1.4615	-1.5065	-3.4715	-0.373	-1.1325
"YOR169C"	-1.8345	-1.974	-1.794	-1.708	-1.656	-3.934	-0.532	-1.335
"YOR206W"	-5.827	-2.568	-2.0395	-1.991	-3.681	-6.4785	-0.1925	-1.716
"YOR224C"	-2.895	-1.9785	-1.9375	-1.8585	-3.348	-4.849	-0.8915	-1.127
"YOR260W"	-2.6835	-1.6535	-1.3015	-1.432	-2.507	-4.639	-0.1875	-0.641
"YOR272W"	-4.8145	-2.3895	-2.6015	-1.5575	-3.353	-4.712	-0.7375	-1.1625
"YOR277C"	-2.185	-2.1265	-2.182	-2.0565	-3.25	-4.571	-0.5215	-0.9535
"YOR309C"	-6.798	-4.4185	-4.0545	-4.227	-4.234	-6.859	-0.975	-1.968
"YOR310C"	-6.006	-3.92	-3.4655	-3.0705	-4.7765	-7.1385	-1.0005	-1.8115
"YOR312C"	-3.8645	-3.381	-2.919	-2.263	-3.3005	-4.8175	-1.33	-2.1775
"YOR369C"	-3.6225	-4.255	-3.641	-2.7865	-3.724	-6.5475	-1.6065	-2.1875
"YPL037C"	-2.6595	-2.081	-2.0885	-1.9235	-3.9955	-5.417	-0.872	-0.8305
"YPL044C"	-4.1695	-2.458	-2.0485	-1.6585	-2.688	-4.2355	-0.448	-1.8455
"YPL079W"	-4.616	-4.1965	-3.787	-3.3525	-3.892	-6.4765	-1.563	-2.1725
"YPL081W"	-4.5065	-3.3595	-3.199	-3.083	-3.4025	-6.801	-0.895	-1.5395
"YPL160W"	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-3.08233333333333	-5.284	-0.125	-1.13233333333333
"YPL198W"	-4.269	-3.194	-2.836	-2.46	-4.3605	-6.879	-1.2855	-2.012
"YPL220W"	-3.389	-2.4215	-2.18	-2.214	-3.187	-6.1465	-1.351	-1.461
"YPL226W"	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-3.95033333333333	-5.67966666666667	-0.600333333333333	-1.60566666666667
"YPL239W"	-2.603	-1.312	-1.1725	-1.3995	-1.915	-3.907	-0.4175	-0.487
"YPL241C"	-2.109	-1.145	-0.9385	-1.3855	-1.9285	-3.6825	-0.188	-0.4025
"YPR044C"	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.87	-4.76433333333333	-1.36566666666667	-1.79966666666667
"YPR050C"	-1.5385	-1.2685	-1.1275	-1.442	-1.3935	-2.584	-0.2555	-0.229
"YPR102C"	-3.521	-3.2315	-3.2945	-3.3515	-4.045	-6.451	-1.274	-2.162
"YPR110C"	-5.7185	-3.423	-3.2115	-2.9215	-3.662	-6.318	-0.9515	-1.359
"YPR132W"	-2.849	-3.586	-3.351	-1.806	-3.1925	-5.805	-1.409	-1.8545
"YPR136C"	-3.23366666666667	-2.631	-2.46	-1.85666666666667	-2.427	-4.78933333333333	-0.492666666666667	-1.48266666666667
"YPR144C"	-3.855	-1.9705	-2.235	-1.9295	-3.129	-4.2065	-0.7625	-1.284
