	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"120.w303a vs w303a fkh1 fkh2"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"686.YP ethanol vs reference pool"	"797.Heat Shock 000 minutes (series 3)"	"799.Heat Shock 005 minutes"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"978.wt_plus_gamma_20_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1250.mec1_plus_gamma_10_min"	"4783.29C to 33C -30 min"	"5358.1M sorbitol - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YER074W"	0.599	-2.046	-1.99	-2.01	-1.682	-0.279	-1.938	-2.762	-3.205	-2.534	-0.673	0.884	0.265	-1.018	0.048	-1.545	-1.98	-1.339	-3.675	-3.209	-2.262	-2.671	-3.067	-3.854	-2.139	-1.815	-3.085	-3.135	-0.485	-0.814	0.233	-5.146	-2.735	-2.339	-2.829	-3.947	-0.016	-0.27	-0.083	0.114	-0.099	-0.442	-0.405	-0.569	-0.465	-1.546	0.023	0.075	-0.734	-0.042	-2.253	-2.679	-1.645	-1.229	-1.032
"YER117W"	1.065	-1.836	-1.667	-1.868	-1.677	-0.363	-2.379	-2.386	-3.056	-1.455	-0.475	0.782	0.335	-1.02	0.405	-1.481	-1.321	-1.428	-2.982	-2.613	-1.817	-1.95	-2.832	-5.642	-2.458	-1.947	-3.05	-3.141	-0.507	-0.717	0.495	-3.768	-2.571	-2.312	-2.562	-2.976	0.261	-0.288	-0.03	-0.23	-0.055	-0.348	-0.147	-0.287	-0.41	-1.753	0.042	0.057	-0.313	-0.219	-1.876	-3.314	-2.632	-3.238	-3.345
"YER131W"	1.12	-1.816	-1.719	-1.733	-1.954	0.15	-2.354	-3.171	-3.29	-1.686	-1.21	1.25	0.309	-1.287	-0.306	-1.403	-1.797	-1.543	-2.813	-3.262	-2.3	-2.47	-3.664	-6.55	-2.634	-1.063	-2.621	-2.795	-0.658	-0.52	0.333	-4.139	-2.498	-2.105	-2.654	-3.304	0.356	-0.378	-0.119	-0.075	-0.083	0.017	-0.1	-0.424	-0.434	-1.863	0.195	0.733	-0.547	0.103	-2.4735	-3.097	-3.237	-3.578	-4.068
"YGL120C"	1.066	-3.316	-3.34	-3.231	-1.542	-0.423	-3.301	-3.954	-3.877	-1.088	-0.996	0.987	0.267	-1.855	0.105	-1.353	-0.802	-1.384	-4.557	-3.087	-1.947	-2.282	-4.088	-5.111	-3.085	-2.298	-3.171	-3.229	-1.043	-0.719	-0.612	-3.459	-1.783	-2.866	-3.888	-4.137	-0.116	-0.472	-0.149	-0.135	-0.734	-0.983	-0.916	-0.695	-0.539	-1.401	-0.174	-0.446	-0.894	-0.431	-2.122	-3.8	-3.416	-3.546	-0.554
"YGR118W"	0.611	-1.5195	-1.543	-1.6645	-1.433	0.32	-1.6245	-2.6185	-3.085	-2.006	-0.939	0.996	0.077	-0.927	0.013	-1.469	-1.873	-1.409	-2.621	-2.692	-2.455	-1.993	-2.204	-5.471	-2.128	-1.354	-2.458	-2.209	-0.593	-0.753	-0.322	-3.851	-2.117	-1.76	-2.214	-3.141	0.138	-0.541	-0.195	-0.144	-0.116	-0.161	-0.174	-0.428	-0.382	-1.724	0.036	0.369	-0.487	-0.018	-2.095	-2.633	-2.162	-2.13	-2.249
"YIL133C"	0.739	-2.0235	-2.2305	-2.6465	-1.3105	-0.429	-2.027	-3.384	-3.811	-2.15	-1.126	0.899	0.085	-1.505	0.225	-1.6275	-2.068	-1.825	-3.333	-3.196	-2.331	-2.883	-2.693	-5.79	-2.633	-1.773	-2.93	-2.571	-0.863	-1.137	-0.27	-4.433	-2.757	-2.615	-3.007	-3.393	0.204	-1.163	-0.283	-0.373	-0.177	-0.333	-0.367	-0.857	-0.746	-1.6925	-0.097	0.349	-0.697	-0.3515	-2.13	-3.3115	-3.183	-4.098	-3.154
"YJR070C"	0.844	-4.6905	-4.6305	-4.824	-1.8185	-0.883	-3.895	-4.828	-4.332	-1.449	-1.502	1.129	-0.488	-3.794	0.573	-1.134	-1.098	-0.767	-5.317	-3.975	-3.056	-3.68	-3.511	-7.226	-3.689	-1.83	-3.471	-2.777	-1.615	-1.43	-0.848	-2.102	-1.829	-1.463	-2.254	-2.322	0.112	-0.865	-0.099	-0.208	-0.333	-0.79	-0.694	-0.862	-0.886	-1.6565	-0.659	-0.447	-0.858	-0.4815	-2.575	-4.7655	-2.355	-3.754	-3.104
"YKL113C"	0.415	-1.9615	-1.9205	-1.858	-1.0705	-0.599	-1.396	-1.5945	-1.709	-1.234	0.133	0.7735	0.4385	-0.727	0.5735	-1.069	-1.1245	-0.447	-2.701	-1.2675	-0.323	-0.721	-2.6995	-2.644	-0.9745	-1.4055	-2.212	0.699	0.4345	0.157	-0.01	-1.6035	-1.2075	-1.4465	-1.3135	-1.721	0.596	-0.042	0.118	-0.2265	0.121	0.3975	0.4765	0.5925	0.5085	-1.1435	0.1905	-0.2145	0.4465	0.198	-0.661	-2.0815	-1.556	-3.3	-1.92
"YLL045C"	1.171	-1.746	-2.108	-2.105	-1.781	-0.341	-2.319	-3.116	-3.722	-2.353	-0.971	1.206	0.517	-0.961	0.275	-1.721	-1.975	-1.94	-3.851	-3.176	-2.189	-2.221	-3.857	-6.618	-2.711	-1.489	-3.169	-3.335	-0.826	-1.0	-0.074	-3.66	-2.495	-2.943	-3.021	-3.731	0.209	-0.255	-0.098	-0.24	-0.023	-0.447	-0.164	-0.446	-0.457	-1.965	0.051	0.435	-0.381	-0.256	-2.165	-3.545	-2.833	-3.788	-3.87
"YLR183C"	0.105	-1.888	-0.729	-1.938	-1.336	-0.527	-1.242	-1.272	-1.354	-1.185	-0.453	0.554	-0.547	-1.123	0.8	-1.439	-1.393	-0.662	-3.26	-2.307	-1.607	-1.912	-3.664	-3.782	-1.887	-1.699	-1.854	-1.595	-0.333	-0.534	-0.425	-2.966	-1.434	-1.791	-3.695	-3.132	0.854	-0.472	0.063	-0.285	-0.302	0.374	0.399	0.232	0.151	-1.275	-0.032	-0.006	-0.178	0.469	-0.808	-1.377	-2.055	-3.342	-2.647
"YMR131C"	1.156	-4.819	-4.67	-4.183	-2.431	-0.476	-3.849	-4.525	-4.347	-1.497	-1.212	0.972	0.595	-3.041	0.181	-1.248	-1.365	-1.4	-5.631	-3.641	-2.698	-2.914	-5.052	-6.665	-3.153	-2.016	-3.547	-2.98	-0.959	-0.763	-0.432	-4.277	-3.214	-4.236	-5.241	-4.266	-0.125	-0.362	0.26	-0.392	-0.615	-1.074	-0.906	-0.881	-0.606	-1.363	-0.013	-0.558	-0.866	-0.261	-1.789	-4.674	-2.944	-4.181	-2.68
"YNL002C"	1.103	-4.666	-4.12	-4.07	-1.784	-0.082	-3.305	-4.559	-4.222	-0.891	-0.61	1.119	-0.628	-3.653	-0.305	-1.105	-1.824	-1.141	-5.196	-2.914	-2.336	-2.475	-2.73	-3.468	-2.839	-1.894	-3.072	-2.59	-1.037	-0.386	-0.274	-3.426	-2.186	-2.277	-2.592	-2.588	-0.152	-1.005	-0.143	-1.023	-0.882	-1.062	-0.99	-1.187	-0.937	-1.349	-0.12	-0.409	-1.02	-0.219	-1.942	-4.603	-2.649	-4.466	-2.41
"YNL162W"	0.504	-2.024	-1.886	-2.384	-1.359	-0.09	-1.97	-3.17	-3.58	-1.286	-0.96	1.055	-0.134	-1.819	0.22	-1.102	-1.506	-1.235	-3.953	-3.395	-2.838	-2.163	-2.858	-6.425	-2.882	-1.564	-2.86	-2.872	-0.254	-0.684	-0.183	-3.999	-2.0	-1.742	-2.487	-3.468	0.065	-0.714	-0.238	-0.294	-0.333	-0.337	-0.431	-0.675	-0.814	-1.403	-0.185	0.001	-0.734	-0.121	-1.852	-2.998	-2.701	-3.916	-3.323
"YNL248C"	0.836	-4.791	-4.364	-4.315	-1.698	-0.213	-3.398	-4.455	-4.373	-1.982	-1.052	1.182	-0.542	-3.395	0.354	-1.163	-1.798	-1.572	-5.716	-3.559	-3.442	-3.857	-4.575	-5.215	-3.618	-2.168	-3.866	-3.014	-1.291	-0.977	-0.709	-5.072	-2.924	-2.98	-3.902	-3.609	0.19	-0.833	-0.089	-0.897	-0.631	-0.797	-0.493	-0.816	-0.64	-1.15	-0.479	-0.378	-0.874	-0.324	-2.53	-4.868	-4.217	-6.193	-3.878
"YNR009W"	0.21	-1.596	-1.424	-2.0	-1.871	-0.652	-1.426	-1.863	-1.585	-1.163	-0.62	0.6425	-0.342	-0.969	0.518	-0.939	-0.714	-0.607	-3.025	-2.0455	-1.7255	-1.752	-2.496	-3.9935	-0.9845	-1.684	-2.0265	-1.6355	-0.015	-0.203	0.157	-1.544	-1.031	-0.836	-1.35	-1.218	0.423	0.324	-0.451	-0.15	0.284	0.208	0.387	0.352	0.773	-0.823	-0.305	-0.041	0.259	-0.205	-2.423	-2.193	-2.286	-2.487	-2.406
"YOR206W"	0.784	-5.087	-4.715	-3.702	-2.15	-0.163	-3.585	-5.083	-4.513	-1.554	-0.623	0.951	-0.0175	-3.849	-0.0775	-1.554	-1.361	-1.575	-5.827	-2.568	-1.991	-2.174	-3.681	-6.4785	-2.919	-1.049	-3.1625	-1.9445	-0.721	-0.538	-0.606	-3.888	-2.637	-3.151	-3.692	-3.694	-0.064	-0.581	0.272	-0.797	-1.189	-1.225	-1.25	-1.25	-1.17	-1.499	-0.086	-0.344	-1.234	-0.15	-1.792	-5.066	-2.539	-4.817	-2.585
"YPL079W"	0.283	-2.261	-2.147	-2.597	-1.346	-0.09	-2.277	-3.115	-3.828	-1.376	-1.022	0.917	-0.0605	-1.631	-0.0855	-1.437	-2.168	-1.792	-4.616	-4.1965	-3.3525	-2.6495	-3.892	-6.4765	-2.527	-1.7255	-3.085	-3.172	-0.613	-1.163	0.142	-4.735	-3.087	-3.015	-3.498	-4.547	0.085	-0.548	-0.011	-0.257	0.118	-0.207	-0.207	-0.491	-0.759	-1.713	-0.391	0.044	-0.605	-0.045	-1.673	-3.135	-2.753	-3.573	-3.431
"YPR110C"	0.551	-3.178	-1.98	-3.084	-1.217	1.053	-2.507	-3.52	-3.728	-1.7985	-1.308	0.986	-0.1555	-2.207	0.0235	-0.986	-1.61	-1.316	-5.7185	-3.423	-2.9215	-3.133	-3.662	-6.318	-2.6255	-1.862	-3.01	-3.296	-1.41	-0.936	-0.64	-3.88	-2.703	-2.993	-3.212	-3.358	-0.038	-0.755	0.179	-0.623	-0.369	-0.593	-0.473	-0.671	-0.799	-1.216	-0.426	-0.27	-0.474	-0.159	-2.108	-3.168	-1.853	-3.882	-3.113
