	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"6824.Sporulation t0"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8204.steady state 29 dec C"	"8233.dtt 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"30463.Pomona/Brown pol2-12 red"	"33779.delYPL230w_stationary_phase_5hours"
"YIL052C"	-2.0235	-2.1565	-1.989	-2.7275	-2.972	-0.87	-1.116	-1.381	-1.067	-1.113	-0.775	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.539	-2.82	-2.793	-0.239	-1.273	-0.905	-1.141	-1.223	0.094	-0.843	-1.743	-2.531	0.117	-2.821
"YIR026C"	-3.1325	-3.9735	-2.8615	-3.1245	-3.013	-0.699	-1.851	-1.795	-2.28	-1.724	-1.223	-4.983	-2.403	-2.432	-2.146	-2.11	-2.2	-4.02	-4.724	-2.815	-2.112	-2.284	-0.242	-2.044	-2.065	-2.068	-2.269	0.266	-1.2	-1.804	-2.938	0.1	-2.578
"YJL125C"	-1.985	-2.022	-1.6395	-2.175	-1.945	-0.447	-0.942	-0.863	-1.267	-0.908	-0.592	-2.303	-1.93	-2.066	-1.635	-1.655	-0.934	-2.343	-4.009	-1.542	-1.988	-1.388	-0.051	-1.002	-0.899	-0.897	-1.045	0.215	-0.708	-1.07	-1.7655	-0.165	-1.31
"YJL200C"	-3.818	-2.434	-2.957	-4.048	-3.5515	-0.226	-2.543	-0.892	-1.95	-1.687	-1.403	-3.392	-2.349	-1.692	-1.529	-1.098	-1.286	-2.839	-4.345	-1.103	-2.728	-2.482	-0.005	-2.038	-1.272	-1.397	-1.321	0.538	-1.107	-2.021	-3.9785	0.207	-3.653
"YJR063W"	-2.675	-2.1255	-2.576	-2.555	-2.2705	-0.516	-1.893	-0.074	-1.153	-0.993	-0.608	-3.233	-2.702	-2.518	-2.034	-2.513	-2.698	-2.37	-3.68	-2.039	-1.586	-2.243	0.396	-1.804	-1.2	-1.476	-1.422	0.359	-0.732	-1.026	-3.415	-0.404	-2.958
"YJR070C"	-4.6905	-4.824	-3.895	-4.828	-4.332	-1.502	-3.794	-1.881	-2.577	-1.538	-0.712	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.689	-3.471	-2.777	-0.414	-2.306	-2.277	-2.616	-3.193	0.475	-1.079	-2.575	-4.7655	-0.979	-3.754
"YJR145C"	-1.459	-2.2535	-1.8995	-2.8575	-3.3335	-1.487	-1.012	-1.165	-1.453	-1.379	-1.129	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-2.54	-3.551	-3.547	0.112	-2.162	-1.723	-2.369	-1.818	0.291	-0.856	-2.312	-2.7805	0.051	-4.108
"YKL181W"	-2.313	NaN	-2.149	-2.822	-2.81	-0.912	-1.73	-0.864	-1.54	-1.193	-0.807	-3.28	-1.879	-1.488	-1.945	-1.708	-1.771	-1.818	-4.28	-2.097	-2.604	-2.243	0.101	-1.865	-1.322	-2.131	-1.876	0.093	-0.64	-1.417	-2.802	-0.365	-2.308
"YLL008W"	-4.973	-4.981	-3.751	-4.808	-4.019	-1.155	-3.12	-2.763	-3.309	-2.293	-1.589	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-3.126	-2.364	-2.55	-0.102	-2.724	-1.847	-2.071	-2.458	0.395	-1.692	-1.906	-4.642	-0.472	-3.042
"YLR002C"	-4.273	-3.029	-2.585	-3.425	-2.737	-0.899	-2.86	-0.806	-2.081	-1.647	-1.397	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	-3.154	-4.959	-1.928	-2.611	-1.589	0.332	-2.016	-1.608	-0.819	-1.697	0.092	-0.942	0.135	-4.018	0.596	-2.422
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-0.705	-3.541	-1.474	-2.132	-1.593	-0.994	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-2.518	-5.388	-2.78	-2.737	-2.637	-0.538	-2.802	-2.013	-2.902	-2.825	0.159	-1.908	-1.779	-4.344	0.376	-3.361
"YLR061W"	-1.678	-2.212	-1.901	-3.322	-3.851	-1.105	-1.577	-1.104	-1.287	-0.966	-0.745	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-2.641	-3.239	-3.818	0.087	-1.456	-0.703	-1.889	-1.422	0.131	-0.679	-2.482	-2.697	0.359	-4.004
"YLR062C"	-2.174	-2.343	-2.335	-3.557	-4.079	-1.091	-1.285	-1.264	-1.241	-1.17	-0.933	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-2.606	-3.6	-3.985	-0.324	-1.826	-1.148	-2.069	-1.789	0.312	-0.932	-2.675	-3.134	0.467	-4.54
"YLR129W"	-4.096	-3.022	-2.347	-3.676	-3.658	-0.926	-3.455	-1.525	-1.12	-1.768	-0.629	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.214	-3.12	-2.647	-0.185	-2.343	-1.807	-1.65	-1.427	0.0	-1.081	-2.011	-4.108	0.147	-4.119
"YLR175W"	-4.176	-3.679	-3.07	-4.552	-4.902	-1.501	-4.195	-1.436	-2.257	-1.632	-1.183	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.43	-3.996	-3.068	-0.029	-2.188	-1.419	-1.892	-1.798	-0.051	-1.352	-2.422	-4.431	0.22	-4.338
"YLR180W"	-3.107	-3.001	-3.482	-3.526	-3.649	-1.682	-2.97	-0.918	-0.811	-0.666	-0.445	-4.201	-3.807	-1.95	-3.516	-2.387	-2.401	-2.127	-5.707	0.753	-1.025	-0.963	0.258	-2.72	-3.127	-2.466	-3.041	0.414	-0.905	-3.458	-3.682	0.255	-3.37
"YLR196W"	-5.425	-5.04	-3.221	-4.896	-4.532	-0.842	-3.946	-1.297	-2.364	-1.459	-1.106	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.118	-2.858	-2.859	0.305	-2.793	-1.956	-2.637	-2.454	0.133	-1.306	-1.216	-5.097	0.143	-3.658
"YLR197W"	-4.98	-4.044	-3.638	-4.76	-5.179	-1.17	-3.466	-2.02	-2.63	-1.881	-1.453	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-3.899	-3.238	-0.183	-2.28	-1.776	-1.768	-2.254	0.22	-0.988	-2.488	-5.072	0.184	-4.545
"YLR325C"	-1.897	-1.721	-1.92	-2.61	-3.056	-1.043	-0.906	-1.144	-1.195	-0.98	-0.894	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-2.676	-3.178	-3.753	0.028	-2.0	-1.818	-2.227	-2.329	0.532	-0.924	-2.253	-2.735	0.313	-2.866
"YLR448W"	-1.853	-2.009	-1.814	-2.821	-3.482	-1.597	-1.357	-0.839	-1.381	-1.324	-0.848	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-2.157	-3.425	-3.454	-0.209	-1.987	-0.899	-1.972	-1.41	0.341	-0.868	-2.337	-2.983	0.054	-4.791
"YML018C"	-1.908	-2.139	-1.521	-2.192	-2.304	-0.718	-1.469	0.07	-1.303	-0.924	-0.716	-3.624	-2.452	-2.174	-2.315	-1.808	-2.038	-2.284	-3.383	1.048	-1.603	-0.997	-0.715	-0.907	-0.547	-0.841	-1.459	0.037	-0.746	-1.455	-2.169	0.1	-3.046
"YML093W"	-4.507	-2.615	-2.741	-3.357	-3.472	-0.188	-2.92	-0.908	-2.477	-1.732	-1.528	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-2.962	-5.889	-2.751	-2.797	-2.437	-0.114	-2.468	-1.633	-1.583	-1.493	0.086	-1.156	-1.522	-3.703	-0.002	-4.548
"YMR093W"	-2.825	-3.204	-1.949	-3.006	-2.835	-0.977	-2.739	-0.542	-2.0	-1.268	-1.016	-1.169	-3.661	-3.154	-2.81	-2.903	-2.924	-3.98	-4.21	-2.377	-2.075	-2.079	-0.615	-2.058	-1.209	-2.173	-1.76	0.117	-1.264	-2.368	-3.181	-0.609	-3.843
"YMR131C"	-4.819	-4.183	-3.849	-4.525	-4.347	-1.212	-3.041	-2.233	-2.188	-1.713	-1.034	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-3.547	-2.98	-0.1	-3.012	-2.205	-2.522	-2.8	0.368	-1.36	-1.789	-4.674	-0.141	-4.181
"YMR242C"	-2.278	-2.539	-1.639	-3.309	-3.708	-1.39	-1.705	-1.34	-1.473	-1.353	-1.006	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	0.115	-2.598	-2.072	-2.755	-2.478	0.435	-0.889	-2.4615	-3.054	0.5545	-4.607
"YMR290C"	-3.64	-3.689	-2.957	-3.89	-3.624	-1.198	-2.19	-2.197	-2.5	-1.911	-1.252	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-3.243	-3.378	-0.283	-2.885	-2.633	-2.648	-2.383	-0.057	-1.688	-2.957	-4.129	-0.5325	-4.544
"YMR310C"	-3.117	-2.423	-2.264	-2.522	-1.974	-0.4	-2.195	-0.083	-1.738	-1.194	-0.826	-2.999	-1.275	-1.838	-1.146	-1.022	-0.948	-1.454	-3.842	-1.935	-2.25	-1.986	0.243	-1.65	-1.224	-1.241	-1.118	0.312	-1.31	-1.531	-2.882	0.6465	-3.588
"YNL002C"	-4.666	-4.07	-3.305	-4.559	-4.222	-0.61	-3.653	-2.167	-2.564	-1.766	-1.16	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.468	-2.839	-3.072	-2.59	-0.257	-2.774	-1.803	-2.843	-2.776	0.302	-1.345	-1.942	-4.603	0.2685	-4.466
"YNL062C"	-3.459	-2.934	-2.143	-3.093	-2.844	-0.383	-1.873	-1.31	-1.508	-0.829	-0.336	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-2.538	-2.304	-2.254	-0.121	-1.772	-1.297	-1.751	-1.657	-0.094	-0.681	-1.7035	-2.71	-0.448	-2.838
"YNL075W"	-3.86	-3.164	-2.558	-3.304	-2.768	-0.564	-2.359	-0.99	-1.5	-1.319	-1.01	-4.782	-2.75	-2.189	-1.683	-1.75	-1.696	-2.103	-3.339	-2.433	-3.095	-2.494	0.174	-1.85	-1.445	-1.521	-1.884	0.009	-1.028	-1.614	-3.301	0.0835	-3.779
"YNL096C"	-1.989	-2.093	-1.957	-2.881	-3.202	-1.968	-1.699	-1.018	-1.407	-0.997	-0.833	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.454	-3.331	-3.045	-0.25	-2.046	-1.198	-1.701	-1.39	0.375	-1.168	-2.8625	-2.812	0.457	-3.087
"YNL162W"	-2.024	-2.384	-1.97	-3.17	-3.58	-0.96	-1.819	-0.808	-1.061	-0.954	-0.581	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-2.86	-2.872	-0.226	-2.109	-1.436	-2.23	-1.918	0.596	-0.997	-1.852	-2.998	-0.014	-3.916
"YNL174W"	-5.157	-4.699	-4.233	-5.579	-4.714	-1.222	-3.024	-2.93	-2.718	-2.427	-1.752	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-4.079	-4.409	-3.149	-2.319	-2.439	-0.049	-2.4	-2.57	-2.392	-2.87	0.02	-1.881	-2.2935	-5.426	0.6685	-3.816
"YNL175C"	-5.334	-4.901	-4.11	-4.362	-3.931	-0.733	-2.77	-1.399	-2.692	-2.284	-1.567	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	-3.06	-2.575	-2.601	0.585	-0.83	-2.557	-2.034	-2.654	0.436	-2.156	-2.238	-5.147	0.5575	-2.5475
"YNL248C"	-4.791	-4.315	-3.398	-4.455	-4.373	-1.052	-3.395	-1.793	-2.173	-1.533	-0.87	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-3.866	-3.014	-0.372	-2.958	-1.972	-2.005	-1.857	0.12	-1.498	-2.53	-4.868	-0.149	-6.193
"YNL313C"	-3.472	-3.026	-2.399	-2.935	-3.02	-1.115	-1.887	-1.132	-1.97	-1.468	-1.03	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-2.852	-3.129	-2.948	0.138	-1.939	-1.572	-1.225	-1.032	0.151	-0.971	-1.051	-3.009	-0.193	-3.85
"YOR224C"	-1.836	-1.859	-1.457	-1.589	-2.102	-0.599	-0.888	0.648	-1.416	-0.99	-0.758	-2.895	-1.9785	-1.9375	-1.8585	-2.2005	-2.081	-3.348	-4.849	-2.0935	-2.254	-2.252	-0.28	-0.997	-0.862	-1.367	-1.309	0.4205	-0.89	-2.041	-1.555	0.262	-2.113
"YOR283W"	-1.037	-0.935	-0.69	-1.13	-1.177	-0.481	-0.6305	-0.3085	-0.564	-0.248	0.025	-1.2145	-1.2055	-0.922	-0.87	-0.2075	-0.3045	-0.6955	-2.0285	-0.4465	-0.8615	-1.0575	0.018	-0.877	-1.037	-0.713	-1.109	0.466	0.106	-0.225	-0.968	0.028	-1.17
"YOR294W"	-4.574	-3.828	-3.73	-4.407	-3.632	-0.049	-3.3475	-1.7325	-2.234	-1.598	-1.099	-5.6475	-2.427	-1.914	-1.2675	-0.7345	-1.3525	-1.2415	-5.2465	-2.791	-3.318	-1.8445	0.023	-3.461	-1.971	-3.216	-3.031	0.3245	-1.377	-1.148	-4.852	-0.025	-5.145
