	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1255.mec1_plus_gamma_90_min"	"1310.diauxic shift timecourse: 9.5 hr"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"5239.DES460 (wt) - mock irradiation - 30 min"	"6676.wt - 0.3 mM H2O2 - 30 min"	"7537.25C -- 45 min"	"7760.Na 45min"	"8204.steady state 29 dec C"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YKL099C"	-2.757	-4.464	-3.88	-2.796	-3.564	-3.037	-1.41	-3.158	-2.672	-2.33	-1.846	-4.145	-2.015	-3.312	-2.489	-3.26	0.088	-0.142	0.187	-0.185	0.589	0.567	-0.118	-0.356	0.707	-2.597	0.124	-1.336	-3.926	-0.372	-3.154	NaN	-2.909	-0.662	-2.722	-0.534	-0.298	-0.459	-1.829	0.243
"YKR056W"	-3.646	-4.01	-3.872	-2.945	-3.217	-3.127	-1.83	-2.566	-2.718	-2.101	-1.554	-4.495	-2.575	-4.34	-2.352	-1.986	0.009	-0.154	0.173	0.123	0.716	0.4	0.276	0.258	1.027	-2.896	0.009	-2.381	-3.682	-0.293	-1.97	-2.586	-2.146	-1.024	-2.061	-0.697	-0.318	-0.44	-0.506	-0.517
"YLL008W"	-2.364	-4.973	-4.981	-3.751	-4.808	-4.019	-1.904	-3.12	-3.718	-3.309	-2.293	-5.659	-3.509	-6.113	-3.126	-3.473	0.116	-0.192	0.142	0.151	0.867	0.422	0.473	-0.7	0.841	-2.724	0.395	-1.544	-4.642	0.062	-2.884	-4.08	-2.614	-1.089	-2.378	-0.221	-0.301	-0.145	-2.857	0.221
"YLR129W"	-4.191	-4.096	-3.022	-2.347	-3.676	-3.658	-1.9	-3.455	-2.548	-1.12	-1.768	-4.83	-2.28	-4.914	-3.214	-3.861	-0.04	-0.259	-0.203	0.069	0.605	-0.113	0.372	-0.063	0.917	-2.343	0.0	-2.144	-4.108	-0.212	-4.157	-4.374	-2.07	-2.002	-3.858	-0.409	-0.285	-0.517	-2.086	-0.311
"YLR196W"	-4.71	-5.425	-5.04	-3.221	-4.896	-4.532	-2.15	-3.946	-2.562	-2.364	-1.459	-5.083	-3.01	-5.836	-2.118	-4.378	-0.053	-0.067	0.252	0.039	0.696	0.932	0.226	0.729	1.461	-2.793	0.133	-3.524	-5.097	-0.242	-2.941	-3.697	-2.702	-1.054	-2.671	-0.495	-0.356	0.066	-1.532	-0.35
"YLR222C"	-4.592	-6.055	-4.292	-2.648	-4.709	-3.682	-2.289	-2.852	-2.269	-2.101	-1.507	-4.423	-1.933	-4.745	-2.391	-3.785	-0.197	0.209	0.292	0.211	0.693	-0.272	-0.421	0.465	0.945	-1.949	0.202	-2.974	-4.667	0.346	-1.471	-1.806	-1.703	-2.095	-1.418	-0.178	-0.218	-0.214	-2.628	-0.971
"YLR276C"	-3.536	-4.199	-3.855	-3.331	-3.732	-4.143	-2.11	-3.073	-2.616	-1.884	-1.687	-4.467	-2.163	-5.399	-2.381	-3.49	-0.097	0.155	0.12	0.066	0.906	0.122	0.081	0.842	0.929	-2.531	0.009	-2.204	-2.51	-0.208	-3.95	-4.014	-2.707	-1.514	-2.803	-0.134	-0.063	0.026	-0.911	-0.084
"YML130C"	2.3055	1.602	1.879	1.671	2.163	0.9395	-1.7595	1.178	2.026	1.921	2.311	-0.605	-1.0815	-1.421	-0.2115	-0.9315	0.121	-0.13	0.316	-0.057	0.0125	-0.1565	-0.4815	0.0355	-0.239	0.6415	-0.1445	-0.415	1.31	-0.072	2.775	1.892	1.279	-1.093	1.662	-0.243	-0.269	-0.429	-0.147	-0.223
"YMR014W"	-3.368	-3.36	-1.984	-1.961	-2.533	-2.14	-1.636	-2.425	-2.131	-2.164	-1.418	-3.923	-1.56	-4.826	2.39	-2.668	-0.129	0.067	-0.209	0.164	0.53	0.296	-0.179	0.188	0.896	-1.437	0.526	-1.179	-2.796	-0.216	-3.779	-3.477	-2.718	-1.33	-2.736	-0.329	-0.117	-0.203	-0.843	-0.36
"YMR310C"	-3.178	-3.117	-2.423	-2.264	-2.522	-1.974	-1.61	-2.195	-1.727	-1.738	-1.194	-2.999	-1.275	-3.842	-1.935	-1.6	-0.014	-0.221	-0.291	0.116	0.683	0.251	1.016	0.64	0.7	-1.65	0.312	-2.062	-2.882	-0.2075	-2.869	-2.857	-1.577	-0.652	-2.977	-0.439	-0.021	-0.227	0.426	-0.799
"YNL002C"	-3.547	-4.666	-4.07	-3.305	-4.559	-4.222	-1.834	-3.653	-2.627	-2.564	-1.766	-5.196	-2.914	-3.468	-2.839	-3.426	-0.152	-0.268	-0.21	0.127	0.746	0.115	-0.23	0.406	0.982	-2.774	0.302	-1.859	-4.603	-0.377	-3.249	-3.481	-2.594	-1.688	-3.245	-0.516	-0.154	-0.319	-1.401	-0.399
"YNL061W"	-3.447	-4.928	-3.927	-4.143	-4.404	-3.948	-1.98	-2.724	-2.673	-2.373	-1.799	-4.329	-2.031	-4.27	-2.724	-3.268	0.12	0.382	-0.35	0.14	0.927	0.046	0.698	-0.049	1.303	-2.599	0.194	-2.252	-5.38	-0.5915	-3.059	-3.925	-2.946	-0.873	-2.461	-0.044	0.314	0.015	-1.332	-0.563
"YNL132W"	-2.988	-4.679	-5.146	-3.658	-3.329	-4.954	-2.891	-4.644	-2.754	-3.143	-2.262	-5.826	-3.389	-6.392	-3.883	-4.353	-0.072	0.115	0.218	0.14	0.863	0.044	0.582	0.387	1.79	-2.468	0.114	-3.96	-3.45	-0.447	-3.651	-4.311	-2.617	-2.293	-3.564	-0.456	-0.01	-0.152	-1.541	-0.525
"YNL313C"	-3.06	-3.472	-3.026	-2.399	-2.935	-3.02	-1.945	-1.887	-2.31	-1.97	-1.468	-4.999	-2.695	-5.714	-2.852	-2.839	0.191	0.033	-0.138	0.22	0.795	0.273	0.295	0.284	0.849	-1.939	0.151	-1.891	-3.009	-0.781	-3.183	-2.824	-2.352	-1.014	-1.81	-0.589	-0.53	-0.335	-0.875	-0.538
"YPL043W"	-2.829	-4.246	-4.0	-3.773	-4.198	-4.087	-1.864	-3.299	-2.529	-2.671	-2.001	-4.668	-2.8315	-3.79	-3.242	-3.89	-0.013	-0.044	0.206	-0.038	0.851	0.382	0.249	-0.678	1.549	-2.772	-0.2225	-2.276	-4.555	-0.663	-4.18	-3.988	-2.531	-1.238	-2.639	-0.279	0.214	-0.003	-1.534	-0.722
"YPR144C"	-1.792	-4.441	-4.211	-2.783	-3.783	-3.366	-1.485	-2.613	-2.554	-1.9485	-1.342	-3.855	-1.9705	-4.2065	-2.4285	-2.256	0.04	-0.364	0.167	-0.073	0.526	0.448	0.517	-0.148	0.503	-1.376	-0.097	-1.926	-4.107	-0.512	-3.581	-3.213	-2.381	-0.736	-2.677	-0.394	0.239	0.056	-0.626	-1.463
