	"80.cdc15 070 min"	"81.cdc15 090 min"	"298.Tunicamycin vs. Ctrl"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"8197.steady state 25 dec C"	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8282.Gal induced MCM1 vs. Glucose"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21634..24 mM H2O2- 155 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YFR015C"	-1.424	-1.339	0.532	-0.655	-0.28	-1.819	3.886	2.992	3.694	2.477	2.182	2.03	4.087	3.804	2.057	1.978	1.553	0.266	1.965	2.498	2.853	1.102	2.127	2.473	2.112	0.111	0.5	0.312	-0.803	-0.796	-0.291	-1.639	3.341	-0.0175	0.0635	0.0495	0.116	0.354	-0.213	3.685	2.791	2.652	5.6	4.23	3.221	3.465	0.276	NaN	0.936	-0.68	-0.691
"YGL030W"	0.018	0.238	-1.201	0.302	-1.242	0.592	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-1.677	-2.388	-2.751	-2.6	-2.361	0.137	-3.284	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	-0.101	-0.168	0.068	0.566	0.391	-0.574	0.673	-2.603	0.273	0.208	0.207666666666667	-0.564666666666667	0.139	-0.534	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198	-3.156	-1.372	0.684	-0.766	-0.877	-1.805
"YGL102C"	0.41	0.534	-1.044	0.352	-0.669	0.933	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-1.701	-3.301	-3.227	-3.132	0.794	0.309	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	0.231	-0.22	-0.006	0.568	0.479	-0.115	0.511	-2.437	0.104	0.646	1.6815	1.2895	0.425	-0.231	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203	-3.411	-1.217	0.647	-0.689	-0.751	-1.368
"YGL103W"	0.45	0.493	-1.238	0.388	-0.924	0.481	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.841	-3.266	-2.763	-2.672	-1.362	0.077	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	0.039	-0.323	0.083	0.383	0.375	0.25	0.535	-2.243	0.152666666666667	0.0893333333333333	1.0455	0.37725	0.267666666666667	-0.07	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202	-2.821	-1.378	0.442	-1.118	-1.62	-2.131
"YGL259W"	-2.791	-2.49	-0.109	-0.716	0.459	-1.406	3.517	2.619	2.908	2.423	2.259	2.389	1.935	0.895	0.846	1.426	0.503	-0.209	2.817	1.509	1.254	1.404	0.856	1.59	0.906	0.681	0.206	-0.891	-0.585	-0.646	-0.085	-0.569	2.842	-0.023	-0.1	-0.705	-0.424	-0.999	-1.236	2.021	2.412	2.062	3.466	2.519	2.15	2.681	-0.548	-1.298	-0.171	-1.139	-0.21
"YGR243W"	1.238	1.688	-1.531	0.241	1.771	-0.964	4.614	4.911	5.283	4.612	5.095	5.612	5.402	3.855	4.495	3.75	3.675	0.267	3.651	4.059	3.864	3.442	5.617	5.108	4.88	0.164	-0.108	0.028	-0.222	-1.0	0.0	-0.199	3.3865	0.038	0.013	-0.089	0.089	0.406	0.091	6.112	6.012	5.015	5.734	6.73	5.893	5.542	1.791	0.242	3.234	3.035	2.804
"YGR244C"	-0.456	-0.697	1.732	-0.665	1.222	-0.671	3.157	3.468	3.482	3.162	2.613	2.419	1.874	1.812	2.082	1.554	1.428	0.516	1.022	1.462	1.111	0.289	0.522	0.439	0.542	-0.07	0.089	0.081	-0.379	0.083	0.803	-0.454	2.629	0.203	-0.349	-0.407	-0.573	-0.232	0.117	2.511	2.85	2.137	2.452	3.511	2.916	1.918	0.355	0.162	0.963	0.776	1.561
"YHR021C"	-0.138	0.05	-1.481	0.244	-0.585	-0.457	-3.57	-3.061	-2.341	-2.215	-1.714	-1.757	-1.353	-2.639	-2.717	-1.787	-2.085	-0.184	-2.705	-2.071	-1.49	-0.902	0.213	0.261	-0.553	0.189	-0.476	-0.125	0.313	-0.054	-0.458	0.641	-2.676	0.133	0.346	-0.081	-1.208	0.191	0.024	-2.576	-2.1	-1.463	-3.519	-3.078	-2.345	-2.663	-1.094	0.914	-0.543	-0.947	-1.768
"YHR097C"	0.336	-0.293	1.726	0.083	0.838	-0.57	4.238	3.508	3.454	3.542	3.688	3.543	4.153	3.655	3.289	3.134	3.365	0.525	2.362	2.442	3.179	2.502	4.25	4.791	4.791	-0.133	-0.218	0.194	-0.037	-0.122	-0.267	0.193	2.955	-0.116	0.04	-0.545	0.679	0.363	0.138	4.249	3.689	2.751	3.646	3.725	3.049	3.252	0.64	-0.3	0.805	1.018	1.48
"YHR141C"	-0.152	-0.195	-0.867	0.542	-0.476	-0.042	-2.32	-2.364	-2.143	-1.635	-1.491	-1.631	-1.502	-2.31	-2.677	-2.575	-1.44	0.283	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	0.039	-0.076	0.115	0.721	0.903	-0.125	-0.479	-3.0435	-0.062	0.242	0.023	-0.933	0.24	-0.321	-3.763	-2.729	-2.849	-3.686	-3.203	-2.487	-2.359	-1.228	1.028	-1.223	-0.645	-1.609
"YIL052C"	0.275	0.187	-1.203	0.331	-0.87	0.614	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-1.912	-2.82	-2.793	-2.559	-2.622	0.135	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.24	-0.077	0.211	0.202	0.094	-0.411	0.716	-2.531	-0.305	0.634	0.537	-0.216	0.356	-0.255	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315	-1.331	0.768	-0.972	-1.769	-2.032
"YIL057C"	-0.304	0.028	-0.962	-0.263	2.351	-2.062	4.935	6.561	7.093	6.563	6.542	5.5	5.73	6.057	6.302	1.241	6.257	-0.341	4.439	4.612	2.754	2.592	6.044	6.174	5.453	0.114	0.353	-0.379	0.082	-0.295	-0.503	-0.988	1.13	-1.577	-0.168	-0.215	-0.06	0.686	0.44	4.799	5.812	1.115	3.196	5.445	4.778	4.052	3.217	-0.062	3.774	4.298	3.82
"YIL133C"	-0.372	-0.653	-1.597	0.212	-1.126	0.981	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-1.773	-2.93	-2.571	-2.194	-0.38	0.251	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.235	0.127	0.46	0.612	0.525	-0.125	0.145	-3.3115	0.196	0.4	-0.293	0.066	0.322	-0.02	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	-1.856	0.458	-1.288	-1.118	-1.899
"YIL148W"	0.16	0.141	-1.001	0.367	-0.695	0.073	-1.734	-1.482	-1.408	-1.077	-1.243	-0.897	-1.138	-1.789	-2.019	-1.629	-1.321	0.13	-2.319	-1.404	-1.39	-1.549	-0.901	-1.348	-2.118	0.067	-0.203	0.106	0.368	0.42	-0.06	0.442	-2.313	0.06	0.233	0.283	0.201	0.516	-0.312	-2.58	-2.025	-1.956	-2.552	-2.609	-1.815	-2.449	-1.022	0.947	-0.424	-0.952	-1.494
"YIR038C"	0.368	0.066	0.492	-0.009	1.136	-0.588	2.688	2.939	2.784	3.094	3.422	2.764	1.247	2.004	2.091	1.659	1.539	0.216	2.776	2.776	2.764	3.481	4.704	4.358	3.022	1.223	-0.73	0.042	-0.239	-0.323	-0.218	-0.283	2.6325	-0.367	1.549	-0.68	-0.402	0.49	0.043	2.945	3.199	2.621	4.229	3.133	2.934	3.154	2.472	0.127	2.282	2.855	1.961
"YIR039C"	0.561	0.488	-0.004	-0.26	1.47	-0.926	4.648	3.836	3.921	2.996	3.204	3.092	2.236	1.581	1.932	1.562	1.427	0.037	3.871	2.453	1.744	1.941	1.645	2.212	1.241	0.12	-0.527	0.144	-0.179	0.037	0.66	-0.42	3.736	-0.185	0.115	-0.659	-0.605	-0.525	-0.482	2.417	2.921	2.163	4.051	2.778	2.53	3.2	1.011	-0.977	0.19	0.543	1.099
"YJL066C"	-0.437	-0.31	-1.482	-0.335	1.51	-0.286	3.176	3.323	3.479	2.755	2.79	3.462	1.801	1.811	1.934	1.663	1.583	0.385	2.344	1.306	2.029	2.063	3.576	3.436	2.791	-0.228	-0.16	0.007	-0.352	-0.039	0.454	-0.475	2.9045	-0.421	0.292	0.557	0.499	-0.031	-0.063	2.893	2.947	1.997	4.144	3.6	3.185	2.863	1.613	-0.098	2.702	3.287	3.058
"YJL136C"	0.184	0.373	-1.0895	0.393	-0.5495	0.342	-2.5965	-2.5195	-2.1625	-1.923	-1.762	-1.46	-1.322	-1.93	-2.1825	-1.308	-1.441	0.322	-3.159	-1.774	-2.063	-2.01	-1.2865	-0.379	-2.1235	0.159	0.1425	0.071	0.423	0.532	-0.0795	-0.212	-0.542666666666667	0.2785	0.118	0.3465	-0.3975	0.2245	-0.0295	-3.426	-2.42	-2.267	-3.751	-2.53	-2.526	-2.859	-1.51	0.781	-1.502	-1.39	-2.086
"YJR145C"	0.535	0.998	-1.125	0.085	-1.487	1.14	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-1.781	-3.551	-3.547	-3.597	-3.707	0.524	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.381	0.403	0.246	0.494	0.291	-0.211	0.062	-2.7805	0.044	0.683	0.557	-0.366	-0.099	0.106	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-1.724	0.61	-0.861	-0.9	-1.447
"YKL006W"	0.52	0.19	-1.628	0.18	-1.288	0.818	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.6	-3.049	-3.027	-2.997	-2.743	0.47	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.2	0.39	0.377	0.274	0.293	-0.233	0.345	-3.02	-0.184	0.664	0.322	-0.968	0.401	-0.795	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	-1.683	0.647	-1.313	-1.35	-2.032
"YKL093W"	0.969	0.456	-0.434	-0.123	1.139	-0.987	5.448	4.655	4.714	4.393	4.525	4.208	2.966	3.199	3.212	2.953	3.082	0.042	4.872	3.902	2.916	2.536	2.725	3.515	2.14	0.06	0.141	0.292	0.209	0.059	0.344	-1.932	2.213	-0.076	-0.276	0.013	0.5	0.39	-0.011	4.428	4.865	2.992	4.992	4.664	3.337	3.528	2.271	0.474	2.451	2.976	2.4
"YKL148C"	0.727	0.884	-0.698	-0.646	0.437	-1.805	4.34	5.409	4.444	4.55	3.513	3.419	2.584	2.311	2.666	2.463	2.127	0.031	3.649	3.541	3.258	2.644	3.254	3.476	2.365	0.135	-0.638	-0.357	-0.382	-0.108	0.318	-1.874	2.844	0.275	-0.356	-0.9	-0.646	0.499	0.27	2.912	3.686	2.525	2.514	0.695	3.227	2.242	0.669	-0.515	1.327	0.593	1.865
