	"515.2.5mM DTT 045 min"	"516.2.5mM DTT 060 min"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1313.diauxic shift timecourse: 20.5 hr"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"6824.Sporulation t0"	"8247.steady state 36 dec C: y14n095"	"33414.delKIN82_heat shock _0min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"
"YLR339C"	-0.019	0.073	-1.371	0.449	-1.497	-1.562	-1.315	-3.243	-2.951	-2.69	-2.664	-4.988	-6.865	-0.663	-3.194	-3.201	-2.938	-0.255	-3.117	-1.977	-2.461	-3.161	-3.973	3.313	-2.196	-2.139	0.429	0.045	-0.057	-0.148	0.131	0.16	-4.034	-3.474	-3.052	-0.004	0.345	-3.409	-3.723	-3.161	-3.508	-1.795	-2.449	-4.14	-2.773	-2.713
"YLR340W"	0.547	0.146	-1.031	0.558	-1.266	-1.514	-1.292	-2.59	-2.224	-2.566	-1.969	-4.11	-6.819	-0.33	-2.646	-3.015	-2.689	-0.835	-3.499	-1.834	-2.702	-3.206	-4.105	3.263	-2.125	-2.387	0.616	0.014	-0.455	-0.108	0.53	0.75	-4.14	-3.346	-3.304	0.757	0.855	-3.405	-3.289	-2.708	-3.543	-1.809	-2.351	-3.888	-2.955	-2.45
"YLR372W"	-0.188	-0.164	-0.988	-0.127	-1.157	-0.866	-0.637	-4.565	-3.104	-2.096	-2.432	-2.731	-4.512	-0.502	-2.683	-2.643	2.656	-1.195	-4.078	-2.106	-2.844	-3.456	-3.544	2.112	-1.08	-1.677	-0.046	0.134	0.01	0.025	0.514	0.581	-3.386	-2.674	-2.156	0.533	0.156	-3.936	-3.603	-2.623	-3.925	-2.133	-2.233	-3.718	-3.155	-3.184
"YMR242C"	0.011	-0.101	-1.39	0.091	-1.473	-1.353	-1.006	-4.702	-3.631	-3.819	-3.001	-3.971	-6.226	-0.082	-4.338	-3.636	-3.62	-0.972	-4.84	-2.479	-2.601	-3.133	-3.475	2.029	-1.534	-1.611	0.137	0.139	0.115	-0.193	0.834	0.303	-4.158	-3.141	-2.446	0.01	0.19	-4.607	-3.588	-2.771	-3.856	-1.905	-2.832	-3.582	-2.724	-2.941
"YMR260C"	-0.39	-0.406	-1.121	0.031	-1.218	-1.25	-0.853	-3.404	-2.168	-2.559	-2.501	-2.549	-5.138	-0.33	-2.22	-2.366	-2.167	-0.854	-3.636	-1.666	-1.338	-1.729	-2.229	1.145	-1.615	-0.73	0.136	0.185	0.331	-0.009	-0.129	0.126	-2.426	-1.742	-0.914	0.266	0.045	-2.447	-2.023	-1.573	-1.636	-0.988	-1.147	-1.866	-1.836	-1.39
"YNL119W"	0.177	0.321	-0.865	0.299	-1.313	-1.27	-1.03	-6.697	-3.692	-2.694	-2.909	-5.354	-6.231	-0.492	-3.366	-2.99	-2.998	-0.93	-3.55	-1.753	-2.822	-2.843	-3.318	2.478	-1.042	-2.368	-0.143	-0.221	-0.54	0.053	0.328	-0.67	-3.587	-2.801	-2.871	-0.545	0.088	-4.042	-2.748	-2.546	-2.406	-1.972	-2.637	-3.264	-2.198	-2.566
"YNL162W"	0.304	0.111	-0.96	-0.134	-1.061	-0.954	-0.581	-3.953	-3.395	-3.14	-2.838	-2.858	-6.425	0.116	-2.872	-2.421	-2.763	-0.669	-3.999	-2.089	-1.742	-2.487	-3.468	1.432	-1.269	-1.624	0.213	0.199	-0.226	-0.039	0.212	0.056	-2.704	-2.701	-2.189	-0.312	0.096	-3.916	-3.323	-2.825	-3.105	-0.901	-2.273	-2.553	-2.223	-1.942
"YNL301C"	0.077	0.23	-1.054	0.257	-1.068	-1.128	-1.044	-2.992	-2.551	-2.514	-2.036	-5.123	-6.272	-0.267	-3.585	-3.098	-2.59	-1.646	-3.466	-1.992	-2.652	-2.985	-3.448	2.767	-1.424	-2.08	0.036	0.277	-0.001	0.184	-0.119	-0.356	-4.167	-3.163	-3.507	0.016	-0.089	-4.02	-3.032	-2.764	-3.161	-1.771	-2.864	-3.527	-3.041	-2.51
"YOR025W"	-0.404	-0.629	-0.248	-0.274	-0.214	-0.077	-0.318	-1.186	-0.798	-0.746	-1.358	-0.9595	-4.774	-1.051	0.631	-1.163	0.4965	-0.449	-0.972	-0.796	-1.405	-1.056	-1.084	0.677	-0.37	0.017	-0.054	-0.029	-0.07	0.092	-0.1715	-0.1675	-1.1015	-1.195	-1.4285	-0.3525	-0.3605	-1.161	-1.5395	-1.051	-2.0235	-0.6575	-0.0685	0.074	-0.637	-0.309
"YOR369C"	0.058	-0.084	-1.178	0.2885	-1.055	-1.413	-1.288	-3.6225	-4.255	-3.641	-2.7865	-3.724	-6.5475	-0.0235	-3.6415	-3.752	-3.809	-1.131	-3.998	-2.456	-2.456	-2.662	-3.502	1.967	-1.806	-1.649	-0.497	-0.018	-0.428	-0.001	-0.597	0.48	-3.362	-2.395	-1.842	0.894	0.413	-3.032	-3.003	-2.641	-3.203	-2.121	-2.977	-4.066	-3.194	-3.296
"YPL128C"	-1.0	-1.766	-0.069	-0.1665	-0.603	-0.454	-0.266	-1.472	-0.6645	0.1555	-0.463	-2.1475	-3.3175	0.6055	-1.0455	-1.4595	-1.7735	0.106	-1.084	-0.48	-0.935	-1.263	-1.721	0.519	-0.063	0.104	0.019	0.119	-0.113	-0.0495	-0.641	-0.399	-2.423	-1.79	-2.027	-0.19	-0.228	-1.634	-1.59	-1.193	-1.661	-0.372	-0.63	-0.833	-0.712	-0.812
"YPL198W"	0.0525	0.0595	-0.931	0.3355	-1.312	-1.127	-0.9245	-4.269	-3.194	-2.836	-2.46	-4.3605	-6.879	-0.4185	-3.3185	-3.022	-2.766	-1.484	-3.875	-2.024	-2.487	NaN	-3.133	2.698	-1.223	-1.912	0.126	-0.033	0.128	0.022	0.4465	-0.549	-4.2325	-3.528	-3.0615	-0.412	-0.0855	-3.4955	-4.5575	-2.68	-3.5	-2.0715	-2.5865	-3.028	-2.2705	-2.635
"YPL220W"	0.556	0.3395	-1.189	0.5435	-1.339	-1.541	-1.1745	-3.389	-2.4215	-2.18	-2.214	-3.187	-6.1465	-0.0985	-3.442	-3.3935	-2.852	-1.003	-3.51	-1.794	-2.247	-2.571	-3.926	2.259	-1.778	-2.396	0.059	-0.268	-0.163	-0.0445	0.436	0.554	-3.366	-2.375	-1.67	0.257	0.452	-3.554	-2.774	-2.352	-3.007	-1.471	-2.657	-3.294	-2.435	-2.969
"YPR098C"	0.242	0.1545	0.945	-0.3415	1.176	1.3315	1.278	2.4485	2.8885	2.574	2.2645	0.528	-2.104	0.749	0.9885	0.8005	0.489	0.653	2.568	1.52	1.692	1.312	0.676	-0.844	0.615	1.869	-0.046	-0.009	0.054	0.158	-0.22	0.523	2.205	2.258	1.599	-0.485	0.287	1.796	2.476	1.543	1.63	2.095	1.765	1.76	1.615	1.604
"YPR132W"	-0.4615	-0.475	-1.087	0.0545	-0.93	-1.0705	-0.8245	-2.849	-3.586	-3.351	-1.806	-3.1925	-5.805	-0.049	-3.048	-2.967	-2.8485	-0.546	-3.788	-1.948	-1.968	-2.388	-3.151	2.058	-1.458	-1.6	-0.031	0.002	-0.019	-0.3485	0.453	0.155	-2.884	-2.466	-2.174	-0.241	-0.01	-2.903	-2.829	-2.063	-2.893	-1.437	-2.17	-2.864	-2.496	-2.331
"YPR150W"	-0.502	-0.5995	1.476	-0.385	1.161	1.321	1.2495	4.325	2.686	4.2075	3.338	6.801	7.0395	1.3405	4.3645	3.446	4.025	1.974	1.618	2.319	4.069	3.943	3.963	-2.459	2.073	1.674	-0.067	-0.398	0.115	-0.1845	-0.459	-0.386	3.296	2.704	2.984	-0.754	-0.493	2.251	2.891	2.694	2.466	2.062	2.931	4.308	2.693	2.806
