	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"49.Elutriation2:Sample2:Time0.0hrs"	"50.Elutriation2:Sample2:Time0.5hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"59.alpha factor release sample013"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"632.Elutriation2:Sample2:Time4.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1107.alpha factor release sample025"	"1662.cdc15 030 min"	"1673.alpha factor release sample021"	"1674.Elutriation2:Sample2:Time5.5hrs"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"
"YHR196W"	-0.276	-0.783	-0.074	-0.174	-0.146	-1.321	0.324	0.596	0.501	0.451	0.147	0.141	-0.231	0.21	-0.2	-0.088	0.01	-4.423	-3.2925	-3.5265	-1.6015	-2.834	-3.894	-3.3595	1.131	-1.835	-1.912	0.156	0.027	1.299	1.007	-0.7405	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	-2.447	0.884	-1.847	-2.626	-2.461	-2.348	-1.856	-1.41	-3.843	-2.204	-2.19	-1.992	-2.264	-2.831	-2.681	-0.163	0.019	-0.029	0.971	0.208	-0.546	-0.368	-0.073	-1.275	-0.419	0.126	-0.9905	0.6375	1.08	0.83	0.851	-1.65	-2.024	-1.232	-0.885	-1.575	-1.655	-2.265	-1.972	-3.967	-1.239	-2.272	-1.605	-2.037	-1.725	-2.306	-2.006	-1.626	-1.717	-1.21	-1.014	-0.734
"YIL124W"	0.271	0.307	-0.115	-0.255	-0.245	1.351	0.589	0.038	-0.518	-0.479	-0.445	0.165	0.277	0.032	-0.293	-0.57	0.065	2.2175	2.2635	2.189	1.106	1.694	2.2555	2.264	-0.68	0.775	0.664	0.065	0.672	-0.657	-1.004	1.183	3.361	1.465	2.32	2.426	1.692	1.983	0.79	-1.384	1.042	0.85	1.347	0.995	0.315	0.481	2.356	2.184	1.623	1.961	1.301	0.992	0.367	-0.723	-0.361	-0.129	-0.875	-0.431	0.369	0.812	0.541	0.292	1.151	0.023	0.738	0.014	-1.462	-1.887	-1.734	-0.642	0.543	0.78	-0.206	0.371	0.557	0.628	0.554	2.3215	0.545	1.882	1.322	1.04	1.005	2.64	1.287	0.895	0.867	1.641	1.608	1.145
"YJL088W"	0.276	0.491	0.111	0.099	0.092	-0.802	0.82	0.014	-0.605	-0.431	-0.1	0.12	0.473	0.269	-0.143	0.452	0.193	1.3555	0.943	1.157	1.342	0.711	1.328	1.064	-1.385	-0.366	-0.487	0.053	0.417	-1.068	-1.787	0.8825	1.561	4.221	3.574	3.111	2.995	3.108	2.133	1.36	2.917	-0.819	-0.325	0.283	1.991	2.311	3.025	3.459	2.383	1.636	0.883	2.868	1.684	0.134	0.359	0.177	0.356	0.027	0.152	0.338	0.194	1.547	0.075	1.106	0.962	-0.4215	0.874	0.495	0.038	1.241	1.795	2.864	0.863	1.373	1.647	3.479	4.247	1.9335	1.557	0.576	0.5125	1.4505	1.936	-0.7835	1.922	2.195	2.22	-2.563	0.218	0.4845
"YJL166W"	0.507	0.331	0.287	-0.166	-0.004	1.741	0.714	0.241	0.461	0.433	0.315	0.326	0.084	0.549	0.245	0.076	-0.045	1.501	3.694	1.835	0.651	1.4775	2.2645	1.883	-0.216	1.093	1.488	0.197	0.426	-0.349	-0.611	1.2545	3.137	3.667	3.5	3.101	2.498	3.751	3.849	3.041	1.054	2.392	2.57	2.339	2.197	2.526	3.028	2.833	2.507	2.963	3.264	3.664	3.32	0.129	-0.161	0.096	0.114	0.146	0.486	0.101	0.721	0.776	1.055	0.021	0.7645	0.044	-0.205	-0.42	-0.499	1.161	1.321	1.151	0.421	0.482	0.496	0.559	0.108	2.077	1.097	1.03	4.107	3.65	3.802	2.806	3.428	3.524	3.809	0.772	0.992	0.898
"YJL188C"	0.266	-0.185	0.242	0.355	0.401	0.179	0.22	0.317	0.886	0.748	0.599	0.209	-0.189	0.565	0.109	0.194	0.1	-1.789	-1.259	-1.645	-1.4305	-1.9795	-2.06	-2.5615	1.008	-1.235	-1.829	-0.001	-0.234	1.159	0.709	-1.1625	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.442	-1.612	-2.24	-2.745	-2.519	-1.879	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.333	0.168	0.223	0.593	0.261	-0.18	-0.673	0.628	-0.431	0.117	0.017	-1.308	0.5105	0.379	0.858	0.858	-1.118	-1.518	-1.071	-0.479	-1.135	-1.4	-0.86	-1.182	-2.649	-1.505	-1.864	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01	-1.398	-1.965	-2.16
"YJL189W"	0.166	-0.277	0.101	0.336	0.2	0.258	-0.086	0.662	0.349	0.381	0.194	-0.234	-0.218	0.395	-0.228	0.299	-0.044	-1.379	-1.372	-1.8565	-1.682	-1.73	-2.7325	-2.8195	1.089	-1.18	-1.67	-0.394	-0.561	0.91	0.731	-1.0565	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.473	-1.433	-2.446	-2.278	-1.716	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	0.421	-0.177	0.052	0.374	-0.004	-0.291	-0.542	0.371	-0.951	0.01	-0.058	-0.9005	0.127	0.667	0.667	0.693	-1.24	-1.438	-1.127	-0.748	-1.552	-1.383	-0.955	-0.893	-2.3825	-1.288	-1.952	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288	-1.966	-1.14	-1.579	-1.765
"YJR025C"	0.749	0.805	0.142	0.009	-0.052	0.557	-0.213	-0.202	-0.401	-0.317	-0.437	-0.348	-0.196	-0.036	0.54	-0.415	-0.084	-0.1555	1.3205	0.7745	0.514	1.288	1.1375	1.138	-0.143	1.48	1.52	-0.22	0.384	-0.376	-0.289	0.5445	1.239	1.132	1.351	1.291	1.133	0.806	-0.668	-1.25	2.812	0.969	0.833	0.85	0.898	0.645	0.512	1.365	1.174	1.28	0.241	0.376	-0.204	-0.128	-0.348	0.141	-0.0425	-0.013	0.274	0.284	-0.166	0.742	0.969	-0.146	0.282	0.2155	-0.128	-0.446	-0.678	0.384	0.51	0.759	0.489	0.49	0.445	1.503	1.593	1.276	1.185	0.363	0.074	0.603	-0.497	1.04	0.711	0.38	-0.285	0.202	-0.129	0.993
"YKL064W"	0.376	-0.015	0.025	0.063	-0.304	0.539	-0.222	-0.012	-0.266	-0.282	-0.201	-0.169	NaN	-0.163	0.398	-0.173	0.118	0.983	5.268	0.474	-0.011	0.772	0.878	0.9495	-0.29	0.896	1.575	0.216	0.024	-0.272	-0.376	0.6615	1.385	0.893	0.888	0.571	1.432	1.627	2.15	1.25	1.649	2.125	1.69	1.532	1.199	0.919	1.399	0.981	1.674	1.789	1.821	1.291	1.302	0.069	0.088	-0.077	0.375	-0.059	0.409	0.295	-0.236	0.703	0.544	0.083	0.4325	-0.014	0.335	0.148	0.267	0.613	0.678	0.412	0.555	0.966	1.196	0.683	0.651	0.9065	0.698	1.082	1.802	1.467	1.299	2.437	2.031	1.342	1.485	1.031	0.939	1.176
"YKL121W"	-0.207	-0.098	-0.223	0.023	-0.075	0.469	0.059	-0.085	-0.402	-0.637	-0.432	-0.572	-0.189	-0.453	-0.059	-0.442	-0.161	1.788	1.675	1.34	1.057	1.363	1.485	1.276	-0.816	0.675	0.87	-0.637	-0.355	-0.984	-0.03	0.63	2.282	1.363	1.104	1.503	1.437	2.354	0.561	-0.22	1.685	1.645	1.259	1.419	0.932	0.609	1.96	1.168	1.384	1.618	0.648	-0.245	-0.651	-0.391	-0.316	0.011	-0.833	-0.29	0.011	-0.065	-0.373	1.023	0.822	-0.16	0.508	-0.498	-1.171	-0.954	-0.671	0.94	1.078	0.944	0.625	0.801	1.087	0.905	0.964	1.741	1.366	0.683	0.943	0.957	0.925	1.636	1.259	0.589	0.171	-1.566	0.302	1.063
"YKL180W"	0.188	-0.181	0.076	0.492	0.187	-0.488	0.335	0.791	0.689	0.93	0.503	0.732	0.446	0.526	0.141	0.235	0.161	-1.731	-1.949	-1.947	-1.228	-2.16	-2.81	-3.531	1.141	-1.295	-2.164	0.642	0.222	1.368	0.983	-1.763	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-1.48	-2.625	-3.204	-2.593	-2.296	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.083	0.26	0.365	0.208	0.332	0.469	0.051	0.469	-0.868	-0.148	0.469	-2.01	0.589	0.699	1.038	0.516	-1.234	-2.003	-1.241	-0.999	-1.883	-1.742	-1.285	-2.019	-3.37	-2.497	-1.891	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.482	-1.732	-2.687	-4.065
"YKR057W"	-0.15	-0.429	-0.191	0.053	-0.096	-0.399	0.269	0.489	0.517	0.86	0.385	0.518	0.365	0.515	-0.219	-0.289	-0.209	-2.184	-1.949	-1.925	-1.96	-2.223	-2.604	-2.966	1.271	-1.422	-1.947	0.499	0.06	1.288	1.111	-1.324	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-2.2	-3.461	-2.529	-1.743	-2.779	-2.897	-2.624	-2.294	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	-2.496	-0.255	-0.063	0.043	0.0215	0.102	0.25	-0.1	0.336	-0.482	-0.017	0.085	-1.248	0.615	0.691	1.107	1.137	-0.961	-1.639	-1.414	-0.434	-1.524	-1.962	-1.726	-2.25	-2.587	-1.76	-2.084	-3.811	-2.631	-1.7	-3.29	-2.638	-2.13	-2.085	-1.41	-2.448	-2.59
"YKR081C"	-0.515	-1.339	-0.117	-0.436	-0.031	-1.768	-0.604	0.357	0.767	0.397	0.172	0.11	-0.07	0.454	-0.16	-0.162	-0.11	-4.459	-3.157	-3.308	-1.663	-1.58	-3.81	-3.431	1.33	-2.174	-2.112	0.488	0.111	1.422	0.912	-1.263	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.08	-4.632	-2.467	-2.99	-3.278	-2.505	-1.918	-1.782	-3.734	-2.064	-2.119	-2.118	-2.282	-2.696	-2.515	0.008	0.104	-0.04	1.449	0.334	-0.339	-0.541	0.581	-2.166	-0.901	0.336	-1.565	0.57	1.065	1.661	1.127	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	-2.388	-1.678	-3.505	-4.501	-2.666	-3.386	-2.103	-1.623	-3.261	-2.433	-1.814	-1.48	-2.388	-1.874	-2.38
"YLL045C"	0.141	-0.393	0.086	0.492	0.118	-0.597	0.26	0.968	1.171	1.088	0.884	1.063	0.803	0.575	0.073	0.341	0.171	-1.746	-2.108	-2.105	-1.781	-2.319	-3.116	-3.722	1.394	-1.686	-2.353	0.737	0.432	1.348	1.206	-1.721	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-1.489	-3.169	-3.335	-3.185	-2.744	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.049	0.417	0.209	0.084	0.309	0.45	0.228	0.933	-0.956	-0.25	0.223	-1.965	0.399	0.914	1.273	0.9	-1.212	-2.243	-1.5	-0.871	-1.924	-1.585	-1.497	-2.279	-3.545	-2.44	-2.751	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-2.053	-2.703	-2.778
"YLR002C"	-0.691	-1.154	0.029	-0.361	0.047	-1.08	0.458	0.539	0.668	0.663	0.416	0.273	-0.155	-0.094	-0.026	0.106	-0.142	-4.273	-2.83	-3.029	-1.506	-2.585	-3.425	-2.737	1.116	-1.722	-1.392	0.281	0.206	1.087	1.015	-1.019	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	-3.154	-4.959	-1.928	-1.829	-2.611	-1.589	-1.157	-1.015	-2.747	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	-0.11	-0.142	-0.35	0.844	0.031	-0.414	-0.738	0.109	-1.581	-0.647	0.14	-1.211	0.252	0.855	0.951	0.813	-1.458	-2.016	-1.608	-1.005	-0.819	-1.697	-2.201	-1.401	-4.018	-0.271	-2.317	-1.828	-1.445	-1.159	-2.422	-2.55	-1.453	-0.718	-1.166	-1.024	-0.835
"YLR048W"	0.122	0.014	0.332	0.183	0.224	-0.832	0.873	0.799	1.108	0.908	0.855	0.833	0.338	0.556	0.045	0.337	0.168	-1.866	-1.381	-2.382	-1.451	-2.16	-2.988	-4.313	1.193	-1.214	-2.046	0.742	0.324	1.041	0.762	-1.921	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-2.627	-1.942	-3.296	-3.55	-2.771	-2.506	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.449	0.318	0.091	-0.205	0.122	0.304	0.063	0.589	-1.346	-0.676	0.258	-2.059	0.38	0.837	0.968	0.635	-1.08	-2.071	-1.351	-0.921	-2.216	-1.905	-2.17	-3.112	-3.563	-2.114	-3.068	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-3.432	-2.177	-2.808	-3.301
"YLR129W"	-0.231	-0.865	0.312	0.085	0.097	-1.138	-0.322	0.049	0.377	0.19	-0.113	-0.224	-0.094	-0.519	0.249	-0.256	-0.039	-4.096	-2.921	-3.022	-1.526	-2.347	-3.676	-3.658	0.833	-1.526	-2.112	-0.138	-0.477	0.944	0.869	-0.998	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.214	-1.898	-3.12	-2.647	-2.185	-2.333	-3.861	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	-0.122	-0.102	-0.04	0.32	0.051	-0.598	-0.533	-0.355	-2.104	-0.621	0.139	-0.967	0.38	1.347	1.167	0.917	-2.216	-2.343	-1.807	-1.667	-1.65	-1.427	-2.144	-1.903	-4.108	-1.808	-4.374	-3.422	-2.781	-1.86	-4.119	-2.843	-2.213	-1.072	-1.753	-1.435	-2.317
"YLR196W"	-0.817	-1.618	-0.199	-0.235	-0.171	-1.788	0.152	-0.084	0.371	0.554	-0.041	0.013	-0.402	-0.142	-0.542	-0.018	-0.017	-5.425	-5.709	-5.04	-1.973	-3.221	-4.896	-4.532	1.483	-1.871	-2.123	0.287	0.057	1.407	1.059	-1.52	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.118	-2.001	-2.858	-2.859	-1.799	-1.477	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.263	-0.093	-0.053	1.36	0.143	-0.682	-0.724	-0.54	-2.107	-1.087	0.24	-1.454	0.708	1.406	1.362	1.461	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-3.524	-2.593	-5.097	-2.15	-3.697	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	-2.247	-1.815	-2.053
"YLR222C"	-0.695	-1.162	0.005	-0.528	-0.3	-1.577	0.073	0.326	0.812	0.697	0.209	-0.011	-0.488	0.293	-0.051	-0.103	0.163	-6.055	-4.536	-4.292	-1.314	-2.648	-4.709	-3.682	1.364	-1.34	-1.105	0.239	-0.232	1.336	1.054	-0.94	-4.423	-1.933	-1.902	-1.176	-0.88	-1.613	-3.721	-4.745	-2.391	-1.818	-2.384	-2.21	-1.343	-1.64	-3.785	-1.613	-2.036	-2.29	-3.081	-2.929	-3.119	-0.028	0.06	-0.197	0.959	0.012	-0.831	-1.166	0.146	-2.189	-0.425	0.048	-0.913	0.522	0.884	0.799	0.945	-1.808	-1.949	-1.181	-1.681	-1.55	-1.389	-2.974	-2.686	-4.667	-2.383	-1.806	0.423	-1.501	-1.111	-1.727	-1.391	-1.453	-0.719	-2.111	-1.322	-1.756
"YLR258W"	-0.887	0.627	-0.882	-0.342	-0.587	1.369	-0.491	-0.683	-1.214	-1.1	-0.866	-0.318	0.017	-0.263	-0.968	-0.419	-0.048	4.617	4.224	4.273	2.738	3.655	4.262	4.866	-2.434	1.728	1.934	-0.482	0.69	-2.894	-2.721	2.89	4.602	3.602	4.226	3.358	2.68	3.089	1.955	0.406	2.871	3.115	2.686	2.614	1.279	1.078	5.214	4.198	3.429	3.18	2.454	2.872	1.945	-1.169	-0.676	-0.031	-0.272	-1.036	0.906	0.896	-0.499	2.986	2.051	0.375	2.296	-0.386	-1.373	-2.464	-1.991	2.515	2.646	2.207	1.935	2.64	2.578	1.785	1.107	4.686	0.601	3.754	3.968	3.416	2.076	5.121	3.888	3.318	2.343	3.322	2.693	3.295
"YLR356W"	0.295	0.412	0.245	-0.237	-0.033	0.78	0.63	0.143	-0.315	-0.4	-0.174	0.118	0.167	0.089	-0.28	0.43	-0.17	2.487	-0.834	1.967	2.031	1.848	2.234	2.179	-1.222	0.304	0.025	-0.007	0.641	-1.105	-0.95	1.35	4.015	3.302	3.078	3.514	3.078	3.806	3.964	0.828	1.522	1.84	2.083	2.031	1.543	1.833	1.792	1.217	1.214	1.174	1.86	2.207	1.695	-0.612	-0.232	-0.163	0.037	-0.321	0.072	0.478	0.201	1.018	1.12	0.097	1.683	-0.634	-0.571	-0.454	-0.912	0.791	1.868	2.027	0.695	1.287	1.778	0.4	0.293	2.688	0.93	2.01	2.523	2.366	1.711	3.571	2.324	1.576	3.074	1.953	2.303	3.044
"YLR388W"	0.101	-0.21	0.259	0.504	0.377	-0.587	0.619	0.461	0.751	0.79	0.559	0.74	0.287	0.738	0.231	0.151	0.123	-1.974	-1.927	-2.382	-1.424	-1.861	-2.879	-3.074	1.213	-0.992	-1.401	0.473	0.157	1.145	0.956	-1.406	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.593	-1.651	-3.204	-3.058	-2.742	-2.362	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	-0.053	0.123	0.289	0.289	0.353	0.09	-0.126	0.652	-0.646	-0.378	0.202	-1.597	0.611	0.632	0.876	1.102	-0.946	-1.714	-1.218	-0.993	-1.874	-2.12	-1.62	-2.448	-2.761	-1.781	-2.178	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	-1.536	-2.347	-3.334
"YLR397C"	-0.476	-0.542	-0.238	0.144	0.207	-1.501	-0.321	-0.1	0.47	0.319	0.036	-0.033	0.161	-0.34	0.198	-0.081	-0.007	-1.872	-1.586	-1.419	-0.599	-1.265	-1.312	-1.133	0.363	-1.615	-0.717	0.227	-0.152	0.632	0.427	-0.329	-2.71	-2.159	-1.356	-1.446	-1.044	-1.115	-1.226	-3.405	-0.953	-1.157	-1.514	-1.327	-0.722	-1.413	-1.345	-1.507	-0.787	-1.066	-1.272	-1.336	-1.225	0.004	-0.029	0.12	-0.609	0.195	0.147	0.15	-0.256	-1.127	-0.473	-0.036	-0.71	-0.075	0.505	1.027	0.319	-0.749	-0.86	-0.735	-1.011	-0.874	-1.004	-0.751	-0.715	-1.45	-0.125	-2.458	-0.839	-0.832	-1.248	-2.467	-1.639	-1.818	-2.111	-1.123	-0.574	-0.709
"YML093W"	-0.621	-0.857	-0.502	-0.43	-0.044	-0.619	-0.294	0.255	0.791	0.669	0.013	0.075	-0.108	-0.322	0.063	0.074	-0.125	-4.507	2.565	-2.615	-1.452	-2.741	-3.357	-3.472	1.211	-1.954	-1.754	0.124	-0.256	1.05	0.767	-1.019	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-2.962	-5.889	-2.751	-1.661	-2.797	-2.437	-1.818	-1.659	-3.309	-1.656	-1.961	-2.236	-2.547	-2.745	-3.262	-0.034	0.056	-0.227	0.694	0.143	-0.546	-0.427	-0.249	-2.001	-0.39	0.305	-1.18	0.532	1.831	1.962	1.375	-1.621	-2.468	-1.633	-1.272	-1.583	-1.493	-2.234	-1.586	-3.703	-2.063	-7.708	-2.999	-2.533	-2.258	-4.548	-2.489	-2.192	-2.403	-1.661	-1.353	-1.725
"YML100W"	0.112	0.794	-0.821	-0.298	-0.363	0.895	0.785	0.221	-1.209	-1.009	-0.161	0.444	0.73	-0.143	-1.591	-0.171	0.208	6.476	6.109	6.414	4.821	5.251	6.445	7.021	-4.449	2.285	2.345	-0.003	1.061	-4.306	-4.677	4.052	6.107	0.965	4.088	4.578	2.901	4.113	2.17	0.758	2.863	3.063	3.032	2.344	1.616	1.74	3.917	4.132	3.925	4.015	2.264	3.694	2.68	-1.363	-0.649	-0.079	0.364	-1.12	1.016	1.011	0.361	4.291	2.995	0.269	4.202	-0.519	-1.463	-1.402	-2.459	2.753	3.692	4.03	2.199	2.933	3.008	1.098	0.959	6.199	0.149	5.901	2.766	1.304	1.959	4.68	2.566	1.707	2.578	4.185	3.794	4.254
"YMR128W"	-0.26	-0.528	0.065	-0.114	0.05	-0.1305	-0.3425	0.182	0.5795	0.389	0.0805	-0.2265	-0.4725	-0.2185	0.054	0.1585	0.252	-2.6235	-2.03	-2.586	-1.198	-1.124	-2.7315	-2.316	0.655	-1.6315	-1.088	0.155	-0.2995	0.2015	0.5185	-0.7825	-3.436	-1.806	-1.6465	-1.273	-0.7035	-0.833	-2.2295	-2.13	-1.158	-0.561	-1.2265	-0.985	-0.311	-1.0855	-1.9575	-1.5655	-1.202	-1.4995	-1.697	-1.702	-1.924	0.26	-0.9645	0.0425	0.8015	0.2185	-0.574	-0.5325	0.192	-0.76	-0.5605	-0.0315	-0.849	0.1625	0.665	0.27	0.594	-0.897	-1.536	-1.4375	-0.411	-0.6735	-1.025	-1.095	-0.938	-2.7765	-0.9695	-1.911	-1.155	-1.262	-0.821	-2.38	-1.618	-1.175	-0.434	0.073	-0.42	-0.266
"YMR290C"	-0.623	-1.037	0.065	0.389	-0.258	-1.563	-0.87	0.477	0.797	0.677	0.24	-0.164	-0.618	0.03	0.015	0.204	-0.043	-3.64	-3.112	-3.689	-2.627	-2.957	-3.89	-3.624	0.988	-2.572	-2.637	0.03	-0.594	1.028	1.098	-1.568	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-3.017	-3.243	-3.378	-2.625	-2.846	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.407	-0.012	0.132	0.902	0.596	-0.767	-1.011	-0.078	-2.059	-1.059	-0.092	-1.35	0.338	1.319	1.486	1.629	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	-2.409	-2.481	-4.129	-0.579	-4.343	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-2.21	-2.307	-3.084
"YNL294C"	-0.076	0.094	-0.126	0.051	-0.171	0.604	-0.335	0.373	-0.257	-0.307	-0.134	-0.224	-0.226	-0.089	0.51	-0.365	-0.284	1.161	0.456	0.381	0.718	0.786	1.01	1.0	-0.205	0.008	0.618	-0.418	-0.13	-0.349	0.279	0.333	0.513	0.74	0.036	0.122	1.095	-0.032	0.747	-1.733	0.318	0.311	-0.007	0.376	0.063	0.476	0.809	0.226	0.704	1.01	0.833	0.636	0.025	-0.167	-0.359	-0.117	0.211	0.042	-0.072	-0.143	-0.089	-0.133	0.0	-0.077	0.113	0.216	0.409	0.102	-0.128	-0.405	-0.009	-0.302	-0.233	0.197	0.31	0.126	0.185	1.038	0.953	0.747	-0.121	0.112	0.09	0.989	0.055	0.28	0.713	0.699	0.58	1.186
"YOL052C"	-0.193	-0.282	-0.221	0.088	-0.068	-0.448	-0.055	0.386	0.341	0.14	0.336	0.144	-0.077	0.225	-0.01	-0.2	-0.329	-0.586	-0.652	-0.803	0.372	-0.629	-0.991	-1.078	0.392	-0.097	0.019	-0.195	0.007	0.229	0.454	-0.395	0.1425	1.999	0.437	-0.852	0.792	0.527	-3.152	-4.998	0.8085	-0.076	-1.514	-1.171	-0.144	-0.626	-0.327	-0.505	-0.606	-0.636	-0.781	-0.517	-0.645	0.067	-0.215	-0.197	-0.042	-0.056	-0.165	-0.25	0.191	0.081	-0.444	-0.048	-0.094	-0.156	-0.153	0.061	-0.141	-0.755	-0.971	-0.918	-0.56	-0.9	-0.956	-0.405	-0.597	-1.018	-0.946	-1.108	-1.921	-1.78	-1.406	-1.972	-0.905	-1.169	-0.657	-0.265	-0.459	-0.552
"YOL077C"	-0.549	-1.007	-0.232	0.123	-0.281	-1.531	-0.405	0.601	1.019	0.607	0.474	-0.221	-0.683	0.034	0.164	-0.162	-0.135	-5.439	-5.781	-5.04	-2.828	-4.336	-5.22	-4.28	1.476	-2.979	-3.07	-0.407	-0.748	1.273	-0.096	-1.497	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.1355	-2.01	-4.174	-0.219	-2.917	-1.374	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.282	-0.313	0.035	0.944	0.414	-0.981	-1.144	-0.235	-2.206	-1.43	-0.102	-1.771	0.843	0.554	0.978	1.214	-2.121	-3.287	-2.054	-2.035	-3.032	-2.96	-2.237	-2.567	-4.7	-3.568	-4.969	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.446	-2.897	-2.041	-2.759
