	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"799.Heat Shock 005 minutes"	"811.DES459 (mec1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1311.diauxic shift timecourse: 11.5 hr"	"2141.Elutriation2:Sample2:Time1.0hrs"	"6344.DES460 + 0.02% MMS - 5 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"30773.Pomona/Brown Sir3x red"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"42404.CC PU 2B Phosphate-Uracil Chemostat Comparison"
"YDL031W"	0.581	0.532	0.161	0.279	-2.218	-2.88	-2.3335	-2.1535	-2.805	-2.451	0.056	-1.7765	-1.7075	-1.604	-1.4565	-0.9485	-0.656	-2.5295	0.019	-0.583	-0.155	-0.03	0.228	-0.141	0.1085	-2.6385	-1.222	-1.487	0.185	-2.448	-2.583	-1.757	-1.283	-1.181	-2.16	-0.888	-0.525	0.642
"YDL201W"	0.401	0.383	0.096	0.322	-2.767	-2.68	-2.05	-1.932	-2.515	-1.652	-0.609	-1.009	-1.494	-1.274	-1.095	-0.696	-0.566	-3.282	0.108	-0.423	0.193	0.02	0.553	-0.137	-1.478	-2.398	-1.876	-1.183	0.097	-3.323	-2.621	-1.767	-2.04	-1.705	-2.492	-1.838	-1.138	-0.404
"YDL222C"	-0.805	-1.31	-0.764	-0.264	4.852	5.532	5.486	4.452	4.933	5.493	-1.503	1.557	3.042	1.765	3.588	2.273	2.092	2.058	-0.313	-0.229	-0.209	-1.384	0.937	-0.487	2.359	5.7	4.601	4.427	0.137	4.903	5.632	3.848	4.011	4.814	6.788	5.657	4.132	-0.208
"YDR001C"	-0.455	-0.144	-0.014	0.119	3.246	3.722	3.273	3.0	3.255	3.511	-0.787	2.674	1.935	1.985	2.054	1.376	1.035	3.121	0.087	1.28	0.635	0.366	0.376	0.45	1.078	3.574	2.673	4.175	0.163	2.468	3.999	3.377	3.286	1.884	3.563	2.644	1.706	-0.856
"YDR077W"	0.097	0.038	0.3	0.452	1.824	2.596	2.178	2.778	3.399	3.576	-0.874	1.366	1.096	1.944	2.239	2.226	2.153	2.061	0.957	0.422	0.498	0.433	0.867	0.335	2.024	2.527	0.193	2.566	0.113	1.521	2.234	2.354	2.303	1.343	2.431	1.65	1.124	-0.047
"YDR083W"	0.579	0.312	-0.131	-0.464	-2.465	-2.781	-3.602	-2.743	-3.018	-3.242	-0.288	-2.177	-2.561	-2.515	-1.874	-1.206	-0.896	-3.47	-0.056	-0.534	-0.249	0.521	-0.289	-0.375	-1.277	-3.386	-2.773	-2.258	-0.044	-2.462	-3.178	-2.503	-1.496	-1.18	-2.713	-1.403	-1.129	NaN
"YDR087C"	0.692	0.293	0.397	-0.14	-2.034	-3.126	-4.143	-2.758	-3.643	-3.468	-0.387	-2.122	-2.287	-2.337	-1.028	-0.921	-0.535	-4.139	0.061	-0.638	-0.167	0.504	-0.013	-0.299	-0.868	-4.13	-2.326	-1.654	-0.476	-2.803	-3.928	-2.942	-2.55	-2.16	-3.396	-3.436	-2.083	-0.022
"YDR206W"	-0.15	0.208	0.441	0.136	-1.221	-1.208	-1.23	-0.766	-0.759	-0.716	0.189	-0.04	-0.931	-0.836	-0.636	-0.595	-0.532	-0.488	-0.261	-0.434	0.153	-0.449	-0.135	-0.16	0.082	-0.914	0.079	-0.381	0.144	-1.0635	-1.534	-0.945	-1.581	-1.1935	-1.295	-0.652	-0.3745	-0.392
"YDR398W"	0.879	0.564	-0.155	-0.004	-4.395	-5.035	-4.358	-3.115	-4.082	-3.388	-0.247	-1.917	-2.576	-1.783	-1.42	-0.783	-0.225	-4.143	0.266	-0.908	0.252	-0.224	-0.479	-0.229	-1.234	-4.269	-2.002	NaN	0.188	-3.627	-4.76	-2.67	-1.871	-2.397	-3.061	-1.999	-1.457	-0.799
"YDR496C"	0.5315	0.0505	-0.095	-0.3165	-2.7945	-5.251	-3.9025	-3.671	-4.953	-4.7405	-0.7575	-2.742	-3.2695	-2.809	-2.2355	-1.793	-1.0365	-3.1645	-0.008	-0.55	0.099	0.237	-0.1355	-0.191	-1.6945	-5.1875	-2.728	-3.117	0.163	-3.598	-3.216	-2.317	-1.02	-1.347	-1.917	-1.733	-1.551	NaN
"YFR024C"	-0.153	0.121	0.199	0.618	0.881	1.256	1.17	0.979	1.41	1.091	-0.265	-0.118	0.929	1.01	1.147	0.823	0.922	0.867	0.114	0.732	0.444	0.134	0.398	0.312	0.492	1.35	1.7435	1.6495	0.1605	0.743	2.226	1.115	0.881	0.49	0.389	0.36	-0.213	-0.426
"YGL037C"	-0.55	-0.611	-0.341	0.157	4.841	4.922	4.738	4.635	4.777	4.892	-0.394	2.827	3.634	3.327	3.128	2.237	1.935	4.226	-0.044	1.87	0.85	0.189	0.672	0.606	1.444	4.782	4.814	4.762	0.261	5.215	5.736	4.948	4.25	3.731	4.634	3.141	3.145	0.503
"YGL099W"	0.603	0.268	0.061	-0.069	-1.448	-2.253	-2.456	-2.097	-3.122	-3.311	-0.211	-1.655	-1.773	-1.788	-1.314	-0.973	-0.775	-3.43	0.124	-0.568	-0.113	0.252	-0.073	-0.013	-1.564	-3.381	-1.85	-1.472	0.164	-2.306	-1.974	-1.593	-1.714	-2.453	-3.506	-2.525	-1.211	-0.085
"YGL171W"	0.753	0.708	0.335	-0.362	-3.422	-4.302	-4.243	-2.091	-3.818	-3.208	-0.415	-2.42	-3.432	-3.363	-2.576	-1.644	-1.258	-5.822	0.044	-0.464	0.032	0.471	-0.272	-0.251	-1.607	-3.658	-2.812	-3.129	-0.154	-3.124	-3.355	-2.839	-2.722	-2.402	-3.848	-2.304	-1.754	-0.787
"YGR008C"	-0.978	-0.786	-0.498	-0.196	3.769	3.569	3.526	3.322	3.458	3.861	-0.365	2.762	2.674	3.108	2.522	2.449	2.172	3.053	0.161	2.815	0.97	0.483	0.365	0.562	1.497	3.879	3.16	3.28	0.132	4.948	3.801	2.668	2.409	5.554	5.566	4.887	3.59	0.101
"YGR145W"	0.637	0.338	-0.093	-0.305	-2.7705	-5.791	-5.902	-3.702	-3.7955	-3.4415	0.151	-2.897	-3.204	-2.632	-2.307	-1.609	-1.27	-4.245	0.019	-0.68	0.098	0.199	-0.575	-0.496	-1.533	-4.7725	-2.4145	-2.844	0.1595	-3.598	-4.182	-3.769	-2.255	-2.4	-4.009	-2.204	-1.849	0.328
"YHR087W"	-0.505	-0.831	-0.606	-0.21	6.0195	5.7105	5.252	6.08	5.929	6.501	0.117	2.256	4.664	3.281	3.433	2.884	2.772	3.602	-0.14	1.908	0.668	-0.109	0.692	-0.0535	1.846	6.1195	4.848	5.78	0.061	6.124	6.178	5.278	5.117	4.15	5.778	4.259	3.36	-0.712
"YHR169W"	0.651	0.519	-0.132	0.113	-2.238	-3.982	-3.384	-2.497	-3.146	-2.919	-0.25	-1.849	-2.447	-2.003	-1.658	-0.952	-0.624	-4.241	0.061	-0.741	0.324	0.347	0.69	-0.2335	-0.963	-3.6155	-1.845	-1.6	0.096	-1.932	-2.583	-1.533	-1.636	-1.207	-2.087	-1.619	-1.154	0.193
"YHR197W"	0.598	0.352	0.17	0.078	-3.192	-3.7705	-3.414	-2.9045	-3.415	-3.1475	-0.691	-1.534	-2.573	-2.318	-1.815	-1.373	-1.049	-2.813	-0.141	-0.639	0.094	0.312	0.234	-0.255	-1.505	-2.7335	-1.365	-1.243	-0.054	-2.811	-2.933	-2.761	-2.722	-2.215	-2.625	-2.002	-1.608	0.128
"YJL109C"	0.3735	0.411	0.425	-0.476	-2.08766666666667	-2.39833333333333	-2.722	-2.64066666666667	-3.525	-3.447	-0.4375	-1.571	-2.0655	-1.971	-1.73	-1.1765	-0.483	-2.165	-0.242	-0.448	-0.2595	-0.198	-0.3225	-0.0193333333333333	-1.3175	-3.01866666666667	-1.7995	-1.9285	-0.0535	-2.7495	-2.8695	-2.029	-2.124	-1.4985	-2.9815	-1.5145	-1.1175	-0.145
"YJL159W"	-0.283	-0.034	-0.379	-0.331	1.133	1.958	1.978	1.8265	2.2695	2.3795	-0.464	0.938	0.419	1.011	1.135	0.962	1.344	1.068	0.622	1.132	0.97	0.161	0.177	0.2715	1.49	2.192	0.237	0.752	-0.076	0.15	1.922	1.6	1.27	0.142	1.327	0.905	0.273	0.24
"YKL065C"	-0.272	-0.067	0.042	0.005	1.437	1.8295	1.748	1.8165	2.421	2.16	-0.058	1.574	1.55	1.602	1.655	1.326	1.549	2.829	0.1	1.279	0.42	-0.047	0.517	0.2625	1.354	2.257	2.356	2.249	0.07	1.424	2.334	1.825	1.738	2.093	1.89	1.541	0.987	-0.173
"YKL163W"	-0.537	-0.42	-0.546	-0.533	0.97	1.74	1.452	1.1	2.387	2.486	-0.749	1.322	0.32	0.966	1.25	1.093	1.631	1.297	0.459	1.945	1.409	0.526	-0.477	0.319	1.927	3.465	0.099	1.344	0.123	0.168	1.66	1.173	0.492	0.717	2.477	2.34	0.812	-0.617
"YKR056W"	0.542	0.302	-0.004	-0.725	-3.646	-4.01	-3.872	-2.945	-3.217	-3.127	-0.741	-1.683	-2.718	-2.101	-1.554	-1.038	-0.807	-4.495	0.009	-0.744	-0.068	0.014	-0.276	-0.155	-0.763	-3.682	-2.055	-1.351	-0.185	-1.97	-2.586	-2.146	-2.061	-1.647	-3.056	-2.089	-1.061	-0.127
"YLL008W"	0.543	0.327	-0.09	-0.351	-2.364	-4.973	-4.981	-3.751	-4.808	-4.019	-0.155	-2.387	-3.718	-3.309	-2.293	-1.589	-0.871	-5.659	0.116	-0.59	0.067	-0.153	-0.22	-0.108	-1.714	-4.642	-2.672	-2.763	-0.11	-2.884	-4.08	-2.614	-2.378	-1.563	-3.042	-2.072	-1.554	0.367
"YLR003C"	0.519	0.311	-0.121	-0.314	-2.628	-3.442	-2.957	-2.644	-3.201	-3.212	-0.649	-1.894	-2.267	-2.257	-1.657	-1.142	-0.942	-3.378	-0.23	-0.534	-0.04	0.354	0.11	0.212	-1.447	-3.305	-2.502	-1.965	0.093	-2.062	-2.573	-1.447	-2.402	-1.754	-3.839	-2.794	-1.764	0.182
"YLR196W"	0.371	0.554	-0.041	0.013	-4.71	-5.425	-5.04	-3.221	-4.896	-4.532	-0.247	-2.273	-2.562	-2.364	-1.459	-1.106	-0.531	-5.083	-0.053	-0.824	0.036	0.21	-0.54	-0.191	-1.12	-5.097	-1.995	NaN	-0.121	-2.941	-3.697	-2.702	-2.671	-2.83	-3.658	-2.412	-1.969	0.146
"YLR221C"	0.284	0.279	0.19	-0.121	-1.904	-3.146	-2.286	-2.172	-2.998	-2.528	0.465	-2.043	-2.179	-1.971	-1.691	-1.235	-0.811	-2.998	0.127	-0.151	0.229	0.01	-0.189	-0.143	-1.559	-3.231	-2.299	-2.051	-0.086	-2.169	-3.034	-2.382	-2.79	-1.568	-3.361	-1.731	-1.498	-0.319
"YLR276C"	0.418	0.432	-0.13	0.054	-3.536	-4.199	-3.855	-3.331	-3.732	-4.143	-0.176	-2.068	-2.616	-1.884	-1.687	-1.31	-0.978	-4.467	-0.097	-0.603	-0.042	0.258	-0.426	-0.192	-1.375	-2.51	-2.537	-1.452	-0.237	-3.95	-4.014	-2.707	-2.803	-1.833	-3.838	-1.145	-2.088	0.196
"YMR217W"	0.998	0.727	0.269	0.326	-1.41	-2.517	-3.444	-2.705	-2.964	-3.238	0.251	-2.862	-2.637	-3.402	-2.728	-1.698	-0.768	-5.293	0.087	-0.563	0.293	0.101	-0.388	-0.132	-1.816	-3.402	-3.025	-2.475	0.2045	-1.727	-4.738	-3.101	-3.741	-2.927	-4.222	-3.421	-2.938	0.558
"YMR250W"	-1.294	-1.54	-1.345	-0.714	5.161	6.007	5.491	5.246	5.448	5.563	-0.931	3.5	3.78	4.002	3.833	2.924	1.979	4.705	-0.356	2.279	0.361	1.024	0.087	0.265	1.807	5.984	5.342	5.083	0.2185	4.217	4.606	3.471	4.16	5.018	5.68	4.944	4.024	-0.379
"YMR310C"	0.315	0.356	0.279	-0.287	-3.178	-3.117	-2.423	-2.264	-2.522	-1.974	-0.376	-1.592	-1.727	-1.738	-1.194	-0.826	-0.48	-2.999	-0.014	-0.923	0.365	-0.473	-0.441	-0.11	-0.954	-2.882	-2.046	-1.376	0.012	-2.869	-2.857	-1.577	-2.977	-2.152	-3.588	-1.433	-1.744	0.319
"YNL002C"	1.103	0.372	0.108	-0.319	-3.547	-4.666	-4.07	-3.305	-4.559	-4.222	-0.628	-2.677	-2.627	-2.564	-1.766	-1.16	-0.543	-5.196	-0.152	-0.368	0.124	-0.343	-0.393	-0.226	-1.453	-4.603	-2.639	-3.183	0.0375	-3.249	-3.481	-2.594	-3.245	-2.649	-4.466	-2.41	-2.181	0.053
"YNL060C"	0.317	0.256	-0.109	-0.491	-1.731	-2.662	-3.546	-2.78	-3.921	-3.668	0.064	-2.68	-2.747	-2.318	-1.793	-1.252	-0.635	-5.032	0.093	-0.58	-0.018	-0.226	-0.214	-0.109	-1.36	-4.389	-3.386	-2.724	0.048	-1.655	-3.38	-2.089	-2.13	-2.147	-3.208	-2.173	-1.48	-0.078
"YNL061W"	0.779	0.702	0.351	0.189	-3.447	-4.928	-3.927	-4.143	-4.404	-3.948	-0.331	-2.446	-2.673	-2.373	-1.799	-1.163	-0.739	-4.329	0.12	-0.82	0.027	-0.5	0.058	-0.213	-1.224	-5.38	-2.95	-1.981	-0.0205	-3.059	-3.925	-2.946	-2.461	-1.808	-2.571	-1.387	-1.085	-0.011
"YNL110C"	0.917	0.592	0.156	-0.359	-3.468	-4.43	-3.64	-3.768	-4.56	-4.991	0.534	-2.683	-2.66	-2.463	-1.926	-1.517	-0.931	-5.108	-0.179	-0.449	-0.002	-0.071	1.032	-0.203	-2.027	-5.064	-2.701	-2.816	0.017	-4.233	-4.907	-3.471	-3.973	-2.579	-4.747	-2.546	-2.431	0.202
"YNL132W"	0.534	0.558	0.299	-0.15	-2.988	-4.679	-5.146	-3.658	-3.329	-4.954	-0.108	-2.634	-2.754	-3.143	-2.262	-1.825	-0.67	-5.826	-0.072	-0.561	0.344	-0.057	-0.394	-0.156	-1.974	-3.45	-2.688	-2.23	0.3195	-3.651	-4.311	-2.617	-3.564	-2.948	-3.989	-2.673	-2.3	0.097
"YNL160W"	-0.075	-0.821	-0.603	-0.663	2.954	3.327	2.972	4.166	4.086	4.219	-1.135	3.764	2.898	3.269	2.993	2.601	2.18	2.571	0.218	2.701	1.519	1.045	1.114	0.511	2.153	3.679	2.452	3.998	-0.152	3.026	3.162	3.255	3.628	3.964	4.413	3.933	2.612	-1.787
"YNL174W"	0.99	0.361	0.208	-0.064	-2.195	-5.157	-4.699	-4.233	-5.579	-4.714	0.114	-3.257	-2.857	-2.718	-2.427	-1.752	-1.256	-5.141	0.014	-0.37	0.011	-0.081	-0.104	-0.103	-2.295	-5.426	-2.499	-3.421	0.192	-2.201	-3.76	-2.801	-2.503	-2.624	-3.816	-2.839	-1.053	-0.058
"YNL313C"	0.861	0.793	0.208	-0.102	-3.06	-3.472	-3.026	-2.399	-2.935	-3.02	0.173	-1.152	-2.31	-1.97	-1.468	-1.03	-0.904	-4.999	0.191	-0.855	0.244	-0.662	-0.118	-0.1	-0.962	-3.009	-2.292	-1.179	-0.095	-3.183	-2.824	-2.352	-1.81	-1.835	-3.85	-2.129	-1.672	0.063
"YNR053C"	1.002	0.842	0.355	0.086	-2.579	-5.074	-4.159	-3.104	-3.74	-3.215	-0.56	-1.354	-2.944	-2.392	-2.167	-1.291	-0.847	-3.029	0.141	-0.776	0.25	0.214	-0.033	0.069	-1.845	-4.11	-2.116	-1.468	0.107	-3.556	-3.937	-3.267	-2.674	-1.537	-4.56	-2.047	-1.84	-0.126
"YOL041C"	0.524	0.319	0.2615	-0.13	-1.68	-2.77	-2.082	-1.6425	-1.833	-2.018	-0.536666666666667	-1.615	-1.2465	-1.3715	-1.2435	-1.0415	-0.858	-2.40666666666667	0.0	-0.253	0.2835	-0.411	-0.28	0.089	-1.5195	-2.6195	-1.6065	-1.495	-0.0145	-2.31	-2.0805	-1.261	-1.599	-1.5565	-2.5355	-1.9775	-1.643	-0.2505
"YOL077C"	1.019	0.607	0.474	-0.221	-4.404	-5.439	-5.04	-4.336	-5.22	-4.28	-0.814	-3.046	-2.83	-2.938	-2.428	-1.471	-0.929	-5.186	0.035	-0.495	0.103	-0.01	-0.235	-0.085	-2.119	-4.7	-3.209	-2.005	0.014	-4.174	-4.969	-3.866	-4.679	-2.586	-5.145	-2.894	-2.392	-0.076
"YOL124C"	0.316	0.227	-0.042	0.025	-3.477	-5.367	-5.101	-3.858	-4.247	-3.145	-0.088	-1.919	-2.33	-1.693	-1.364	-0.705	-0.486	-1.6095	-0.199	-0.85	0.152	0.377	-0.555	-0.487	-1.8105	-4.313	-2.096	-2.622	0.088	-3.304	-3.978	-2.981	-4.404	-2.651	-4.431	-2.893	-2.185	-0.274
"YOR004W"	0.461	0.554	0.163	0.061	-4.23	-4.757	-3.548	-2.903	-3.62	-3.212	-0.161	-2.188	-2.836	-2.823	-2.164	-1.583	-0.861	-1.3775	-0.051	-0.685	0.116	0.247	0.016	-0.468	-1.917	-3.591	-3.731	-3.289	0.009	-2.63	-4.082	-3.247	-3.651	-2.505	-4.043	-2.804	-1.818	-0.04
"YOR048C"	0.382	0.635	0.4	0.511	-0.5935	-0.9155	-0.918	-0.8685	-0.916	-0.963	0.468	-0.693	-0.528	-0.5005	-0.5165	-0.2455	-0.5105	-0.803666666666667	0.044	-0.148	0.1085	0.476	0.066	-0.2235	-0.0833333333333333	-1.144	-0.481	-0.681	0.226	-1.553	-1.629	-0.951	-1.678	-1.769	-2.899	-1.207	-1.019	-0.447
"YOR095C"	0.564	0.226	0.306	-0.069	-2.575	-4.521	-4.288	-3.939	-4.34	-4.285	-0.501	-2.482	-2.47	-2.585	-2.162	-1.01	-0.607	-1.698	0.102	-0.255	0.294	0.083	0.187	-0.16	-2.568	-3.778	-2.474	-2.195	-0.006	-2.495	-3.665	-3.086	-3.849	-0.799	-4.298	-0.77	0.119	0.446
"YOR145C"	0.992	0.894	0.39	0.115	-3.045	-3.98	-3.795	-2.871	-3.492	-3.402	-0.471	-1.606	-2.441	-1.805	-1.614	-0.843	-0.433	-4.1305	-0.002	-0.597	0.135	0.388	0.25	NaN	-1.1325	-3.948	-3.41	-2.036	0.021	-3.355	-3.644	-2.806	-3.265	-2.352	-4.493	-1.998	-1.893	-0.032
"YOR206W"	0.784	0.875	0.245	0.116	-3.294	-5.087	-3.702	-3.585	-5.083	-4.513	-0.0175	-2.605	-2.894	-2.77	-1.859	-1.39	-0.949	-5.827	-0.064	-0.54	0.155	0.372	-0.115	-0.152	-1.716	-5.066	-2.693	-2.376	0.147	-3.782	-3.839	-2.816	-4.003	-2.539	-4.817	-2.585	-1.507	NaN
"YOR242C"	0.02	0.29	-0.013	0.047	-0.322	-1.352	-0.515	-1.379	-1.247	-0.933	0.167	-0.646	-0.448	-0.693	-0.573	-0.611	-0.716	-0.744	-0.181	-0.594	-0.199	-0.181	-0.37	0.102	-0.0875	-0.418	-1.94	-0.534	-0.14	-2.181	-1.106	-0.949	-1.048	-1.108	-1.55	-1.119	-1.472	-0.164
"YOR294W"	0.949	0.421	-0.673	0.222	-3.856	-4.574	-3.828	-3.73	-4.407	-3.632	-0.866	-2.027	-2.434	-2.234	-1.598	-1.099	-0.54	-5.6475	-0.101	-0.686	0.084	0.177	-0.003	-0.458	-1.381	-4.852	-3.102	-2.77	0.066	-3.894	-4.841	-3.679	-3.042	-2.74	-5.145	-2.254	-1.895	0.322
"YOR310C"	1.092	0.728	0.262	0.1	-4.866	-5.053	-4.365	-3.309	-4.639	-3.004	-0.179	-2.388	-2.348	-2.686	-1.831	-1.366	-1.016	-6.006	-0.06	-0.584	0.18	0.261	-0.286	-0.205	-1.8115	-4.948	-2.68	-1.284	0.099	-3.619	-4.326	-3.006	-4.099	-4.629	-5.14	-4.292	-3.502	0.114
"YPL004C"	-0.212	-0.203	-0.208	0.554	2.638	3.048	2.525	2.254	2.241	2.589	-0.044	1.896	2.316	2.364	2.113	1.404	0.673	2.962	-0.217	1.18	0.148	0.166	0.459	0.363	0.386	2.2	2.447	3.8	0.157	3.209	3.003	2.446	2.486	2.358	3.09	2.61	1.146	0.056
"YPL043W"	0.735	0.535	-0.061	-0.145	-2.829	-4.246	-4.0	-3.773	-4.198	-4.087	-0.6835	-2.45	-2.529	-2.671	-2.001	-1.51	-1.19	-4.668	-0.013	-0.907	-0.308	0.335	-0.232	-0.116	-1.6305	-4.555	-2.009	-2.094	0.191	-4.18	-3.988	-2.531	-2.639	-2.958	-4.308	-2.784	-2.516	0.015
"YPL211W"	0.777	0.44	-0.003	-0.313	-2.36	-4.373	-3.949	-2.921	-1.832	-2.713	0.1585	-2.126	-2.0875	-2.363	-1.8705	-1.2915	-0.658	-5.5605	0.007	-0.144	-0.328	0.038	-0.296	0.025	-1.921	-2.166	-2.924	-3.017	-0.625	-2.278	-3.213	-2.313	-3.89	-2.347	-3.981	-2.743	-1.72	0.116
