	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12732.Nitrogen Depletion 4 h"	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40960.H2O2_II_180_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YML056C"	-3.762	-3.158	-3.16	-2.963	-3.376	0.53	-3.967	-2.698	-5.251	-2.85	-2.047	-2.232	-3.243	-3.63	-2.774	-1.718	-2.437	-1.337	-2.566	-2.751	-0.474	-2.415	-1.827	-1.462	-1.486	-0.865	-1.553	-1.224	-3.776	-4.017	-2.689	-1.296	-2.625	-4.322	0.964	-1.012	0.466	0.412	-2.557	-2.921	-0.401	-3.068	-3.468	-3.685	-3.232	-2.885	-5.009	-3.48	0.421	0.994	0.389	1.273	-0.823	-0.517	-0.257	-0.818	-0.632
"YMR045C"	0.036	-0.371	0.34	0.156	0.413	1.191	0.031	-0.409	-1.757	0.788	1.611	0.924	0.239	0.919	0.986	0.431	0.791	1.256	1.538	0.9	1.109	-0.568	-0.533	-0.31	-0.302	1.391	1.14	1.38	0.21	0.067	0.248	0.466	0.758	-0.049	2.201	1.807	1.344	1.399	-0.415	-0.34	1.357	-0.001	-0.211	-0.753	-0.55	-0.03	-0.571	-0.109	1.497	2.513	1.88	2.815	1.698	1.923	2.052	2.141	2.32
"YMR046C"	0.139	0.212	0.769	1.181	0.946	1.561	0.217	-0.19	-1.652	0.63	1.693	0.995	0.93	1.018	1.276	1.304	1.334	2.23	2.399	1.676	1.249	0.077	0.188	-0.056	0.243	1.46	1.29	1.999	0.59	0.046	1.137	0.798	-1.307	0.239	1.777	1.718	1.434	1.613	-0.632	0.085	0.546	0.319	-1.279	0.139	0.251	-0.826	-0.471	-0.666	1.359	2.834	2.006	3.878	2.823	2.19	2.316	2.519	2.793
"YMR050C"	-0.227	-0.031	0.421	0.542	0.712	1.332	0.382	-0.403	1.534	0.828	1.329	1.115	0.198	0.82	1.013	0.634	0.656	1.297	1.571	0.822	1.107	-0.474	-0.416	-0.292	-0.254	1.457	1.173	1.557	0.252	0.509	-0.063	0.458	0.027	0.99	1.179	2.126	1.167	1.537	-0.209	-0.146	0.306	-0.233	0.33	-0.556	-0.669	-0.666	-0.989	-0.829	1.693	2.759	1.953	3.044	1.997	2.228	2.234	2.29	2.407
"YMR051C"	0.191	0.424	0.744	1.202	1.004	1.487	0.247	-0.012	-1.605	0.771	1.837	1.063	0.948	1.248	1.31	1.416	1.415	2.353	2.452	1.809	1.26	0.01	0.164	-0.08	0.113	1.791	1.356	2.022	0.764	0.196	0.633	0.25	-1.185	0.909	2.016	1.987	1.559	1.762	0.953	0.741	1.338	0.902	0.591	0.795	1.52	0.929	0.358	0.793	1.258	3.054	2.086	3.642	2.828	2.102	2.263	2.621	2.888
"YMR131C"	-4.819	-4.183	-3.849	-4.525	-4.347	0.271	-5.631	-5.052	-6.665	-3.153	-0.65	-2.016	-3.547	-2.98	-4.277	-2.776	-2.829	-4.236	-5.241	-4.266	-0.573	-3.012	-2.205	-2.522	-2.8	0.107	-2.023	-0.433	-4.674	-3.866	-3.389	-1.202	-3.736	-4.181	0.545	-1.253	0.131	0.163	-2.568	-2.513	-0.55	-2.206	-1.411	-0.55	-0.933	-4.809	-7.036	-4.159	0.074	-0.368	0.382	-0.038	-0.499	-0.454	-0.408	-0.536	-0.465
"YNL022C"	-1.72	-2.028	-0.458	-1.986	-1.406	0.139	-2.558	-1.611	-3.745	-1.8	-0.469	-0.907	-1.761	-1.753	-1.076	-1.225	-1.297	-1.606	-2.3	-2.325	-0.313	-2.042	-1.857	-1.642	-1.842	0.381	-0.357	0.16	-1.851	-2.755	-2.082	-1.556	-1.986	-2.039	-0.229	-1.089	-0.06	-0.032	-1.925	-2.144	-0.816	-4.189	-3.057	-2.011	-1.81	-2.629	-1.921	-3.295	0.074	-0.273	0.4	-0.086	-0.042	0.075	-0.038	-0.306	-0.284
"YNL174W"	-5.157	-4.699	-4.233	-5.579	-4.714	0.108	-5.141	-4.079	-4.409	-3.149	-0.96	-0.505	-2.319	-2.439	-4.372	-2.731	-2.682	-3.046	-3.229	-3.118	-0.37	-2.4	-2.57	-2.392	-2.87	0.327	-2.356	-0.419	-5.426	-3.76	-1.984	-1.916	-2.503	-3.816	0.013	-1.586	-0.214	-0.029	-2.734	-3.361	-0.331	-4.173	-3.46	-3.74	-3.42	-3.932	-3.568	-3.586	0.094	-0.208	0.46	-0.565	-1.206	-1.923	-1.09	-1.18	-0.633
"YNL175C"	-5.334	-4.901	-4.11	-4.362	-3.931	0.315	-4.877	-2.872	-6.011	-3.06	-0.893	-1.179	-2.575	-2.601	-4.587	-2.405	-2.804	-2.404	-3.809	-2.849	-0.59	-0.83	-2.557	-2.034	-2.654	0.323	-2.603	-0.386	-5.147	-2.388	-1.473	-1.63	-1.746	-2.5475	-0.126	-1.451	0.015	-0.0345	-4.009	-4.49	-0.575	-2.99	-2.735	-1.665	-1.578	-3.054	-2.676	-2.821	0.702	-0.2535	0.61	-0.1365	-0.9695	-0.673	-0.6575	-0.708	-0.3845
"YNL182C"	-6.33	-4.05	-2.807	-4.805	-3.807	0.028	-4.184	-5.862	-2.532	-2.39	-1.04	-2.37	-2.667	-2.624	-3.931	-2.613	-2.5	-3.434	-3.351	-2.827	-0.678	-2.324	-1.727	-2.106	-1.685	0.049	-2.261	-0.716	-4.61	-3.082	-2.906	-3.111	-3.01	-3.607	0.577	-1.892	0.472	-0.091	-2.917	-3.551	-1.374	-3.559	-3.206	-2.891	-3.015	-2.59	-3.844	-2.844	-0.168	-0.142	-0.143	0.178	-0.501	-1.634	-0.638	-0.688	-0.765
"YPL207W"	-3.26	-2.94	-2.29	-3.419	-2.713	0.0995	-2.321	-1.827	-3.832	-2.0445	-0.499	-1.734	-1.9425	-1.1345	-0.352	-0.562	-1.047	-2.101	-2.319	-2.628	-0.433	-2.017	-1.784	-1.025	-1.192	-0.13	-1.041	-0.709	-0.968	-3.502	-1.923	-1.393	-2.636	-3.018	-0.489	-1.524	0.631	0.518	-3.465	-3.378	-1.138	-2.237	-2.542	-3.055	-1.973	-2.689	-3.0	-2.057	0.367	0.005	0.525	0.287	-0.004	0.061	0.122	-0.208	-0.025
"YPL211W"	-4.373	-3.949	-2.921	-1.832	-2.713	0.1495	-5.5605	-4.4555	-5.029	-3.0675	-1.575	-3.234	-3.216	-3.3805	-4.129	-2.485	-2.918	-3.267	-2.652	-2.337	-0.144	-3.124	-2.614	-1.914	-2.688	-0.524	-2.084	-1.187	-2.166	-3.213	-2.547	-2.176	-3.89	-3.981	0.06	-1.609	0.52	0.597	-5.176	-4.397	-1.395	-3.148	-3.742	-3.369	-4.195	-2.835	-3.903	-3.206	-0.006	-0.111	0.389	-0.01	-0.051	0.069	0.062	-0.193	-0.264
"YPR118W"	-1.907	-1.97	-1.737	-1.603	-1.431	0.4435	-2.848	-3.9965	-5.524	-1.412	-0.8925	-2.1155	-2.525	-2.5375	-1.735	-1.488	-2.594	-2.882	-3.334	-3.538	0.069	-1.782	-1.233	-1.917	-1.787	-0.076	-0.283	-0.384	-1.164	-1.394	-1.377	-1.102	-2.085	-2.082	-0.247	-0.302	0.091	0.189	-0.745	-1.39	-1.022	-2.626	-1.433	-1.864	-2.954	-3.694	-1.609	-2.679	0.114	-0.147	0.271	0.632	0.011	-0.358	-0.077	-0.217	-0.439
