	"42.alpha factor release sample022"	"634.Elutriation2:Sample2:Time6.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1673.alpha factor release sample021"	"1674.Elutriation2:Sample2:Time5.5hrs"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"17676.Na+FK 45min (4)"	"21648..24 mM H2O2- 030 minutes"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"40957.H2O2_II_120_min"	"40970.MD_II_63_min"
"YHR203C"	-0.175	0.113	-3.926	-2.827	-3.782	-5.944	-3.917	-3.412	-4.669	-2.591	-2.575	-3.081	-3.941	-0.052	0.112	0.194	-2.455	-1.726	-2.243	0.109	-1.971	-0.18	-1.471	-1.05	0.626	-4.467	-3.308	-3.717	-3.449	-2.785	0.073	-1.476	-1.873
"YJL188C"	0.641	-0.234	-2.525	-2.39	-2.786	-4.633	-2.24	-2.519	-3.453	-1.929	-2.169	-2.54	-2.776	0.333	0.261	-0.18	-1.518	-1.071	-1.135	0.341	-1.505	-0.016	-1.115	-1.704	0.202	-2.879	-1.947	-2.777	-2.447	-2.254	0.062	0.249	-1.943
"YJL190C"	0.445	0.021	-3.794	-3.553	-3.585	-6.079	-3.969	-3.536	-4.469	-3.227	-2.941	-3.365	-3.524	0.17	0.182	0.018	-2.412	-1.772	-2.255	0.384	-2.112	-0.487	-2.354	-1.994	0.115	-4.772	-3.912	-4.874	-4.273	-3.311	-0.284	-0.646	-2.48
"YJR123W"	-0.109	0.147	-3.844	-3.276	-4.381	-9.147	-3.809	-3.442	-4.282	-2.635	-2.639	-3.543	-4.006	0.025	0.192	0.349	-2.264	-1.907	-2.373	0.224	-2.759	-0.099	-2.14	-1.22	1.029	-4.305	-3.113	-3.711	-4.025	-2.566	0.083	-0.785	-2.281
"YLL044W"	-0.059	-0.011	-4.871	-3.525	-3.79	-6.48	-3.313	-3.269	-3.872	-2.736	-2.724	-3.494	-3.967	0.148	0.287	0.227	-2.344	-1.619	-2.075	-0.21	-2.458	-0.265	-2.048	-1.407	0.405	-3.189	-2.774	-3.806	-2.77	-2.196	0.334	-0.808	-1.566
"YLL045C"	0.072	0.432	-3.851	-3.176	-3.857	-6.618	-3.169	-3.185	-3.66	-2.495	-2.943	-3.021	-3.731	-0.049	0.309	0.45	-2.243	-1.5	-1.924	0.432	-2.44	0.419	-1.04	-1.119	1.033	-3.449	-2.833	-3.788	-3.87	-2.635	0.255	-0.167	-0.864
"YLR183C"	-0.525	-0.662	-3.26	-2.307	-3.664	-3.782	-1.854	-1.418	-2.966	-1.434	-1.791	-3.695	-3.132	-0.848	-1.042	-0.593	-1.323	-1.441	-1.305	-0.781	-1.281	-0.08	-1.312	-1.17	-0.78	-1.962	-2.055	-3.342	-2.647	-1.395	-0.91	-1.21	-2.122
"YLR300W"	-0.653	0.467	-2.167	-1.662	-2.944	-2.662	-2.112	-2.642	-1.818	-1.269	-2.287	-3.195	-3.99	-0.372	-0.816	0.857	-1.228	-0.417	-1.215	-0.578	-1.565	0.285	-0.764	0.391	0.337	-2.554	-1.838	-1.974	-2.178	-1.488	0.437	-0.255	-1.659
"YLR333C"	0.16	-0.113	-3.93	-3.067	-3.011	-5.863	-3.538	-2.939	-4.032	-2.057	-1.584	-2.45	-2.848	0.309	0.457	0.08	-1.8	-1.502	-1.76	-0.049	-1.828	-0.063	-0.439	-1.479	-0.165	-4.086	-2.673	-3.582	-2.843	-2.359	-0.055	0.497	-2.259
"YMR202W"	0.034	0.125	-3.652	-2.101	-4.391	-5.431	-1.983	-1.907	-1.406	-1.208	-2.263	-2.876	-2.931	0.414	0.515	0.211	-1.91	-1.918	-1.988	-0.542	-1.477	-0.527	-0.727	-0.643	-0.48	-3.376	-2.583	-3.34	-2.624	-2.11	0.06	-0.527	-2.391
"YNL178W"	-0.284	-0.119	-4.244	-3.755	-4.338	-6.62	-3.239	-3.272	-4.97	-2.981	-2.958	-3.483	-3.871	-0.223	0.207	0.333	-1.991	-1.931	-1.803	-0.088	-1.668	1.133	-2.092	-1.974	-0.016	-2.898	-2.059	-2.548	-2.616	-2.364	-0.126	-0.559	-2.731
"YNR009W"	-0.942	-0.634	-3.025	-2.0455	-2.496	-3.9935	-2.0265	-2.0135	-1.544	-1.031	-0.836	-1.35	-1.218	0.466	0.034	-0.106	-1.67	-1.886	-1.93	-0.255	-1.71	0.702	-1.27	-1.125	-0.439	-1.965	-2.286	-2.487	-2.406	-1.298	-0.284	0.52	0.038
"YOR369C"	-0.034	-0.134	-3.6225	-4.255	-3.724	-6.5475	-3.0405	-3.752	-3.998	-2.986	-2.456	-2.662	-3.502	0.228	0.301	-0.109	-2.104	-1.873	-1.97	-0.529	-1.581	0.922	-1.708	-2.514	-0.597	-3.362	-2.395	-3.032	-3.003	-2.641	-0.187	-0.546	-2.906
"YPL090C"	0.17	0.133	-3.9615	-3.256	-4.364	-6.197	-3.398	-3.3795	-5.307	-2.954	-3.292	-3.309	-4.719	-0.415	0.091	0.271	-2.805	-2.023	-1.985	0.184	-2.36	0.678	-2.305	-2.163	-0.129	-4.244	-3.265	-4.101	-3.571	-2.951	-0.027	-0.774	-0.48
"YPL142C"	0.342	0.057	-3.1395	-2.973	-3.5865	-5.604	-2.825	-2.8235	-4.155	-2.376	-2.148	-2.632	-2.979	-0.275	0.263	-0.038	-1.852	-1.366	-1.839	0.142	-1.706	-0.733	-1.946	-2.263	-0.542	-3.763	-3.021	-3.677	-3.278	-2.971	-0.021	-0.935	-1.475
"YPL160W"	0.27	-0.0115	-3.26033333333333	-2.28466666666667	-3.08233333333333	-5.284	-2.22666666666667	-2.11133333333333	-4.0365	-2.824	-3.1695	-3.499	-2.977	-0.2605	0.0905	0.00549999999999999	-1.523	-1.1165	-0.682	0.386	-1.4455	-0.2755	-2.404	-1.099	-0.156	-3.477	-2.958	-3.512	-2.719	-2.2345	-0.1635	-0.7385	-1.452
"YPL220W"	0.389	-0.18	-3.389	-2.4215	-3.187	-6.1465	-3.0375	-3.3935	-3.51	-2.639	-2.247	-2.571	-3.926	0.224	0.401	0.158	-2.457	-2.005	-2.078	0.659	-2.179	-1.08	-1.963	-1.918	0.436	-3.366	-2.375	-3.554	-2.774	-2.352	0.001	-1.238	-2.482
"YPR102C"	0.096	-0.223	-3.521	-3.2315	-4.045	-6.451	-3.5055	-3.673	-4.644	-3.232	-3.352	-3.749	-4.692	0.323	0.506	0.124	-2.388	-1.826	-2.23	0.189	-1.909	0.474	-1.611	-0.988	0.577	-3.927	-2.614	-4.015	-3.517	-2.547	-0.124	-0.608	-2.08
"YPR132W"	0.113	-0.472	-2.849	-3.586	-3.1925	-5.805	-2.5895	-2.967	-3.788	-2.292	-1.968	-2.388	-3.151	-0.136	0.218	-0.055	-2.207	-1.919	-2.23	0.0655	-2.083	0.534	-1.286	-1.098	0.453	-2.884	-2.466	-2.903	-2.829	-2.063	-0.238	-0.742	-1.472
