	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"7541.DES459 (mec1) - log phase (IR time "	"8213.steady state 36 dec C"	"11466.yO1 test hyb"	"21657..24 mM H2O2- 063 minutes"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"
"YDL082W"	-1.115	-0.813	-1.723	-3.326	-5.816	-1.18	-2.105	-2.383	-2.182	-2.186	-3.001	-3.589	0.409	0.063	0.425	0.34	-0.13	-0.279	-1.852	-0.9025	-1.4965	-1.1345	0.086
"YDL185W"	0.149	-0.059	-1.477	-2.522	-4.417	-1.308	-2.012	-0.395	-0.701	-1.557	-2.084	-3.0	-0.1775	0.074	-0.117	0.27	0.487	0.16	-0.976	-1.114	-0.343	-0.291	0.246
"YDL195W"	-0.035	-0.073	0.033	-2.022	-4.61	-1.162	-1.279	-1.029	-1.091	-2.271	-2.24	-2.391	0.084	0.032	-0.069	0.058	-0.412	-0.502	-0.602	0.597	-0.153	-0.656	0.527
"YDR002W"	-0.105	0.031	-1.109	-2.756	-4.542	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	0.086	0.03	0.277	-0.207	0.696	0.256	-1.802	-1.009	-0.182	-0.205	-0.342
"YDR012W"	-0.976	-0.729	-2.093	-3.045	-5.83	-2.676	-2.765	-1.886	-1.901	-1.122	-1.902	-2.058	0.3235	-0.13	0.359	0.138	-0.399	0.257	-1.649	-2.623	-1.488	-1.108	-1.003
"YDR023W"	-1.177	-0.916	-2.077	-2.907	-5.745	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	-0.1515	-0.019	-0.076	0.024	0.377	-0.27	-2.091	-1.4	-0.473	-0.5	-0.67
"YDR025W"	-1.268	-0.964	-2.705	-3.393	-6.697	-3.471	-3.326	-1.915	-2.886	-2.503	-2.895	-3.518	0.349	-0.035	0.286	0.236	-0.154	-0.201	-1.7675	-2.693	-1.2315	-1.623	-1.259
"YDR037W"	-1.299	-0.894	-3.458	-4.551	-5.224	-2.756	-2.42	-2.681	-2.313	-2.916	-3.368	-3.772	-0.2065	-0.13	0.036	0.385	0.387	-0.219	-2.523	-1.355	-1.903	-1.745	-0.559
"YDR341C"	-1.476	-1.273	-1.681	-3.212	-5.262	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	-0.289	0.1	-0.167	0.023	0.147	-0.053	-1.562	-2.175	-1.29	-0.861	-0.865
"YDR447C"	-1.567	-1.217	-2.465	-3.659	-5.332	-2.813	-3.129	-2.432	-2.817	-2.53	-2.625	-3.552	0.033	0.176	0.028	0.458	-0.248	-0.356	-2.1165	-2.7985	-1.4335	-1.2625	0.831
"YDR531W"	0.101	0.113	-1.002	-1.84	-3.125	-0.902	-1.052	-0.922	-1.171	-1.187	-2.081	-1.441	-0.194	0.111	0.089	0.013	0.208	0.015	0.431	0.065	-0.053	0.687	0.698
"YEL054C"	-1.074	-0.847	-2.981	-2.98	-7.056	-3.003	-2.232	-2.777	-2.579	-2.504	-3.005	-3.554	0.446	0.091	0.512	0.346	-0.476	-0.107	-2.202	-2.9535	-0.843	-1.543	-0.773
"YER009W"	-0.006	-0.029	-0.688	-2.671	-4.765	-2.143	-1.906	-1.407	-1.465	-2.034	-2.393	-2.025	0.25	-0.029	0.554	0.325	-0.025	-0.174	-0.484	-1.1145	-0.024	-0.268	-0.651
"YER0561C"	-1.233	-0.599	-2.571	-2.974	-4.828	-2.713	-2.71	-2.275	-2.538	-2.398	-2.784	-3.617	0.59	0.262	0.422	0.25	-0.338	0.197	NaN	NaN	NaN	NaN	NaN
"YER090W"	-0.182	-0.215	-1.173	-3.804	-5.004	-1.889	-1.861	-1.078	-1.311	-2.327	-2.585	-3.495	-0.136	-0.122	0.159	0.039	-0.54	0.042	-0.819	0.609	-0.691	-0.642	-0.54
"YER131W"	-1.179	-0.707	-2.47	-3.664	-6.55	-2.905	0.589	-2.2	-2.498	-2.105	-2.654	-3.304	0.477	0.487	0.586	0.281	-0.471	-0.548	-2.4735	-2.3985	-2.0195	-2.044	1.247
"YFL026W"	-0.188	-0.25	-1.269	-3.285	-4.221	-2.415	0.326	-1.354	-1.849	-1.838	-2.007	-2.33	-0.079	0.214	-0.387	-0.084	-0.88	-0.449	-0.9305	-0.9395	0.736	0.731	0.789
"YGL049C"	-0.121	-0.336	-0.555	-2.05	-4.12	-1.033	-1.097	-0.621	-0.562	-1.692	-1.763	-2.23	-0.123	-0.035	-0.352	0.04	0.56	-0.427	-0.776	-1.777	-0.371	-0.289	-0.569
"YGL245W"	-0.172	-0.107	-2.145	-4.799	-6.655	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.016	-0.194	0.046	0.202	-0.805	-0.049	-1.658	-1.689	-1.363	-0.932	0.027
"YGL257C"	-0.1785	-0.209	-1.0105	-1.0225	-2.5905	-0.9295	-1.7035	-1.2035	-1.09	-1.029	-0.519	-1.667	-0.2325	0.0995	-0.0445	-0.113	-0.285	-0.1945	-0.7085	0.4515	0.228666666666667	-0.549	0.597
"YGR175C"	-0.191	0.061	-1.083	-3.074	-4.5	-1.563	-1.196	0.085	-0.251	-2.53	-2.628	-3.285	-0.123	0.31	-0.145	-0.2115	0.13	0.012	0.106	-2.3285	-0.6225	-0.763	-0.038
"YGR189C"	0.898	1.12	0.33	-2.638	-4.894	-2.342	-2.168	-0.377	-0.919	-2.106	-2.635	-2.874	0.099	0.48	0.038	0.215	0.776	0.365	-0.036	-1.468	-0.373	-0.507	0.945
"YGR192C"	0.645	0.816	0.871	-1.406	-4.686	-1.473	-1.239	1.151	0.361	-1.049	-1.172	-1.584	-0.177	-0.041	0.425	0.2165	-0.53	0.033	0.35	-1.655	0.508	0.692	-0.761
"YGR254W"	0.4935	0.52	-0.2375	-3.348	-5.012	-1.4645	-0.919	1.749	1.81	-1.0355	-1.285	-3.4445	-0.15	-0.006	0.5035	0.24	-0.531	-0.288	-0.076	-1.499	0.801	0.8235	-0.426
"YGR285C"	-0.866	-0.803	-1.67	-4.078	-6.1	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	-0.105	0.15	-0.051	-0.0025	-0.4	-0.229	-2.068	-2.142	-0.803	-0.837	-0.965
"YHL003C"	-0.098	-0.43	-0.868	-2.186	-3.084	-1.135	-1.164	-0.886	-0.883	-1.585	-1.707	-1.741	-0.177	-0.067	-0.013	-0.1445	-0.584	0.239	-0.878	-1.262	-1.3	-0.329	0.035
"YHR019C"	-1.159	-0.972	-2.048	-4.051	-5.077	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	-0.069	0.071	0.304	0.0315	-0.776	-0.32	-1.834	-2.86	-0.99	-1.019	-0.19
"YHR024C"	0.389	0.2725	-1.262	-2.8215	-3.2155	-0.873	-0.714	-1.1645	-0.7885	-1.418	-1.672	-1.759	-0.113	-0.0045	-0.11	0.0846666666666667	-0.4855	-0.053	-0.922	0.3895	0.2195	-0.2305	0.238
"YHR047C"	-0.821	-0.941	-2.047	-3.032	-4.423	-0.614	0.114	-1.632	-1.63	-1.978	-3.102	-3.056	-0.166	-0.23	-0.022	0.1175	-0.589	-0.031	-1.841	-0.579	1.035	0.738	0.175
"YHR121W"	-0.027	0.126	-0.217	-1.976	-4.718	-0.94	-0.899	-0.644	-0.886	-1.573	-1.881	-1.852	0.042	0.063	0.172	0.0965	0.239	-0.217	-0.878	-0.871	-0.15	-0.199	0.562
"YHR133C"	-0.097	-0.073	-1.561	-1.885	-3.501	-1.622	-0.998	-1.703	-1.806	-1.64	-1.82	-2.45	-0.222	-0.043	-0.039	0.1275	-0.228	-0.277	-0.395	-0.637	-0.577	-0.521	0.42
"YHR193C"	-0.549	-0.435	-1.99	-3.11	-4.166	-1.955	-1.2	-1.494	-1.913	-1.778	-2.357	-2.845	0.264	-0.018	0.42	0.2695	-0.693	-0.719	-1.764	-1.702	-0.847	-0.579	0.675
"YHR203C"	-1.236	-1.061	-2.895	-3.782	-5.944	-3.412	-3.049	-2.437	-2.591	-2.575	-3.081	-3.941	0.083	0.264	0.398	0.204	-1.177	-0.082	-2.302	-2.988	-2.469	-2.241	-0.931
"YIL021W"	0.053	-0.101	-1.022	-1.965	-3.289	-0.937	-0.841	-1.198	-1.127	-1.2	-1.693	-1.565	0.26	0.094	-0.107	0.19	-0.389	-0.18	-1.047	0.935	-0.704	-0.768	-0.572
"YIL039W"	-0.093	-0.107	-1.46	-3.668	-4.517	-1.3	-0.337	-1.043	-1.386	-1.646	-2.122	-1.552	-0.037	0.233	0.002	-0.1685	-0.22	-0.049	-1.385	-1.315	-0.392	-0.131	-0.278
"YIL118W"	0.479	0.379	-0.886	-2.382	-3.881	-1.285	-1.695	-1.132	-1.172	-1.281	-1.819	-1.622	0.208	-0.116	0.141	-0.2705	-0.272	0.163	-1.77	-0.648	-0.37	-0.229	0.463
"YIL138C"	-0.001	0.114	-0.416	-2.433	-3.747	-0.803	-0.493	-1.136	-1.149	-1.524	-2.298	-1.906	0.067	0.284	-0.032	-0.1275	0.363	0.065	-0.886	-0.223	0.439	0.15	0.078
"YJL097W"	-0.078	0.255	-2.089	-2.596	-4.683	-0.944	-1.483	-1.025	-1.409	-1.461	-2.558	-2.276	0.343	-0.165	0.088	0.1215	0.212	0.284	-1.401	-0.7	-0.77	-0.907	-0.037
"YJL177W"	-1.371	-0.963	-2.747	-3.255	-5.49	-3.428	-3.164	-2.525	-2.421	-1.768	-2.278	-2.905	0.558	0.25	0.292	0.352	-0.816	-0.269	-2.348	-3.107	-2.663	-2.014	-1.313
"YJL188C"	-0.672	-0.523	-1.808	-2.786	-4.633	-2.519	-1.879	-1.885	-1.929	-2.169	-2.54	-2.776	0.286	0.017	0.615	0.2065	-0.349	-0.395	-1.525	-2.465	-1.456	-1.602	-0.648
"YJR007W"	-0.432	-0.488	-2.662	-3.21	-8.057	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.132	-0.054	0.074	0.099	-0.418	-0.443	-1.685	-1.191	-0.178	-0.213	-0.56
"YJR009C"	0.74	0.852	-0.25	-1.818	-4.161	-1.448	-1.29	1.26	0.529	-1.072	-1.015	-1.743	-0.009	-0.005	0.5	0.205	-0.577	-0.142	0.222	-1.092	0.624	0.709	-0.613
"YJR139C"	0.527	0.53	-0.736	-2.333	-4.462	-1.32	-1.529	-0.762	-1.269	-1.914	-2.388	-2.051	-0.134	0.025	0.077	0.25	-0.143	-0.14	-1.02	-1.849	-0.456	-0.876	0.102
"YKL056C"	-1.098	-0.805	-1.771	-3.426	-5.119	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	-0.043	0.072	0.235	0.2585	-0.875	-0.145	-1.777	-2.497	-0.575	-0.781	0.515
"YKL060C"	-0.015	0.118	-0.401	-1.412	-4.684	-1.902	-1.456	0.737	0.37	-0.564	-1.392	-2.196	-0.186	0.356	0.155	0.3555	-0.749	0.183	NaN	-1.532	0.64	0.944	-0.259
"YKL080W"	-0.067	0.0	-1.469	-4.229	-5.94	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.037	0.172	0.06	0.3535	-0.498	-0.212	-1.244	-1.014	-0.6	-0.216	-0.149
"YKL152C"	0.718	0.643	-0.785	-3.152	-4.943	-2.237	-1.871	0.348	-0.245	-1.713	-1.83	-2.83	0.197	-0.235	0.532	0.208	-0.977	-0.089	-0.203	-1.462	1.046	0.681	-1.042
"YKL153W"	0.679	0.654	-0.956	-3.54	-5.051	-2.882	-2.267	0.359	-0.755	-1.986	-2.039	-2.818	0.053	0.273	0.488	0.295	-1.371	-0.142	-0.232	-1.529	1.057	1.037	-0.848
"YKL210W"	1.078	0.859	-0.426	-2.409	-4.432	-0.982	-0.519	-0.118	-0.125	-1.627	-1.844	-2.279	-0.019	-0.12	0.134	-0.323	-0.145	0.388	-0.691	0.854	-0.789	-0.305	0.436
"YKR059W"	-0.793	-0.609	-1.54	-2.817	-4.998	-2.531	-2.238	-1.844	-2.106	-2.623	-2.96	-3.568	0.066	0.062	0.223	-0.226	-0.232	-0.01	-1.996	-2.394	-0.649	-0.865	-1.226
"YLR026C"	-0.128	-0.025	-0.257	-1.415	-2.357	-0.474	-0.412	-0.892	-0.68	-0.92	-1.632	-1.673	0.209	-0.18	0.001	-0.043	0.29	-0.309	-0.84	1.007	0.088	-0.144	0.431
"YLR060W"	-0.578	-0.436	-2.849	-4.941	-5.967	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.123	-0.212	0.233	0.076	-0.861	0.125	-2.464	-1.367	-0.692	-1.031	-0.883
"YLR061W"	-0.966	-0.745	-3.127	-4.939	-6.591	-3.021	-3.058	-2.433	-2.88	-3.309	-3.833	-3.91	0.384	0.078	0.032	0.465	-0.661	-0.36	-2.482	-3.246	-1.663	-2.214	1.825
"YLR208W"	0.33	0.064	NaN	-1.968	-4.432	-1.568	-2.018	-1.454	-1.248	-1.898	-2.183	-2.499	0.015	-0.252	0.184	0.063	-0.625	-0.022	-1.044	-1.127	-0.181	-0.419	-0.207
"YLR293C"	-0.257	-0.356	-2.675	-3.488	-6.281	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.163	0.078	0.516	0.168	-1.016	-0.062	-2.235	-1.525	-0.554	-0.661	-1.2
"YLR301W"	0.603	0.505	-1.84	-3.676	-5.415	-1.605	-2.439	-0.925	-1.325	-2.581	-2.218	-2.268	-0.202	0.196	0.124	-0.102	-0.786	0.382	-1.83	-0.801	0.627	0.659	-0.451
"YLR325C"	-0.98	-0.894	-3.034	-2.337	-5.498	-2.76	-3.039	-2.802	-3.314	-1.609	-1.204	-2.637	0.085	0.292	0.461	-0.234	-0.48	-0.384	-2.253	-3.258	-2.193	-1.74	-1.248
"YLR412W"	-0.42	-0.374	-0.444	-1.827	-4.156	-0.501	-0.828	-0.892	-0.742	-0.959	-1.335	-2.231	0.25	-0.096	-0.08	-0.079	-0.181	-0.214	-0.856	-0.056	0.12	-0.23	0.575
"YLR432W"	-1.235	-0.921	-2.129	-3.532	-5.65	-3.15	-3.001	-1.997	-2.641	-1.934	-2.482	-3.034	0.259	0.228	-0.05	0.104	-0.206	-0.16	-1.904	-1.947	-0.437	-0.538	0.595
"YML024W"	-1.247	-1.187	-3.285	-3.909	-4.621	-3.004	-3.408	-2.512	-2.583	-1.81	-2.221	-2.415	0.166	-0.183	0.257	0.177	-0.576	-0.052	-1.868	-3.104	-1.898	-2.308	-1.345
"YML064C"	-0.06	-0.24	-1.415	-2.421	-3.73	-1.106	-1.274	-0.612	-1.432	-1.338	-1.457	-1.948	-0.025	0.209	-0.211	-0.006	0.35	-0.087	-0.947	0.554	0.298	0.119	-0.35
"YML124C"	0.258	0.221	-1.733	-3.412	-4.107	-2.277	-1.951	-1.625	-0.926	-1.685	-2.001	-2.075	-0.156	-0.13	0.244	-0.146	0.002	0.312	-1.572	-0.469	0.375	0.071	0.179
"YMR079W"	-0.296	-0.223	-0.492	-2.074	-3.648	-1.837	-1.777	-1.258	-1.294	-1.666	-1.971	-2.855	0.157	0.177	-0.013	-0.031	-0.558	-0.04	-0.719	-1.242	-0.443	-0.596	-0.521
"YMR130W"	0.044	0.185	-1.215	-1.972	-3.845	-0.671	-1.168	-1.36	-1.47	-2.339	-2.247	-2.295	0.114	-0.001	-0.04	0.169	-0.206	-0.173	-1.328	-1.592	0.226	-0.29	-0.584
"YMR143W"	-1.227	-1.048	-2.234	-2.287	-4.466	-3.657	-3.194	-2.703	-2.873	-2.88	-3.111	-3.545	0.188	0.16	0.273	0.185	-0.585	0.044	-2.009	-3.371	-1.879	-1.668	-1.443
"YMR235C"	-0.303	-0.266	-1.785	-3.534	-5.187	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	-0.212	0.196	0.031	-0.11	-0.235	-0.221	-1.782	-1.135	-0.414	-0.18	-0.014
"YMR242C"	-1.353	-1.006	-3.032	-3.971	-6.226	-3.636	-3.62	-2.59	-3.004	-2.601	-3.133	-3.475	0.137	0.442	0.359	0.19	-0.89	-0.401	-2.4615	-3.061	-2.566	-2.316	-1.116
"YMR305C"	0.076	0.637	-1.885	-2.654	-4.237	-2.926	-3.562	-1.607	-2.906	-1.996	-3.198	-3.355	-0.421	0.336	-0.039	0.136	0.136	-0.057	-2.024	-1.253	-0.769	-1.189	-0.428
"YNL049C"	-0.142	-0.066	-0.673	-2.162	-4.607	-0.715	-0.845	-0.605	-0.505	-1.564	-1.776	-1.25	-0.218	-0.003	-0.094	-0.036	-0.175	0.178	-0.5325	-0.809	-0.394	-0.24	-0.559
"YNL085W"	-0.221	-0.412	-0.991	-2.342	-5.369	-1.365	-1.115	-1.668	-1.484	-2.001	-2.706	-3.291	-0.127	0.203	-0.239	-0.366	-0.091	0.273	-0.946	-0.7	0.441	-0.174	0.034
"YNL096C"	-0.997	-0.833	-3.616	-4.038	-6.106	-2.761	-3.165	-2.776	-3.041	-3.644	-4.096	-4.68	-0.041	-0.057	0.135	0.169	-1.081	-0.145	-2.8625	-3.134	-1.281	-2.002	-1.624
"YNL154C"	-0.056	-0.308	-1.128	-1.871	-3.909	-1.037	-0.547	-0.946	-1.374	-1.346	-2.5	-2.113	-0.038	-0.208	0.044	0.288	-0.483	-0.344	-1.3335	-1.495	-0.707	-0.459	-0.682
"YNL178W"	-1.635	-1.122	-3.159	-4.338	-6.62	-3.272	-3.183	-2.899	-2.981	-2.958	-3.483	-3.871	0.043	0.438	0.357	0.117	-0.778	-0.415	-2.479	-2.804	-1.862	-1.711	-0.744
"YNL220W"	-1.073	-1.058	-1.445	-3.758	-6.09	-0.66	-1.475	-0.618	-1.771	-1.724	-2.555	-3.197	-0.373	0.111	-0.025	0.294	-0.024	-0.069	-1.597	-1.58	-1.048	-0.783	-0.999
"YNL297C"	-0.148	-0.206	0.705	-1.872	-3.457	0.1	-0.393	-0.514	-0.448	-1.545	-2.132	-2.222	-0.11	-0.149	-0.053	-0.037	0.262	0.03	0.011	1.519	-0.492	-0.368	0.329
"YNR043W"	-0.341	-0.206	-2.628	-2.934	-5.1565	-1.949	-1.8335	-2.078	-2.382	-2.655	-3.803	-3.856	-0.083	-0.264	-0.103	0.057	0.041	-0.0185	-1.878	-2.763	-0.572	-0.275	-0.284
"YOR253W"	-0.297	-0.046	-1.759	-2.7935	-5.157	-1.538	-2.16	-1.139	-1.299	-1.872	-2.672	-2.633	0.394	-0.146	0.014	0.181	-0.425	0.1255	-0.978	-2.13	-0.848	-0.283	-0.734
"YOR254C"	0.138	0.05	-1.5485	-2.192	-6.426	-2.018	-1.4845	-1.904	-1.86	-2.354	-2.689	-2.309	-0.012	0.143	0.12	0.019	-0.144	-0.3455	-1.174	-0.899	-0.72	-0.441	-0.504
"YOR270C"	-0.125	-0.171	-0.6225	-1.649	-4.932	-1.5115	-1.114	-0.855	-0.859	-1.912	-2.307	-2.635	-0.107	-0.217	0.087	-0.409	0.034	0.3695	-0.721	-1.495	-0.654	-0.452	-0.319
"YOR311C"	-0.167	0.011	-0.4765	-1.3895	-2.824	-1.391	-1.2145	-0.611	-0.385	-0.789	-1.466	-2.0	0.077	-0.126	-0.006	0.109	-0.226	0.0335	-0.209	-1.266	0.105	-0.371	-0.515
"YOR323C"	-0.025	-0.023	-2.0305	-4.2845	-6.434	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	-0.169	0.153	-0.002	0.227	-0.735	0.037	-1.603	-0.855	-0.286	-1.136	-1.399
"YOR326W"	-0.481	-0.464	-1.6295	-3.4635	-4.9875	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.065	0.117	-0.539	0.205	-0.104	-0.3445	-1.467	-1.882	-1.647	0.106	-0.588
"YOR369C"	-1.413	-1.288	-3.7395	-3.724	-6.5475	-3.752	-3.809	-2.858	-2.986	-2.456	-2.662	-3.502	-0.497	0.217	0.435	0.27	-1.552	-0.103	-2.309	-3.601	-2.766	-2.671	-1.496
"YPL028W"	0.09	0.276	-1.7105	-3.482	-5.5385	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	-0.119	-0.256	0.298	0.225	-0.111	-0.0575	-1.486	-1.949	0.071	0.049	-0.432
"YPL037C"	-0.158	-0.074	-2.12	-3.9955	-5.417	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	0.247	-0.106	0.42	0.237	-0.916	-0.3175	-1.648	-1.795	-0.442	-0.404	-0.475
"YPL048W"	0.327	0.322	-1.898	-3.2175	-4.579	-1.4725	1.47	-1.113	-0.823	-1.535	-1.925	-2.183	0.19	0.073	0.057	-0.059	-0.717	0.1805	-0.719	-0.413	-0.092	-0.325	-0.538
"YPL081W"	-0.8	-0.646	-3.086	-3.4025	-6.801	-2.428	-2.3315	-2.849	-2.929	-2.789	-2.909	-3.725	0.271	0.099	0.12	0.171	-1.023	-0.252	-1.844	-1.142	-0.682	-0.777	-0.62
"YPL094C"	0.335	0.349	-1.143	-3.0415	-5.3055	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	0.16	-0.303	-0.046	-0.205	-0.517	-0.1825	-0.981	-1.229	-0.441	-0.326	-0.399
"YPL243W"	-0.2055	-0.202	-1.5805	-4.1455	-5.276	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.198	-0.062	-0.3165	0.174	-0.25	-0.138	-1.188	-1.49	-0.921	-0.316	-1.358
"YPR033C"	-0.809	-0.556	-2.142	-4.8805	-7.94	-2.759	-2.6225	-2.096	-2.55	-3.951	-4.382	-4.54	-0.186	0.015	0.0695	0.242	-0.762	0.2195	-2.107	-1.857	-0.785	-0.575	0.573
"YPR102C"	-1.199	-0.851	-2.6455	-4.045	-6.451	-3.673	-3.277	-2.723	-3.232	-3.352	-3.749	-4.692	0.208	0.219	0.3965	0.435	-0.653	-0.33	-2.384	-2.905	-1.969	-1.926	-1.412
"YPR114W"	-0.2705	-0.245	-1.837	-2.9825	-3.903	-1.798	-1.748	-1.338	-1.177	-1.633	-1.738	-2.533	0.218	0.473	0.0085	0.145	-0.447	0.197	-1.335	-0.828	-0.362	-0.514	-0.767
