	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6679.trr - 0.1 mM H2O2 - 10 min"	"7536.25C -- 30 min"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"44524.first half PM prep, array 2"
"YDR091C"	-2.061	-2.869	-2.781	0.962	0.996	0.772	1.468	-3.288	-4.4	-2.925	-2.268	-2.971	-1.631	-1.728	-2.044	0.481	-1.225	1.021	-2.972	-3.117	-2.953	-2.242	0.92
"YDR184C"	-2.64	-3.408	-2.671	0.902	1.162	0.546	0.994	-3.504	-1.842	-1.444	-1.709	-3.243	-1.65	-1.259	-1.431	0.602	-0.818	0.962	-3.644	-1.676	-3.208	-1.663	0.009
"YDR299W"	-3.609	-4.521	-3.496	0.737	0.97	0.533	1.115	NaN	NaN	NaN	NaN	-3.272	-1.713	-1.248	-1.738	0.189	-1.361	0.895	-4.453	-1.557	-3.212	-1.741	-0.399
"YDR300C"	-1.889	-2.371	-2.279	1.102	0.983	0.615	0.831	-2.126	-3.71	-2.152	-1.395	-1.907	-0.879	-1.502	-1.321	0.885	-0.72	0.703	-2.771	-2.23	-2.895	-1.907	-0.081
"YDR341C"	-1.189	-1.645	-1.494	0.688	0.703	1.444	2.004	-3.559	-5.262	-2.587	-2.171	-2.942	-1.135	-1.942	-2.263	1.763	-0.948	1.047	-1.465	-1.936	-2.142	-1.941	0.317
"YDR382W"	-1.582	-1.629	-2.146	1.065	1.111	2.393	1.087	-2.138	-5.686	-1.95	-2.886	-4.02	-2.332	-2.897	-2.877	2.311	-0.925	0.829	-1.946	-3.02	-2.783	-2.473	0.97
"YDR412W"	-1.984	-2.552	-2.649	1.278	1.045	0.303	0.082	-2.38	-3.774	-2.216	-1.595	-2.732	-1.576	-1.601	-1.419	0.581	-0.925	0.896	-2.914	-1.814	-2.305	-1.963	-0.526
"YDR413C"	-1.803	-2.779	-2.502	1.14	1.079	0.6	0.378	-2.622	-2.057	-1.399	-1.215	-2.337	-1.725	-1.311	-1.594	0.695	-0.972	1.008	-2.652	-1.835	-2.336	-1.502	-0.052
"YDR417C"	-1.608	-2.715	-3.361	1.045	0.832	2.373	0.976	-3.705	-5.062	-3.58	-3.209	-4.223	-2.458	-2.573	-2.986	2.333	-1.974	1.113	-2.642	-3.553	-3.585	-3.332	0.967
"YDR471W"	-1.805	-3.206	-3.84	1.0	1.177	2.008	0.689	-3.952	-4.747	-3.144	-2.929	-4.253	-2.034	-2.122	-2.633	1.771	-1.692	1.233	-3.29	-3.645	-3.608	-3.311	0.769
"YDR500C"	-1.699	-2.205	-2.773	1.235	1.186	1.259	0.03	-2.796	-2.649	-2.364	-2.622	-3.376	-1.917	-1.925	-1.831	1.863	-1.424	0.777	-2.258	-2.971	-3.3	-2.439	0.24
"YEL026W"	-1.912	-3.104	-3.214	1.322	1.231	1.088	1.197	-3.603	-4.755	-3.518	-3.357	-3.331	-2.232	-2.812	-1.923	0.631	-0.905	1.39	-3.194	-3.877	-3.527	-2.617	0.854
"YER117W"	-2.379	-2.386	-3.056	1.276	1.391	1.9	0.498	-2.982	-5.642	-3.05	-3.141	-3.768	-1.917	-2.534	-2.571	1.414	-1.189	0.981	-3.314	-3.319	-3.238	-3.345	0.352
"YGL078C"	-3.238	-4.399	-3.428	1.47	1.485	0.736	1.482	-4.866	-4.455	-2.914	-2.134	-4.196	-1.897	-1.879	-1.744	1.616	-1.965	1.63	-4.147	-3.53	-3.576	-1.995	0.196
"YGL102C"	-1.384	-2.074	-2.584	1.138	1.09	1.605	0.933	-3.419	-5.65	-3.301	-3.227	-3.32	-1.921	-2.077	-2.144	1.606	-1.5	0.511	-2.437	-3.42	-3.272	-2.955	1.019
"YGL103W"	-1.348	-2.193	-2.762	1.058	1.082	1.619	0.481	-3.452	-5.266	-3.266	-2.763	-3.07	-1.762	-1.73	-2.048	1.398	-1.716	0.562	-2.243	-2.976	-3.189	-2.934	0.637
"YGL123W"	-2.339	-3.47	-4.378	1.27	1.264	2.601	1.598	-3.781	-5.982	-4.112	-3.654	-3.511	-2.071	-2.414	-2.278	2.365	-1.869	1.082	-3.308	-4.217	-4.123	-3.488	0.854
"YGL135W"	-2.468	-3.231	-3.984	1.167	1.101	1.922	1.173	-3.221	-5.687	-3.217	-3.23	-3.581	-2.03	-2.512	-2.692	2.2	-1.941	0.789	-3.406	-3.443	-3.617	-3.009	0.735
"YGR085C"	-2.023	-2.966	-3.664	1.473	1.133	1.922	1.043	-3.713	-6.059	-3.071	-3.255	-4.359	-2.106	-2.625	-2.77	2.15	-1.577	0.88	-2.908	-4.004	-3.45	-3.003	1.507
"YGR145W"	-3.702	-3.7955	-3.4415	1.035	0.967	0.438	1.147	-4.245	-4.024	-2.214	-2.466	-3.496	-2.143	-1.897	-1.466	0.853	-1.199	1.634	-4.7725	-2.313	-4.009	-2.204	0.457
"YGR187C"	-1.6905	-2.126	-2.5625	0.826	0.756	0.932	1.023	-2.942	-3.678	-2.234	-2.079	-2.27	-1.613	-1.609	-1.84	1.047	-1.366	1.055	-2.453	-2.525	-3.256	-2.5	0.138
"YGR285C"	-1.0655	-1.012	-1.4285	1.014	0.764	1.704	1.618	-3.959	-6.1	-1.648	-1.332	-3.556	-2.259	-2.557	-2.811	1.749	-1.02	1.206	-1.1675	-2.948	-2.323	-2.554	0.134
"YHL001W"	-1.9015	-1.691	-2.597	1.305	1.311	1.893	0.773	-3.25	-3.589	-2.908	-2.867	-4.172	-1.958	-2.297	-2.248	1.471	-1.285	1.068	-2.539	-2.905	-3.157	-2.747	0.478
"YHR010W"	-2.0245	-3.406	-3.8525	1.491	1.068	1.923	0.405	-3.693	-4.514	-3.343	-3.288	-4.159	-2.399	-2.244	-2.541	2.096	-1.864	0.943	-3.0485	-3.363	-3.56	-2.961	-0.113
"YHR052W"	-3.5215	-4.3935	-3.9395	0.714	1.339	0.672	1.044	-4.199	-4.447	-2.565	-2.428	-3.435	-2.249	-2.245	-2.297	0.404	-0.916	1.748	-4.9395	-1.892	-3.47	-2.114	-0.07
"YHR066W"	-2.9815	-3.762	-3.552	1.163	1.097	0.494	1.488	-4.885	-5.203	-2.974	-2.008	-2.742	-1.611	-1.41	-1.569	0.559	-1.209	0.844	-4.347	-1.623	-2.382	-1.908	0.27
"YIL018W"	-2.2685	-3.509	-3.965	1.253	1.177	2.16	1.498	-4.365	-5.749	-3.362	-3.505	-3.907	-1.842	-2.218	-2.606	2.689	-1.545	0.649	-3.4165	-4.277	-4.06	-3.676	0.826
"YIL052C"	-1.989	-2.7275	-2.972	1.095	0.998	1.842	0.614	-3.856	-6.278	-2.82	-2.793	-4.174	-2.279	-2.271	-2.546	1.879	-1.484	0.88	-2.531	-3.32	-2.821	-2.677	1.12
"YIL078W"	-1.3535	-1.7065	-1.8365	0.897	0.771	1.358	1.346	-2.907	-6.059	-2.282	-2.288	-3.786	-1.821	-2.436	-3.226	1.692	-0.865	0.849	-1.6345	-3.116	-1.996	-2.548	0.351
"YJL033W"	-1.6645	-1.864	-1.49	0.526	0.697	0.437	1.604	-1.99	-3.95	-1.381	-0.978	-1.176	-1.469	-1.325	-1.176	0.898	-0.773	1.353	-2.3355	-2.721	-5.054	-2.188	0.802
"YJL125C"	-1.6395	-2.175	-1.945	0.945	0.853	1.0	1.231	-2.303	-4.009	-1.988	-1.388	-1.688	-1.254	-0.819	-0.974	0.782	-0.904	0.473	-1.7655	-1.15	-1.31	-1.121	0.403
"YJL177W"	-2.211	-3.2765	-3.7865	1.302	1.042	2.613	1.177	-4.132	-5.49	-3.409	-3.772	-5.074	-2.17	-2.525	-2.421	2.74	-1.663	1.029	-3.293	-4.72	-4.54	-4.115	0.656
"YJL188C"	-1.9795	-2.06	-2.5615	1.008	1.159	1.481	0.245	-2.525	-4.633	-2.24	-2.745	-3.453	-1.897	-1.885	-1.929	0.856	-0.971	0.858	-2.649	-2.879	-2.777	-2.447	-0.071
"YJR063W"	-2.576	-2.555	-2.2705	1.345	1.244	0.655	0.872	-3.233	-3.68	-1.586	-2.243	-2.236	-1.596	-1.698	-1.726	0.199	-0.514	1.436	-3.415	-1.51	-2.958	-2.455	0.16
"YKL006W"	-1.949	-3.315	-3.5445	0.961	1.354	2.36	0.818	-4.299	-5.113	-3.049	-3.027	-4.545	-2.315	-2.442	-2.791	1.986	-1.659	0.986	-3.02	-4.432	-4.756	-4.221	0.921
"YKL009W"	-3.253	-4.1895	-4.13	1.489	1.639	0.293	0.698	-5.997	-6.168	-3.144	-2.368	-4.341	-2.546	-2.432	-2.856	0.683	-1.509	1.597	-4.4285	-2.602	-4.823	-3.636	1.201
"YKL078W"	-2.3495	-3.592	-3.3985	1.1	1.374	0.9	-0.032	-5.829	-8.494	-2.736	-2.03	-2.695	-2.207	-2.394	-2.322	0.844	-1.223	1.278	-3.7245	-2.079	-3.291	-2.654	-0.048
"YKL181W"	-2.149	-2.822	-2.81	1.185	1.201	0.638	1.193	-3.28	-4.28	-2.604	-2.243	-1.405	-0.995	-1.301	-1.128	0.871	-1.264	1.7	-2.802	-2.367	-2.308	-2.024	0.344
"YKR057W"	-2.223	-2.604	-2.966	1.271	1.288	1.471	0.233	-3.036	-3.461	-2.779	-2.897	-4.013	-2.126	-2.625	-2.576	1.258	-1.34	1.107	-2.587	-3.811	-3.29	-2.638	0.953
"YKR059W"	-1.579	-1.475	-1.861	1.161	1.252	1.171	1.47	-2.144	-4.998	-2.593	-2.103	-2.018	-1.043	-1.844	-2.106	1.052	-0.538	1.013	-1.94	-2.448	-2.025	-1.849	0.533
"YKR081C"	-1.58	-3.81	-3.431	1.33	1.422	0.444	1.088	-4.081	-4.632	-3.278	-2.505	-3.734	-2.064	-2.119	-2.118	0.751	-1.37	1.661	-3.505	-3.386	-3.261	-2.433	0.659
"YLL045C"	-2.319	-3.116	-3.722	1.394	1.348	2.311	1.742	-3.851	-6.618	-3.169	-3.335	-3.66	-2.096	-2.604	-2.495	2.059	-1.813	1.273	-3.545	-3.449	-3.788	-3.87	0.865
"YLR009W"	-2.897	-4.204	-3.864	1.074	1.035	0.816	0.588	-4.675	-5.388	-2.737	-2.637	-3.455	-2.226	-1.984	-2.757	0.6	-1.218	1.343	-4.344	-2.229	-3.361	-1.953	0.6
"YLR060W"	-0.87	-1.031	-1.141	0.836	0.614	1.279	1.942	-3.165	-5.967	-2.093	-1.988	-2.773	-1.546	-2.397	-2.667	1.836	-0.965	0.851	-0.964	-2.734	-2.64	-2.996	0.536
"YLR063W"	-2.078	-2.111	-1.769	0.415	0.831	0.824	0.058	-4.309	-4.23	-1.564	-1.394	-1.711	-1.186	-1.498	-1.192	0.736	-0.336	0.092	-1.963	-0.787	-1.893	-1.598	0.487
"YLR129W"	-2.347	-3.676	-3.658	0.833	0.944	0.119	0.97	-4.83	-4.914	-3.12	-2.647	-3.861	-2.137	-1.99	-2.481	0.913	-1.033	1.167	-4.108	-3.422	-4.119	-2.843	0.292
"YLR150W"	-1.199	-1.767	-2.209	1.346	1.264	2.584	0.341	-2.804	-6.397	-2.284	-2.442	-3.403	-1.162	-1.388	-1.386	2.268	-0.582	0.704	-1.812	-3.064	-2.235	-2.285	1.31
"YLR186W"	-2.011	-2.976	-2.122	1.199	1.306	0.805	1.116	-4.787	-5.516	-3.036	-2.821	-2.372	-1.577	-2.069	-1.671	1.062	-0.967	1.718	-3.083	-3.381	-4.173	-2.896	0.622
"YLR344W"	NaN	NaN	NaN	1.172	0.989	1.468	0.49	-3.262	-4.414	-3.245	-2.655	-3.619	-1.879	-2.264	-1.964	1.956	-1.76	0.826	NaN	-3.46	-4.22	-3.608	0.527
"YLR435W"	-2.012	-2.917	-2.415	1.251	1.0	1.15	0.819	-4.216	-3.819	-1.506	-2.134	-2.605	-2.004	-1.983	-2.216	1.196	-1.062	0.616	-3.297	-2.298	-4.563	-2.595	0.492
"YLR448W"	-1.814	-2.821	-3.482	1.062	0.837	2.319	1.417	-4.815	-5.971	-3.425	-3.454	-4.891	-2.352	-2.521	-2.621	2.734	-1.955	0.931	-2.983	-4.85	-4.791	-4.505	0.646
"YML024W"	-2.347	-3.361	-3.373	0.485	0.906	1.536	0.42	-3.616	-4.621	-3.523	-3.666	-3.455	-2.442	-2.512	-2.583	1.891	-1.676	0.822	-3.024	-3.36	-2.891	-2.573	0.435
"YML082W"	-0.801	-1.21	-1.621	0.848	0.801	1.244	-0.288	-1.047	-4.007	-2.592	-1.922	-0.5	-0.156	-0.386	-0.181	0.57	-0.104	-0.186	-1.641	-2.276	-3.065	-1.125	0.463
"YMR142C"	-2.064	-3.395	-3.688	0.887	1.026	1.859	1.005	-3.579	-6.693	-3.048	-3.849	-4.4	-2.393	-2.974	-2.468	2.283	-1.658	1.051	-3.22	-4.355	-4.039	-3.538	0.432
"YMR194W"	-2.183	-2.569	-2.724	1.082	0.883	0.85	0.111	-3.75	-4.585	-2.862	-2.77	-3.355	-2.299	-2.256	-2.299	1.368	-1.33	-0.09	NaN	-3.084	-3.71	-3.315	0.435
"YMR230W"	-2.28	-2.593	-2.768	0.962	0.573	1.278	0.285	-3.465	-4.541	-2.924	-2.999	-3.21	-2.361	-2.361	-1.71	1.604	-1.82	-0.263	NaN	-3.054	-3.802	-3.223	0.652
"YMR239C"	-2.426	-2.921	-2.351	1.348	0.907	0.191	0.9	-4.414	-3.323	-2.372	-1.709	-3.095	-1.885	-1.474	-1.516	0.655	-1.526	0.887	-3.237	-3.048	-4.048	-2.804	0.39
"YMR310C"	-2.264	-2.522	-1.974	1.112	1.304	0.96	0.742	-2.999	-3.842	-2.25	-1.986	-1.6	-1.055	-1.284	-0.779	0.642	-0.17	0.781	-2.882	-1.539	-3.588	-1.433	0.137
"YNL062C"	-2.143	-3.093	-2.844	1.074	0.899	-0.373	0.57	-4.157	-6.263	-2.304	-2.254	-2.028	-1.559	-1.91	-1.803	0.269	-0.524	0.991	-2.71	-2.698	-2.838	-2.509	0.422
"YNL067W"	-2.563	-3.335	-3.738	1.17	1.166	2.571	1.446	-4.019	-5.731	-2.866	-3.241	-4.131	-1.968	-2.506	-2.759	2.578	-1.793	0.834	-3.16	-2.698	-3.107	-2.534	1.503
"YNL069C"	-1.954	-2.865	-3.347	1.134	0.991	1.983	0.977	-3.663	-4.824	-3.44	-3.85	-4.269	-1.921	-2.199	-2.466	2.414	-1.428	0.85	-2.91	-3.601	-3.741	-3.469	0.819
"YNL096C"	-1.957	-2.881	-3.202	1.017	0.749	2.487	1.383	-4.113	-6.106	-3.331	-3.045	-4.716	-2.906	-2.776	-3.041	2.416	-1.928	1.315	-2.812	-3.52	-3.087	-3.372	0.905
"YNL110C"	-3.768	-4.56	-4.991	1.332	1.1	0.143	0.817	-5.108	-3.296	-2.565	-1.986	-4.151	-2.141	-1.741	-2.144	0.351	-1.933	1.09	-5.064	-3.18	-4.747	-2.546	0.354
"YNL113W"	-2.322	-2.536	-2.502	1.188	0.831	-0.067	0.396	-5.347	-7.034	-3.971	-2.612	-3.24	-1.962	-1.673	-1.782	0.125	-0.967	1.074	-3.986	-2.809	-4.226	-2.606	0.466
"YNL114C"	-2.468	-3.33	-3.663	1.0	0.814	0.202	0.237	-5.245	-6.572	-2.827	-2.978	-3.032	-1.739	-1.645	-2.221	0.171	-1.329	1.12	-2.799	-2.905	-4.14	-2.842	0.178
"YNL119W"	-2.092	-2.438	-3.435	1.189	1.033	1.834	1.229	-6.697	-6.231	-3.359	-3.366	-3.55	-1.753	-1.955	-2.206	2.478	-1.602	0.798	-2.524	-3.587	-4.042	-2.748	1.115
"YNL175C"	-4.11	-4.362	-3.931	1.14	1.152	1.132	1.113	-4.877	-6.011	-2.575	-2.601	-4.587	-2.405	-2.804	-2.484	1.293	-1.726	1.678	-5.147	-0.8535	-2.5475	-1.882	-0.0635
"YNR021W"	-0.796	-1.0135	-0.977	-0.022	-0.2395	-0.0925	0.3585	-0.563333333333333	-4.4025	-0.564666666666667	-0.829333333333333	-0.443	-0.414	-0.9065	-0.774	0.7645	-0.332	0.4495	-0.597	-1.77	-1.488	-1.417	0.659
"YOL077C"	-4.336	-5.22	-4.28	1.476	1.273	0.472	0.979	-5.186	-6.552	-4.174	-0.219	-3.705	-2.565	-2.549	-3.046	1.091	-2.412	0.978	-4.7	-2.855	-5.145	-2.894	-0.03
"YOR234C"	-1.574	-2.03	-2.616	1.227	1.076	1.488	0.548	-4.006	-4.019	-2.7115	-2.657	-3.657	-1.912	-1.717	-1.324	1.926	-1.704	1.056	-1.745	-3.604	-4.032	-3.302	0.689
"YOR260W"	-0.79	-1.147	-1.554	0.805	0.712	0.925	1.47	-2.6835	-4.639	-2.1155	-1.8705	-1.898	-1.26	-1.513	-1.624	1.106	0.372	0.326	-1.421	-2.096	-2.099	-1.944	0.237
"YOR293W"	-2.205	-3.618	-3.854	1.033	0.782	1.855	0.646	-4.155	-4.496	-3.442	-3.1085	-4.233	-2.537	-2.533	-2.507	1.931	-1.714	0.682	-3.151	-3.53	-3.853	-3.23	0.089
"YOR309C"	-3.697	-5.523	-5.514	0.423	0.3	0.981	0.558	-6.798	-6.859	-3.709	-3.9105	-5.839	-3.084	-3.704	-4.353	1.413	-2.169	1.648	-4.939	-2.543	-4.097	-3.518	0.334
"YOR310C"	-3.309	-4.639	-3.004	1.211	1.223	0.78	1.075	-6.006	-7.1385	-3.766	-3.585	-5.777	-2.773	-3.838	-4.105	1.233	-1.862	1.702	-4.948	-4.564	-5.14	-4.292	0.885
"YPL068C"	-0.897	-1.35	-1.447	0.737	0.518	0.337	-0.177	-2.2615	-2.7665	-1.6175	-1.406	-2.515	-1.564	-1.617	-1.192	0.246	-0.44	0.932	-1.924	-1.973	-2.503	-1.918	-0.029
"YPL090C"	-2.497	-3.529	-3.965	0.955	0.871	1.925	1.044	-3.9615	-6.197	-3.398	-3.223	-5.307	-2.412	-2.833	-2.954	2.457	-0.905	0.958	-3.272	-4.244	-4.101	-3.571	0.416
"YPL142C"	-2.625	-2.913	-3.225	1.023	1.2695	1.8475	0.8765	-3.1395	-5.604	-2.825	-3.3035	-4.155	-2.082	-2.303	-2.376	1.267	-1.324	1.079	-3.034	-3.763	-3.677	-3.278	0.937
"YPL198W"	-2.023	-3.084	-3.342	1.284	0.94	2.2845	1.2355	-4.269	-6.879	-3.4825	-3.3185	-3.875	-2.024	-2.227	-2.449	2.698	-2.11	1.033	-2.581	-4.2325	-3.4955	-4.5575	1.1855
"YPL211W"	-2.921	-1.832	-2.713	1.059	0.954	0.603	1.0735	-5.5605	-5.029	-3.216	-3.3805	-4.129	-2.485	-2.918	NaN	1.049	-1.866	1.826	-2.166	-2.333	-3.981	-2.743	0.495
"YPR102C"	-2.206	-3.37	-4.232	1.367	1.2	2.3265	0.827	-3.521	-6.451	-3.5055	-4.118	-4.644	-2.495	-2.723	-3.232	2.333	-1.928	0.923	-3.007	-3.927	-4.015	-3.517	0.961
"YPR110C"	-2.507	-3.52	-3.728	0.96	1.068	1.3475	1.2295	-5.7185	-6.318	-3.01	-3.296	-3.88	-2.186	-2.175	-2.703	1.631	-1.496	1.389	-3.168	-2.851	-3.882	-3.113	0.561
"YPR143W"	-2.433	-3.115	-2.963	0.954	0.8905	-0.0615	0.4345	-1.922	-3.332	-2.0935	-1.4905	-2.489	-1.527	-1.2	-1.025	0.371	-0.933	1.26	-3.674	-2.449	-3.13	-1.987	0.188
