	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21666..24 mM H2O2- 055 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38149.03II01 batch p5"	"38154.03II01 batch p10"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"
"YDL145C"	0.1625	-0.4605	-0.5595	-0.809	0.197	-0.844	-1.107	-1.055	-0.538	-0.699	-0.983	-0.273	-1.274	-2.9335	0.156	0.4335	-0.0685	-0.908	-0.173	-0.176	0.6705	0.0745	-0.219	-0.348	0.0645	-0.096	0.4265	-0.056	-0.8745	-0.48	-0.659	-0.7075	-1.115	-1.5045	-1.4735	-0.208	-0.1595	-0.46	-0.524	-0.2975	-0.3	-0.384	-0.453	-0.5775	-0.6985	-0.114	0.1225	-0.2545	-0.174	-1.013	-0.894	-0.142	0.044	-1.01	-0.427	-0.501	0.319	-0.672	-1.5775	-1.4745
"YDL201W"	-2.68	-2.05	-1.932	-2.515	-1.652	-2.05	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-4.94	-1.858	-2.19	-2.29	-2.112	-0.767	-0.381	-0.707	0.061	-0.534	-0.211	-0.419	-0.972	-1.0	-0.804	-2.178	-1.317	-1.176	-1.363	-1.295	-1.218	-1.732	-0.226	-1.195	-2.398	-1.643	-0.969	-1.649	-0.808	-0.926	-1.551	-0.893	-1.876	-0.723	-1.077	-2.621	-2.098	-1.705	-1.428	-2.492	-1.838	-1.138	-1.346	0.596	-0.84	-1.33	-1.337
"YDR025W"	-1.598	-2.141	-2.0	-3.031	-3.248	-1.334	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-2.477	-1.997	-3.357	-3.356	0.205	0.09	-0.225	-0.137	-0.269	-0.186	-0.145	-1.137	-0.747	-0.7	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.174	-1.529	-3.042	-1.118	-0.788	-0.73	-0.5535	-0.2395	-1.0405	-0.4725	-0.866	-0.412	-1.189	-2.278	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.368	0.26	-1.535	-1.7015	-0.7175
"YDR238C"	0.295	0.408	-0.1575	-0.3915	-0.474	-0.569	-0.3605	-0.4125	-0.1105	-0.5865	-0.514	-0.782	-0.969	-1.3285	0.159	-0.225	-0.334	-0.284	0.2185	0.119	0.5205	-0.118	-0.119	-0.098	0.013	0.541	0.114	0.182	-0.8545	-0.722	-0.9285	-0.804	-0.7885	-0.344	-0.5625	-0.185	0.039	-0.8895	-0.505	-0.406	-0.695333333333333	-0.269333333333333	-0.177666666666667	-0.592333333333333	-0.226333333333333	-0.510666666666667	-0.209	-0.383	0.385	-1.0255	-1.375	-0.9705	-0.4055	-0.785	-0.891	-1.232	0.9835	0.2115	-1.17033333333333	-1.34166666666667
"YDR321W"	-1.45	-2.499	-2.037	-2.545	-2.484	-2.019	-3.554	-2.231	-2.695	0.364	-2.84	-3.04	-3.093	-4.43	-2.157	-1.946	-3.362	-3.039	-0.094	-0.018	-0.26	0.609	-0.514	0.075	-0.098	-0.332	-1.247	-1.044	-2.857	-2.273	-2.389	-2.828	-2.704	-2.582	-2.75	-0.142	-1.728	-2.221	-1.634	-1.867	-2.097	-1.874	-1.074	-1.914	-1.898	-1.529	-1.42	-1.368	-2.479	-2.082	-2.119	-1.153	-3.214	-2.261	-1.861	-1.571	-1.017	-2.007	-3.009	-4.335
"YEL054C"	-2.122	-2.095	-2.314	-1.907	-3.528	-1.498	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-2.484	-1.881	-3.039	-3.52	-0.37	-0.606	-0.57	-0.805	-0.425	-0.288	-0.597	-1.373	-1.381	-0.807	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	-0.311	-2.279	-3.251	-0.9345	-0.411	-0.6585	-0.198	0.2205	-0.75	-0.043	-1.0525	-0.2605	-1.806	-2.101	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	-2.724	0.425	-1.931	-1.5205	-1.1015
"YER126C"	-3.132	-2.634	-3.488	-4.626	-4.459	-1.585	-4.455	-2.713	-2.384	-1.898	-1.167	-2.335	-2.608	-5.367	-2.806	-1.149	-2.355	-2.036	0.093	0.124	0.336	0.669	0.066	0.781	0.403	-0.454	-0.278	-0.301	-2.303	-1.4	-1.206	-1.723	-1.575	-2.584	-2.842	0.266	-1.185	-5.253	-2.2045	-0.913	-2.315	-1.2935	-1.789	-2.484	-0.0785	-1.4275	0.186	-1.8335	-5.806	-2.489	-2.31	-0.265	-3.761	-2.961	-2.173	-2.794	0.368	-2.346	-2.284	-3.4505
"YER131W"	-1.816	-1.733	-2.354	-3.171	-3.29	-1.213	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.634	-1.063	-2.621	-2.795	0.799	0.674	0.948	0.801	0.293	0.629	0.444	-1.261	-0.638	-0.428	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.54	-0.304	-3.097	-0.911	-0.731	-0.6765	-0.457	0.037	-1.076	-0.5245	-0.8975	-0.7575	-0.472	-2.338	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.072	0.347	-1.525	-1.0635	-0.8955
"YGL076C"	-1.995	-2.09	-1.99	-2.744	-3.119	-1.714	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-2.396	-1.913	-3.32	-2.996	-0.06	-0.089	-0.107	-0.392	-0.246	-0.069	-0.172	-0.913	-1.352	-1.114	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.261	-1.62	-2.656	-1.6305	-0.8405	-1.2155	-0.689	0.0545	-1.4615	-0.048	-1.469	-0.5705	-1.3025	-2.625	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-1.82	-1.174	-1.751	-1.4705	-0.909
"YGL171W"	-4.302	-4.243	-2.091	-3.818	-3.208	-2.421	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-2.903	-4.649	-3.098	-1.506	-2.759	-2.384	-0.905	-0.603	-1.342	-0.253	-0.721	-0.415	-0.719	-2.326	-2.339	-0.71	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	-0.365	-1.585	-3.658	-3.155	-1.931	-2.678	-1.956	-1.532	-2.445	-0.617	-2.812	-1.237	-1.628	-3.355	-2.646	-2.402	-1.977	-3.848	-2.304	-1.754	-2.165	0.053	-1.616	-2.777	-2.687
"YGR085C"	-2.061	-1.952	-2.023	-2.966	-3.664	-0.951	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-2.19	-1.594	-3.071	-3.255	-0.365	-0.169	NaN	NaN	-0.301	-0.165	-0.357	-1.609	-1.3	-0.957	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	-0.319	-1.073	-2.908	-1.011	-0.55	-0.878	-0.041	0.163	-0.919	-0.281	-0.89	-0.76	-1.047	-2.338	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.674	0.189	-1.448	-1.698	-1.091
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-1.438	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.958	-1.859	-2.878	-2.97	-0.044	-0.451	-0.221	-0.354	-0.07	-0.203	-0.286	-1.253	-0.82	-0.596	-2.118	-1.549	-1.989	-1.536	-1.42	-2.413	-2.243	-0.283	-1.872	-4.594	-1.682	-1.392	-1.8045	-0.917	-1.044	-1.537	-0.6955	-1.606	-0.9865	-1.2655	-2.795	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-2.106	0.687	-1.701	-1.7395	-2.0045
"YGR162W"	-2.26833333333333	-2.57833333333333	-1.89433333333333	-2.97266666666667	-3.149	-1.63366666666667	-2.589	-1.995	-1.9595	-1.542	-1.3075	-1.532	-0.459	-3.2845	-1.063	-0.7695	-1.906	-1.361	0.175	-0.6345	-1.389	-0.6865	-0.7225	-0.618	-0.6455	-1.417	-0.5415	-0.925	-1.6895	-1.425	-1.1185	-1.5615	-1.4775	-1.614	-1.8905	-0.5395	-0.9445	-2.80166666666667	-1.701	-1.028	-1.78933333333333	-1.371	-1.153	-1.727	-0.907333333333333	-1.57066666666667	-0.566666666666667	-1.216	-2.32	-2.517	-2.308	-1.199	-2.225	-1.741	-1.388	-1.661	1.168	-1.356	-1.90833333333333	-1.96133333333333
"YHL039W"	-1.61	-1.80466666666667	-1.67766666666667	-1.884	-1.65033333333333	-1.502	-1.821	-0.65	-0.617	-0.4815	-0.6035	-0.4745	-0.9825	-3.2375	-1.4785	-1.3305	-1.8015	-1.4405	-0.272	-0.3905	-0.1465	-0.0175	-0.337	-0.265	-0.502	-0.0915	-0.71	-0.643	-1.0075	-0.958	-0.9225	-0.9205	-0.631	-0.851	-1.0325	-0.231	-1.664	-1.70533333333333	-1.281	-0.923	-1.147	-1.049	-0.832	-0.834	-0.509	-1.2835	-0.4045	-1.655	-1.55	-2.285	-1.315	-0.92	-2.317	-2.47	-1.735	-1.231	0.444	-1.084	-1.2905	-1.608
"YHR020W"	-2.592	-3.22	-2.5795	-3.3085	-3.731	-0.9435	-4.019	-2.214	-3.114	-3.057	-2.887	-2.709	-2.69	-4.045	-2.469	-1.481	-2.898	-3.053	-0.217	-0.415	-0.588	-0.59	-0.404	-0.262	-0.577	-0.523	-0.896	-0.369	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	-0.141	-1.068	-3.5805	-1.569	-0.886	-1.779	-0.367	-0.708	-2.96	-0.496	-0.954	-0.539	-1.358	-3.021	-3.043	-2.822	-1.496	-3.861	-2.387	-2.242	-1.335	0.103	-1.926	-1.903	-2.306
"YHR128W"	-1.5185	-1.9425	-1.832	-1.894	-2.9375	-1.559	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-1.496	-2.386	-3.351	-3.988	-0.227	-0.131	-0.662	0.155	-0.521	-0.501	-0.335	-0.872	-0.939	-1.056	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	-0.535	-0.954	-2.3865	-1.385	-1.335	-1.667	-1.155	-0.762	-1.183	-0.754	-1.345	-0.499	-2.079	-1.019	-1.933	-2.393	-0.956	-2.552	-2.571	-1.612	-1.536	0.172	-1.515	-2.644	-2.222
"YHR216W"	-1.6175	-1.8525	-1.571	-1.9425	-2.8755	-0.82	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-1.841	-1.085	-1.762	-2.914	-0.2375	-0.247	0.1995	-0.6415	-0.398	-0.1705	-0.302	-1.2845	-1.119	-0.416	-2.554	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	-0.269	-1.733	-2.9045	-0.974	-0.942	-0.946	-0.422	0.01	-0.989	-0.905	-0.718	-0.423	-1.162	-2.155	-2.109	-3.074	-2.509	-3.001	-2.823	-2.765	-2.039	0.038	-1.808	-1.515	-1.599
"YIL133C"	-2.0235	-2.6465	-2.027	-3.384	-3.811	-1.7035	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-2.693	-5.79	-2.633	-1.773	-2.93	-2.571	0.057	0.0665	-0.4635	0.378	0.0365	0.131	0.0165	-0.851	-0.974	-0.169	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.136	-1.846	-3.3115	-1.065	-0.45	-1.102	-0.342	-0.084	-1.266	-0.255	-0.782	-0.302	-1.892	-2.292	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-2.359	0.172	-1.899	-2.513	-2.553
"YIL140W"	-0.8645	-0.9835	0.6585	-0.4865	-0.5745	-1.348	-1.264	-0.261	0.397	0.372	-0.686	-0.178	-1.245	-2.468	-0.629	-1.722	-0.335	-1.046	-0.1835	-0.2245	0.5745	0.6765	-0.3675	0.1475	0.1095	-0.0645	0.2375	-0.031	-1.931	-0.553	-1.355	-1.42	-1.144	-1.524	-1.527	0.115	-0.825	-0.7385	-0.896	-1.008	-1.136	-0.63	-0.667	-1.441	-0.645	-0.529	-0.253	-1.683	-0.279	-2.042	-1.753	-1.369	-1.264	-1.0	-0.963	-0.591	0.894	0.099	NaN	-2.22
"YJL148W"	-2.7525	-2.695	-2.0075	-3.2015	-2.403	-1.9615	-3.572	-2.334	-2.266	-1.974	-2.226	-1.709	-2.742	-4.104	-1.997	-2.202	-3.006	-1.938	-0.796	-0.911	-0.798	-0.288	-0.374	-0.491	-0.829	-2.135	-2.035	-1.119	-3.662	-2.646	-2.572	-2.639	-2.998	-3.352	-3.666	-0.199	-1.931	-2.967	-2.864	-1.682	-2.863	-1.367	-1.423	-2.807	-0.879	-2.596	-0.39	-2.627	-3.84	-3.568	-2.484	-1.774	-3.944	-2.823	-2.113	-2.008	-0.176	-2.044	-3.023	-4.436
"YJL177W"	-2.0	-2.4035	-2.211	-3.2765	-3.7865	-1.46	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-1.729	-3.409	-3.772	-0.116	0.124	-0.337	0.318	-0.05	-0.075	0.003	-0.92	-1.528	-0.441	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.051	-1.477	-3.293	-0.944	-0.595	-0.815	-0.86	-0.876	-1.196	-0.32	-0.561	-0.281	-1.198	-2.626	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	-3.163	0.205	-1.743	-1.95	-1.926
"YJR016C"	-1.302	-2.475	-2.3685	-2.9935	-2.914	-0.6985	-4.202	-1.993	-1.491	-1.274	-1.146	-1.028	-2.006	-5.079	0.497	-2.462	-3.415	-2.439	0.728	-0.354	-0.525	-0.6	-0.526	-0.346	-0.61	-0.424	-0.546	-1.031	-0.856	-0.305	-0.554	-0.998	-0.939	-1.747	-2.976	-0.504	-0.067	-2.552	-2.155	-2.044	-1.991	-2.366	-0.557	-1.716	-2.403	-1.074	-1.256	-1.149	-2.613	-2.8	-1.964	-0.994	-2.779	-2.158	-1.538	-2.644	0.814	-1.645	-3.454	-3.04
"YKL101W"	-0.677	-1.09	-0.527	-0.954	-1.107	-0.598	-0.56	-0.954	-0.345	-1.226	-0.139	-0.714	-0.847	-2.513	-1.312	-1.243	-1.447	-0.199	0.036	-0.361	0.765	0.126	-0.859	-0.334	0.077	0.715	0.744	0.471	-1.415	-0.794	-0.864	-1.225	-1.47	-1.504	-0.985	-0.22	-0.273	-1.252	-0.58	-0.524	-0.265	-0.876	-0.75	-1.289	-0.287	-0.887	-0.668	-1.556	-0.553	-1.486	-1.372	-1.551	-2.297	-1.588	-0.665	-0.232	0.212	-0.16	-0.044	-1.512
"YKL106W"	-0.732	-0.383	-0.33	-0.15	0.0	-0.807	-2.484	-2.189	-1.958	-1.362	-1.69	-1.141	-1.54	-2.165	-0.232	-1.389	-0.907	-1.281	0.065	0.178	NaN	0.941	0.213	-0.034	0.316	1.826	NaN	-0.024	-2.013	-1.308	-1.397	-1.451	-1.347	-0.479	-0.943	0.235	-0.42	-0.31	-0.793	-0.596	-0.711	-0.364	-0.263	-1.026	-1.041	-0.777	NaN	-1.381	-0.247	-2.449	-1.913	-1.869	-2.792	-2.422	-1.611	-0.01	0.226	-1.227	0.014	-1.709
"YKL180W"	-1.731	-1.947	-2.16	-2.81	-3.531	-1.337	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-1.48	-2.625	-3.204	0.522	0.49	0.662	0.517	0.332	0.64	0.36	-0.702	-0.646	-0.404	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.539	-1.285	-3.37	-1.161	-0.762	-0.352	-0.561	0.322	-0.687	-0.511	-1.153	-0.598	-0.884	-1.891	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.517	0.172	-1.363	-1.168	-1.15
"YLL045C"	-1.746	-2.105	-2.319	-3.116	-3.722	-1.434	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-1.489	-3.169	-3.335	-0.395	-0.731	-0.704	-0.641	-0.364	-0.404	-0.501	-1.049	-1.026	-0.594	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.451	-1.497	-3.545	-0.458	-0.319	-0.589	-0.259	0.47	-0.696	0.205	-0.288	-0.105	-0.956	-2.751	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.324	0.495	-2.09	-1.421	-1.64
"YLR020C"	-0.694	-0.503	-0.603	-0.377	-0.626	-0.7	-1.407	-0.895	-0.589	-0.692	-0.962	-0.385	-1.106	-2.701	-0.477	-1.11	-1.178	-1.232	-0.148	0.097	0.605	0.271	-0.005	0.371	0.219	-0.322	-0.451	-0.112	-1.822	-1.016	-1.134	-0.832	-1.019	-1.266	-1.711	0.002	-0.15	-0.614	-0.243	-0.033	-0.081	-0.177	-0.265	-0.554	0.038	-0.572	-0.201	-0.746	-0.761	-1.39	-1.285	-0.922	-1.124	-1.67	-1.102	0.081	0.166	-0.414	-0.542	-0.262
