	"53.Elutriation2:Sample2:Time2.0hrs"	"95.cdc15 230 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13066.Na/Na+FK 30min (2)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21662..24 mM H2O2- 230 minutes"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YDL050C"	0.447	0.75	-2.278	-1.486	-1.047	-2.322	-2.45	-2.283	-0.821	-1.125	-1.086	0.346	-1.515	-0.925	-1.678	-1.311	-1.298	-0.721	-2.937	-1.633	-1.12	-1.885	-1.637	-2.056	-0.581	-0.915	-0.685	-1.727	0.123	-0.196	-0.324	-0.266	-0.537	0.437	-1.328	-1.166	-2.875	0.706	1.027	0.334	0.498	-0.054	0.118	0.165	-0.506	-0.254	-0.06	0.8	0.661	0.315	-0.099	-2.137	-1.852	-1.796	-2.652	-1.983	-0.055	-0.132	-3.019	-2.086	-1.23	-1.106
"YDL063C"	0.662	-0.479	-3.209	-2.218	-3.024	-2.945	-2.864	-2.304	-0.598	-2.329	-1.93	-2.141	-2.352	-2.046	0.085	-2.723	-3.169	-2.319	-3.701	-2.057	-1.508	-0.719	-0.923	-2.168	-1.871	-1.236	-1.876	-1.229	-0.15	-1.224	-0.211	-0.679	-1.359	1.163	-2.177	-1.124	-3.467	0.441	0.818	0.296	0.141	-0.627	-0.912	-0.274	-0.462	-0.628	1.064	0.412	0.455	-0.501	0.013	-3.005	-2.816	-2.525	-2.274	-2.579	0.187	-0.21	-3.127	-2.796	-1.54	-3.125
"YDL167C"	0.582	0.006	-2.982	-2.607	-3.3	-1.628	-2.786	-2.868	-0.786	-1.805	-2.111	-0.746	-2.074	-1.328	-4.321	-2.565	-2.731	-2.613	-4.001	-2.936	-2.513	-3.298	-2.094	-3.084	-1.901	-1.572	-2.172	-2.332	0.105	-0.99	-1.07	-1.261	-0.892	0.713	-2.067	-1.77	-2.283	0.444	0.464	-0.18	-0.04	-0.699	-0.959	0.297	-0.321	-0.652	-0.234	0.622	0.033	0.162	-0.607	-2.303	NaN	-2.882	-2.389	-1.423	-0.35	-0.466	-3.364	-2.649	-1.339	-2.154
"YDR087C"	0.692	NaN	-3.126	-4.331	-4.143	-2.758	-3.643	-3.468	-1.429	-1.475	-1.886	-1.366	-2.337	-1.028	-4.139	-2.976	-2.337	-1.909	-4.944	-2.758	-1.846	-2.528	-2.208	-1.886	-1.819	-1.373	-2.022	-3.407	0.311	-0.873	-1.394	-1.59	-1.122	0.588	-0.366	-0.431	-4.13	0.57	0.766	0.413	0.915	-0.029	0.193	0.39	0.196	-0.149	0.058	0.412	0.674	0.174	0.364	-3.928	-2.942	-2.55	-2.338	-2.16	0.303	0.057	-3.396	-3.436	-2.083	-1.278
"YDR165W"	0.471	0.417	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-1.473	-1.491	-1.9	-0.962	-1.752	-1.294	-4.096	-2.538	-2.179	-2.247	-5.309	-2.69	-1.82	-3.015	-2.243	-3.057	-1.816	-1.396	-1.582	-2.409	-0.044	-0.479	-1.071	-1.185	-1.573	-0.442	-1.555	-1.047	-2.787	0.205	0.442	0.1675	0.225	-0.2655	-0.313	0.2725	0.0635	0.1635	0.157	-0.057	0.208	0.174	0.096	-3.068	-1.809	-3.533	-2.479	-2.722	-0.175	0.132	-3.205	-2.632	-2.085	-2.22
"YDR172W"	0.589	0.758	-1.011	-1.382	-0.632	-1.349	-1.281	-1.706	-1.696	-0.842	-0.991	-0.083	-0.8	-0.516	-0.363	-0.602	-0.335	-0.443	-3.408	-0.566	-1.085	-0.732	-1.005	-1.845	-0.704	-0.895	-0.752	-2.21	0.031	-0.338	-0.234	-0.534	-0.167	0.25	-0.418	0.186	-2.106	-0.193	-0.242	-0.0925	-0.07	-0.2745	-0.2485	0.21	0.0655	-0.234	-0.162	-0.2415	0.1085	-0.0165	0.359	-1.517	-1.004	-1.435	-0.933	-1.06	0.676	0.124	-0.245	-0.884	-0.72	-0.426
"YDR398W"	0.879	-0.053	-5.035	-4.725	-4.358	-3.115	-4.082	-3.388	-1.603	-2.038	-3.183	-1.274	-1.783	-1.42	-4.143	-2.42	-2.114	-1.993	NaN	-2.012	-2.064	-3.069	-2.517	-2.112	-1.881	-1.798	-1.896	-1.949	0.385	-1.099	-1.37	-1.055	-1.749	0.755	-1.512	-1.347	-4.269	0.467	0.467	-0.119	-0.091	-0.518	-0.889	0.846	-0.29	-0.837	-0.478	0.1	-0.063	-0.983	-0.162	-4.76	-2.67	-1.871	-1.745	-2.397	0.335	0.021	-3.061	-1.999	-1.457	-1.48
"YDR412W"	0.474	1.041	-2.735	-2.222	-2.09	-1.984	-2.552	-2.649	-1.197	-1.422	-1.199	-0.316	-1.332	-1.061	-2.38	-1.406	-1.391	-0.997	-3.774	-1.447	-1.678	-2.216	-1.595	-2.732	-1.576	-1.601	-1.419	-1.959	-0.007	-0.567	-0.925	-1.039	-1.232	0.476	-0.951	-0.836	-2.914	0.48	0.643	0.168	0.217	-0.625	-0.672	-0.427	-0.055	-0.169	-0.151	-0.252	0.009	0.307	0.455	-2.5	-2.181	-1.995	-1.814	-1.32	0.487	0.248	-2.305	-1.963	-0.516	-0.814
"YDR413C"	0.429	0.266	-2.496	-2.582	-2.392	-1.803	-2.779	-2.502	-1.046	-1.295	-1.652	-1.16	-1.55	-1.258	-2.622	-2.121	-1.802	-1.452	-2.057	-1.357	-1.696	-1.399	-1.215	-2.337	-1.725	-1.311	-1.594	-1.349	0.208	-0.764	-0.972	-1.22	-1.288	0.471	-1.056	-0.601	-2.652	0.481	0.837	0.282	0.188	-0.544	-0.508	0.315	0.138	0.327	-0.343	0.411	0.319	-0.363	-0.071	-2.964	-1.766	-1.818	-1.835	-1.046	0.08	0.278	-2.336	-1.502	-1.256	-0.68
"YER117W"	1.065	1.236	-1.836	-1.667	-1.868	-2.379	-2.386	-3.056	-1.455	-0.947	-1.02	-0.6	-1.022	-1.13	-2.982	-2.613	-2.377	-1.817	-5.642	-2.458	-1.947	-3.05	-3.141	-3.768	-1.917	-2.534	-2.571	-2.562	0.308	0.416	-1.189	-0.888	-1.505	0.479	-2.734	-2.116	-3.314	0.9375	0.988	0.4475	0.465	0.277	0.3275	0.2235	0.2655	0.141	0.2935	0.5425	0.6015	-0.203	-0.3375	-2.377	-1.067	-1.674	-3.319	-2.632	-0.019	0.069	-3.238	-3.345	-2.147	-1.911
"YGL004C"	-0.546	0.465	1.227	1.247	1.144	0.383	1.541	1.112	0.165	0.496	0.824	0.506	0.351	0.565	1.518	0.939	1.162	1.096	-1.696	0.279	1.067	0.984	1.033	1.0	0.619	0.585	0.647	-0.761	0.239	0.247	0.358	0.694	0.875	0.166	0.973	0.713	0.738	-0.103	-0.132	-0.094	-0.109	-0.068	-0.202	-0.054	0.125	0.017	0.144	-0.338	-0.393	-0.425	-0.5225	1.019	1.513	1.322	1.214	1.358	-0.006	0.041	1.658	1.413	1.039	1.019
"YGL120C"	1.066	-0.397	-3.316	-3.34	-3.231	-3.301	-3.954	-3.877	-1.088	-1.903	-1.855	-1.357	-1.851	-1.325	-4.557	-3.087	-2.692	-1.947	-5.111	-3.085	-2.298	-3.171	-3.229	-3.459	-2.023	-2.178	-1.783	-3.888	0.0	-0.644	-1.38	-1.53	-1.892	0.664	-2.335	-2.071	-3.8	0.504	0.035	0.22	0.251	-0.521	-0.724	0.108	-0.243	-0.163	-0.312	0.016	0.129	0.046	0.39	-3.466	-2.416	-2.286	-2.891	-3.416	0.424	0.325	-3.546	-0.554	-2.329	-2.525
"YGR034W"	0.507	0.291	-2.251	-2.125	-2.191	-2.26	-3.059	-2.884	-0.47	-1.245	-1.764	-1.034	-1.131	-1.2	-3.922	-3.172	-3.096	-2.637	-6.281	-2.746	-2.052	-3.268	-2.935	-3.635	-2.067	-2.022	-2.01	-1.401	0.049	0.111	-1.672	-2.02	-2.439	0.097	-2.891	-2.06	-2.708	0.347	0.656	0.27	0.116	0.246	0.133	0.435	0.135	-0.046	0.145	0.541	0.619	-0.553	-0.1485	-2.451	-0.862	-2.186	-2.986	-3.003	0.226	0.519	-4.347	-3.643	-2.741	-2.487
"YGR123C"	0.268	-0.4	-3.5875	-2.638	-3.2965	-3.0495	-4.1895	-3.748	-0.971	-1.438	-2.491	-1.145	-1.517	-1.265	-4.447	-2.7	-2.234	-2.041	-4.328	-2.958	-1.859	-2.878	-2.97	-2.118	-1.549	-1.989	-1.536	-2.413	-0.141	-0.23	-0.632	-0.436	-0.801	0.631	-1.383	-0.628	-4.594	0.279	0.097	-0.0605	-0.1675	-0.4885	-0.577	-0.2105	-0.3065	-0.195	-0.098	0.1655	0.1835	-0.356	0.531	-2.795	-1.547	-2.966	-2.403	-3.664	0.257	-0.277	-3.836	-3.389	-2.052	-2.106
"YHR020W"	0.622	1.189	-2.592	-2.9105	-3.22	-2.5795	-3.3085	-3.731	-1.163	-0.9435	-2.062	-1.62	-2.358	-1.797	-4.019	-2.214	-3.114	-3.057	-4.045	-2.469	-1.481	-2.898	-3.053	-2.195	-1.642	-1.649	-1.837	-2.26	-0.16	-0.12	-1.081	-2.108	-0.879	0.236	-2.133	-1.144	-3.5805	0.576	0.204	0.137	0.093	-0.294	-0.36	0.312	-0.333	-0.176	-0.343	-0.21	-0.164	-1.066	-0.782	-3.021	-1.53	-2.574	-3.043	-2.822	0.469	0.269	-3.861	-2.387	-2.242	-1.335
"YIL018W"	0.947	-0.258	1.619	-2.245	-2.4325	-2.2685	-3.509	-3.965	-2.298	-1.079	-1.381	-1.189	-1.216	-1.193	-4.365	-3.03	-2.782	-2.724	-5.749	-2.754	-0.848	-3.362	-3.505	-3.907	-1.842	-2.218	-2.606	-3.27	-0.233	0.156	-1.545	-1.871	-2.173	0.349	-3.591	-2.548	-3.4165	0.579	0.718	0.22	0.186	0.293	0.186	-0.014	0.373	0.321	0.384	0.669	0.695	-0.245	-0.149	-2.641	-1.895	-1.899	-4.277	-3.397	-0.208	0.051	-4.06	-3.676	-2.806	-2.821
"YIL133C"	0.739	0.031	-2.0235	-2.2305	-2.6465	-2.027	-3.384	-3.811	-2.15	-1.7035	-1.505	-1.053	-1.418	-1.185	-3.333	-3.196	-3.135	-2.331	-5.79	-2.633	-1.773	-2.93	-2.571	-4.433	-2.003	-2.465	-2.757	-3.007	0.235	0.213	-1.863	-2.607	-2.617	0.241	-3.329	-2.349	-3.3115	0.563	0.702	-0.023	-0.044	-0.01	0.052	0.574	0.437	0.52	0.353	0.843	0.621	-0.561	0.677	-2.292	-0.756	-1.695	-4.387	-3.183	-0.049	0.39	-4.098	-3.154	-2.466	-2.359
"YIL148W"	0.401	0.7	-1.5795	-1.6495	-1.455	-1.3005	-2.3055	-2.8165	-1.239	-0.765	-0.621	-0.724	-0.62	-0.707	-1.734	-1.482	-1.408	-1.077	-3.41	-1.347	-1.138	-1.789	-2.019	-2.319	-1.404	-1.39	-1.549	-1.348	0.067	0.429	-0.895	-0.705	-0.816	0.111	-1.447	-1.257	-2.313	0.495	0.569	0.073	0.277	0.111	-0.071	0.113	-0.101	0.382	0.037	0.412	0.428	-0.449	0.809	-2.031	-1.391	-1.149	-2.58	-2.025	-0.011	0.243	-2.552	-2.609	-1.815	-2.168
"YJL189W"	0.349	0.945	-1.379	-1.372	-1.8565	-1.73	-2.7325	-2.8195	-1.67	-0.8085	-0.731	-0.948	-0.63	-0.731	-3.545	-2.317	-2.319	-2.282	-4.28	-2.473	-1.433	-2.446	-2.278	-3.49	-1.87	-1.78	-2.141	-2.282	-0.058	0.28	-1.134	-1.469	-1.922	0.352	-1.798	-0.893	-2.3825	0.746	1.027	0.175	0.302	0.007	0.071	0.003	0.173	0.341	0.235	0.295	0.43	-0.127	0.178	-1.952	-1.387	-1.325	-2.736	-2.597	-0.49	-0.221	-2.888	-2.522	-2.288	-1.692
"YKL014C"	0.212	0.261	-1.397	-0.162	-1.532	-0.958	-1.534	-1.78933333333333	-0.73	-1.71966666666667	-0.981	-0.687	-1.2715	-0.795	-0.782	-0.6875	-1.049	-0.6795	-2.7895	-0.007	-0.459	-1.0925	-0.8005	-2.185	-1.51	-1.767	-1.4065	-2.075	-0.156	-0.443	-0.056	0.2135	-0.013	-0.241	-2.1595	-1.257	-2.237	-0.004	0.2025	-0.1575	-0.029	-0.1965	-0.2035	0.171	-0.061	0.1685	0.0215	-0.0625	0.1885	0.2315	0.38	-1.9745	-1.6695	-2.0735	-1.7485	-1.6725	-0.0725	-0.5845	-2.495	-1.7965	-1.356	-0.6205
"YKL125W"	0.471	-0.387	-1.171	-1.081	-1.394	-0.879	-1.222	-1.143	-0.241	-1.004	-0.7	-0.695	-1.162	-0.932	-1.489	-1.1	-1.232	-0.871	-3.218	-0.918	-1.281	-0.969	-0.522	-0.278	-0.354	-0.128	0.48	-1.37	-0.087	-0.725	-0.467	-0.478	-0.367	0.495	0.973	-0.041	-1.188	0.221	-0.009	0.128	0.131	-0.454	-0.44	0.136	-0.06	-0.03	-0.053	0.118	0.048	0.078	0.239	-1.379	-1.048	-1.026	-0.933	-0.439	0.138	0.049	-1.425	-0.823	-0.389	1.784
"YKR081C"	0.767	1.495	-4.459	-3.157	-3.308	-1.58	-3.81	-3.431	-2.112	-2.224	-2.31	-0.78	-0.41	-1.517	-4.081	-2.662	-2.469	-1.772	-4.632	-2.467	-2.99	-3.278	-2.505	-3.734	-2.064	-2.119	-2.118	-2.696	0.336	-0.794	-1.37	-1.151	-1.509	0.501	-1.95	-1.678	-3.505	0.547	0.467	-0.272	-0.343	-1.134	-1.195	-0.597	-0.573	-0.395	0.108	0.286	0.464	0.418	0.973	-2.666	-1.731	-2.514	-3.386	-2.103	-0.185	0.394	-3.261	-2.433	-1.814	-2.014
"YKR094C"	0.391	-0.587	-1.518	-1.906	-2.14	-2.109	-2.994	-3.29	-1.087	-0.726	-1.373	-1.129	-0.868	-0.919	-3.138	-2.914	-2.619	-2.274	-4.383	-2.065	-1.021	-2.102	-2.333	-2.785	-1.579	-1.746	-1.839	-2.197	0.016	0.317	-1.449	-1.835	-1.364	-0.055	-2.111	-1.412	-2.821	0.573	0.881	0.52	0.292	0.273	0.415	0.597	0.664	0.429	0.372	0.632	0.736	-0.649	0.539	-2.445	-1.493	-1.554	-3.423	-2.549	0.269	0.28	-3.694	-3.422	-2.865	-2.087
"YLL045C"	1.171	1.13	-1.746	-2.108	-2.105	-2.319	-3.116	-3.722	-2.353	-1.434	-0.961	-1.667	-1.27	-1.25	-3.851	-3.176	-2.506	-2.189	-6.618	-2.711	-1.489	-3.169	-3.335	-3.66	-2.096	-2.604	-2.495	-3.021	0.223	0.432	-1.813	-1.821	-2.284	0.182	-2.953	-2.279	-3.545	0.676	0.696	0.158	0.219	0.313	0.238	0.508	0.198	0.905	0.261	0.937	0.57	-0.025	-0.381	-2.751	-1.345	-1.04	-3.449	-2.833	-0.164	0.064	-3.788	-3.87	-2.635	-2.324
"YLR003C"	0.519	0.43	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-0.862	-1.838	-2.485	-1.694	-2.257	-1.657	-3.378	-2.664	-2.083	-1.89	-3.267	-1.976	-1.369	-2.206	-1.397	-3.393	-1.951	-1.333	-1.316	-3.316	0.049	-0.818	-1.113	-1.535	-1.517	0.336	-0.746	-0.949	-3.305	0.259	0.614	0.048	0.058	-0.653	-0.771	-0.49	-0.598	0.334	0.1	0.489	0.179	0.171	-0.401	-2.573	-1.447	-2.402	-2.516	-1.754	-0.434	-0.366	-3.839	-2.794	-1.764	-1.038
"YLR129W"	0.377	0.487	-4.096	-2.921	-3.022	-2.347	-3.676	-3.658	-2.112	-1.9	-3.455	-1.525	-1.12	-1.768	-4.83	-2.28	-3.089	-2.498	-4.914	-3.214	-1.898	-3.12	-2.647	-3.861	-2.137	-1.99	-2.481	-2.42	0.139	-0.708	-1.033	-1.923	-1.91	0.335	-2.651	-1.903	-4.108	-0.114	0.278	0.107	0.015	0.192	-0.57	0.157	-0.082	0.324	-1.153	0.643	-0.066	-0.524	1.128	-4.374	-2.07	-3.858	-3.422	-2.781	0.098	-0.272	-4.119	-2.843	-2.213	-1.943
"YLR175W"	0.563	-0.262	-4.176	NaN	-3.679	-3.07	-4.552	-4.902	-1.646	-2.109	-4.195	-1.436	-2.257	-1.632	-5.607	-3.276	-2.921	-2.657	-5.468	-3.43	-2.275	-3.996	-3.068	-4.678	-2.413	-2.762	-3.408	-4.364	0.21	-0.786	-1.754	-1.987	-2.214	0.609	-3.576	-1.769	-4.431	0.912	0.773	0.276	0.202	-0.824	-0.74	0.186	-0.273	0.123	0.084	0.473	0.53	-0.443	-0.247	-4.177	-1.884	-3.986	-3.995	-3.16	0.838	0.159	-4.338	-2.959	-2.455	-2.49
