	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YDL192W"	-0.328	0.808	-1.319	-0.927	-1.408	-1.026	-2.919	-0.949	-2.056	-2.008	-1.5	-1.284	-1.38	-1.203	-1.441	-2.326	0.21	0.02	0.212	-0.089	0.219	-0.295	0.098	0.304	0.426	0.525	0.75	-1.095	0.215	0.111	-0.057	-0.783	-1.259	-1.299	-0.829	-1.663	-1.105	-0.483
"YDR064W"	-0.644	0.993	-3.874	-2.639	-2.597	-3.761	-5.03	-3.208	-2.511	-2.495	-3.65	-2.718	-2.943	-2.527	-2.531	-3.199	0.265	0.329	0.396	-0.36	0.137	-0.088	-0.196	0.478	0.526	1.003	0.794	-1.996	0.142	0.0105	-0.165	-1.5475	-2.1055	-1.629	-0.8765	-1.701	-1.779	-1.635
"YDR071C"	-0.191	0.462	0.37	-1.203	-1.492	-2.459	-4.374	-0.239	-0.581	-0.861	-0.965	-0.696	-0.953	-1.937	-3.125	-2.557	0.014	-0.089	-0.22	0.015	0.282	-0.013	0.138	1.047	0.317	0.432	0.512	-1.47	0.061	0.139	-0.209	-1.279	-1.056	-1.544	-1.355	-1.903	-2.259	-2.091
"YDR091C"	-0.878	0.996	-3.288	-1.547	-1.362	-3.384	-4.4	-2.925	-2.03	-2.498	-2.971	-1.728	-2.044	-2.636	-3.222	-3.423	0.11	-0.12	-0.128	0.11	-0.04	0.11	-0.627	0.32	0.14	0.866	0.444	-1.376	-0.013	-0.028	0.098	-2.823	-2.809	-1.954	-2.542	-2.595	-1.098	-1.659
"YDR097C"	-0.276	0.253	-1.696	-0.078	-0.548	-1.649	-2.765	-0.98	-0.119	-0.443	-2.379	-0.711	-0.954	-1.371	-1.795	-1.685	-0.354	0.242	0.097	0.295	0.135	-0.012	0.159	-0.15	0.033	0.366	0.077	0.141	0.189	0.043	0.343	-1.467	-1.485	-0.704	-0.936	-0.251	-0.276	-0.319
"YDR101C"	-0.843	1.377	-4.306	-2.315	-2.948	-4.145	-4.667	-3.385	-1.752	-2.552	-2.52	-1.96	-2.252	-2.862	-3.177	-3.516	0.742	0.233	0.072	0.107	-0.233	-0.163	-0.046	0.485	0.144	0.936	1.26	-2.013	0.204	0.01	-0.016	-2.911	-2.551	-2.764	-2.644	-2.576	-2.129	-2.094
"YDR189W"	-0.252	0.259	-0.905	-0.735	-0.956	-1.871	-2.842	-0.821	-0.824	-1.156	-0.968	-0.693	-0.704	-1.597	-1.904	-2.063	-0.139	-0.167	-0.126	-0.041	0.053	-0.037	0.017	-0.141	0.045	-0.243	-0.01	-0.9815	-0.1815	-0.1255	0.1835	-0.8915	-0.926	-1.087	-0.8815	-1.6005	-1.5185	-1.5875
"YDR190C"	-0.063	0.795	-0.596	-0.013	-0.002	-2.018	-4.144	-0.97	-1.009	-0.793	-1.74	-0.516	-0.784	-1.191	-1.226	-1.423	0.313	0.322	0.271	0.005	0.15	0.626	0.263	0.061	0.393	0.683	0.853	-0.652	0.021	0.142	0.3955	-1.048	-0.755	-0.6845	-1.031	-0.7725	-0.411	-0.5725
"YDR211W"	-0.215	0.538	-2.225	-0.984	-1.38	-1.706	-4.77	-2.051	-1.476	-2.096	-2.022	-1.28	-1.43	-2.119	-2.043	-3.034	0.383	0.367	0.325	0.515	0.113	0.61	0.29	0.197	0.309	0.018	0.129	-1.1775	0.3765	0.3695	-0.1335	-1.87	-1.8185	-1.65	-2.364	-2.0095	-1.387	-1.6565
"YDR233C"	-0.435	0.443	-0.276	-0.513	-1.091	-2.587	-3.48	-0.956	-1.566	-1.509	-0.759	-0.467	-0.606	-2.047	-2.27	-2.451	0.142	0.093	0.038	0.064	0.175	-0.271	-0.399	0.406	0.235	0.484	0.41	-0.709	-0.0985	0.013	-0.117	-0.9345	-1.243	-1.337	-0.7365	-2.1955	-0.864	-1.9495
