	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YMR290C"	-1.198	1.028	-5.132	-2.719	-3.471	-3.509	-5.217	-3.243	-2.625	-2.846	-4.614	-3.295	-3.716	-3.219	-3.665	-2.938	0.893	0.521	0.295	-0.092	-0.189	-0.283	0.511	0.782	0.718	0.92	1.215	-2.957	0.221	0.276	-0.28	-2.743	-2.311	-3.104	-1.514	-1.635	-2.642	NaN
"YMR308C"	-0.88	0.666	-1.769	-1.165	-1.375	-3.091	-4.033	-1.731	-0.193	-1.36	-2.386	-2.014	-1.774	-2.239	-2.796	-2.451	0.378	0.4	0.235	0.006	0.173	0.118	-0.201	-0.041	0.299	0.831	0.257	-1.504	-0.523	-0.351	-0.05	-2.171	-1.594	-1.689	-1.528	-1.813	-1.326	-1.41
"YMR321C"	-1.575	0.594	-2.201	-2.55	-2.298	-3.288	-3.811	-2.632	-2.22	-2.53	-2.252	-1.913	-2.8	-2.409	-2.567	-2.424	0.03	0.214	0.162	-0.034	0.126	-0.234	-0.23	-0.199	0.046	0.746	0.612	-2.3015	0.456	0.441	-0.37	-0.863	-1.192	-0.959	-0.646	-1.614	-2.105	-1.736
"YNL010W"	-1.069	0.664	-1.718	-1.703	-2.892	-1.296	-4.52	-1.758	-1.922	-2.057	-1.705	-1.834	-1.936	-2.483	-2.738	-3.396	0.077	0.08	0.28	-0.259	0.154	0.421	-0.19	0.223	0.285	0.325	0.315	-1.9585	0.463	0.441	-0.163	-0.793	-1.308	-1.066	-1.11	-2.243	-1.278	-1.77
"YNL045W"	0.313	-0.621	1.967	0.962	0.272	-1.687	-2.893	1.366	0.484	0.464	2.846	0.584	0.52	-0.536	-0.055	-1.118	0.016	-0.234	-0.181	-0.184	0.053	0.113	-0.148	-0.158	-0.045	-0.185	-0.049	0.522	-0.592	-0.386	0.269	1.079	1.187	0.473	1.154	-0.322	0.249	-0.472
"YNL087W"	-0.561	0.557	-1.855	-1.548	-1.447	-1.605	-3.407	-1.34	-1.432	-1.023	-1.992	-2.327	-1.937	-1.983	-2.611	-2.819	0.307	0.628	0.603	0.132	-0.401	0.405	-0.442	0.58	0.256	0.566	0.563	-1.579	-0.317	-0.124	-0.006	0.577	-0.7	-1.342	-0.859	-1.583	-1.112	-0.453
"YNL096C"	-1.968	0.749	-4.113	-2.81	-3.616	-4.038	-6.106	-3.331	-2.761	-3.165	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	0.011	0.381	0.323	-0.057	0.169	-0.25	-0.094	0.417	0.333	0.9	0.736	-2.8625	0.115	0.04	0.035	-2.268	-2.714	-2.548	-0.807	-1.923	-2.086	-2.629
"YNL119W"	-0.865	1.033	-6.697	-2.2	-3.337	-5.354	-6.231	-3.359	-2.99	-2.998	-3.55	-1.955	-2.206	-2.822	-2.843	-3.318	0.218	0.181	0.315	-0.324	0.044	-0.54	-0.303	0.468	0.214	0.874	0.642	-1.92	0.084	0.018	-0.083	-1.879	-2.164	-2.084	-1.808	-2.147	-1.577	-2.961
"YNL120C"	-0.536	0.65	-4.224	-1.03	-2.258	-0.779	-4.984	-2.089	-0.774	-0.66	-2.085	-1.17	-1.314	-1.389	-1.801	-1.314	0.173	0.132	-0.047	0.023	-0.016	-0.099	0.089	0.249	0.051	-0.716	0.296	-0.835	0.19	0.025	-0.2	-4.026	-1.898	-1.408	-3.28	-2.367	-2.252	-2.304
"YNL154C"	-0.571	0.281	-0.952	-1.0	-1.128	-1.871	-3.909	-0.647	-1.037	-0.547	-2.02	-0.946	-1.374	-1.346	-2.5	-2.113	-0.022	0.102	0.07	-0.208	0.288	-0.486	-0.125	0.492	0.715	0.247	0.646	-1.3335	-0.01	-0.072	0.11	-1.26	-1.362	-1.669	-1.339	-2.02	-1.749	-0.959
"YNL162W"	-0.96	1.003	-3.953	-2.175	-2.163	-2.858	-6.425	-2.86	-2.421	-2.763	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	0.109	0.234	0.234	-0.03	0.3	-0.226	-0.153	0.69	0.283	1.117	1.0	-1.852	0.268	0.288	0.007	-2.052	-2.624	-2.857	-3.014	-2.729	-1.49	-1.637
"YNL168C"	-0.156	-0.091	0.054	-0.47	-0.808	-1.69	-3.351	0.848	0.214	-0.155	0.643	-0.3	-0.411	-0.728	-1.174	-1.844	-0.002	-0.194	-0.228	-0.06	0.092	-0.274	0.118	0.091	0.032	0.269	0.175	-0.276	0.147	-0.015	-0.245	-0.552	0.399	-1.453	-0.446	-0.181	-1.09	-0.305
"YNL175C"	-0.733	1.152	-4.877	-2.146	-2.117	-2.872	-6.011	-2.575	-2.327	-1.735	-4.587	-2.804	-2.484	-2.404	-3.809	-2.849	0.831	0.669	0.389	0.344	-0.542	0.585	0.602	0.449	0.682	1.161	1.074	-2.238	0.434	0.467	-0.301	-4.009	-4.49	-2.353	-2.696	-3.054	-1.955	-2.821
"YNL178W"	-0.979	1.102	-4.244	-1.857	-3.159	-4.338	-6.62	-3.239	-3.272	-3.183	-4.97	-2.899	-2.981	-2.958	-3.483	-3.871	0.041	0.361	0.29	0.438	0.117	-0.073	-0.237	0.704	0.331	0.859	0.594	-2.479	0.88	0.949	0.006	-2.018	-2.698	-3.094	-2.348	-3.269	-2.92	-3.365
"YNL220W"	-0.977	0.187	-1.943	-1.92	-1.445	-3.758	-6.09	-0.354	-0.66	-1.475	0.2	-0.618	-1.771	-1.724	-2.555	-3.197	-0.108	-0.459	-0.325	0.111	0.294	-0.175	-0.697	-0.016	0.086	0.325	0.289	-1.597	0.316	0.368	-0.155	-1.625	-1.797	-1.923	-1.746	-3.272	-2.971	-1.629
"YNL228W"	0.181	0.213	-2.997	-0.644	-0.884	-1.08	-3.325	-1.224	-0.649	-0.237	-2.291	-0.962	-0.886	-1.52	-1.555	-1.857	0.357	0.063	-0.139	-0.046	-0.18	0.152	0.62	0.017	-0.009	-0.212	0.18	-0.603	0.218	0.203	-0.516	-2.613	-2.476	-2.241	-1.561	-1.968	-1.027	-1.594
"YNL255C"	-0.524	1.222	-2.297	-0.205	-0.537	-2.208	-5.229	-1.708	-1.604	-1.243	-2.739	-1.192	-1.457	-1.3	-2.442	-2.225	0.49	0.728	0.489	0.099	NaN	0.121	0.384	0.854	0.569	1.025	0.983	-1.116	0.326	0.562	-0.34	-1.524	-1.775	-1.428	-1.595	-1.546	-0.962	-0.843
"YNL320W"	-0.383	-0.46	-0.921	-1.349	-0.885	-2.678	-4.0	-1.036	-0.93	-1.477	-0.58	-0.735	-0.44	-1.665	-1.971	-1.215	-0.112	-0.359	-0.311	-0.249	0.127	0.214	-0.417	-0.032	-0.201	0.193	-0.2	-0.666	0.025	0.02	-0.37	-0.468	-1.433	-0.796	0.138	-1.048	-0.088	-0.41
"YNR043W"	-1.019	0.308	-3.5005	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.949	-1.8335	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	0.634	0.55	0.51	-0.264	0.057	-0.084	0.166	0.0765	0.186	0.4865	0.0235	-1.878	0.258	0.109	-0.082	-1.046	-0.997	-1.663	0.304	-1.206	-1.566	-1.211
"YOL022C"	-0.725	0.777	-1.8955	-1.2465	-1.0045	-1.388	-4.073	-2.0495	-0.378	-1.2085	-1.88	-0.91	-0.866	-1.681	-2.027	-1.748	0.454	0.292	0.155	0.076	0.008	-0.136	0.533	0.0635	-0.1685	0.812	0.6285	-1.146	0.171	0.123	-0.085	-2.89	-2.214	-1.966	-2.035	-1.612	-1.164	-2.059
"YOL040C"	-1.284	1.057	-0.886	-0.3965	-0.1425	-3.032	-6.413	-3.385	-0.614	-2.291	-3.938	-2.247	-2.245	-2.028	-2.837	-3.657	0.209	0.428	0.379	0.247	0.487	-0.087	-0.345	1.232	-0.3865	0.956	0.75	-2.005	0.213	0.136	-0.041	-1.501	-1.869	-1.96	-1.05	0.674	-1.941	-0.905
"YOL077C"	-0.775	1.273	-5.186	-2.817	-2.79	-3.02	-6.552	-4.174	-2.917	-1.374	-3.705	-2.549	-3.046	-3.299	-3.894	-4.326	0.679	0.461	0.296	-0.102	-0.085	-0.072	0.537	-0.5905	-0.114	-0.032	0.48	-2.39	-0.032	0.152	-0.076	-3.742	-2.522	-2.623	-2.653	-3.886	-1.894	-2.036
"YOL097C"	-1.34	0.582	-4.26	-0.4555	-2.768	-0.491	-6.314	-2.427	-0.2345	-1.513	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	0.226	0.232	0.056	-0.49	-0.687	0.161	0.224	0.367	0.455	0.478	-0.2075	-1.735	0.1	0.075	0.062	-1.499	-2.01	-2.156	-2.172	-2.829	-2.315	-1.6
"YOL125W"	-0.633	0.665	-2.059	-1.9075	-1.0065	-0.7695	-2.1485	-1.052	0.6735	-0.21	-0.67	-1.167	-0.669	-0.386	-1.824	-1.787	0.102	0.226	0.059	0.147	-0.095	0.112	0.181	0.434	-0.0325	-0.0765	-0.89	-1.169	0.223	0.33	0.097	-2.169	-2.382	-2.222	-1.683	-0.192	-2.953	-1.668
"YOL139C"	-0.96	1.042	-3.143	-0.0125	-2.51	-2.31	-5.5	-1.666	-1.518	-1.1165	-2.365	-1.408	-1.945	-1.487	-1.966	-2.188	0.165	0.171	0.1	0.146	0.177	-0.15	0.052	-0.5945	-0.2975	-0.908	0.736	-1.701	0.004	0.186	-0.152	-2.109	-1.346	-2.307	-1.42	-0.855	-1.051	-1.329
"YOR004W"	-0.982	1.465	-1.3775	-0.1845	-1.3515	-3.012	-5.273	-0.599	-1.62	-1.313	-2.961	-2.135	-1.689	-2.507	-2.832	-2.931	1.037	0.548	0.4	0.021	-0.468	-0.303	0.563	0.906	0.213	0.443	1.211	-1.929	0.471	0.326	-0.349	-2.6	-2.915	-2.398	-3.557	NaN	-2.266	-2.802
"YOR051C"	-1.632	0.789	-3.736	-0.754	-1.343	-1.6745	-0.839	-1.039	-0.5685	-0.452	-3.749	-2.551	-3.163	-3.34	-3.704	-3.402	0.095	0.084	-0.079	0.046	0.083	-0.149	-0.049	-0.1645	0.4575	0.715	0.1815	-2.272	0.236	0.426	0.141	-1.861	-2.932	-1.556	-1.728	-1.307	-0.705	-1.621
"YOR119C"	-0.427	0.571	-1.183	-0.471	0.852	-0.551	-3.035	-0.635	-1.494	-0.429	-0.439	-0.122	0.171	-0.796	-1.469	-1.318	0.779	0.175	0.214	-0.194	-0.235	0.013	0.543	-0.4285	0.367	-0.94	-0.2225	0.149	0.006	0.12	0.06	-2.355	-1.979	-1.019	NaN	-4.085	-1.333	-1.558
"YOR168W"	-0.857	0.772	-1.809	-1.261	-1.7945	-1.984	-4.808	-1.5105	-1.8785	-1.355	-2.516	-1.54	-1.525	-2.348	-2.353	-2.604	0.475	0.476	0.463	-0.074	0.158	0.332	0.311	0.4075	0.4335	0.8465	0.793	-1.844	0.142	0.221	-0.583	-2.073	-1.871	-2.446	-1.977	-1.061	-0.981	-0.932
"YOR243C"	-0.887	1.139	-3.8055	-1.6015	-2.2855	-3.3625	-4.3935	-2.588	-1.6325	-2.414	-3.635	-2.179	-2.726	-2.865	-4.484	-3.863	0.656	0.628	0.343	-0.005	-0.109	-0.194	0.311	0.759	0.66	0.6185	0.7605	-1.712	0.086	0.118	0.123	-3.202	-2.909	-2.358	-2.809	-1.82	-1.697	-1.547
"YOR253W"	-1.267	0.445	-2.29	-1.575	-1.759	-2.7935	-5.157	-1.6705	-1.538	-2.16	-1.88	-1.139	-1.299	-1.872	-2.672	-2.633	-0.067	0.097	-0.018	-0.146	0.181	-0.194	0.104	0.4295	0.127	0.2645	0.5665	-0.978	0.248	0.301	-0.027	-2.222	-2.68	-1.707	-2.427	-1.977	-2.101	-2.063
"YOR260W"	-0.503	0.712	-2.6835	-1.6735	-1.833	-2.507	-4.639	-2.1155	-1.6575	3.0405	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	0.365	0.257	0.092	-0.213	-0.043	0.199	0.025	0.417	0.601	0.773	0.613	-1.54	0.031	0.232	0.014	-1.028	-0.885	-0.952	-0.766	-1.265	-1.079	-1.698
"YOR272W"	-0.572	1.356	-4.8145	-1.682	-1.968	-3.353	-4.712	-3.033	-1.779	-1.376	-3.311	-2.312	-2.009	-3.017	-3.307	-4.52	0.748	0.523	0.311	0.167	-0.615	-0.013	0.565	0.699	0.465	1.0365	0.9705	-1.264	0.396	0.392	-0.014	-3.546	-2.98	-3.332	-2.014	-2.388	-3.137	-2.332
"YOR310C"	-1.081	1.223	-6.006	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.5415	-2.603	-5.777	-3.838	-4.105	-4.745	-5.099	-4.866	0.809	0.641	0.466	0.202	-0.205	0.049	0.306	0.711	0.446	1.276	1.051	-2.849	-0.037	0.008	0.323	-3.031	-3.155	-2.87	-2.127	-2.448	-1.956	-1.711
"YOR315W"	-0.664	0.975	-3.8935	-3.1035	-2.966	-2.9775	-4.3035	-1.742	-1.979	-1.3625	-2.638	-2.502	-3.165	-2.855	-2.774	-2.784	-0.503	-0.172	0.21	-0.191	0.021	0.254	-0.496	0.276	0.0595	0.6425	0.3325	-1.601	0.534	0.443	0.043	-2.596	-2.807	-2.344	-1.901	-2.901	-1.041	-1.791
"YOR369C"	-1.178	1.207	-3.6225	-2.805	-3.7395	-3.724	-6.5475	-3.0405	-3.752	-3.809	-3.998	-2.858	-2.986	-2.456	-2.662	-3.502	0.278	0.388	0.367	0.217	0.27	-0.428	-0.243	0.4935	0.672	1.046	0.7425	-2.309	0.95	0.753	-0.365	-1.677	-2.306	-2.148	-1.958	-2.802	-3.103	-2.533
"YPL079W"	-1.022	1.126	-4.616	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.0255	-3.112	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	0.15	0.527	0.467	0.031	0.143	-0.072	0.055	0.358	0.3395	0.9955	0.555	-1.673	0.284	0.34	-0.224	-1.189	-1.754	-2.843	-4.476	-1.546	-0.486	-2.506
"YPL081W"	-0.796	0.779	-4.5065	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.428	-2.3315	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	0.237	0.584	0.656	0.099	0.171	-0.228	-0.016	0.2385	-0.1415	1.001	0.3545	-1.844	0.145	0.101	-0.142	-1.508	-1.652	-2.062	-2.429	-1.125	-1.226	-2.175
"YPL142C"	-0.787	1.2695	-3.1395	-1.78	-1.891	-3.5865	-5.604	-2.825	-2.8235	-2.16	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	0.493	0.689	0.686	0.2	0.304	0.271	-0.002	0.534	0.421	1.161	0.726	-2.011	0.301	0.513	-0.398	-1.81	-2.248	-1.627	-2.396	-1.113	-0.956	-1.262
"YPL160W"	-1.226	0.598	-3.26033333333333	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.11133333333333	-1.59566666666667	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.4155	0.7685	0.5555	0.0515	0.0565	0.202	0.209	0.210333333333333	0.546	0.571	0.462	-1.8045	-0.174	-0.216	0.1535	-1.0145	-1.866	-1.7795	-2.4765	-1.2295	-1.1215	-0.7745
"YPL210C"	-0.661	-0.536	-0.53	-0.484333333333333	-1.23333333333333	-2.00066666666667	-3.50166666666667	-0.457	-0.389666666666667	-0.956666666666667	-1.2465	-1.072	-1.187	-1.31	-1.9415	-1.2345	0.3675	0.6835	0.2445	-0.048	0.0335	-0.235	0.8075	0.169333333333333	-0.441	0.160333333333333	-0.03	-0.915	-0.122	0.124	-0.508	-2.756	-1.277	-1.057	-1.205	-1.425	-0.694	-0.57
"YPL211W"	-0.152	0.954	-5.5605	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.046	-3.121	-4.129	-2.918	NaN	-3.267	-2.652	-2.337	0.926	0.593	0.39	-0.02	0.025	0.403	0.766	0.105	0.3045	1.187	1.007	-2.25	0.407	0.451	-0.515	-5.176	-4.397	-4.022	-4.322	-2.835	-2.138	-3.206
"YPL220W"	-1.189	1.154	-3.389	-2.1715	-2.2495	-3.187	-6.1465	-3.0375	-3.3935	-2.852	-3.51	-2.548	-2.639	-2.247	-2.571	-3.926	0.252	0.545	0.483	0.081	0.236	-0.163	-0.475	0.592	0.377	1.324	1.163	-1.925	0.448	0.378	0.237	-2.098	-2.256	-2.574	-1.996	-3.677	-2.623	-3.8
"YPL226W"	-1.114	0.906666666666667	-4.86566666666667	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.786	-2.922	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.7775	0.667	0.5305	-0.0735	0.0465	-0.253	-0.0315	0.493666666666667	0.373	0.789333333333333	0.748	-1.7375	-0.148	-0.0335	-0.2575	-2.5635	-2.1345	-2.386	-1.6895	-2.674	-2.354	-2.153
"YPL237W"	-0.439	0.8365	-2.6285	-2.029	-2.27	-2.875	-5.7585	-1.791	-1.8945	-2.2035	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	0.346	0.338	0.129	0.071	0.179	-0.218	0.07	0.615	0.577	0.673	0.893	-1.537	0.093	0.116	-0.164	-1.771	-0.883	-0.879	-2.781	0.362	-0.116	-0.544
"YPL239W"	-0.084	-0.2375	-2.603	-0.835	-1.683	-1.915	-3.907	-0.6945	-0.8005	-0.7085	-1.745	-0.854	-0.554	-1.503	-2.384	-2.259	0.579	0.197	0.08	-0.387	0.11	-0.464	0.546	0.3655	0.246	0.6455	0.8665	-0.795	0.569	0.656	-0.285	-2.382	-2.315	-1.915	-1.458	-2.392	-1.112	-1.649
"YPL243W"	-0.823	0.515	-1.27	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.315	-1.5105	-1.931	-1.377	-1.873	-2.602	-3.541	-3.544	0.133	0.074	-0.001	-0.062	0.174	0.008	0.09	0.474	0.238	0.2855	0.4215	-1.188	0.019	0.072	-0.161	-1.883	-1.263	-0.56	-1.831	-0.787	-1.361	-1.305
"YPL263C"	-0.645	0.418333333333333	-2.61633333333333	-2.59366666666667	-2.35933333333333	-1.689	-4.9735	-2.09033333333333	-1.281	-1.18966666666667	-1.7685	-2.0785	-2.7455	-1.742	-2.0455	-1.8115	0.3225	0.0835	0.157	0.0595	-0.2455	0.1	0.472	0.228333333333333	0.279666666666667	0.491333333333333	0.608333333333333	-1.333	0.203	0.282	-0.247	-2.719	-1.385	-2.52	-2.426	-1.655	-1.459	-1.661
"YPL273W"	-1.52	0.772	-3.42133333333333	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.249	0.3195	0.309	0.0235	0.168	-0.247	-0.114	0.390333333333333	0.438333333333333	0.744333333333333	0.771333333333333	-2.628	0.446	0.535	0.023	-0.72	-1.046	-1.601	-0.744	-2.057	-1.919	-3.347
"YPR041W"	-1.193	0.966	-1.871	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.41033333333333	-2.291	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.347	0.183	0.189	-0.1465	-0.031	-0.175	0.1395	0.490666666666667	0.484333333333333	0.863	0.649666666666667	-1.977	-0.039	0.092	-0.0105	-1.711	-1.1765	-1.064	-1.1445	-1.901	-1.713	-1.7515
"YPR102C"	-1.197	1.2	-3.521	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-3.673	-3.277	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	0.253	0.43	0.413	0.219	0.435	-0.151	0.106	0.4635	0.671	0.7845	0.56	-2.384	0.446	0.519	-0.022	-2.56	-3.07	-2.791	-2.274	-3.252	-2.407	-2.66
"YPR107C"	0.0	-0.157	1.0765	-0.14	0.442	-1.3245	-3.49	0.612	0.251	-0.035	0.546	0.062	0.173	-0.524	-1.0	-1.585	-0.446	-0.381	-0.139	0.083	-0.009	0.03	-0.367	0.129	-0.252	-0.5465	0.2785	0.057	0.179	0.304	-0.139	0.309	0.52	0.266	-0.691	0.369	-0.175	0.235
"YPR110C"	-1.308	1.068	-5.7185	-2.8345	-3.133	-3.662	-6.318	-3.01	-2.285	-2.0215	-3.88	-2.175	-2.703	-2.993	-3.212	-3.358	0.744	0.608	0.565	-0.091	0.102	0.137	0.419	0.264	0.3115	0.767	0.475	-2.108	0.048	0.305	0.125	-1.995	-2.88	-2.431	-2.452	-2.592	-2.057	-1.492
"YPR114W"	-0.609	0.2455	-0.5845	-2.1515	-1.837	-2.9825	-3.903	-1.418	-1.798	-1.748	-0.411	-1.338	-1.177	-1.633	-1.738	-2.533	0.302	-0.062	-0.101	0.473	0.145	0.189	-0.274	0.124	0.105	0.754	0.4065	-1.335	-0.263	-0.356	0.05	-0.686	-0.85	-1.006	-1.011	-2.78	-1.722	-1.299
"YPR118W"	-0.94	0.7795	-2.848	-2.706	-3.095	-3.9965	-5.524	-2.525	-2.305	-2.577	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	0.441	0.439	0.25	0.036	-0.027	0.297	0.274	0.2995	0.33	0.5705	0.559	-1.794	0.023	-0.046	-0.002	-0.745	-1.39	-0.993	-1.095	-3.694	-1.334	-2.679
"YPR132W"	-1.087	1.0155	-2.849	-2.6445	-2.672	-3.1925	-5.805	-2.5895	-2.967	-2.8485	-3.788	-2.214	-2.292	-1.968	-2.388	-3.151	0.267	0.377	0.37	0.125	0.215	-0.019	0.06	0.3035	0.6485	0.975	0.653	-2.217	0.678	0.452	-0.251	-1.788	-2.829	-2.887	-1.026	-3.922	-1.857	-2.438
"YPR163C"	-1.144	1.048	-3.6815	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.6395	-2.0525	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	0.28	0.629	0.538	-0.06	-0.192	0.157	-0.106	0.4285	0.4825	0.7575	0.562	-2.145	-0.247	-0.331	-0.222	-2.361	-2.021	-1.999	-1.944	-2.167	-1.899	-2.771
