	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"
"YLR339C"	-4.988	-6.865	-3.161	-3.973	2.31	1.174
"YLR340W"	-4.11	-6.819	-3.206	-4.105	2.113	0.935
"YML001W"	-2.307	-4.531	-0.3	-1.181	-1.618	0.695
"YML018C"	-2.284	-3.383	-1.922	-2.274	-0.377	0.031
"YML064C"	-2.421	-3.73	-1.457	-1.948	0.607	0.174
"YML106W"	-2.297	-3.649	-1.467	-1.771	0.926	0.249
"YMR011W"	-2.802	-4.162	-2.278	-2.421	1.261	0.73
"YMR033W"	-3.063	-4.454	-1.826	-1.988	0.293	-0.05
"YMR049C"	-4.225	-9.471	-3.396	-4.217	-0.366	-0.41
"YMR116C"	-4.551	-6.865	-3.561	-4.003	2.62	3.18
"YMR149W"	-1.442	-3.396	-1.112	-1.653	-0.047	-0.44
"YMR163C"	-1.126	-2.462	-0.784	-1.126	-0.498	-0.275
"YMR208W"	-2.542	-3.618	-2.454	-2.354	-0.769	-0.627
"YMR215W"	-3.705	-4.406	-2.956	-3.467	1.238	1.021
"YMR242C"	-3.971	-6.226	-3.133	-3.475	2.275	2.821
"YMR290C"	-3.509	-5.217	-3.665	-2.938	0.683	0.194
"YMR308C"	-3.091	-4.033	-2.796	-2.451	0.562	-0.613
"YNL032W"	-1.24	-2.495	-0.771	-1.32	-0.602	-0.51
"YNL060C"	-2.397	-3.243	-1.617	-1.851	0.741	0.043
"YNL061W"	-2.147	-4.27	-1.357	-1.899	0.057	0.241
"YNL067W"	-2.84	-5.731	-1.906	-2.76	1.863	1.601
"YNL069C"	-4.006	-4.824	-2.509	-3.665	1.979	2.464
"YNL096C"	-4.038	-6.106	-4.096	-4.68	1.561	1.392
"YNL141W"	-3.37	-4.776	-3.946	-3.935	2.176	1.647
"YNL145W"	-2.121	-3.38	-1.347	-2.183	1.529	1.404
"YNL167C"	-1.892	-3.18	-1.669	-1.67	-0.626	-0.123
"YNL221C"	-2.485	-3.396	-2.055	-1.934	-1.025	0.931
"YNL255C"	-2.208	-5.229	-2.442	-2.225	-0.085	-0.696
"YNL280C"	-1.762	-3.802	-1.071	-1.761	-0.654	-0.398
"YNL291C"	-2.472	-4.479	-1.572	-1.833	NaN	0.426
"YNL329C"	-1.36	-3.224	-0.197	-0.665	1.153	0.895
"YNR030W"	0.283	-2.3165	-1.753	-1.455	0.281	0.187
"YOL039W"	-2.068	-7.971	-3.262	-3.256	1.834	1.682
"YOR164C"	-2.555	-4.0095	-1.956	-2.107	-0.459	0.443
"YOR201C"	-1.782	-2.872	-0.099	-1.389	0.211	-0.348
"YOR206W"	-3.681	-6.4785	-3.692	-3.694	-0.397	0.296
"YOR209C"	-2.998	-6.004	-2.681	-2.954	0.37	0.09
"YOR243C"	-3.3625	-4.3935	-4.484	-3.863	-0.369	0.222
"YOR253W"	-2.7935	-5.157	-2.672	-2.633	-1.255	0.137
"YOR272W"	-3.353	-4.712	-3.307	-4.52	0.625	-0.549
"YOR307C"	-0.712	-2.7405	-0.504	-0.523	0.42	-0.163
"YOR312C"	-3.3005	-4.8175	-1.569	-3.224	2.117	1.207
"YOR321W"	-2.096	-3.7905	-1.619	-2.487	0.923	-0.939
"YOR323C"	-4.2845	-6.434	-3.497	-3.428	1.108	0.793
"YOR326W"	-3.4635	-4.9875	-3.591	-2.795	0.709	0.758
"YPL028W"	-3.482	-5.5385	-2.17	-2.948	1.787	1.6
"YPL053C"	-1.561	-4.4065	-1.562	-2.032	-0.377	-0.398
"YPL143W"	-3.35	-5.0395	-1.972	-2.941	1.375	0.462
"YPL160W"	-3.08233333333333	-5.284	-3.499	-2.977	1.103	1.194
"YPL220W"	-3.187	-6.1465	-2.571	-3.926	2.636	2.301
"YPL226W"	-3.95033333333333	-5.67966666666667	-2.9025	-3.983	0.124	-0.064
"YPL237W"	-2.875	-5.7585	-2.44	-3.024	-0.432	-0.503
"YPL238C"	-2.431	-4.788	-2.517	-2.586	0.902	-0.217
"YPL243W"	-4.1455	-5.276	-3.541	-3.544	-0.102	0.55
"YPR010C"	-1.86833333333333	-3.425	-2.158	-2.729	1.4475	1.197
"YPR019W"	-1.7075	-3.1305	-2.229	-1.945	0.694	-0.361333333333333
"YPR080W"	-2.848	-5.6305	-2.389	-3.139	0.955	0.522
"YPR102C"	-4.045	-6.451	-3.749	-4.692	2.475	2.91
"YPR110C"	-3.662	-6.318	-3.212	-3.358	-0.026	0.334
"YPR128C"	-2.617	-3.863	-1.847	-1.979	-0.182	0.029
"YPR132W"	-3.1925	-5.805	-2.388	-3.151	1.923	2.496
"YPR145W"	-3.737	-5.02	-3.625	-3.498	0.517	-0.36
