	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1173.PHO4c vs. wild type"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1301.PHO81c vs. wild type, exp.2"	"1310.diauxic shift timecourse: 9.5 hr"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7540.pRS-ROX1 GAL media"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15635.Ca+FK 15min (2)"	"15638.Ca+FK 60min (2)"	"17472.Ca+FK 15min (5)"	"30773.Pomona/Brown Sir3x red"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YKL144C"	-1.107	-2.123	-1.605	-0.796	-1.446	-1.323	-1.766	-0.162	-0.871	-1.235	-1.136	-0.413	-0.093	-2.495	-2.005	-1.476	-1.636	-1.006	-1.711	-4.032	-1.29	-0.38	-2.354	-0.992	0.159	-0.016	-0.526	0.231	-0.088	-0.055	0.319	0.254	-0.063	-0.05	-0.012	-0.093	-0.563	0.188	0.19	0.014	-0.728	-0.038	-1.651	-1.984	-1.36	-1.895	-0.831	-2.101	0.164	-1.263	-0.309	-1.251	-1.218	-0.742	-0.12	-1.129	-2.097	-1.472	-0.707	-1.374
"YKR056W"	-3.646	-4.01	-3.872	-1.682	-2.945	-3.217	-3.127	-0.619	-1.414	-1.83	-2.566	-1.013	-0.89	-4.495	-2.575	-2.343	-2.336	-1.492	-2.639	-4.34	-2.352	-0.708	-2.379	-1.808	-0.068	0.122	0.035	0.281	0.173	0.123	0.716	0.373	-0.155	-0.447	1.144	-0.548	-0.816	1.262	1.027	-0.63	-0.763	-0.601	-3.682	-2.118	-1.626	-2.059	-1.508	-2.186	-0.146	-2.055	-0.185	-1.97	-2.586	-2.146	-1.597	-1.647	-3.056	-2.089	-1.061	-1.206
"YLL008W"	-2.364	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	-1.155	-1.64	-1.904	-3.12	-1.147	-1.357	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-6.113	-3.126	-0.852	-2.364	-2.55	0.067	-0.1	0.093	-0.103	0.142	0.151	0.867	0.786	-0.108	-0.87	-0.943	-0.705	-1.31	1.287	0.841	0.329	-1.714	-0.737	-4.642	-2.679	-2.012	-3.343	-1.397	-3.401	1.282	-2.672	-0.11	-2.884	-4.08	-2.614	-1.681	-1.563	-3.042	-2.072	-1.554	-1.992
"YLR063W"	-1.03	-1.75	-2.373	-1.006	-2.078	-2.111	-1.769	-0.16	-1.112	-1.167	-1.33	-0.242	-0.338	-4.309	-2.751	-2.588	-1.912	-1.708	-2.298	-4.23	-2.498	-0.67	-1.564	-1.394	-0.127	0.419	-0.638	0.662	-0.047	-0.268	-0.238	0.281	0.057	-0.13	-0.227	-0.408	-0.093	0.092	0.024	-0.344	-0.978	-0.167	-1.963	-1.575	-0.882	-1.384	-1.096	-2.422	-0.308	-1.329	-0.346	-1.891	-2.128	-1.606	-0.95	-1.575	-1.893	-1.598	-1.219	-0.939
"YLR196W"	-4.71	-5.425	-5.04	-1.973	-3.221	-4.896	-4.532	-0.842	-1.643	-2.15	-3.946	-1.52	-1.245	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-5.836	-2.118	-0.772	-2.858	-2.859	0.036	-0.383	-0.792	-0.036	0.252	0.039	0.696	0.583	-0.191	-1.533	-1.553	-1.357	-1.454	1.362	1.461	-0.073	-1.12	-1.252	-5.097	-1.034	-1.483	-2.435	-1.58	-2.536	-0.461	-1.995	-0.121	-2.941	-3.697	-2.702	-1.684	-2.83	-3.658	-2.412	-1.969	-1.845
"YLR197W"	-3.755	-4.98	-4.044	-2.606	-3.638	-4.76	-5.179	-1.17	-1.654	-2.503	-3.466	-1.737	-1.741	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-5.242	-3.387	-1.088	-3.899	-3.238	0.013	-0.121	-0.215	0.326	0.467	-0.157	0.464	0.357	-0.125	-1.006	-0.958	-0.966	-1.878	1.334	1.415	-0.175	-1.869	-1.143	-5.072	-2.537	-1.484	-2.659	-1.783	-2.715	-0.468	-1.851	0.08	-2.322	-4.496	-2.603	-0.567	-3.17	-4.545	-3.045	-2.593	-1.95
"YLR198C"	-2.631	-4.57	-4.694	-2.132	-3.371	-4.643	-4.805	-0.846	-1.793	-2.272	-3.07	-1.561	-1.547	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.401	-3.057	-0.888	-3.471	-3.106	-0.011	-0.233	-0.195	0.007	0.13	0.127	0.576	0.522	0.009	-0.89	-0.962	-0.925	-1.735	1.497	1.165	0.019	-1.66	-0.815	-4.143	-2.99	-2.002	-3.258	-1.912	-2.61	-0.305	-3.295	0.124	-2.376	-3.4	-2.256	-1.008	-2.674	-3.761	-2.805	-1.946	-2.18
"YLR435W"	-2.312	-2.95	-2.628	-1.607	-2.012	-2.917	-2.415	-0.507	-1.112	-1.518	-1.704	-0.908	-1.197	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-3.819	-1.636	-0.607	-1.506	-2.134	0.08	-0.343	-0.69	-0.257	0.052	-0.105	0.416	0.117	-0.285	-0.65	-0.736	-0.902	-0.962	0.616	0.421	-0.405	-1.591	-0.78	-3.297	-1.63	-0.822	-1.86	-1.038	-1.628	0.044	-1.873	-0.221	-2.429	-2.231	-2.112	-1.349	-2.662	-4.563	-2.595	-2.03	-1.457
"YML080W"	-1.768	-2.221	-2.019	0.164	-1.716	-0.95	-1.854	0.0	-1.04	-1.668	-2.018	-0.384	-0.274	-3.965	-2.843	-1.705	-2.582	-1.617	-2.166	-5.947	-1.388	-0.598	-2.386	-2.094	0.146	0.032	-0.477	-0.145	0.062	0.054	0.371	0.422	-0.038	-0.583	-0.526	-0.615	-0.485	1.058	0.808	-0.339	-0.776	-0.474	-2.219	-1.497	-0.694	-1.486	-1.414	-0.997	-0.325	-0.5	-0.186	-3.547	-3.687	-2.739	-1.374	-1.601	-3.22	-2.176	-1.929	-1.161
"YMR131C"	-3.068	-4.819	-4.183	-2.431	-3.849	-4.525	-4.347	-1.212	-1.327	-1.821	-3.041	-1.248	-0.997	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-6.665	-3.153	-0.65	-3.547	-2.98	0.306	0.002	-0.911	-0.03	0.176	0.289	0.826	0.577	-0.17	-0.906	-0.881	-0.606	-1.363	0.745	0.569	-0.294	-1.718	-0.866	-4.674	-2.526	-1.638	-2.228	-1.145	-2.286	-0.097	-1.937	0.183	-2.123	-3.866	-3.136	-1.519	-2.944	-4.181	-2.68	-1.908	-1.253
"YNL002C"	-3.547	-4.666	-4.07	-1.784	-3.305	-4.559	-4.222	-0.61	-1.118	-1.834	-3.653	-1.105	-1.244	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-3.468	-2.839	-0.578	-3.072	-2.59	0.124	-0.668	-0.998	-0.37	-0.21	0.127	0.746	0.492	-0.226	-0.99	-1.187	-0.937	-1.349	1.193	0.982	-0.273	-1.453	-1.02	-4.603	-2.334	-1.705	-2.612	-1.696	-1.375	-0.294	-2.639	0.0375	-3.249	-3.481	-2.594	-1.228	-2.649	-4.466	-2.41	-2.181	-2.033
"YNL060C"	-1.731	-2.662	-3.546	-1.721	-2.78	-3.921	-3.668	-0.573	-1.484	-1.743	-2.01	-0.981	-1.337	-5.032	-2.43	-2.244	-2.105	-0.912	-2.428	-3.243	-2.061	-0.355	-2.119	-1.685	-0.018	0.137	-0.783	0.201	-0.028	-0.167	0.753	0.34	-0.109	-0.746	-1.003	-0.983	-0.804	1.542	1.233	-0.231	-1.36	-0.886	-4.389	-2.692	-1.856	-3.038	-1.97	-2.461	0.2	-3.386	0.048	-1.655	-3.38	-2.089	-1.556	-2.147	-3.208	-2.173	-1.48	-2.316
"YNL061W"	-3.447	-4.928	-3.927	-1.543	-4.143	-4.404	-3.948	-0.437	-1.749	-1.98	-2.724	-1.279	-1.65	-4.329	-2.031	-1.794	-1.22	-1.061	-1.547	-4.27	-2.724	-0.228	-2.519	-2.417	0.027	-0.192	-0.819	0.029	-0.35	0.14	0.927	0.59	-0.213	-0.916	-0.998	-1.031	-1.362	1.618	1.303	0.096	-1.224	-0.73	-5.38	-2.816	-1.925	-2.646	-1.72	-2.079	-0.19	-2.95	-0.0205	-3.059	-3.925	-2.946	-1.676	-1.808	-2.571	-1.387	-1.085	-1.847
"YNL132W"	-2.988	-4.679	-5.146	-2.394	-3.658	-3.329	-4.954	-0.762	-1.943	-2.891	-4.644	-1.718	-1.682	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-6.392	-3.883	-1.371	-3.285	-3.141	0.344	0.045	-0.829	0.008	0.218	0.14	0.863	0.569	-0.156	-1.185	-1.068	-1.121	-1.837	1.683	1.79	-0.197	-1.974	-1.335	-3.45	-2.48	-1.999	-2.637	-1.934	-2.541	-0.43	-2.688	0.3195	-3.651	-4.311	-2.617	-1.778	-2.948	-3.989	-2.673	-2.3	-1.735
"YNL141W"	-3.887	-3.622	-3.468	-2.53	-3.233	-3.112	-3.624	-1.194	-2.164	-2.82	-2.686	-1.935	-1.454	-5.105	-3.596	-3.239	-3.348	-3.426	-3.35	-4.776	-2.744	-0.745	-2.833	-2.936	0.413	0.181	-1.103	-0.129	0.097	0.457	1.144	0.689	-0.258	-1.572	-1.418	-1.344	-1.529	1.201	1.236	-0.703	-1.35	-1.21	-3.291	-3.502	-2.798	-3.899	-3.232	-3.127	-1.298	-4.212	0.243	-3.806	-3.821	-2.855	-1.942	-2.951	-4.363	-3.307	-2.679	-2.256
"YNL227C"	-2.264	-1.71	-0.968	-0.758	-1.193	-0.471	-1.355	-0.033	-1.185	-0.71	-0.779	-0.333	-0.369	-2.564	-1.37	-0.465	-0.54	-0.589	-0.301	-3.134	-1.378	0.005	-1.802	-1.398	0.062	-0.042	-0.652	-0.305	-0.267	-0.135	0.452	0.256	-0.247	-0.841	-0.879	-0.826	-0.689	0.239	0.262	-0.204	-0.162	-0.775	-1.165	-1.499	-1.092	-1.394	-0.97	-1.162	0.118	-1.058	0.039	-2.481	-2.201	-1.502	-0.588	-2.229	-3.556	-1.838	-1.1	-1.097
"YNL308C"	-3.076	-3.929	-1.689	-0.755	-2.757	-3.366	-3.336	-0.848	-1.485	-2.013	-2.488	-0.7	-0.933	-4.351	-2.623	-2.15	-2.256	-1.607	-1.693	-2.686	-2.473	-0.401	-2.614	-2.202	-0.144	0.347	-1.026	-0.222	0.121	-0.074	0.459	0.268	-0.256	-0.828	-0.93	-0.987	-1.181	0.944	0.659	0.242	-1.01	-0.597	-3.272	-2.602	-1.768	-2.545	-1.536	-2.764	-0.291	-2.623	0.05	-4.501	-4.586	-2.561	-1.77	-2.337	-3.307	-2.409	-1.94	-1.402
"YNL313C"	-3.06	-3.472	-3.026	-1.419	-2.399	-2.935	-3.02	-1.115	-1.083	-1.945	-1.887	-0.75	-0.919	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-5.714	-2.852	-0.297	-3.129	-2.948	0.244	0.277	-0.698	-0.125	-0.138	0.22	0.795	0.57	-0.1	-0.508	-0.452	-0.348	-0.934	0.614	0.849	0.148	-0.962	-0.547	-3.009	-2.161	-1.226	-2.263	-1.239	-1.754	-0.428	-2.292	-0.095	-3.183	-2.824	-2.352	-1.047	-1.835	-3.85	-2.129	-1.672	-1.289
"YOR206W"	-3.294	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	-0.623	-1.51	-2.192	-3.849	-1.554	-0.97	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-6.4785	-2.919	-0.1925	-3.1625	-1.9445	0.155	-0.145	-1.027	-0.288	0.13	0.247	0.753	0.555	-0.152	-1.25	-1.25	-1.17	-1.499	1.327	1.209	-0.415	-1.716	-1.234	-5.066	-2.957	-1.76	-3.013	-1.528	-2.89	-0.393	-2.693	0.147	-3.782	-3.839	-2.816	-1.474	-2.539	-4.817	-2.585	-1.507	-2.892
"YOR294W"	-3.856	-4.574	-3.828	-2.336	-3.73	-4.407	-3.632	-0.049	-1.275	-1.692	-3.3475	-0.574	-1.537	-5.6475	-2.427	-1.914	-1.2675	-0.7345	-1.3525	-5.2465	-2.791	-0.2585	-3.318	-1.8445	0.084	-0.649	-1.425	-0.568	-0.031	0.197	0.866	0.513	-0.458	-1.278	-1.24	-1.014	-1.199	0.666	1.379	-0.18	-1.381	-1.042	-4.852	-2.729	-1.501	-2.527	-1.022	-2.423	-0.378	-3.102	0.066	-3.894	-4.841	-3.679	-1.729	-2.74	-5.145	-2.254	-1.895	-2.638
"YOR309C"	-3.819	-4.991	-4.328	-1.906	-3.697	-5.523	-5.514	-1.663	-1.808	-2.373	-3.838	-1.205	-1.204	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-6.859	-3.07	-0.975	-3.709	-3.9105	0.043	0.255	-0.261	0.189	0.297	0.15	0.563	0.634	0.089	-1.002	-0.558	-0.976	-1.4	1.648	1.524	-0.133	-1.968	-0.858	-4.939	-3.13	-1.903	-3.264	-1.846	-3.161	-0.307	-3.189	0.051	-2.204	-2.102	-0.274	-1.1	-3.28	-4.097	-3.518	-2.477	-2.277
"YOR310C"	-4.866	-5.053	-4.365	-2.174	-3.309	-4.639	-3.004	-1.081	-1.747	-2.161	-3.57	-1.291	-1.367	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-7.1385	-3.101	-1.0005	-3.766	-3.585	0.18	0.203	-0.481	-0.079	0.038	0.245	0.582	0.641	-0.205	-0.905	-0.845	-0.871	-1.628	1.702	1.407	-0.17	-1.8115	-0.965	-4.948	-3.17	-1.755	-3.489	-1.697	-2.765	-0.196	-2.68	0.099	-3.619	-4.326	-3.006	-1.468	-4.629	-5.14	-4.292	-3.502	-2.438
