	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"78.cdc 15 010 min"	"79.cdc15 050 min"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1662.cdc15 030 min"	"1679.Elutriation2:Sample2:Time6.0hrs"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"
"YGL078C"	0.665	0.446	0.367	-0.328	0.861	0.852	-3.709	-4.399	-3.428	1.47	1.485	1.169	0.736	1.482	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	-2.914	-2.134	-1.979	-4.196	-1.879	-1.744	-2.103	-1.515	-2.198	1.616	1.142	-0.884	1.63	1.471	-4.147	-1.587	-3.53	-2.245	-1.151	-3.576	-1.995	-4.176	-2.945	-2.745	-2.258	-1.293	2.108	1.307	2.328
"YGL120C"	1.066	0.927	0.109	0.069	1.277	0.581	-3.231	-3.954	-3.877	1.075	1.116	0.987	-0.1	1.168	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-2.813	-3.459	-2.178	-1.783	-2.866	-3.888	-4.137	0.531	0.913	-0.664	1.31	0.824	-3.8	2.358	-2.891	-3.416	-1.183	-3.546	-0.554	-2.25	-2.131	-5.156	-0.866	-1.554	1.006	1.596	0.795
"YGR085C"	1.039	0.995	0.829	0.685	0.228	0.824	-1.952	-2.966	-3.664	1.473	1.133	1.122	1.922	1.043	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-2.215	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	2.15	0.571	-0.16	0.88	0.455	-2.908	-0.279	-4.004	-2.792	-2.272	-3.45	-3.003	-1.471	-1.698	-1.091	-1.884	-0.521	0.75	2.204	1.115
"YGR103W"	0.711	0.72	-0.176	-0.014	0.946	0.773	-5.229	-5.118	-3.624	1.487	1.243	1.223	0.325	1.273	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-2.251	-2.402	-1.634	-4.861	-2.918	-2.95	-2.768	-3.578	-3.882	1.312	1.07	-1.419	2.11	1.99	-5.075	1.099	-3.1195	-2.6665	-1.548	-4.287	-2.4	-2.261	-4.308	-2.93	-2.48	-1.186	1.6655	0.851	1.6325
"YGR148C"	0.713	0.258	0.343	0.354	0.225	0.476	-2.184	-2.942	-3.2425	1.076	0.859	0.933	2.343	0.521	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.011	-2.722	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	2.221	0.285	-0.393	0.661	0.798	-2.591	3.556	-3.53	-2.779	-2.133	-3.103	-2.693	-1.5625	-1.505	-1.8415	-1.066	-1.356	1.019	1.846	1.669
"YGR158C"	0.163	0.04	-0.345	-0.029	0.101	0.181	-1.3315	-1.451	-1.544	0.972	0.674	0.497	0.902	1.135	-2.111	-0.958	-0.975	-1.675	-1.137	-1.405	-2.12	-2.421	-1.661	-1.147	-1.384	-1.205	-1.068	-1.121	-1.365	-1.801	-2.176	0.903	-0.02	-0.701	0.301	0.129	-1.6075	1.4475	-1.386	-1.133	-0.454	-2.299	-0.631	-1.874	-1.3705	-1.5995	-1.547	-0.8945	-0.117	-0.266	0.907
"YGR264C"	0.622	0.266	0.112	-0.222	0.319	0.495	-2.2015	-2.2555	-2.419	1.02	0.85	0.737	1.873	1.572	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-3.49	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	1.904	0.042	-0.933	0.824	1.03	-2.154	0.166	-3.556	-2.673	-1.736	-3.33	-3.082	-1.979	-2.475	-2.845	-2.239	-2.046	-0.144	2.27	0.343
"YHR203C"	0.701	0.411	0.405	0.946	-0.358	0.28	-2.0645	-2.8785	-3.5975	1.231	1.011	0.884	2.714	1.292	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.917	-3.774	-3.049	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	2.739	-0.013	0.032	1.242	0.597	-2.809	2.638	-4.467	-3.308	-2.46	-3.717	-3.449	-2.535	-3.044	-3.459	-1.406	-1.906	0.714	1.532	1.409
"YIL018W"	0.947	0.825	0.743	0.849	-0.522	-0.087	-2.4325	-3.509	-3.965	1.253	1.177	1.056	2.16	1.498	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-3.505	-3.151	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	2.689	-0.439	-0.044	0.649	0.831	-3.4165	1.224	-4.277	-3.397	-2.864	-4.06	-3.676	-2.277	-2.962	-2.689	-2.573	-2.031	1.321	0.761	2.013
"YJL069C"	0.569	0.487	-0.211	-0.18	1.193	0.45	-3.073	-2.9805	-3.0365	1.0	0.854	0.756	0.959	1.585	-4.742	-2.843	-2.261	-2.587	-2.233	-2.386	-3.072	-6.298	-1.49	-2.566	-1.513	-2.694	-1.863	-1.855	-1.613	-1.653	-2.017	0.968	0.826	-0.359	0.845	-0.61	-3.224	NaN	-1.21	-2.027	-1.846	-2.354	-1.803	-3.223	-3.75	-1.763	-2.393	-1.892	0.993	0.724	1.189
"YJL122W"	0.836	0.725	0.152	0.195	1.261	1.053	-2.6115	-3.015	-2.6085	1.424	1.147	1.228	0.476	0.541	-4.13	-2.475	-2.636	-2.364	-2.423	-1.794	-3.846	NaN	-2.718	-2.694	-2.9	-1.834	-1.889	-1.753	-1.189	-1.743	-2.04	0.695	1.357	-0.569	1.682	1.419	-2.9625	1.019	-2.529	-2.241	-1.562	-3.406	-2.805	-1.562	-2.003	-2.066	-1.293	-0.691	0.749	1.202	1.138
"YJR069C"	0.223	0.14	-0.0665	0.1225	0.447	0.337	-0.9195	-1.1045	-1.034	0.702	0.656	0.705	0.359	0.434	-2.056	-1.976	-1.414	-2.026	-2.741	-2.017	-3.527	-4.151	-1.806	-1.64	-0.539	-1.021	-1.358	-1.09	-1.656	-1.806	-1.42	0.341	0.257	-0.119	0.323	0.196	-1.066	2.077	-1.467	-1.181	-0.635	-1.685	-2.036	-1.324	-1.458	-0.579	-1.675	-1.523	0.165	1.299	0.239
"YKL009W"	0.819	0.299	0.044	-0.473	1.103	1.059	-3.58	-4.1895	-4.13	1.489	1.639	1.192	0.293	0.698	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.144	-2.368	2.263	-4.341	-2.432	-2.856	-2.349	-3.318	-2.938	0.683	1.325	-1.054	1.597	1.385	-4.4285	1.956	-2.602	-2.728	-0.409	-4.823	-3.636	NaN	-7.56	-2.617	-5.497	-1.507	1.483	1.492	1.682
"YKL120W"	0.15	0.328	-0.089	0.0	0.341	0.456	-0.996	-1.027	-1.042	0.697	0.637	0.429	1.451	-0.128	-2.314	-1.545	-1.282	-1.271	-1.366	-0.401	-1.849	-1.571	-1.941	-1.416	-1.067	-1.132	-0.796	-0.631	-0.681	-0.911	-1.061	1.537	0.438	-0.22	0.391	0.102	-1.148	0.781	-3.329	-2.523	-1.737	-3.341	-2.584	-0.006	0.423	-1.335	-1.38	0.332	0.442	1.961	0.135
"YLL011W"	0.865	0.496	-0.462	-0.24	1.423	0.646	-1.871	-2.297	-3.65	1.3	1.238	0.917	0.424	0.773	-4.731	-2.872	-2.311	-2.362	-2.077	-2.646	-1.781	-4.961	-3.053	-2.081	-1.637	-3.178	-1.771	-1.944	-2.156	-2.442	-2.375	0.756	1.102	-0.899	1.157	0.98	-3.689	0.65	-2.144	-1.596	-1.132	-2.793	-2.117	-1.008	-1.707	-1.89	-3.014	-0.56	0.81	1.405	0.882
"YLL044W"	0.831	0.757	0.713	0.871	-0.415	0.173	-2.526	-3.582	-4.162	1.121	1.115	1.006	2.306	1.502	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-3.031	-2.156	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	2.272	-0.118	-0.205	0.996	0.87	-3.517	2.188	-3.189	-2.774	-2.055	-3.806	-2.77	-2.146	-2.632	-1.041	-0.862	-1.827	0.925	1.217	1.296
"YLL045C"	1.171	1.088	0.884	1.063	-0.33	0.361	-2.105	-3.116	-3.722	1.394	1.348	1.206	2.311	1.742	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-2.744	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	2.059	0.084	0.228	1.273	0.9	-3.545	1.167	-3.449	-2.833	-2.875	-3.788	-3.87	-1.125	-1.421	-1.64	-1.948	-0.815	0.825	0.531	1.48
"YLR008C"	-0.022	0.117	0.194	0.137	0.713	0.076	-0.96	-1.188	-1.228	0.683	0.447	0.478	0.613	0.195	-0.786	-0.359	-0.913	-1.359	-2.075	-1.504	-2.048	-2.631	-1.785	-1.066	-1.947	-1.092	-1.736	-1.493	-1.242	-1.503	-2.347	0.485	0.428	-0.115	0.78	0.477	-1.399	1.112	-1.043	-0.138	-0.776	-0.937	-1.365	0.651	-0.465	-0.839	-0.137	0.841	-0.244	0.761	0.363
"YLR175W"	0.563	0.618	0.441	-0.124	0.362	0.327	-3.679	-4.552	-4.902	1.215	1.304	1.12	0.778	1.264	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.996	-3.068	-3.152	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	1.55	0.345	-0.889	1.396	1.277	-4.431	0.619	-3.995	-3.16	-1.549	-4.338	-2.959	-3.423	-3.083	-2.593	-2.074	-1.981	1.272	1.575	1.418
"YLR249W"	0.886	0.943	0.698	0.359	0.276	-0.409	-3.122	-4.232	-4.758	1.359	1.219	0.978	0.728	1.381	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-3.879	-4.141	-3.199	-4.679	-3.131	-3.778	-3.883	-4.549	-4.992	1.6	0.036	-1.058	1.075	1.274	-4.59	1.423	-5.053	-5.102	-2.604	-5.085	-4.9	-2.945	-3.861	-4.463	-2.262	-1.802	2.084	1.069	2.062
"YLR342W"	0.0285	0.336	0.4895	0.17	0.276	0.7275	-1.39	-1.276	-1.603	0.129	-0.077	-0.031	0.171	1.299	-1.693	-0.732	-0.704	-0.653	-1.337	-0.497	-0.873	-2.686	-1.462	-1.154	-2.412	-1.594	-1.693	-1.367	-1.208	-0.933	-1.564	0.773	0.483	-0.339	0.802	1.066	-1.514	0.739	-2.101	-1.7595	-1.2395	-1.2085	-1.453	-1.475	-1.122	-1.471	-1.673	0.367	0.0065	0.5745	0.687
"YML026C"	NaN	NaN	NaN	NaN	-0.034	0.383	-2.104	-3.139	-3.539	0.441	0.972	1.104	1.729	0.731	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-3.779	-3.636	-3.217	-3.572	-2.873	-2.821	-2.898	-2.803	-2.821	1.943	0.127	NaN	0.959	1.057	-3.032	2.142	-4.522	-3.396	-2.98	-4.595	-3.765	-1.576	-3.083	-2.657	-1.677	-2.549	1.515	2.151	1.284
"YMR080C"	0.031	0.151	-0.226	-0.241	0.256	0.11	-0.965	-0.739	-0.824	0.557	0.543	0.571	0.71	1.575	-0.595	-0.903	-0.438	-0.494	-0.657	-0.563	-0.935	-2.426	-1.112	-1.124	-0.192	-0.682	-0.723	-0.733	-0.992	-0.812	-1.033	0.633	0.131	-0.481	0.663	0.894	-1.244	4.116	-0.794	-1.492	-1.374	-1.392	-1.235	-0.766	-0.517	-1.301	-1.031	-0.606	0.732	1.804	0.331
"YMR108W"	0.3885	-0.017	0.175	-0.042	-0.084	-0.189	-1.378	-1.01	-1.273	0.477	0.496	0.39	0.826	1.794	-3.633	-0.934	-0.96	-0.786	-0.739	-0.41	-1.256	-2.477	-2.287	-1.784	-1.089	-1.305	-0.582	-0.836	-0.647	-0.925	-1.957	1.089	-0.391	-0.1725	0.975	0.215	-1.28	1.537	-2.375	-2.156	-1.358	-3.767	-1.84	-0.249	-0.252	-0.785	-1.201	0.389	-0.059	0.854	-0.039
"YMR131C"	1.156	0.883	0.525	0.286	2.018	1.0	-4.183	-4.525	-4.347	1.141	0.906	0.972	0.69	1.586	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	-3.081	-4.277	-2.829	-3.214	-4.236	-5.241	-4.266	1.251	0.532	-0.948	0.745	0.569	-4.674	0.878	-1.412	-2.944	-2.054	-4.181	-2.68	-2.568	-2.513	-2.742	-3.442	-1.935	1.201	0.273	1.53
"YMR242C"	0.718	0.822	0.67	0.515	-0.839	0.51	-2.539	-3.309	-3.708	1.262	1.333	1.294	2.345	0.875	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-3.62	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	2.029	-0.129	-0.526	0.993	0.842	-3.054	2.334	-4.158	-3.141	-2.446	-4.607	-3.588	-1.628	-2.314	-1.514	-1.417	-0.92	0.29	1.954	1.593
"YMR290C"	0.797	0.677	0.24	-0.164	1.132	0.658	-3.689	-3.89	-3.624	0.988	1.028	1.098	0.874	1.944	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.243	-3.378	-2.846	-4.614	-3.295	-3.716	-3.219	-3.665	-2.938	1.315	0.902	-1.011	1.486	1.629	-4.129	1.495	-4.028	-3.856	-2.84	-4.544	-3.558	-2.743	-2.311	-3.104	-1.514	-0.914	1.523	0.941	1.893
"YMR309C"	0.343	0.109	0.315	-0.023	0.696	0.319	-1.773	-2.53	-3.055	1.103	1.08	1.097	1.165	2.29	-3.127	-2.334	-1.924	-1.851	-1.855	-1.52	-3.731	-3.516	-2.787	-2.363	-2.64	-3.374	-1.926	-2.303	-3.144	-3.173	-3.384	1.124	-0.539	-0.137	1.289	1.269	-2.63	1.0995	-3.723	-3.06	-2.126	-3.181	-2.122	-2.857	-2.476	-2.415	-1.323	-1.642	1.057	0.269	1.133
"YNL096C"	0.151	0.266	0.111	0.043	NaN	NaN	-2.093	-2.881	-3.202	1.017	0.749	0.741	2.487	1.383	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-3.165	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	2.416	NaN	-0.479	1.315	1.004	-2.812	0.3735	-3.52	-2.764	-2.627	-3.087	-3.372	-2.268	-2.714	-2.548	-0.807	-1.34	0.654	1.285	1.358
"YNL119W"	0.955	0.885	0.411	0.465	0.039	0.326	-2.262	-2.438	-3.435	1.189	1.033	0.844	1.834	1.229	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-3.359	-3.366	-2.998	-3.55	-1.955	-2.206	-2.822	-2.843	-3.318	2.478	0.18	-0.118	0.798	0.82	-2.524	0.2195	-3.587	-2.801	-2.871	-4.042	-2.748	-1.879	-2.164	-2.084	-1.808	-1.087	0.491	1.835	1.303
"YNL132W"	0.534	0.558	0.299	-0.15	0.923	0.521	-5.146	-3.329	-4.954	1.008	0.683	0.542	0.685	1.975	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.512	-4.353	-2.799	-2.936	-3.396	-4.377	-4.049	1.586	0.881	-0.75	1.683	1.79	-3.45	0.8095	-2.994	-2.948	-2.325	-3.989	-2.673	-2.677	-2.128	-1.908	-1.989	-1.093	1.861	0.416	1.766
"YNL248C"	0.836	0.805	0.382	-0.277	1.085	0.473	-4.315	-4.455	-4.373	1.117	1.227	1.182	1.201	1.61	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.866	-3.014	-3.947	-5.072	-2.444	-2.924	-2.98	-3.902	-3.609	1.045	0.73	-0.898	1.136	1.25	-4.868	1.867	-4.652	-4.217	-2.416	-6.193	-3.878	-3.538	-1.879	-3.595	-1.967	-0.929	2.002	1.379	1.888
"YNL313C"	0.861	0.793	0.208	-0.102	0.974	0.791	-3.026	-2.935	-3.02	0.923	0.673	0.694	0.53	1.474	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-1.914	-2.839	-1.333	-1.551	-2.01	-2.343	-2.518	1.131	1.103	-0.82	0.614	0.849	-3.009	2.198	-1.867	-1.835	-1.525	-3.85	-2.129	NaN	-1.13	-1.4	-1.952	-0.158	0.328	1.038	-0.513
"YOL077C"	1.019	0.607	0.474	-0.221	0.908	0.774	-5.04	-5.22	-4.28	1.476	1.273	-0.096	0.472	0.979	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-4.174	-0.219	-1.374	-3.705	-2.549	-3.046	-3.299	-3.894	-4.326	1.091	0.944	-1.144	0.978	1.214	-4.7	1.478	-2.855	-2.586	-2.262	-5.145	-2.894	-3.742	-2.522	-2.623	-2.653	-1.858	1.248	0.522	1.639
"YOR168W"	0.324	0.415	0.13	0.174	0.598	0.133	-0.982	-1.309	-1.42	0.785	0.772	0.6345	1.696	1.925	-1.809	-1.703	-1.762	-1.3715	-1.261	-1.7945	-1.984	-4.808	-1.5105	-1.538	-1.355	-2.516	-1.54	-1.525	-2.348	-2.353	-2.604	1.642	0.502	-0.016	0.679	0.751	-1.415	1.712	-1.549	-1.695	-1.533	-1.407	-1.265	-2.073	-1.871	-2.446	-1.977	-1.283	2.048	0.379	1.451
"YOR206W"	0.784	0.875	0.245	0.116	0.9	0.7	-3.702	-5.083	-4.513	1.184	1.088	0.951	0.633	1.59	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-6.4785	-3.1625	-1.9445	-1.9925	-3.888	-2.451	-2.637	-3.151	-3.692	-3.694	1.152	0.882	-1.056	1.327	1.209	-5.066	0.97	-3.193	-2.539	-1.324	-4.817	-2.585	-6.119	-3.274	-2.425	-1.737	-1.906	1.733	0.989	0.696
"YOR243C"	0.267	0.226	0.078	-0.217	0.308	-0.3	-3.234	-3.633	-3.982	1.203	1.139	1.2455	0.216	1.18	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-2.588	-2.1815	-2.414	-3.635	-2.179	-2.726	-2.865	-4.484	-3.863	0.674	-0.345	0.212	1.638	1.579	-4.099	1.833	-1.759	-1.808	-1.803	-2.825	-2.065	-3.202	-2.909	-2.358	-2.809	-1.977	1.116	0.76	0.327
