	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2558.1M sorbitol vs. YPD - basal"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"7761.Na 60min"	"8197.steady state 25 dec C"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"
"YHR066W"	-2.6315	-3.7505	-3.0515	-2.9815	-3.762	-3.552	1.163	0.133	-1.7305	-2.046	-1.254	-1.993	-2.473	-2.073	-1.432	-1.036	-4.885	-2.062	-3.164	-5.203	-2.29	-2.974	-1.469	-1.41	-1.879	-2.539	-1.923	-0.101	0.136	-0.12	0.466	-1.159	-0.228	-1.328	-0.855	-0.895	-1.041	-0.937	-1.684	-2.447	-1.738	0.383	-1.507	-0.892	-4.347	-1.494	-2.551	-3.068	-1.906	-1.292	-2.219	-2.382
"YJR041C"	-3.138	-3.1145	-2.365	-1.6395	-2.2375	-2.9255	1.119	0.092	-2.049	-2.113	-0.769	-1.667	-2.186	-1.824	-1.241	-1.201	-3.864	-2.277	-3.322	-4.286	-1.797	-1.873	-1.532	-1.752	-2.965	-2.872	-2.952	0.182	0.019	0.45	-0.142	-0.854	-0.0875	-0.733	-0.894	-0.554	-0.9	-0.563	-1.057	-1.754	-1.639	0.214	-0.97	-0.744	-2.673	-0.591	-2.551	-2.796	-2.274	-1.083	-3.021	-3.443
"YKR056W"	-3.646	-4.01	-3.872	-2.945	-3.217	-3.127	1.171	-0.156	-1.83	-2.566	-1.123	-1.962	-2.718	-2.101	-1.554	-1.038	-4.495	-2.575	-3.298	-4.34	-2.352	-2.379	-1.64	-1.597	-2.627	-3.787	-3.544	-0.068	0.402	-0.177	-0.129	-1.019	-0.155	-0.817	-0.769	-0.447	1.144	-0.548	-1.875	-2.896	-1.713	0.494	-0.763	-0.601	-3.682	-1.644	-1.97	-2.586	-2.146	-1.597	-2.061	-3.056
"YLR129W"	-4.191	-4.096	-3.022	-2.347	-3.676	-3.658	0.833	-0.138	-1.9	-3.455	-1.525	-0.933	-2.548	-1.12	-1.768	-0.629	-4.83	-2.28	-2.877	-4.914	-3.214	-3.12	-1.83	-1.99	-2.714	-2.42	-3.068	-0.048	-0.281	0.079	0.139	-1.221	-0.376	-0.84	-0.849	-0.597	-0.804	-0.945	-1.53	-2.343	-1.807	0.13	-1.327	-0.859	-4.108	-1.08	-4.157	-4.374	-2.07	-0.673	-3.858	-4.119
"YLR276C"	-3.536	-4.199	-3.855	-3.331	-3.732	-4.143	1.132	0.055	-2.11	-3.073	-1.298	-1.697	-2.616	-1.884	-1.687	-1.31	-4.467	-2.163	-3.174	-5.399	-2.381	-2.386	-1.72	-1.889	-1.866	-3.17	-3.081	-0.042	0.185	-0.174	-0.088	-1.2	-0.192	-1.104	-0.961	-0.966	-1.006	-0.964	-1.579	-2.531	-1.558	0.512	-1.375	-0.905	-2.51	-1.305	-3.95	-4.014	-2.707	-1.724	-2.803	-3.838
"YLR409C"	-4.088	NaN	-3.176	-2.574	-3.696	-3.852	0.947	0.198	-2.082	-3.427	-1.406	-2.17	-2.715	-2.325	-1.686	-1.295	-4.402	-2.709	-3.204	-4.211	-2.874	-2.308	-1.928	-2.024	-2.713	-3.315	-3.47	0.202	0.274	-0.106	0.013	-1.493	-0.282	-0.919	-0.809	-0.869	-0.786	-0.854	-1.737	-1.911	-1.548	0.353	-1.55	-1.078	-4.473	-1.255	-3.152	-2.812	-1.603	-1.405	-2.584	-3.231
"YMR014W"	-3.368	-3.36	-1.984	-1.961	-2.533	-2.14	1.135	0.041	-1.636	-2.425	-0.767	-1.283	-2.131	-2.164	-1.418	-1.192	-3.923	-1.56	-2.024	-4.826	2.39	-2.229	-1.139	-1.587	-1.774	-1.985	-1.778	0.123	0.052	-0.241	0.147	-1.076	-0.473	-0.838	-0.86	-0.904	-1.201	-0.969	-1.514	-1.437	-0.57	0.375	-1.295	-0.834	-2.796	-1.404	-3.779	-3.477	-2.718	-1.473	-2.736	-3.974
"YNL062C"	-2.043	-3.459	-2.934	-2.143	-3.093	-2.844	1.074	0.049	-1.304	-1.873	-1.31	-1.303	-1.917	-1.508	-0.829	-0.336	-4.157	-2.785	-3.07	-6.263	-2.538	-2.304	-1.441	-1.91	-1.717	-2.639	-2.206	0.064	-0.123	0.065	-0.003	-0.582	-0.016	-0.675	-0.729	-0.344	-0.472	-0.413	-1.032	-1.772	-1.297	0.094	-1.0	-0.44	-2.71	-1.069	-3.32	-4.112	-2.584	-1.365	-2.778	-2.838
"YNL313C"	-3.06	-3.472	-3.026	-2.399	-2.935	-3.02	0.923	0.166	-1.945	-1.887	-1.132	-1.493	-2.31	-1.97	-1.468	-1.03	-4.999	-2.695	-3.628	-5.714	-2.852	-3.129	-1.095	-1.333	-2.01	-2.343	-2.518	0.244	0.081	0.311	0.106	-0.589	-0.1	-0.57	-0.631	-0.508	-0.452	-0.348	-1.094	-1.939	-1.572	0.39	-0.962	-0.547	-3.009	-0.755	-3.183	-2.824	-2.352	-1.047	-1.81	-3.85
"YOR287C"	-1.639	-3.97	-2.174	-2.322	-3.247	-2.585	1.303	-0.582	-1.998	-2.516	-1.154	-1.758	-2.167	-2.019	-1.664	-1.44	-3.973	-1.9405	-1.4075	-2.752	-1.7665	-2.833	-1.897	-1.159	-1.379	-1.621	-2.266	0.016	0.051	-0.337	-0.023	-1.209	-0.257	-1.411	-1.481	-1.512	-1.23	-1.33	-1.751	-1.823	-1.581	0.108	-2.1335	-1.164	-2.646	-1.605	-3.301	-3.942	-2.391	-1.174	-2.109	-3.411
"YPL207W"	-2.155	-3.26	-2.94	-2.29	-3.419	-2.713	0.819	0.034	-2.143	-2.042	-1.0465	-1.222	-1.3055	-1.9435	-1.5795	-1.1325	-2.321	1.2095	-1.827	-3.832	-2.0445	-1.9425	-0.522	-1.047	-2.101	-2.319	-2.628	0.018	0.269	0.208	0.091	-0.647	-0.038	-0.643	-1.349	-1.055	-0.897	-0.717	-1.236	-2.017	-1.784	0.229	-0.851	-0.696	-0.968	-1.061	-2.092	-3.502	-1.519	-0.607	-2.636	-3.018
"YPR144C"	-1.792	-4.441	-4.211	-2.783	-3.783	-3.366	1.086	-0.249	-1.485	-2.613	-1.378	-1.765	-2.554	-1.9485	-1.342	-0.8905	-3.855	-1.9705	-3.129	-4.2065	-2.4285	-2.0425	-1.439	-1.4	-1.687	-2.51	-2.411	-0.027	0.12	-0.312	0.207	-0.639	-0.208	-0.932	-1.038	-0.684	-0.585	-0.38	-1.575	-1.376	-0.956	0.266	-1.284	-0.413	-4.107	-1.48	-3.581	-3.213	-2.381	-1.442	-2.677	-3.937
