	"55.Elutriation2:Sample2:Time3.0hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"21666..24 mM H2O2- 055 minutes"
"YDR062W"	-0.003	0.259	0.206	0.17	0.228	-0.545	-0.457	-1.716	-2.711	-0.867	-1.017	-0.818	-1.085	-0.838	-1.532	-1.335	1.452	-0.23	-0.021	0.201	0.1375	-0.774	-0.827
"YDR189W"	0.083	0.241	0.271	0.259	0.297	-0.735	-0.956	-1.871	-2.842	-0.824	-0.968	-0.801	-0.693	-0.704	-1.597	-1.904	-2.063	-0.041	-0.062	-0.308	-0.311	-0.9815	-0.334
"YDR277C"	-0.386	-0.222	-1.263	-1.171	-0.027	2.591	2.645	3.712	3.975	2.556	2.28	2.291	2.071	2.921	2.764	3.981	3.816	-0.002	0.743	0.547	0.779	1.765	0.193
"YDR341C"	0.501	-0.118	0.688	0.703	0.462	-1.574	-1.681	-3.212	-5.262	-2.134	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.1	-0.128	-0.788	-0.307	-1.562	-0.957
"YDR372C"	-0.018	0.069	0.48	0.44	0.535	-0.731	-0.865	-1.786	-3.333	-1.157	-1.235	-0.7	-0.716	-0.859	-1.291	-1.344	-1.268	0.248	-0.153	-0.275	0.129	-0.666	0.663
"YDR400W"	0.224	-0.05	0.334	0.274	0.27	-1.071	-0.396	-1.379	-2.679	-0.483	-1.082	-1.034	-1.131	-1.185	-0.865	-1.544	-1.405	0.253	-0.052	-0.217	0.17	-0.757	-0.776
"YDR412W"	0.291	0.035	1.278	1.045	0.885	-1.279	-1.15	-1.49	-3.774	-1.135	-2.732	-1.576	-1.601	-1.419	-1.56	-1.959	-1.977	-0.007	-0.177	-1.312	-0.072	-1.534	-0.591
"YDR417C"	0.906	0.406	1.045	0.832	0.691	-2.511	-3.327	-4.279	-5.062	-2.864	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.078	-0.069	-1.455	-0.047	-2.149	-1.454
"YDR447C"	0.423	-0.077	1.205	1.022	0.931	-2.507	-2.465	-3.659	-5.332	-2.813	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.176	0.098	-1.266	-0.21	-2.1165	-1.6315
"YEL042W"	0.603	0.596	0.745	-0.631	0.856	-1.264	-1.261	-3.201	-4.334	-1.329	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.007	-0.299	-0.931	0.158	-1.2195	-1.411
"YEL051W"	0.107	-0.374	0.656	0.469	0.518	-1.113	-1.066	-1.395	-3.143	-1.269	-1.27	-0.85	-0.911	-0.985	-1.877	-1.866	-2.73	-0.169	0.071	0.304	-0.234	-1.3115	-0.0865
"YER117W"	0.911	0.443	1.276	1.391	0.782	-2.008	-1.95	-2.832	-5.642	-2.843	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.308	-0.23	-0.997	-0.148	-1.876	-1.912
"YFL065C"	0.477	0.048	0.012	-0.134	-0.016	1.036	0.423	0.0	1.377	0.515	0.698	0.367	0.895	0.774	1.486	1.46	1.298	-0.025	-0.056	-0.477	-0.23	0.531	-0.1305
"YFR009W"	-0.192	-0.108	0.434	0.407	0.394	-2.017	-1.914	-3.004	-4.932	-1.586	-1.488	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	-0.126	0.165	-0.182	-0.115	-0.923	-0.053
"YFR031BC"	0.664	0.425	1.232	1.306	0.846	-2.798	-2.801	-4.702	-7.029	-3.594	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	-0.05	0.318	-1.422	-0.142	-2.438	-1.535
"YGL031C"	0.877	0.199	1.133	1.047	1.003	-1.846	-3.104	-3.683	-5.763	-3.063	-5.191	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.114	-0.117	-0.963	0.393	-2.655	-0.402
"YGL076C"	0.594	0.282	1.317	1.147	1.006	-2.446	-2.401	-3.976	-5.667	-2.857	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.016	-0.078	-0.901	0.186	-1.8735	-1.3025
"YGL137W"	0.097	0.367	0.302	0.05	-0.388	-1.359	-1.634	-2.113	-3.389	-1.419	-1.372	-0.647	-1.012	-1.197	-2.696	-3.038	-3.308	-0.097	-0.042	-0.567	-0.4	-1.263	-0.274
"YGL157W"	0.055	-0.297	-0.416	-0.769	-0.799	-3.853	-3.767	-3.578	-6.107	-1.999	-1.941	-2.445	-2.738	-2.628	-2.488	-2.817	-3.666	0.279	0.085	1.195	-0.781	-2.632	2.082
"YGL232W"	0.122	-0.413	0.553	0.264	0.218	-0.412	-1.617	-2.079	-2.628	-0.3	-1.152	-0.845	-1.042	-1.033	-1.825	-1.906	-2.353	-0.39	-0.012	0.065	0.097	-0.912	0.18
"YGL245W"	0.144	-0.132	0.521	0.55	0.246	-1.475	-2.145	-4.799	-6.655	-1.699	-1.847	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	-0.194	0.338	-0.591	0.437	-1.658	0.157
"YGR085C"	0.829	0.294	1.473	1.133	1.122	-2.29	-2.146	-3.406	-6.059	-3.013	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.278	0.185	-1.008	0.96	-2.156	-1.047
"YGR185C"	0.264	0.137	0.667	0.691	0.336	-2.13	-2.168	-5.306	-6.361	-2.6	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.181	-0.065	-0.458	0.024	-2.438	0.034
"YGR285C"	-0.159	0.003	1.014	0.764	0.578	-1.645	-1.67	-4.078	-6.1	-1.877	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.15	-0.203	-0.433	0.445	-2.068	-0.704
"YHR019C"	0.369	0.683	1.111	0.875	0.762	-1.831	-2.048	-4.051	-5.077	-2.664	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.071	0.107	-0.508	-0.763	-1.834	-0.343
"YHR025W"	0.639	0.392	0.819	0.702	0.281	-1.993	-1.868	-2.666	-5.429	-2.199	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	-0.196	-0.002	-0.374	-0.312	-1.627	0.324
"YHR063C"	0.22	-0.222	-0.213	0.224	0.316	-1.469	-2.215	-3.309	-4.42	-0.927	-2.142	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.03	-0.461	-0.09	-0.259	-1.701	-0.218
"YHR064C"	0.245	-0.072	0.709	0.778	0.557	-1.77	-1.712	-3.329	-5.238	-2.559	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.069	-0.025	-1.02	-0.095	-2.056	-1.213
"YHR068W"	0.104	0.013	0.968	0.941	0.818	-3.015	-2.166	-4.28	-6.532	-2.526	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.241	-0.023	-0.559	-0.107	-2.29	0.286
"YHR108W"	0.203	0.238	0.303	0.405	0.337	-1.418	-1.911	-2.982	-5.02	-1.712	-1.095	-0.855	-0.773	-1.359	-1.661	-2.122	-1.381	-0.129	-0.204	-0.233	0.113	-1.538	0.472
"YHR133C"	-0.279	0.042	0.854	0.524	0.511	-1.453	-1.561	-1.885	-3.501	-1.622	-1.49	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	-0.043	0.006	-0.602	0.233	-0.395	-0.303
"YHR146W"	0.022	-0.197	-0.126	0.088	-0.403	0.936	0.643	1.468	0.414	0.52	0.0	0.213	0.412	-0.122	0.301	0.896	1.223	0.034	0.559	-0.017	-0.112	-0.485	-0.15
"YHR193C"	0.827	0.387	0.942	0.612	0.574	-1.341	-1.99	-3.11	-4.166	-1.955	-1.731	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	-0.018	-0.197	-0.786	-0.233	-1.764	0.898
"YHR201C"	-0.327	0.034	0.563	0.454	0.447	-2.046	-1.721	-1.811	-4.155	-1.009	-0.817	-1.228	-1.193	-1.428	-1.103	-1.632	-2.134	-0.051	-0.159	-0.447	0.115	-1.989	-0.477
"YHR203C"	0.405	0.594	1.231	1.011	0.884	-2.372	-2.895	-3.782	-5.944	-3.412	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.264	-0.2	-0.83	0.109	-2.302	-1.102
"YHR208W"	-0.085	0.122	0.987	0.831	0.881	-1.397	-1.898	-3.12	-4.064	-1.934	-2.228	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	-0.359	-0.077	0.061	-0.457	-1.267	-0.674
"YHR216W"	0.627	0.115	1.01	0.917	0.816	-1.128	-2.045	-3.15	-4.943	-3.038	-2.554	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	0.163	-0.214	-1.122	-0.145	-1.783	-1.162
"YIL018W"	0.743	0.513	1.253	1.177	1.056	-2.488	-2.78	-3.492	-5.749	-3.056	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.233	-0.126	-1.357	-0.296	-2.495	-1.42
"YIL020C"	-0.024	-0.133	0.637	0.642	0.612	-1.542	-1.241	-2.251	-3.447	-0.702	-0.986	-1.062	-1.134	-1.135	-1.853	-1.943	-1.728	-0.158	-0.117	-0.595	-0.509	-1.289	-0.939
"YIL052C"	0.918	0.422	1.095	0.998	1.136	-2.22	-3.178	-2.895	-6.278	-2.559	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.24	-0.094	-0.875	0.003	-1.743	-0.66
"YIL078W"	0.246	0.017	0.897	0.771	0.648	-2.498	-1.911	-5.192	-6.059	-2.5	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	0.013	-0.529	-0.2295	-2.348	-1.12
"YIL133C"	0.154	0.003	1.02	0.983	0.899	-2.167	-2.883	-2.693	-5.79	-2.194	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.235	-0.373	-1.205	0.12	-2.13	-1.892
"YJL014W"	0.021	0.104	0.698	0.557	0.495	-1.494	-1.383	-2.624	-3.962	-1.425	-1.546	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	0.045	-0.075	-0.108	-0.248	-1.31	-0.221
"YJL125C"	0.069	-0.09	0.945	0.853	0.88	-1.655	-0.934	-2.343	-4.009	-1.484	-1.688	-1.254	-0.819	-0.974	-1.983	-1.697	-1.865	0.278	-0.45	-1.136	-0.121	-1.07	-0.513
"YJL138C"	0.83	0.268	1.168	1.287	0.865	-1.195	-1.358	-3.125	-5.625	-1.674	-2.086	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.058	0.097	-1.108	-0.167	-1.828	-1.474
"YJL183W"	0.261	-0.044	0.489	0.42	0.582	-2.434	-1.944	-2.097	-4.986	-1.21	-1.695	-0.997	-1.436	-1.333	-1.66	-2.208	-2.121	0.247	-0.297	-1.465	-0.297	-1.239	-1.24
"YJL188C"	0.599	-0.189	1.008	1.159	0.709	-1.323	-1.808	-2.786	-4.633	-2.519	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.017	0.024	-0.676	0.341	-1.525	-1.363
"YJR007W"	0.265	-0.39	1.053	0.742	-0.487	-1.68	-2.662	-3.21	-8.057	-1.824	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.054	-0.148	-0.357	-0.228	-1.685	-0.617
"YJR123W"	0.51	0.308	1.3	1.246	1.081	-2.46	-3.124	-4.381	-9.147	-3.442	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.56	-0.339	-0.962	0.224	-2.153	-1.443
"YJR145C"	0.733	0.499	1.17	1.341	0.963	-2.328	-2.413	-3.54	-6.528	-3.597	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.381	0.247	-0.955	0.112	-2.312	-0.953
"YKL056C"	0.44	0.322	0.909	1.083	1.069	-1.541	-1.771	-3.426	-5.119	-2.371	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	-0.211	-0.595	-0.084	-1.777	-1.068
"YKR059W"	0.901	0.303	1.161	1.252	0.993	-1.543	-1.54	-2.817	-4.998	-2.531	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.062	0.257	-0.751	0.121	-1.996	-1.583
"YLL044W"	0.713	0.392	1.121	1.115	1.006	-2.211	-2.963	-3.79	-6.48	-3.269	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.086	-0.187	-1.501	-0.21	-2.227	-1.29
"YLR060W"	0.45	0.449	0.836	0.614	0.566	-2.499	-2.849	-4.941	-5.967	-2.672	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	-0.153	-0.446	0.292	-2.464	0.164
"YLR101C"	-0.018	-0.35	0.221	0.097	0.42	-1.233	-1.344	-2.239	-3.161	-0.811	-0.557	-1.115	-1.073	-1.203	-1.911	-2.069	-2.518	0.068	-0.17	0.261	-0.078	-1.499	0.307
"YLR185W"	-0.018	0.472	1.047	1.135	0.922	-2.201	-2.749	-2.578	-5.928	-2.616	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-0.006	-0.025	-1.03	0.0	-2.023	-1.188
"YLR208W"	-0.389	0.334	0.589	0.588	0.711	-1.266	NaN	-1.968	-4.432	-1.568	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	-0.252	-0.107	-0.127	0.057	-1.044	-0.43
"YLR213C"	0.091	-0.091	0.546	0.113	0.247	0.345	-0.107	0.222	-0.398	1.112	0.139	-0.689	-0.369	-0.325	-0.204	0.698	0.493	-0.002	0.064	-0.219	-0.438	0.337	-0.07
"YLR291C"	0.161	-0.357	0.708	0.624	0.702	-1.482	-1.792	-3.037	-4.762	-1.104	-1.003	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	-0.181	0.006	-0.744	-0.225	-1.532	-0.432
"YLR293C"	0.761	0.162	0.886	0.877	1.013	-2.207	-2.675	-3.488	-6.281	-2.233	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.527	-0.298	-0.122	-2.235	0.244
"YLR301W"	-0.085	0.009	-0.031	0.003	0.124	-1.953	-1.84	-3.676	-5.415	-1.605	-1.555	-1.36	-0.925	-1.325	-2.581	-2.218	-2.268	0.196	-0.086	0.195	0.139	-1.83	0.139
"YLR333C"	0.812	-0.064	1.149	0.802	0.708	-1.851	-2.342	-3.011	-5.863	-2.939	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.246	0.103	-0.732	-0.049	-1.748	-0.948
"YLR339C"	0.79	0.261	0.906	0.66	0.586	-3.285	-3.76	-4.988	-6.865	-3.201	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	-0.052	-0.203	-0.769	-0.135	-2.977	-1.098
"YLR388W"	0.559	0.287	1.213	1.145	0.956	-1.98	-1.738	-3.596	-5.506	-2.742	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.202	0.168	-0.981	0.052	-2.034	-1.621
"YLR432W"	0.577	0.064	0.975	0.949	0.793	-1.818	-2.129	-3.532	-5.65	-3.15	-2.585	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	0.228	-0.092	-1.165	0.493	-1.904	-1.357
"YML008C"	0.079	-0.183	0.514	0.364	0.544	-0.575	-2.236	-4.23	-4.829	-1.94	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.03	-0.059	0.013	-0.205	-1.469	0.545
"YML074C"	0.16	-0.161	0.291	-0.024	-0.136	-0.951	-2.161	-2.837	-5.319	-1.664	-1.88	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	-0.02	-0.277	-0.238	-0.28	-1.767	0.128
"YMR116C"	NaN	NaN	1.123	1.09	1.056	-3.089	-3.798	-4.551	-6.865	-3.535	-3.586	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	-0.542	-0.059	-1.159	0.091	-2.539	-1.541
"YMR130W"	0.154	-0.304	0.623	0.607	0.825	-1.614	-1.215	-1.972	-3.845	-0.671	-1.858	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	-0.001	-0.365	-0.404	-0.175	-1.328	-0.15
"YMR135C"	-0.492	0.151	-0.911	-0.814	-0.871	1.278	1.394	2.425	4.053	2.04	1.018	0.618	0.733	1.325	2.843	3.141	3.078	-0.116	0.083	0.403	0.127	0.918	0.292
"YMR208W"	-0.105	0.0	0.15	0.058	0.359	-0.82	-1.063	-2.542	-3.618	-0.674	-1.048	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	-0.022	-0.305	-0.046	-0.302	-0.6815	0.127
"YMR235C"	0.144	-0.066	0.788	0.731	0.601	-1.783	-1.785	-3.534	-5.187	-1.879	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	0.325	-0.574	0.401	-1.782	-0.722
"YMR242C"	0.67	0.182	1.262	1.333	1.294	-2.522	-3.032	-3.971	-6.226	-3.636	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.442	-0.063	-1.126	0.197	-2.4615	-1.544
"YNL096C"	0.111	-0.182	1.017	0.749	0.741	-2.81	-3.616	-4.038	-6.106	-2.761	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	0.063	-1.402	0.433	-2.8625	-1.644
"YNL154C"	0.359	0.027	0.248	0.281	0.349	-1.0	-1.128	-1.871	-3.909	-1.037	-2.02	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	-0.208	-0.073	0.046	-0.196	-1.3335	-0.634
"YNL189W"	-0.455	0.04	0.523	0.315	0.291	-1.084	-1.349	-2.367	-4.06	-1.183	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.273	0.114	-0.23	0.378	-1.6445	-0.63
"YNL247W"	0.383	0.229	0.772	0.698	0.677	-1.822	-1.928	-3.191	-4.64	-2.13	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	-0.061	-0.388	-0.603	-0.095	-1.655	-1.355
"YOR168W"	0.13	0.024	0.785	0.772	0.6345	-1.261	-1.7945	-1.984	-4.808	-1.8785	-2.516	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	-0.074	-0.038	-0.772	-0.151	-1.844	-1.807
"YOR198C"	0.339	-0.031	0.337	0.516	0.2155	-1.6725	-1.933	-4.452	-5.562	-1.262	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.253	-0.098	-0.583	0.192	-2.297	-0.9
"YOR209C"	-0.006	-0.178	0.632	0.433	0.4265	-1.2605	-1.766	-2.998	-6.004	-1.647	-1.744	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	-0.05	0.033	-0.106	0.116	-1.009	-0.556
"YOR239W"	0.162	0.081	0.045	-0.073	0.2635	-1.31	-2.145	-3.232	-5.0985	-1.633	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.205	0.184	-0.45	-0.069	-1.366	-0.4055
"YOR260W"	-0.365	-0.009	0.805	0.712	0.6415	-1.6735	-1.833	-2.507	-4.639	-1.6575	-1.898	-1.26	-1.513	-1.624	-2.257	-2.577	-3.081	-0.213	-0.106	-0.728	0.4	-1.54	-1.235
"YOR281C"	-0.187	-0.176	0.533	0.483	0.686	-0.8725	-1.02	-2.3545	-2.4825	-1.0995	-1.732	-1.155	-1.256	-1.893	-2.557	-2.663	-2.572	-0.09	-0.076	0.097	0.119	-1.456	-0.158
"YPL001W"	-0.551	-0.458	0.126	0.963	0.3185	-1.4935	-0.6975	-1.671	-4.084	-0.654	-1.809	-1.0	-0.64	-0.886	-1.427	-1.38	-1.844	0.149	0.268	-0.025	0.041	-0.772	-0.322
"YPL013C"	0.124	-0.041	0.379	0.139	0.0475	-0.6	0.0255	-0.2605	-2.0065	-0.5595	0.336	-0.42	0.042	0.266	-0.313	-0.168	-0.656	0.086	0.554	0.344	-0.239	-0.404	0.045
"YPL037C"	0.785	0.306	0.835	0.69	0.915	-1.975	-2.12	-3.9955	-5.417	-2.148	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	-0.106	-0.218	-0.326	0.075	-1.648	-0.163
"YPL079W"	-0.188	-0.043	0.688	1.126	0.917	-2.3565	-2.6495	-3.892	-6.4765	-3.0255	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-0.257	-1.109	-0.1435	-1.673	-1.769
"YPL081W"	-0.089	0.283	0.427	0.779	0.714	-2.508	-3.086	-3.4025	-6.801	-2.428	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	-0.323	-1.488	0.146	-1.844	-2.07
"YPL237W"	0.306	-0.146	0.905	0.8365	0.9645	-2.029	-2.27	-2.875	-5.7585	-1.8945	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.071	-0.002	-0.73	0.069	-1.537	-0.194
"YPR033C"	-0.023	0.31	0.789	0.6725	0.5805	-2.534	-2.142	-4.8805	-7.94	-2.759	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.015	0.089	-0.756	0.421	-2.107	-0.487
"YPR044C"	0.153	0.309	0.9015	0.928	0.892333333333333	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-2.80733333333333	-3.0915	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.088	-0.5735	-0.7275	-0.1745	-2.074	-1.089
"YPR102C"	0.521	0.218	1.367	1.2	1.1555	-2.7315	-2.6455	-4.045	-6.451	-3.673	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	0.033	-0.822	0.189	-2.384	-0.887
"YPR187W"	0.039	-0.125	1.237	1.0935	0.9015	-1.511	-1.4365	-3.609	-5.408	-2.16	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.039	-0.545	-0.133	0.028	-1.604	-1.688
