	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"585.21 deg growth"	"599.37 deg growth"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1107.alpha factor release sample025"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"32622.S1Comp 05 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"38148.03II01 batch p4"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"
"YJR143C"	0.294	-0.548	-0.017	-0.339	-0.205	-1.748	-1.012	-1.037	-1.648	-1.487	-1.713	-4.675	-5.523	-1.414	-2.151	-2.716	-2.573	-3.031	-1.799	-2.118	-3.335	-3.698	-3.382	0.043	0.242	-1.896	-1.659	-2.672	-0.874	-1.127	-1.146	-0.661	-0.896	-0.389	-0.38	-0.799	0.146	-0.039	0.084
"YKR094C"	0.488	0.07	0.327	0.74	0.286	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-1.021	-2.102	-2.333	-1.972	-2.7	-2.785	-1.839	-1.792	-2.197	-2.387	-0.077	0.144	-2.035	-2.111	-1.385	0.552	0.613	1.177	0.92	0.702	0.932	1.389	1.126	0.184	-0.052	-0.173
"YLL044W"	-0.002	-0.059	0.262	-0.619	0.51	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-1.665	-3.313	-3.031	-3.269	-2.156	-3.872	-2.736	-2.724	-3.494	-3.967	0.148	0.04	-2.227	-3.04	-1.93	0.625	1.199	0.339	0.404	1.166	1.047	1.262	1.202	0.148	-0.086	0.218
"YLL045C"	0.118	0.072	0.465	-0.514	0.354	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-1.489	-3.169	-3.335	-3.185	-2.744	-3.66	-2.495	-2.943	-3.021	-3.731	-0.049	0.209	-2.165	-2.953	-1.749	0.532	1.05	0.965	0.827	0.518	1.202	0.88	0.75	0.187	0.172	0.251
"YLR060W"	0.214	0.016	-0.117	-0.146	0.52	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-1.197	-2.093	-1.988	-2.672	-2.566	-2.773	-2.667	-3.118	-3.713	-4.371	-0.279	-0.01	-2.464	-1.534	-1.72	-0.932	-0.912	-1.096	1.231	-0.547	-0.617	-0.885	-0.903	0.017	-0.001	0.489
"YLR061W"	0.472	-0.063	-0.005	-0.079	0.297	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-1.703	-3.239	-3.818	-3.021	-3.058	-4.326	-2.88	-3.309	-3.833	-3.91	0.091	0.01	-2.482	-2.383	-1.368	1.113	0.846	0.97	0.512	0.434	1.101	1.716	1.37	0.367	-0.033	-1.302
"YLR062C"	0.451	0.04	-0.031	-0.107	0.667	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-1.847	-3.6	-3.985	-3.965	-3.18	-4.96	-3.706	-4.299	-4.293	-5.234	-0.259	0.082	-2.675	-3.446	-2.666	1.558	1.34	1.678	1.753	1.159	1.604	1.712	1.48	0.153	0.056	-0.893
"YLR333C"	0.172	0.16	0.016	0.064	0.651	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-5.863	-1.82	-3.538	-3.334	-2.939	-2.483	-4.032	-2.057	-1.584	-2.45	-2.848	0.309	0.252	-1.748	-2.565	-1.875	0.86	1.159	1.112	0.909	0.933	1.552	1.781	1.449	0.361	0.287	0.522
"YLR388W"	0.377	0.412	0.066	0.125	0.521	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-1.651	-3.204	-3.058	-2.742	-2.362	-4.025	-2.555	-2.232	-2.581	-3.193	-0.053	0.289	-2.034	-2.994	-2.289	0.769	1.369	0.876	1.328	1.142	1.547	1.771	1.392	0.448	-0.046	0.559
"YLR448W"	-0.067	0.104	0.103	-0.044	0.588	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-1.842	-3.425	-3.454	-3.179	-2.573	-4.891	-2.621	-2.668	-3.192	-4.132	-0.267	-0.047	-2.337	-3.647	-2.386	1.572	1.454	1.398	1.145	1.147	1.364	1.579	1.645	0.251	0.131	0.918
"YML026C"	NaN	NaN	0.362	-0.098	0.234	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-2.084	-3.779	-3.636	-3.131	-3.217	-3.572	-2.821	-2.898	-2.803	-2.821	NaN	NaN	-1.928	-2.879	-1.637	0.298	0.716	0.801	1.099	1.043	0.934	0.697	0.539	0.177	0.135	0.13
"YML073C"	NaN	NaN	0.221	-0.205	0.436	0.912	-3.01	-3.061	-2.182	-1.884	-2.135	-3.862	-6.033	-1.506	-3.5	-3.371	-3.087	-2.501	-4.919	-2.549	-2.401	-2.624	-3.718	NaN	NaN	-1.975	-3.463	-2.293	-0.067	0.783	0.221	0.727	0.51	0.699	0.834	0.782	0.314	0.095	0.119
"YMR130W"	-0.138	-0.124	0.316	-0.039	-0.017	-2.063	-1.784	-1.864	-1.924	-1.614	-1.215	-1.972	-3.845	-1.1	-1.058	-1.571	-0.671	-1.168	-1.858	-1.47	-2.339	-2.247	-2.295	0.018	0.124	-1.328	-0.184	-0.653	-0.525	0.041	-0.323	0.353	0.325	-0.331	-0.738	-0.603	0.004	0.384	-0.141
"YMR242C"	-0.17	0.045	0.446	-0.144	0.401	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.004	-3.832	-4.338	-3.636	-3.62	-4.84	-3.004	-2.601	-3.133	-3.475	0.254	0.288	-2.4615	-3.185	-2.447	0.698	0.85	0.918	0.544	0.63	0.486	-0.038	-0.183	0.177	0.012	-0.603
"YNL089C"	0.147	-0.152	-0.091	0.04	-0.106	-1.202	-0.797	-0.46	-0.924	-1.439	-1.631	-2.333	-2.142	-0.825	-1.254	-1.218	-1.259	-1.803	-0.686	-1.565	-1.866	-1.819	-2.26	-0.062	0.137	-0.868	-0.022	-0.552	-0.039	-0.091	0.259	0.604	0.288	0.854	0.693	0.775	0.057	0.25	-0.546
"YNL096C"	0.104	-0.268	0.097	0.548	0.354	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.087	-3.331	-3.045	-2.761	-3.165	-4.716	-3.041	-3.644	-4.096	-4.68	-0.345	0.182	-2.8625	-3.171	-2.296	0.792	1.486	1.878	1.374	0.83	0.626	0.422	0.565	0.165	0.048	-0.599
"YNL119W"	0.088	-0.265	0.119	-0.212	0.552	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-1.542	-3.359	-3.366	-2.99	-2.998	-3.55	-2.206	-2.822	-2.843	-3.318	-0.186	-0.011	-1.92	-2.631	-1.803	0.647	0.997	1.174	1.003	0.552	1.179	0.98	1.026	0.113	0.04	-0.95
"YNL162W"	0.537	0.182	0.096	-0.064	0.442	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-1.564	-2.86	-2.872	-2.421	-2.763	-3.999	-2.0	-1.742	-2.487	-3.468	0.24	0.065	-1.852	-2.438	-1.199	0.535	0.514	0.792	1.276	0.76	1.133	1.211	0.867	0.524	-0.279	-0.474
"YNL334C"	-0.27	0.219	-0.339	0.412	-0.154	NaN	NaN	4.02	4.304	0.012	NaN	3.877	2.845	0.12	1.449	0.508	0.588	0.713	0.725	1.69	1.301	1.246	0.945	0.026	0.246	0.942	0.212	0.405	-0.148	-0.595	-0.091	0.044	0.187	0.081	0.046	-0.218	-0.26	0.359	-0.14
"YOL121C"	0.239	0.06	0.277	-0.049	0.058	-1.946	-2.3835	-2.652	-1.5685	1.1705	-0.516	-3.476	-1.754	-2.127	-1.922	-1.2305	-1.7075	-2.994	-4.227	-2.307	-2.469	-2.67	-3.83	-0.194	0.262	-2.133	-2.877	-1.347	0.544	0.896	0.465	0.913	0.803	0.601	0.671	0.396	0.278	0.015	0.086
"YOR361C"	-0.012	-0.197	0.1585	-0.63	0.0225	-1.94833333333333	-1.73166666666667	-1.46466666666667	-1.54333333333333	-1.84133333333333	-2.513	-2.869	-2.21	-0.806	-1.595	-0.816666666666667	-0.941666666666667	-2.198	-2.3735	-1.899	-2.266	-1.977	-2.109	0.005	0.103	-2.009	-1.9175	-1.9175	0.427	-0.193	-0.339	0.379	0.22	0.405	0.397	0.355	-0.019	-0.151	0.407
"YPL079W"	0.478	-0.041	0.202	0.541	0.105	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-1.7255	-3.085	-3.172	-3.0255	-3.112	-4.735	-3.087	-3.015	-3.498	-4.547	-0.096	0.085	-1.673	-3.141	-2.001	-0.357	0.392	0.705	1.415	0.839	0.686	0.904	0.79	0.111	-0.085	-0.491
"YPL142C"	-0.008	0.342	0.088	-0.322	0.3605	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.088	-2.825	-3.3035	-2.8235	-2.16	-4.155	-2.376	-2.148	-2.632	-2.979	-0.275	0.143	-2.011	-2.534	-1.836	0.766	0.486	0.412	1.054	0.887	1.154	0.774	0.861	0.294	0.216	0.48
"YPR074C"	0.289	-0.078	-0.234	-0.5075	0.3975	-3.2435	-2.5595	-2.0485	-2.134	-3.2975	-2.2945	-5.337	-5.42	-1.4365	-3.374	-2.2005	-3.7185	-4.2955	-3.649	-3.162	-3.369	-3.61	-3.663	0.061	-0.068	-3.132	-2.906	-3.257	0.459	0.772	0.035	-0.78	-0.256	-0.492	-0.854	-0.871	-0.698	0.483	0.593
"YPR102C"	0.747	0.096	0.3265	0.0725	0.223	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-1.4375	-3.5055	-4.118	-3.673	-3.277	-4.644	-3.232	-3.352	-3.749	-4.692	0.323	0.174	-2.384	-3.121	-2.243	0.617	1.173	0.879	0.749	0.665	1.257	0.915	0.878	0.274	-0.026	-0.921
"YPR118W"	0.476	0.084	-0.00149999999999999	-0.063	0.4435	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.1155	-2.525	-2.5375	-2.305	-2.577	-1.735	-2.077	-2.882	-3.334	-3.538	0.233	0.092	-1.794	-0.822	-1.462	-1.094	-0.898	-0.745	0.078	0.315	-1.132	-1.15	-1.174	0.114	-0.179	-0.323
"YPR132W"	0.161	0.113	0.413	-0.0125	0.4555	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-1.4195	-2.5895	-3.048	-2.967	-2.8485	-3.788	-2.292	-1.968	-2.388	-3.151	-0.136	0.116	-2.217	-2.19	-1.375	0.194	0.853	0.951	0.858	0.59	1.047	0.696	0.701	0.109	-0.04	-0.763
