	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"7539.25C -- 90 min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"21638..24 mM H2O2- 070 minutes"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"40976.MD_II_140_min"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YGL147C"	1.427	1.186	3.056	1.227	-2.422	-3.921	-7.507	-3.0	-3.466	-3.166	-2.874	-3.388	-3.018	-2.755	-3.483	2.757	0.367	1.209	1.176	0.692	-2.532	-2.765	-2.078	-2.239	-2.386	-2.253	-1.726	-3.1805	-2.6025	-3.0	-3.3875	-3.135	-2.981	-2.5855	-2.2585	-1.466	-1.914	-1.776	-3.298	1.175	1.9095	1.171	1.2675	1.336	0.8455	2.3065	2.4655	2.542	2.6695	2.541	1.35
"YGR108W"	0.332	0.415	1.422	1.784	-2.564	-2.816	-3.123	-0.485	-1.595	-2.976	-0.428	-2.434	-1.657	-2.674	-1.962	1.005	0.433	-0.345	0.457	0.542	-2.42	-1.878	-2.351	-2.3	-0.878	-2.2735	-1.986	-0.194	-1.163	-1.854	-0.882	-1.54	-0.701	-0.13	-0.126	-1.252	-0.76	-0.799	-0.9655	1.473	2.281	0.816	1.59	1.994	1.098	-0.637	0.45	1.406	2.188	1.405	-0.161
"YGR185C"	0.667	0.691	1.186	1.504	-2.13	-5.306	-6.361	-1.442	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	1.522	0.603	0.592	0.864	0.714	-2.438	-2.21	-2.316	-2.459	-0.829	-1.209	-0.489	-3.17	-2.768	-2.136	-2.312	-2.277	-1.219	-0.461	-1.402	-1.479	-1.363	-1.71	-1.672	0.059	-0.624	-0.675	-0.004	-0.486	1.793	-0.094	-0.31	-0.175	-0.312	-0.176	0.933
"YGR199W"	-0.076	-0.376	0.299	1.196	0.161	-1.35	-2.439	-0.319	-0.835	-0.822	-0.153	0.08	-1.2	-1.04	-1.731	0.301	0.374	-0.057	0.231	0.095	0.151	-1.069	-0.396	-0.628	-0.437	-0.278	-0.932	0.031	-0.147	-0.432	-0.17	-0.058	-0.17	-0.572	-1.548	-0.603	-0.588	-0.506	-0.568	0.154	0.489	1.511	1.299	1.341	0.543	-0.201	-0.007	-0.21	-0.187	-0.211	-0.305
"YGR234W"	1.238	1.142	1.071	2.641	-2.175	-3.567	-3.847	-1.833	-1.031	-1.788	-2.118	-3.518	-3.826	-4.345	-4.526	1.649	1.641	1.377	1.35	1.008	-1.864	-2.498	-2.416	-2.789	-0.745	-2.137	-3.155	-0.925	0.583	-0.175	0.914	-0.161	-1.649	-2.312	-2.485	-1.877	-1.697	-2.789	-2.417	1.364	2.237	0.976	1.459	2.361	0.883	2.357	3.186	3.01	3.109	3.009	0.271
"YHR025W"	0.819	0.702	2.08	1.102	-1.993	-2.666	-5.429	-2.472	-2.199	-0.368	-1.97	-1.896	-1.471	-2.319	-2.178	2.255	0.795	0.7	0.777	0.433	-1.627	-1.843	-1.513	-1.662	-1.206	-1.623	-2.177	-3.915	-2.334	-1.934	-1.597	-2.276	-0.85	-0.628	-1.592	-1.794	-2.122	-1.41	-1.696	-0.396	-1.051	0.21	0.925	1.292	1.788	-0.191	-0.353	-0.866	-0.749	-0.867	0.521
"YHR143W"	0.519	0.419	0.198	1.135	-3.213	-2.25	-3.833	-0.906	-2.339	-2.759	-1.031	-2.632	-1.926	-3.001	-2.506	0.238	0.936	-0.26	1.057	0.989	-2.853	-0.976	-2.813	-3.054	-3.103	-2.064	-2.76	-0.176	-1.195	-2.198	-0.432	-1.55	-0.452	-1.865	-2.045	-1.72	-2.303	-2.328	-1.862	1.747	2.058	1.3	2.72	1.132	1.847	0.388	1.619	2.028	2.469	2.027	-0.155
"YHR203C"	1.231	1.011	2.714	1.292	-2.372	-3.782	-5.944	-3.917	-3.412	-3.049	-2.437	-2.591	-2.575	-3.081	-3.941	2.739	0.536	1.286	0.703	0.756	-2.302	-2.621	-1.497	-1.605	-2.766	-1.854	-2.412	-4.467	-3.308	-2.46	-3.449	-3.424	-4.293	-2.517	-2.366	-0.686	-1.254	-1.336	-2.356	0.651	0.714	2.11	2.246	1.79	1.532	1.125	1.422	1.295	1.409	1.294	1.691
"YHR216W"	1.01	0.917	0.542	1.299	-1.128	-3.15	-4.943	-1.762	-3.038	-2.589	-2.088	-2.767	-2.237	-2.621	-2.913	1.247	0.811	0.971	0.904	0.527	-1.783	-3.09	-3.113	-3.341	-2.3	-0.846	-1.313	-2.109	-3.074	-2.509	-2.823	-2.773	-4.037	-2.039	-2.437	-2.108	-2.493	-2.291	-3.232	2.232	2.63	0.81	1.044	1.508	2.307	2.639	2.65	2.562	2.66	2.561	0.815
"YIL018W"	1.253	1.177	2.16	1.498	-2.488	-3.492	-5.749	-3.362	-3.056	-3.151	-2.218	-2.606	-2.661	-3.27	-3.914	2.689	0.848	1.332	0.99	1.018	-2.495	-1.845	-1.798	-1.414	-3.137	-2.306	-3.545	-4.277	-3.397	-2.864	-3.676	-2.821	-3.555	-2.821	-2.633	-1.61	-1.191	-1.854	-2.409	0.749	1.321	1.412	2.172	1.173	0.761	1.416	1.83	1.737	2.013	1.736	0.826
