	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"518.2.5mM DTT 120 min"	"632.Elutriation2:Sample2:Time4.5hrs"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1249.mec1_plus_gamma_5_min"	"1250.mec1_plus_gamma_10_min"	"1673.alpha factor release sample021"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"16338.DES460 vs. DES460 YPD log phase control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YNL182C"	0.726	-6.33	-4.05	-1.264	-0.868	-2.807	-4.805	-3.807	1.266	-2.627	0.155	-1.861	-2.13	-2.522	-2.311	-1.849	-4.184	-3.243	-2.39	-0.279	-2.667	-2.624	-1.625	-1.727	0.246	-0.678	-1.533	-0.701	-0.027	-1.012	-0.167	-2.324	-1.727	-2.106	-1.685	-1.204	-4.61	0.432	-0.202	0.394	-3.599	-3.082	-2.517	-1.517	-3.01	-1.848	-3.607	-2.403	-2.646	-2.106
"YNR054C"	0.341	-3.072	-1.849	-0.03	0.057	-2.561	-3.745	-2.256	0.71	-1.288	0.284	-1.698	-1.437	-1.723	-1.964	-1.258	-1.6465	-0.4305	-1.43	0.343	-1.1455	-1.259	-0.9225	-1.181	-0.14	-0.617	-0.855	-0.258	-0.005	-0.702	0.048	-1.675	-0.914	-1.531	-1.814	-0.9685	-3.271	0.313	-0.242	-0.071	-2.435	-3.275	-1.802	-0.633	-2.06	-1.229	-2.609	-1.304	-1.736	-1.631
"YOL041C"	0.524	-2.77	-2.082	-0.4515	-0.452	-1.6425	-1.833	-2.018	0.5815	-1.3225	-0.029	-1.615	-0.7255	-1.2465	-1.3715	-1.2435	-2.40666666666667	-1.70166666666667	-1.352	-0.067	-4.275	-2.486	-1.85	-1.041	0.0	-0.253	-0.753	-0.1605	0.131	-0.3735	0.089	-1.271	-0.95	-0.7895	-0.742	-0.644	-2.6195	0.3355	0.0	-0.1535	-2.31	-2.0805	-1.261	-0.9985	-1.599	-1.1145	-2.5355	-3.1185	-1.4105	-1.2985
"YOL077C"	1.019	-5.439	-5.04	-1.344	-0.859	-4.336	-5.22	-4.28	1.476	-2.979	-0.407	-3.046	-1.244	-2.83	-2.938	-2.428	-5.186	-0.2885	-2.1355	0.267	-4.174	-0.219	-2.917	-2.307	0.035	-0.495	-2.032	-1.111	0.414	-0.349	-0.085	-3.287	-2.054	-3.032	-2.96	-1.67	-4.7	0.711	-0.58	0.218	-4.174	-4.969	-3.866	-1.991	-4.679	-2.579	-5.145	-2.418	-2.762	-2.379
"YOR206W"	0.784	-5.087	-3.702	-0.722	-0.555	-3.585	-5.083	-4.513	1.184	-1.699	0.123	-2.605	-1.977	-2.894	-2.77	-1.859	-5.827	-2.568	-2.919	-0.0905	-3.1625	-1.9445	-2.2495	-2.182	-0.064	-0.54	-1.748	-0.581	0.079	-0.875	-0.152	-3.65	-2.191	-2.398	-2.168	-1.676	-5.066	0.971	-0.289	-0.11	-3.782	-3.839	-2.816	-1.474	-4.003	-1.781	-4.817	-2.558	-2.475	-2.141
"YOR243C"	0.267	-3.594	-3.234	-1.468	-1.216	-2.436	-3.633	-3.982	1.203	-1.742	-0.063	-1.407	-1.209	-1.985	-1.827	-1.157	-3.8055	-2.475	-1.9265	-0.322	-2.588	-2.1815	-1.6325	-1.541	0.092	-0.476	-0.77	-0.862	0.18	-0.703	-0.109	-1.872	-1.457	-1.652	-1.335	-0.7165	-4.099	0.229	0.065	-0.227	-2.442	-2.845	-1.727	-1.002	-2.616	-1.649	-2.825	-1.778	-3.197	-1.962
"YOR287C"	0.579	-3.97	-2.174	-0.286	0.498	-2.322	-3.247	-2.585	1.303	-2.072	-0.582	-1.875	-1.758	-2.167	-2.019	-1.664	-3.973	-1.9405	-1.7665	0.432	-2.833	-1.879	-1.405	-2.179	-0.072	-0.564	-1.247	-0.302	0.104	-1.314	-0.257	-1.823	-1.581	-1.374	-1.938	-1.238	-2.646	1.083	-0.741	-0.339	-3.301	-3.942	-2.391	-1.174	-2.109	-1.555	-3.411	-1.952	-1.171	-1.882
"YOR294W"	0.949	-4.574	-3.828	-1.101	-0.806	-3.73	-4.407	-3.632	1.553	-1.895	0.416	-2.027	-1.927	-2.434	-2.234	-1.598	-5.6475	-2.427	-2.791	0.2015	-3.318	-1.8445	-1.1745	-1.564	-0.101	-0.686	-1.799	-0.232	0.314	-0.847	-0.458	-3.461	-1.971	-3.216	-3.031	-1.377	-4.852	0.753	-0.325	-0.15	-3.894	-4.841	-3.679	-1.729	-3.042	-2.462	-5.145	-2.096	-2.075	-1.907
"YOR310C"	1.092	-5.053	-4.365	-1.109	-1.353	-3.309	-4.639	-3.004	1.211	-1.485	0.122	-2.388	-1.362	-2.348	-2.686	-1.831	-6.006	-3.92	-3.101	-0.109	-3.766	-3.585	-3.5415	-2.056	-0.06	-0.584	-1.096	-0.299	0.126	-0.567	-0.205	-2.449	-1.598	-2.08	-2.17	-1.645	-4.948	0.505	-0.6	-0.212	-3.619	-4.326	-3.006	-1.468	-4.099	-2.39	-5.14	-2.639	-2.241	-2.539
"YPR110C"	0.551	-3.178	-3.084	-0.931	-0.933	-2.507	-3.52	-3.728	0.96	-1.79	-0.293	-1.742	-0.888	-1.572	-2.073	-1.383	-5.7185	-3.423	-2.6255	-0.326	-3.01	-3.296	-2.285	-1.601	-0.038	-0.137	-0.74	-0.755	0.311	-0.1825	0.102	-2.308	-1.703	-2.158	-2.174	-0.778	-3.168	0.278	0.586	0.331	-2.665	-3.436	-2.354	-1.182	-3.503	-1.15	-3.882	-1.564	-2.129	-1.842
