	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2144.heat shock 37 to 37, 30 minutes"	"6824.Sporulation t0"	"6856.Sporulation t30min"	"11466.yO1 test hyb"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"13095.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 1)"	"13490.Y5 mRNP vs. Poly"	"13496.G0 mRNP vs. Poly"	"16338.DES460 vs. DES460 YPD log phase control"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34362.batch 02X25 5"	"44524.first half PM prep, array 2"
"YNL096C"	-4.113	-4.038	-6.106	-3.331	-3.045	-2.761	-2.776	-3.041	-3.644	-4.096	-4.68	-0.027	0.183	-0.25	0.029	-2.8625	-0.00749999999999995	-0.235	-0.942	0.106	0.272	1.289	-3.52	-2.764	-3.087	-3.372	-2.098	-2.516	0.905
"YNL178W"	-4.244	-4.338	-6.62	-3.239	-3.307	-3.272	-2.899	-2.981	-2.958	-3.483	-3.871	0.019	0.342	-0.073	-0.755	-2.479	-1.5005	-0.196	-1.74	0.918	-0.133	0.695	-2.898	-2.059	-2.548	-2.616	-2.364	-2.344	0.92
"YOR220W"	3.7725	4.0665	3.0645	3.113	2.4945	2.2515	2.692	2.751	3.747	4.082	3.593	0.781	-0.078	0.035	0.944	1.74	-0.179	0.56	-0.561	-0.287	0.33	-0.8	2.771	2.91	2.732	3.108	2.117	2.104	0.397
"YOR323C"	-2.5575	-4.2845	-6.434	-1.9425	-2.061	-2.106	-1.557	-1.382	-2.742	-3.497	-3.428	0.082	-0.146	0.018	-0.434	-1.603	0.644	0.267	0.759	1.459	-0.13	0.502	-2.366	-2.03	-1.927	-1.64	-1.589	-0.555	0.809
"YPL237W"	-2.6285	-2.875	-5.7585	-1.791	-1.39	-1.8945	-1.817	-1.927	-2.006	-2.44	-3.024	0.052	0.201	-0.218	0.018	-1.537	-0.777	-0.534	0.009	0.524	0.223	0.33	-1.885	-1.966	-1.535	-1.455	-1.555	-1.129	0.221
"YPL238C"	-1.898	-2.431	-4.788	-1.551	-1.391	-0.8025	-2.037	-1.989	-1.843	-2.517	-2.586	0.084	0.243	0.19	0.151	-2.063	-0.317	0.598	0.397	0.416	0.212	0.323	-0.961	-1.597	-1.846	-1.135	-1.303	-0.974	0.216
"YPR041W"	-1.871	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.0575	0.292333333333333	-0.175	0.477	-1.977	0.626	0.652	0.915333333333333	0.63	-0.1255	0.745	-3.035	-2.533	-3.187	-2.708	-2.293	-1.472	0.551
"YPR102C"	-3.521	-4.045	-6.451	-3.5055	-4.118	-3.673	-2.723	-3.232	-3.352	-3.749	-4.692	0.195	0.288	-0.151	0.276	-2.384	-0.792	0.479	-1.456	0.019	0.125	1.365	-3.927	-2.614	-4.015	-3.517	-2.547	-2.691	0.961
"YPR118W"	-2.848	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.594	-2.077	-2.882	-3.334	-3.538	0.31	-0.085	0.297	-0.127	-1.794	0.349	NaN	-0.859	0.9025	0.153	0.32	-1.726	-1.789	-2.082	-2.086	-1.264	-0.573	0.21
"YPR187W"	-2.5615	-3.609	-5.408	-2.283	-2.232	-2.16	-1.816	-2.016	-2.28	-2.584	-3.22	0.121	0.1025	0.269	-0.314	-1.604	1.102	NaN	-0.1725	-0.0135	0.101	0.586	-2.584	-2.061	-2.896	-2.213	-1.752	-1.566	0.399
