	"40.alpha factor release sample029"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1107.alpha factor release sample025"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YBR116C"	-0.0965	-0.1205	-0.942	-1.781	3.412	5.014	4.694	4.622	2.439	4.069	3.738	1.598	2.446	0.116	5.024	2.559	3.144	5.238	4.752	3.653	3.997	0.446	0.039	0.05	-0.647	-0.642	-0.641	-0.246	-0.792	-0.588	5.472	1.678	-0.095	-0.632	6.117	4.926	4.355	6.279	4.135	5.082	3.871
"YBR117C"	-0.082	-0.357	-0.5365	-1.514	2.502	4.35	4.041	3.304	2.831	4.099	4.009	0.3305	1.2905	-0.105	4.408	0.814	1.055	3.812	1.929	1.804	3.327	-0.1405	-0.278	-0.2185	0.409	-1.3905	-0.5585	-0.3995	-0.414	-0.2575	5.417	2.569	0.083	0.104	6.703	4.864	5.579	5.68	3.737	4.011	3.873
"YBR139W"	0.047	-1.065	-0.4595	-0.1185	2.369	2.977	3.848	2.63	2.849	2.957	3.234	0.9055	1.3225	0.48	3.123	2.458	1.926	1.974	1.942	1.636	1.465	-0.3195	0.66	-0.155	-1.294	0.2505	0.0965	-0.1715	0.1265	-0.0305	3.322	2.237	0.775	0.534	3.026	1.619	2.806	2.929	2.137	2.169	2.848
"YBR169C"	0.163	-0.908	-0.634	-0.8965	3.773	4.417	4.276	3.912	3.511	4.74	4.912	1.6295	1.8395	2.263	4.752	3.04	2.902	3.661	3.899	3.01	2.438	0.0745	1.419	0.299	-1.449	0.7645	0.6055	0.6585	0.6145	-0.571	4.295	5.386	1.004	1.842	5.374	2.327	3.567	3.635	2.422	2.587	2.682
"YBR223C"	-0.2555	-0.136	-0.336	-0.1645	1.2	0.483	0.844	0.669	0.469	0.62	0.748	-0.0485	0.0585	NaN	1.086	0.58	0.506	0.509	0.299	0.067	0.159	-0.321	0.132	-0.1495	-0.524	-0.3705	-0.396	-0.473	-0.541	-0.185	0.624	0.284	0.187	-0.467	1.488	-0.905	-0.031	-1.372	-0.269	-0.417	-0.487
"YBR230C"	0.102	-0.132	-0.0695	0.138	3.818	3.52	3.472	3.132	3.122	3.534	3.545	0.2775	1.6635	0.797	3.909	4.829	4.066	4.149	1.894	2.09	2.594	-0.057	0.831	0.119	-0.063	-0.397	-0.3145	-0.6305	-0.473	-0.306	3.751	2.284	1.048	1.526	4.138	2.334	2.38	3.492	3.066	2.735	2.414
"YBR266C"	0.186	0.818	0.551	0.227	-2.822	-3.764	-4.351	-3.869	-2.532	-1.817	-3.376	-0.3395	-0.4555	-0.425	-3.053	-2.042	-2.021	-1.084	-1.649	-2.698	-1.515	0.098	0.665	0.008	0.201	0.3775	0.334	0.3625	0.1405	0.281	-4.774	-3.097	-0.169	-0.341	-3.048	-1.581	-0.93	-1.452	-2.252	-2.624	-2.245
"YBR267W"	-0.105	0.814	0.017	-0.006	-2.82	-3.032	-2.733	-3.366	-2.585	-2.932	-3.102	-0.3235	-0.3785	-0.149	-2.923	-2.102	-0.527	-1.298	-1.142	-2.854	-2.219	0.123	0.761	-0.099	0.388	0.284	0.309	0.4305	0.129	-0.1165	-4.409	-2.571	-0.247	-0.839	-3.123	-1.3	-1.079	-0.346	-1.643	-1.544	-1.474
"YBR271W"	-0.002	0.159	-0.365	-0.064	-2.097	-1.839	-1.411	-2.197	-1.585	-2.214	-1.543	0.023	-0.346	-0.573	-2.206	-1.391	-1.229	-1.13	-1.093	-2.156	-2.035	0.279	0.117	0.086	0.228	0.122	0.0215	0.199	-0.01	0.526	-2.281	-1.954	0.105	-0.537	-1.739	-0.317	-1.142	-0.655	-1.337	-1.33	-1.312
"YCL037C"	-0.153	0.706	0.571	0.113	-2.949	-3.343	3.408	-2.957	-2.341	-3.618	-3.651	-0.076	-0.5885	-0.985	-4.172	-2.907	-2.398	-3.02	-2.769	-2.218	-1.842	-0.135	-0.263	-0.06	0.714	-0.674	-0.3455	-0.456	-0.4435	-1.0395	-2.787	-2.844	-0.039	-0.398	-1.746	-0.905	-0.678	-1.603	-1.487	-2.609	-1.682
"YCL053C"	0.269	0.564	0.218	-0.19	-2.18	-2.892	-2.257	-2.571	-2.61	-3.477	-3.061	-0.327	-0.7155	-0.901	-4.013	-2.459	-1.834	-1.096	-1.563	-2.694	-1.782	0.039	0.212	-0.1325	0.334	0.0145	0.1195	0.006	0.0265	0.233	-3.2	-1.143	-0.099	-0.626	-1.866	-1.047	-0.852	-2.198	-1.966	-1.884	-1.709
"YCL054W"	-0.31	0.731	0.406	0.093	-3.412	-3.545	-3.187	-2.942	-2.871	-3.741	-3.668	-0.469	-0.4775	-0.987	-3.386	-2.092	-2.133	-1.078	-1.571	-2.121	-2.124	-0.088	0.208	0.121	0.677	0.12	0.009	0.286	0.121	0.102	-4.039	-4.037	-0.271	-0.594	-3.761	-1.981	-1.406	-2.26	-2.49	-2.753	-2.009
"YCL059C"	-0.05	0.703	0.205	0.005	-1.314	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	-0.3605	-1.621	-0.796	-4.786	-2.115	-1.94	-1.722	-1.769	-2.27	-1.67	0.019	-0.288	0.0035	0.758	0.5575	0.4215	0.493	0.39	0.612	-4.664	-2.908	-0.095	-1.001	-4.436	-1.808	-1.364	-1.747	-1.962	-2.286	-1.701
"YCR072C"	-0.105	0.358	-0.303	0.064	-2.145	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	-0.4475	-0.597	-0.565	-4.777	-2.891	-2.433	-2.412	-2.8	-3.092	-2.773	-0.038	0.55	-0.0405	0.27	0.022	0.053	0.112	-0.039	-0.202	-4.635	-4.551	-0.598	-0.797	-3.703	-2.759	-2.052	-2.177	-2.792	-3.033	-2.592
"YCR087W"	0.045	0.774	0.658	0.2	-1.183	-2.207	-1.603	-1.898	-1.939	-2.231	-1.945	-0.295	-0.3985	-0.694	-0.709	-0.803	-0.285	-0.85	0.104	-1.184	-0.18	-0.092	0.023	-0.0065	0.498	0.0465	0.055	0.3275	0.2765	-0.496	-2.45	-1.787	0.533	-0.579	-2.163	-1.459	-1.855	-2.425	-2.244	-1.924	-2.09
"YDL031W"	0.091	0.532	0.161	-0.211	-2.218	-2.88	-2.123	-2.3335	-2.1535	-2.805	-2.451	-0.1535	-0.42	-0.656	-2.5295	-1.061	-1.48	-0.963	-1.4865	-2.234	-1.5645	0.019	-0.2165	0.1475	0.4315	-0.072	0.1155	0.2355	-0.023	0.1515	-2.6385	-2.583	0.658	-0.05	-2.16	-1.297	-1.233	-1.327	-1.517	-1.597	-1.356
"YDL041W"	-0.043	-0.103	0.031	-0.275	-0.087	-0.485	-0.273	-0.886	-1.064	-1.584	-1.3	-0.139	-0.273	-0.677	0.19	0.101	-0.209	-0.065	-0.348	-0.885	-0.142	0.037	-0.003	-0.171	-0.097	0.054	0.117	-0.063	-0.034	0.084	-1.666	-0.433	-0.437	0.275	-0.385	-1.177	-1.852	-2.178	-1.295	-2.252	-1.605
"YDL062W"	0.134	0.635	0.111	0.11	-2.058	-3.223	-3.007	-2.714	-2.741	-3.056	-2.043	-0.478	-1.012	-1.035	-2.463	-1.977	-1.768	-1.336	-1.244	-1.918	-1.869	-0.264	0.133	0.026	-0.188	-0.191	0.01	0.137	0.042	0.088	-3.168	-1.685	NaN	-1.08	-2.908	-1.785	-1.66	-2.384	-2.234	-2.232	-1.873
"YDR083W"	0.045	0.312	-0.131	-0.116	-2.465	-2.781	-3.54	-3.602	-2.743	-3.018	-3.242	-0.03	-0.695	-0.896	-3.47	-2.724	-1.65	-1.598	-1.928	-2.697	-1.847	-0.056	-0.229	0.177	0.539	0.429	0.319	0.308	0.329	0.583	-3.386	-3.178	-0.05	0.06	-2.713	-1.037	-1.088	-0.998	-1.658	-1.563	-1.836
"YDR087C"	0.601	0.293	0.397	0.224	-2.034	-3.126	-4.331	-4.143	-2.758	-3.643	-3.468	-0.009	-0.34	-0.535	-4.139	-2.976	-2.337	-1.909	-3.312	-2.528	-2.208	0.061	-0.149	0.311	0.132	0.597	0.158	0.565	0.383	0.673	-4.13	-3.928	0.364	-0.185	-3.396	-1.812	-1.297	-1.629	-1.73	-1.961	-1.691
"YDR101C"	0.161	0.692	0.352	0.094	-3.098	-3.513	-3.593	-3.404	-3.0	-3.74	-3.659	-0.271	-0.561	-0.599	-4.306	-3.203	-3.082	-2.55	-2.948	-3.385	-2.743	0.113	-0.179	0.107	0.633	-0.079	0.113	0.039	-0.231	-0.008	-3.253	-3.244	0.435	-0.197	-3.048	-1.941	-1.438	-2.454	-1.833	-2.501	-2.303
"YDR129C"	0.144	-0.262	-0.017	-0.204	1.437	2.102	1.904	1.626	1.799	1.854	1.869	0.309	0.712	0.374	1.497	0.755	0.265	0.216	-0.532	0.924	0.255	0.087	0.345	-0.052	-0.203	0.448	0.425	0.257	0.117	-0.072	1.874	1.387	0.37	0.372	2.201	0.673	0.849	0.715	1.144	1.146	1.588
"YDR165W"	-0.044	0.465	0.261	0.134	-2.444	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-0.159	-0.712	-0.495	-4.096	-2.538	-2.179	-2.247	-2.27	-3.015	-2.243	0.27	0.113	-0.044	0.372	0.428	0.436	0.323	0.145	0.44	-2.787	-3.068	-0.149	-0.758	-3.205	-1.941	-1.724	-2.032	-2.535	-2.739	-2.779
"YDR171W"	-0.23	-1.058	-0.826	-0.5	6.617	6.083	5.884	5.56	5.126	6.153	6.24	1.318	1.996	2.842	5.287	5.106	4.359	4.594	4.392	5.134	4.94	0.068	1.02	-0.688	-2.207	1.295	1.215	0.923	1.239	-1.17	5.398	5.035	0.469	0.793	4.639	3.151	3.756	3.862	2.45	3.21	3.845
"YDR204W"	-0.278	-0.607	-0.088	0.032	2.053	2.454	2.245	2.273	1.933	2.734	2.548	-0.182	0.424	1.271	3.146	2.65	2.557	2.334	2.438	1.659	1.476	-0.17	0.815	0.118	-1.075	0.427	0.448	0.459	0.31	0.176	2.994	2.346	0.01	0.88	2.826	1.124	1.891	1.618	1.462	1.428	1.299
"YDR324C"	-0.201	0.352	0.028	-0.478	-3.084	-3.512	-3.118	-2.824	-2.336	-3.184	-3.012	-0.453	-0.809	-0.969	-3.361	-2.361	-1.762	-1.602	-1.813	-2.212	-1.921	-0.215	0.562	-0.173	0.127	-0.081	0.092	0.188	-0.402	-0.014	-3.609	-2.29	-0.7965	-0.7865	-3.2975	-1.1195	-1.203	-1.8575	-1.697	-1.8785	-1.4765
"YDR398W"	-0.158	0.564	-0.155	0.001	-4.395	-5.035	-4.725	-4.358	-3.115	-4.082	-3.388	-0.532	-0.984	-0.225	-4.143	-2.42	-2.114	-1.993	-1.937	-3.069	-2.517	0.266	0.612	0.385	0.279	0.138	0.191	0.27	-0.022	-0.356	-4.269	-4.76	0.201	-0.558	-3.061	-2.117	-1.864	-1.868	-2.064	-2.867	-1.751
"YDR412W"	-0.091	0.427	0.291	0.407	-2.971	-2.735	-2.222	-2.09	-1.984	-2.552	-2.649	-0.253	-0.426	-0.478	-2.38	-1.406	-1.391	-0.997	-1.15	-2.216	-1.595	0.225	0.031	-0.007	0.546	0.384	0.254	0.324	0.239	0.368	-2.914	-2.5	0.276	-0.321	-2.305	-0.914	-0.892	-1.059	-1.242	-1.544	-1.328
"YDR413C"	0.183	0.507	0.427	0.148	-2.352	-2.496	-2.582	-2.392	-1.803	-2.779	-2.502	-0.072	-0.432	-0.608	-2.622	-2.121	-1.802	-1.452	-1.58	-1.399	-1.215	0.15	-0.212	0.208	0.544	0.153	0.222	0.298	0.039	0.339	-2.652	-2.964	-0.101	0.136	-2.336	-1.157	-0.748	-1.341	-1.682	-1.773	-1.672
"YDR465C"	0.404	0.49	0.137	-0.173	-1.599	-3.378	-3.723	-4.511	-3.218	-3.765	-3.563	-0.067	-0.657	-0.363	-4.438	-3.006	-2.225	-1.892	-1.621	-1.835	-1.963	0.143	-0.16	0.025	0.478	0.083	0.104	0.177	0.13	0.113	-3.782	-4.693	0.338	-0.087	-3.552	-2.647	-2.427	-2.713	-2.72	-2.477	-2.669
"YEL055C"	-0.178	0.426	0.517	0.145	-1.6645	-2.2345	-1.5715	-1.8225	-1.6485	-1.8795	-2.0	-0.347	-0.7055	-0.936	0.218	-0.2405	-0.4955	-0.558	-0.149	-0.322	0.185	0.158	-0.355	0.0935	0.416	-0.189	0.061	-0.0215	-0.2395	-0.056	-1.227	-0.5285	0.2565	-0.1625	-0.6735	-0.649	-0.2125	-0.765	-0.971	-1.3735	-1.165
"YER067W"	-0.324	-1.292	-0.388	0.503	4.551	5.719	5.663	5.641	4.993	5.958	6.295	3.087	1.552	1.88	6.406	5.001	5.077	4.451	3.816	5.941	6.056	-0.013	-1.437	-0.098	-1.265	0.416	0.295	0.123	0.061	-0.897	6.706	3.976	0.868	1.504	6.041	3.857	3.569	3.118	4.079	3.309	3.955
"YER150W"	0.249	-1.119	-1.169	-1.751	2.798	5.585	4.539	4.101	4.447	4.749	4.983	2.395	2.672	3.521	6.012	5.312	5.241	4.681	4.88	4.743	4.495	0.101	1.763	0.945	-1.993	-0.114	-0.165	0.031	0.175	-1.393	6.349	4.957	1.694	3.096	6.994	4.459	5.499	5.656	3.673	4.15	3.586
"YFL002C"	-0.035	0.474	0.22	0.056	-2.007	-2.172	0.835	-2.065	-1.469	-2.01	-1.793	-0.142	-0.465	-0.7	-1.812	-0.894	-0.758	-1.038	-0.661	-1.389	-1.103	-0.012	-0.002	-0.108	-0.027	0.18	0.351	0.305	0.302	0.234	-2.08	-0.392	-0.018	0.234	-1.257	-0.93	-0.816	-1.179	-1.048	-1.023	-0.9
"YFR053C"	0.266	-0.526	-0.267	0.356	5.157	5.916	4.752	4.876	5.265	6.125	6.12	2.04	2.2	0.941	4.333	2.831	3.413	3.138	3.637	3.986	3.847	0.527	1.104	-0.115	-1.611	0.744	0.828	0.833	0.837	-0.268	4.784	5.495	1.206	2.897	5.992	2.561	1.137	-0.685	3.262	2.729	2.788
"YGL037C"	-0.437	-0.611	-0.341	-0.439	4.841	4.922	5.031	4.738	4.635	4.777	4.892	1.304	2.239	1.935	4.226	2.658	2.571	2.753	2.279	2.045	1.464	-0.044	1.266	-0.098	-2.021	0.912	0.894	0.52	0.729	-0.759	4.782	5.736	1.947	2.651	4.634	3.48	3.247	3.083	4.193	3.695	3.872
"YGL171W"	0.043	0.708	0.335	0.099	-3.422	-4.302	3.479	-4.243	-2.091	-3.818	-3.208	-0.207	-0.954	-1.258	-5.822	-2.949	-2.078	-1.942	-1.839	-2.759	-2.384	0.044	0.044	0.01	0.183	0.058	0.362	0.29	0.276	0.383	-3.658	-3.355	-1.038	-1.605	-3.848	-2.696	-1.697	-2.775	-1.819	-2.349	-1.616
"YGR019W"	-0.169	-0.368	-0.138	0.055	2.0	3.016	2.962	2.8	2.58	3.009	2.976	0.743	0.988	2.242	4.045	3.096	3.778	3.356	2.847	2.14	2.056	-0.031	0.942	-0.189	-0.997	0.696	0.814	0.63	0.486	0.071	2.898	1.815	0.534	0.224	3.364	1.371	1.729	2.038	1.952	2.524	1.859
"YGR123C"	0.001	0.347	-0.304	-0.199	-1.982	-3.5875	-2.638	-3.2965	-3.0495	-4.1895	-3.748	-0.361	-0.954	-0.483	-4.447	-2.7	-2.234	-2.041	-2.224	-2.878	-2.97	0.124	-0.323	-0.141	0.889	-0.159	0.033	-0.091	-0.408	-0.234	-4.594	-2.795	-0.361	-0.117	-3.836	-1.757	-1.188	-1.103	-1.318	-2.132	-1.701
"YGR127W"	0.267	0.055	-0.669	0.072	1.8105	2.0945	1.8015	2.0255	1.6685	2.161	2.077	0.513	0.779	0.681	2.335	1.652	1.856	1.474	1.493	1.786	1.861	0.014	-0.153	-0.1	-0.224	0.262	0.204	0.376	0.27	0.024	2.175	3.264	0.502	0.801	2.788	1.675	1.323	2.07	1.699	2.214	1.955
"YGR128C"	0.347	0.099	-0.079	-0.352	-2.88	-2.985	-2.926	-3.042	-2.4315	-3.197	-2.749	-0.203	-0.394	-0.693	-3.032	-2.601	-2.603	-2.213	-2.665	-2.816	-2.202	0.001	0.153	0.096	0.408	0.155	0.21	0.293	0.147	0.363	-2.534	-2.714	0.384	0.386	-0.921	-2.09	-1.597	-2.299	-1.668	-2.01	-2.046
"YGR160W"	-0.017	0.985	0.216	-0.201	-5.206	-6.235	-5.8935	-5.9475	-5.567	-6.207	-4.6575	-0.828	-1.161	-0.424	-4.796	-4.983	-4.886	-3.976	-2.931	-2.892	-2.69	0.323	0.0	-0.184	1.976	-0.833	-0.628	-0.418	-0.665	-0.361	-6.3385	-4.64	0.009	-0.812	-4.708	-4.016	-3.534	-3.889	-3.562	-4.044	-3.98
"YGR243W"	-0.695	0.055	0.066	0.298	3.8465	3.233	3.0145	2.825	2.767	1.0685	2.8095	0.745	-0.098	0.849	4.614	4.911	5.283	4.612	5.612	3.855	4.495	-0.187	-1.008	0.164	0.091	-0.276	-0.317	-0.127	-0.073	-0.67	3.3865	4.307	0.195	0.772	5.734	1.791	3.444	2.05	3.234	3.035	2.804
"YGR245C"	0.332	0.883	0.234	0.096	-2.6095	-5.097	-5.457	-5.1995	-3.9345	-4.2355	-3.9115	-0.567	-1.372	-1.114	-4.207	-2.765	-2.396	-1.545	-2.045	-3.273	-2.711	0.071	-0.176	-0.052	0.903	-0.255	-0.09	0.117	-0.185	-0.031	-4.6765	-4.281	-0.123	-0.92	-3.415	NaN	NaN	-1.384	-2.731	-2.457	-2.56
"YGR248W"	-0.285	-1.846	-1.505	-1.256	5.5605	6.0655	6.403	5.962	5.4885	6.052	5.5355	1.799	2.548	1.899	5.321	3.744	3.592	4.192	2.991	3.461	3.003	0.028	2.127	0.271	-2.679	-0.329	-0.514	-0.538	-0.48	-1.266	7.005	4.665	1.677	3.245	6.811	3.377	3.678	3.843	3.488	3.097	4.161
"YHL021C"	0.269	-0.86	-0.672	-0.116	5.6195	5.88	5.7395	5.508	4.666	5.5395	5.718	1.708	2.605	0.904	5.13	4.387	4.461	4.022	3.435	4.726	4.548	-0.061	0.425	-0.56	-1.014	0.298	0.328	0.043	0.31	-0.67	5.9365	6.107	1.374	2.157	6.624	3.506	3.953	3.438	3.632	2.568	3.841
"YHR052W"	-0.409	0.726	0.152	0.049	-3.848	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	-0.362	-0.687	-0.49	-4.199	-3.017	-2.239	-2.075	-2.282	-2.565	-2.428	-0.033	0.479	0.119	0.892	0.517	0.643	0.735	0.345	0.555	-4.9395	-2.827	-0.693	-0.601	-3.47	-3.048	-2.533	-3.44	-2.249	-1.949	-2.227
"YHR065C"	0.117	0.166	-0.214	-0.325	-3.0535	-3.0405	-2.515	-2.4595	-1.6845	-3.2925	-3.089	-0.192	-0.237	-0.596	-4.558	-2.142	-2.281	-1.573	-2.105	-1.784	-1.098	-0.114	0.219	0.252	-0.031	0.622	0.294	0.517	0.552	0.433	-3.37	NaN	0.514	0.523	-3.429	-1.043	-1.556	-1.449	-0.75	-1.826	-1.496
"YHR087W"	0.099	-0.831	-0.606	-0.656	6.0195	5.7105	5.698	5.252	6.08	5.929	6.501	1.672	1.753	2.772	3.602	3.744	2.307	4.087	2.235	2.8	2.77	-0.14	-0.348	0.26	-1.985	0.276	0.076	0.086	0.234	-1.085	6.1195	6.178	0.599	2.794	5.778	2.56	4.454	3.27	4.231	4.436	4.069
"YHR104W"	-0.467	-0.588	-0.483	-0.289	4.5615	4.906	4.8105	4.6215	4.247	4.658	4.7775	2.332	3.482	1.921	3.691	1.878	1.323	1.523	0.775	1.606	1.196	-0.152	1.108	-0.098	-1.802	0.68	0.622	0.418	0.536	-0.632	5.319	5.002	0.802	1.513	3.963	3.36	3.029	2.538	3.061	2.262	2.601
"YHR140W"	-0.118	-1.346	-0.907	-0.742	1.692	2.763	3.924	2.129	2.249	2.5795	2.139	0.89	1.608	0.569	3.244	1.975	2.698	2.314	1.949	1.19	0.41	-0.78	-0.272	0.474	-1.973	-0.472	-0.571	-0.073	-0.076	-0.04	3.218	2.645	1.326	2.146	3.676	1.185	0.797	2.68	1.636	2.559	1.375
"YHR169W"	-0.226	0.519	-0.132	-0.067	-2.238	-3.982	-3.7575	-3.384	-2.497	-3.146	-2.919	-0.578	-0.731	-0.624	-4.241	-3.115	-2.216	-2.175	-1.952	-3.141	-2.365	0.061	0.445	-0.009	0.041	-0.036	0.024	0.12	-0.093	-0.303	-3.6155	-2.583	0.143	-0.142	-2.087	-0.316	0.223	-0.692	-1.699	-1.969	-1.795
