	"35.alpha factor release sample015"	"40.alpha factor release sample029"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"1013.YPD 1 d (25C)"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12732.Nitrogen Depletion 4 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YHR169W"	-1.261	-0.226	-1.8925	-2.238	-3.982	-3.7575	-3.384	-2.497	-3.146	-2.919	-0.578	-2.447	-2.003	-4.241	-2.216	-2.175	-0.634	0.28	-1.325	-0.009	-0.752	-0.522	-2.51	-1.985	0.062	-0.303	-0.444	-3.6155	0.577	-1.932	-2.583	-1.533	-2.143	-1.636	-1.454	-1.154	-0.732	NaN
"YHR197W"	-1.009	-0.588	-1.616	-3.192	-3.7705	-3.293	-3.414	-2.9045	-3.415	-3.1475	-0.661	-2.573	-2.318	-2.813	-2.262	-1.863	-0.557	-0.055	-1.778	-0.004	-1.483	-0.318	-1.601	-2.109	0.015	-0.412	-1.089	-2.7335	0.366	-2.811	-2.933	-2.761	-2.324	-2.722	-1.689	-1.608	-1.138	-1.919
"YJL217W"	-0.195	0.06	1.196	2.749	3.121	3.01	2.9075	1.454	2.6275	0.794	-0.136	1.574	1.717	1.191	2.379	1.862	0.842	0.724	2.156	-0.629	-0.214	-0.191	0.056	-1.111	-0.603	-0.228	-0.058	3.9495	0.163	1.926	2.153	2.053	1.648	2.74	2.246	1.895	0.151	-1.471
"YKL099C"	-0.913	0.115	-1.49	-2.757	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	-0.365	-2.672	-2.33	-4.145	-2.146	-1.585	-0.421	0.006	-1.746	0.19	-1.143	-0.632	-1.41	-2.597	0.122	0.963	0.653	-3.926	0.921	-3.154	NaN	-2.909	-2.675	-2.722	-1.825	-1.288	-0.837	-1.777
"YKR056W"	-0.959	-0.27	-2.701	-3.646	-4.01	-3.863	-3.872	-2.945	-3.217	-3.127	-0.501	-2.718	-2.101	-4.495	-2.343	-2.336	-0.708	0.126	-1.639	-0.129	-1.019	-0.336	-1.795	-2.896	-0.045	0.198	-0.256	-3.682	0.803	-1.97	-2.586	-2.146	-2.145	-2.061	-1.311	-1.061	-1.306	-0.569
"YLR003C"	-0.943	-0.112	-1.191	-2.628	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-0.289	-2.267	-2.257	-3.378	-2.083	-1.89	-0.356	0.19	-1.951	0.049	-1.268	-0.704	-1.689	-1.985	-0.094	0.731	0.325	-3.305	0.614	-2.062	-2.573	-1.447	-1.706	-2.402	-1.32	-1.764	-0.815	-1.038
"YLR196W"	-1.618	-0.171	-1.895	-4.71	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-0.604	-2.562	-2.364	-5.083	-3.156	-2.049	-0.772	0.058	-2.182	0.24	-1.102	-0.356	-1.581	-2.793	0.096	-0.098	-0.476	-5.097	0.434	-2.941	-3.697	-2.702	-2.416	-2.671	-2.167	-1.969	-2.265	-2.302
"YLR221C"	-0.673	-0.083	-0.389	-1.904	-3.146	-2.525	-2.286	-2.172	-2.998	-2.528	-0.258	-2.179	-1.971	-2.998	-1.521	-1.444	-0.246	0.075	-1.754	0.144	-1.311	-0.645	-1.365	-2.46	-0.083	0.537	0.098	-3.231	0.865	-2.169	-3.034	-2.382	-0.844	-2.79	-1.899	-1.498	-1.37	-0.833
"YML093W"	-0.857	-0.044	-1.261	-3.602	-4.507	2.565	-2.615	-2.741	-3.357	-3.472	-0.345	-2.686	-2.477	-4.947	-1.941	-1.822	-0.276	-0.327	-1.656	0.305	-0.895	-0.477	-1.436	-2.468	0.114	0.128	-0.168	-3.703	0.427	-3.959	-7.708	-2.717	-3.407	-3.619	-1.984	-2.192	-2.403	-2.841
"YMR195W"	-0.326	0.122	2.159	3.083	2.709	2.486	2.047	2.198	2.406	2.522	0.391	1.834	1.747	2.323	2.02	1.815	1.945	1.604	1.917	0.108	0.56	-0.19	1.319	0.902	-0.187	0.512	0.611	2.44	0.576	2.681	2.322	1.778	1.811	2.833	0.994	1.557	1.772	0.322
"YMR196W"	1.102	0.21	2.501	4.38	5.12	3.812	4.798	3.301	3.788	3.815	0.358	3.011	3.022	2.691	2.638	2.071	1.659	-0.125	2.225	-0.122	0.65	0.369	1.675	1.374	-0.176	-0.195	0.826	4.01	-0.447	1.894	3.052	2.023	0.621	1.921	1.705	1.189	1.57	0.993
"YNL002C"	-0.723	0.249	-1.466	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.236	-2.627	-2.564	-5.196	-2.785	-2.336	-0.578	0.02	-2.209	-0.059	-1.678	-0.42	-1.829	-2.774	0.328	0.813	0.195	-4.603	1.101	-3.249	-3.481	-2.594	-1.818	-3.245	-1.514	-2.181	-2.211	-1.986
"YNL061W"	-1.274	-0.18	-1.292	-3.447	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	-0.208	-2.673	-2.373	-4.329	-1.794	-1.22	-0.228	0.258	-1.421	-0.042	-0.682	-0.184	-1.324	-2.599	-0.049	0.212	0.032	-5.38	0.258	-3.059	-3.925	-2.946	-1.248	-2.461	-0.996	-1.085	-1.055	-2.265
"YNL113W"	-0.952	-0.027	-1.182	-1.831	-3.404	-2.327	-2.697	-2.322	-2.536	-2.502	-0.301	-1.612	-1.457	-5.347	-2.736	-2.957	-0.58	-0.372	-1.962	-0.176	-1.384	-0.421	-1.757	-2.941	0.145	0.62	0.285	-3.986	0.655	-3.209	-2.788	-1.691	-1.872	-2.526	-0.986	-2.059	-1.773	-1.573
"YNL313C"	-0.284	-0.596	-1.588	-3.06	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-0.532	-2.31	-1.97	-4.999	-2.073	-2.007	-0.297	-0.58	-1.544	0.106	-0.589	-0.207	-2.117	-1.939	0.078	0.073	-0.8	-3.009	-0.127	-3.183	-2.824	-2.352	-1.722	-1.81	-0.474	-1.672	-1.421	-1.026
"YOR145C"	-1.033	0.275	-1.86	-3.045	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	-0.167	-2.441	-1.805	-4.1305	-1.7885	-1.4615	-0.373	-0.033	-0.757	-0.001	-1.019	-0.449	-1.641	-2.938	0.119	0.373	0.012	-3.948	1.006	-3.355	-3.644	-2.806	-2.601	-3.265	-1.728	-1.893	-1.091	-1.048
"YOR206W"	-1.069	-0.135	-1.46	-3.294	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-0.41	-2.894	-2.77	-5.827	-2.0395	-1.991	-0.1925	-0.0905	-2.026	-0.2	-1.778	-0.421	-1.355	-3.65	0.254	0.378	-0.137	-5.066	0.971	-3.782	-3.839	-2.816	-2.799	-4.003	-1.781	-1.507	-2.379	-2.104
"YOR294W"	-1.465	-0.2	-2.345	-3.856	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-0.61	-2.434	-2.234	-5.6475	-1.914	-1.2675	-0.2585	0.2015	-1.517	-0.128	-1.07	-0.582	-2.141	-3.461	0.104	-0.103	0.08	-4.852	0.753	-3.894	-4.841	-3.679	-2.871	-3.042	-2.462	-1.895	-1.229	-1.992
"YPR144C"	-0.375	0.214	-1.347	-1.792	-4.441	-3.739	-4.211	-2.783	-3.783	-3.366	-0.042	-2.554	-1.9485	-3.855	-2.235	-1.9295	-0.7625	-0.2825	-1.327	0.207	-0.639	-0.344	-1.424	-1.376	0.019	0.031	-0.379	-4.107	0.285	-3.581	-3.213	-2.381	-2.379	-2.677	-1.688	-1.752	-0.96	-0.806
