	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"298.Tunicamycin vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7764.Na+FK 45min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YGR101W"	0.501	0.778	0.503	-0.264	0.315	0.755	0.828	-0.062	1.565	1.242	0.55	0.349	0.119	-1.545	0.434	-0.918	0.435	0.045	0.511	-0.322	0.0	0.085	-0.478	-0.187	0.208	-0.951	-0.566	-0.079	-0.215	0.009	0.814	1.649	1.194	0.417	1.653	1.01	1.009	0.412	-0.247	-0.799	-1.79	-0.925	-0.542	0.012
"YGR165W"	-0.141	0.027	0.3905	-0.612	0.575	0.2115	0.1585	-0.646	1.915	1.248	0.875	0.124	-0.181	-2.32	0.753	-0.163	0.323	0.238	1.222	-0.136	-0.101	-0.037	0.205	0.087	-0.229	-0.178	-0.256	0.031	-0.251	0.11	0.087	1.336	0.346	0.209	1.585	0.849	0.603	0.115	-1.326	-0.896	-0.682	-0.315	-0.254	NaN
"YGR174C"	1.7315	1.5265	1.478	-0.103	1.5415	1.285	1.3405	-0.184	3.717	3.294	2.305	1.833	2.188	-0.433	2.02	0.339	1.735	1.85	2.415	1.087	1.705	2.01	0.363	0.007	2.342	1.128	1.163	0.443	1.154	-0.253	1.809	3.235	3.542	2.336	3.947	3.312	2.576	2.911	1.554	0.643	0.079	0.316	0.628	-0.459
"YHL021C"	5.6195	5.88	5.508	0.472	2.7225	5.5395	5.718	2.368	5.13	4.387	4.461	4.022	3.563	1.842	5.062	2.011	4.726	4.548	3.904	3.646	3.694	2.488	4.431	3.239	2.717	1.234	0.073	-0.213	-0.483	-0.577	5.9365	6.428	4.596	3.722	6.624	4.847	4.725	3.995	3.438	3.671	0.356	0.234	0.432	0.826
"YHR096C"	4.316	5.573	4.401	1.092	2.5435	5.0375	5.238	1.799	4.284	5.741	5.093	5.155	5.155	4.745	4.524	0.585	4.426	4.823	3.276	4.069	4.974	4.183	2.941	2.337	2.974	2.108	3.156	2.415	2.23	3.201	6.7425	5.589	5.478	4.324	4.216	6.151	4.914	6.856	5.733	4.467	1.377	3.821	4.401	4.015
"YKL085W"	2.143	2.516	2.611	-0.564	1.299	2.557	2.992	0.409	4.338	4.621	4.735	3.853	2.829	0.748	2.486	0.302	2.52	2.675	3.733	3.587	2.72	2.135	1.53	1.457	1.962	0.684	1.323	0.506	0.164	0.424	2.286	3.126	3.575	3.463	2.917	3.615	3.704	3.219	0.758	0.406	-1.501	-0.153	-0.337	-0.341
"YLR193C"	1.331	1.013	0.885	-0.452	0.679	0.996	0.939	0.464	1.755	1.818	1.825	1.378	0.758	-0.383	1.388	-0.328	0.986	1.35	1.851	0.639	0.99	1.153	0.391	0.314	0.475	0.183	0.344	0.399	0.213	0.444	1.288	1.516	2.362	1.674	2.205	2.279	2.461	2.092	0.828	0.877	0.098	-0.08	-0.346	-0.431
"YML128C"	5.766	6.859	6.4	1.133	4.821	4.736	4.769	3.897	4.497	4.007	4.229	5.074	4.836	4.05	4.137	1.686	4.28	4.369	4.504	4.485	4.304	5.155	4.48	3.393	0.407	3.275	3.79	3.922	3.917	3.988	5.297	5.111	4.729	4.503	5.91	5.407	3.945	5.151	4.05	3.327	2.171	2.418	3.505	3.255
"YNL100W"	1.52	1.116	0.937	-0.212	0.999	0.762	0.871	0.353	2.554	1.745	1.228	1.051	0.779	-1.57	1.946	0.212	1.411	1.439	2.194	1.016	0.942	1.054	0.782	0.58	0.651	0.71	0.391	0.361	0.358	0.732	0.874	2.7	3.137	1.661	2.761	2.339	1.488	0.83	0.676	0.144	-0.172	-0.454	-0.311	-0.029
"YOR187W"	0.909	1.372	0.835	-1.491	0.931	0.692	0.814	-0.281	2.1395	1.939	1.163	0.3345	-0.503	-1.404	0.531	-0.2505	0.1555	0.213	2.11	0.506	0.43	0.651	-0.656	-0.568	-0.206	-0.907	-1.325	-0.983	-0.91	-1.284	0.817	1.381	1.463	0.931	1.964	1.564	1.349	0.114	-1.208	-1.222	-2.535	-1.673	-1.917	-1.321
