	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4048.0.8M NaCl +FK506 - 30 min"	"4782.DBYtrr1 vs. wild type DBY7286"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15638.Ca+FK 60min (2)"	"30463.Pomona/Brown pol2-12 red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"38146.03II01 batch p2"
"YGR043C"	1.482	3.734	5.04	4.645	5.049	3.768	2.61	5.232	4.833	1.146	2.615	3.773	3.308	3.909	3.614	1.845	5.679	4.9	5.707	5.692	6.003	2.993	4.673	1.282	4.765	4.955	-0.323	-0.205	2.13	-0.028	4.853	1.371	4.445	5.025	5.539	3.618	4.531	4.874	-0.032	0.033	4.615	-1.239	5.961	3.806	4.694	4.617	4.377	4.705	4.833	1.82	0.498	5.792	5.627	4.968	6.098	5.083	4.91	5.837	-0.138	-0.193	0.753	-0.453
"YGR088W"	4.155	5.667	6.373	2.723	5.936	3.332	4.829	5.213	6.038	1.857	4.316	4.414	4.325	2.994	1.65	0.68	6.03	3.589	5.131	5.593	6.165	3.755	3.901	2.144	3.493	3.678	-0.031	0.006	1.851	0.373	5.535	1.254	4.761	5.015	4.802	4.026	4.788	5.016	0.093	0.068	4.381	-3.226	6.94	4.807	4.652	1.854	4.961	4.689	1.683	0.232	0.457	4.087	3.753	4.258	6.174	5.244	3.587	5.949	-0.292	0.038	0.714	-0.667
"YGR248W"	4.6225	5.5605	6.0655	6.403	5.962	4.041	5.4885	6.052	5.5355	1.448	4.562	4.584	4.245	3.157	1.899	0.737	5.321	3.744	3.592	4.192	4.402	3.331	3.979	-0.551	3.461	3.003	0.186	0.225	2.919	0.947	4.781	1.494	3.363	4.308	4.92	3.473	4.322	5.049	-0.116	0.308	4.404	-0.478	7.005	3.643	4.063	3.021	3.786	4.364	3.153	1.086	0.407	6.168	6.124	5.273	6.811	5.604	4.018	4.819	0.022	0.614	0.933	-0.986
"YHL021C"	4.2195	5.6195	5.88	5.7395	5.508	2.7225	4.666	5.5395	5.718	2.162	3.993	3.235	2.628	1.644	0.904	0.873	5.13	4.387	4.461	4.022	3.563	3.387	5.062	2.056	4.726	4.548	0.393	0.424	2.957	1.13	4.431	0.276	3.59	3.443	3.832	2.99	3.239	3.337	0.057	0.347	2.717	-3.624	5.9365	4.618	4.633	2.747	4.214	4.775	3.433	-0.161	0.504	6.428	4.596	3.722	6.624	4.847	4.725	3.995	0.576	0.756	1.408	-0.611
"YHR016C"	1.55533333333333	2.38766666666667	2.94566666666667	0.621666666666667	2.61933333333333	1.07233333333333	2.163	2.52366666666667	2.28866666666667	0.0815	1.736	1.838	1.772	1.086	0.547	0.276	0.0354999999999999	0.243	-0.0735	-0.1185	-0.7885	0.2705	-1.1195	-0.384	0.334	-0.628	-0.1135	-0.1785	0.8105	-0.3875	1.4385	0.013	0.9745	1.362	1.1185	0.6975	1.002	1.577	-0.109	-0.075	1.084	0.02	2.662	0.69	1.779	1.181	1.094	1.459	1.313	0.007	0.41	2.325	2.338	1.917	3.443	2.046	1.937	1.191	0.177	0.64	0.3	-0.027
"YHR087W"	4.8165	6.0195	5.7105	5.698	5.252	5.246	6.08	5.929	6.501	2.036	4.664	3.281	3.433	2.884	2.772	1.548	3.602	3.744	2.307	4.087	2.742	3.776	3.264	-0.372	2.8	2.77	-0.365	-0.405	1.908	0.668	5.013	1.476	5.067	5.497	5.933	4.806	5.093	4.962	-0.055	0.744	4.359	-1.548	6.1195	5.549	5.607	5.374	5.113	5.372	4.281	2.02	0.29	6.108	4.15	3.908	5.778	4.259	3.36	4.227	0.94	1.199	1.27	-0.646
"YHR104W"	3.0845	4.5615	4.906	4.8105	4.6215	3.2725	4.247	4.658	4.7775	1.524	2.864	2.908	3.044	2.511	1.921	1.539	3.691	1.878	1.323	1.523	1.914	1.404	1.183	0.097	1.606	1.196	0.357	0.454	1.573	0.748	3.233	0.154	2.72	3.95	4.176	2.268	3.382	3.895	-0.189	0.007	1.128	-0.763	5.319	3.745	4.395	4.104	3.853	4.573	3.932	0.761	0.417	2.457	1.421	1.698	3.963	2.022	1.53	1.952	0.368	0.605	0.064	-0.11
"YHR195W"	1.2345	1.7435	1.6935	1.897	1.5025	0.85	0.9565	1.262	1.16	0.889	0.873	0.77	0.584	0.275	0.081	-0.378	3.151	1.548	1.496	1.62	1.817	1.464	1.976	-0.252	1.262	1.36	0.233	0.056	0.951	0.333	1.152	-0.046	0.586	1.166	0.955	0.298	0.777	0.766	-0.336	-0.234	1.742	-1.014	1.5155	1.065	1.07	1.198	1.13	1.318	0.831	0.008	0.461	1.314	1.737	1.353	2.657	1.876	1.079	2.427	-0.138	0.061	0.154	-0.178
"YIL071C"	0.891	1.089	0.894	3.024	0.508	-0.065	0.918	1.003	0.893	0.19	0.295	0.092	0.387	0.194	-0.035	0.039	1.292	0.731	1.18	0.871	1.86	0.962	1.02	0.673	0.794	0.783	0.234	-0.057	0.528	-0.037	1.008	-0.005	0.901	1.081	0.846	0.905	1.058	1.0	-0.21	0.041	0.873	-2.415	1.7	0.89	1.247	1.07	0.639	1.013	0.929	0.247	0.185	1.164	1.415	1.252	1.294	1.312	0.794	1.203	-0.152	0.059	-0.076	-1.084
"YIL108W"	0.622	0.3745	0.9605	0.61	0.8155	-0.198	0.792	1.1415	0.786	0.38	0.366	0.466	0.907	0.838	1.143	0.669	1.16	0.562	1.026	0.936	0.973	0.318	0.467	-0.38	0.868	1.104	-0.105	-0.231	0.888	0.741	1.768	-0.479	1.846	2.011	1.805	1.42	1.841	1.894	-0.28	0.129	-0.02	-1.322	0.862	0.832	0.651	0.645	0.74	0.543	0.235	-0.544	0.411	0.324	0.04	-0.03	0.678	0.238	0.076	0.66	-0.259	-0.007	0.046	-0.554
"YIL111W"	1.571	2.817	2.8345	0.59	2.4725	1.592	2.5955	2.9035	2.848	1.094	1.409	1.927	1.891	1.875	1.377	0.638	3.567	0.705	0.653	0.054	0.472	1.691	1.802	-0.592	1.65	0.288	0.456	0.472	1.726	-0.82	2.221	0.244	1.241	2.064	2.07	1.272	1.949	2.162	-0.17	0.073	0.521	0.284	3.6685	2.179	2.703	2.738	2.07	2.692	2.554	1.247	0.123	2.437	1.759	0.968	2.635	2.316	1.215	1.241	1.088	1.004	1.496	-0.508
"YIL113W"	2.127	2.8285	2.7825	2.612	2.181	1.3095	1.781	2.7255	2.616	0.954	1.013	1.284	1.418	0.594	-0.043	-0.216	3.254	1.4	2.026	1.452	1.649	1.478	1.969	-0.905	1.444	1.017	-0.215	-0.35	0.968	-0.392	1.728	0.346	1.108	1.866	1.541	0.897	1.217	1.735	-0.003	0.279	1.355	0.072	3.3115	2.196	2.118	2.054	2.182	2.33	1.77	0.019	-0.244	1.095	1.946	1.336	2.725	1.9	0.773	0.866	0.433	0.234	0.745	-0.236
"YIL136W"	2.6195	4.318	2.297	4.81	4.5115	2.249	3.5705	4.093	3.794	1.621	3.611	3.364	3.375	2.8	1.889	1.189	5.349	6.184	4.276	6.125	3.55	3.374	3.633	0.697	3.895	4.339	-0.273	-0.698	1.32	-0.232	2.974	0.877	3.068	3.701	3.756	2.993	3.409	3.592	-0.044	1.127	5.48	-3.359	3.8555	2.81	3.77	2.523	3.084	3.589	2.666	1.582	0.359	5.402	5.624	5.235	5.469	5.356	5.332	4.327	0.036	0.212	1.107	-0.294
