	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YER118C"	0.492	-0.913	-2.598	-3.457	-1.195	-0.87	-1.557	-1.116	-1.35	-1.371	-2.206	-1.965	0.397	0.963	0.021	-0.26	0.242	0.119	0.081	0.195	-0.994
"YER162C"	-1.223	2.241	3.374	3.649	1.531	1.656	1.782	1.724	1.546	2.103	2.72	2.163	-0.574	-1.117	-0.007	0.263	0.125	0.086	0.144	-0.019	0.824
"YFL004W"	0.475	-0.988	-1.866	-3.639	-0.755	-0.677	-0.945	-0.901	-1.486	-1.927	-2.26	-2.284	0.393	0.532	0.201	0.138	0.558	0.392	0.252	0.205	0.439
"YFR009W"	1.258	-2.017	-3.004	-4.932	-1.105	-1.586	-1.585	-2.089	-2.511	-3.291	-3.978	-4.281	0.735	1.126	0.144	-0.04	0.475	0.471	0.379	0.323	-0.079
"YGL012W"	1.118	-2.128	-3.06	-3.869	-2.067	-2.25	-2.267	-2.143	-2.209	-2.691	-2.742	-2.333	0.771	0.562	0.141	0.092	0.074	0.124	0.189	0.392	-0.371
"YGL016W"	0.819	-1.474	-3.034	-4.265	-1.245	-1.104	-1.391	-1.815	-1.608	-2.599	-3.554	-2.639	0.382	0.479	-0.261	0.109	-0.166	-0.017	0.1	0.142	-0.304
"YGL065C"	-0.077	-0.483	-1.909	-2.778	-0.555	-0.555	-0.818	-0.548	-0.647	-1.365	-1.862	-2.045	0.097	0.016	0.023	0.039	0.07	0.329	0.112	0.19	-0.239
"YGL077C"	1.614	-1.539	-3.716	-3.533	-0.99	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	1.329	1.331	-0.355	-0.546	-0.708	-0.634	-0.648	-0.256	-1.587
"YGR001C"	0.124	-0.842	-2.12	-3.271	-0.842	-0.824	-1.121	-0.879	-0.942	-1.426	-1.682	-2.24	0.441	0.673	0.341	0.146	0.34	0.19	-0.038	-0.077	-1.064
"YGR081C"	0.807	-0.762	-1.378	-3.491	-1.124	-0.735	-0.871	-1.034	-0.88	-1.742	-1.806	-2.296	0.485	1.163	0.474	-0.039	0.497	0.537	0.593	0.378	-0.58
"YGR083C"	0.805	-0.971	-1.845	-4.599	-1.21	-1.183	-0.979	-1.409	-1.27	-2.544	-2.794	-3.226	0.587	1.142	0.183	0.074	0.208	0.342	0.258	0.098	-0.8465
"YGR158C"	0.902	-1.137	-2.12	-2.421	-1.147	-1.084	-1.384	-1.068	-1.121	-1.365	-1.801	-2.176	0.208	0.903	0.001	-0.065	-0.186	-0.059	-0.087	-0.26	-0.388
"YGR185C"	1.186	-2.13	-5.306	-6.361	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.895	1.522	0.194	-0.119	0.296	0.282	0.055	-0.017	-0.461
"YGR189C"	0.439	0.07	-2.638	-4.894	-1.054	-2.342	-2.168	-0.377	-0.919	-2.106	-2.635	-2.874	0.616	1.016	-0.239	-0.194	-0.228	-0.253	-0.072	-0.036	-0.175
"YGR191W"	-0.217	-1.149	-2.367	-3.588	-0.641	-1.1	-1.531	-0.577	-0.83	-0.768	-1.076	-1.387	0.486	0.127	-0.074	0.169	-0.041	0.015	0.303	0.231	-1.253
"YGR229C"	0.092	-1.164	-2.847	-4.256	-1.1	-1.987	-1.316	-1.569	-1.658	-2.401	-2.58	-3.391	0.314	0.013	0.289	0.11	0.27	0.291	0.209	0.133	-0.877
"YGR285C"	1.704	-1.645	-4.078	-6.1	-1.332	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.946	1.749	0.252	0.011	0.107	0.399	0.206	0.102	-0.763
"YHR019C"	1.822	-1.831	-4.051	-5.077	-2.825	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	1.284	2.274	-0.263	-0.089	-0.279	-0.374	-0.334	-0.497	-1.626
"YHR193C"	1.273	-1.341	-3.11	-4.166	-1.491	-1.955	-1.2	-1.494	-1.913	-1.778	-2.357	-2.845	0.537	0.989	0.289	-0.114	0.059	0.007	-0.145	-0.179	-1.099
"YIL078W"	1.358	-2.498	-5.192	-6.059	-2.288	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	0.64	1.692	0.175	-0.204	0.095	0.133	-0.002	-0.013	-2.253
"YJR003C"	0.5	-0.767	-2.48	-3.457	-1.02	-0.552	-1.397	-0.824	-0.91	-2.176	-2.349	-2.42	0.119	0.64	0.089	-0.159	0.158	0.114	0.182	0.192	-0.367
"YJR007W"	0.955	-1.68	-3.21	-8.057	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	0.667	1.362	0.403	0.118	0.37	0.107	0.218	-0.059	-1.868
"YJR041C"	0.35	-1.157	-3.322	-4.286	-1.595	-0.994	-1.381	-1.752	-1.853	-2.965	-2.872	-2.952	-0.186	0.729	-0.283	0.172	-0.253	-0.067	-0.058	-0.183	-0.996
"YJR043C"	0.503	-0.894	-2.002	-2.641	-0.341	-0.83	-1.083	-0.996	-1.074	-1.699	-2.504	-2.339	0.183	0.867	0.428	0.088	0.418	0.584	0.3	0.323	-1.287
"YJR143C"	1.747	-1.487	-4.675	-5.523	-2.716	-2.573	-3.031	-1.986	-2.118	-3.335	-3.698	-3.382	0.689	1.599	-0.192	-0.142	0.008	-0.146	0.043	0.21	-1.802
"YKL026C"	-1.02	4.068	5.561	6.641	3.239	3.305	3.067	3.137	3.607	4.354	3.97	3.468	0.901	-1.647	-0.076	0.432	0.434	0.24	0.264	0.271	1.562
"YKL080W"	1.254	-1.25	-4.229	-5.94	-0.756	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.679	0.985	-0.281	0.204	0.139	0.046	-0.025	0.285	-1.16
"YKL212W"	0.721	-1.247	-3.014	-4.806	-1.065	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	0.839	1.013	0.169	0.127	0.293	0.323	0.166	0.112	-0.653
"YKR082W"	0.253	-0.67	-2.473	-2.648	-0.565	-0.832	-1.633	-0.885	-1.249	-1.45	-1.895	-2.598	0.089	0.504	-0.227	-0.27	-0.184	-0.011	-0.135	-0.204	-0.613
"YLR002C"	0.714	-1.168	-3.154	-4.959	-1.589	-1.157	-1.015	-1.661	-1.599	-2.578	-3.265	-3.45	0.12	0.86	0.139	-0.147	0.124	0.389	0.337	0.109	-0.142
"YLR060W"	1.279	-2.499	-4.941	-5.967	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	1.127	1.836	0.268	-0.395	0.156	0.423	0.185	-0.005	-2.239
"YLR062C"	1.963	-3.127	-5.705	-6.896	-3.985	-3.965	-3.18	-3.209	-3.706	-4.299	-4.293	-5.234	1.062	2.319	0.35	0.179	-0.165	-0.039	-0.168	-0.158	-2.202
"YLR208W"	-0.052	-1.266	-1.968	-4.432	-0.959	-1.568	-2.018	-1.454	-1.248	-1.898	-2.183	-2.499	0.055	0.215	0.1	0.079	0.268	0.256	0.159	0.26	-0.676
"YLR222C"	0.505	-0.88	-3.721	-4.745	-2.21	-1.343	-1.64	-2.036	-2.29	-3.081	-2.929	-3.119	0.028	1.119	0.14	-0.077	0.143	0.515	0.436	0.091	-1.062
"YLR291C"	0.754	-1.482	-3.037	-4.762	-1.096	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	0.128	0.783	-0.016	-0.058	0.011	0.026	0.019	-0.025	-0.646
"YLR293C"	1.003	-2.207	-3.488	-6.281	-1.751	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.585	1.2	-0.127	-0.077	-0.127	-0.348	-0.244	-0.17	-1.358
"YLR314C"	0.929	-1.783	-2.218	-5.585	-0.846	-1.368	-1.023	-2.505	-2.761	-2.906	-3.447	-3.937	0.632	0.975	0.352	0.344	0.474	0.608	0.371	0.105	-0.29
"YLR354C"	0.492	-1.048	-2.178	-4.965	0.118	-1.448	-0.003	-0.543	-1.053	-2.325	-2.432	-3.661	1.197	0.933	-0.06	0.07	-0.023	0.174	-0.102	-0.049	-0.861
"YML022W"	1.224	-1.985	-3.146	-3.98	-2.451	-2.096	-2.796	-2.266	-2.26	-2.846	-3.092	-3.144	0.869	1.19	0.124	-0.226	-0.002	-0.156	0.002	0.066	-1.301
"YMR079W"	0.665	-1.001	-2.074	-3.648	-1.512	-1.837	-1.777	-1.258	-1.294	-1.666	-1.971	-2.855	0.305	0.952	-0.008	-0.038	-0.189	-0.21	-0.056	-0.265	-1.301
"YMR096W"	0.845	3.85	3.394	4.34	1.322	2.889	3.257	1.639	1.079	3.72	5.919	5.254	-0.909	-0.494	-0.205	0.094	0.322	0.438	0.686	0.787	1.242
"YMR114C"	-0.977	2.847	4.1	4.572	2.582	2.58	2.319	2.032	2.343	3.614	3.555	3.502	-0.746	-1.215	0.198	0.151	0.154	0.242	0.174	0.156	1.273
"YMR131C"	0.69	-2.414	-5.052	-6.665	-2.98	1.316	-3.081	-2.829	-3.214	-4.236	-5.241	-4.266	0.677	1.251	0.361	-0.013	0.005	0.112	0.084	-0.305	-1.347
"YMR229C"	0.5385	-2.443	-4.4055	-5.288	-2.1435	-2.161	-2.184	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.304	1.3055	-0.1695	-0.6305	-0.3515	-0.147	-0.163	-0.113	-1.8025
"YMR235C"	0.872	-1.783	-3.534	-5.187	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.503	0.854	0.732	0.476	0.591	0.65	0.485	0.4	-1.258
"YMR307W"	1.128	-3.74	-5.132	-5.877	-2.482	-3.284	-3.878	-2.493	-3.39	-4.432	-5.016	-4.56	0.959	1.346	0.013	-0.284	-0.306	-0.414	-0.171	-0.098	-2.455
"YMR308C"	0.639	-1.165	-3.091	-4.033	-1.443	-0.193	-1.36	-2.014	-1.774	-2.239	-2.796	-2.451	-0.036	0.927	-0.207	-0.267	-0.127	-0.093	-0.154	0.001	-0.921
"YMR309C"	1.165	-1.855	-3.731	-3.516	-2.363	-1.881	-2.64	-1.926	-2.303	-3.144	-3.173	-3.384	0.521	1.124	-0.073	-0.316	-0.101	-0.063	-0.065	-0.139	-1.883
"YNL085W"	0.569	-0.67	-2.342	-5.369	-1.277	-1.365	-1.115	-1.668	-1.484	-2.001	-2.706	-3.291	0.239	0.409	0.078	0.118	0.375	0.377	0.163	0.104	-1.082
"YNL096C"	2.487	-2.81	-4.038	-6.106	-3.045	-2.761	-3.165	-2.776	-3.041	-3.644	-4.096	-4.68	0.922	2.416	-0.071	-0.563	-0.231	-0.312	-0.405	-0.312	-1.366
"YNL132W"	0.685	-2.572	-4.956	-6.392	-3.141	-2.521	-2.512	-2.799	-2.936	-3.396	-4.377	-4.049	0.157	1.586	-0.185	-0.586	-0.321	-0.072	-0.078	-0.104	-1.69
"YNL174W"	1.038	-2.478	-4.079	-4.409	-2.439	-1.875	-2.135	-2.682	-2.061	-3.046	-3.229	-3.118	0.504	1.329	0.444	-0.282	-0.028	0.184	0.145	0.069	-1.731
"YNL189W"	0.697	-1.084	-2.367	-4.06	-0.875	-1.183	-1.19	-1.33	-1.294	-2.058	-2.641	-3.084	0.427	0.424	0.249	-0.032	0.185	0.287	0.199	0.123	-0.914
"YNL256W"	0.546	-1.376	-2.448	-3.668	-0.452	0.397	1.222	-1.334	-1.45	-2.464	-3.25	-3.112	-0.2	0.872	-0.199	-0.318	0.139	-0.025	-0.268	-0.024	1.161
"YOR311C"	-0.301	-0.938	-1.3895	-2.824	-1.167	-1.391	-1.2145	-0.611	-0.385	-0.789	-1.466	-2.0	-0.067	0.23	0.021	0.138	0.064	0.234	0.176	0.058	-0.984
"YOR326W"	0.154	-1.329	-3.4635	-4.9875	-1.3315	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.26	0.798	0.146	1.329	0.104	0.363	0.149	0.166	-1.301
"YOR360C"	-0.6235	-1.65666666666667	-1.71566666666667	-3.43133333333333	-0.991333333333333	-1.27766666666667	-1.13033333333333	-0.9695	-0.7785	-0.9355	-1.622	-1.719	-0.218	-0.816	-0.0775	-0.1295	0.06	0.1235	-0.005	0.078	-1.526
"YPL037C"	1.278	-1.975	-3.9955	-5.417	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	0.671	1.099	0.18	-0.281	0.097	-0.115	-0.275	-0.054	-1.192
"YPL094C"	-0.921	-1.14	-3.0415	-5.3055	-1.1815	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	-0.92	-0.566	0.005	0.202	-0.005	0.097	-0.009	0.245	-0.711
"YPL145C"	0.913	-0.775	-1.659	-4.3865	-0.739	-1.177	-0.903	-0.903	-0.913	-2.014	-2.71	-3.192	0.643	0.614	-0.047	0.09	0.368	0.113	0.216	0.476	-1.069
"YPL226W"	0.233333333333333	-1.80333333333333	-3.95033333333333	-5.67966666666667	-2.503	-2.786	-2.922	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.146	0.8915	-0.507	-0.279	-0.397	-0.0845	-0.2905	-0.2985	-1.244
"YPR033C"	0.653	-2.534	-4.8805	-7.94	-2.0735	-2.759	-2.6225	-2.096	-2.55	-3.951	-4.382	-4.54	0.71	1.295	0.324	-0.588	0.245	0.391	0.132	0.067	-1.4975
"YPR114W"	1.087	-2.1515	-2.9825	-3.903	-1.604	-1.798	-1.748	-1.338	-1.177	-1.633	-1.738	-2.533	0.773	1.367	-0.594	-0.433	-0.563	-0.365	-0.411	-0.422	-1.125
