	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"
"YMR242C"	2.345	-3.971	-6.226
"YNL030W"	1.453	-2.073	-4.092
"YNL062C"	-0.373	-3.07	-6.263
"YNL079C"	-0.579	-2.802	-4.703
"YNL084C"	0.586	-1.945	-3.396
"YNL113W"	-0.067	-2.537	-7.034
"YNL114C"	0.202	-3.791	-6.572
"YNL162W"	1.592	-2.858	-6.425
"YNL220W"	-0.286	-3.758	-6.09
"YNL257C"	0.003	-3.196	-3.918
"YNL280C"	1.138	-1.762	-3.802
"YNL291C"	0.439	-2.472	-4.479
"YNR024W"	-0.013	-1.1175	-2.139
"YOL093W"	0.455	-2.371	-4.67
"YOL095C"	0.511	-1.206	-2.059
"YOR280C"	-0.403	-1.883	-4.249
"YOR321W"	-1.002	-2.096	-3.7905
"YOR323C"	1.629	-4.2845	-6.434
"YOR369C"	2.138	-3.724	-6.5475
"YPL028W"	-0.007	-3.482	-5.5385
"YPL037C"	1.278	-3.9955	-5.417
"YPL044C"	0.453	-2.688	-4.2355
"YPL079W"	2.125	-3.892	-6.4765
"YPL118W"	0.498	-2.0295	-3.472
"YPL238C"	0.7715	-2.431	-4.788
"YPL244C"	-0.545	-2.5495	-3.0545
"YPL273W"	1.41566666666667	-3.722	-5.69966666666667
"YPR041W"	1.39933333333333	-2.36366666666667	-4.07266666666667
"YPR080W"	1.0385	-2.848	-5.6305
"YPR102C"	2.3265	-4.045	-6.451
"YPR126C"	-0.0055	-2.2565	-4.861
"YPR130C"	0.3515	-2.0245	-6.9395
"YPR132W"	2.133	-3.1925	-5.805
"YPR136C"	1.124	-2.427	-4.78933333333333
"YPR137W"	0.846	-1.7995	-3.783
"YPR143W"	-0.0615	-1.7495	-3.332
"YPR144C"	0.6415	-3.129	-4.2065
"YPR163C"	0.877	-2.9485	-5.4905
