	"584.17 deg growth"	"861.YPD_5_d_30C"	"1107.alpha factor release sample025"	"2144.heat shock 37 to 37, 30 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6826.Sporulation t2hrs"	"6834.Sporulation t5hrs"	"6836.Sporulation t7hrs"	"6839.Sporulation t9hrs"	"6841.Sporulation t11hrs"	"6854.Early Sporulation ndt80 delete"	"6856.Sporulation t30min"	"6859.Mid-Sporulation ndt80 delete"	"7764.Na+FK 45min"	"8197.steady state 25 dec C"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38146.03II01 batch p2"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"
"YEL067C"	-1.0	-0.935	0.071	0.193	-0.063	1.109	2.728	3.563	2.983	2.914	2.7	0.695	2.482	-0.192	-0.283	0.193	-1.215	-1.5395	-0.182	-0.07	0.0375	0.2215	-1.0945	-0.117	-0.302	0.774	0.7475	-1.161	-1.173	0.746
"YER010C"	-0.959	-2.387	-0.013	0.101	-0.166	1.915	2.371	2.32	1.063	1.762	2.44	1.255	2.241	-0.322	-0.025	0.12	-1.1655	-1.3425	0.0255	-0.071	0.053	0.231	-0.5755	0.579	-0.382	0.302	-0.027	-1.006	-1.41	0.1
"YER017C"	-0.699	-1.8035	0.082	0.036	-0.1195	-2.093	-3.841	-3.535	-3.157	-2.921	-3.55	-3.571	-5.619	0.4915	-0.111	0.008	-0.0593333333333333	-1.27433333333333	0.0543333333333333	-0.0133333333333333	-0.100666666666667	0.129333333333333	-0.0893333333333333	-5.0E-4	-0.974	-0.756	0.190666666666667	0.7905	-0.488	-1.248
"YER060W"	-0.2055	-1.7155	-0.0195	0.252	0.0165	-1.345	-1.875	-2.528	-2.102	-2.413	-1.549	-0.341	-2.475	-0.4015	0.2955	-0.154	-1.1695	-0.4215	0.115	0.1195	-0.00299999999999999	-0.017	-2.307	0.1415	-0.273	0.097	1.0365	-0.265	-0.4565	0.288
"YER162C"	-0.711	3.649	-0.126	-0.193	-0.18	3.294	3.221	3.53	3.061	2.706	3.399	1.303	3.452	1.095	-0.415	-0.469	-0.996	-1.611	-0.202	-0.1155	0.0135	0.08	-1.742	-0.469	0.186	0.812	1.789	-2.755	-1.623	-2.764
"YFR043C"	-0.56	-0.596	-0.186	-0.047	0.174	1.934	3.148	3.348	3.198	3.217	3.576	1.073	3.722	0.439	0.253	0.355	-0.619	-2.221	0.275	-0.023	0.329	0.388	-0.998	0.36	-0.622	0.802	1.204	-2.419	-1.149	-1.291
"YGL004C"	-0.306	-1.696	0.09	0.109	-0.068	1.233	3.179	3.845	3.266	3.725	3.43	1.005	4.535	0.46	0.269	0.472	-1.878	-0.778	-0.094	-0.109	0.087	-0.077	0.23	-0.246	-0.649	0.72	0.755	0.801	-0.931	-0.494
"YGL035C"	-0.994	-1.569	0.153	0.04	0.514	2.395	3.21	3.154	2.684	2.228	3.112	1.43	3.882	0.628	0.05	-0.369	1.441	-1.05	0.217	0.264	-0.043	-0.207	-0.592	-0.035	-0.311	0.372	-0.968	-0.421	-0.834	-0.574
"YGL044C"	-0.199	-1.381	-0.054	-0.016	-0.129	-0.553	-2.679	-3.429	-3.309	-3.706	-2.847	-0.541	-3.073	0.758	0.144	0.342	-1.471	NaN	0.292	0.139	0.003	-0.047	-2.165	0.217	0.264	0.33	0.472	0.2	-1.223	-0.809
"YGR045C"	-0.977	0.193	-0.332	-0.164	-0.174	-3.548	-3.893	-3.85	-2.926	-3.273	-2.683	-2.968	-4.79	0.618	-0.415	0.065	-1.076	-1.98	0.208	0.101	-0.043	0.035	-0.759	0.529	0.413	-0.471	-0.611	-0.364	-2.108	0.244
"YGR162W"	-0.936	-3.2845	0.257	0.13	0.0393333333333333	1.354	2.043	2.812	2.947	3.403	2.27	2.025	3.423	-0.8165	0.33	-0.1005	-2.26166666666667	-0.58	-0.118666666666667	-0.212666666666667	0.023	-0.236	-0.704	0.104	0.161	-1.30466666666667	-1.53633333333333	0.834	1.383	1.313
"YGR180C"	-0.763	-5.017	-0.155	0.735	-0.0445	3.784	4.405	4.159	3.64	3.338	4.978	2.934	5.078	-0.335	0.063	-0.532	0.383	-0.699	0.226	0.239	-0.538	-0.43	2.347	0.382	0.627	-1.526	-1.33	0.576	0.218	1.013
"YGR220C"	-0.719	-1.307	0.27	0.165	0.329	-1.513	-2.014	-2.93	-2.913	-2.631	-2.466	-1.57	-2.947	-0.582	0.473	-0.197	-1.282	-1.611	0.097	0.168	0.453	0.428	-0.547	0.125	-0.645	0.454	0.884	-1.472	-1.136	0.689
"YHL039W"	-0.9735	-3.2375	0.119	0.319	-0.251666666666667	2.912	5.53	4.472	4.018	3.756	4.704	1.143	5.506	-0.945	0.149	0.1395	-1.2805	-1.368	-0.0595	-0.127	-0.2425	-0.1965	-0.6705	0.164	0.408	-1.3605	-1.7855	-1.129	0.298	-0.801
"YHR059W"	-1.0	-4.493	0.193	0.24	0.0025	2.894	3.23	3.906	3.361	3.106	3.75	2.739	4.143	-0.532	0.014	-0.396	-3.1	-1.147	0.218	0.148	0.262	0.115	-1.144	0.132	0.466	1.029	1.302	2.338	0.59	1.837
"YHR100C"	-0.57	-2.078	0.052	0.189	-0.0695	3.287	3.824	3.726	3.511	1.43	4.562	2.737	5.045	-0.816	-0.024	-0.211	-1.026	-0.235	-0.006	-0.002	0.141	0.126	-0.205	0.613	0.434	0.297	-0.852	-2.03	-2.108	-0.938
"YIL003W"	-0.303	-2.0	0.033	-0.124	-0.172	-1.478	-2.763	-3.525	-3.302	-2.433	-2.621	-3.138	-5.352	-0.036	0.123	-0.193	-1.271	-0.843	0.369	0.499	0.23	0.154	-1.251	0.004	-0.571	-0.566	-1.324	-3.167	-2.165	-1.976
"YIL029C"	-0.81	0.578	-0.204	-0.524	-0.1575	-1.65	-2.503	-3.282	-2.816	-1.59	-2.48	-2.034	-4.421	0.997	-0.047	-0.087	-1.786	-0.618	0.143	-0.017	0.558	0.388	-1.279	-0.147	-0.632	0.683	1.842	NaN	-2.359	-1.604
"YJL174W"	-0.747	-2.868	0.176	0.052	0.0365	-1.466	-2.709	-2.576	-2.277	-2.43	-2.236	-1.565	-2.757	0.4	-0.06	0.168	-1.041	0.753	0.248	0.094	0.241	0.285	-1.129	0.307	-0.842	-0.496	-0.646	1.101	-0.647	-1.123
"YJR068W"	-0.929	-3.298	-0.007	-0.006	0.112	-2.104	-2.791	-3.532	-2.869	-3.034	-2.726	-1.581	-3.228	-1.056	0.077	-0.214	-0.638	-0.845	0.127	0.064	0.193	0.008	-1.005	0.376	0.369	-2.324	-0.604	-2.274	-2.625	-1.572
"YKL025C"	-0.428	-1.823	0.087	0.17	-0.0545	-2.182	-2.088	-2.655	-2.249	-2.167	-2.741	-1.991	-2.683	1.038	0.32	0.629	-1.957	-1.211	-0.418	-0.169	-0.143	-0.227	-0.356	-0.379	-0.913	0.843	0.649	NaN	-2.842	-1.521
"YKL084W"	-0.736	-2.183	0.187	0.041	-0.035	-1.351	-2.425	-3.328	-3.067	-3.69	-2.078	-0.424	-2.799	-0.691	-0.245	-0.379	-0.652	-0.41	0.235	0.249	-0.043	0.09	-0.83	0.839	-0.094	0.716	1.645	-1.565	-1.325	-0.398
"YKL090W"	-0.541	-1.217	-0.202	-0.11	-0.075	-1.386	-2.658	-2.726	-2.492	-2.524	-2.981	-1.927	-5.246	0.752	-0.247	-0.402	-0.828	-0.415	0.387	0.301	-0.035	-0.034	-1.943	0.376	0.503	0.691	0.648	-0.747	-1.085	0.05
"YKL105C"	-1.639	-1.009	-0.129	0.272	-0.04	4.002	4.179	4.107	3.931	2.316	5.227	3.485	4.749	-0.068	-0.178	-0.339	-0.588	-2.282	-0.437	-0.154	-0.364	-0.032	-0.811	-0.043	-0.913	1.119	1.873	NaN	-0.393	-1.568
"YKR002W"	-0.439	-1.529	0.146	0.043	0.04	1.849	3.5	4.605	4.786	5.741	3.934	1.765	4.531	0.973	-0.276	-0.329	-0.561	-0.682	-0.099	-0.137	-0.027	0.009	-1.111	-0.05	0.34	1.292	0.458	-0.548	-0.615	-0.169
"YKR004C"	-0.972	-1.047	0.009	0.009	-0.044	2.352	3.001	4.304	4.115	5.066	4.491	2.118	4.052	0.749	-0.271	-0.393	-2.65	-0.855	0.33	0.356	0.138	0.026	-0.847	0.229	0.148	1.51	-0.454	-1.262	-1.754	-1.168
"YKR020W"	-1.104	-4.715	0.014	0.016	0.199	-2.941	-3.502	-3.63	-3.295	-3.308	-3.477	-2.96	-3.158	-0.556	-0.254	0.124	-1.305	-1.407	-0.493	-0.571	-0.163	-0.107	-0.461	-0.086	0.175	0.977	1.554	-3.461	-3.617	-1.196
"YKR084C"	-1.088	-3.0	0.159	-0.074	0.148	2.263	3.12	2.59	1.599	0.924	3.181	1.913	2.973	0.173	-0.066	-0.109	-1.154	-0.717	0.082	-0.059	0.0	0.014	-0.593	0.394	0.003	-0.727	-0.317	-1.007	-1.784	-0.917
"YLR182W"	-0.445	-3.638	0.049	-0.257	0.015	3.884	4.318	4.918	4.005	4.019	4.28	2.807	5.356	-0.362	0.154	0.038	-2.263	-1.148	-0.222	-0.217	-0.08	0.144	-0.858	0.249	0.341	0.374	-1.256	NaN	-0.625	-1.485
"YLR363C"	-0.195	-2.721	0.032	0.13	0.112	2.479	4.174	3.949	3.118	1.174	5.494	2.35	6.132	1.104	0.0	-0.36	-0.881	-0.525	0.377	0.323	0.317	0.16	-0.411	0.296	-0.175	1.529	NaN	-1.769	-2.851	-1.647
"YLR371W"	-1.209	-0.832	0.232	0.023	0.105	4.58	5.024	5.287	4.44	3.011	5.168	2.249	4.84	0.414	0.139	-0.597	-1.528	-0.622	0.332	-0.253	-0.019	-0.203	0.633	-0.232	-0.512	1.243	-0.921	0.45	1.002	-2.772
"YLR412W"	-0.086	-4.156	-0.113	0.101	-0.079	-2.469	-2.786	-2.993	-2.967	-3.08	-1.924	-1.197	-1.883	-0.386	0.328	-0.081	0.253	-1.184	-0.171	-0.013	0.159	0.162	-1.27	0.108	0.526	-0.781	-0.897	-1.37	-1.36	-0.858
"YLR434C"	-0.682	-2.483	-0.207	-0.09	-0.108	1.932	3.534	4.799	4.37	4.101	3.992	1.32	4.721	-1.364	-0.237	0.183	-2.646	-0.504	-0.46	-0.751	-0.442	-0.34	NaN	-0.381	-0.645	0.613	0.857	-2.383	0.164	-2.689
"YML075C"	-0.628	-0.982	-0.0135	0.236	-0.0145	2.987	3.961	4.127	3.534	2.57	4.676	2.255	5.027	-0.166	0.0135	0.044	-1.0395	-0.678	-0.2775	-0.0745	-0.1585	-0.094	-0.49	0.286	-0.084	-0.6795	-0.3555	-0.247	1.64	-0.024
"YMR028W"	-0.352	-4.06	-0.142	-0.091	-0.076	-2.043	-2.676	-2.765	-1.808	-0.472	-3.715	-2.112	-4.364	0.274	0.489	0.081	-1.739	-0.409	-0.044	-0.018	-0.101	-0.205	-0.902	0.213	0.178	0.835	1.533	NaN	-1.42	-1.988
"YMR047C"	-0.8555	-3.61	-0.024	-0.0025	0.122	1.593	2.459	2.371	1.662	1.736	2.379	0.979	2.357	0.2485	0.049	0.0305	-1.275	-0.717	-0.055	-0.057	0.244	0.0645	-0.9245	-0.0425	-0.1055	0.8525	1.0875	0.2145	-0.208	-0.6695
"YMR123W"	-0.826	-3.061	0.152	0.162	0.044	-1.84	-2.046	-2.803	-2.305	-2.751	-2.318	-0.856	-2.961	-0.664	0.047	0.058	-2.396	0.01	0.321	0.303	0.23	0.336	-0.9	0.401	0.378	0.71	0.325	-2.122	-1.659	-0.88
"YNL039W"	-0.792	-1.752	-0.162	-0.012	-0.06	2.534	3.684	4.458	3.734	3.305	3.875	1.231	3.641	0.576	0.15	-0.129	-1.5775	-0.7265	-0.036	-0.002	-0.18	-0.099	-1.887	0.264	0.903	0.534	-1.476	-1.591	-1.246	-1.303
"YNL056W"	-0.993	-2.312	-0.133	-0.036	0.036	2.254	3.379	3.231	2.726	1.338	3.753	0.436	4.079	-0.233	-0.186	0.026	-4.2205	-1.158	0.133	0.283	0.096	0.238	-0.405	0.339	0.432	-0.102	-0.387	-1.865	-1.771	-1.714
"YNL106C"	-0.892	-2.4075	-0.2165	0.0825	0.0175	0.931	1.825	3.236	2.575	3.587	2.092	0.658	2.369	0.4055	-0.164	-0.1345	-2.28466666666667	-1.529	0.077	0.039	0.054	0.052	-0.518333333333333	0.247	-0.45	0.7005	1.2345	-2.263	-1.878	-1.732
"YNL166C"	-1.072	-6.013	-0.025	-0.14	0.213	3.614	4.078	4.372	3.513	2.934	4.662	2.266	4.636	-0.271	0.156	-0.359	-1.77	-1.2885	0.246	0.205	-0.031	-0.008	-2.919	0.321	0.202	-1.226	-1.374	NaN	-0.55	-1.227
"YNL252C"	-0.408	-2.518	-0.025	0.092	0.059	-1.787	-2.189	-2.291	-1.548	-0.808	-2.622	-1.478	-2.927	0.202	-0.207	-0.15	-1.977	-1.174	0.224	0.101	0.271	0.168	-0.433	0.138	0.579	0.751	NaN	-0.744	-0.565	-0.862
"YOL125W"	-0.482	-2.1485	-0.036	0.214	-0.095	1.963	2.738	3.22	2.817	3.096	2.665	1.12	3.743	-0.833	-0.0325	-0.367	-0.355	-0.636	0.223	0.33	-0.478	-0.433	-1.523	0.274	0.809	-0.579	-1.166	-2.156	-1.631	-1.306
"YOR037W"	-1.129	2.187	-0.061	-0.164	0.032	1.647	2.56	3.494	2.897	2.866	2.857	0.702	2.95	0.438	-0.2765	-0.087	-0.876	-0.788	0.351	0.06	0.281	0.208	-1.827	-0.422	-0.68	0.459	-1.346	1.069	0.624	-1.275
"YOR148C"	-0.278	-1.901	-0.196	0.031	0.17	3.434	4.565	4.428	3.572	3.604	4.42	2.514	5.274	0.41	0.1855	-0.015	-0.155	0.0	0.142	0.035	0.238	0.155	-1.607	0.642	0.518	0.418	0.441	-2.142	-1.295	-1.698
"YOR311C"	-0.842	-2.824	-0.01	-0.417	0.109	1.841	3.273	3.514	3.052	3.386	3.195	1.911	4.188	0.102	0.0705	-0.427	-0.63	-2.13	0.283	0.236	0.389	0.363	-0.81	0.666	0.395	-1.402	-0.683	-1.152	-1.907	-2.322
"YPL032C"	-1.742	-1.30333333333333	-0.068	-0.098	0.033	2.708	2.451	3.691	3.016	2.659	2.874	2.115	3.376	-0.167	-0.133333333333333	0.307	-3.265	-1.18	-0.16	-0.105	0.217	0.016	-1.455	0.046	-0.224	-0.316	-0.501	1.331	-1.182	-0.417
"YPL101W"	-0.657	-4.317	0.087	-0.116	-0.003	-2.846	-3.249	-3.407	-2.154	-3.06	-3.098	-2.53	-3.117	-0.705	0.1435	-1.025	-1.451	-1.082	-0.019	-0.005	-0.211	-0.103	-0.498	0.292	-0.437	0.28	1.773	1.305	-0.78	1.077
"YPL112C"	-0.859	-1.7375	-0.138	0.259	-0.175	3.515	3.92	4.478	3.948	4.28	4.776	2.561	4.32	0.419	-0.14	0.156	-1.42	-0.831	-0.239	-0.075	-0.098	0.074	NaN	0.242	-0.179	-0.535	0.158	-1.525	-1.391	-0.513
"YPR117W"	-1.48466666666667	-1.1225	-0.106	-0.234	-0.094	3.091	4.145	3.99	4.182	3.452	4.251	1.585	4.831	0.011	-0.129666666666667	0.203	-0.877	-0.4875	-0.1035	0.0115	-0.4365	-0.108	-1.576	0.1705	-0.765	1.1845	2.0195	-0.668	0.656	1.22666666666667
"YPR135W"	-1.50566666666667	-0.874	0.0045	0.64	-0.1755	-1.23	-3.243	-3.454	-3.366	-3.159	-2.526	-1.309	-3.479	0.0935	-0.345333333333333	-0.0575	-3.2975	-0.933	-0.117	0.001	0.1195	-0.003	-0.2225	0.0695	-0.162	0.216	-0.554	0.0965	-2.429	0.506666666666667
