	"29.alpha factor release sample016"	"39.alpha factor release sample027"	"57.Elutriation2:Sample2:Time4.0hrs"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"115.heat shock 20 min repeat"	"497.Heat Shock 000 minutes"	"650.alpha factor release sample017"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"16338.DES460 vs. DES460 YPD log phase control"	"21632..24 mM H2O2- 250 minutes"	"21645..24 mM H2O2- 020 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40955.H2O2_II_77_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YGL135W"	0.435	0.661	0.24	0.478	0.294	-2.285	1.167	0.094	1.101	0.43	-0.02	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-3.217	-3.23	-2.071	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.527	0.65	0.502	0.183	-1.206	-0.045	0.176	-1.193	-0.938	0.671	-2.233	0.208	-0.6	-0.329	-1.563	-3.443	-2.903	-3.617	-3.009	-1.505	-3.45	-2.507	-1.573	-1.763	-2.952	-2.219	-2.811	-2.349	-2.729	-1.685	-3.256
"YGR264C"	-0.375	0.229	-0.302	0.063	0.04	-2.2015	1.02	-0.123	0.85	0.737	-0.214	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-3.49	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.053	0.137	0.071	0.234	-1.433	-0.079	-0.026	-1.039	-0.681	0.328	-2.468	0.147	-1.208	-0.364	-1.912	-3.556	-2.673	-3.33	-3.082	-1.979	-2.475	-2.845	-2.046	-3.481	-2.999	-1.884	-1.222	-2.931	-2.022	-4.532	-2.536
"YHR128W"	-0.123	0.325	-0.045	0.203	0.126	-1.9425	1.092	-0.03	0.833	0.683	-0.214	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.351	-3.988	-3.012	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.442	0.72	0.195	0.338	-1.544	0.062	0.0725	-1.207	-1.195	-0.097	-1.769	-0.44	-0.927	-1.147	-2.079	-1.933	-2.393	-2.552	-2.571	-2.441	-2.644	-2.222	-1.653	-1.517	-3.173	-2.944	-2.747	-3.448	-3.644	-3.711	-4.039
"YIL078W"	-0.027	0.493	0.017	0.023	0.025	-1.524	0.897	0.021	0.771	0.648	-0.192	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.306	0.262	-0.017	0.092	-0.751	0.141	0.1345	-0.529	-0.341	0.306	-2.348	0.158	-1.609	0.255	-1.12	-3.116	-1.937	-1.996	-2.548	-1.608	-1.901	-0.97	-1.684	-1.753	-1.36	-2.063	-1.035	-2.818	-2.344	-3.662	-2.433
"YIR012W"	-0.493	0.048	-0.029	0.077	-0.08	-1.894	1.162	-0.328	0.869	0.737	-0.252	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-4.69	-2.614	-2.412	-2.092	-1.585	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	0.165	0.066	0.111	0.554	-1.662	0.194	0.0135	-0.934	-0.88	-0.09	-1.751	-0.163	0.06	-0.333	-0.82	-2.311	-2.322	-3.439	-2.222	-1.988	-1.517	-1.046	-1.723	-2.14	-2.658	-1.857	-1.846	-3.403	-2.956	-1.67	-2.629
"YJL183W"	-0.188	0.245	-0.044	0.001	-0.357	-1.1305	0.489	-0.09	0.42	0.582	-0.109	-2.65	-1.47	-1.069	-2.032	-2.434	-1.944	-2.097	-4.986	-2.067	-1.218	-1.424	-1.695	-0.997	-1.436	-1.333	-1.66	-2.208	-2.121	0.251	-0.031	-0.094	-0.158	-0.728	0.247	0.0265	-1.465	-0.599	0.306	-1.239	-0.376	-1.215	-0.551	-1.24	-2.838	-2.286	-2.116	-1.595	-1.596	-0.698	-2.069	-1.237	-2.329	-1.921	-1.611	-2.342	-2.416	-1.331	-1.87	-2.226
"YJL189W"	0.166	0.336	-0.218	0.299	-0.044	-1.8565	1.089	-0.138	0.91	0.731	-0.267	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.446	-2.278	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	0.265	0.132	0.052	0.037	-0.951	-0.058	0.1395	-0.822	-0.532	0.404	-1.034	0.036	-0.086	-0.225	-1.272	-2.736	-2.597	-2.888	-2.522	-2.1	-1.306	-2.027	-2.089	-1.686	-2.178	-2.1	-1.756	-1.431	-2.298	-2.053	-2.524
"YJR143C"	0.046	0.63	0.141	0.057	-0.032	-1.8585	0.597	0.511	0.657	0.447	0.051	-1.748	-1.012	-1.037	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-3.031	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.18	-0.135	0.242	-0.171	-0.85	0.239	0.2165	-0.811	-0.546	0.398	-1.896	0.144	-1.777	0.163	-1.282	-1.722	-1.351	-1.32	-1.52	-1.404	-2.102	-2.468	-1.07	-2.109	-2.091	-3.226	-1.904	-4.237	-1.969	-2.353	-1.591
"YLR083C"	-0.798	0.25	0.06	-0.275	-0.663	-2.035	0.768	-0.127	0.765	0.758	0.011	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-2.718	-2.103	-0.858	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-0.129	-0.349	-0.167	-0.347	-1.758	0.145	-0.098	-1.753	-1.231	0.635	-2.297	0.134	-1.52	-0.607	-2.623	-3.186	-2.942	-3.492	-2.869	-2.194	-2.355	-2.957	-1.313	-2.672	-3.552	-3.06	-2.069	-6.227	-4.301	NaN	-2.861
"YLR264W"	0.36	0.584	0.321	0.012	0.118	-1.77	0.631	0.133	0.922	0.819	-0.149	-3.105	-2.523	-2.018	-1.862	-1.529	-1.693	-2.597	-5.152	-2.945	-2.94	-2.15	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.251	0.378	0.338	0.041	-0.359	-0.175	0.246	-1.451	-0.696	0.618	-1.833	0.429	-1.104	-0.002	-2.004	-3.507	-2.202	-3.145	-2.797	-3.008	-2.899	-2.481	-2.683	-3.351	-2.946	-1.936	-3.256	-2.57	-2.3	-3.435	-3.465
"YLR291C"	-0.009	-0.005	-0.357	-0.132	-0.03	-0.932	0.708	-0.163	0.624	0.702	-0.114	-1.858	-1.136	-1.418	-1.83	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-2.027	-1.003	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	-0.079	0.252	0.033	-0.07	-0.378	-0.181	-0.027	-0.744	-0.687	0.029	-1.532	0.215	-0.994	0.167	-0.432	-1.832	-1.747	-1.36	-1.191	-0.977	-1.173	-1.11	-0.416	-1.95	-2.022	-0.949	-1.071	-1.326	-2.28	-0.995	-1.524
"YMR202W"	-0.132	0.233	0.072	-0.295	-0.175	-1.159	0.632	-0.214	0.617	0.743	-0.301	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.983	-1.581	-1.33	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	0.02	0.228	0.098	0.336	-1.294	-0.052	0.102	-0.497	-0.46	0.649	-1.541	-0.124	-0.53	-0.118	-1.482	-3.376	-2.583	-3.34	-2.624	-1.711	-1.775	-1.114	-0.47	-0.769	-2.391	-1.243	-2.084	-2.861	-1.657	-1.67	-1.952
"YMR308C"	0.153	-0.019	-0.003	-0.301	0.248	-1.158	0.453	-0.078	0.666	0.268	-0.354	-1.769	-1.565	-1.814	-1.324	-1.165	-1.375	-3.091	-4.033	-1.731	-1.443	-1.36	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.017	0.005	0.085	0.262	-1.334	0.006	0.173	-1.646	-0.607	0.176	-1.504	-0.521	-0.923	0.356	-1.816	-2.434	-1.811	-2.061	-1.659	-2.171	-1.594	-1.689	-1.295	-2.485	-2.894	-1.892	-1.45	-1.813	-1.326	-2.059	-1.41
"YMR309C"	-0.256	0.689	0.06	0.134	0.092	-1.773	1.103	0.388	1.08	1.097	-0.36	-3.127	-2.334	-1.924	-1.851	-1.855	-1.52	-3.731	-3.516	-2.787	-2.363	-2.64	-3.374	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	0.606	1.143	-0.106	0.092	-1.604	-0.046	-0.047	-1.552	-0.96	0.125	-1.607	0.001	-1.285	0.0	-1.993	-3.723	-3.06	-3.181	-2.122	-2.857	-2.476	-2.415	-1.642	-2.4	-2.741	-1.606	-1.947	-2.429	-1.76	-2.721	-1.735
"YOR253W"	0.034	0.093	-0.489	-0.596	-0.431	-1.225	0.448	-0.009	0.445	0.6095	-0.038	-2.29	-1.568	-1.429	-1.46	-1.575	-1.759	-2.7935	-5.157	-1.6705	-1.475	-2.16	-1.88	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.426	-0.112	-0.119	-0.334	-0.623	-0.146	0.181	-0.847	-0.643	0.348	-0.978	0.104	-0.281	0.056	-0.892	-1.594	-1.537	-1.94	-1.738	-2.222	-2.68	-1.707	-1.483	-3.36	-1.213	-2.189	-3.049	-1.977	-2.101	-2.115	-2.063
"YOR276W"	-0.21	0.146	0.022	-0.303	-0.332	-1.628	1.045	-0.124	0.917	0.847	-0.146	-2.1185	-1.5925	-1.4995	-1.3115	-1.455	-1.655	-3.943	-4.3595	-1.8885	-1.44	-1.6405	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	-0.303	-0.086	0.074	0.064	-0.702	-0.227	0.105	-0.828	-0.601	0.243	-1.657	0.145	-0.425	-0.81	-1.112	-2.444	-1.699	-2.349	-1.526	-1.849	-1.789	-1.084	-1.083	-1.679	-0.915	-1.195	-1.876	-1.296	-1.878	-1.814	-1.64
"YOR277C"	-0.238	0.237	-0.104	-0.292	-0.377	-2.052	0.737	-0.026	0.518	0.8055	0.051	-2.185	-2.1265	-2.182	-2.0565	-1.713	-2.0645	-3.25	-4.571	-1.7745	-1.802	-1.8895	-2.305	-1.656	-1.464	-2.047	-1.978	-2.103	-2.211	-0.371	0.186	-0.045	-0.247	-0.814	-0.271	0.108	-0.948	-0.785	0.275	-1.884	-0.023	-0.401	-0.553	-1.245	-1.552	-1.709	-1.606	-1.913	-1.736	-2.314	-2.336	-1.548	-1.621	-1.709	-1.722	-2.944	-1.776	-1.02	-2.899	-3.256
"YPL220W"	0.316	0.472	0.248	0.253	0.064	-2.404	1.277	0.436	1.154	1.2	0.097	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-3.0375	-3.442	-2.852	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.031	0.306	0.447	0.266	-1.007	0.081	0.236	-1.193	-0.786	0.669	-1.925	0.377	-0.863	-0.163	-1.556	-3.366	-2.375	-3.554	-2.774	-2.098	-2.256	-2.574	-1.104	-3.075	-2.482	-3.296	-2.332	-3.677	-2.623	-3.418	-3.8
"YPL226W"	-0.3635	0.35	-0.154	0.4335	0.4525	-3.002	0.7565	0.052	0.906666666666667	0.858	-0.4235	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.4565	0.332	0.1885	0.0975	-1.5835	-0.0735	0.0465	-1.8515	-1.074	0.402	-1.7375	-0.057	-1.5775	-0.4235	-2.208	-2.657	-3.519	-3.811	-3.004	-2.5635	-2.1345	-2.386	-1.548	-2.957	-1.972	-0.9555	-1.733	-2.674	-2.354	-3.622	-2.153
"YPL227C"	0.024	0.289	-0.26	0.566	0.048	-1.407	0.594	0.488	0.5765	0.511	-0.153	-2.422	-3.0985	-1.4055	-2.8405	-2.495	-3.0905	-4.7425	-5.218	-1.9845	-2.778	-2.036	-2.537	-1.37	-1.842	-2.429	-2.071	-2.143	-1.501	0.369	0.07	0.143	-0.13	-0.417	0.006	0.147	-0.688	-0.486	0.234	-1.654	0.259	-0.543	0.184	-0.956	1.008	-1.83	-1.979	-2.313	-1.377	-1.593	-1.484	-0.473	-2.494	-3.003	-2.299	-1.821	-1.559	-1.665	-2.064	-2.76
"YPL243W"	-0.232	0.206	-0.401	-0.165	-0.007	-1.043	0.625	-0.269	0.515	0.76	-0.143	-1.27	-1.434	-1.106	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.5105	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.039	0.24	-0.108	-0.074	-0.453	-0.062	0.174	-0.37	-0.138	0.102	-1.188	0.154	-0.965	-0.232	-0.726	-1.274	-1.14	-1.424	-1.503	-1.883	-1.263	-0.56	-1.376	-2.718	-1.591	-1.728	-2.339	-0.787	-1.361	-1.932	-1.305
"YPL273W"	-0.143	0.325	0.065	-0.05	-0.022	-2.2005	0.8235	0.16	0.772	0.938	0.2315	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.72566666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.049	0.278	0.302	-0.345	-1.3525	0.0235	0.168	-0.3055	0.025	-0.034	-2.628	0.605	-0.791	0.882	-0.661	-1.883	-1.961	-3.012	-2.524	-0.72	-1.046	-1.601	-1.152	-2.83	-2.811	-2.243	-2.471	-2.057	-1.919	-2.266	-3.347
"YPR041W"	-0.0635	0.105	0.3295	0.14	0.07	-1.1095	0.9545	-0.028	0.966	0.728333333333333	-0.03	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.291	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.003	0.1555	0.17	0.0575	-0.7685	-0.1465	-0.031	-0.1355	-0.1135	0.175	-1.977	-0.1255	-1.075	0.215	-1.3105	-3.035	-2.533	-3.187	-2.708	-1.711	-1.1765	-1.064	-0.901	-1.282	-0.759	-0.7095	-1.5535	-1.901	-1.713	-2.4515	-1.7515
"YPR102C"	0.255	0.659	0.218	-0.016	0.009	-2.298	1.367	0.141	1.2	1.1555	0.251	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.279	0.557	0.174	0.195	-0.955	0.219	0.435	-0.822	-0.708	0.402	-2.384	0.125	-0.552	0.205	-0.887	-3.927	-2.614	-4.015	-3.517	-2.56	-3.07	-2.791	-2.464	-1.8	-2.08	-2.829	-1.791	-3.252	-2.407	-2.919	-2.66
"YPR110C"	-0.284	0.264	-0.413	-0.262	-0.211	-3.084	0.96	-0.151	1.068	0.986	-0.304	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-2.0215	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.188	0.257	-0.038	0.243	-1.308	-0.091	0.102	-1.053	-1.375	0.106	-2.108	0.331	-1.344	0.5	-1.66	-2.851	-1.853	-3.882	-3.113	-1.995	-2.88	-2.431	-1.826	-1.588	-3.122	-1.715	-2.837	-2.592	-2.057	-1.539	-1.492
"YPR118W"	0.074	0.455	-0.273	-0.015	-0.096	-1.97	1.07	-0.045	0.7795	0.756	0.0	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.525	-2.5375	-2.577	-1.735	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.193	0.5	0.092	0.31	-1.174	0.036	-0.027	-1.092	0.093	0.349	-1.794	0.153	-1.231	0.265	-0.385	-1.726	-1.789	-2.082	-2.086	-0.745	-1.39	-0.993	-1.424	-2.626	-1.433	-1.864	-2.954	-3.694	-1.334	-1.609	-2.679
"YPR132W"	0.01	0.534	0.017	0.005	-0.134	-1.583	1.079	0.038	1.0155	0.901	-0.01	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.5895	-3.048	-2.8485	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	-0.036	0.541	0.116	0.155	-1.007	0.125	0.215	-0.848	-0.627	0.569	-2.217	-0.247	-0.425	1.186	-1.203	-2.884	-2.466	-2.903	-2.829	-1.788	-2.829	-2.887	-1.914	-1.369	-1.472	-2.308	-1.936	-3.922	-1.857	-1.826	-2.438
"YPR163C"	-0.346	0.058	0.707	0.04	-0.041	-2.832	1.032	-0.521	1.048	1.063	-0.26	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.469	-2.0525	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.233	0.445	-0.189	0.319	-1.158	-0.06	-0.192	-1.13	-0.551	0.268	-2.145	-0.462	-1.186	0.803	-1.255	-3.506	-3.14	-3.575	-2.873	-2.361	-2.021	-1.999	-0.942	-1.95	-1.8	-1.833	-1.598	-2.167	-1.899	-2.195	-2.771
