	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1311.diauxic shift timecourse: 11.5 hr"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"14947.Hydrostatic pressure (C1 vs P1)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"
"YHR196W"	-3.5265	-1.6015	-0.98	0.411	-2.834	-3.894	-3.3595	1.131	1.299	1.007	0.104	-0.581	-0.175	0.182	-3.061	-2.23	-1.573	-2.447	0.884	-1.847	-2.461	-0.81	-0.239	-3.843	-2.19	-1.992	-2.264	-2.831	-2.681	0.087	-0.419	-2.024	-1.232	-0.049	-1.575	-1.655	-1.346	-3.967	-0.758	0.217	-1.239	-1.065	-2.272	-2.306	-3.387	-3.047	-1.735	-2.7	-2.116
"YHR197W"	-3.414	-1.794	-1.147	-0.07	-2.9045	-3.415	-3.1475	1.102	1.045	0.968	-0.09	-0.661	-0.732	-0.214	-2.813	-2.262	-2.817	-2.76	-2.808	-2.03	-2.457	-0.7615	-0.143	-1.99	-1.716	-1.524	-1.737	-2.343	-2.822	0.312	-0.742	-2.109	-1.761	-0.166	-1.227	-1.72	-1.505	-2.7335	-0.549	-0.183	-1.419	-1.243	-2.933	-2.625	-1.97	-3.127	-1.859	-0.746	-1.505
"YIL018W"	-2.4325	-1.4745	-0.9795	-0.462	-2.2685	-3.509	-3.965	1.253	1.177	1.056	0.41	-0.465	-1.096	-0.108	-4.365	-2.782	-2.78	-3.492	-5.749	-2.754	-3.362	-0.9075	0.548	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	0.193	-0.619	-1.963	-1.389	-0.095	-2.403	-4.283	-2.148	-3.4165	0.396	0.236	-1.905	-0.838	-2.641	-4.06	-2.277	-2.962	-2.689	-2.573	-2.031
"YIL133C"	-2.6465	-1.3105	-0.8635	-0.501	-2.027	-3.384	-3.811	1.02	0.983	0.899	0.225	0.252	-0.55	0.145	-3.333	-3.135	-2.883	-2.693	-5.79	-2.633	-2.93	-0.169	0.338	-4.433	-2.465	-2.757	-2.615	-3.007	-3.393	0.134	-0.732	-2.339	-1.436	-0.519	-2.453	-1.872	-2.404	-3.3115	0.247	-0.17	-2.184	-1.186	-2.292	-4.098	-2.016	-2.513	-2.553	-1.664	-0.742
"YJL189W"	-1.8565	-1.682	-1.0035	-0.431	-1.73	-2.7325	-2.8195	1.089	0.91	0.731	-0.196	-0.267	-0.691	0.076	-3.545	-2.319	-1.644	-2.901	-4.28	-2.473	-2.446	-0.524	-0.321	-3.49	-1.78	-2.141	-1.577	-2.282	-2.837	-0.47	0.01	-1.438	-1.127	-0.426	-1.552	-1.383	-2.0	-2.3825	-0.012	-0.365	-1.288	-1.149	-1.952	-2.888	-2.1	-1.306	-2.027	-2.275	-2.089
"YJR071W"	-2.866	-1.795	-0.6985	0.176	-3.6225	-3.68	-3.2685	0.966	0.867	0.927	0.382	-0.302	-0.976	-0.491	-4.366	-2.22	-2.81	-2.688	-4.787	-3.364	-3.257	-0.631	-0.03	-1.625	-1.351	-1.453	-1.382	-1.931	-0.391	-0.515	-1.101	-1.678	-1.739	0.293	-2.082	-2.478	-1.89	-3.9695	-0.076	-0.07	-1.356	-1.507	-1.199	-1.797	-1.594	-2.297	-0.968	-2.334	-1.196
"YKR059W"	-1.265	-1.483	-0.494	-0.047	-1.579	-1.475	-1.861	1.161	1.252	0.993	0.272	0.011	-0.695	-0.14	-2.144	-1.242	-1.54	-2.817	-4.998	-1.778	-2.593	-0.469	0.574	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	0.412	-0.409	-1.197	-1.102	0.459	-1.284	-1.65	-0.888	-1.94	0.104	-0.354	-1.975	-0.988	-1.876	-2.025	-1.632	-2.2	-2.321	-2.153	-1.003
"YLR175W"	-3.679	-2.134	-1.078	-0.123	-3.07	-4.552	-4.902	1.215	1.304	1.12	0.137	-0.548	-1.193	-0.249	-5.607	-2.921	-3.068	-3.401	-5.468	-3.43	-3.996	-0.352	0.092	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	0.676	-1.041	-2.188	-1.419	0.272	-1.892	-1.798	-1.58	-4.431	-0.232	0.037	-2.547	-1.5	-4.177	-4.338	-3.423	-3.083	-2.593	-2.074	-1.981
"YLR276C"	-3.855	-2.573	-0.936	0.214	-3.331	-3.732	-4.143	1.132	1.168	0.994	-0.014	-0.531	-0.728	-0.167	-4.467	-1.657	-1.858	-3.174	-5.399	-2.381	-2.386	-0.378	-0.276	-3.49	-1.889	-2.427	-1.866	-3.17	-3.081	0.258	-0.897	-2.531	-1.558	-0.074	-2.431	-2.252	-1.375	-2.51	-0.735	0.3	-3.609	-1.452	-4.014	-3.838	-2.185	-2.366	-3.578	NaN	-1.318
"YMR131C"	-4.183	-2.431	-1.0	0.161	-3.849	-4.525	-4.347	1.141	0.906	0.972	0.181	-0.077	-0.589	-0.661	-5.631	-3.811	-2.914	-5.052	-6.665	-3.153	-3.547	-0.664	-0.183	-4.277	-2.829	-3.214	-4.236	-5.241	-4.266	0.244	-0.827	-3.012	-2.205	-0.381	-2.522	-2.8	-1.718	-4.674	-0.152	-0.519	-4.32	-1.8	-3.866	-4.181	-2.568	-2.513	-2.742	-3.442	-1.935
"YNL162W"	-2.384	-1.359	-0.758	-0.355	-1.97	-3.17	-3.58	1.123	1.003	1.055	0.22	0.006	-0.56	-0.108	-3.953	-3.14	-2.163	-2.858	-6.425	-2.882	-2.86	-0.375	-0.052	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	-0.445	-0.323	-2.109	-1.436	-0.258	-2.23	-1.918	-2.288	-2.998	0.004	0.007	-2.304	-1.367	-2.02	-3.916	-2.052	-2.624	-2.857	-3.014	-2.178
"YNL175C"	-4.901	-2.739	-0.991	0.1	-4.11	-4.362	-3.931	1.14	1.152	0.899	-0.153	-0.286	-0.893	-0.419	-4.877	-2.975	-2.117	-2.872	-6.011	-3.06	-2.575	-0.746	-0.104	-4.587	-2.804	-2.484	-2.404	-3.809	-2.849	0.064	-1.174	-0.83	-2.557	0.325	-2.034	-2.654	-2.163	-5.147	-0.057	-0.301	-2.87	-3.229	-2.388	-2.5475	-4.009	-4.49	-2.353	-2.696	-1.499
"YNL178W"	-2.425	-1.931	-0.608	-0.172	-2.285	-3.467	NaN	1.181	1.102	1.301	-0.353	0.013	-0.982	-0.278	-4.244	-3.785	-3.159	-4.338	-6.62	-2.371	-3.239	-0.884	0.157	-4.97	-2.899	-2.981	-2.958	-3.483	-3.871	-0.046	-0.432	-1.991	-1.931	0.08	-1.803	-1.852	-2.233	-3.459	-0.002	0.006	-1.668	-1.947	-2.739	-2.548	-2.018	-2.698	-3.094	-2.348	-2.536
"YOL077C"	-5.04	-2.828	-1.344	-0.256	-4.336	-5.22	-4.28	1.476	1.273	-0.096	0.844	-0.343	-1.003	-0.559	-5.186	-3.087	-2.79	-3.02	-6.552	-2.1355	-4.174	-1.18	-0.535	-3.705	-2.549	-3.046	-3.299	-3.894	-4.326	-0.01	-1.43	-3.287	-2.054	-0.44	-3.032	-2.96	-2.119	-4.7	-0.58	-0.076	-3.568	-2.005	-4.969	-5.145	-3.742	-2.522	-2.623	-2.653	-1.858
"YOR095C"	-4.288	-2.381	-1.518	-0.006	-3.939	-4.34	-4.285	1.399	1.185	1.246	0.422	-0.182	-1.027	-0.481	-1.698	-0.288	-3.275	-2.7255	-4.37	0.482	-3.469	-1.358	-0.051	-1.726	-1.933	-2.497	-2.868	-3.333	-3.068	0.083	-1.609	-3.094	-2.383	-0.489	-2.671	-2.685	-2.568	-3.778	-0.274	-0.045	-3.474	-2.195	-3.665	-4.298	-4.286	-3.211	-2.89	-1.974	-1.72
"YOR206W"	-3.702	-2.15	-0.722	0.286	-3.585	-5.083	-4.513	1.184	1.088	0.951	-0.0775	-0.41	-0.863	-0.818	-5.827	-2.0395	-2.174	-3.681	-6.4785	-2.919	-3.1625	-0.799	-0.397	-3.888	-2.451	-2.637	-3.151	-3.692	-3.694	0.372	-0.934	-3.65	-2.191	-0.337	-2.398	-2.168	-1.716	-5.066	-0.289	0.512	-3.011	-2.376	-3.839	-4.817	-6.119	-3.274	-2.425	-1.737	-1.906
"YOR243C"	-3.234	-2.239	-1.468	0.394	-2.436	-3.633	-3.982	1.203	1.139	1.2455	0.268	-0.061	-0.522	-0.6685	-3.8055	-2.128	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-0.346	-0.28	-3.635	-2.179	-2.726	-2.865	-4.484	-3.863	0.455	-0.836	-1.872	-1.457	-0.461	-1.652	-1.335	-1.1555	-4.099	0.065	0.123	-1.855	-1.007	-2.845	-2.825	-3.202	-2.909	-2.358	-2.809	-1.977
"YOR272W"	-3.645	-2.034	-1.074	0.353	-3.098	-2.566	1.0	1.2	1.356	0.9675	-0.032	-0.704	-0.454	-0.339	-4.8145	-2.6015	-1.968	-3.353	-4.712	-2.841	-3.033	-0.541	0.224	-3.311	-2.312	-2.009	-3.017	-3.307	-4.52	-0.086	-1.47	-1.261	-1.17	0.325	-0.585	-1.041	-1.1625	-2.217	-0.063	-0.014	-2.33	-1.795	-3.187	-3.502	-3.546	-2.98	-3.332	-2.014	-1.119
"YOR293W"	-2.435	-1.765	-0.854	-0.269	-2.205	-3.618	-3.854	1.033	0.782	0.753	-0.1285	-0.131	-0.856	-0.2965	-4.155	-3.19	-2.697	-2.7875	-4.496	-2.907	-3.442	-1.197	-0.077	-4.233	-2.533	-2.507	-1.856	-2.041	-3.118	-0.011	-0.074	-2.613	-1.918	-0.485	-2.238	-2.131	-2.6075	-3.151	-0.562	-0.543	-2.251	-1.635	-3.047	-3.853	-1.94	-2.096	-2.38	-2.674	-2.319
"YPL142C"	-1.932	-1.577	-0.448	-0.214	-2.625	-2.913	-3.225	1.023	1.2695	1.009	-0.0995	0.167	-0.722	0.2	-3.1395	-2.7515	-1.891	-3.5865	-5.604	-2.427	-2.825	-0.543	0.465	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	0.026	-0.083	-1.852	-1.366	0.035	-1.839	-2.009	-1.7865	-3.034	0.136	-0.398	-1.706	-1.624	-2.333	-3.677	-1.81	-2.248	-1.627	-2.396	-1.55
"YPL220W"	-2.404	-2.004	-1.035	-0.422	-2.267	-3.278	-3.871	1.277	1.154	1.2	0.001	0.097	-0.913	0.106	-3.389	-2.18	-2.2495	-3.187	-6.1465	-2.8915	-3.0375	-0.889	0.668	-3.51	-2.548	-2.639	-2.247	-2.571	-3.926	0.304	-0.642	-2.457	-2.005	-0.023	-2.078	-2.022	-1.461	-3.09	0.839	0.237	-2.179	-1.603	-2.654	-3.554	-2.098	-2.256	-2.574	-1.996	-1.104
"YPL226W"	-3.002	-1.42	-0.933	-0.1885	-2.4945	-3.229	-4.183	0.7565	0.906666666666667	0.858	0.375666666666667	-0.4235	-0.8255	-0.734	-4.86566666666667	-2.57633333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-0.306	0.078	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.185	-0.5515	-1.907	-1.6065	-0.297	-1.3845	-1.3565	-1.60566666666667	-3.215	0.5915	-0.2575	-2.47	-1.5745	-3.076	-3.811	-2.5635	-2.1345	-2.386	-1.6895	-1.548
"YPR102C"	-2.298	-1.669	-0.768	-0.074	-2.206	-3.37	-4.232	1.367	1.2	1.1555	0.1105	0.251	-0.617	0.2235	-3.521	-3.2945	-2.6455	-4.045	-6.451	-1.9585	-3.5055	-0.39	-0.032	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	0.111	-0.244	-2.388	-1.826	-0.263	-2.23	-2.126	-2.162	-3.007	0.285	-0.022	-1.909	-1.399	-2.5	-4.015	-2.56	-3.07	-2.791	-2.274	-2.464
"YPR110C"	-3.084	-1.217	-0.931	0.085	-2.507	-3.52	-3.728	0.96	1.068	0.986	0.0235	-0.304	-0.613	-0.7655	-5.7185	-3.2115	-3.133	-3.662	-6.318	-2.6255	-3.01	-0.548	-0.087	-3.88	-2.175	-2.703	-2.993	-3.212	-3.358	0.042	-0.777	-2.308	-1.703	-0.335	-2.158	-2.174	-1.359	-3.168	0.586	0.125	-2.787	-1.248	-3.436	-3.882	-1.995	-2.88	-2.431	-2.452	-1.826
"YPR163C"	-2.832	-1.926	-0.729	0.268	-2.415	-3.276	-3.939	1.032	1.048	1.063	-0.0395	-0.26	-0.88	-0.1865	-3.6815	-2.266	-0.93	-2.9485	-5.4905	-2.1035	-2.5635	-0.938	-0.079	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	0.59	-0.378	-2.045	-1.884	0.514	-1.688	-1.806	-1.1135	-3.572	0.064	-0.222	-1.276	-1.389	-3.015	-3.575	-2.361	-2.021	-1.999	-1.944	-0.942
