	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"
"YOR321W"	0.045	-2.096	-3.7905	-2.487
"YOR323C"	1.272	-4.2845	-6.434	-3.428
"YPL002C"	0.069	-0.675	-1.4965	NaN
"YPL037C"	0.852	-3.9955	-5.417	-3.654
"YPL048W"	0.703	-3.2175	-4.579	-2.183
"YPL081W"	0.609	-3.4025	-6.801	-3.725
"YPL104W"	0.566	-1.9905	-4.469	-1.499
"YPL143W"	0.368	-3.35	-5.0395	-2.941
"YPL158C"	0.179	-1.597	-3.676	-1.818
"YPL220W"	1.0405	-3.187	-6.1465	-3.926
"YPL226W"	1.81766666666667	-3.95033333333333	-5.67966666666667	-3.983
"YPL237W"	0.548	-2.875	-5.7585	-3.024
"YPL238C"	0.384	-2.431	-4.788	-2.586
"YPL243W"	0.8765	-4.1455	-5.276	-3.544
"YPR029C"	1.1275	-1.735	-4.2395	-2.242
"YPR043W"	0.194	-1.9405	-4.426	-2.187
"YPR143W"	0.4345	-1.7495	-3.332	-0.92
