	"29.alpha factor release sample016"	"42.alpha factor release sample022"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"651.alpha factor release sample019"	"685.YP sucrose vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1172.pho80 mutant vs wild type"	"1310.diauxic shift timecourse: 9.5 hr"	"4872.1M sorbitol - 60 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7542.DES459 (mec1) - log phase (MMS time "	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YDL061C"	0.373	0.068	-1.314	-2.379	-1.585	-0.509	-0.371	-2.198	-2.928	-3.023	-0.442	-0.055	1.229	-3.45	-2.443	-2.323	-2.345	-2.173	-2.665	-4.279	-2.416	-2.985	-2.81	-1.687	-3.44	-1.91	-2.031	-2.139	0.453	0.772	0.855	0.552	0.264	-0.01	-0.17	1.838	1.91	-1.195	-0.449	-1.412	-0.16	0.106	-1.147	-2.955	-1.245	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	-1.842	-2.058	-0.687	-0.77	-1.001	0.576	0.579
"YDL148C"	-0.426	0.611	-4.262	-3.284	-1.419	0.186	-1.179	-2.868	-3.476	-2.829	-0.63	-0.18	0.388	-3.372	-1.757	-1.734	-1.158	-0.377	-1.631	-4.257	-2.115	-2.168	-2.141	-1.537	-4.282	-1.828	-2.056	-2.139	0.657	0.491	0.678	-0.21	0.042	0.234	-1.655	0.598	0.625	0.16	-0.482	-1.681	-0.809	0.052	-0.985	-3.488	-2.328	-1.234	-1.942	NaN	0.058	-4.494	NaN	-1.279	-0.694	-1.649	-1.375	-2.422	0.021	0.325
"YDR064W"	-0.142	0.21	-1.589	-1.917	-1.678	-0.112	-0.768	-1.077	-2.822	-3.039	-0.23	0.086	0.75	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-5.03	-1.992	-3.208	-3.138	-2.511	-3.65	-2.228	-2.718	-2.943	-0.006	0.108	0.053	-0.112	-0.038	-0.36	-1.313	1.01	1.306	0.639	-0.127	-1.723	0.152	0.6095	-1.996	-2.16	-1.9855	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842	-2.065	-1.371	-1.867	-1.898	0.483	1.143
"YDR230W"	-0.609	-0.04	1.339	1.203	0.428	0.324	1.228	0.794	1.359	1.208	0.553	0.089	-0.839	2.982	2.771	2.13	2.445	2.114	0.935	0.72	1.57	1.552	1.968	0.902	1.441	1.278	1.4	1.232	-0.189	-0.314	0.379	-0.109	-0.028	-0.22	0.653	-1.368	-1.05	0.74	0.467	0.653	0.394	0.289	1.529	1.065	1.69	2.869	3.05	2.718	2.759	2.891	2.348	2.31	1.159	1.656	2.225	2.122	0.347	-0.4
"YDR312W"	-0.089	0.17	-3.237	-2.335	-1.08	0.09	-0.918	-2.086	-2.512	-2.345	0.046	-0.233	-0.068	-2.564	-1.147	-1.312	-0.536	-0.793	-1.364	-3.564	-1.377	-1.829	-1.774	-0.923	-2.515	-1.444	-1.492	-1.373	0.131	0.44	0.575	-0.291	-0.149	0.281	-1.691	0.466	0.131	-0.058	-0.19	-0.466	-0.373	-0.2365	-1.091	-3.04	-1.711	-1.874	-1.157	-0.826	-2.572	-1.141	-0.295	-0.263	-1.234	-1.782	-1.521	-1.234	0.234	-0.161
"YDR324C"	-0.476	-0.03	-3.512	-2.824	-1.838	0.127	-0.761	-2.336	-3.184	-3.012	-0.2	0.124	0.138	-3.361	-2.361	-1.762	-1.602	-1.715	-1.813	-4.131	-2.225	-2.212	-1.921	-1.118	-2.573	-2.143	-2.391	-1.803	-0.089	-0.214	-0.071	-0.448	0.005	-0.173	-1.498	0.766	0.127	0.566	-0.543	-1.45	0.319	-0.047	0.429	-3.609	-0.293	-1.857	-2.128	-1.1035	-3.2975	-2.27	-0.931	-1.0265	-1.203	-1.697	-1.8785	-1.4765	-0.3395	-0.3405
"YDR447C"	0.047	-0.032	-1.927	-2.299	-1.47	-0.11	-0.269	-2.149	-3.242	-3.562	0.094	0.034	0.608	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-5.332	-2.316	-3.574	-3.565	-2.813	-4.249	-2.279	-2.432	-2.817	-0.255	-0.13	0.135	0.509	-0.116	0.176	-1.266	1.533	1.164	0.557	-0.356	-2.288	-0.316	-0.21	-2.1165	-2.593	-1.6315	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	-2.685	-0.704	-0.943	-1.595	-1.106	1.035
"YDR471W"	-0.29	0.133	-2.267	-2.818	-1.28	-0.302	-0.554	-1.805	-3.206	-3.84	-0.064	0.182	0.623	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	-4.747	-2.627	-3.144	-2.929	-2.398	-4.253	-2.034	-2.122	-2.633	-0.067	0.167	0.504	0.124	0.2	0.415	-1.338	1.721	1.062	0.013	-0.198	-1.97	-0.142	-0.299	-1.7695	-3.29	-1.8415	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	-2.873	-2.355	-1.386	-1.044	-1.775	0.241	1.023
"YDR496C"	-0.386	0.013	-5.251	-3.9025	-2.571	0.376	-2.1745	-3.671	-4.953	-4.7405	-0.197	0.0685	0.241	-3.1645	-1.29	-2.3365	-2.027	-1.674	-2.018	-4.393	-2.7355	-4.5275	-2.8145	-1.899	-3.995	-2.1765	-2.168	-2.517	-0.011	-0.3815	0.2205	-0.162	0.198	0.0765	-2.09	0.7515	0.722	0.073	-1.0195	-1.6945	-0.7585	0.2125	-1.889	-5.1875	-3.257	-1.074	-1.347	-0.231	-1.917	-1.733	-1.551	-1.65	-1.283	-1.992	-1.763	-1.981	0.782	0.056
"YDR516C"	0.747	0.067	3.855	3.356	0.944	-0.432	2.306	2.828	3.245	3.346	0.481	-0.579	-0.621	3.637	2.518	2.501	2.064	1.394	1.161	-1.075	2.125	3.26	2.181	1.152	1.983	1.735	2.172	1.811	-0.492	-0.33	0.206	0.226	0.246	0.255	NaN	-0.847	-0.732	0.543	-0.11	1.053	0.389	0.2	1.153	2.996	2.786	3.694	2.42	1.293	4.37	3.235	2.456	3.112	1.447	2.133	1.311	1.849	-0.299	0.689
"YER0561C"	-0.004	0.141	-1.586	-2.016	-1.404	-0.21	-0.437	-1.532	-2.355	-2.665	-0.888	0.103	0.456	-3.641	-3.229	-3.765	-2.805	-2.118	-2.571	-4.828	-2.334	-3.09	-2.762	-2.713	-4.549	-2.208	-2.275	-2.538	-0.165	0.162	0.892	0.176	0.134	0.262	-0.807	1.597	1.083	-1.221	0.197	-2.358	0.019	0.079	NaN	-2.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YER073W"	0.147	-0.223	-1.493	-1.605	-0.561	-0.266	-1.375	-1.75	-2.399	-1.984	-0.025	-0.138	0.243	-3.032	-1.793	-1.051	-0.805	-0.39	-0.097	-2.093	-0.679	-2.473	-1.922	-1.96	-0.987	-0.225	-0.26	-0.715	0.078	0.417	0.697	0.182	-0.022	0.038	0.297	1.066	0.473	0.017	-0.209	-0.639	0.176	0.379	-0.428	-2.307	-0.506	0.054	-0.899	-0.404	0.038	-0.495	-1.133	-0.679	-0.026	-0.014	0.015	-0.304	-0.105	0.171
"YER095W"	1.72	-0.364	0.824	0.65	0.945	0.236	0.372	1.02	1.384	0.983	0.327	-0.233	0.456	0.451	0.7	0.499	1.525	1.414	1.873	1.166	0.405	0.568	0.441	0.985	0.252	0.664	0.84	0.942	-0.728	0.296	0.486	-0.149	0.362	0.449	0.43	0.785	0.554	0.239	0.168	1.052	0.193	-0.458	0.163	0.796	0.432	0.839	0.315	-0.085	1.449	0.57	0.924	0.932	0.676	1.096	0.581	0.553	1.04	0.37
"YER131W"	0.042	0.303	-1.816	-1.733	-1.954	-0.146	-0.336	-2.354	-3.171	-3.29	-0.091	0.237	0.383	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-6.55	-2.634	-2.621	-2.795	-2.905	-4.139	-2.089	-2.2	-2.498	0.196	0.103	0.421	0.26	0.227	0.487	-0.6	1.781	1.329	-1.03	-0.548	-2.392	-0.39	0.677	-2.4735	-3.097	-0.472	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	-2.465	-0.726	-0.669	-1.525	-0.092	1.652
"YFR031BC"	-0.027	-0.001	-1.637	-2.494	-1.317	-0.385	-0.824	-2.027	-3.278	-3.975	-0.228	0.243	0.714	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-7.029	-2.484	-3.328	-3.949	-3.594	-4.74	-2.253	-2.521	-2.912	0.101	-0.03	-0.105	0.251	0.501	-0.05	-1.422	1.634	1.315	-0.504	-0.137	-2.075	-0.117	-0.142	-2.438	-3.021	-1.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.269	1.944
"YFR053C"	1.609	0.153	5.916	4.876	2.024	-0.276	3.941	5.265	6.125	6.12	1.847	0.722	-0.537	4.333	2.831	3.413	3.138	2.786	3.637	-0.065	2.569	3.986	3.847	2.602	2.982	2.722	2.377	2.439	0.098	0.4	0.285	0.059	0.424	-0.115	2.574	-2.042	-1.611	0.564	1.207	2.058	0.935	0.349	2.463	4.784	3.887	4.333	2.442	2.077	5.992	4.03	3.313	3.899	1.137	3.262	2.729	2.788	0.211	1.025
"YGL016W"	0.2715	0.0905	-1.1	-0.88	-0.661	-0.029	-0.332	-0.909	-1.212	-1.15	-0.55	-0.2885	0.438	-1.929	-0.664	-0.675	-0.604	-1.474	-1.127	-4.265	-0.35	-1.563	-1.245	-1.104	-1.719	-0.997	-1.815	-1.608	0.2065	0.183	0.25	-0.123	0.344	0.106	-1.51	-0.189	0.396	0.631	0.456	-0.318	-0.026	-0.193	-1.374	-1.238	-1.812	-0.024	-0.788	-0.485	-1.333	-0.881	-0.381	-1.077	-2.414	-1.064	-1.363	-1.853	1.272	0.597
"YGL031C"	0.243	0.158	-1.911	-2.424	-1.829	-0.129	-0.83	-1.886	-3.443	-3.97	-0.423	0.204	0.455	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-5.763	-2.209	-3.041	-2.881	-3.063	-5.191	-2.42	-2.475	-2.899	0.061	0.321	0.677	0.255	0.162	0.114	-0.963	1.492	1.123	-1.077	-0.185	-2.732	0.029	0.393	-2.655	-3.282	-0.402	-3.814	-2.458	-2.321	-2.773	-2.852	-1.578	-1.636	-2.229	-0.46	-1.107	-1.75	-0.146	0.829
"YGL037C"	1.024	-0.651	4.922	4.738	3.213	0.501	3.649	4.635	4.777	4.892	1.857	-1.059	-0.504	4.226	2.658	2.571	2.753	2.835	2.279	-1.344	2.41	2.045	1.464	0.739	2.654	2.747	3.457	3.59	-0.627	-0.022	0.08	0.567	0.414	-0.098	2.6	-2.143	-2.021	0.393	0.677	1.444	1.105	-0.21	2.636	4.782	3.818	3.734	3.731	3.099	4.634	3.141	3.145	3.313	3.247	4.193	3.695	3.872	0.551	0.042
"YGL078C"	-0.552	-0.052	-4.33	-3.709	-1.968	0.289	-1.926	-3.238	-4.399	-3.428	-0.028	0.254	0.22	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-4.455	-2.562	-2.914	-2.134	-2.156	-4.196	-1.897	-1.879	-1.744	0.119	0.04	0.009	0.007	-0.069	0.117	-1.862	0.88	0.589	-0.353	-0.871	-1.775	-0.457	0.26	-1.112	-4.147	-3.206	-3.53	-2.245	-1.151	-3.576	-1.995	-1.225	-0.948	-2.365	-2.503	-2.856	-2.593	1.022	-0.15
"YGL084C"	0.13	0.019	0.953	0.729	0.686	-0.09	0.818	0.517	0.832	0.949	-0.134	-0.149	0.468	1.914	1.506	1.522	1.104	0.377	0.221	-2.754	0.169	0.575	0.104	-0.274	1.47	0.686	-0.316	-0.245	-0.099	-0.025	-0.204	0.188	-0.06	0.058	0.323	-0.792	0.379	0.508	0.41	0.614	0.09	-0.143	-0.253	0.398	-0.14	0.541	0.333	-0.286	0.752	0.249	-0.168	-0.507	-0.134	0.057	-0.268	0.426	0.052	0.068
"YGL123W"	0.379	0.66	-1.71	-2.557	-1.674	-0.342	-0.797	-2.339	-3.47	-4.378	0.17	0.481	0.742	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-5.982	-3.013	-4.112	-3.654	-3.701	-3.511	-2.071	-2.414	-2.278	0.551	0.576	0.538	0.348	0.417	0.027	-0.257	2.379	1.558	-1.025	-0.03	-1.983	-0.32	0.199	-2.357	-3.308	-0.894	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-2.743	-2.814	-0.728	-1.019	-1.46	-0.476	0.748
"YGL147C"	0.018	0.336	-2.372	-3.006	-1.899	-0.122	-1.396	-2.704	-4.102	-4.319	-0.127	0.235	0.632	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-7.507	-2.882	-3.0	-3.753	-3.466	-4.384	-2.459	-2.874	-3.388	0.278	0.336	0.338	0.191	0.393	0.326	-0.956	1.579	1.209	-0.479	-0.087	-2.28	0.098	0.076	-2.532	-3.829	-0.759	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	-1.946	-1.0025	-1.7285	-1.7215	0.3895	0.875
"YGL171W"	-0.415	-0.13	-4.302	-4.243	-1.503	-0.238	-2.269	-2.091	-3.818	-3.208	-0.13	0.187	0.461	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-4.649	-3.098	-2.759	-2.384	-1.713	-3.704	-1.8	-1.731	-1.978	-0.023	-0.113	-0.039	-0.084	0.047	0.01	-1.278	0.708	0.183	-0.201	-0.503	-1.607	-0.538	-0.192	-1.315	-3.658	-1.628	-2.646	-2.402	-1.977	-3.848	-2.304	-1.754	-1.497	-1.697	-1.819	-2.349	-1.616	-0.287	0.168
"YGR019W"	0.722	0.179	3.016	2.8	2.157	0.26	2.034	2.58	3.009	2.976	0.7	0.335	-0.602	4.045	3.096	3.778	3.356	2.49	2.847	-1.199	1.999	2.14	2.056	1.394	2.332	2.623	2.397	1.838	-0.126	0.109	0.085	-0.798	-0.158	-0.189	1.559	-1.244	-0.997	-0.157	1.227	1.357	0.649	0.043	2.128	2.898	2.284	2.108	1.173	1.461	3.364	2.372	1.811	1.997	1.729	1.952	2.524	1.859	-0.419	-1.195
"YGR034W"	0.242	0.089	-2.251	-2.191	-1.353	-0.3	-0.609	-2.26	-3.059	-2.884	-0.282	-0.203	0.496	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-6.281	-2.746	-3.268	-2.935	-2.282	-3.635	-2.067	-2.022	-2.01	0.285	0.451	0.471	-0.031	-0.197	0.049	-1.19	1.731	1.35	-0.386	-0.375	-2.337	0.063	-0.356	-1.469	-2.708	-1.859	-2.986	-3.003	-2.725	-4.347	-3.643	-2.741	-2.179	-0.932	-1.178	-0.757	-1.784	1.345	1.869
"YGR103W"	-0.75	0.124	-4.795	-5.229	-3.278	0.225	-3.588	-4.485	-5.118	-3.624	-0.405	0.254	0.624	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-5.518	-2.869	-2.251	-2.402	-2.149	-4.861	-2.978	-2.918	-2.95	-0.058	-0.195	0.059	-0.168	-0.007	0.129	-1.403	1.499	1.233	0.053	-1.172	-2.287	-1.01	0.337	-2.468	-5.075	-2.689	-3.1195	-2.6665	-1.548	-4.287	-2.4	-2.155	-1.886	-1.7455	-2.612	-2.781	-2.564	0.0805	-0.42
"YGR111W"	0.286	0.248	1.7315	1.748	1.1335	0.094	1.293	1.239	1.854	1.9695	0.128	0.049	-0.099	2.76	1.386	1.816	1.566	1.008	1.297	-2.029	0.997	1.33	1.123	0.43	1.706	1.288	1.154	0.938	0.096	0.237	-0.021	-0.071	-0.266	0.061	1.085	-0.789	-0.541	0.661	0.342	0.664	0.102	0.297	0.2815	1.747	1.6005	1.408	1.471	0.802	2.046	1.34	0.995	1.524	1.73	1.365	1.866	1.927	0.13	1.077
"YGR114C"	0.025	-0.188	-0.3345	-0.6015	-0.8645	-0.027	-0.1035	-0.6425	-0.9905	-0.956	-0.634	-0.19	0.374	-0.851	-0.839	-0.418	-1.181	-0.53	-1.018	-2.579	-0.532	-0.708	-0.51	-0.754	-1.262	-0.995	-1.272	-1.43	-0.033	0.276	0.602	0.299	0.202	-0.131	-0.85	0.611	0.537	-0.411	-0.89	-0.911	-0.675	-0.27	-0.883	-1.062	-0.118	0.402	-0.37	-0.02	0.523	-0.092	-0.474	-0.317	-0.688	-0.603	-0.759	-0.56	0.648	-0.468
"YGR118W"	-0.008	0.296	-1.5195	-1.6645	-1.433	-0.088	-0.2035	-1.6245	-2.6185	-3.085	0.008	0.184	0.654	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-5.471	-2.128	-2.458	-2.209	-2.183	-3.851	-1.903	-1.997	-2.117	0.078	0.165	0.392	0.079	0.374	0.229	-0.903	1.579	1.157	-0.743	-0.33	-1.681	-0.225	0.472	-2.095	-2.633	-1.116	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94	-2.266	-0.343	-0.731	-0.92	0.753	1.947
"YGR148C"	-0.069	0.046	-1.979	-2.184	-1.776	-0.231	-0.917	-1.777	-2.942	-3.2425	-0.259	0.132	0.458	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-5.757	-2.075	-3.141	-3.011	-2.956	-5.063	-2.455	-2.508	-2.896	-0.113	0.328	0.689	0.174	0.296	0.022	-1.172	1.279	1.095	-0.887	-0.509	-2.548	0.135	0.448	-2.7095	-2.591	-0.974	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	-2.573	-0.891	-0.899	-0.946	-0.55	1.095
"YGR159C"	-0.376	0.284	-0.843	-2.711	0.409333333333333	-0.4685	-2.4885	-1.76766666666667	-1.11133333333333	-3.197	-0.4495	-0.122	0.4605	-0.634	0.0815	0.3025	0.5115	0.338	0.5125	-2.046	-0.1285	0.1085	-0.847	-1.019	-2.4205	-1.4295	-1.3365	-1.481	0.563	0.278	0.229	-0.324	0.118	0.252	-1.387	1.273	1.3655	0.151	-0.0935	-0.3445	0.5045	-0.007	-2.5955	-2.43633333333333	-4.5815	-3.446	-3.013	-2.604	-4.288	-3.885	-3.073	-2.008	-3.44	-4.087	-3.747	-4.101	1.646	0.507
