	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"1170.pho85 delete vs. wild type"	"1253.mec1_plus_gamma_45_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"4872.1M sorbitol - 60 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"7760.Na 45min"	"7761.Na 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"34355.delPPT1_hypo_osmotic_shock_30min"
"YGR137W"	2.232	1.8825	1.84	1.8875	0.8995	1.907	2.2145	1.792	-0.072	0.442	0.817	0.86	1.046	0.734	0.365	0.812	-3.611	0.407	-0.006	-0.108	0.18	-0.056	0.884	0.398	1.094	1.03	2.4285	1.333	1.2635	1.6705	0.628	1.48	2.204	1.395	2.268	0.463	0.026
"YHL011C"	-2.166	-2.744	-2.4425	-2.467	-0.997	-2.107	-3.0145	-3.024	-0.026	-1.057	-1.337	-0.687	-1.603	-1.5	0.078	-2.604	-3.592	-0.682	0.564	0.189	-0.124	-0.008	-0.992	-0.454	-1.859	-1.437	-3.2715	-0.322	-0.862	0.138	-0.031	-2.169	-2.38	-1.532	-2.437	0.131	0.133
"YHR066W"	-2.6315	-3.7505	-3.058	-3.0515	-1.4695	-2.9815	-3.762	-3.552	-0.025	-1.7305	-1.966	-1.993	-2.473	-2.073	0.055	-4.885	-5.203	-1.423	0.264	0.196	0.069	0.466	-0.855	-0.895	-2.447	-1.738	-4.347	-1.648	-2.504	-1.513	0.273	-2.551	-3.068	-1.906	-2.219	-0.197	-0.241
"YIL117C"	1.765	2.1615	2.206	2.037	1.37766666666667	1.79	2.43933333333333	1.79866666666667	-0.2825	0.946	1.266	0.7565	1.1215	1.8745	-0.245	-0.56	-2.669	1.436	0.443	0.0865	0.0805	-0.4915	0.6055	0.883	0.9575	1.302	1.96633333333333	1.8405	0.73	1.3515	0.2705	1.442	2.212	2.206	1.589	0.649	0.457
"YIL127C"	-1.5585	-2.724	-2.4155	-3.181	-1.271	-1.7815	-2.8895	-2.6295	0.28	-1.5605	-1.677	-1.6	-2.219	-2.121	-0.172	-3.825	-4.521	-1.107	-0.011	-0.268	-0.274	0.202	-0.961	-0.985	-1.876	-1.539	-2.6085	-1.298	-2.493	-1.237	0.327	-3.424	-2.784	-1.905	-1.765	-0.309	-0.225
"YJL122W"	-2.271	-3.1605	-2.3075	-2.6115	-1.086	-2.3555	-3.015	-2.6085	-0.174	-1.731	-2.116	-1.064	-2.04	-2.031	0.02	-4.13	NaN	-1.195	0.479	0.093	-0.004	0.194	-1.32	-1.554	-2.152	-1.354	-2.9625	-1.908	-2.873	-1.773	-0.034	-2.578	-3.081	-2.605	-2.196	-0.956	-0.214
"YJR002W"	-3.138	-3.52066666666667	-0.709666666666667	-2.819	-1.408	-2.21066666666667	-2.34	-3.20666666666667	-0.313	-1.86166666666667	-1.817	-1.7525	-1.834	-1.98	-0.172	-2.9885	-4.416	-1.666	0.3075	-0.088	-0.2495	-0.0345	-1.094	-1.179	-2.0865	-1.753	-3.31866666666667	-1.179	-2.31	-1.4905	0.0165	-2.667	-3.252	-2.36	-2.97	-0.835	-0.444
"YKL099C"	-2.757	-4.464	-4.014	-3.88	-1.339	-2.796	-3.564	-3.037	0.018	-1.41	-2.266	-1.728	-2.672	-2.33	0.084	-4.145	-3.312	-1.239	0.2	-0.142	-0.047	0.19	-0.919	-0.876	-2.597	-2.271	-3.926	-1.307	-2.457	-1.83	-0.899	-3.154	NaN	-2.909	-2.722	-0.587	-0.351
"YKR056W"	-3.646	-4.01	-3.863	-3.872	-1.497	-2.945	-3.217	-3.127	-0.414	-1.83	-1.683	-1.962	-2.718	-2.101	-0.918	-4.495	-4.34	0.174	-0.105	-0.154	-0.254	-0.129	-0.769	-0.447	-2.896	-1.713	-3.682	-1.626	-2.059	-1.508	-0.137	-1.97	-2.586	-2.146	-2.061	-0.724	-0.432
"YLR276C"	-3.536	-4.199	NaN	-3.855	-2.196	-3.331	-3.732	-4.143	-0.061	-2.11	-2.068	-1.697	-2.616	-1.884	-0.167	-4.467	-5.399	-1.544	0.276	0.155	-0.001	-0.088	-0.961	-0.966	-2.531	-1.558	-2.51	-1.635	-2.416	-1.176	-0.678	-3.95	-4.014	-2.707	-2.803	-0.788	-0.187
"YLR401C"	-4.37	-3.667	-3.155	-2.889	-1.048	-2.202	-3.179	-2.451	-0.047	-1.299	-1.983	-1.637	-2.074	-1.786	-0.914	-3.761	-3.133	-1.358	-0.399	-0.494	-0.311	0.252	-0.757	-0.584	-1.783	-0.998	-3.769	-1.076	-2.352	-1.348	0.068	-4.107	-4.366	-2.033	-2.208	-0.462	-0.442
"YNL002C"	-3.547	-4.666	-4.12	-4.07	-2.094	-3.305	-4.559	-4.222	-0.219	-1.834	-2.677	-1.685	-2.627	-2.564	-0.265	-5.196	-3.468	-1.129	0.12	-0.268	-0.099	-0.059	-1.062	-0.99	-2.774	-1.803	-4.603	-1.705	-2.612	-1.696	0.785	-3.249	-3.481	-2.594	-3.245	-0.887	-0.32
"YNL061W"	-3.447	-4.928	-4.17	-3.927	-1.752	-4.143	-4.404	-3.948	-0.273	-1.98	-2.446	-1.745	-2.673	-2.373	-0.102	-4.329	-4.27	-1.131	0.727	0.382	0.358	-0.042	-0.85	-0.916	-2.599	-1.44	-5.38	-1.925	-2.646	-1.72	-0.12	-3.059	-3.925	-2.946	-2.461	-0.558	-0.192
"YNL062C"	-2.043	-3.459	-1.549	-2.934	-0.927	-2.143	-3.093	-2.844	-0.118	-1.304	-1.093	-1.303	-1.917	-1.508	-0.391	-4.157	-6.263	-0.885	0.21	-0.004	0.111	-0.003	-0.729	-0.344	-1.772	-1.297	-2.71	-1.389	-1.999	-1.567	-0.044	-3.32	-4.112	-2.584	-2.778	-1.173	-0.688
"YNL075W"	-2.664	-3.86	-2.098	-3.164	-1.324	-2.558	-3.304	-2.768	-0.162	-1.215	-1.938	-1.244	-2.078	-1.5	-0.452	-4.782	-3.339	-1.08	0.382	0.106	-0.059	-0.203	-0.676	-0.638	-1.85	-1.445	-3.301	-1.761	-2.281	-1.223	-0.166	-3.326	-2.935	-2.361	-2.748	-0.813	-0.433
"YNL110C"	-3.468	-4.43	-5.407	-3.64	-1.669	-3.768	-4.56	-4.991	-0.38	-1.967	-2.683	-2.042	-2.66	-2.463	0.253	-5.108	-3.296	-1.687	0.167	0.092	0.211	-0.088	-1.457	-1.374	-3.662	-2.623	-5.064	-1.305	-2.308	-1.719	-0.812	-4.233	-4.907	-3.471	-3.973	-0.503	-0.112
"YNL132W"	-2.988	-4.679	NaN	-5.146	-2.972	-3.658	-3.329	-4.954	0.062	-2.891	-2.634	-2.191	-2.754	-3.143	-1.649	-5.826	-6.392	-1.435	0.121	0.115	-0.092	-0.079	-1.488	-1.185	-2.468	-2.114	-3.45	-1.999	-2.637	-1.934	-0.171	-3.651	-4.311	-2.617	-3.564	-0.776	-0.272
"YNL313C"	-3.06	-3.472	-3.287	-3.026	-1.175	-2.399	-2.935	-3.02	0.093	-1.945	-1.152	-1.493	-2.31	-1.97	-0.953	-4.999	-5.714	-2.033	0.147	0.033	-0.188	0.106	-0.631	-0.508	-1.939	-1.572	-3.009	-1.226	-2.263	-1.239	0.227	-3.183	-2.824	-2.352	-1.81	-1.055	-0.507
"YNR053C"	-2.579	-5.074	-2.27	-4.159	-1.601	-3.104	-3.74	-3.215	-0.375	-1.937	-1.354	-2.206	-2.944	-2.392	0.139	-3.029	-3.447	-1.322	0.224	-0.189	-0.044	-0.046	-1.221	-1.062	-3.205	-1.883	-4.11	-1.414	-2.72	-1.8	-1.04	-3.556	-3.937	-3.267	-2.674	-1.025	-0.617
"YOL022C"	-1.069	-2.578	-1.943	-2.43	-1.05	-2.344	-2.29	-2.301	0.032	-1.154	-1.809	-0.833	-1.744	-1.669	-0.231	-1.8955	-4.073	-0.841	0.203	0.091	-0.085	0.076	-0.646	-0.391	-1.85	-1.697	-2.13	-1.017	-0.999	-1.102	-0.674	-1.956	-2.882	-2.184	-3.424	-0.787	-0.3
"YOR091W"	-2.076	-3.01	-1.939	-2.688	-0.957	-1.642	-2.72	-2.309	-0.086	-1.433	-2.036	-1.362	-2.094	-1.799	0.4355	-3.211	-1.504	-1.279	-0.015	-0.102	0.106	0.123	-0.314	-0.158	-1.265	-0.644	-2.366	-1.199	-1.821	-0.999	0.348	-3.107	-3.395	-1.759	-1.529	0.0	-0.051
"YOR145C"	-3.045	-3.98	-3.649	-3.795	-1.583	-2.871	-3.492	-3.402	-0.214	-1.45	-1.606	-1.668	-2.441	-1.805	-0.507	-4.1305	-3.4715	-1.284	0.459	-0.05	0.146	-0.001	-1.055	-0.883	-2.938	-1.588	-3.948	-1.562	-2.784	-2.05	-0.339	-3.355	-3.644	-2.806	-3.265	-0.159	-0.178
"YOR206W"	-3.294	-5.087	-4.715	-3.702	-1.66	-3.585	-5.083	-4.513	-0.239	-2.192	-2.605	-1.977	-2.894	-2.77	-0.818	-5.827	-6.4785	-1.233	0.419	0.149	-0.261	-0.2	-1.225	-1.25	-3.65	-2.191	-5.066	-1.76	-3.013	-1.528	-0.433	-3.782	-3.839	-2.816	-4.003	-0.526	-0.273
"YOR294W"	-3.856	-4.574	-3.533	-3.828	-1.804	-3.73	-4.407	-3.632	-0.579	-1.692	-2.027	-1.927	-2.434	-2.234	-0.175	-5.6475	-5.2465	-1.452	-0.019	-0.025	-0.118	-0.128	-1.075	-1.278	-3.461	-1.971	-4.852	-1.501	-2.527	-1.022	-0.307	-3.894	-4.841	-3.679	-3.042	-0.489	-0.656
"YPL043W"	-2.829	-4.246	-2.686	-4.0	-2.102	-3.773	-4.198	-4.087	0.092	-1.864	-2.45	-2.268	-2.529	-2.671	-0.1535	-4.668	-3.79	-1.814	-0.341	-0.044	-0.097	-0.112	-1.19	-0.951	-2.772	-2.128	-4.555	-1.393	-2.597	-1.651	-0.314	-4.18	-3.988	-2.531	-2.639	-0.868	0.268
"YPL086C"	-2.147	-2.374	-1.678	-1.502	-0.965	-2.322	-2.561	-2.524	-0.194	-1.646	-1.408	-1.017	-1.533	-1.681	-0.5475	-3.4025	-5.552	-1.482	-0.096	0.002	0.032	0.072	-0.976	-0.865	-1.826	-1.611	-2.138	-0.953	-1.389	-0.854	-0.429	-2.315	-3.386	-1.928	-3.259	-0.919	-0.234
"YPL126W"	-3.103	-3.932	1.624	-1.959	-2.82	-2.858	-2.989	-3.334	0.0	-1.324	-1.776	-2.02	-2.358	-1.993	-0.869	-4.3895	-3.4745	-1.582	0.393	-0.265	-0.295	-0.196	-1.175	-0.919	-2.502	-2.203	-1.407	-1.407	-2.865	-1.431	-0.146	-3.919	-4.983	-3.147	-4.497	-1.009	-0.388
"YPL226W"	-3.629	-3.457	-0.2535	-3.002	-1.6735	-2.4945	-3.229	-4.183	0.052	-1.755	-0.922	-1.34366666666667	-1.99	-1.997	-0.734	-4.86566666666667	-5.67966666666667	-1.425	-0.275	-0.565	-0.359	-0.0735	-0.6695	-0.6865	-1.907	-1.6065	-3.215	-1.5835	-2.5885	-1.7665	-0.245	-2.55	-3.076	-2.041	-3.793	-0.461	0.363
"YPL266W"	-2.487	-3.981	-2.802	-3.222	-1.233	-2.968	-3.585	-3.063	-0.081	-1.757	-2.294	-0.843	-1.9705	-1.846	-0.29	-4.1135	-3.1595	-0.817	0.397	0.258	0.044	0.11	-0.976	-0.837	-2.134	-2.032	-3.636	-1.075	-2.344	-1.126	0.519	-3.195	-4.813	-2.51	-2.945	-0.604	-0.125
"YPR110C"	-1.58	-3.178	-1.98	-3.084	-1.163	-2.507	-3.52	-3.728	-0.151	-1.314	-1.742	-0.888	-1.572	-2.073	-0.7655	-5.7185	-6.318	-1.359	0.098	-0.186	-0.244	-0.091	-0.593	-0.473	-2.308	-1.703	-3.168	-0.902	-1.899	-1.179	0.395	-2.665	-3.436	-2.354	-3.503	-0.799	-0.244
"YPR144C"	-1.792	-4.441	-3.739	-4.211	-3.145	-2.783	-3.783	-3.366	-0.279	-1.485	-1.773	-1.765	-2.554	-1.9485	-0.8715	-3.855	-4.2065	-1.293	-0.311	-0.364	-0.518	0.207	-1.038	-0.684	-1.376	-0.956	-4.107	-1.1	-1.769	-1.479	-0.449	-3.581	-3.213	-2.381	-2.677	-0.6	-0.02
