	"103.alpha factor release sample026"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"7541.DES459 (mec1) - log phase (IR time "	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"15638.Ca+FK 60min (2)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33261.delKIN82_heat shock _30min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YLR186W"	-0.37	-2.976	-2.122	0.007	1.306	0.805	-4.787	-2.844	-2.506	-2.174	-2.293	-2.346	-4.298	-5.516	-2.004	-3.036	-2.821	-2.007	-0.402	-0.686	-2.372	-1.577	-2.069	-2.678	-0.685	-2.09	-3.083	0.156	-2.466	-2.202	-0.992	-1.897	-2.138	-2.194	-1.692	-0.817	-0.214	-3.381	-4.173	-2.896	-1.936	-0.616	-0.286	-0.395	-2.394	-1.399	-1.515	1.375	-0.028	-0.408
"YLR197W"	-0.17	-4.76	-5.179	-0.224	1.252	1.224	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-3.899	-3.238	-3.258	-0.139	-0.243	-5.671	-2.611	-3.067	-4.976	-0.187	-2.488	-5.072	-0.468	-4.496	-2.603	-0.567	-3.38	-2.979	-2.771	-1.921	-1.612	0.151	-4.983	-4.545	-3.045	-2.593	-0.03	0.067	0.102	-3.015	-3.033	-2.613	1.313	0.559	1.366
"YMR217W"	0.118	-2.964	-3.238	-0.045	1.158	1.301	-5.293	-3.056	-3.049	-2.634	-2.518	-3.785	-4.735	-5.29	-2.699	-3.48	-2.869	-2.622	0.261	-0.202	-4.287	-2.652	-3.341	-4.205	-0.38	-2.4545	-3.402	-0.022	-4.738	-3.101	-0.862	-3.366	-3.338	-3.375	-3.375	-2.564	-0.264	-3.621	-4.222	-3.421	-2.938	-0.071	0.335	0.189	-2.783	-2.27	-3.678	1.624	0.44	0.42
"YMR229C"	0.114	-3.288	-4.5955	-0.17	0.6585	0.4685	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.8345	-2.914	-2.1435	-2.161	0.271	-0.291	-4.826	-2.78	-2.897	-3.685	0.3675	-1.93833333333333	-4.3425	-0.4445	-4.271	-3.0895	-1.5985	-2.946	-1.469	-2.0955	-1.903	-2.468	-0.904	-3.4135	-3.9575	-2.553	-2.0965	-0.3845	-0.226	-0.3255	-1.3175	-1.244	-1.956	1.352	0.4745	-0.393
"YMR242C"	0.036	-3.309	-3.708	-0.016	1.333	1.294	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	-3.636	-0.161	-0.178	-4.84	-2.479	-2.59	-3.133	-0.89	-2.4615	-3.054	0.291	-2.43	-1.144	-0.538	-1.693	-1.645	-1.91	-2.005	-0.987	0.059	-4.158	-4.607	-3.588	-2.771	0.084	-0.222	-0.086	-1.905	-1.361	-2.941	0.29	0.263	-0.106
"YMR290C"	0.204	-3.89	-3.624	-0.005	1.028	1.098	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-3.243	-3.378	-2.625	-0.457	-0.559	-4.614	-3.037	-3.295	-3.665	-0.351	-2.957	-4.129	-0.442	-4.343	-3.775	-1.826	-3.596	-1.884	-1.734	-1.539	-3.156	-0.842	-4.028	-4.544	-3.558	-3.243	-0.49	0.014	-0.357	-2.21	-0.939	-1.773	1.523	0.337	0.384
"YNL067W"	-0.062	-3.335	-3.738	-0.023	1.166	0.859	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-2.532	-2.866	-3.241	-2.399	-0.149	-0.27	-4.131	-1.968	-2.506	-1.906	-0.839	-1.5625	-3.16	0.556	-2.636	-1.422	-0.035	-2.74	-2.149	-1.124	-2.359	-1.516	0.105	-2.698	-3.107	-2.534	-2.013	0.032	-0.145	0.011	-1.875	-1.545	-2.667	2.161	0.393	-0.27
"YNL069C"	-0.002	-2.865	-3.347	0.202	0.991	0.906	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-3.44	-3.85	-3.199	0.154	0.096	-4.269	-1.921	-2.199	-2.509	-0.448	-2.137	-2.91	0.403	-2.543	-1.261	-0.755	-2.637	-2.144	-1.875	-1.94	-1.054	0.281	-3.601	-3.741	-3.469	-3.02	0.151	0.061	-0.12	-1.852	-1.269	-2.983	0.577	0.484	-0.908
"YNL209W"	0.184	-4.441	-4.707	0.222	0.958	1.135	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-4.055	-5.803	-2.699	-3.728	-2.985	-4.021	0.081	-0.108	-4.059	-2.262	-2.633	-3.829	0.211	-2.966	-4.616	0.179	-3.361	-2.694	-1.063	-2.998	-2.951	-1.997	-1.878	-1.816	-0.006	-4.586	-4.209	-4.158	-3.075	0.453	0.54	0.198	-2.057	-2.134	-3.586	0.921	0.341	-0.618
"YOR243C"	-0.194	-3.633	-3.982	-0.028	1.139	1.2455	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-2.1815	-1.6325	0.097	-0.282	-3.635	-2.371	-2.179	-4.484	-0.052	-1.712	-4.099	-0.38	-2.845	-1.727	-1.002	-2.962	-2.47	-3.47	-2.665	-1.649	-0.231	-1.759	-2.825	-2.065	-1.562	-0.023	0.073	0.149	-1.862	-1.108	-2.728	1.116	0.501	0.581
"YOR293W"	0.261	-3.618	-3.854	0.083	0.782	0.753	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-2.907	-3.442	-3.1085	-3.0195	-0.301	-0.356	-4.233	-2.537	-2.533	-2.041	-0.585	-1.85	-3.151	-0.081	-3.047	-1.776	-0.822	-2.752	-2.453	-2.084	-1.647	-2.103	-0.552	-3.53	-3.853	-3.23	-2.89	-0.46	-0.339	-0.265	-1.762	-1.314	-2.477	1.579	0.548	0.678
"YOR310C"	0.082	-4.639	-3.004	-0.107	1.223	1.0465	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-3.766	-3.585	-3.5415	0.464	0.419	-5.777	-2.773	-3.838	-5.099	-0.097	-2.849	-4.948	-0.196	-4.326	-3.006	-1.468	-3.475	-3.205	-3.567	-1.99	-2.39	-0.635	-4.564	-5.14	-4.292	-3.502	-0.178	0.03	-0.119	-3.033	-2.073	-2.456	0.756	0.46	1.145
"YPL090C"	0.036	-3.529	-3.965	NaN	0.871	0.9415	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-2.01	-3.398	-3.223	-3.3795	-0.319	-0.564	-5.307	-2.412	-2.833	-3.309	-0.691	-2.061	-3.272	-0.033	-2.536	-1.416	-0.133	-2.794	-2.576	-1.549	-1.742	-2.163	-0.353	-4.244	-4.101	-3.571	-2.951	0.085	-0.027	-0.193	-1.747	-1.467	-2.573	1.187	0.401	-0.22
"YPL142C"	-0.157	-2.913	-3.225	-0.093	1.2695	1.009	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-2.825	-3.3035	-2.8235	-0.038	0.304	-4.155	-2.082	-2.303	-2.632	-0.865	-2.011	-3.034	0.516	-2.333	-1.691	-0.82	-1.936	-1.883	-2.008	-1.85	-2.263	0.086	-3.763	-3.677	-3.278	-2.971	0.043	-0.021	-0.032	-1.359	-1.893	-2.419	1.207	0.542	0.988
"YPL198W"	-0.001	-3.084	-3.342	-0.007	0.94	0.968	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	-3.022	-0.267	-0.501	-3.875	-2.024	-2.227	NaN	-1.061	-1.633	-2.581	0.219	-2.3655	-1.4145	-0.5425	-1.8535	-1.3935	-1.178	-0.7645	-0.983	-0.1945	-4.2325	-3.4955	-4.5575	-2.68	0.4195	0.037	0.165	-2.0715	-1.247	-2.635	0.879	0.4525	-0.089
"YPL220W"	0.253	-3.278	-3.871	0.436	1.154	1.2	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-2.8915	-3.0375	-3.442	-3.3935	0.519	0.332	-3.51	-1.794	-2.548	-2.571	-0.822	-1.925	-3.09	0.43	-2.654	-2.004	-0.542	-2.613	-2.091	-1.549	-2.1	-1.918	0.168	-3.366	-3.554	-2.774	-2.352	-0.139	0.001	-0.028	-1.471	-1.133	-2.969	1.033	0.367	1.29
"YPL226W"	0.4335	-3.229	-4.183	0.052	0.906666666666667	0.858	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-2.786	0.0575	-0.024	-4.0095	-2.363	-2.3985	-2.9025	0.1155	-1.7375	-3.215	-0.2765	-3.076	-2.041	-1.164	-1.435	-1.494	-2.334	-1.655	-0.845	-0.461	-2.657	-3.811	-3.004	-2.748	-0.067	0.199	0.142	-1.952	-1.12	-1.898	0.837	-0.012	-0.647
"YPR102C"	-0.016	-3.37	-4.232	0.141	1.2	1.1555	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-1.9585	-3.5055	-4.118	-3.673	-0.452	-0.063	-4.644	-2.495	-2.723	-3.749	-0.653	-2.384	-3.007	0.071	-2.5	-1.582	-0.624	-1.443	-2.037	-1.817	-2.033	-0.988	0.134	-3.927	-4.015	-3.517	-2.547	0.043	-0.124	-0.015	-1.558	-0.913	-2.973	0.51	0.455	-0.536
"YPR110C"	-0.262	-3.52	-3.728	-0.151	1.068	0.986	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	-2.285	-0.54	-0.64	-3.88	-2.186	-2.175	-3.212	-0.852	-2.108	-3.168	-0.292	-3.436	-2.354	-1.182	-2.196	-2.065	-2.146	-1.381	-1.15	-0.799	-2.851	-3.882	-3.113	-2.597	-0.477	-0.241	-0.157	-2.538	-1.24	-2.622	0.312	0.25	-0.677
