	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YER105C"	1.25	-3.477	-1.462	-2.363	-2.555	0.976
"YER117W"	0.498	-5.642	-2.312	-2.562	-2.976	0.475
"YER118C"	1.035	-3.457	-1.371	-2.206	-1.965	0.397
"YFL004W"	0.656	-3.639	-1.927	-2.26	-2.284	1.0545
"YFL045C"	0.328	-4.897	-1.923	-2.307	-2.378	0.697
"YFR009W"	1.03	-4.932	-3.291	-3.978	-4.281	-0.3115
"YFR044C"	1.109	-5.917	-0.889	-1.826	-2.142	0.497
"YFR050C"	0.655	-3.392	-0.709	-1.442	-1.442	1.479
"YGL001C"	1.238	-4.137	-1.719	-2.358	-2.176	1.276
"YGL012W"	1.192	-3.869	-2.691	-2.742	-2.333	1.169
"YGL029W"	0.1	-2.985	-1.23	-1.498	-1.707	1.688
"YGL065C"	0.243	-2.778	-1.365	-1.862	-2.045	0.759
"YGL111W"	1.206	-2.826	-2.167	-1.95	-2.363	-0.068
"YGL135W"	1.173	-5.687	-2.267	-2.874	-3.825	-0.485
"YGL151W"	0.48	-3.485	-1.6	-1.691	-1.632	0.909
"YGL157W"	0.175	-6.107	-2.488	-2.817	-3.666	-0.339
"YGL171W"	0.809	-4.649	-2.292	-3.082	-2.503	1.159
"YGL201C"	1.756	-2.46	-0.833	-0.894	-1.548	-0.677
"YGL232W"	-0.208	-2.628	-1.825	-1.906	-2.353	0.949
"YGL245W"	1.153	-6.655	-3.552	-4.345	-4.779	0.573
"YGR037C"	-0.458	-4.976	-1.964	-2.717	-2.416	NaN
"YGR056W"	0.508	-2.933	-1.069	-1.22	-1.079	-0.41
"YGR103W"	1.273	-5.518	-2.768	-3.578	-3.882	1.099
"YGR106C"	0.528	-4.143	-0.691	-1.261	-1.126	0.654
"YGR128C"	1.595	-4.271	-2.017	-3.037	-2.679	1.2775
"YGR148C"	0.521	-5.757	-3.022	-3.649	-4.092	3.556
"YGR175C"	0.704	-4.5	-2.53	-2.628	-3.285	1.1195
"YGR185C"	1.504	-6.361	-4.576	-4.871	-5.006	-0.426
"YGR228W"	0.688	-3.357	-1.052	-2.915	-2.078	1.942
"YGR245C"	1.168	-3.799	-2.194	-2.446	-3.203	-0.23
"YGR285C"	1.618	-6.1	-3.452	-4.07	-4.065	0.187
"YHL013C"	0.829	-2.833	-0.822	-2.2	-0.717	2.215
"YHL039W"	0.797	-3.2375	-0.631	-0.851	-1.0325	1.01
"YHR013C"	0.628	-3.226	-2.229	-2.475	-3.122	1.186
"YHR019C"	1.919	-5.077	-3.117	-3.721	-4.387	0.405
"YHR043C"	-1.154	-3.778	-1.59	-1.963	-1.696	0.206
"YHR064C"	1.825	-5.238	-2.957	-3.678	-3.675	1.714
"YHR066W"	1.488	-5.203	-1.879	-2.539	-1.923	1.918
"YHR068W"	1.347	-6.532	-2.724	-3.669	-3.425	2.683
"YHR073W"	0.791	-2.844	-0.99	-1.786	-1.676	0.796
"YHR089C"	1.528	-4.276	-3.254	-3.83	-3.913	3.31
"YHR098C"	0.8325	-3.065	-1.917	-1.925	-2.553	1.2295
"YHR133C"	0.752	-3.501	-1.64	-1.82	-2.45	0.643
"YHR142W"	0.18	-2.576	-0.607	-0.788	-0.545	0.878
"YHR152W"	0.871	-3.007	-1.08	-1.633	-0.664	0.58
"YHR163W"	1.381	-4.663	-0.397	-2.471	-2.366	1.091
"YHR203C"	1.292	-5.944	-2.575	-3.081	-3.941	2.638
"YIL002C"	0.145	-2.557	-1.128	-1.454	-1.742	2.933
"YIL018W"	1.498	-5.749	-2.661	-3.27	-3.914	1.224
"YIL078W"	1.346	-6.059	-4.41	-4.902	-4.944	1.047
"YIL118W"	0.572	-3.881	-1.281	-1.819	-1.622	-0.393
"YIL131C"	0.0	-4.479	-1.725	-2.595	-1.95	-0.424
"YIL138C"	0.18	-3.747	-1.524	-2.298	-1.906	1.142
"YJL087C"	1.531	-2.16	-1.856	-1.935	-1.807	-0.743
"YJL123C"	0.327	-3.408	-1.19	-2.309	-1.888	4.745
"YJL125C"	1.231	-4.009	-1.983	-1.697	-1.865	0.89
"YJL145W"	1.087	-3.628	-2.303	-2.334	-2.853	0.31
"YJL157C"	1.642	-7.731	-3.198	-3.396	-3.219	1.745
"YJR041C"	1.182	-4.286	-2.965	-2.872	-2.952	1.208
"YJR075W"	0.535	-3.095	-0.596	-1.074	-1.01	0.582
"YKL013C"	-0.451	-3.984	-0.77	-1.173	-1.477	1.49
"YKL014C"	0.153	-2.7895	-1.294	-2.075	-1.805	1.1505
"YKL113C"	0.819	-2.644	-1.4465	-1.3135	-1.721	3.729
"YKL135C"	0.892	-3.285	-1.053	-1.318	-1.663	-0.819
"YKL153W"	-0.472	-5.051	-1.986	-2.039	-2.818	2.825
"YKL172W"	0.806	-5.305	-2.271	-2.723	-3.135	1.372
"YKL179C"	0.831	-3.305	-0.951	-1.676	-1.88	1.769
"YKR059W"	1.47	-4.998	-2.623	-2.96	-3.568	1.172
"YKR094C"	0.206	-4.383	-1.792	-2.197	-2.387	0.596
"YLL044W"	1.502	-6.48	-2.724	-3.494	-3.967	2.188
"YLR009W"	0.588	-5.388	-2.555	-3.216	-2.799	1.162
"YLR062C"	0.892	-6.896	-4.299	-4.293	-5.234	2.316
"YLR083C"	1.904	-5.137	-2.29	-3.88	-3.36	1.34
"YLR153C"	1.873	-5.598	-3.578	-3.672	-3.394	2.225
"YLR175W"	1.264	-5.468	-3.701	-4.364	-4.96	0.619
"YLR182W"	1.135	-3.638	-0.93	-2.368	-2.165	3.322
"YLR192C"	0.825	-4.349	-1.566	-2.165	-2.147	-0.933
"YLR339C"	1.843	-6.865	-2.461	-3.161	-3.973	1.052
"YLR409C"	1.644	-4.211	-2.713	-3.315	-3.47	-0.096
"YLR448W"	1.417	-5.971	-2.668	-3.192	-4.132	0.222
"YML021W"	0.266	-3.917	-1.095	-1.919	-1.511	1.018
"YML038C"	1.378	-2.385	-1.905	-1.837	-2.117	1.215
"YML064C"	0.727	-3.73	-1.338	-1.457	-1.948	0.882
"YML074C"	-0.019	-5.319	-2.826	-3.214	-3.466	0.793
"YMR001C"	1.013	-3.219	-2.372	-2.823	-2.825	0.939
"YMR229C"	1.1705	-5.288	-3.7195	-3.685	-3.93	0.822666666666667
"YMR235C"	0.714	-5.187	-2.838	-3.21	-3.756	-0.092
"YMR239C"	0.9	-3.323	-2.236	-2.42	-2.415	0.4535
"YMR290C"	1.944	-5.217	-3.219	-3.665	-2.938	1.495
"YMR305C"	0.447	-4.237	-1.996	-3.198	-3.355	-0.218
"YMR307W"	1.831	-5.877	-4.432	-5.016	-4.56	1.0395
"YMR308C"	1.959	-4.033	-2.239	-2.796	-2.451	1.9
"YNL010W"	0.027	-4.52	-2.483	-2.738	-3.396	0.7265
"YNL060C"	1.321	-3.243	-0.815	-1.617	-1.851	0.603
"YNL076W"	0.886	-2.959	-0.465	-0.761	-1.018	2.2075
"YNL085W"	1.073	-5.369	-2.001	-2.706	-3.291	0.741
"YNL145W"	-0.816	-3.38	-1.576	-1.347	-2.183	1.397
"YNL175C"	1.113	-6.011	-2.404	-3.809	-2.849	1.7105
"YNL178W"	0.526	-6.62	-2.958	-3.483	-3.871	1.3645
"YNL189W"	1.053	-4.06	-2.058	-2.641	-3.084	0.814
"YNL227C"	-0.189	-3.134	-1.403	-2.085	-1.89	0.5995
"YNL233W"	1.133	-3.551	-2.264	-2.84	-2.716	0.994
"YNL235C"	0.298	-3.321	-2.224	-2.601	-2.532	0.976
"YNL256W"	1.25	-3.668	-2.464	-3.25	-3.112	1.969
"YNL297C"	0.893	-3.457	-1.545	-2.132	-2.222	1.468
"YNL303W"	0.34	-3.619	-2.533	-2.398	-3.2	1.763
"YNL327W"	1.944	-3.662	-2.99	-2.904	-3.489	1.109
"YNR043W"	1.738	-5.1565	-2.655	-3.803	-3.856	2.284
"YOR047C"	0.659	-2.665	-1.36	-2.452	-1.611	2.198
"YOR157C"	0.657	-4.5095	-1.14	-2.012	-1.966	0.294
"YOR198C"	0.428	-5.562	-4.384	-4.657	-4.415	0.421
"YOR239W"	0.346	-5.0985	-3.149	-3.934	-3.704	1.305
"YOR260W"	1.47	-4.639	-2.257	-2.577	-3.081	0.632
"YOR293W"	0.646	-4.496	-1.856	-2.041	-3.118	0.351
"YOR310C"	1.075	-7.1385	-4.745	-5.099	-4.866	0.293
"YOR321W"	0.045	-3.7905	-1.374	-1.619	-2.487	1.386
"YOR323C"	1.272	-6.434	-2.742	-3.497	-3.428	1.176
"YOR369C"	0.747	-6.5475	-2.456	-2.662	-3.502	2.109
"YPL028W"	0.314	-5.5385	-1.692	-2.17	-2.948	1.478
"YPL037C"	0.852	-5.417	-2.115	-3.222	-3.654	1.862
"YPL049C"	-0.35	-3.573	-0.221	-0.642	-0.833	0.767
"YPL068C"	-0.177	-2.7665	-2.329	-2.021	-2.076	0.622
"YPL079W"	0.764	-6.4765	-3.015	-3.498	-4.547	1.717
"YPL090C"	1.044	-6.197	-3.292	-3.309	-4.719	1.466
"YPL094C"	-0.474	-5.3055	-2.024	-2.284	-2.741	0.646
"YPL220W"	1.0405	-6.1465	-2.247	-2.571	-3.926	-0.727
"YPL226W"	1.81766666666667	-5.67966666666667	-3.407	-2.9025	-3.983	1.942
"YPL237W"	0.548	-5.7585	-2.006	-2.44	-3.024	1.209
"YPL246C"	1.0585	-3.7775	-0.862	-1.186	-1.642	3.469
"YPR010C"	1.44333333333333	-3.425	-1.852	-2.158	-2.729	0.932
"YPR074C"	2.3475	-5.42	-3.369	-3.61	-3.663	0.638
"YPR108W"	0.405	-4.645	-2.383	-3.07	-2.669	0.94
"YPR143W"	0.4345	-3.332	-0.747	-1.491	-0.92	0.22
