	"817.1M sorbitol - 30 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1301.PHO81c vs. wild type, exp.2"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"7530.DBY msn2msn4 37C - 20 min"	"7765.Na+FK 60min"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21654..24 mM H2O2- 275 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21664..24 mM H2O2- 170 minutes/redo"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"28849.P2Comp 10 hr 50 min Phosphate Batch vs Chemostat Comparison2"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40954.H2O2_II_70_min"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42228.U2 Comp 12 hr 05 min Uracil Batch vs Chemostat Comparison"
"YJL191W"	-0.584	-2.009	-3.556	-0.964	-0.939	-1.399	-2.138	-0.081	0.073	-1.329	-0.626	-1.651	-0.766	-1.637	-2.044	-1.121	0.181	-1.957	-2.007	-1.546	-0.092	-1.694	-3.389	-3.385	-3.274	-2.833	-3.051	-2.38	-2.593	-2.512	-3.407	-2.434	-1.523	0.781	0.386	0.776
"YJR123W"	-0.576	-4.381	-9.147	-1.138	-2.639	-3.543	-4.006	-0.292	0.516	-1.746	-0.425	-2.153	-0.997	-2.137	-3.113	-2.478	-1.269	-4.115	-3.012	-2.396	-0.757	-2.097	-3.684	-3.786	-3.388	-3.613	-3.013	-2.062	-4.305	-3.113	-3.711	-4.025	-1.67	1.93	1.523	0.895
"YJR145C"	-0.561	-3.54	-6.528	-1.641	-2.519	-3.105	-3.178	-0.065	0.297	-1.525	-0.375	-2.005	-0.802	-1.818	-2.312	-1.852	-1.44	-2.65	-2.291	-1.511	-0.558	-2.065	-3.725	-3.373	-3.619	-3.539	-3.245	-2.436	-4.335	-3.373	-4.108	-3.771	-1.045	1.942	1.0	0.01
"YKL152C"	-0.351	-3.152	-4.943	0.261	-1.713	-1.83	-2.83	0.724	-0.315	0.256	0.451	0.138	0.491	-1.343	-0.745	-0.323	-0.29	-1.462	-0.28	0.207	-0.282	1.17	2.28	1.323	1.612	1.04	1.129	0.481	-0.511	-0.531	-0.334	-0.812	1.957	0.349	-0.035	0.535
"YKL180W"	-0.635	-2.561	-5.237	-1.079	-2.059	-2.04	-2.857	-0.175	-0.117	-1.229	0.031	-1.497	-0.772	-1.742	-1.697	-1.294	-0.18	-2.195	-1.885	-1.111	-0.231	-2.095	-2.976	-3.428	-3.424	-3.465	-3.127	-3.241	-3.827	-3.339	-3.071	-2.962	-0.677	1.606	0.144	-0.075
"YKR013W"	0.322	-3.03	-2.894	0.66	-0.508	-0.788	-2.208	0.051	0.027	-1.199	-0.229	-1.317	-0.424	-1.254	-0.814	0.338	-0.504	-1.733	-0.131	-0.724	-1.145	-0.884	-2.586	-0.872	-1.469	-1.949	-1.969	-1.098	-1.706	-0.942	-2.752	-1.641	-0.654	-0.832	-0.16	0.173
"YLR029C"	-0.857	-3.615	-6.877	-0.955	-2.242	-2.378	-2.987	0.253	1.204	-1.633	-0.325	-2.014	-0.715	-1.587	-1.959	-1.743	-0.618	-2.352	-1.641	-0.672	-0.638	-0.869	-3.543	-3.358	-3.651	-2.85	-2.179	-2.707	-3.518	-2.733	-3.637	-2.766	-1.459	1.839	0.746	0.677
"YLR061W"	0.006	-4.939	-6.591	-1.362	-3.309	-3.833	-3.91	-0.326	0.842	-1.988	-0.749	-2.62	-0.469	-1.422	-2.534	-1.593	-0.783	-3.246	-2.311	-1.674	-0.198	-2.605	-2.455	-2.732	-3.042	-1.621	-1.692	-1.122	-2.468	-2.246	-4.004	-2.793	-1.462	2.222	0.696	0.124
"YLR167W"	-0.276	-1.761	-4.496	-0.736	-1.334	-1.976	-2.263	0.404	0.851	-0.763	0.154	-0.875	-0.356	-1.386	-1.701	-1.706	-0.494	-1.874	-2.424	-0.202	-0.195	-2.299	-3.983	-4.326	-3.592	-3.865	-3.625	-3.123	-3.929	-2.902	-3.272	-3.393	-2.458	2.046	1.168	0.011
"YLR333C"	-0.563	-3.011	-5.863	-1.394	-1.584	-2.45	-2.848	-0.101	0.233	-1.359	-0.422	-1.724	-0.558	-1.922	-1.929	-1.8	-0.712	-2.74	-2.119	-1.053	-0.382	-1.692	-2.603	-3.121	-3.133	-2.632	-1.784	-2.052	-4.086	-2.673	-3.582	-2.843	-0.82	0.813	0.391	0.923
"YLR339C"	-1.063	-4.988	-6.865	-1.597	-2.461	-3.161	-3.973	0.381	0.122	-1.959	-0.448	-2.384	-1.21	-1.922	-2.756	-1.964	-0.229	-2.695	-2.141	-1.516	-0.501	-2.637	-3.171	-4.38	-4.091	-3.763	-2.971	-4.949	-4.034	-3.474	-3.409	-3.723	-0.8	1.583	0.677	-0.064
"YLR340W"	-0.845	-4.11	-6.819	-1.473	-2.702	-3.206	-4.105	0.365	0.129	-1.894	-0.338	-1.975	-1.218	-1.663	-3.218	-1.866	-0.42	-3.038	-2.69	-1.254	-0.495	-2.473	-3.192	-3.562	-3.886	-3.494	-3.284	-4.078	-4.14	-3.346	-3.405	-3.289	-0.544	1.875	1.539	0.943
"YLR388W"	-0.758	-3.596	-5.506	-1.483	-2.232	-2.581	-3.193	0.211	0.562	-1.591	-0.221	-1.776	-0.873	-2.12	-1.984	-1.504	-0.317	-2.555	-2.337	-1.083	-0.7	-1.34	-1.896	-2.352	-2.55	-3.496	-2.049	-2.551	-3.674	-2.798	-3.762	-3.521	-1.415	1.334	0.982	1.026
"YMR116C"	-1.218	-4.551	-6.865	-1.577	-2.906	-3.561	-4.003	-0.379	0.838	-1.986	-0.676	-2.317	-1.193	-2.486	-3.355	-2.912	-1.319	-3.505	-2.803	-2.271	-1.023	-1.856	-4.205	-4.543	-4.032	-4.036	-3.224	-4.384	-3.221	-3.026	-3.169	-3.586	-1.868	2.018	1.401	1.643
"YMR242C"	-0.635	-3.971	-6.226	-1.253	-2.601	-3.133	-3.475	-0.031	0.525	-1.668	-0.472	-2.268	-1.02	-2.478	-2.358	-1.606	-1.225	-3.061	-2.31	-1.946	-0.81	-1.61	-3.868	-3.792	-3.254	-3.59	-3.5	-2.323	-4.158	-3.141	-4.607	-3.588	-1.417	1.998	0.532	-0.842
"YNL119W"	-0.907	-5.354	-6.231	-1.052	-2.822	-2.843	-3.318	-0.283	-0.02	-1.602	-0.486	-1.861	-0.902	-2.032	-2.984	-1.914	0.248	-3.444	-2.781	-2.372	-0.631	-2.353	-1.818	-2.623	-3.01	-2.041	-2.542	-2.364	-3.587	-2.801	-4.042	-2.748	-1.808	1.545	0.336	0.032
"YOL039W"	-0.621	-2.068	-7.971	0.1075	-2.476	-3.262	-3.256	-0.646	0.893	-1.217	0.098	-1.447	-1.325	-1.434	-2.094	-2.174	-0.717	-2.77	-2.654	-1.383	-0.918	-1.149	-3.51	-3.017	-3.185	-3.596	-3.26	-3.398	-3.167	-2.856	-3.392	-3.542	-1.741	1.922	0.753	1.091
"YOL040C"	-0.627	-3.032	-6.413	-1.366	-2.028	-2.837	-3.657	-0.486	0.111	-1.672	-0.367	-2.034	-0.84	-1.629	-2.64	-1.782	-0.875	-3.623	-2.329	-2.036	-0.671	-2.529	-3.274	-2.818	-3.012	-2.997	-2.517	-1.843	-4.411	-3.555	-3.746	-3.451	-1.05	1.45	0.666	-0.381
"YOR311C"	0.143	-1.3895	-2.824	-0.1935	-0.789	-1.466	-2.0	-0.088	-0.254	-0.165	-0.275	-0.522	-0.009	-0.2	-0.456	-0.253	-0.007	-1.266	-0.105	-0.075	-0.355	-1.042	-0.221	-1.586	-1.698	-1.089	1.252	-0.267	-1.21	-1.382	-0.953	-0.955	-0.105	-1.078	-0.738	-0.249
"YOR312C"	-0.583	-3.3005	-4.8175	-1.33	-2.039	-1.569	-3.224	-0.529	0.473	-1.51	-0.092	-1.763	-0.731	-2.243	-1.538	-1.131	-0.559	-1.439	-1.399	-0.803	0.029	-2.4	-3.671	-3.676	-3.369	-3.958	-3.352	-3.12	-4.379	-3.433	-4.531	-3.454	-1.498	1.667	0.318	-0.497
"YPR044C"	-0.6655	-2.87	-4.76433333333333	-1.36566666666667	-1.2955	-1.702	-1.9615	-0.028	0.545	-1.132	-0.4535	-1.3895	-0.643	-1.486	-2.104	-1.856	0.086	-3.336	-2.338	-1.163	-0.486	-1.413	-3.57	-3.494	-3.067	-2.91	-3.302	-2.371	-2.586	-2.282	-2.862	-2.352	-1.02	1.831	0.06	0.098
"YPR102C"	-0.617	-4.045	-6.451	-1.274	-3.352	-3.749	-4.692	-0.566	0.355	-1.928	-0.681	-2.058	-0.609	-2.126	-2.019	-1.728	-0.991	-2.905	-2.262	-1.161	-0.48	-2.195	-4.168	-3.02	-3.205	-3.087	-2.297	-2.126	-3.927	-2.614	-4.015	-3.517	-2.274	2.598	0.863	1.067
"YPR132W"	-0.526	-3.1925	-5.805	-1.409	-1.968	-2.388	-3.151	-0.426	0.504	-1.434	-0.72	-2.323	-0.488	-2.231	-2.276	-1.401	-0.453	-2.982	-2.39	-1.101	-0.485	-1.692	-3.629	-2.504	-2.837	-2.976	-2.963	-1.769	-2.884	-2.466	-2.903	-2.829	-1.026	2.204	0.997	0.093
