	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YLR196W"	0.497	1.085	-5.083	-3.01	-4.437	-5.836	-2.858	-2.859	-4.378	-2.604	-3.933	-4.664	-4.392	0.868	-0.273	-0.291	0.082	0.022	-0.39	0.466	-0.121	-2.901	-2.83	-3.658	-2.412	-0.207	-0.202	-0.356	0.066	-2.302	-2.25	-1.485	-1.561	-1.29	-1.302
"YLR249W"	0.728	1.381	-6.529	-4.864	-4.146	-6.742	-3.879	-4.141	-4.679	-3.778	-3.883	-4.549	-4.992	1.6	0.011	0.098	-0.006	-0.327	-1.851	-1.845	0.414	-5.053	-5.102	-5.085	-4.9	0.107	-0.159	0.466	0.391	-3.591	-6.019	-3.66	-3.013	-2.463	-3.986
"YLR276C"	0.348	1.366	-4.467	-2.163	-3.174	-5.399	-2.386	-2.199	-3.49	-2.427	-1.866	-3.17	-3.081	0.462	-0.023	-0.3	-0.208	0.055	-0.94	-0.411	-0.237	-2.141	-1.833	-3.838	-1.145	0.181	-0.09	-0.063	0.026	-2.023	-1.67	-1.114	-1.653	-0.537	-1.155
"YLR293C"	1.003	1.141	-3.594	-2.185	-3.488	-6.281	-2.107	-1.751	-2.473	-2.158	-2.379	-3.03	-3.186	1.2	-0.569	-0.587	-0.083	-0.686	-0.613	-1.042	0.092	-3.113	-2.525	-2.822	-2.422	0.809	0.789	0.894	0.824	-1.358	-1.596	-1.071	-1.216	-0.679	-2.049
"YLR345W"	-0.344	-0.647	3.284	2.557	4.453	2.744	2.391	1.773	2.784	2.873	4.165	4.077	3.495	-0.733	0.108	0.354	0.124	-0.021	0.71	0.595	0.139	3.184	2.929	2.961	2.519	0.796	0.826	0.521	0.789	1.319	1.354	1.332	1.112	1.566	0.974
"YLR413W"	1.719	1.814	-4.758	-4.864	-5.414	-5.846	-3.237	-3.865	-4.176	-4.993	-4.2	-4.656	-4.874	1.922	0.075	-0.118	-0.206	0.441	0.738	-0.248	0.313	-4.298	-4.176	-4.449	-4.04	-1.092	-1.354	-0.496	-0.561	-3.733	-1.472	-1.757	-4.108	NaN	-2.555
"YLR432W"	0.599	1.285	-2.58	-2.16	-3.532	-5.65	-2.412	-2.49	-2.585	-2.641	-1.934	-2.482	-3.034	1.413	0.278	0.178	0.088	-0.296	-0.778	-0.758	0.244	-3.491	-3.179	-3.412	-2.927	0.29	0.062	0.243	-0.072	-2.698	-3.534	-1.678	-2.053	-1.487	-1.733
"YML056C"	0.644	1.415	-3.967	-3.497	-2.698	-5.251	-3.243	-3.63	-2.774	-2.674	-1.337	-2.566	-2.751	1.61	0.079	-0.096	-0.279	0.124	-0.756	-0.441	0.38	-3.863	-3.469	-4.322	-4.508	-0.427	-0.399	-0.121	0.022	-2.151	-3.554	-1.907	-2.236	-2.179	-2.113
"YML093W"	-0.122	1.229	-4.947	-2.836	-2.962	-5.889	-2.797	-2.437	-3.309	-2.236	-2.547	-2.745	-3.262	0.743	-0.22	-0.296	0.063	0.158	-0.558	-2.236	-0.133	-2.999	-2.533	-4.548	-2.489	-0.121	-0.27	0.095	-0.254	-2.841	-2.035	-1.303	-0.724	-1.053	-1.78
"YMR079W"	0.665	0.929	-0.105	-1.356	-2.074	-3.648	-2.164	-1.512	-2.011	-1.294	-1.666	-1.971	-2.855	0.952	-0.013	0.08	0.167	-0.396	-0.59	-1.076	0.11	-2.383	-1.935	-2.232	-2.162	0.108	0.016	0.186	0.111	-1.301	-2.956	-1.551	-1.369	-0.944	-1.516
