	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"515.2.5mM DTT 045 min"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"7541.DES459 (mec1) - log phase (IR time "	"8193.steady state 15 dec C"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"32250.DBY8778_heat_shock2_0min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33258.delKIN82_heat shock _5min"	"33414.delKIN82_heat shock _0min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YER127W"	-2.809	-2.346	-2.38	-1.952	-3.051	-2.807	-1.071	-0.832	-0.805	-1.222	-3.292	-4.439	-0.033	-0.296	-0.361	-0.1	-0.29	-3.328	-1.443	-1.1305	-1.7105	-1.191	-1.996	-4.459	-2.508	-2.212	-0.525	-0.462	-3.601	0.683
"YER156C"	-2.471	-2.725	-2.771	-1.843	-2.542	-2.112	-0.268	0.165	0.009	-1.013	-3.105	-3.573	0.268	0.064	-0.252	-0.836	0.148	-2.306	-0.894	-1.1585	-0.5335	-1.117	0.275	-2.803	-2.157	-0.489	0.486	-0.205	-2.471	0.104
"YGL111W"	-2.705	-2.012	-2.506	-2.165	-2.854	-2.867	-0.813	-0.745	-1.033	-1.46	-3.668	-2.826	-0.17	-0.055	-0.188	0.113	-0.422	-2.724	-1.083	-1.595	-1.149	-1.182	-1.128	-3.188	-2.001	-0.871	-0.482	-0.494	-3.063	-0.236
"YGL120C"	-3.316	-3.34	-3.231	-3.301	-3.954	-3.877	-0.715	-0.424	-0.453	-1.614	-4.557	-5.111	-0.086	-0.136	-0.349	-0.46	-0.151	-3.8	-1.699	-2.094	-1.611	-2.406	-0.499	-3.466	-2.416	-0.312	0.118	-0.015	-3.546	0.104
"YGR079W"	-2.785	-4.644	-3.48	-2.556	-3.142	-2.355	-1.895	-1.037	-1.481	-1.003	-3.414	-1.922	0.096	-1.025	-0.527	-0.026	0.002	-3.774	-1.023	-0.529	-0.647	-0.874	-2.551	-3.401	-2.499	-2.797	-0.845	-0.525	-2.99	0.357
"YHL011C"	-2.744	-2.4425	-2.467	-2.107	-3.0145	-3.024	-0.534	-0.639	-0.59	-1.337	-2.604	-3.592	0.093	0.158	0.191	-0.481	0.156	-3.2715	-0.639	-1.034	-0.625	-0.862	-0.304	-2.38	-1.532	-1.172	0.162	0.131	-2.086	0.576
"YHR052W"	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	-0.415	-0.952	-0.688	-2.069	-4.199	-4.447	0.056	0.07	-0.158	0.515	0.181	-4.9395	-2.069	-1.76	-1.675	-2.126	-0.069	-2.827	-1.875	-2.474	0.438	-0.881	-3.47	-0.271
"YHR066W"	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-1.23	-1.049	-0.899	-1.966	-4.885	-5.203	-0.036	-0.341	-0.403	0.641	-0.044	-4.347	-2.269	-2.765	-2.571	-2.504	-0.772	-3.068	-1.906	-1.945	-0.247	-0.197	-2.382	0.536
"YHR169W"	-3.982	-3.7575	-3.384	-2.497	-3.146	-2.919	-1.158	-1.216	-1.027	-1.849	-4.241	-3.088	-0.254	-0.16	-0.353	-0.302	-0.212	-3.6155	-2.161	-2.467	-2.641	-2.68	-1.197	-2.583	-1.533	-2.143	-1.188	-0.041	-2.087	0.322
"YHR170W"	-5.3995	-6.3835	-4.622	-4.14	-4.723	-3.947	-1.511	-1.518	-1.652	-2.797	-4.51	-4.858	-0.317	-0.102	-0.182	0.122	0.242	-5.252	-1.281	-2.303	-1.717	-2.354	-0.299	-3.576	-2.405	-0.591	-0.342	-0.888	-3.601	-0.489
"YJL033W"	-2.5835	-2.2775	-1.9895	-1.6645	-1.864	-1.49	-1.374	-1.124	-1.506	-1.828	-1.99	-3.95	-0.425	-0.555	-0.461	0.189	-0.334	-2.3355	-1.983	-2.113	-1.428	-2.421	-1.332	-5.541	-4.466	-1.158	0.13	-0.645	-5.054	0.138
"YJL183W"	0.647	-1.1385	-1.1305	-0.773	-1.102	-1.017	-0.916	-0.552	-0.612	-0.348	-2.65	-4.986	-0.286	-0.371	0.035	-0.538	-0.03	-0.92	-1.104	-1.107	-1.102	-1.193	-0.791	-1.08	-0.759	-1.122	-0.514	-0.074	-2.116	-0.078
"YJL198W"	-2.413	-2.395	-2.408	-2.049	-2.7905	-2.457	-1.661	-0.918	-1.082	-1.476	-2.049	-2.784	0.083	0.095	0.084	-0.608	0.141	-3.027	-2.052	-2.723	-2.247	-2.669	-1.067	NaN	-2.176	-1.968	-0.733	-0.1	-2.296	-0.367
"YJR070C"	-4.6905	-4.6305	-4.824	-3.895	-4.828	-4.332	-0.204	-0.874	-0.777	-2.253	-5.317	-7.226	0.312	0.045	-0.137	-1.296	-0.416	-4.7655	-0.195	-2.676	-1.155	-2.971	-0.248	-3.81	-2.429	-1.02	0.149	-0.29	-3.754	0.527
"YKL191W"	-2.458	-2.453	-2.92	-2.358	-2.347	-1.981	-0.817	-0.675	-0.755	-1.022	-2.611	-4.342	-0.065	0.316	-0.319	-0.588	-0.345	-2.641	-1.221	-1.897	-1.412	-2.044	-0.841	-2.759	-2.339	-0.808	0.193	-0.259	-2.326	0.066
"YLL008W"	-4.973	-6.033	-4.981	-3.751	-4.808	-4.019	-1.168	-1.58	-1.806	-2.387	-5.659	-6.113	-0.544	-0.383	-0.432	0.192	-0.165	-4.642	-1.38	-2.679	-2.135	-3.343	-0.483	-4.08	-2.614	-1.673	-0.522	-0.35	-3.042	0.267
"YLL039C"	3.942	3.74966666666667	3.18766666666667	3.84166666666667	4.33133333333333	4.529	0.877333333333333	0.877	0.786333333333333	1.96633333333333	1.05933333333333	-0.482666666666667	0.0853333333333333	0.348666666666667	0.105666666666667	-0.491333333333333	0.383666666666667	4.756	1.4935	2.571	1.7555	2.4545	1.102	3.453	2.501	1.641	0.329	0.398	1.867	0.093
"YLR002C"	-4.273	-2.83	-3.029	-2.585	-3.425	-2.737	-0.834	-1.374	-1.084	-2.281	-3.541	-4.959	-0.324	-0.22	-0.222	0.063	0.136	-4.018	-0.419	-0.9	-0.064	-0.405	-0.557	-2.317	-2.108	-0.851	-0.076	-0.667	-2.422	-0.307
"YLR003C"	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-0.337	-0.678	-0.666	-1.894	-3.378	-3.267	-0.182	-0.228	-0.37	0.021	0.081	-3.305	-1.875	-2.208	-1.952	-2.329	-0.849	-2.573	-1.447	-1.706	-0.731	-0.561	-3.839	-0.165
"YLR009W"	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	-0.965	-1.473	-1.554	-2.235	-4.675	-5.388	0.139	-0.266	-0.5	0.402	0.003	-4.344	-2.528	-2.856	-2.352	-2.849	-0.464	-3.436	-1.875	-1.397	0.429	-0.494	-3.361	1.094
"YLR175W"	-4.176	NaN	-3.679	-3.07	-4.552	-4.902	-0.207	-0.452	-0.66	-2.615	-5.607	-5.468	-0.166	-0.186	-0.209	-0.207	-0.115	-4.431	-1.689	-2.55	-1.803	-2.519	-0.321	-4.177	-1.884	-0.851	-0.04	0.246	-4.338	0.161
"YLR178C"	6.029	-1.924	5.987	5.265	6.066	5.98	0.594	1.0	1.336	2.932	5.949	2.132	0.319	0.121	0.202	-1.208	0.458	6.29	3.054	4.616	3.16	4.484	0.754	4.402	3.913	1.766	0.524	0.889	5.3	-0.002
"YLR196W"	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-1.118	-1.357	-1.621	-2.273	-5.083	-5.836	-0.219	-0.273	-0.291	0.212	0.286	-5.097	-2.335	-1.034	-2.266	-2.435	-0.799	-3.697	-2.702	-2.416	-0.753	-0.46	-3.658	-0.317
"YLR197W"	-4.98	-4.31	-4.044	-3.638	-4.76	-5.179	-0.033	-0.167	-0.788	-2.844	-5.817	-5.242	-0.412	-0.107	-0.238	-0.187	0.137	-5.072	-1.367	-2.537	-1.38	-2.659	0.723	-4.496	-2.603	-0.206	0.508	0.151	-4.545	0.024
"YLR222C"	-6.055	-4.536	-4.292	-2.648	-4.709	-3.682	-1.026	-0.74	-1.02	-1.755	-4.423	-4.745	-0.142	-0.153	-0.296	0.508	0.135	-4.667	-1.698	-2.37	-2.606	-2.016	-1.012	-1.806	-1.703	-0.877	-0.737	0.322	-1.727	-0.041
"YLR400W"	-2.37	-2.815	-2.461	-2.663	-2.832	-2.585	-0.648	-1.0	-1.196	-1.399	-1.932	-1.167	-0.566	-0.648	-0.439	-0.515	NaN	-2.708	-1.836	-1.76	-3.146	-2.651	-0.94	-1.734	-1.862	-1.224	-0.561	-0.726	-1.727	0.021
"YML056C"	-3.762	-3.147	-3.158	-3.16	-2.963	-3.376	0.011	0.347	-0.997	-1.557	-3.967	-5.251	-0.194	0.079	-0.096	0.121	-0.244	-3.776	-1.201	-2.033	-1.261	-1.952	-0.242	-4.017	-2.736	-1.296	0.337	-0.508	-4.322	-0.16
"YMR131C"	-4.819	-4.67	-4.183	-3.849	-4.525	-4.347	-1.074	-1.392	-1.641	-1.871	-5.631	-6.665	-0.279	-0.019	-0.049	-0.314	-0.274	-4.674	-1.597	-2.526	-2.226	-2.228	-1.032	-3.866	-3.136	-1.202	-0.541	-0.433	-4.181	-0.096
"YMR250W"	6.007	5.745	5.491	5.246	5.448	5.563	1.484	1.057	1.767	3.5	4.705	1.279	0.016	0.242	0.393	0.384	0.234	5.984	3.913	4.552	3.906	4.589	1.943	4.606	3.471	3.076	1.365	0.501	5.68	0.064
"YMR290C"	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-1.255	-1.524	-1.839	-2.714	-5.132	-5.217	-0.121	-0.241	-0.227	-0.351	0.417	-4.129	-1.588	-2.521	-1.505	-2.513	-1.382	-4.343	-3.775	-1.122	-0.124	-0.842	-4.544	-0.553
"YNL002C"	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.179	-0.589	-0.698	-2.677	-5.196	-3.468	-0.25	-0.227	-0.191	-0.063	-0.012	-4.603	-2.519	-2.334	-2.104	-2.612	-0.753	-3.481	-2.594	-1.818	-0.542	-0.887	-4.466	0.021
"YNL061W"	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	-1.308	-1.136	-1.39	-2.446	-4.329	-4.27	-0.005	-0.809	-0.874	0.398	0.649	-5.38	-2.222	-2.816	-3.009	-2.646	-1.028	-3.925	-2.946	-1.248	-0.297	-0.558	-2.571	-0.309
"YNL075W"	-3.86	-2.098	-3.164	-2.558	-3.304	-2.768	-0.861	-0.455	-0.509	-1.938	-4.782	-3.339	-0.041	-0.037	-0.027	0.095	0.337	-3.301	-2.283	-2.467	-2.43	-2.281	-0.475	-2.935	-2.361	-1.995	-0.463	-0.813	-3.779	0.038
"YNL110C"	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	-1.687	-1.39	-1.955	-2.683	-5.108	-3.296	-0.326	-0.456	-0.665	0.619	0.043	-5.064	-2.328	-2.547	-2.48	-2.308	-0.889	-4.907	-3.471	-2.853	-0.725	-0.503	-4.747	0.246
"YNL151C"	-2.707	-1.814	-2.055	-2.682	-2.835	-2.667	-1.421	-0.891	-1.342	-1.246	-1.688	-2.706	0.036	-0.333	-0.533	0.158	-0.011	-3.201	-1.646	-2.047	-1.93	-1.731	-0.827	-2.152	-1.745	-2.036	-0.806	-0.57	-3.425	-0.712
"YNL174W"	-5.157	-5.094	-4.699	-4.233	-5.579	-4.714	-0.973	-1.22	-1.897	-3.257	-5.141	-4.409	-0.26	-0.34	-0.271	0.339	-0.632	-5.426	-2.247	-2.751	-1.893	-3.06	-0.828	-3.76	-2.801	-1.916	-0.792	-0.796	-3.816	-0.486
"YNL175C"	-5.334	-4.914	-4.901	-4.11	-4.362	-3.931	-1.151	-1.28	-2.116	-3.0	-4.877	-6.011	-0.209	-0.007	-0.091	0.424	-0.371	-5.147	-1.968	-3.176	-1.923	-3.247	-1.028	-2.388	-1.8585	-1.63	-0.807	-1.1285	-2.5475	-0.3645
"YNR025C"	-1.809	-1.203	-1.469	-0.939	-1.53	-1.344	-0.39	-0.448	-0.348	-0.395	-0.5885	-3.7705	-0.03	0.121	-0.166	0.092	0.068	-1.167	-0.664	-0.956	-1.102	-1.311	-0.319	-2.842	-2.192	-0.762	0.213	-0.066	-1.138	0.196
"YOR052C"	2.928	3.193	3.124	2.471	3.237	3.288	0.527	1.194	0.99	2.302	3.063	1.976	0.38	0.146	0.056	1.079	-0.189	3.265	2.196	2.138	1.895	1.896	1.532	3.6	2.616	1.918	0.046	0.514	2.334	-0.317
"YOR091W"	-3.01	-1.939	-2.688	-1.642	-2.72	-2.309	-0.226	-0.532	-0.392	-2.036	-3.211	-1.504	-0.023	-0.033	0.046	-0.432	-0.965	-2.366	-1.427	-2.017	-1.366	-1.821	-0.5	-3.395	-1.759	-0.637	-0.301	0.0	-3.639	0.717
"YOR206W"	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-0.582	-0.903	-1.165	-2.605	-5.827	-6.4785	-0.422	-0.104	-0.314	0.39	0.228	-5.066	-2.692	-2.957	-2.678	-3.013	-1.036	-3.839	-2.816	-2.799	-0.548	-0.526	-4.817	-0.275
"YOR243C"	-3.594	-2.991	-3.234	-2.436	-3.633	-3.982	-0.883	-0.864	-1.091	-1.407	-3.8055	-4.3935	-0.275	-0.075	-0.193	-0.052	0.2515	-4.099	-1.522	-1.65	-1.719	-1.815	-0.001	-2.845	-1.727	-1.102	0.252	-0.231	-2.825	-0.388
"YOR294W"	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-1.719	-1.627	-1.839	-2.027	-5.6475	-5.2465	0.059	-0.517	-0.418	0.184	-0.1025	-4.852	-2.448	-2.729	-3.161	-2.527	-1.247	-4.841	-3.679	-2.871	-0.832	-0.489	-5.145	-0.393
"YPL043W"	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	-1.094	-1.53	-1.557	-2.45	-4.668	-3.79	-0.164	-0.711	-0.608	0.31	0.2225	-4.555	-2.795	-2.77	-2.896	-2.597	-1.355	-3.988	-2.531	-2.158	-1.017	-0.868	-4.308	-0.184
"YPL086C"	-2.374	-1.678	-1.502	-2.322	-2.561	-2.524	-0.41	-0.88	-1.095	-1.408	-3.4025	-5.552	-0.245	-0.02	-0.125	-0.288	-0.3025	-2.138	-0.735	-1.17	-1.272	-1.389	-1.119	-3.386	-1.928	-1.535	-0.723	-0.919	-3.672	-0.498
"YPL266W"	-3.981	-2.802	-3.222	-2.968	-3.585	-3.063	-0.162	-1.1495	-1.2405	-2.294	-4.1135	-3.1595	-0.304	-0.086	-0.031	-0.003	-0.418	-3.636	-1.018	-1.773	-1.11	-2.344	-0.926	-4.813	-2.51	-0.625	-0.218	-0.604	-4.271	-0.425
"YPR079W"	1.654	1.408	1.343	1.222	1.442	1.573	0.4575	0.5965	0.4295	0.957	0.8365	-1.714	-0.037	-0.033	-0.043	-0.262	0.135	1.852	0.703	1.171	0.744	0.976	0.469	1.444	0.816	0.93	0.168	-0.176	0.791	-0.129
"YPR143W"	-3.07	-1.837	-2.179	-2.433	-3.115	-2.963	-1.0355	-0.905	-0.96	-1.837	-1.922	-3.332	-0.25	-0.333	-0.373	0.347	0.145	-3.674	-1.349	-1.459	-1.377	-1.434	-0.82	-2.33	-1.733	-1.973	-0.719	-1.162	-3.13	0.281
