	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YJL190C"	-6.079	-3.524	-0.904
"YJR001W"	-3.551	-1.784	0.414
"YJR007W"	-8.057	-3.616	0.359
"YJR105W"	-4.641	-1.04	-0.945
"YJR134C"	-2.979	-1.811	1.259
"YKL110C"	-2.904	-1.572	0.273
"YKL125W"	-3.218	-1.229	1.497
"YKL172W"	-5.305	-3.135	1.372
"YKL180W"	-5.237	-2.857	-0.223
"YKL210W"	-4.432	-2.279	0.102
"YKR001C"	-5.109	-3.069	0.486
"YKR065C"	-3.181	-0.564	0.658
"YLR044C"	-6.198	-2.628	0.353
"YLR063W"	-4.23	-1.06	2.379
"YLR104W"	-3.172	-0.763	0.437
"YLR150W"	-6.397	-2.771	0.028
"YLR185W"	-5.928	-3.065	-0.238
"YLR207W"	-4.729	-0.455	NaN
"YLR208W"	-4.432	-2.499	0.501
"YLR216C"	-3.052	-1.601	0.117
"YLR225C"	-4.055	-1.897	NaN
"YLR229C"	-2.868	-1.4	1.295
"YLR291C"	-4.762	-2.363	0.093
"YLR359W"	-5.36	-1.828	1.218
"YLR361C"	-2.815	0.226	0.628
"YLR432W"	-5.65	-3.034	0.544
"YLR441C"	-12.655	-4.389	1.093
"YML085C"	-4.526	-2.55	1.571
"YML106W"	-3.649	-1.771	0.046
"YML124C"	-4.107	-2.075	1.269
"YMR010W"	-4.183	-1.893	-0.48
"YMR049C"	-9.471	-4.217	3.621
"YMR066W"	-2.329	-0.726	-0.262
"YMR116C"	-6.865	-4.003	0.772
"YMR202W"	-5.431	-2.931	0.0905
"YMR230W"	-4.541	-2.394	-0.262
"YMR237W"	-4.233	-2.335	2.0155
"YMR242C"	-6.226	-3.475	2.334
"YNL001W"	-3.241	-1.761	1.5395
"YNL016W"	-3.2085	-1.9635	1.293
"YNL026W"	-4.57	-1.966	0.428
"YNL040W"	-4.812	-0.653	2.2355
"YNL044W"	-3.0545	-1.887	0.7575
"YNL047C"	-3.02	-0.959	0.32
"YNL067W"	-5.731	-2.76	-0.6485
"YNL084C"	-3.396	-1.919	1.399
"YNL118C"	-5.007	-2.675	2.4655
"YNL119W"	-6.231	-3.318	0.2195
"YNL130C"	-2.872	-1.614	1.451
"YNL150W"	-2.283	-1.015	0.9015
"YNL178W"	-6.62	-3.871	1.3645
"YNL217W"	-6.303	0.585	2.134
"YNL224C"	-2.943	-0.673	1.108
"YNL228W"	-3.325	-1.857	0.368
"YNL280C"	-3.802	-1.761	0.224
"YNL313C"	-5.714	-2.518	2.198
"YNL315C"	-3.311	-1.189	1.514
"YNR025C"	-3.7705	-1.514	NaN
"YOL061W"	-3.804	-2.156	0.966
"YOL092W"	-3.162	-1.899	-0.546
"YOL094C"	-2.1415	-1.867	0.389
"YOL097C"	-6.314	-4.151	1.397
"YOR109W"	-3.566	-1.813	1.602
"YOR151C"	-3.5555	-2.127	0.03
"YOR209C"	-6.004	-2.954	-0.824
"YOR236W"	-3.971	-2.322	2.392
"YOR270C"	-4.932	-2.635	0.348
"YOR279C"	-1.7915	-0.569	1.592
"YOR280C"	-4.249	-1.95	-0.017
"YOR283W"	-2.0285	-0.833	0.063
"YOR323C"	-6.434	-3.428	1.176
"YOR326W"	-4.9875	-2.795	0.486
"YOR360C"	-3.43133333333333	-1.719	1.734
"YPL019C"	-3.7275	-2.318	0.755
"YPL037C"	-5.417	-3.654	1.862
"YPL038W"	-3.1445	-0.671	1.121
"YPL075W"	-2.509	-1.1685	NaN
"YPL084W"	-4.6735	-1.587	1.774
"YPL086C"	-5.552	-2.56	NaN
"YPL094C"	-5.3055	-2.741	0.646
"YPL142C"	-5.604	-2.979	0.478
"YPL158C"	-3.676	-1.818	0.837
"YPL178W"	-3.2495	-1.922	-0.412
"YPL215W"	-2.179	-0.0605	0.23
"YPL235W"	-3.62066666666667	-2.0025	0.41
"YPL238C"	-4.788	-2.586	-0.653
"YPR029C"	-4.2395	-2.242	0.714
"YPR110C"	-6.318	-3.358	2.592
"YPR124W"	-3.1905	-1.857	1.362
"YPR129W"	-6.025	-2.139	NaN
"YPR132W"	-5.805	-3.151	0.284
"YPR163C"	-5.4905	-2.82	-1.062
"YPR169W"	-3.2805	-1.764	1.506
"YPR187W"	-5.408	-3.22	NaN
