	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YDR410C"	-1.222	-1.822	-0.027
"YDR449C"	-3.482	-4.747	1.006
"YDR450W"	-2.6	NaN	1.964
"YDR500C"	-2.587	-2.649	1.863
"YEL014C"	-2.411	-3.255	0.5
"YEL054C"	-2.98	-7.056	2.322
"YER023W"	-4.379	-4.606	0.905
"YER043C"	-4.78	-6.476	1.395
"YER090W"	-3.804	-5.004	1.457
"YER112W"	-0.253	-3.27	0.122
"YER127W"	-2.611	-4.439	-0.17
"YER155C"	-0.4425	-2.0845	-0.2245
"YFL005W"	-0.034	-2.83	0.189
"YFL037W"	-3.125	-5.562	1.356
"YFL039C"	-2.57	-3.733	-0.155
"YFR031BC"	-4.702	-7.029	2.869
"YGL001C"	-2.878	-4.137	0.747
"YGL012W"	-3.06	-3.869	0.562
"YGL031C"	-3.683	-5.763	2.166
"YGL076C"	-3.976	-5.667	2.882
"YGL083W"	-1.192	-1.642	0.385
"YGL101W"	-3.648	-4.268	0.178
"YGL105W"	-3.587	-6.011	0.729
"YGL107C"	-2.708	-3.138	0.437
"YGL120C"	-4.088	-5.111	0.531
"YGL155W"	-0.827	-2.217	0.837
"YGL232W"	-2.079	-2.628	0.438
"YGL245W"	-4.799	-6.655	1.309
"YGR018C"	-1.641	-3.319	0.399
"YGR037C"	-3.63	-4.976	-0.276
"YGR156W"	-0.087	-2.37	0.685
"YGR169C"	-1.6	-1.957	0.664
"YGR185C"	-5.306	-6.361	1.522
"YGR261C"	-2.682	-3.233	0.605
"YHL029C"	-0.838	-2.845	0.18
"YHR018C"	-1.0	-2.976	1.111
"YHR023W"	-1.6435	-2.4215	0.084
"YHR047C"	-3.032	-4.423	1.714
"YHR064C"	-3.329	-5.238	1.42
"YHR068W"	-4.28	-6.532	1.339
"YHR073W"	-1.889	-2.844	0.273
"YHR108W"	-2.982	-5.02	0.921
"YHR128W"	-4.967	-6.006	1.902
"YHR141C"	-2.472	-3.64	0.704
"YHR145C"	-0.171	-1.897	-0.234
"YHR193C"	-3.11	-4.166	0.989
"YIL016W"	-3.214	-4.374	0.084
"YIL018W"	-3.492	-5.749	2.689
"YIL133C"	-2.693	-5.79	2.01
"YJL002C"	-2.469	-4.487	0.544
"YJL006C"	-1.361	-3.043	-0.295
"YJL134W"	-0.525	-2.365	0.666
"YJL135W"	-1.609	-2.352	0.681
"YJL136C"	-2.0505	-2.106	1.32
"YJL177W"	-3.255	-5.49	2.74
"YJL189W"	-2.901	-4.28	1.053
"YJL204C"	-2.704	-2.749	-0.014
"YJL207C"	-0.3365	-0.155	0.3145
"YJR015W"	-0.823	-2.657	0.212
"YJR069C"	-3.527	-4.151	0.341
"YJR076C"	-2.55	-4.614	0.325
"YJR087W"	-2.136	-3.553	-0.129
"YJR090C"	0.051	-2.6835	0.116
"YKL006W"	-2.835	-5.113	1.986
"YKL080W"	-4.229	-5.94	0.985
"YKL081W"	-4.49	-5.155	-0.264
"YKL116C"	-2.572	-2.703	-0.476
"YKL135C"	-1.794	-3.285	0.251
"YKL212W"	-3.014	-4.806	1.013
"YKR093W"	-1.7715	-2.854	0.532
"YLL045C"	-3.857	-6.618	2.059
"YLR010C"	1.13	-1.855	-0.379
"YLR019W"	0.276	-2.53	-0.603
"YLR048W"	-3.645	-3.72	2.784
"YLR060W"	-4.941	-5.967	1.836
"YLR062C"	-5.705	-6.896	2.319
"YLR071C"	-0.582	-2.691	0.152
"YLR101C"	-2.239	-3.161	0.267
"YLR108C"	-0.304	-1.301	0.12
"YLR139C"	-0.297	-1.667	0.532
"YLR185W"	-2.578	-5.928	1.929
"YLR192C"	-2.456	-4.349	1.001
"YLR209C"	-2.896	-3.171	0.504
"YLR291C"	-3.037	-4.762	0.783
"YLR293C"	-3.488	-6.281	1.2
"YLR328W"	-1.935	-4.106	0.73
"YLR344W"	-3.139	-4.414	1.956
"YLR425W"	-0.406	-1.689	-0.311
"YLR440C"	-0.325	-1.206	0.066
"YLR448W"	-3.552	-5.971	2.734
"YML055W"	-2.031	-2.858	-0.482
"YML064C"	-2.421	-3.73	0.509
"YML074C"	-2.837	-5.319	0.506
"YML105C"	-3.491	-5.249	0.501
"YML115C"	-2.167	-3.577	0.148
"YMR109W"	-0.3935	-2.609	0.464
"YMR119W"	0.225	-2.146	-0.034
"YMR143W"	-2.287	-4.466	1.601
"YMR154C"	-0.96	-1.128	-0.077
"YMR198W"	-1.8815	-2.675	-0.295
"YMR209C"	-0.902	-2.274	0.379
"YMR215W"	-3.705	-4.406	1.098
"YMR235C"	-3.534	-5.187	0.854
"YMR237W"	-2.955	-4.233	0.574
"YNL034W"	0.141	-1.481	-1.057
"YNL067W"	-2.84	-5.731	2.578
"YNL078W"	-1.897	-1.244	0.437
"YNL132W"	-4.956	-6.392	1.586
"YNL174W"	-4.079	-4.409	1.329
"YNL178W"	-4.338	-6.62	2.094
"YNL216W"	-0.988	-3.294	0.349
"YNL247W"	-3.191	-4.64	1.324
"YNL255C"	-2.208	-5.229	-0.027
"YNL301C"	-5.123	-6.272	2.767
"YNR056C"	0.514	-1.8085	0.656
"YOL070C"	-1.284	-2.0685	0.284
"YOR164C"	-2.555	-4.0095	0.243
"YOR165W"	-1.1925	-3.5345	-0.293
"YOR175C"	-2.083	-3.7925	0.292
"YOR222W"	-1.6105	-3.0965	1.301
"YOR224C"	-3.348	-4.849	1.211
"YOR234C"	-2.8745	-4.019	1.926
"YOR260W"	-2.507	-4.639	1.106
"YOR264W"	-1.121	-3.5755	0.287
"YOR272W"	-3.353	-4.712	0.978
"YOR276W"	-3.943	-4.3595	0.983
"YOR277C"	-3.25	-4.571	-0.519
"YOR312C"	-3.3005	-4.8175	1.892
"YOR316C"	1.028	-1.8495	1.447
"YOR323C"	-4.2845	-6.434	1.739
"YOR368W"	-0.2585	-2.098	-0.019
"YPL037C"	-3.9955	-5.417	1.099
"YPL048W"	-3.2175	-4.579	0.343
"YPL066W"	-1.628	-2.461	0.314
"YPL090C"	-4.364	-6.197	2.457
"YPL178W"	-2.0395	-3.2495	0.315
"YPL198W"	-4.3605	-6.879	2.698
"YPL212C"	-2.28766666666667	-2.626	1.011
"YPL220W"	-3.187	-6.1465	2.259
"YPL226W"	-3.95033333333333	-5.67966666666667	0.8915
"YPL227C"	-4.7425	-5.218	1.127
"YPL238C"	-2.431	-4.788	0.568
"YPL243W"	-4.1455	-5.276	0.633
"YPR043W"	-1.9405	-4.426	1.361
"YPR114W"	-2.9825	-3.903	1.367
"YPR171W"	-1.793	-3.482	0.537
