	"107.heat shock 10 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YIL027C"	-0.065	-0.627	0.0595	-0.6825	-0.3605	-0.4505	0.519	0.425	0.282	0.067	-0.227	-0.016	-0.038	0.002	0.145	-0.313	-0.169	-0.551	-0.978	-0.472	-2.465	-2.625	-0.025	-0.414	-0.619	-0.861	0.4185	-0.496	-0.577	-0.847	-0.792	-1.07	-1.756	-0.921	-0.427	-0.659	-0.022	0.394	-0.093	-0.416	-0.35	-0.152	0.049	-0.282	-0.111	-0.233	-0.092	0.313	0.912	0.115
"YJL097W"	0.5095	-0.3585	0.2955	-0.3285	-0.0955	0.363	0.413	0.145	0.175	-0.053	-0.125	-0.078	0.255	0.031	-0.355	0.261	-0.063	-0.584	-1.604	-2.089	-2.596	-4.683	-1.112	-0.608	-0.944	-1.483	NaN	0.237	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	-0.362	-1.401	-0.792	-0.212	0.0185	-0.1555	-0.07	0.0735	-0.544	-0.4285	-0.877	-0.856	-1.1655	-0.0255	0.362	-0.3195
"YJR118C"	0.366	-0.1015	0.224	-0.106	-0.003	-0.2795	1.364	1.185	0.42	0.352	0.264	0.353	0.356	0.243	0.153	0.019	0.295	-0.361	-0.394	-0.61	-1.327	-2.497	-0.784	1.02	-0.854	-1.223	0.701	0.198	-0.51	-0.598	-0.53	-0.882	-1.108	-1.366	-0.1685	-0.594	0.103	0.591	-0.138	0.71	-0.083	-0.019	0.047	-0.545	-0.546	-0.683	-1.826	0.255	0.975	0.014
"YKL081W"	-0.442	-1.6545	-1.304	-1.576	-1.8405	-2.054	-0.937	-1.543	-0.41	-1.123	-1.522	-1.483	-1.263	-1.136	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-1.226	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	-2.1165	-2.502	-1.309	-1.547	-0.62	-2.188	-1.799	-1.449	-3.449	-3.386	-3.054	-2.989	-3.704	-0.696	-0.731	-1.242
"YKL119C"	0.474	-0.767	0.12	-0.126	-0.313	-0.234	1.169	1.301	0.213	0.028	-0.056	0.05	0.182	0.054	-0.208	-0.661	-0.889	-0.855	-1.243	-0.428	-3.005	-2.274	-0.138	-0.152	-0.233	-1.014	0.728	-0.898	-1.007	-0.78	-1.062	-1.549	-2.161	-1.891	-0.103	-0.15	-0.076	0.39	-0.223	-0.215	-0.014	0.803	-0.928	-0.462	-1.057	-0.59	-0.837	0.342	0.431	0.277
"YKL122C"	-0.901	-0.877	0.232	-0.607	-1.077	-1.106	0.442	0.359	0.073	-0.081	-0.209	-0.072	0.038	0.067	-1.219	-1.334	-0.712	-1.091	-1.321	-1.025	-2.027	-4.576	-1.162	-0.85	-1.249	-1.64	0.034	-1.955	-1.057	-1.296	-1.282	-2.178	-2.544	-2.706	-0.754	-0.857	-0.092	0.175	-0.539	-0.766	-0.381	0.391	-0.911	-0.749	-1.142	-0.993	-1.112	0.239	0.469	0.315
"YLL050C"	1.209	0.214	0.68	0.532	0.725	0.867	0.501	0.791	0.802	0.706	0.732	0.898	0.854	0.852	-0.682	-0.214	-0.513	-0.258	-0.381	-1.058	-0.994	-4.316	-0.369	0.026	-0.807	-1.188	1.29	0.23	0.23	0.045	-0.003	-0.479	-0.919	-1.422	-0.088	-0.517	0.453	0.693	1.31	0.669	0.617	1.059	0.033	0.211	0.423	-0.055	-0.459	0.893	0.953	0.139
"YLR043C"	0.816	-0.78	0.158	-0.317	-0.618	-0.475	0.626	1.492	0.722	0.616	0.759	0.837	1.004	0.978	-0.758	-0.761	-1.039	-0.966	-0.905	-0.666	-2.278	-4.337	-0.228	-1.218	-1.648	-1.81	0.892	-0.451	-0.124	-0.434	-0.671	-1.762	-1.786	-1.552	-0.166	-0.831	0.224	0.242	0.631	-0.729	-0.372	-0.064	0.287	0.044	-0.297	-0.339	-1.554	0.524	1.139	-0.093
"YLR062C"	-0.997	-2.343	-0.995	-2.335	-3.557	-4.079	-1.742	-2.107	0.354	-0.476	-1.241	-1.17	-0.933	-0.901	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-3.6	-3.985	-3.965	-3.18	-1.214	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-1.928	-2.675	-1.213	-0.739	-1.409	-2.944	-1.594	-0.7	-3.723	-4.54	-4.001	-2.894	-3.419	-1.518	-1.53	-2.5
"YLR066W"	-0.064	-0.206	-0.164	-0.096	0.036	-0.022	0.972	0.997	0.402	-0.194	-0.096	0.027	0.119	-0.093	-0.639	-1.218	-0.363	-0.609	-0.728	-0.857	-1.805	-4.153	-0.154	-0.273	-0.588	-0.522	0.49	-0.857	-0.462	-0.663	-0.708	-1.092	-1.743	-2.746	-0.239	-0.683	-0.174	0.568	-0.29	0.001	0.144	0.665	-0.518	-0.595	-1.203	-1.011	-1.476	0.142	0.541	-0.409
"YLR293C"	0.025	-1.037	-0.049	-0.839	-0.72	-1.135	-0.648	-0.795	0.22	-0.265	-0.515	-0.257	-0.356	0.229	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	-0.131	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	-0.733	-2.235	-1.596	-0.468	-0.405	-0.936	-0.794	0.091	-2.525	-2.822	-2.422	-1.899	-2.582	0.176	0.131	-0.479
"YLR413W"	-3.86	-4.035	-3.146	-3.749	-4.155	-3.973	-2.0	-1.437	-2.013	-3.16	-2.894	-2.333	-1.898	-1.343	-4.758	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-5.846	-3.237	-3.865	-3.034	-3.629	-0.85	-4.176	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	-2.44	-3.737	-4.377	-3.205	-3.149	-3.773	-3.526	-3.616	-4.176	-4.449	-4.04	-4.16	-4.919	-1.971	-2.015	-2.072
"YML028W"	1.133	0.974	0.626	1.17	1.358	1.891	2.277	2.123	1.844	1.997	2.168	2.116	2.147	1.996	0.645	0.745	0.727	0.455	-0.161	0.125	-3.312	-5.853	0.219	-0.243	-1.366	-1.012	2.123	0.624	0.048	-0.31	-0.134	-1.597	-2.448	-2.489	1.402	-0.329	-0.024	0.478	0.618	1.172	0.929	1.336	0.241	0.839	0.261	-0.577	-0.554	1.405	2.767	1.385
"YMR123W"	-0.384	-1.069	-0.288	-0.89	-0.872	-0.721	-0.604	-0.209	0.101	-0.405	-0.582	-0.429	-0.239	0.155	-3.098	-1.897	-1.503	-2.225	-2.491	-2.616	-2.374	-3.061	-2.235	-1.468	-1.286	-1.465	-0.673	-0.767	-1.385	-1.907	-1.372	-1.615	-1.137	-1.512	-0.579	-1.653	-0.566	-0.456	-0.747	-0.766	-0.371	-0.681	-1.331	-1.533	-1.272	-0.879	-0.6	0.145	0.244	-0.118
"YNL096C"	-0.781	-2.093	-0.975	-1.957	-2.881	-3.202	-1.708	-1.648	-0.074	-1.136	-1.407	-0.997	-0.833	-0.639	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-0.666	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-1.523	-2.8625	-1.367	-0.168	-1.752	-2.02	-1.299	-1.586	-2.764	-3.087	-3.372	-2.098	-2.779	-0.576	-0.926	-1.178
"YNL189W"	-0.143	-0.5	0.021	-0.381	-0.404	-0.329	0.033	0.235	-0.062	-0.29	-0.436	0.011	-0.139	-0.087	-0.717	-0.61	-0.397	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	-0.132	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.413	-1.6445	-0.004	0.268	-0.277	-0.474	-0.567	-0.515	-0.016	-0.494	-0.868	-0.664	-1.254	0.262	0.108	0.119
"YOR224C"	-1.572	-1.859	-1.207	-1.457	-1.589	-2.102	-1.301	-1.48	-0.31	-0.977	-1.416	-0.99	-0.758	-0.84	-2.895	-1.9785	-1.9375	-1.8585	-2.2005	-2.081	-3.348	-4.849	-2.254	-2.252	-2.4505	-2.027	-1.621	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	-1.34	-2.041	-1.904	-1.238	-0.776	-1.596	-1.199	-1.175	-1.751	-2.113	-1.739	-1.681	-1.682	-0.736	-0.012	-1.349
"YOR277C"	-0.226	-2.052	-1.354	-1.329	-2.137	-2.041	-0.285	-0.247	0.199	-0.457	-0.817	-0.642	-0.433	-0.211	-2.185	-2.1265	-2.182	-2.0565	-1.713	-2.0645	-3.25	-4.571	-1.7745	-1.802	-2.148	-1.8895	-0.525	-2.305	-1.656	-1.464	-2.047	-1.978	-2.103	-2.211	-1.288	-1.884	-0.946	-0.516	-0.939	-1.137	-1.05	-1.361	-1.709	-1.606	-1.913	-1.457	-1.886	-0.522	-0.273	-1.021
"YOR280C"	0.611	0.178	0.795	0.361	0.234	0.115	0.363	-0.026	0.076	0.376	0.527	0.469	0.611	0.769	0.2925	0.111	0.333	0.185	-0.3285	-0.4155	-1.883	-4.249	-0.0485	-0.111	-0.4395	-0.7295	-0.027	0.088	0.172	-0.193	-0.29	-1.197	-1.828	-1.95	0.005	-0.201	0.849	0.984	-0.332	0.064	0.123	0.303	-0.527	-0.282	-0.571	-0.435	0.369	0.417	0.656	0.276
"YOR305W"	0.066	-0.918	0.349	-0.424	-0.819	-0.825	-0.357	0.101	-0.195	-0.412	-0.604	-0.185	-0.078	-0.314	-1.7125	-0.592	-0.6585	-1.254	-0.8795	-1.4945	-1.6535	-2.672	-0.9505	0.548	-1.1315	-0.948	-0.748	-1.185	-0.732	-0.719	-1.206	-1.227	-1.264	-1.883	-0.296	-0.568	-0.025	-0.01	-0.574	-0.539	-0.376	0.438	-0.621	-1.634	-0.927	-0.495	-0.581	0.355	0.032	0.244
"YOR309C"	-3.819	-4.328	-2.537	-3.697	-5.523	-5.514	-1.993	-1.745	-1.218	-2.476	-2.675	-1.779	-1.262	-0.839	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-2.194	-1.868	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-1.4	-3.451	-3.161	-0.979	-2.204	-2.102	-0.274	-2.645	-3.28	-4.097	-3.518	-2.477	-3.672	-2.874	-2.991	-3.595
"YPL010W"	0.274	-0.392	0.796	-0.302	-0.439	-0.123	1.313	0.891	0.616	0.481	0.527	0.779	0.617	0.732	-1.4195	-1.158	-0.6535	-1.55	-1.5815	-1.6325	-3.3685	-3.598	-1.235	-1.4515	-1.946	-1.8565	0.732	-0.938	-1.005	-1.349	-1.499	-2.935	-2.898	1.643	-0.333	-1.143	0.202	0.342	0.455	-0.021	0.139	-0.333	-0.111	-0.74	-0.803	-0.967	-1.592	0.833	1.247	0.627
"YPL028W"	0.149	-0.459	-0.287	-0.479	-0.077	-0.697	0.811	1.339	0.281	0.245	0.059	0.09	0.276	0.028	-1.971	-0.5695	-0.5735	-0.917	-1.3315	-1.7105	-3.482	-5.5385	-1.178	-1.1795	-1.9625	-2.1645	NaN	-0.485	-0.033	-1.336	-1.006	-1.692	-2.17	-2.948	-0.464	-1.486	0.034	0.185	0.351	0.008	0.251	0.278	-0.712	-1.478	-0.915	-1.324	-2.228	0.833	0.926	0.763
"YPL037C"	0.205	-1.05	-0.491	-0.849	-1.091	-1.081	-0.712	-0.692	0.583	0.041	-0.236	-0.158	-0.074	-0.062	-2.6595	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-0.574	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	-1.009	-1.648	-0.165	0.006	-0.33	-0.829	-0.334	-0.647	-1.607	-1.437	-1.831	-1.289	-0.859	0.402	0.953	0.014
"YPL218W"	0.296	-0.263	-0.467	-0.12	0.257	0.257	0.4975	0.6095	0.472	0.3175	0.225	0.27	0.5835	0.374	-0.807	-0.19	-0.0185	-0.693	-0.866	-0.543	-1.4675	-3.296	-0.5445	-0.4695	-1.426	-1.5405	0.341	-0.182	-0.406	-0.739	-0.787	-0.387	-0.615	-1.062	-0.356	-0.432	0.251	0.372	0.128	0.497	0.625	1.432	-0.729	-1.052	-0.474	-0.846	-1.447	0.012	0.86	-0.204
"YPL273W"	-0.7835	-2.2005	-1.2115	-1.7945	-2.3665	-2.375	-1.006	-0.911333333333333	-0.0823333333333333	-0.916	-1.504	-1.141	-0.931666666666667	-0.551	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	0.1445	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-1.632	-2.628	-0.656	-0.603	-1.347	-1.97	-1.752	-1.838	-1.961	-3.012	-2.524	-2.277	-3.204	-0.924	-0.908	-1.113
"YPR033C"	-1.271	-1.614	-0.967	-1.136	-1.452	-1.737	-0.387	-0.725	-0.289	-0.8065	-1.045	-0.809	-0.556	-0.3505	-2.7945	-1.8465	-1.291	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-0.181	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-1.174	-2.107	-0.231	0.071	-1.0905	-1.5125	-0.997	-1.1	-2.033	-2.0305	-1.9695	-1.4105	-2.053	-0.3105	-0.386	-0.49
