	"686.YP ethanol vs reference pool"	"813.MHY1 (dun1) + heat 20 min"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"21634..24 mM H2O2- 155 minutes"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34356.delPPT1_hypo_osmotic_shock_60min"
"YDL185W"	-0.754	-0.501	-0.571	-0.915	-2.522	-4.417	-0.841	-0.619	-1.308	-2.012	-0.42	-0.395	-0.701	-1.557	-2.084	-3.0	0.265	0.172	-0.001	0.074	-0.267	0.384	0.438	-1.3015	-1.035	0.365
"YDL236W"	-0.585	0.36	-1.298	-1.658	-2.833	-3.958	-1.817	-1.466	-1.861	-1.42	-0.063	-1.037	-0.512	-1.408	-1.935	-0.875	0.452	0.217	0.018	-0.072	-0.441	0.133	0.208	-1.186	-0.853	-0.014
"YDR002W"	-0.537	-0.646	-1.054	-1.992	-2.756	-4.542	-1.195	-1.43	-1.99	-1.796	0.535	-1.309	-0.91	-1.672	-2.746	-2.987	0.255	0.376	0.43	0.03	-0.573	0.179	0.502	-0.942	-1.446	0.256
"YDR189W"	-0.252	0.078	-0.822	-0.735	-1.871	-2.842	-0.821	-0.61	-0.824	-1.156	-0.138	-0.693	-0.704	-1.597	-1.904	-2.063	0.075	-0.167	-0.126	-0.041	-0.191	0.365	0.2895	-1.03	-0.6975	-0.1645
"YER009W"	-0.807	-0.766	-0.827	-1.398	-2.671	-4.765	-1.145	-1.222	-2.143	-1.906	0.514	-1.407	-1.465	-2.034	-2.393	-2.025	0.274	0.661	0.504	-0.029	-0.7	0.668	0.519	-0.744	-1.282	0.654
"YER090W"	-0.608	-0.647	-1.299	-1.569	-3.804	-5.004	-2.439	-2.138	-1.889	-1.861	0.341	-1.078	-1.311	-2.327	-2.585	-3.495	0.1	0.278	0.113	-0.122	-0.808	-0.432	0.347	-1.05	-0.537	0.032
"YFL004W"	-0.661	-1.237	-0.561	-0.988	-1.866	-3.639	-0.234	-0.755	-0.677	-0.945	0.061	-0.901	-1.486	-1.927	-2.26	-2.284	0.045	0.633	0.421	0.083	-0.75	0.146	0.134	-0.158	-0.351	0.022
"YFL022C"	-0.627	-1.075	-0.707	-1.141	-2.926	-4.867	-2.031	-1.805	-2.417	-2.244	-0.243	-1.011	-0.75	-0.494	-1.794	-1.707	0.174	0.342	0.216	-0.267	-0.929	0.03	0.0495	-0.965	-1.082	0.515
"YGL020C"	-0.18	-0.189	-0.461	-0.989	-2.94	-3.361	-0.298	-0.359	-0.686	-0.863	-0.128	-1.059	-0.84	-1.253	-1.605	-1.338	-0.071	0.073	0.215	-0.05	-0.307	0.19	0.184	-0.636	-1.175	0.545
"YGL105W"	-0.997	-0.918	-1.427	-1.362	-3.587	-6.011	-1.482	-1.069	-1.68	-1.068	-0.097	-1.41	-1.635	-1.622	-1.876	-2.025	-0.008	0.011	0.12	-0.409	-0.475	0.285	0.702	-1.688	-1.496	0.412
"YGR001C"	-0.29	-0.693	-0.631	-0.842	-2.12	-3.271	-0.573	-0.842	-0.824	-1.121	0.262	-0.879	-0.942	-1.426	-1.682	-2.24	0.111	0.255	0.082	-0.039	-0.449	-0.215	0.258	-0.721	-1.466	0.114
"YGR195W"	0.163	-0.496	-0.534	-0.67	-2.179	-3.999	-1.242	-0.598	-0.971	-1.268	0.11	-0.914	-0.934	-1.872	-1.878	-1.911	0.184	0.241	0.278	-0.012	-0.32	0.054	0.036	-0.664	-1.17	0.537
"YHR063C"	-0.78	-0.665	-1.345	-1.469	-3.309	-4.42	-0.605	-0.601	-0.927	-0.253	-0.33	-1.385	-1.916	-2.162	-3.419	-3.036	-0.382	-0.195	-0.196	-0.03	-0.373	-0.235	-0.234	-0.836	-0.857	-0.007
"YIL039W"	-0.214	-0.263	-0.673	-1.325	-3.668	-4.517	-1.287	-0.751	-1.3	-0.337	-0.078	-1.043	-1.386	-1.646	-2.122	-1.552	-0.019	-0.033	0.081	0.233	-0.276	0.065	0.263	-0.939	-2.291	0.173
"YJL002C"	-1.028	-0.573	-1.454	-1.243	-2.469	-4.487	-1.154	-1.141	-1.766	-0.803	-0.295	-0.942	-1.17	-1.748	-2.556	-2.618	-0.372	0.173	0.206	-0.075	-0.541	0.195	-0.516	-0.567	-0.934	0.363
"YJL097W"	0.123	-0.492	-0.584	-1.604	-2.596	-4.683	-1.112	-0.608	-0.944	-1.483	-0.138	-1.025	-1.409	-1.461	-2.558	-2.276	0.374	0.169	-0.086	-0.165	-0.362	0.333	0.434	-0.856	-1.1655	0.0495
"YJL157C"	-0.778	-0.742	-1.634	-1.708	-3.548	-7.731	-2.404	-1.403	-2.54	-2.599	-0.294	-1.008	-2.535	-3.198	-3.396	-3.219	-0.636	-0.372	-0.3	0.018	-1.095	0.218	-0.257	-0.016	-0.435	0.515
"YJL192C"	-0.097	-0.329	-0.943	-1.258	-3.649	-4.214	-0.886	-0.861	-1.29	-1.458	0.052	-1.289	-0.942	-1.68	-2.446	-1.599	0.059	0.1	0.006	0.043	-0.3055	0.375	0.539	-1.415	-1.659	-0.339
"YJR007W"	-0.919	-1.041	-2.107	-1.68	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	0.087	-1.848	-2.051	-2.909	-3.009	-3.616	0.118	0.14	0.09	-0.054	-0.8075	0.103	0.158	-1.636	-1.386	0.255
"YKR056W"	-0.619	-1.237	-2.336	-1.492	-3.298	-4.34	-2.379	-1.808	-1.061	-1.63	0.302	-1.597	-1.637	-2.627	-3.787	-3.544	-0.068	0.373	0.176	-0.129	-0.816	-0.045	-0.666	-1.061	-1.306	-0.462
"YLR039C"	0.0	-0.089	-0.7	0.326	-2.588	-3.769	-0.326	-0.5	-0.226	-0.405	0.141	-0.092	-0.534	-1.933	-2.422	-1.833	-0.133	0.077	0.237	-0.103	0.349	0.027	0.048	-0.782	-0.351	-0.039
"YLR043C"	-0.351	-0.921	-0.966	-0.905	-2.278	-4.337	-0.228	-1.218	-1.648	-1.81	0.033	-0.434	-0.671	-1.762	-1.786	-1.552	0.043	0.033	0.05	0.073	-0.166	0.322	0.165	-0.339	-1.554	0.034
"YLR208W"	-0.592	-0.463	-0.814	-1.266	-1.968	-4.432	-1.163	-0.959	-1.568	-2.018	-0.186	-1.454	-1.248	-1.898	-2.183	-2.499	0.165	-0.029	-0.033	-0.252	-0.44	0.076	0.11	-0.821	-1.229	-0.108
"YLR291C"	-0.737	-0.802	-1.83	-1.482	-3.037	-4.762	-1.324	-1.096	-1.104	-2.027	0.143	-1.186	-1.283	-1.783	-2.216	-2.363	-0.07	0.062	0.048	-0.181	-0.463	0.029	0.054	-1.555	-1.054	-0.046
"YLR293C"	-1.282	-1.218	-2.565	-2.207	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	0.117	-1.45	-2.158	-2.379	-3.03	-3.186	0.239	0.315	0.32	0.078	-0.733	-0.145	0.624	-1.899	-2.582	0.512
"YLR301W"	-1.068	0.331	-1.91	-1.953	-3.676	-5.415	-1.53	-1.429	-1.605	-2.439	0.346	-0.925	-1.325	-2.581	-2.218	-2.268	-0.023	-0.078	0.015	0.196	-0.05	0.052	0.194	-1.137	-2.424	-0.163
"YLR335W"	-0.469	-0.585	-1.666	-1.484	-1.306	-3.177	-1.332	-1.29	-1.213	-1.345	-0.065	-1.429	-1.323	-1.448	-1.681	-2.238	0.141	0.384	0.112	-0.047	-0.4	-0.138	-0.192	-0.713	-1.129	-0.126
"YMR017W"	0.436	0.291	0.807	1.684	2.858	4.246	1.021	1.373	1.603	0.243	0.0	0.619	1.867	2.08	2.127	2.376	-0.656	-0.698	0.047	-0.078	0.043	0.084	0.128	-0.322	0.596	-0.175
"YMR091C"	-0.691	-0.241	-1.31	-1.39	-1.458	-4.005	-0.09	-0.523	-1.052	-1.247	-0.112	-0.855	-1.288	-1.396	-2.09	-2.24	-0.262	-0.23	-0.233	0.205	-0.278	-0.02	-0.386	-1.158	-1.804	-0.104
"YMR212C"	-1.124	-0.969	-1.256	-1.579	-2.04	-6.75	-1.253	-0.975	-0.426	-1.664	-0.063	-1.572	-1.78	-2.693	-2.627	-2.761	-0.088	0.049	0.013	-0.088	-0.602	0.308	0.108	-0.715	-1.159	0.054
"YMR235C"	-1.348	-0.555	-1.493	-1.783	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	0.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.143	0.165	0.111	0.196	-1.014	0.226	0.376	-1.264	-1.301	-0.076
"YNL189W"	-0.751	-0.53	-0.902	-1.084	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	0.104	-1.33	-1.294	-2.058	-2.641	-3.084	0.176	0.097	0.057	-0.273	-0.413	-0.032	0.259	-0.664	-1.254	0.012
"YOR239W"	-0.538	-0.421	-1.1765	-1.31	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	-0.271	-2.053	-2.15	-3.149	-3.934	-3.704	-0.103	0.23	0.309	-0.205	-0.933	0.313	0.1225	-0.439	-0.564	0.279
"YOR323C"	-0.775	-0.816	-1.757	-1.941	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	0.064	-1.557	-1.382	-2.742	-3.497	-3.428	0.082	0.269	-0.003	0.153	-0.792	-0.091	0.271	-1.589	-1.584	0.209
"YOR326W"	-0.926	-1.069	-1.475	-1.329	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	0.406	-1.82	-2.099	-3.585	-3.591	-2.795	0.12	0.422	0.556	0.117	0.366	0.098	0.51	-0.751	-1.621	-0.225
"YPL028W"	-0.766	-0.632	-0.917	-1.3315	-3.482	-5.5385	-1.178	-1.1795	-1.9625	-2.1645	0.077	-1.336	-1.006	-1.692	-2.17	-2.948	0.686	0.801	0.723	-0.256	-0.464	0.076	0.387	-1.324	-2.228	0.323
"YPL037C"	-0.462	-0.961	-1.9235	-1.975	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	0.399	-1.561	-1.872	-2.115	-3.222	-3.654	0.018	0.319	0.234	-0.106	-1.009	0.411	0.608	-1.289	-0.859	0.144
"YPL094C"	-0.635	-0.416	-0.4525	-1.14	-3.0415	-5.3055	-1.5125	-1.1815	-1.6665	-1.6385	-0.251	-1.142	-1.061	-2.024	-2.284	-2.741	0.025	0.001	0.07	-0.303	-0.603	0.211	0.279	-0.759	-1.436	-0.068
"YPL178W"	-0.26	-0.221	-0.3995	-0.866	-2.0395	-3.2495	-0.159	-0.131	-0.3965	-0.2915	0.173	-1.104	-1.052	-1.535	-1.511	-1.922	0.125	0.011	-0.09	0.044	-0.281	0.156	0.02	-0.423	-0.7665	-0.079
"YPL218W"	-0.29	0.028	-0.693	-0.866	-1.4675	-3.296	-0.5445	-0.4695	-1.426	-1.5405	0.332	-0.739	-0.787	-0.387	-0.615	-1.062	0.193	0.224	0.239	0.025	-0.356	0.188	0.326	-0.846	-1.447	-0.044
"YPL237W"	-0.439	-1.437	-2.3465	-2.029	-2.875	-5.7585	-1.791	-1.39	-1.8945	-2.2035	0.356	-1.817	-1.927	-2.006	-2.44	-3.024	0.052	0.338	0.129	0.071	-1.302	0.133	0.17	-1.555	-1.695	-0.291
"YPL243W"	-0.823	-0.704	-1.109	-1.456	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.5105	-0.112	-1.377	-1.873	-2.602	-3.541	-3.544	-0.074	0.074	-0.001	-0.062	-0.471	0.102	-0.229	-1.355	-1.773	-0.291
"YPR029C"	-0.343	-0.144	-0.1995	-0.418	-1.735	-4.2395	-0.225	-0.232	-1.079	-0.8495	-0.097	-0.681	-0.605	-1.909	-1.836	-2.242	0.115	0.15	0.258	-0.048	0.211	0.207	0.041	-0.422	-0.366	0.165
"YPR073C"	0.128	0.242	-0.168	-0.621	-2.26	-3.8865	0.15	0.1475	-0.4335	-0.4515	0.091	-0.766	-0.945	-2.444	-2.384	-2.0	0.01	-0.085	-0.001	-0.055	-0.032	0.08	0.056	-0.298	-1.171	-0.042
"YPR114W"	-0.609	-0.485	-1.7955	-2.1515	-2.9825	-3.903	-1.418	-1.604	-1.798	-1.748	-0.353	-1.338	-1.177	-1.633	-1.738	-2.533	0.448	-0.062	-0.101	0.473	-0.066	-0.043	0.181	-1.093	-1.556	0.202
"YPR118W"	-0.94	-0.791	-2.4945	-2.706	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.577	0.224	-2.594	-2.077	-2.882	-3.334	-3.538	0.31	0.439	0.25	0.036	-1.435	0.349	0.067	-1.264	-2.261	-0.217
