	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YJR095W"	0.125	-1.304	-0.0575	0.0855	0.513	-0.309	-0.108	-0.178	6.299	5.126	5.594	0.063	2.617	4.941	5.572	4.944	5.227	3.101	4.211	2.301	4.24	0.778	0.69	0.251	0.228	0.708	0.407	0.376	3.258	0.427	0.836	1.892	1.962	0.704	0.319	-0.54	4.975	4.49	0.306	4.678	4.624	2.657	3.484	4.744	4.576
"YKL050C"	-0.653	-0.758	0.1315	0.196	-0.065	-0.314	-0.755	-0.843	1.612	3.19	4.636	0.459	0.451	1.181	1.798	1.481	2.384	4.351	4.561	2.659	1.441	0.772	0.133	0.282	-0.213	-0.027	0.308	0.48	4.155	1.895	3.007	3.191	3.156	0.046	-1.015	-0.6	1.309	2.428	1.288	1.522	0.51	2.987	1.313	3.984	NaN
"YKL099C"	-4.464	-3.88	-2.796	-3.564	-3.037	-3.158	-2.672	-2.33	-2.146	-1.585	-1.353	-2.489	-2.585	-1.842	-1.608	-2.099	-1.746	-1.419	-1.618	-0.653	-0.703	-1.766	-2.002	-2.597	-2.271	-1.408	-2.54	-2.778	NaN	0.164	0.015	0.246	0.474	-3.926	-3.154	NaN	-1.394	-0.125	-3.486	-1.59	-1.288	-0.837	-1.472	-1.295	-0.505
"YKR036C"	-0.743	-0.779	-0.637	-0.543	-0.975	-0.576	-0.881	-0.778	-0.247	-0.384	-0.249	-0.246	-1.111	-0.752	-0.565	-0.278	-0.203	-0.084	-0.018	-0.137	-0.228	-0.411	-0.2	-0.368	-0.699	-0.268	-0.399	-0.609	0.075	-0.242	0.026	0.072	0.071	-0.609	-0.778	-0.511	-0.281	-0.091	-0.248	-0.502	-0.153	0.046	0.512	0.566	0.788
"YKR056W"	-4.01	-3.872	-2.945	-3.217	-3.127	-2.566	-2.718	-2.101	-2.343	-2.336	-1.492	-2.352	-2.379	-1.808	-1.061	-1.63	-1.639	-1.597	-1.637	-2.627	-1.382	-2.462	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	-1.751	0.317	0.081	0.233	0.203	-3.682	-1.97	-2.586	-1.647	-1.576	-3.056	-2.089	-1.061	-1.306	-0.734	-0.876	-0.758
"YKR097W"	0.121	0.327	0.427	0.746	0.112	0.182	-0.1	0.111	7.19	6.862	7.33	0.035	0.807	0.58	5.974	6.148	6.534	5.735	5.448	6.528	4.283	0.102	0.108	0.163	0.06	0.202	0.482	0.141	5.059	2.05	3.289	3.323	4.123	0.572	-0.412	0.14	5.975	3.416	-0.139	5.295	5.763	4.982	3.367	5.505	4.865
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-3.541	-2.25	-2.132	-2.259	-2.408	-1.898	-2.78	-2.737	-2.637	-1.705	-1.838	-2.226	-1.984	-2.757	-2.555	-1.817	-2.459	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-1.779	-0.704	-1.025	-0.789	-0.336	-4.344	-3.489	-3.436	-1.452	-1.458	-3.361	-1.953	-1.228	-1.257	-1.763	-2.074	-1.124
"YLR051C"	-1.956	-1.549	-1.676	-2.137	-2.331	-1.196	-1.66	-1.398	-1.342	-1.739	-0.793	-0.981	-1.169	-1.459	-0.764	-0.108	-1.441	-1.147	-1.277	-0.641	-0.605	-1.717	-1.923	-2.107	-1.702	-1.407	-2.175	-2.082	-0.678	-0.102	0.239	0.301	0.616	-2.127	-1.927	-2.014	-1.112	-0.643	-2.885	-1.77	-0.982	-0.209	-0.285	-0.382	-0.468
"YLR174W"	1.191	0.58	1.061	1.31	1.161	-0.029	0.374	0.241	6.653	5.651	5.451	1.445	3.793	4.275	5.023	5.765	4.807	3.605	4.155	3.221	3.768	1.599	0.8	0.817	0.663	1.16	1.013	1.147	2.778	2.207	2.065	2.598	3.548	2.225	-0.185	0.143	5.021	4.133	0.607	4.301	4.563	2.849	2.961	4.685	4.478
"YLR312C"	3.556	2.257	1.469	1.793	1.485	0.863	1.064	0.655	6.446	5.561	5.97	1.361	3.545	2.674	4.286	4.34	5.214	4.896	5.569	6.764	2.783	3.408	2.156	2.71	2.679	2.276	2.596	2.62	3.462	4.618	4.916	4.296	5.025	2.405	0.282	-0.414	4.818	3.267	4.18	4.667	4.284	4.571	1.443	2.931	2.954
"YLR346C"	-0.104	-0.055	0.064	0.508	0.245	0.317	0.933	0.598	1.098	1.147	2.457	0.276	1.044	2.764	2.616	2.764	1.318	2.26	2.52	2.849	1.248	1.548	0.756	0.963	0.72	0.895	1.016	0.952	1.387	2.456	2.69	2.778	2.48	0.757	0.092	0.017	2.35	1.824	0.714	3.589	1.221	1.866	2.289	4.441	3.753
"YLR377C"	0.4305	0.2475	0.2145	0.3645	0.0095	0.264	-0.0885	0.1095	6.563	6.1325	5.6895	0.859	1.238	2.1335	4.419	5.63	4.391	2.7535	1.8255	2.28	4.28	0.8415	0.6155	0.513	0.133	0.864	0.566	0.1385	5.451	0.4515	0.3885	0.275	0.9045	0.332	-1.096	-0.649	7.308	4.45	-0.539	5.948	6.059	3.68	6.198	6.823	6.458
"YMR059W"	-0.472	-0.292	-0.585	-0.299	-1.126	-0.441	-0.22	-0.359	0.032	-0.065	0.293	-0.141	-0.286	0.237	0.667	0.354	-0.227	0.008	0.25	0.065	-0.304	-0.198	-0.451	-0.715	-0.818	-0.109	-0.544	-0.825	0.119	0.114	0.287	0.029	0.24	-0.479	-1.119	-0.589	-0.253	-0.237	-0.691	-0.394	-0.387	0.919	0.047	0.682	0.66
"YMR118C"	0.05	-0.208	0.0	0.139	0.297	0.068	-0.373	-0.202	2.784	3.914	5.005	0.754	0.486	2.062	3.038	3.051	2.637	3.669	3.896	3.917	2.03	0.553	0.867	0.624	0.166	1.034	0.677	0.375	4.034	3.12	3.327	3.427	3.886	0.435	-1.086	-0.974	3.07	3.019	1.55	3.693	1.817	3.974	1.663	3.018	3.073
"YMR127C"	-1.172	-1.145	-0.898	-0.878	-0.867	-0.575	-0.833	-0.621	-0.261	-0.405	0.47	-0.546	-0.679	-0.483	-0.205	-0.399	-0.403	0.104	0.369	0.141	-0.065	-0.347	-0.604	-0.542	-0.757	-0.219	-0.468	-0.762	0.0	0.198	0.857	0.669	1.183	-0.844	-1.072	-1.203	0.044	-0.415	-1.259	-0.291	-0.208	-0.084	-0.118	0.392	0.62
"YMR322C"	1.181	0.927	0.564	0.803	0.103	0.448	0.535	0.877	0.976	2.074	3.784	0.768	1.717	2.31	3.089	3.419	1.468	3.159	2.414	2.736	2.087	1.261	1.409	1.589	2.007	0.407	1.049	1.372	2.496	2.442	2.034	1.852	2.735	1.175	-0.13	0.012	1.633	1.355	1.767	2.549	1.193	2.809	3.28	4.649	3.313
"YNL110C"	-4.43	-3.64	-3.768	-4.56	-4.991	-3.311	-2.66	-2.463	-2.608	-1.92	-1.698	-1.641	-2.565	-1.986	-1.679	-1.126	-2.141	-1.741	-2.144	-2.154	-1.875	-2.56	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	-1.5895	0.194	0.126	0.138	0.504	-5.064	-4.233	-4.907	-2.579	-1.804	-4.747	-2.546	-2.431	-1.608	-1.405	-1.619	-0.825
"YNL117W"	0.901	0.368	0.0	0.359	0.206	0.506	-0.019	0.095	5.741	6.63	5.482	0.527	1.018	2.415	6.774	5.751	3.868	3.325	4.285	3.313	3.696	1.086	0.71	0.499	0.808	0.495	0.408	0.659	5.7225	1.762	2.504	2.844	2.616	0.636	-0.555	-0.878	5.666	4.173	-0.387	4.998	6.407	3.865	4.316	6.432	5.259
"YNL186W"	-1.898	-2.0	-1.115	-1.893	-1.963	-1.736	-1.782	-1.546	-1.117	-0.673	-0.178	-1.256	-1.882	-1.042	-0.54	-0.525	-0.724	-0.105	-0.273	-0.333	-0.093	-1.702	-1.893	-2.049	-1.385	-1.794	-1.562	-1.447	-0.4135	0.442	0.478	0.411	0.167	-1.972	-2.395	-1.645	-0.411	-0.553	-1.954	-0.879	-0.799	0.095	-0.507	-0.171	-0.055
"YOR064C"	-0.151	-0.293	-0.035	0.065	-0.074	-0.005	-0.052	-0.131	1.791	0.1415	2.124	0.662	0.241	1.41	1.85	4.6975	0.981	0.438	1.029	1.388	0.801	0.208	0.204	0.135	-0.199	0.357	0.019	-0.147	0.734	0.992	0.55	1.268	1.181	-0.167	-0.132	-0.357	1.296	0.852	0.267	0.765	1.164	0.43	0.953	1.553	1.331
"YOR145C"	-3.98	-3.795	-2.871	-3.492	-3.402	-2.2695	-2.441	-1.805	-1.7885	-1.4615	-1.2725	-1.3615	-2.7235	-1.903	-1.5745	-1.9355	-0.757	-0.742	-0.788	-0.118	-0.842	-2.247	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-1.589	0.68	-0.039	0.324	0.96	-3.948	-3.355	-3.644	-2.352	-1.732	-4.493	-1.998	-1.893	-1.091	-1.344	-1.13	-0.577
"YOR146W"	-3.231	-2.681	-3.597	-3.42	-3.036	-2.036	-2.093	-1.987	-1.4795	-1.446	-0.784	-2.384	-2.648	-1.68	-1.6095	-1.0855	-0.284	-0.451	-0.292	0.382	-1.458	-2.119	-1.605	-2.933	-1.348	-1.656	-2.496	-2.291	-1.177	0.536	-0.118	0.044	0.002	-4.259	-2.045	-2.594	-1.294	-0.654	-2.731	-1.055	-0.935	-0.676	-1.315	-0.736	-0.47
"YOR294W"	-4.574	-3.828	-3.73	-4.407	-3.632	-3.3475	-2.434	-2.234	-1.914	-1.2675	-0.7345	-2.791	-3.318	-1.8445	-1.1745	-0.5045	-1.517	-1.08	-0.98	-0.528	-1.339	-3.115	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	-1.148	0.071	0.087	0.094	-0.14	-4.852	-3.894	-4.841	-2.74	-1.658	-5.145	-2.254	-1.895	-1.229	-1.254	-1.509	-0.956
"YOR391C"	1.757	1.064	0.485	0.923	0.0	1.364	0.21	1.447	1.566	2.096	3.2805	1.1705	1.1695	2.718	2.9945	3.139	0.937	3.269	3.303	2.476	2.135	1.348	0.708	1.125	1.348	-0.097	0.676	1.144	3.298	2.209	2.133	2.398	2.298	0.889	-0.346	-0.478	1.144	1.531	1.89	2.667	1.503	2.728	3.053	4.425	3.34
"YPL156C"	-0.893	-0.75	-0.466	0.028	-1.0	0.168	-0.17	-0.0455	2.4645	2.6385	2.5985	0.55	1.3585	0.9475	1.2405	1.724	2.426	1.285	1.227	0.125	1.266	-0.196	0.356	0.016	-0.055	-0.139	-0.298	-0.668	1.731	0.114	0.672	0.816	1.23	-0.885	0.127	-0.274	1.525	0.691	0.045	1.352	1.915	2.295	1.949	3.042	2.706
"YPL280W"	0.535	0.466	0.222	0.613	0.193	0.765	0.083	0.6835	1.8475	2.8895	4.65	0.494	1.956	2.1405	3.602	3.41	1.495	2.369	2.831	2.226	0.96	1.472	0.491	1.367	1.744	0.459	1.053	1.501	1.617	2.599	2.164	2.097	2.585	1.014	-0.327	-0.155	1.512	1.767	1.59	2.361	1.433	2.596	3.014	4.152	3.51
"YPR049C"	0.1195	0.035	0.004	0.0845	-0.238	0.567666666666667	0.056	-0.084	1.18466666666667	1.38933333333333	1.679	0.876333333333333	0.143	0.571666666666667	0.793666666666667	1.18933333333333	1.119	1.5345	1.8485	2.0825	0.295	0.5255	0.19	0.1605	0.6855	0.5665	0.198	0.4635	1.1935	1.805	1.9485	1.605	1.4575	0.0215	-0.998	-0.357	0.99	0.95	0.037	1.33	0.863	1.168	0.631	1.576	1.751
