	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"978.wt_plus_gamma_20_min"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7540.pRS-ROX1 GAL media"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21638..24 mM H2O2- 070 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"
"YDL082W"	-1.994	-1.806	-2.339	-3.052	-2.521	0.763	1.092	0.863	-1.475	-2.569	-2.087	-1.564	1.97	-1.28	-1.115	-0.813	-0.754	-0.62	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-2.246	-1.193	-0.431	-2.537	-3.01	-1.18	-2.105	-0.631	0.403	-0.848	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	2.249	-1.523	0.207	-0.225	-0.716	-0.18	0.077	-0.173	-0.015	0.062	-1.965	-1.02	-1.466	-1.476	-1.194	1.332	0.667	2.006	1.346	0.223	-1.685	-0.426	-1.349	-1.263	1.006	-1.159	-2.035	-1.852	-2.982	-2.121	-1.542	-3.338	0.884	0.7365	0.783	-1.3235	-0.9025	-1.8905	-2.511	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-3.155	-2.089	-2.944	-4.311	-2.869	-1.51	1.879
"YDL083C"	-0.632	-2.453	-1.953	-3.378	-3.478	0.585	0.988	1.063	-1.251	-2.107	-0.8	-1.239	1.682	-1.381	-1.113	-0.987	-0.756	-0.863	-3.139	-3.706	-3.045	-3.08	-2.854	-2.909	-3.106	-3.908	-2.847	-1.305	-0.442	-3.133	-3.246	-3.0	-2.921	-0.552	0.186	-0.768	-2.474	-1.695	-2.301	-2.71	-2.252	-2.052	-3.014	1.935	-1.369	0.147	-0.055	-1.068	0.002	-0.206	-0.699	-0.008	-0.191	-1.436	-1.23	-1.184	-2.031	0.109	-0.564	0.672	1.726	1.383	-0.073	-1.64	-0.909	-0.997	-1.527	0.799	-0.858	-2.249	-2.197	-2.437	-1.982	-2.03	-2.763	0.874	0.732	0.835	-2.189	-2.5935	-2.2145	-1.778	-3.784	-2.953	-2.644	-3.827	-3.217	-1.991	-2.82	-1.937	-2.92	-4.453	-2.934	-2.124	1.745
"YDL191W"	-1.605	-1.918	-1.445	-2.102	-2.434	0.553	0.722	0.713	-1.075	-2.056	-1.739	-0.854	1.943	-1.133	-1.117	-0.869	-0.897	-0.698	-1.985	-2.367	-2.75	-2.497	-1.853	-1.975	-2.737	-5.192	-1.704	-0.956	-0.383	-2.911	-2.813	-2.518	-2.408	-0.608	0.542	-0.246	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	1.822	-1.167	0.118	-0.192	-1.628	-0.087	-0.04	-0.38	-0.767	-0.298	-1.251	-1.614	-1.94	-1.568	-1.007	0.847	0.9	1.246	0.97	0.012	-1.646	-0.503	-1.627	-1.818	1.131	-0.562	-1.742	-2.212	-1.959	-1.133	-0.76	-1.898	0.913	0.9385	0.664	-1.461	-1.328	-2.0385	-2.167	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-2.46	-1.532	-2.386	-3.143	-2.392	-2.034	2.171
"YDR025W"	-1.598	-2.141	-2.0	-3.031	-3.248	0.692	1.014	0.806	-1.477	-2.011	-1.284	-1.745	2.153	-1.822	-1.268	-0.964	-0.855	-0.782	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-2.477	-1.301	-0.41	-3.357	-3.356	-3.471	-3.326	-0.896	0.188	-0.7	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	2.767	-1.702	0.269	-0.21	-0.95	-0.228	-0.217	-0.638	-0.464	-0.557	-1.781	-1.471	-1.619	-2.376	-0.704	0.903	0.622	1.649	1.422	0.108	-1.767	-1.467	-1.45	-1.463	0.906	-0.766	-2.304	-1.7675	-3.299	-2.193	-2.25	-3.042	0.7575	0.564	0.835	-2.1035	-2.693	-2.2965	-2.278	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	-1.818	-2.458	-3.528	-2.366	-1.814	2.272
"YDR064W"	-1.589	-1.917	-1.077	-2.822	-3.039	1.178	0.993	1.04	-1.107	-1.486	-1.51	-1.773	1.206	-0.86	-0.953	-0.838	-0.937	-1.126	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-1.992	-1.244	-0.718	-3.208	-3.138	-2.511	-2.495	-0.329	0.264	-0.864	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	1.895	-1.054	0.137	0.057	-0.976	-0.07	-0.386	-0.734	-0.306	-0.271	-1.409	-1.816	-0.618	-2.026	-1.313	0.886	0.928	1.01	1.306	-0.126	-1.489	-1.422	-2.324	-1.878	1.003	-0.786	-1.723	-1.996	-2.588	-2.002	-2.032	-2.16	0.826	0.67	0.914	-2.906	-2.873	-3.0255	-1.708	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842	-2.475	-2.065	-3.66	-2.136	-1.611	2.722
"YDR417C"	-1.534	-2.075	-1.608	-2.715	-3.361	1.045	0.832	0.691	-1.469	-2.536	-1.709	-1.833	2.373	-1.257	-1.053	-0.737	-0.623	-0.535	-3.705	-2.778	-2.992	-2.407	-2.511	-3.327	-4.279	-5.062	-2.509	-0.995	-0.46	-3.58	-3.209	-2.864	-2.95	-1.06	0.489	-0.554	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	2.333	-1.551	0.125	-0.354	-1.201	-0.312	-0.448	-0.694	-0.616	-0.337	-1.829	-1.974	-2.262	-1.867	-1.455	1.113	0.785	1.734	1.424	0.075	-2.03	-1.301	-2.082	-2.022	1.195	-0.545	-1.587	-2.149	0.189	-2.343	-2.598	-2.642	0.838	0.832	0.683	-2.803	-3.954	-2.362	-1.745	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	-2.404	-1.903	-2.406	-3.526	-2.531	-1.969	-1.392
"YDR418W"	-1.733	-1.94	-1.617	-2.789	-3.411	1.215	1.21	1.134	-1.558	-2.651	-1.894	-1.861	2.098	-1.178	-1.012	-0.736	-0.618	-0.535	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-2.231	-1.059	-0.281	-3.315	-3.181	-2.797	-2.605	-1.029	0.543	NaN	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	2.482	-1.417	0.123	-0.293	-1.471	-0.226	-0.285	-0.738	-0.878	-0.37	-1.816	-1.819	-2.108	-2.892	-1.29	0.998	0.679	1.744	1.436	0.016	-2.07	-1.177	-2.095	-2.023	1.111	-0.616	-1.721	-2.345	-3.879	-2.678	-2.823	-2.74	0.874	0.796	0.861	-2.94	-3.095	-2.611	-2.105	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	-3.381	-1.732	-2.521	-3.519	-2.546	-1.928	2.312
"YDR447C"	-1.927	-2.299	-2.149	-3.242	-3.562	1.205	1.022	0.931	-1.478	-2.917	-2.275	-1.392	1.974	-1.542	-1.567	-1.217	-0.98	-0.683	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.316	-1.447	-0.459	-3.574	-3.565	-2.813	-3.129	-0.86	0.742	NaN	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	1.98	-1.87	0.03	-0.465	-1.914	-0.264	-0.352	-0.582	-0.806	-0.288	-1.533	-1.879	-2.331	-1.963	-1.266	0.816	0.834	1.533	1.164	-0.045	-2.33	-1.376	-2.456	-2.291	0.941	-1.073	-2.288	-2.1165	-2.794	-1.802	-2.014	-2.593	0.881	0.544	1.0175	-2.041	-2.7985	-2.745	-3.102	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	-1.622	-2.685	-3.648	-2.69	-2.412	1.384
"YDR450W"	-1.91	-1.979	-1.959	-2.844	-3.077	1.408	1.176	0.963	-1.559	-2.423	-1.837	-1.439	2.065	-1.072	-1.104	-0.96	-0.715	-0.55	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	NaN	-2.564	-1.072	-0.528	-3.208	-3.201	-2.618	-2.153	-0.874	0.47	-0.552	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	1.964	-0.81	0.491	0.018	-0.935	0.248	0.258	-0.352	-0.583	-0.422	-1.894	-1.081	-1.303	-1.738	-0.525	1.252	1.072	1.81	1.599	0.172	-2.182	-1.045	-1.786	-1.692	1.209	-0.795	-1.75	-1.056	-2.815	-1.697	-1.939	-3.008	0.925	0.848	0.7845	-2.7045	-2.2275	-2.787	-1.894	-3.787	-3.762	-2.344	-3.594	-3.453	-2.352	-2.575	-1.63	-2.232	-2.605	-2.23	-1.824	-1.12
"YDR471W"	-2.267	-2.818	-1.805	-3.206	-3.84	1.0	1.177	1.016	-1.159	-2.42	-1.52	-1.395	2.008	-1.289	-0.972	-0.562	-0.397	-0.366	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	-3.599	-4.747	-2.627	-1.146	-0.326	-3.144	-2.929	-2.398	-0.312	-0.944	0.802	0.091	-4.253	-2.034	-2.122	-2.633	-0.472	-2.405	-2.908	1.771	-1.256	0.112	-0.264	-1.353	0.038	0.044	-0.29	-0.358	-0.182	-1.273	-1.692	-2.168	-1.702	-1.338	1.233	0.855	1.721	1.062	-0.313	-2.14	-1.379	-2.072	-1.654	1.01	-0.95	-1.97	-1.7695	-2.715	-1.504	-1.29	-3.29	0.8575	0.774	0.8615	-2.5935	-1.943	-2.1345	-2.211	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	-2.873	-2.116	-2.355	-3.549	-2.833	-2.068	1.842
"YDR500C"	-1.785	-1.558	-1.699	-2.205	-2.773	1.235	1.186	0.848	-1.204	-1.229	-0.983	-1.042	1.259	-0.915	-0.905	-0.739	-0.68	-0.583	-2.796	-2.33	-2.289	-1.732	-1.533	-1.281	-2.587	-2.649	-2.017	-0.888	-0.294	-2.364	-2.622	-2.006	-1.983	-0.742	0.871	-0.891	-3.376	-1.917	-1.925	-1.831	-1.422	-1.041	-2.16	1.863	-1.37	0.03	-0.17	-1.388	-0.133	-0.147	-0.461	-0.745	-0.399	-1.362	-1.424	-1.726	-2.165	-1.021	0.777	0.731	1.573	1.304	0.256	-1.191	-0.547	-1.275	-1.53	1.0	-0.743	-1.468	0.1945	-2.783	-1.857	-2.011	-2.258	1.1095	0.9735	0.663	-0.92	-1.66	-0.797	-1.206	-2.971	-2.436	-1.455	-3.3	-2.439	-1.961	-2.211	-1.558	-2.085	-2.681	-1.919	-1.388	NaN
