	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YGL026C"	-3.132	-4.669	-0.678	-0.839	-1.868	-2.181	-2.636
"YGL049C"	-2.05	-4.12	-0.621	-0.562	-1.692	-1.763	-2.23
"YGL099W"	-2.895	-5.764	-1.805	-1.984	-2.516	-3.273	-3.42
"YGL115W"	-1.41	-3.416	-0.37	-0.393	-1.21	-1.389	-1.566
"YGL120C"	-4.088	-5.111	-2.178	-1.783	-2.866	-3.888	-4.137
"YGL232W"	-2.079	-2.628	-1.042	-1.033	-1.825	-1.906	-2.353
"YGL238W"	-1.585	-4.337	-1.238	-1.24	-1.654	-1.937	-2.674
"YGL245W"	-4.799	-6.655	-1.589	-2.121	-3.552	-4.345	-4.779
"YGR001C"	-2.12	-3.271	-0.879	-0.942	-1.426	-1.682	-2.24
"YGR012W"	-1.64	-3.209	0.056	0.291	-0.192	-0.837	-0.659
"YGR120C"	-2.13	-4.938	-0.312	-0.607	-0.651	-1.735	-1.148
"YGR124W"	-2.597	-4.207	-2.324	-2.426	-2.945	-3.169	-3.758
"YGR173W"	-2.218	-3.699	-1.36	-0.91	-1.919	-1.996	-2.168
"YGR185C"	-5.306	-6.361	-2.531	-2.944	-4.576	-4.871	-5.006
"YGR195W"	-2.179	-3.999	-0.914	-0.934	-1.872	-1.878	-1.911
"YGR229C"	-2.847	-4.256	-1.569	-1.658	-2.401	-2.58	-3.391
"YGR245C"	-2.482	-3.799	-2.367	-2.154	-2.194	-2.446	-3.203
"YGR261C"	-2.682	-3.233	-1.125	-0.876	-1.657	-2.505	-2.45
"YGR264C"	-5.206	-4.616	-2.707	-3.468	-4.623	-4.957	-4.753
"YGR285C"	-4.078	-6.1	-2.557	-2.811	-3.452	-4.07	-4.065
"YHL003C"	-2.186	-3.084	-0.886	-0.883	-1.585	-1.707	-1.741
"YHL004W"	-1.354	-4.149	0.092	-0.009	-0.167	-0.836	-0.711
"YHR019C"	-4.051	-5.077	-2.109	-2.06	-3.117	-3.721	-4.387
"YHR020W"	-2.69	-4.045	-1.649	-1.837	-1.718	-2.26	-2.19
"YHR024C"	-2.8215	-3.2155	-1.1645	-0.7885	-1.418	-1.672	-1.759
"YHR047C"	-3.032	-4.423	-1.632	-1.63	-1.978	-3.102	-3.056
"YHR049W"	-3.623	-4.702	-1.17	-1.96	-1.968	-2.952	-2.443
"YHR064C"	-3.329	-5.238	-1.754	-2.25	-2.957	-3.678	-3.675
"YHR065C"	-3.857	-4.644	-1.073	-1.503	-1.762	-2.801	-2.479
"YHR068W"	-4.28	-6.532	-1.927	-2.429	-2.724	-3.669	-3.425
"YHR073W"	-1.889	-2.844	0.023	0.129	-0.99	-1.786	-1.676
"YHR088W"	-2.052	-3.112	-0.722	-1.206	-0.937	-1.914	-1.532
"YHR098C"	-2.065	-3.065	-1.2075	-1.218	-1.917	-1.925	-2.553
"YHR192W"	-1.536	-4.285	-0.273	-0.185	-0.421	-1.227	-0.885
"YHR197W"	-2.76	-2.808	-1.716	-1.524	-1.737	-2.343	-2.822
"YHR208W"	-3.12	-4.064	-1.232	-1.339	-2.263	-2.683	-2.939
"YIL018W"	-3.492	-5.749	-2.218	-2.606	-2.661	-3.27	-3.914
"YIL020C"	-2.251	-3.447	-1.134	-1.135	-1.853	-1.943	-1.728
"YIL021W"	-1.965	-3.289	-1.198	-1.127	-1.2	-1.693	-1.565
"YIL044C"	-1.784	-2.248	-0.49	-0.505	-1.033	-1.385	-1.612
"YIL062C"	-1.634	-3.897	-0.046	0.232	-0.617	-1.017	-1.401
"YIL078W"	-5.192	-6.059	-2.436	-3.226	-4.41	-4.902	-4.944
"YIL109C"	-1.923	-4.504	-0.43	-0.498	-0.686	-1.365	-1.231
"YIL118W"	-2.382	-3.881	-1.132	-1.172	-1.281	-1.819	-1.622
"YIL131C"	-2.028	-4.479	-1.235	-1.681	-1.725	-2.595	-1.95
"YIL138C"	-2.433	-3.747	-1.136	-1.149	-1.524	-2.298	-1.906
"YJL125C"	-2.343	-4.009	-0.819	-0.974	-1.983	-1.697	-1.865
"YJL145W"	-2.136	-3.628	-1.678	-1.482	-2.303	-2.334	-2.853
"YJL167W"	-2.323	-7.538	-0.704	-0.897	-2.066	-2.855	-2.924
"YJL209W"	-1.927	-4.562	-0.37	-0.202	-0.759	-1.407	-1.484
"YJR003C"	-2.48	-3.457	-0.824	-0.91	-2.176	-2.349	-2.42
"YJR032W"	-2.635	-3.054	-0.808	-0.806	-1.546	-1.609	-1.727
"YJR101W"	-1.3215	-2.4895	-0.602	-0.736	-0.748	-1.031	-0.8475
"YJR139C"	-2.333	-4.462	-0.762	-1.269	-1.914	-2.388	-2.051
"YKL024C"	-2.025	-5.4	-0.007	0.133	-0.542	-1.239	-1.798
"YKL048C"	-2.621	-3.599	-0.237	-0.645	-1.527	-1.483	-1.347
"YKL144C"	-1.592	-4.032	-1.225	-1.312	-1.757	-1.899	-1.515
"YKL154W"	-2.701	-3.89	-1.477	-1.447	-1.765	-2.132	-2.222
"YKL204W"	-1.387	-3.668	0.066	-0.076	-0.532	-0.891	-1.163
"YKL212W"	-3.014	-4.806	-1.656	-1.598	-2.516	-2.929	-3.374
"YKR026C"	-2.863	-3.755	-1.369	-1.003	-1.858	-2.363	-2.231
"YKR082W"	-2.473	-2.648	-0.885	-1.249	-1.45	-1.895	-2.598
"YLL044W"	-3.79	-6.48	-2.654	-2.736	-2.724	-3.494	-3.967
"YLR002C"	-3.154	-4.959	-1.661	-1.599	-2.578	-3.265	-3.45
"YLR039C"	-2.588	-3.769	-0.092	-0.534	-1.933	-2.422	-1.833
"YLR045C"	-1.804	-2.728	-1.092	-1.01	-1.829	-1.751	-2.74
"YLR083C"	-3.767	-5.137	-2.031	-2.545	-2.29	-3.88	-3.36
"YLR100W"	-2.507	-4.853	-1.184	-1.09	-1.855	-2.159	-2.128
"YLR101C"	-2.239	-3.161	-1.073	-1.203	-1.911	-2.069	-2.518
"YLR182W"	-2.064	-3.638	-0.884	-1.165	-0.93	-2.368	-2.165
"YLR192C"	-2.456	-4.349	-2.008	-1.414	-1.566	-2.165	-2.147
"YLR210W"	-1.644	-4.137	-1.246	-1.41	-1.551	-1.527	-1.71
"YLR225C"	-0.948	-4.055	0.025	-0.233	-1.541	-1.691	-1.897
"YLR243W"	-1.955	-3.657	-1.413	-1.404	-1.542	-2.373	-1.983
"YLR291C"	-3.037	-4.762	-1.186	-1.283	-1.783	-2.216	-2.363
"YLR359W"	-2.567	-5.36	-0.538	-1.047	-1.039	-1.681	-1.828
"YLR363C"	-1.953	-2.721	-0.462	-0.341	-0.933	-1.754	-1.515
"YML019W"	-1.914	-3.311	-0.992	-0.775	-1.333	-1.842	-1.638
"YML085C"	-3.379	-4.526	-1.408	-1.564	-1.907	-2.298	-2.55
"YML105C"	-3.491	-5.249	-0.945	-0.916	-1.556	-2.731	-1.698
"YML115C"	-2.167	-3.577	-0.392	-0.336	-1.155	-2.093	-1.246
"YML124C"	-3.412	-4.107	-1.625	-0.926	-1.685	-2.001	-2.075
"YMR005W"	-1.376	-3.635	-0.542	-0.101	-0.424	-1.007	-1.13
"YMR010W"	-1.643	-4.183	-1.367	-0.818	-1.189	-1.308	-1.893
"YMR033W"	-3.063	-4.454	-1.244	-1.469	-1.745	-1.826	-1.988
"YMR047C"	-1.2605	-3.61	-0.41	-0.463	-0.7645	-1.0335	-1.4915
"YMR049C"	-4.225	-9.471	-2.318	-2.279	-3.3	-3.396	-4.217
"YMR076C"	-2.081	-3.116	-0.936	-1.559	-2.213	-2.974	-3.305
"YMR078C"	-1.432	-2.51	-0.414	-0.777	-1.124	-2.06	-1.818
"YMR109W"	-0.3935	-2.609	-0.572	-0.2265	-0.876	-1.5025	-1.3055
"YMR116C"	-4.551	-6.865	-2.851	-2.888	-2.906	-3.561	-4.003
"YMR202W"	-4.391	-5.431	-1.63	-1.208	-2.263	-2.876	-2.931
"YMR208W"	-2.542	-3.618	-0.931	-1.136	-1.98	-2.454	-2.354
"YMR212C"	-2.04	-6.75	-1.572	-1.78	-2.693	-2.627	-2.761
"YMR237W"	-2.955	-4.233	-0.651	-0.65	-1.452	-1.947	-2.335
"YMR288W"	-1.691	-2.141	-0.056	-0.048	-1.057	-1.925	-1.551
"YMR307W"	-5.132	-5.877	-2.493	-3.39	-4.432	-5.016	-4.56
"YMR308C"	-3.091	-4.033	-2.014	-1.774	-2.239	-2.796	-2.451
"YNL096C"	-4.038	-6.106	-2.776	-3.041	-3.644	-4.096	-4.68
"YNL121C"	-1.1825	-4.5485	-1.09	-1.295	-1.056	-1.3065	-2.038
"YNL178W"	-4.338	-6.62	-2.899	-2.981	-2.958	-3.483	-3.871
"YNL181W"	-1.86	-3.847	-0.753	-0.888	-1.588	-2.16	-1.612
"YNL189W"	-2.367	-4.06	-1.33	-1.294	-2.058	-2.641	-3.084
"YNL220W"	-3.758	-6.09	-0.618	-1.771	-1.724	-2.555	-3.197
"YNL287W"	-2.621	-3.454	-0.779	-1.013	-2.186	-2.841	-3.164
"YOL095C"	-1.206	-2.059	-0.34	-0.007	-0.854	-1.242	-1.337
"YOR001W"	-1.861	-4.782	-1.027	-1.018	-1.551	-2.081	-2.136
"YOR144C"	-1.6665	-1.7115	-0.535	-0.77	-1.326	-1.655	-1.416
"YOR163W"	-1.226	-3.0605	-0.29	-0.809	-0.809	-1.31	-1.484
"YOR164C"	-2.555	-4.0095	-0.909	-1.072	-1.603	-1.956	-2.107
"YOR178C"	4.682	3.121	5.508	5.525	6.246	5.242	4.229
"YOR197W"	-1.971	-3.178	-0.675	-0.795	-1.165	-1.398	-1.64
"YOR198C"	-4.452	-5.562	-2.3	-2.828	-4.384	-4.657	-4.415
"YOR239W"	-3.232	-5.0985	-2.053	-2.15	-3.149	-3.934	-3.704
"YOR240W"	-2.8765	-3.6975	-1.773	-1.486	-2.693	-3.23	-2.674
"YOR253W"	-2.7935	-5.157	-1.139	-1.299	-1.872	-2.672	-2.633
"YOR272W"	-3.353	-4.712	-2.312	-2.009	-3.017	-3.307	-4.52
"YOR323C"	-4.2845	-6.434	-1.557	-1.382	-2.742	-3.497	-3.428
"YPL037C"	-3.9955	-5.417	-1.561	-1.872	-2.115	-3.222	-3.654
"YPL043W"	-2.4695	-3.79	-2.069	-2.134	-1.995	-2.623	-2.739
"YPL045W"	-1.05833333333333	-1.55366666666667	-0.083	-0.057	-0.9135	-0.6425	-0.8255
"YPL086C"	-2.5065	-5.552	-1.604	-1.418	-1.907	-1.958	-2.56
"YPL090C"	-4.364	-6.197	-2.833	-2.954	-3.292	-3.309	-4.719
"YPL118W"	-2.0295	-3.472	-0.317	-0.282	-1.32	-1.696	-1.807
"YPL195W"	-1.607	-4.488	-0.626	-0.938	-1.595	-1.621	-1.904
"YPL198W"	-4.3605	-6.879	-2.227	-2.449	-2.487	NaN	-3.133
"YPL226W"	-3.95033333333333	-5.67966666666667	-2.3985	-2.8955	-3.407	-2.9025	-3.983
"YPL243W"	-4.1455	-5.276	-1.377	-1.873	-2.602	-3.541	-3.544
"YPL256C"	-2.0795	-3.624	-1.548	-2.197	-1.257	-2.045	-2.444
"YPR033C"	-4.8805	-7.94	-2.096	-2.55	-3.951	-4.382	-4.54
"YPR074C"	-5.337	-5.42	-2.351	-3.162	-3.369	-3.61	-3.663
"YPR102C"	-4.045	-6.451	-2.723	-3.232	-3.352	-3.749	-4.692
"YPR118W"	-3.9965	-5.524	-2.594	-2.077	-2.882	-3.334	-3.538
"YPR141C"	-1.7215	-3.8215	-0.562	-0.62	-0.76	-1.202	-1.21
"YPR163C"	-2.9485	-5.4905	-2.05	-2.325	-2.642	-2.895	-2.82
