	"54.Elutriation2:Sample2:Time2.5hrs"	"107.heat shock 10 min"	"597.25 deg growth"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"7539.25C -- 90 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"21654..24 mM H2O2- 275 minutes"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YGL137W"	-0.018	-0.219	0.029	-1.359	-1.634	-2.113	-3.389	-0.209	-0.92	-0.784	-1.419	-0.346	-1.012	-1.197	-2.696	-3.038	-3.308	0.175	0.075	0.179	-0.018	-1.263	-0.928	-0.156	-0.762	0.572	-0.1875	-0.1365	-0.0895
"YGL207W"	0.343	-0.431	0.149	-0.737	-0.919	-2.137	-2.772	0.117	-0.755	-0.171	-0.532	-0.925	-1.089	-1.517	-2.2	-2.806	-2.861	0.076	0.132	0.239	-0.174	-0.862	-1.27	-0.076	0.214	NaN	-0.242	0.431	0.007
"YGL245W"	-0.083	-0.132	-0.272	-1.475	-2.145	-4.799	-6.655	0.313	-1.774	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	0.167	0.044	0.4	-0.601	-1.658	0.362	-0.332	-0.627	0.752	-0.29	-1.196	0.59
"YGR037C"	0.611	0.223	0.248	-1.659	-1.49	-3.63	-4.976	0.075	-1.063	-1.0	-1.298	-1.04	-1.612	-1.441	-1.964	-2.717	-2.416	-0.019	0.023	0.786	0.935	-1.319	-0.488	0.003	-0.898	1.33	-0.532	-1.227	-0.444
"YGR185C"	0.745	-0.9545	-0.072	-2.13	-2.168	-5.306	-6.361	0.248	-1.442	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.193	-0.14	0.592	-0.708	-2.438	-1.116	0.273	-0.102	1.048	-2.205	-2.277	1.056
"YGR285C"	0.486	-0.7635	0.208	-1.645	-1.67	-4.078	-6.1	0.297	-1.648	-1.332	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.045	-0.071	0.77	-1.025	-2.068	-1.682	0.35	-0.333	0.877	-1.851	-2.062	-0.415
"YHR123W"	0.057	0.48	-0.26	-1.555	-1.135	-3.763	-4.132	-0.286	-1.118	-1.492	-1.439	-2.046	-1.965	-2.024	-2.917	-2.775	-2.647	0.216	0.133	-0.304	0.235	-1.21	-0.332	-0.218	-0.423	0.506	-1.326	-1.55	0.466
"YHR179W"	0.061	0.6135	-0.587	-1.971	-1.311	-3.188	-4.68	-0.031	-1.089	-0.861	-1.054	-1.483	-1.236	-2.035	-3.086	-5.251	-4.091	0.131	0.057	-0.369	-1.26	-1.77	0.672	-0.108	0.359	1.2	-1.142	-1.757	0.145
"YIL078W"	0.003	-0.596	0.155	-2.498	-1.911	-5.192	-6.059	0.042	-2.282	-2.288	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	0.262	-0.049	0.828	-1.285	-2.348	-1.855	0.343	-0.776	-0.304	-1.189	-1.453	0.93
"YJL097W"	0.266	0.5095	-0.208	-1.604	-2.089	-2.596	-4.683	-0.005	-1.112	-0.608	-0.944	-1.483	-1.025	-1.409	-1.461	-2.558	-2.276	-0.121	0.098	0.023	0.555	-1.401	-0.552	-0.529	-0.7	-0.3605	-0.856	-1.1655	-0.2195
"YKL080W"	-0.436	-0.164	-0.055	-1.25	-1.469	-4.229	-5.94	0.308	-0.874	-0.756	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.249	0.206	0.655	-0.384	-1.244	-0.136	0.04	0.792	-0.456	-1.68	-2.233	0.217
"YLR060W"	0.675	-0.412	-0.081	-2.499	-2.849	-4.941	-5.967	0.39	-2.093	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	0.185	0.169	0.257	-0.882	-2.464	-1.534	0.393	-0.884	-0.912	-2.646	-3.346	0.883
"YLR100W"	-0.176	0.393	-0.004	-1.172	-1.003	-2.507	-4.853	0.285	-0.541	-0.696	-1.268	-1.167	-1.184	-1.09	-1.855	-2.159	-2.128	-0.036	0.168	0.197	0.394	-1.441	1.169	0.173	-0.29	-0.173	-1.095	-1.332	0.247
"YLR291C"	0.148	-1.057	-0.188	-1.482	-1.792	-3.037	-4.762	0.071	-1.324	-1.096	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	-0.088	-0.114	0.232	-0.632	-1.532	-1.5	-0.57	0.747	0.767	-1.555	-1.054	0.318
"YLR314C"	0.279	0.547	0.151	-1.783	-1.658	-2.218	-5.585	-0.109	-0.307	-0.846	-1.368	-1.023	-2.505	-2.761	-2.906	-3.447	-3.937	-0.137	0.141	-0.112	-0.252	-1.17	-0.984	-0.301	0.027	-0.367	-1.03	-1.259	-0.054
"YML064C"	-0.576	0.2	0.008	-1.739	-1.415	-2.421	-3.73	-0.217	-0.713	-0.962	-1.106	-1.274	-0.612	-1.432	-1.338	-1.457	-1.948	-0.017	0.113	0.055	-0.678	-0.947	0.129	0.142	0.316	0.434	-0.66	-1.512	-0.011
"YMR235C"	0.574	-0.829	0.266	-1.783	-1.785	-3.534	-5.187	0.321	-1.622	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.076	-0.147	0.392	-0.502	-1.782	-1.233	0.251	-0.361	1.449	-1.264	-1.301	0.299
"YMR237W"	0.163	-0.088	-0.029	-0.894	-1.08	-2.955	-4.233	-0.048	0.281	-0.21	-0.509	-0.68	-0.651	-0.65	-1.452	-1.947	-2.335	0.208	0.236	-0.437	0.313	-0.828	0.585	-0.153	-0.66	-0.942	-0.135	-1.306	0.212
"YNL026W"	-0.312	0.78	-0.146	-0.735	-1.046	-1.792	-4.57	0.148	0.0	-0.467	-0.633	-1.031	-0.536	-0.769	-1.742	-1.531	-1.966	0.238	0.28	-0.309	0.154	-0.402	-0.676	0.008	-0.238	0.044	-0.012	-1.077	0.448
"YOR175C"	-0.439	-0.28	0.034	-1.052	-1.0725	-2.083	-3.7925	-0.192	-1.1305	-1.012	-0.9665	-1.374	-0.806	-0.705	-1.33	-1.323	-1.64	0.154	0.163	-0.448	-0.0795	-0.956	-0.606	-0.246	0.374	-0.585	-0.413	-0.644	0.119
"YOR198C"	0.453	-0.917	0.386	-1.6725	-1.933	-4.452	-5.562	0.146	-0.8245	-1.185	-1.262	-0.9675	-2.3	-2.828	-4.384	-4.657	-4.415	0.126	0.065	0.483	0.31	-2.297	-1.284	0.122	-0.046	0.903	-2.015	-2.312	-0.963
"YOR209C"	0.054	-0.331	0.036	-1.2605	-1.766	-2.998	-6.004	0.269	-1.3455	-1.865	-1.647	-1.516	-0.906	-1.227	-1.897	-2.681	-2.954	-0.141	-0.237	0.047	0.037	-1.009	-0.975	-0.224	0.385	-0.297	-1.39	-0.873	-0.006
"YOR239W"	-0.093	-0.058	-0.194	-1.31	-2.145	-3.232	-5.0985	0.195	-0.9345	-1.0745	-1.633	-1.8425	-2.053	-2.15	-3.149	-3.934	-3.704	-0.172	-0.213	0.848	0.0215	-1.366	-1.752	-0.0915	0.5	-0.188	-0.439	-0.564	-0.823
"YOR323C"	0.242	0.287	-0.566	-1.941	-2.0305	-4.2845	-6.434	0.256	-1.9425	-2.061	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	0.071	0.159	0.034	-0.251	-1.603	-0.883	0.256	-0.593	0.146	-1.589	-1.584	0.149
"YOR326W"	-0.043	-0.698	-0.228	-1.329	-1.6295	-3.4635	-4.9875	0.363	-1.3825	-1.3315	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.198	0.257	0.525	-0.2195	-1.467	-1.037	0.356	-0.771	-0.59	-0.751	-1.621	0.056
"YPL037C"	0.804	0.205	0.303	-1.975	-2.12	-3.9955	-5.417	-0.065	-1.813	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	0.146	0.108	1.094	-0.8305	-1.648	-0.951	0.181	-0.799	0.134	-1.289	-0.859	-0.273
"YPL094C"	0.342	-0.998	0.183	-1.14	-1.143	-3.0415	-5.3055	0.0	-1.5125	-1.1815	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	-0.126	-0.2	0.613	0.385	-0.981	-1.253	-0.174	-0.681	0.694	-0.759	-1.436	-0.348
"YPL243W"	-0.062	-0.847	0.461	-1.456	-1.5805	-4.1455	-5.276	0.498	-1.0	-1.0065	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.092	-0.104	0.196	-0.768	-1.188	-0.279	-0.161	-1.391	-0.699	-1.355	-1.773	0.078
"YPR074C"	0.459	-1.021	-0.0895	-3.2975	-2.2945	-5.337	-5.42	-0.1345	-3.374	-2.2005	-3.7185	-4.2955	-2.351	-3.162	-3.369	-3.61	-3.663	-0.22	-0.268	0.734	-0.518	-3.132	-2.906	0.016	0.038	0.772	-1.997	-3.18	0.476
