	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"1313.diauxic shift timecourse: 20.5 hr"	"1674.Elutriation2:Sample2:Time5.5hrs"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"38155.03II01 batch p11"
"YDR037W"	0.529	0.404	0.146	-1.231	0.672	0.157	-0.576	-1.716	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-1.483	-3.226	-2.505	-2.756	-2.42	0.384	-0.01	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	-0.048	-0.155	1.441	0.041	-1.544	0.178	-0.292	0.385	-1.217	-2.523	-0.143	1.579	-4.284	-3.366	-2.4	0.794	-4.204	-3.541	-2.204	-3.047	0.027	-0.251	-1.103
"YFL037W"	-0.116	0.247	-0.485	-0.936	0.449	0.531	-0.595	-0.759	-0.972	-1.504	-0.525	-0.941	-2.235	-2.915	-3.125	-5.562	-0.655	-1.085	-1.354	-1.971	-1.476	-0.207	0.185	-0.89	-0.453	-1.132	-1.914	-1.322	-2.034	-1.369	-0.039	-0.465	0.26	0.495	0.01	-0.937	0.509	0.026	0.013	-0.45	-0.947	-0.234	1.315	-0.394	-0.955	-1.002	0.582	-0.36	-0.996	-0.769	-1.539	-0.084	-0.119	-0.66
"YGL105W"	0.522	0.463	-0.352	-0.997	0.547	0.032	-0.651	-0.742	-2.385	-1.577	-1.617	-1.427	-1.362	-1.984	-3.587	-6.011	-0.488	-1.482	-1.069	-1.68	-1.068	-0.097	-0.309	-2.334	-1.237	-1.41	-1.635	-1.622	-1.876	-2.025	0.235	-0.09	0.036	0.346	-0.168	-0.783	0.188	-0.254	0.307	-0.475	-1.57	0.495	0.579	-2.593	-2.406	-1.823	0.307	-1.217	-1.943	-1.688	-1.496	0.191	-0.157	-0.227
"YGL111W"	0.178	0.104	-0.493	-0.693	0.878	0.148	-0.608	-1.46	-3.668	-1.845	-1.719	-1.627	-1.26	-2.081	-2.589	-2.826	-1.62	-2.085	-1.026	-0.515	-1.589	0.059	-0.249	-2.617	-1.672	-1.665	-1.401	-2.167	-1.95	-2.363	0.18	-0.652	-0.07	-0.208	-0.085	-0.597	-0.38	0.233	-0.198	-0.868	-1.525	-0.192	-0.482	-2.663	-2.385	-1.839	0.081	-3.063	-1.924	-1.524	-1.047	0.004	-0.272	-0.232
"YGR185C"	0.745	0.264	0.289	-0.665	0.691	0.305	-0.608	-0.755	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.312	-1.442	-1.736	-2.6	-2.266	0.18	0.601	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.005	-0.052	-0.163	0.369	-0.196	-1.223	0.047	0.26	0.0675	-0.9955	-2.438	0.18	0.989	-3.17	-2.768	-2.136	0.197	-2.136	-2.312	-2.205	-2.277	0.404	0.217	-0.361
"YGR285C"	0.486	-0.159	0.506	-1.082	0.764	0.052	-1.078	-2.027	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-0.348	-1.648	-1.332	-1.877	-1.393	0.204	-0.199	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.256	0.255	-0.022	-0.07	-0.129	-1.56	0.048	-0.78	-0.0025	-1.4295	-2.068	0.173	1.433	-2.948	-2.607	-1.583	0.575	-2.323	-2.554	-1.851	-2.062	0.064	0.046	-0.679
"YHR068W"	0.453	0.104	-0.4605	-1.125	0.941	0.191	-0.728	-1.158	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-1.698	-2.873	-2.52	-2.526	-1.119	-0.048	0.452	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	0.04	-0.125	0.448	0.215	-0.65	-0.14	0.437	-0.0565	-1.4595	-2.29	0.576	1.046	-2.437	-2.467	-0.487	0.726	-2.406	-2.362	-1.8	-1.861	-0.018	0.087	-1.082
"YHR097C"	-0.53	-0.336	-0.0425	0.838	-1.413	-1.227	1.115	1.782	4.238	3.508	3.454	3.542	3.688	3.543	3.746	3.864	4.153	3.655	3.289	3.134	3.365	-0.802	0.396	2.362	2.442	3.179	2.502	4.25	4.791	4.791	-0.209	1.285	0.108	2.172	-0.083	1.061	0.379	-0.326	0.126	1.448	2.076	-0.571	1.162	4.249	3.689	2.751	0.932	3.646	3.725	3.049	3.252	-0.281	0.318	1.067
"YHR123W"	0.057	0.089	0.329	-0.716	-0.265	0.029	0.78	0.771	-1.168	-0.611	-0.799	-1.05	-1.555	-1.135	-3.763	-4.132	-1.172	-1.118	-1.492	-1.439	-2.046	0.05	0.453	-2.216	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	0.152	0.406	0.1	0.423	-0.267	-0.331	0.003	0.274	0.0655	0.177	-1.21	0.163	0.55	-1.868	-2.221	-1.45	0.09	-1.457	-2.231	-1.326	-1.55	0.455	0.593	-0.633
"YIL097W"	-0.551	-0.671	0.0685	0.766	-1.379	-0.641	1.009	1.462	3.652	2.439	2.393	2.036	2.507	2.43	3.556	1.438	2.729	1.732	2.315	1.786	1.294	-0.569	-0.292	2.356	1.47	2.0	2.636	2.674	2.268	1.763	-0.203	1.056	0.04	0.319	-0.053	1.835	-0.258	-0.055	-0.257	0.3415	1.203	-0.127	-0.219	2.145	1.491	1.067	-0.595	1.995	2.194	0.877	1.863	0.111	0.082	0.659
"YJL014W"	0.218	0.021	-0.258	-1.0	0.557	0.277	-0.087	-0.423	-1.884	-1.661	-1.298	-1.283	-1.494	-1.383	-2.624	-3.962	-0.715	-1.585	-1.866	-1.425	-1.317	0.022	0.183	-1.546	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	0.122	-0.171	-0.02	0.242	0.011	-0.555	0.397	0.116	0.1285	-0.561	-1.31	0.108	0.398	-2.007	-1.358	-1.024	0.289	-1.344	-1.416	-0.623	-0.89	0.243	0.109	-0.553
"YJL111W"	0.59	0.499	-0.2125	-0.828	0.527	1.147	-0.315	-0.035	-1.744	-1.717	-1.355	-1.285	-1.375	-1.323	-3.38	-6.57	-1.352	-1.929	-1.669	-1.796	-1.988	0.192	-0.155	-1.812	-1.403	-1.213	-1.305	-1.573	-1.994	-2.239	0.203	-0.216	0.018	0.203	0.16	-1.062	0.034	-0.203	0.1385	-0.4935	-1.728	0.178	0.317	-2.75	-2.343	-1.819	-0.249	-1.829	-2.027	-2.019	-0.964	0.515	0.323	-0.859
"YJL145W"	0.168	-0.223	0.079	0.019	0.504	0.168	-1.103	-1.45	-2.076	-1.698	-1.277	-0.742	-1.431	-2.509	-2.136	-3.628	-0.972	-1.713	-1.117	-1.336	-1.747	0.311	-0.13	-1.535	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.215	0.148	-0.167	0.374	-0.31	0.294	0.047	-0.171	-0.0215	-1.0165	-1.334	0.128	-0.265	-0.529	-0.792	-0.957	0.411	-1.581	-1.582	-1.22	-1.063	0.018	-0.127	-0.926
"YJL166W"	0.433	0.315	0.444	1.485	-0.349	-0.539	0.71	0.672	3.137	3.667	3.5	3.101	2.498	3.751	3.849	3.041	2.392	2.57	2.339	2.197	2.526	-0.003	0.715	3.028	2.833	2.507	2.963	3.264	3.664	3.32	0.096	0.578	0.066	NaN	0.054	1.383	0.486	0.28	0.3455	0.7645	1.113	-0.553	0.02	4.107	3.65	3.802	0.05	2.806	3.428	3.524	3.809	0.399	0.405	1.427
"YJL179W"	0.004	0.096	-0.082	-0.276	0.455	0.076	0.096	-0.416	-1.056	-1.704	-0.966	-1.471	-1.103	-1.235	-2.457	-4.843	-0.907	-1.417	-1.763	-1.397	-1.35	0.165	-0.389	-1.603	-1.077	-0.995	-0.977	-1.17	-1.585	-0.391	0.09	0.444	-0.057	0.415	-0.368	0.091	-0.365	-0.087	0.106	-0.361	-0.813	0.337	-0.655	-1.241	-1.288	-0.564	-0.161	-1.339	-1.722	-1.504	-1.672	-0.431	-0.362	-0.385
"YJL192C"	-0.125	-0.055	-0.2955	-0.097	0.574	0.362	-0.074	-0.088	-0.432	-0.896	-0.752	-0.943	-1.258	-1.255	-3.649	-4.214	-1.215	-0.886	-0.861	-1.29	-1.458	0.052	0.575	-1.028	-0.659	-1.289	-0.942	-1.68	-2.446	-1.599	0.093	-0.048	0.07	0.144	-0.226	-1.037	0.049	0.125	0.018	-0.3055	-1.156	0.17	-0.363	-0.712	-1.089	-0.721	0.184	-0.9	-1.259	-1.415	-1.659	0.386	0.229	-0.465
"YJR007W"	0.357	0.265	0.329	-0.919	0.742	0.046	-0.626	-0.953	-2.169	-1.704	-1.629	-2.107	-1.68	-2.662	-3.21	-8.057	-1.092	-1.588	-1.339	-1.824	-1.91	0.087	0.192	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.148	-0.156	0.096	0.262	-0.174	-1.17	-0.342	0.028	0.099	-0.8075	-1.685	0.105	0.468	-2.064	-2.16	-1.818	-0.235	-1.742	-1.44	-1.636	-1.386	0.498	0.188	-0.768
"YJR064W"	0.408	0.413	-0.1135	-0.869	0.68	0.244	-0.156	-0.573	-3.248	-2.118	-1.695	-2.216	-1.854	-2.589	-1.931	-4.297	-2.012	-2.003	-2.214	-1.978	-1.919	0.051	-0.032	-2.119	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	-0.035	-0.321	0.023	0.122	0.142	-1.008	0.126	-0.603	0.09	-0.4	-1.762	0.086	-0.464	-1.981	-1.001	-0.402	0.259	-1.421	-1.607	-1.108	-1.435	0.087	0.05	-1.682
"YJR105W"	0.792	0.616	0.508	-1.158	0.563	0.648	-1.04	-1.207	-2.77	-1.093	-1.685	-1.401	-1.891	-2.819	-1.424	-4.641	-1.22	-2.087	-1.587	-2.56	-2.033	0.015	0.079	-1.343	-1.292	-1.307	-1.709	-1.362	-1.023	-1.04	0.239	0.036	-0.234	0.56	0.089	-0.691	0.511	-0.456	0.045	-0.98	-0.87	0.093	-0.429	-2.371	-1.138	-1.597	-0.1	-2.447	-1.661	-1.64	-2.373	0.663	0.534	-0.936
"YKL024C"	-0.185	-0.15	-0.2955	-0.986	0.765	0.202	-0.544	-0.521	-2.211	-1.535	-1.404	-1.438	-1.278	-1.678	-2.025	-5.4	-1.136	-1.547	-1.696	-1.45	-2.036	0.575	0.379	1.064	0.234	-0.007	0.133	-0.542	-1.239	-1.798	-0.087	-0.154	-0.547	0.547	0.256	-0.544	-0.005	0.057	-0.007	-1.021	-1.279	0.363	0.648	-1.628	-1.143	-1.034	-0.28	-1.568	-2.021	-1.027	-1.352	0.432	0.285	-0.571
"YKL073W"	0.292	0.173	-0.037	-0.814	-0.087	0.293	1.573	1.468	-1.767	-1.697	-1.279	-0.85	-0.732	-0.623	-2.672	-3.282	-0.974	-1.348	-1.282	-1.264	-1.963	-0.22	0.032	-1.805	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	-0.071	0.414	0.09	-0.3	0.283	-0.915	-0.012	0.087	0.183	-0.3395	-0.838	0.019	0.272	-2.546	-1.74	-1.566	-0.075	-1.835	-1.673	-1.506	-1.478	0.372	0.271	-0.294
"YKL154W"	-0.216	-0.118	0.174	-0.144	0.727	0.221	0.106	-0.336	-1.585	-1.703	-1.223	-1.327	-1.486	-1.312	-2.701	-3.89	-1.526	-1.149	-1.358	-1.136	-0.702	0.345	0.119	-2.099	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	0.041	-0.209	0.156	-0.805	-0.771	-0.721	0.303	-0.01	0.075	-0.165	-1.175	-0.126	-0.86	-2.361	-2.137	-1.684	-0.336	-2.702	-2.572	-1.419	-1.102	0.089	-0.077	-0.306
"YKL172W"	0.844	0.002	0.188	-0.071	1.071	-0.494	-0.974	-2.224	-4.354	-2.219	-1.661	-1.733	-1.845	-1.457	-2.813	-5.305	-2.106	-2.545	-1.257	-1.964	-1.426	0.527	-0.341	-3.248	-1.664	-1.613	-2.079	-2.271	-2.723	-3.135	0.072	-0.275	0.294	-0.452	-0.812	-1.101	-0.7	0.239	-0.063	-1.183	-1.592	0.144	-0.574	-2.694	-2.344	-1.554	-0.393	-3.42	-2.734	-1.952	-1.96	-0.21	-0.559	-0.807
"YLR060W"	0.675	0.45	0.419	-1.157	0.614	0.175	-0.552	-0.761	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-1.197	-2.093	-1.988	-2.672	-2.566	0.317	0.483	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.136	0.095	0.255	0.212	-1.817	0.292	-0.082	0.076	-0.708	-2.464	0.077	0.644	-2.734	-2.666	-1.403	0.232	-2.64	-2.996	-2.646	-3.346	-0.169	-0.12	-2.153
"YLR293C"	0.773	0.761	0.682	-1.282	0.877	0.327	-0.733	-1.011	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-0.951	-2.107	-1.751	-2.233	-2.661	0.117	0.416	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	0.069	-0.238	0.495	0.357	-1.392	0.203	-0.083	0.168	-0.733	-2.235	0.801	0.508	-3.113	-2.525	-1.847	0.468	-2.822	-2.422	-1.899	-2.582	0.543	0.597	-0.795
"YLR314C"	0.279	0.201	-0.867	-0.501	0.098	0.063	0.221	-0.292	-0.76	-0.873	-0.356	-0.859	-1.783	-1.658	-2.218	-5.585	0.322	-0.307	-0.846	-1.368	-1.023	-0.141	-0.29	-2.781	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.128	-0.219	0.095	0.271	-0.414	-0.851	0.575	-0.178	0.203	-0.07	-1.17	0.073	0.235	-1.633	-1.957	-2.039	0.025	-0.79	-1.746	-1.03	-1.259	0.01	0.023	-0.668
"YML008C"	0.061	0.079	-0.669	-1.234	0.364	0.492	-1.096	-1.443	-2.795	-2.419	-1.034	-0.545	-0.575	-2.236	-4.23	-4.829	-0.993	-1.558	-1.093	-1.94	-1.09	0.471	-0.079	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.143	0.61	-0.392	1.045	0.346	-1.366	-0.033	0.05	0.296	-1.144	-1.469	0.012	0.662	-3.199	-2.808	-2.562	0.521	-2.241	-2.487	-2.113	-3.059	0.104	0.108	-0.966
"YML074C"	0.093	0.16	-0.031	-0.67	-0.024	-0.522	-0.301	-0.623	-2.476	-2.119	-1.152	-1.538	-0.951	-2.161	-2.837	-5.319	-0.737	-1.258	-1.23	-1.664	-0.962	0.186	-0.055	-1.88	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	0.234	0.163	0.045	0.699	0.094	-0.829	-0.136	0.128	0.124	-0.69	-1.767	0.247	0.322	-1.353	-1.494	-1.074	0.243	-1.384	-1.274	-1.659	-1.561	0.11	-0.046	0.043
"YMR114C"	-0.481	-0.413	-0.35	0.604	-0.848	-0.471	0.219	0.384	2.727	2.543	2.068	3.029	2.847	2.327	4.1	4.572	2.302	2.095	2.582	2.58	2.319	-0.564	-0.742	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.0	0.617	-0.105	-0.099	-0.249	1.676	-0.175	-0.085	-0.008	0.429	1.879	1.001	-0.378	2.623	2.896	2.416	0.111	2.454	2.753	2.047	2.229	-0.949	-0.593	1.433
"YMR123W"	0.408	0.46	0.305	-1.091	0.578	0.163	-0.553	-0.636	-3.098	-1.897	-1.503	-2.225	-2.491	-2.616	-2.374	-3.061	-1.409	-2.235	-1.468	-1.286	-1.465	0.444	0.311	-0.767	-1.385	-1.907	-1.372	-1.615	-1.137	-1.512	0.152	-0.103	-0.13	0.752	-0.369	-0.998	0.148	0.176	0.044	-0.579	-1.653	0.219	-0.375	-2.52	-1.331	-1.183	0.312	-1.533	-1.272	-0.879	-0.6	-0.344	-0.027	-0.431
"YMR202W"	0.238	0.444	0.217	-1.995	0.617	0.647	-0.637	-1.517	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.019	-1.983	-1.581	-1.907	-1.33	0.309	0.323	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	0.098	0.376	-0.24	1.009	-0.194	-1.294	0.211	-0.338	0.102	-1.371	-1.541	0.43	-0.48	-3.376	-2.583	-2.939	0.099	-3.34	-2.624	-2.11	-1.758	0.553	0.318	-0.916
"YMR206W"	-0.431	-0.134	-0.339	1.33	-1.409	-1.044	-1.298	-1.033	5.096	5.169	3.275	4.362	3.877	2.807	3.162	3.714	3.54	4.576	4.842	3.871	3.132	-0.389	-0.961	2.814	1.753	2.511	2.652	3.484	3.712	3.871	-0.076	0.811	0.052	1.379	-0.132	2.575	0.579	0.392	-0.524	0.182	3.1365	0.066	-0.974	2.638	5.044	2.713	-0.56	5.241	5.047	3.103	4.036	-0.095	-0.1	1.052
"YMR235C"	0.574	0.144	0.274	-1.348	0.731	-0.012	-0.501	-0.56	-1.54	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-0.945	-1.622	-1.883	-1.879	-2.052	0.052	0.426	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	-0.176	-0.086	0.328	0.015	-0.992	0.157	0.451	-0.11	-1.014	-1.782	0.13	0.241	-1.798	-1.514	-1.305	0.526	-1.982	-1.573	-1.264	-1.301	0.271	0.153	-1.193
"YNL062C"	0.331	0.229	-0.476	-0.383	0.899	0.356	-0.492	-1.093	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-1.298	-2.304	-2.254	-1.829	-2.065	0.032	-0.502	-2.028	-1.559	-1.91	-1.803	-1.717	-2.639	-2.206	0.077	-0.615	-0.356	-0.316	0.012	-0.73	-0.188	-0.198	-0.016	-0.813	-1.7035	-0.044	-1.274	-2.698	-2.338	-1.801	-0.341	-2.838	-2.509	-1.871	-2.066	0.385	0.088	-1.33
