	"56.Elutriation2:Sample2:Time3.5hrs"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"992.constant 0.32 mM H2O2 (160 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1666.CLN3 induction 40 minutes"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13490.Y5 mRNP vs. Poly"	"13496.G0 mRNP vs. Poly"	"14946.Hydrostatic pressure (C2 vs P2)"
"YDL125C"	0.2955	0.576	0.146	-0.011	0.122	-0.033	0.202	0.621	0.218	0.123	-0.109	0.407	1.014	1.212	0.623	0.349	0.2	0.195	-2.055	-0.312	0.081	0.179	-0.15	-0.328	1.559	1.002	0.694	1.403	0.97	1.025	-0.07	0.211	0.513	0.499	0.132	-0.296	0.507	0.25	0.306	0.515	0.079	0.246	-1.738	-0.723	0.404
"YDL136W"	0.1675	-1.412	-1.059	-1.453	-1.131	-1.671	-2.097	-2.258	-0.437	-0.548	-1.081	-2.487	-2.162	-1.881	-1.898	-1.505	-1.663	-1.969	-3.398	-1.87	-2.561	-2.366	-0.478	-0.509	-3.134	-1.775	-1.594	-1.555	-1.233	-1.094	-1.756	-0.022	0.026	0.348	0.22	-1.25	0.366	0.2	0.348	0.366	-2.1345	-2.185	-1.289	0.041	0.298
"YDR025W"	0.514	-1.598	-1.899	-2.141	-1.495	-2.0	-3.031	-3.248	-1.096	-0.98	-1.477	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-2.477	-3.357	-3.356	0.07	-0.438	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.198	0.084	0.6895	-0.035	-1.781	-0.652	-0.366	-0.448	-0.451	-1.7675	-3.042	-1.233	-0.104	0.0
"YDR417C"	0.639	-1.534	-1.693	-2.075	-1.309	-1.608	-2.715	-3.361	-1.059	-0.787	-1.469	-3.705	-2.778	-2.992	-2.407	-2.511	-3.327	-4.279	-5.062	-2.509	-3.58	-3.209	0.154	-0.137	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.349	0.341	-0.988	0.078	-1.829	-0.012	-0.111	-0.014	-0.093	-2.149	-2.642	-1.811	0.801	0.816
"YDR418W"	1.063	-1.733	-1.909	-1.94	-1.868	-1.617	-2.789	-3.411	-0.801	-0.431	-1.558	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-2.231	-3.315	-3.181	-0.692	NaN	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.275	0.243	-0.066	0.253	-1.816	-0.095	-0.097	-0.009	-0.159	-2.345	-2.74	-1.666	0.606	0.488
"YDR507C"	0.575	-1.598	-1.489	-2.097	-0.101	-1.0	-1.721	-1.926	-1.065	-0.749	-1.103	-3.229	-1.03	-0.143	-0.691	-0.795	-1.28	-2.939	-1.493	-0.374	-0.805	-1.084	0.29	0.407	-2.127	-1.263	-1.576	-2.121	-1.959	-1.473	-1.836	0.268	0.109	-0.24	-0.248	-1.099	-0.009	0.16	0.1	-0.138	-0.943	-1.508	1.183	0.969	0.015
"YER0561C"	0.662	-1.586	-1.678	-2.016	-1.404	-1.532	-2.355	-2.665	-0.975	-1.001	-1.445	-3.641	-3.229	-3.765	-2.805	-2.118	-2.571	-2.974	-4.828	-2.334	-3.09	-2.762	0.437	0.07	-4.549	-2.208	-2.275	-2.538	-2.398	-2.784	-3.617	0.417	0.134	-0.015	0.262	-1.51	0.17	0.039	0.153	0.147	NaN	-2.13	-1.41	-0.897	0.012
"YER074W"	0.548	-2.046	-1.99	-2.01	-1.682	-1.938	-2.762	-3.205	-1.018	-0.48	-1.545	-3.675	-3.209	-3.607	-2.262	-2.096	-2.671	-3.067	-3.854	-2.139	-3.085	-3.135	0.004	-0.161	-5.146	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	0.235	0.056	-0.181	0.089	-1.546	0.046	-0.059	0.246	0.229	-2.253	-2.679	-1.614	-0.394	0.225
"YER168C"	0.044	-0.497	-0.666	-0.587	-0.462	-0.306	-0.371	-0.772	-0.161	0.008	-0.03	-0.701	-0.611	-0.967	-0.591	-0.938	-1.34	-1.452	-1.886	-0.337	-0.848	-0.734	0.082	-0.06	-0.573	-0.682	-0.714	-0.904	-0.801	-1.806	-2.032	0.363	0.131	NaN	-0.172	-0.177	0.365	0.408	0.324	0.17	-0.8	-0.459	-0.277	-0.661	-0.09
"YFR031BC"	0.415	-1.637	NaN	-2.494	-1.317	-2.027	-3.278	-3.975	-1.335	-1.102	-1.592	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-2.484	-3.328	-3.949	-0.285	-0.401	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	0.333	0.501	0.156	-0.05	-2.031	0.025	-0.229	0.036	0.364	-2.438	-3.021	-0.914	0.634	0.253
"YGL102C"	0.851	-1.212	-1.346	-1.538	-1.406	-1.384	-2.074	-2.584	-0.538	-0.874	-0.91	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-3.301	-3.227	-0.228	-0.369	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	0.09	-0.065	-0.064	0.231	-1.704	0.257	0.162	0.193	0.107	-2.146	-2.437	-1.302	0.118	-0.065
"YGL123W"	1.042	-1.71	-2.094	-2.557	-1.674	-2.339	-3.47	-4.378	-1.363	-1.165	-1.622	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.013	-4.112	-3.654	0.351	-0.06	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.174	0.417	-0.397	0.027	-2.265	-0.145	-0.201	-0.32	-0.118	-2.357	-3.308	-0.774	1.023	0.713
"YGR034W"	0.261	-2.251	-2.125	-2.191	-1.353	-2.26	-3.059	-2.884	-1.764	-1.034	-1.369	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-3.268	-2.935	0.105	-0.259	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	0.043	-0.197	-0.924	0.049	-1.567	-0.189	-0.159	-0.031	0.033	-1.469	-2.708	-2.019	-0.547	0.453
"YGR118W"	0.496	-1.5195	-1.543	-1.6645	-1.433	-1.6245	-2.6185	-3.085	-0.927	-1.024	-1.469	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.128	-2.458	-2.209	-0.388	-0.375	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.496	0.374	0.264	0.229	-1.724	0.685	0.409	0.401	0.482	-2.095	-2.633	-0.9	-0.859	0.502
"YHL033C"	0.777	-1.82	-2.2405	-2.059	-1.579	-1.953	-3.0445	-3.793	-0.674	-1.567	-1.7785	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-2.118	-3.056	-3.153	0.466	0.159	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.414	0.315	0.065	0.08	-1.8865	0.053	-0.077	0.07	-0.122	-1.956	-3.1585	-0.903	1.052	0.856
"YHR203C"	0.946	-1.486	-1.5815	-2.0645	-1.586	-1.915	-2.8785	-3.5975	-0.834	-1.34	-1.815	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-2.51	-3.917	-3.774	0.032	-0.252	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.39	0.45	0.906	0.264	-1.9665	-0.113	-0.224	-0.227	-0.314	-2.302	-2.809	-1.738	1.28	0.642
"YHR216W"	0.599	-1.6175	1.047	-1.8525	-1.1765	-1.571	-1.9425	-2.8755	-0.71	0.045	-1.653	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-1.841	-1.762	-2.914	-0.051	-0.173	-2.554	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	0.363	0.444	-0.211	0.163	-1.95	-0.143	-0.046	0.057	0.1	-1.783	-2.9045	0.904	0.85	0.288
"YIL018W"	0.849	1.619	-2.245	-2.4325	-1.4745	-2.2685	-3.509	-3.965	-1.381	-1.189	-1.7325	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-3.362	-3.505	-0.2235	-0.491	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.361	0.271	-0.065	-0.233	-2.158	0.069	-0.051	-0.005	0.159	-2.495	-3.4165	-1.178	0.701	0.642
"YIL052C"	0.596	-2.0235	-1.6215	-2.1565	-1.9465	-1.989	-2.7275	-2.972	-1.116	-1.381	-1.4375	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.539	-2.82	-2.793	0.2645	-0.0785	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.491	0.076	-0.028	0.24	-1.7635	0.051	-0.012	0.178	0.101	-1.743	-2.531	-1.653	-0.333	-0.188
"YJL109C"	-0.476	-2.39833333333333	-1.45633333333333	-2.722	-1.614	-2.64066666666667	-3.525	-3.447	-2.585	-1.3855	-0.805666666666667	-2.165	-1.7305	-1.4565	-1.5415	-0.849	-1.647	-2.408	-2.278	-0.8495	-1.698	-1.466	-0.054	0.2315	-3.828	-2.2595	-2.532	-2.726	-3.225	-3.2785	-3.3735	-0.028	0.143	0.094	-0.025	-0.630333333333333	-0.5325	-0.202	-0.3985	-0.2065	-1.6855	-3.01866666666667	0.785	0.6635	0.137
"YJL148W"	-0.26	-2.7525	-2.493	-2.695	-1.757	-2.0075	-3.2015	-2.403	-2.156	-1.158	-0.833	-3.572	-2.334	-2.266	-1.974	-2.226	-1.709	-2.742	-4.104	-1.997	-3.006	-1.938	0.055	-0.168	-3.662	-2.646	-2.572	-2.639	-2.998	-3.352	-3.666	0.153	-0.001	0.649	-0.06	-0.902	0.21	0.357	0.358	0.392	-1.839	-2.967	0.884	0.098	0.466
"YJL177W"	0.489	-2.0	NaN	-2.4035	-1.5595	-2.211	-3.2765	-3.7865	-1.397	-1.134	-1.6385	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-3.409	-3.772	0.012	-0.23	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.391	0.33	-0.007	0.25	-1.9425	0.067	-0.019	-0.016	0.057	-2.348	-3.293	-1.487	0.218	0.653
"YJL190C"	0.515	-2.166	-2.292	-2.525	-1.748	-2.8085	-3.022	-3.838	-1.283	-0.854	-1.701	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-3.969	-3.744	-0.294	-0.3	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.177	-0.081	0.499	0.048	-2.0875	-0.082	-0.492	-0.012	0.14	-2.43	-3.7855	-1.493	0.128	0.902
"YJR124C"	0.138	-1.283	-1.2985	-1.4675	-0.9325	-1.5085	-1.791	-1.5635	-1.358	-0.294	-0.5625	-2.856	-1.786	-1.605	-1.729	-2.069	-2.068	-2.359	-2.412	-0.72	-1.609	-1.648	0.277	-0.152	-2.346	-1.581	-1.778	-1.7	-1.401	-1.723	-2.242	-0.04	0.071	0.7	0.009	-0.5645	-0.25	-0.277	-0.039	-0.405	-1.727	-1.332	-0.011	-0.074	-0.028
"YKL137W"	-0.035	-0.08	0.362	0.29	-0.271	-0.193	-0.257	0.0	0.092	0.133	0.427	1.361	0.992	0.793	-0.616	-0.328	-0.762	-0.261	-1.049	0.041	0.688	0.997	0.719	0.377	0.447	-0.205	-0.052	0.132	-0.052	-0.104	-0.689	0.216	0.256	0.724	0.007	0.176	0.042	0.058	0.034	0.061	-0.421	0.38	-0.647	-0.681	-0.74
"YKL180W"	0.732	-1.731	-1.949	-1.947	-1.228	-2.16	-2.81	-3.531	-0.954	-0.807	-1.763	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-2.625	-3.204	-0.119	-0.21	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.09	0.147	0.295	0.469	-2.01	0.391	0.041	0.329	0.19	-2.393	-3.37	-1.345	0.162	0.664
"YLL044W"	0.871	-1.737	-2.245	-2.526	-1.821	-2.196	-3.582	-4.162	-1.173	-1.909	-1.796	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-3.313	-3.031	-0.264	-0.618	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.327	0.229	-0.299	-0.086	-1.906	0.031	0.0	-0.213	-0.205	-2.227	-3.517	-1.021	1.036	0.905
"YLL045C"	1.063	-1.746	-2.108	-2.105	-1.781	-2.319	-3.116	-3.722	-0.961	-1.667	-1.721	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-3.169	-3.335	0.005	-0.327	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.243	-0.047	0.426	0.223	-1.965	0.23	0.123	0.182	-0.061	-2.165	-3.545	-0.814	0.739	0.901
"YLR042C"	-0.238	-0.869	-0.932	-1.287	-0.163	-0.957	-1.261	-2.0	-0.459	0.032	-0.91	-1.238	-1.725	-0.573	-0.838	-1.036	-0.952	-1.336	-1.288	-0.277	-1.152	-1.356	-0.139	-0.318	-0.376	-1.466	-0.994	-1.866	-1.896	-1.299	-1.788	0.049	-0.183	0.421	-0.09	-0.803	-0.521	-0.682	-0.418	-0.485	-1.736	-1.317	0.221	-0.014	0.322
"YLR061W"	0.312	-1.678	NaN	-2.212	-1.602	-1.901	-3.322	-3.851	-1.577	-1.104	-0.693	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-2.641	-3.239	-3.818	-0.084	-0.166	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.518	0.144	0.186	0.078	-0.817	0.156	0.033	0.142	0.164	-2.482	-2.697	-1.556	-0.619	0.216
"YLR197W"	-0.151	-4.98	-4.31	-4.044	-2.606	-3.638	-4.76	-5.179	-3.466	-2.02	-1.737	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-3.899	-3.238	0.408	0.319	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.494	0.467	0.67	0.131	-1.878	0.348	0.412	0.328	0.333	-2.488	-5.072	0.381	0.51	1.062
"YLR198C"	0.095	-4.57	-4.094	-4.694	-2.132	-3.371	-4.643	-4.805	-3.07	-2.013	-1.561	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.745	-3.401	-3.057	-3.471	-3.106	0.456	0.457	-5.282	-2.521	-3.21	-3.479	-3.841	-4.919	-4.589	0.362	0.13	-1.141	0.231	-1.735	0.459	0.442	0.529	0.457	-2.698	-4.143	0.531	-0.033	1.038
"YLR325C"	0.216	-1.897	-1.784	-1.721	-1.114	-1.92	-2.61	-3.056	-0.906	-1.144	-1.335	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-2.676	-3.178	-3.753	0.249	-0.126	-4.948	-2.81	-2.802	-3.314	-1.609	-1.204	-2.637	0.102	0.215	0.541	0.292	-1.619	-0.098	-0.106	-0.187	0.542	-2.253	-2.735	-1.384	-0.961	0.139
"YLR331C"	-0.26	-0.031	-0.308	-0.172	0.167	0.036	0.69	0.432	0.148	0.032	0.208	0.604	-0.145	-0.372	-0.769	0.021	-4.17	-0.346	-1.908	0.201	0.298	0.442	0.349	0.018	1.17	-0.476	-0.311	-0.062	0.227	0.141	-0.351	0.116	0.086	1.572	0.249	0.16	-0.318	-0.097	-0.008	0.199	-0.171	0.377	1.694	0.271	-0.208
"YLR432W"	0.632	-1.268	-1.979	-2.203	-0.964	-1.608	-2.432	-3.062	-0.807	-0.042	-1.625	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-1.881	-2.412	-2.49	-0.165	-0.266	-2.585	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	0.424	0.419	0.204	0.228	-1.779	-0.151	-0.052	-0.061	0.021	-1.904	-3.251	0.855	1.039	0.359
"YLR448W"	0.661	-1.853	-1.909	-2.009	-1.44	-1.814	-2.821	-3.482	-1.357	-0.839	-1.538	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-2.157	-3.425	-3.454	-0.23	-0.437	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.394	0.044	-0.403	0.011	-1.725	-0.059	-0.056	-0.08	-0.167	-2.337	-2.983	-2.229	0.486	0.38
"YLR449W"	-0.073	-3.266	-3.157	-2.903	-1.724	-3.009	-3.738	-3.97	-1.984	-1.719	-1.046	-6.206	-3.515	-3.262	-2.978	-2.79	-3.758	-5.497	NaN	-3.248	-2.597	-2.104	-0.536	-0.45	-3.782	-2.95	-3.268	-3.547	-3.6	-4.626	-3.56	0.02	0.0	0.757	0.26	-1.572	0.231	0.094	-0.002	-0.062	-2.199	-4.241	1.728	-0.174	1.186
"YMR242C"	0.515	-2.278	-2.248	-2.539	-1.544	-1.639	-3.309	-3.708	-1.705	-1.34	-1.649	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	0.041	-0.25	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.362	0.212	-0.762	0.442	-1.855	-0.026	-0.048	0.069	0.118	-2.4615	-3.054	-1.64	0.614	0.46
"YNL069C"	0.447	-1.415	-1.674	-1.976	-1.761	-1.954	-2.865	-3.347	-0.811	-0.575	-1.57	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-3.44	-3.85	-0.106	-0.315	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	-0.048	-0.005	0.006	0.164	-1.726	0.215	0.072	0.408	0.262	-2.137	-2.91	-1.393	0.683	0.503
"YNL096C"	0.043	-1.989	-1.724	-2.093	-1.409	-1.957	-2.881	-3.202	-1.699	-1.018	-1.149	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.454	-3.331	-3.045	0.135	-0.233	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.185	0.069	-1.048	-0.057	-1.523	-0.231	-0.312	-0.405	-0.312	-2.8625	-2.812	-0.942	0.106	0.303
"YNL162W"	0.316	-2.024	-1.886	-2.384	-1.359	-1.97	-3.17	-3.58	-1.819	-0.808	-1.102	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-2.86	-2.872	-0.368	-0.526	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.276	-0.348	0.0	-0.03	-1.403	0.12	0.028	-0.006	0.199	-1.852	-2.998	-2.144	-0.112	0.148
"YOR051C"	-0.515	-1.928	-1.726	-2.004	-1.299	-1.343	-2.226	-2.292	-0.0705	-0.413	-0.731	-3.736	-0.413	-2.494	-1.255	-0.754	-1.343	-1.6745	-0.839	-0.8155	-1.039	-1.603	-0.509	-0.481	-3.749	-2.383	-2.551	-3.163	-3.34	-3.704	-3.402	0.307	0.297	-0.07	0.046	-1.073	0.433	0.184	0.013	0.017	-2.272	-2.402	1.094	0.424	0.663
"YOR243C"	-0.217	-3.594	-2.991	-3.234	-2.239	-2.436	-3.633	-3.982	-2.5655	-1.5515	-1.168	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-2.1815	-0.441	-0.247	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	0.211	0.308	-0.171	-0.005	-1.245	0.261	0.255	0.121	-0.021	-1.712	-4.099	0.132	0.672	0.837
