	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"8195.steady state 21 dec C"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"12744.heat shock 17 to 37, 20 minutes"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34357.batch 02X25 1"	"38149.03II01 batch p5"	"38150.03II01 batch p6"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"44524.first half PM prep, array 2"
"YDR516C"	3.245	3.346	3.637	2.518	2.501	-1.075	2.125	0.292	3.26	1.983	0.696	-0.4	-1.039	0.138	-0.265	1.053	-0.149	2.996	1.637	1.153	2.289	2.284	3.694	2.42	4.37	3.235	2.456	-0.926	0.492	0.968	-0.299	0.36
"YEL026W"	-3.104	-3.214	-3.603	-2.647	-2.87	-4.755	-2.741	-0.781	-3.518	-3.331	0.648	0.145	-0.214	-0.1	0.176	-1.279	0.267	-3.194	-1.0135	-1.148	-1.374	-1.209	-3.877	-2.787	-3.527	-2.617	-2.218	0.522	0.47	0.621	0.316	0.854
"YER053C"	2.753	2.329	5.109	4.471	4.23	0.29	2.898	0.959	2.992	5.592	1.196	-0.093	-0.254	0.355	-0.441	1.588	0.323	2.348	1.926	1.024	2.48	2.199	4.334	3.745	4.803	3.805	3.368	-1.092	-0.854	-0.299	0.683	-0.831
"YGL076C"	-2.744	-3.119	-3.969	-3.136	-2.73	-5.667	-2.396	-1.338	-3.32	-4.142	0.282	0.077	-0.078	-0.013	0.434	-2.239	-0.8	-2.656	-2.94466666666667	-1.33733333333333	NaN	-0.463	-4.003	-3.509	-3.347	-3.315	-2.544	0.692	-1.174	0.413	1.592	0.489
"YGR027C"	-1.968	-2.341	-3.433	-2.572	-1.843	-5.39	-2.445	-0.567	-3.005	-4.002	0.258	-0.121	-0.126	0.015	0.902	-1.673	0.348	-2.069	-1.4035	-0.8735	0.519	0.546	-2.956	-3.132	-3.188	-2.624	-2.011	0.732	-0.392	0.789	0.02	0.777
"YGR085C"	-2.966	-3.664	-3.713	-3.301	-2.511	-6.059	-2.19	-1.043	-3.071	-4.359	0.252	-0.037	0.081	0.137	0.353	-1.876	0.323	-2.908	-1.244	-1.237	NaN	-0.859	-4.004	-2.792	-3.45	-3.003	-2.048	0.876	0.189	0.622	0.909	1.507
"YGR127W"	2.161	2.077	2.335	1.652	1.856	-1.314	0.892	0.377	1.786	1.893	0.439	0.082	0.288	-0.153	0.36	1.094	-0.067	2.175	0.6995	0.7095	1.416	1.19	2.508	1.709	2.788	2.319	1.811	-0.819	-0.209	0.042	0.014	-0.285
"YGR194C"	2.773	2.7325	4.003	2.833	2.612	-1.598	2.469	0.359	2.62	1.244	0.798	0.054	-0.271	-0.339	-0.524	0.93	-0.394	3.219	1.125	0.369	1.238	NaN	3.239	2.701	4.12	2.96	2.149	-0.675	0.086	0.491	-0.691	-0.059
"YHR087W"	5.929	6.501	3.602	3.744	2.307	0.859	3.776	0.059	2.8	2.42	0.955	0.932	-0.073	-0.348	-1.18	1.846	-0.548	6.1195	2.385	2.274	2.962	3.706	6.108	4.15	5.778	4.259	3.36	-1.382	-1.119	0.599	-0.794	-0.436
"YHR203C"	-2.8785	-3.5975	-3.926	-2.827	-3.148	-5.944	-2.51	-1.473	-3.917	-4.669	0.863	-0.331	-0.441	-0.193	0.672	-1.982	-0.29	-2.809	-2.823	-2.058	-1.743	-1.453	-4.467	-3.308	-3.717	-3.449	-2.785	0.635	0.157	1.409	-0.288	1.691
"YIR026C"	-3.1245	-3.013	-4.983	-2.403	-2.432	-4.724	-2.815	-1.327	-2.112	-0.988	0.132	0.089	-0.026	-0.275	0.242	-1.332	-0.159	-2.938	-0.378	-0.69	-2.488	-1.574	-1.822	-1.135	-2.578	-1.739	-1.698	0.405	0.61	-0.733	0.127	0.504
"YJL177W"	-3.2765	-3.7865	-4.132	-3.846	-3.2	-5.49	-2.648	-1.502	-3.409	-5.074	0.425	-0.142	-0.339	-0.158	0.507	-2.196	0.022	-3.293	-2.989	-2.467	-1.998	-1.701	-4.72	-4.004	-4.54	-4.115	-3.056	0.899	0.205	0.747	-0.127	0.656
"YJR070C"	-4.828	-4.332	-5.317	-3.975	-3.514	-7.226	-3.689	-0.887	-3.471	-2.102	0.545	-0.099	-0.075	-0.117	0.771	-2.021	-0.339	-4.7655	-0.279	-0.994	-3.489	-2.399	-3.069	-2.355	-3.754	-3.104	-2.692	0.604	0.877	-0.528	-0.418	1.042
"YJR123W"	-3.5655	-4.258	-3.844	-3.276	-3.279	-9.147	-2.017	-1.138	-3.809	-4.282	0.516	-0.387	-0.629	-0.165	0.574	-2.04	-0.275	-3.445	-3.013	-2.124	-1.549	-1.749	-4.305	-3.113	-3.711	-4.025	-2.566	1.017	0.307	0.826	-0.189	1.152
"YJR145C"	-2.8575	-3.3335	-4.507	-3.488	-3.177	-6.528	-2.54	-1.641	-3.551	-4.857	0.297	-0.21	-0.477	-0.2	0.413	-1.921	-0.195	-2.7805	-3.245	-1.484	-1.105	-1.972	-4.335	-3.373	-4.108	-3.771	-2.74	0.957	0.245	1.271	-0.629	1.606
"YKL009W"	-4.1895	-4.13	-5.997	-3.719	-3.38	-6.168	-3.014	-0.576	-3.144	-4.341	0.208	-0.059	0.232	0.222	1.061	-1.783	0.243	-4.4285	-1.056	-0.877	-3.175	-1.573	-2.602	-2.728	-4.823	-3.636	-3.036	0.727	-0.068	-0.211	-0.428	1.201
"YKL151C"	4.45	4.63	3.642	2.407	1.558	-0.685	2.405	0.578	1.609	0.711	0.399	0.564	1.335	0.877	-0.273	1.704	0.577	4.996	0.527	1.649	1.438	2.026	3.213	2.768	3.988	2.909	2.395	-0.383	0.109	0.196	-0.085	-0.062
"YKL181W"	-2.822	-2.81	-3.28	-1.879	-1.488	-4.28	-2.097	-0.603	-2.604	-1.405	0.49	-0.074	-0.32	-0.478	0.666	-1.0	-0.08	-2.802	-1.23	-0.576	-1.11	-2.017	-2.367	-2.119	-2.308	-2.024	-1.566	0.601	0.684	0.463	0.434	0.344
"YLL011W"	-2.297	-3.65	-4.731	-2.872	-2.311	-4.961	-1.61	-0.639	-3.053	-3.178	-0.128	0.501	0.742	0.539	0.542	-1.333	-0.096	-3.689	-0.147	0.42	-1.949	-0.706	-2.144	-1.596	-2.793	-2.117	-1.573	0.224	0.109	0.059	0.034	0.739
"YLR044C"	0.691	0.567	-2.007	-2.635	-1.83	-6.198	-1.592	-0.326	-1.634	-2.978	0.385	0.025	-0.701	0.056	0.605	0.404	0.045	0.401	1.389	-0.761	-2.265	-2.149	-3.282	-3.407	-2.618	-3.903	-3.397	0.916	0.931	1.364	0.803	0.586
"YLR062C"	-3.557	-4.079	-4.53	-4.418	-3.352	-6.896	-2.606	-1.355	-3.6	-4.96	-0.109	-0.096	-0.054	-0.054	0.609	-2.245	-0.549	-3.134	-2.559	-2.434	-1.24	-1.98	-3.806	-3.723	-4.54	-4.001	-2.894	0.622	-0.393	0.413	0.618	0.598
"YLR185W"	-2.305	-2.948	-4.508	-3.498	-3.001	-5.928	-2.356	-1.23	-2.94	-4.019	0.136	-0.186	-0.173	-0.13	0.874	-2.242	-0.165	-2.487	-2.434	-0.02	-0.199	-0.561	-3.712	-3.007	-3.488	-3.242	-2.643	0.191	-0.565	0.403	0.121	0.485
"YLR186W"	-2.976	-2.122	-4.787	-2.844	-2.506	-5.516	-2.004	-0.589	-3.036	-2.372	0.682	0.065	0.127	-0.02	0.65	-1.521	-0.16	-3.083	-0.539	-0.035	-1.897	-2.138	-3.381	-2.552	-4.173	-2.896	-1.936	0.739	0.75	0.423	-0.571	0.622
"YLR197W"	-4.76	-5.179	-5.817	-3.612	-3.173	-5.242	-3.387	-1.088	-3.899	-5.671	0.241	-0.52	-0.335	-0.496	0.371	-1.869	0.363	-5.072	-1.809	-0.929	-3.38	-2.979	-4.983	-3.17	-4.545	-3.045	-2.593	0.384	0.801	0.245	-0.161	0.908
"YLR249W"	-4.232	-4.758	-6.529	-4.864	-4.043	-6.742	-2.985	-0.973	-3.879	-4.679	0.591	-0.462	-1.167	-0.574	0.426	-1.42	-0.562	-4.59	-2.506	-1.845	-3.757	-3.15	-5.053	-5.102	-5.085	-4.9	-3.269	0.535	1.554	1.513	0.851	0.492
"YLR409C"	-3.696	-3.852	-4.402	-2.709	-2.6	-4.211	-2.874	-0.618	-2.308	-2.708	-0.415	0.442	0.204	0.191	0.342	-1.55	-0.069	-4.473	-0.837	-0.257	-1.345	-1.632	-2.143	-1.648	-3.231	-1.992	-1.204	0.341	0.362	-0.253	0.048	0.597
"YLR448W"	-2.821	-3.482	-4.815	-3.882	-3.116	-5.971	-2.157	-0.947	-3.425	-4.891	0.313	-0.074	-0.19	-0.189	0.563	-2.034	-0.583	-2.983	-1.903	-1.145	-0.922	-1.149	-4.85	-3.788	-4.791	-4.505	-3.161	0.568	-0.45	0.328	0.064	0.646
"YML022W"	-2.749	-2.982	-3.236	-1.772	-1.782	-3.98	-2.206	-1.443	-3.223	-2.802	0.658	-0.211	-0.411	-0.385	0.036	-1.501	0.028	-2.765	-0.09	-1.279	-2.425	-1.843	-1.063	-0.857	-2.661	-1.545	-1.447	0.306	-0.274	-0.216	-0.542	0.554
"YML026C"	-3.139	-3.539	-3.811	-3.779	-3.236	-5.271	-2.504	-1.498	-3.779	-3.572	0.341	-0.141	-0.094	0.095	0.621	-2.254	-0.228	-3.032	-3.733	-2.353	-2.054	-0.905	-4.522	-3.396	-4.595	-3.765	-2.94	0.625	-0.318	0.505	0.949	0.999
"YML073C"	-3.093	-3.742	0.912	-3.01	-3.061	-6.033	-2.298	-1.28	-3.5	-4.919	1.286	-0.173	-0.111	-0.133	0.481	-2.025	-0.304	-3.187	-1.4	-1.065	-1.846	-2.371	-2.783	-3.737	-3.765	-3.151	-2.415	0.24	-1.115	-0.482	0.757	0.268
"YMR014W"	-2.533	-2.14	-3.923	-1.56	-1.6	-4.826	2.39	0.228	-2.229	-2.668	0.296	0.149	0.638	0.516	0.234	-1.295	-0.032	-2.796	1.479	0.518	-1.545	-1.656	-2.793	-2.888	-3.974	-2.269	-2.581	0.272	0.282	-0.486	0.176	0.558
"YMR079W"	-1.182	-1.131	-0.105	-1.356	-0.685	-3.648	-0.788	-0.453	-2.164	-2.011	0.9	-0.008	-0.57	-0.548	0.516	-0.283	-0.625	-1.171	-0.567	-1.076	-0.997	-1.483	-2.383	-1.935	-2.232	-2.162	-1.733	-0.193	0.642	0.591	-0.575	1.129
"YMR229C"	-3.288	-4.5955	-6.1495	-3.5335	-3.765	-5.288	-2.8345	-0.8895	-2.914	-4.826	0.907	0.187	0.0065	-0.532	0.252	-2.115	-0.092	-4.3425	-0.1965	-0.9145	-2.946	-1.469	-3.4135	-2.548	-3.9575	-2.553	-2.0965	0.3845	-0.0785	-0.6645	-0.2225	0.0655
"YNL069C"	-2.865	-3.347	-3.663	-3.006	-2.506	-4.824	-2.585	-1.387	-3.44	-4.269	0.052	-0.141	-0.334	-0.315	0.764	-1.844	0.306	-2.91	-2.465	-1.112	-2.637	-2.144	-3.601	-3.131	-3.741	-3.469	-3.02	0.418	-0.104	0.465	1.332	0.819
"YNL096C"	-2.881	-3.202	-4.113	-3.765	-3.642	-6.106	-2.454	-0.912	-3.331	-4.716	0.388	-0.166	-0.09	-0.167	0.417	-2.448	-0.482	-2.812	-2.243	-0.537	-0.37	-1.444	-3.52	-2.764	-3.087	-3.372	-2.098	0.462	0.083	0.664	-0.437	0.905
"YNL119W"	-2.438	-3.435	-6.697	-3.692	-2.694	-6.231	-2.598	-1.052	-3.359	-3.55	-0.02	-0.267	-0.351	-0.147	0.468	-1.613	-0.033	-2.524	-2.542	-1.819	-1.86	-1.688	-3.587	-2.801	-4.042	-2.748	-2.546	0.26	0.08	0.493	0.348	1.115
"YNL149C"	-0.863	-1.272	-1.159	-1.488	-0.656	-2.948	-0.429	-0.461	-1.32	-0.989	0.436	0.086	0.161	0.276	0.515	-0.073	0.685	-1.958	2.495	-0.282	0.377	0.224	-1.478	-0.715	-2.535	-1.999	-1.13	0.468	-0.261	0.414	0.206	0.082
"YNL150W"	-0.949	-1.359	-1.878	-1.962	-0.855	-2.283	-0.695	-0.487	-1.072	-1.206	0.319	-0.346	-0.028	0.043	0.411	-0.118	0.328	-1.681	-1.078	0.039	0.496	1.196	-1.362	-0.752	-2.07	-1.729	-1.417	0.428	-0.343	0.187	-0.463	0.183
"YNL209W"	-4.441	-4.707	-3.795	-3.591	-3.12	-5.803	-2.699	-1.756	-3.728	-4.059	0.166	-0.253	-0.849	-0.22	0.494	-1.517	-0.118	-4.616	-2.377	-1.591	-2.998	-2.951	-4.586	-3.709	-4.209	-4.158	-3.075	0.462	0.626	0.923	-0.625	0.877
"YNL313C"	-2.935	-3.02	-4.999	-2.695	-2.073	-5.714	-2.852	-0.297	-3.129	-2.839	0.273	0.558	0.324	0.038	0.446	-0.962	0.007	-3.009	-0.744	0.703	-1.434	-1.821	-1.867	-1.835	-3.85	-2.129	-1.672	0.14	0.319	-0.047	-0.507	0.656
"YOL022C"	-2.29	-2.301	-1.8955	-1.2855	-1.054	-4.073	-1.7425	-0.1915	-2.0495	-1.88	0.129	-0.03	0.235	-0.185	0.0635	-0.683	0.228	-2.13	-0.592	-0.148	-1.153	-1.46	-2.213	-1.709	-2.775	-1.991	-1.02	0.497	-0.007	-0.102	0.232	0.553
"YOL040C"	-3.012	-3.574	-0.886	-3.313	-1.742	-6.413	-1.1735	-1.366	-3.385	-3.938	0.111	-0.238	-0.234	-0.169	1.232	-2.03	-0.379	-3.277	-2.517	-0.721	-0.957	-1.219	-4.411	-3.555	-3.746	-3.451	-2.823	0.632	0.047	0.934	-0.676	0.65
"YOL077C"	-5.22	-4.28	-5.186	-0.2885	-3.087	-6.552	-2.1355	-0.837	-4.174	-3.705	0.129	-0.157	0.039	-0.245	-0.5905	-2.119	0.342	-4.7	-1.581	-0.672	-2.624	-2.431	-2.855	-2.586	-5.145	-2.894	-2.392	0.503	0.221	-0.305	0.318	-0.03
"YOL124C"	-4.247	-3.145	-1.6095	-1.266	-0.9985	-0.8855	-1.895	0.3425	-1.787	-3.058	0.28	0.54	0.667	0.413	0.628	-1.8105	-0.316	-4.313	-1.262	-0.699	-1.169	-1.724	-3.721	-2.651	-4.431	-2.893	-2.185	0.669	-0.943	-0.027	0.92	0.329
"YOR206W"	-5.083	-4.513	-5.827	-2.568	-2.0395	-6.4785	-2.919	-0.1925	-3.1625	-3.888	-0.069	0.272	0.378	0.181	0.537	-1.716	0.293	-5.066	-1.817	-0.542	-3.513	-2.427	-3.193	-2.539	-4.817	-2.585	-1.507	-0.08	-0.023	-0.511	1.019	0.611
"YOR271C"	-1.934	-2.644	-3.7765	-2.0775	-1.7895	-2.9995	-0.8095	-0.269	-2.9595	-1.553	0.413	-0.169	-0.25	-0.484	0.2035	-0.8405	0.234	-2.005	-0.808	-1.246	-1.371	-2.071	-3.724	-3.078	-3.946	-2.638	-2.47	0.525	1.339	0.699	0.222	0.604
"YOR309C"	-5.523	-5.514	-6.798	-4.4185	-4.0545	-6.859	-3.07	-0.975	-3.709	-5.839	0.044	-0.331	-0.254	-0.411	0.372	-1.968	0.686	-4.939	-1.43	-0.497	-2.996	-2.499	-2.543	-3.28	-4.097	-3.518	-2.477	0.005	-1.056	-1.152	-1.202	0.334
"YPL079W"	-3.115	-3.828	-4.616	-4.1965	-3.787	-6.4765	-2.527	-1.563	-3.085	-4.735	0.227	-0.011	0.022	-0.248	0.358	-2.1725	-0.575	-3.135	-1.236	-0.53	-1.893	-1.659	-2.865	-2.753	-3.573	-3.431	-2.725	0.848	-0.369	0.382	-0.507	0.819
"YPL090C"	-3.529	-3.965	-3.9615	-3.256	-2.7785	-6.197	-2.01	-1.263	-3.398	-5.307	0.054	-0.113	-0.095	0.154	0.491	-2.16	0.558	-3.272	-1.293	-2.454	-2.794	-2.576	-4.244	-3.265	-4.101	-3.571	-2.951	0.589	-0.248	0.498	0.43	0.416
"YPL183C"	-1.925	-2.585	-3.014	-2.069	-1.767	-3.957	-1.459	-0.3775	-2.1075	-2.335	0.222	0.168	-0.06	0.169	0.294	-1.281	-0.72	NaN	-1.402	-1.16	-0.7385	-0.129	-2.605	-2.4425	-2.8755	-2.0785	-1.577	0.1495	-0.132	-0.1165	-0.658	0.329
"YPL198W"	-3.084	-3.342	-4.269	-3.194	-2.836	-6.879	-2.7345	-1.2855	-3.4825	-3.875	0.278	-0.02	-0.062	0.027	0.6025	-2.012	-0.38	-2.581	-0.946	-1.174	-1.8535	-1.3935	-4.2325	-3.528	-3.4955	-4.5575	-2.68	0.7115	-0.1685	0.3605	-0.205	1.1855
"YPR102C"	-3.37	-4.232	-3.521	-3.2315	-3.2945	-6.451	-1.9585	-1.274	-3.5055	-4.644	0.355	-0.07	-0.164	0.154	0.4635	-2.162	0.444	-3.007	-2.297	-1.579	-1.443	-2.037	-3.927	-2.614	-4.015	-3.517	-2.547	0.697	-0.527	0.581	-0.034	0.961
"YPR110C"	-3.52	-3.728	-5.7185	-3.423	-3.2115	-6.318	-2.6255	-0.9515	-3.01	-3.88	0.955	0.179	-0.016	0.038	0.264	-1.359	-0.895	-3.168	-0.413	-1.337	-2.196	-2.065	-2.851	-1.853	-3.882	-3.113	-2.597	0.539	0.362	0.221	0.186	0.561
"YPR163C"	-3.276	-3.939	-3.6815	-2.265	-2.266	-5.4905	-2.1035	-0.56	-2.5635	-3.136	1.151	-0.278	-0.286	-0.273	0.4285	-1.1135	-0.259	-3.572	-1.509	-0.972	-2.378	-2.41	-3.506	-3.14	-3.575	-2.873	-2.034	0.589	-0.853	-0.139	-0.307	0.512
