	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1009.YPD 2 h (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6824.Sporulation t0"	"7530.DBY msn2msn4 37C - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21635..24 mM H2O2- 0 minutes"	"21654..24 mM H2O2- 275 minutes"	"21655..24 mM H2O2- 014 minutes"	"21664..24 mM H2O2- 170 minutes/redo"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32250.DBY8778_heat_shock2_0min"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34351.wt_hypo_osmotic_shock_60min"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"
"YLR197W"	-3.755	-4.98	-4.044	-3.638	-4.76	-5.179	-3.466	-2.263	-2.63	-1.881	-5.817	-3.173	-4.736	-5.242	-3.387	-3.899	0.348	-4.976	-5.033	-0.183	-0.809	1.334	1.415	0.363	0.353	0.038	-3.026	-2.075	-5.072	-0.23	0.141	0.247	0.489	0.264	-0.173	-1.449	0.806	-0.108	0.723	-2.322	-4.496	-2.603	-0.567	-2.979	-2.771	-3.077	-1.921	-4.151	-1.612	-4.545	0.024	0.025	-2.647	-2.994	-2.559	-0.544
"YLR221C"	-1.904	-3.146	-2.286	-2.172	-2.998	-2.528	-1.949	-2.179	-1.971	-1.691	-2.998	-1.521	-1.317	-1.577	-1.622	-1.591	-0.119	-1.674	-1.643	0.363	-0.578	0.846	0.792	-0.197	-0.104	-0.083	-0.872	-0.411	-3.231	-0.462	0.145	0.1	-0.592	0.172	-0.384	-0.34	0.754	0.653	-0.529	-2.169	-3.034	-2.382	-1.054	-1.007	-1.565	-1.632	-1.711	-2.79	-1.899	-3.361	0.483	-0.335	-1.255	-1.794	-1.033	-0.886
"YLR276C"	-3.536	-4.199	-3.855	-3.331	-3.732	-4.143	-3.073	-2.616	-1.884	-1.687	-4.467	-1.657	-3.174	-5.399	-2.381	-2.386	-0.082	-3.17	-3.081	0.2	-0.636	0.995	0.929	0.496	-0.113	0.217	-2.204	-1.363	-2.51	0.404	0.005	-0.227	-0.948	-0.872	1.436	-1.329	-0.122	0.009	-1.118	-3.95	-4.014	-2.707	-1.724	-1.612	-1.921	-1.514	-1.718	-2.803	-1.384	-3.838	0.181	-0.288	-2.272	-1.937	-1.878	-0.911
"YLR409C"	-4.088	NaN	-3.176	-2.574	-3.696	-3.852	-3.427	-2.715	-2.325	-1.686	-4.402	-2.6	-3.204	-4.211	-2.874	-2.308	0.033	-3.315	-3.47	0.39	-0.591	0.95	0.851	-0.069	0.488	0.494	-2.351	-1.934	-4.473	-0.123	-0.366	0.754	-0.299	-0.473	-0.517	-0.384	-0.144	-1.04	-1.0	-3.152	-2.812	-1.603	-1.405	-1.632	-1.689	-0.242	-1.601	-2.584	-1.453	-3.231	0.191	-0.519	-1.271	-1.554	-1.761	-1.094
"YML130C"	2.3055	1.602	1.879	1.671	2.163	0.9395	1.178	2.026	1.921	2.311	-0.605	-1.2595	-0.2125	-1.421	-0.2115	-0.8835	0.22	-1.297	-1.2445	-0.105	0.554	0.283	-0.239	-0.183	-0.425	-0.217	-0.415	-0.685	1.31	-0.184	-0.163	0.246	0.668	0.274	0.091	0.402	0.669	0.303	1.2	2.775	1.892	1.279	0.624	-1.306	-0.373	-1.093	-1.07	1.662	1.462	-0.475	0.127	-0.053	-0.186	0.391	-0.085	-0.147
"YML131W"	1.604	1.256	0.744	1.533	2.116	1.871	1.305	3.926	3.755	2.906	2.58	2.795	2.369	0.75	1.299	2.523	0.125	0.489	0.717	0.429	-0.061	-0.127	-0.153	0.629	0.017	-0.003	0.842	0.356	2.199	-0.07	0.02	0.211	0.612	-0.083	-0.008	0.173	-0.226	-0.007	1.815	3.3	2.26	1.25	0.346	-1.061	-1.087	-1.713	-1.419	1.505	1.117	2.396	-0.089	0.142	1.543	1.675	1.668	-0.505
"YMR049C"	7.071	0.0	3.17	NaN	NaN	3.087	-3.283	-2.762	-2.924	-2.158	-5.984	-2.864	-4.225	-9.471	-3.313	-3.131	0.078	-3.396	-4.217	0.221	-0.7	1.353	1.159	-0.006	-0.808	0.266	-2.525	-2.4	1.822	0.384	0.222	0.485	0.395	-0.122	0.182	-0.165	-0.56	0.171	-1.163	-3.342	-4.877	-3.19	-1.266	-2.407	-2.619	-2.63	-1.793	-3.736	-1.933	-4.037	-0.492	-0.377	-2.708	-2.68	-2.602	-1.054
"YMR131C"	-3.068	-4.819	-4.183	-3.849	-4.525	-4.347	-3.041	-2.255	-2.188	-1.713	-5.631	-3.811	-5.052	-6.665	-3.153	-3.547	-0.227	-5.241	-4.266	-0.1	-0.812	0.745	0.569	0.184	-0.107	0.359	-2.821	-2.023	-4.674	-0.051	0.014	0.262	-0.333	-0.251	0.183	-1.149	-0.185	-0.845	-1.032	-2.123	-3.866	-3.136	-1.519	-2.516	-2.424	-2.153	-2.254	-3.736	-2.16	-4.181	-0.096	-0.536	-2.149	-3.389	-2.21	-0.383
"YNL002C"	-3.547	-4.666	-4.07	-3.305	-4.559	-4.222	-3.653	-2.627	-2.564	-1.766	-5.196	-2.785	-2.73	-3.468	-2.839	-3.072	0.092	-2.592	-2.588	-0.257	-0.56	1.193	0.982	0.756	0.143	0.328	-1.859	-1.348	-4.603	-0.207	0.157	0.549	-0.476	0.154	0.144	0.333	1.405	0.996	-0.753	-3.249	-3.481	-2.594	-1.228	-1.322	-1.407	-1.688	-1.171	-3.245	-1.514	-4.466	0.021	-0.561	-2.083	-1.86	-1.552	-1.401
"YNL132W"	-2.988	-4.679	-5.146	-3.658	-3.329	-4.954	-4.644	-2.754	-3.143	-2.262	-5.826	-2.815	-4.956	-6.392	-3.883	-3.285	0.12	-4.377	-4.049	0.05	-1.191	1.683	1.79	-0.75	-0.63	0.103	-3.96	-2.775	-3.45	0.083	0.001	0.096	-0.474	0.557	-0.05	0.242	0.719	0.274	-0.608	-3.651	-4.311	-2.617	-1.778	-2.553	-1.711	-2.293	-1.116	-3.564	-1.263	-3.989	-0.42	-0.656	-2.333	-1.182	-2.393	-1.541
"YNL141W"	-3.887	-3.622	-3.468	-3.233	-3.112	-3.624	-2.686	-3.483	-3.387	-3.008	-5.105	-3.239	-3.37	-4.776	-2.744	-2.833	0.31	-3.946	-3.935	-0.16	-1.542	1.201	1.236	-0.14	-0.622	0.54	-2.63	-3.044	-3.291	-0.322	-0.058	-0.804	-0.902	-1.401	-0.682	-0.697	-0.167	0.243	-1.335	-3.806	-3.821	-2.855	-1.942	-2.623	-3.155	-2.506	-1.447	-3.973	-2.615	-4.363	0.174	-1.375	-2.202	-2.13	-2.406	-1.821
"YOL077C"	-4.404	-5.439	-5.04	-4.336	-5.22	-4.28	-1.4925	-2.83	-2.938	-2.428	-5.186	-3.087	-3.02	-6.552	-2.1355	-4.174	0.172	-3.894	-4.326	-0.072	-1.178	0.978	1.214	0.342	-0.291	0.212	-2.237	-2.567	-4.7	0.13	0.218	0.475	-0.08	0.445	0.141	-1.143	-0.051	0.523	-0.76	-4.174	-4.969	-3.866	-1.991	-2.431	-2.784	-2.124	-1.955	-4.679	-2.579	-5.145	0.187	-0.323	-2.418	-2.762	-2.379	-1.196
"YOL101C"	-1.913	-2.322	-2.322	-2.322	-1.758	0.974	2.322	-2.308	-2.008	-1.984	-0.322	NaN	3.954	2.964	1.459	0.794	-0.042	-1.017	-1.015	-0.375	-1.321	2.374	0.726	-0.596	-0.598	0.13	-0.412	-0.412	-1.811	0.229	0.129	-0.999	-0.305	-0.925	-0.112	0.475	1.021	-0.219	-1.799	-2.61	-2.787	-2.662	-1.673	0.462	-1.098	-1.338	NaN	-2.003	-2.858	-1.957	-0.408	-1.401	-1.301	-1.238	-1.188	1.156
"YOR145C"	-3.045	-3.98	-3.795	-2.871	-3.492	-3.402	-2.2695	-2.441	-1.805	-1.614	-4.1305	-1.7885	-1.5065	-3.4715	-1.3615	-2.7235	0.079	-0.948	-0.797	-0.384	-1.044	1.009	0.499	0.246	-0.142	0.119	-0.405	-0.409	-3.948	0.265	0.071	0.446	-0.452	-0.061	-0.373	-0.288	0.14	0.495	-1.204	-3.355	-3.644	-2.806	-1.565	-1.406	-1.039	-1.897	-1.201	-3.265	-1.728	-4.493	-0.086	-0.145	-2.139	-1.717	-1.933	-2.032
"YOR206W"	-3.294	-5.087	-3.702	-3.585	-5.083	-4.513	-3.849	-2.894	-2.77	-1.859	-5.827	-2.0395	-3.681	-6.4785	-2.919	-3.1625	0.141	-3.692	-3.694	-0.078	-0.661	1.327	1.209	0.293	0.212	0.254	-3.051	-1.987	-5.066	0.154	-0.11	-0.236	-0.207	-0.339	-1.476	-0.413	0.358	0.504	-1.036	-3.782	-3.839	-2.816	-1.474	-2.427	-3.504	-3.194	-2.63	-4.003	-1.781	-4.817	-0.275	-0.454	-2.558	-2.475	-2.141	0.949
"YOR310C"	-4.866	-5.053	-4.365	-3.309	-4.639	-3.004	-3.57	-2.348	-2.686	-1.831	-6.006	-3.4655	-4.7765	-7.1385	-3.101	-3.766	0.437	-5.099	-4.866	0.049	-0.666	1.702	1.407	0.101	-0.426	0.316	-3.457	-2.411	-4.948	0.0	-0.212	-0.107	0.115	0.773	-0.394	-1.526	-1.249	-0.753	-0.504	-3.619	-4.326	-3.006	-1.468	-3.205	-3.567	-3.426	-1.99	-4.099	-2.39	-5.14	-0.968	-0.387	-2.639	-2.241	-2.539	-0.662
"YPL126W"	-3.103	-3.932	-1.959	-2.858	-2.989	-3.334	-2.3755	-2.358	-1.993	-1.979	-4.3895	-1.398	-4.339	-3.4745	-2.2715	-2.192	-0.129	-3.201	-4.126	0.035	-0.963	1.234	1.334	-0.466	-0.93	0.359	-2.423	-1.427	-1.407	-0.138	0.047	-0.476	0.067	-0.449	-0.729	-1.118	-0.797	-1.122	-0.848	-3.919	-4.983	-3.147	-1.175	-1.84	-1.695	-0.927	-0.978	-4.497	-1.602	-4.666	-0.487	-0.606	-2.18	-3.284	-1.737	-2.469
"YPL226W"	-3.629	-3.457	-3.002	-2.4945	-3.229	-4.183	-2.459	-1.99	-1.997	-1.50333333333333	-4.86566666666667	-2.57633333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-0.0175	-2.9025	-3.983	-0.253	-0.62	1.2195	1.301	-0.575	-0.482	0.402	-2.3605	-2.272	-3.215	-0.021	-0.057	-0.3815	-1.0195	-0.967	0.076	-0.8915	-0.761	-0.7465	-0.446	-2.55	-3.076	-2.041	-1.164	-1.494	-2.334	-0.68	-1.655	-3.793	-0.845	-3.811	-0.066	-0.16	-1.494	-1.763	-1.471	-1.723
"YPR110C"	-1.58	-3.178	-3.084	-2.507	-3.52	-3.728	-2.207	-1.572	-2.073	-1.383	-5.7185	-3.2115	-3.662	-6.318	-2.6255	-3.01	0.151	-3.212	-3.358	0.137	-0.966	1.389	1.232	-0.895	-0.598	0.106	-1.911	-1.505	-3.168	-0.044	0.331	-0.316	-0.281	-0.324	-0.003	-1.08	-1.25	1.178	-0.697	-2.665	-3.436	-2.354	-1.182	-2.065	-2.146	-2.061	-1.381	-3.503	-1.15	-3.882	-0.34	-0.491	-1.564	-2.129	-1.842	-1.787
"YPR112C"	-0.562	-0.627	-2.839	-2.907	-1.994	-3.273	-2.4735	-1.585	-2.899	-2.3645	-3.443	-2.345	-1.7485	-3.311	-2.478	-2.1835	-0.205	-2.48	-1.838	-0.211	-0.617	1.561	1.255	-0.166	-0.318	0.146	-1.7	-1.787	-3.648	-0.074	-0.531	0.041	-1.416	0.08	-0.083	-0.733	-0.145	0.624	-1.179	-3.222	-4.543	-3.417	-2.222	-2.053	-2.867	-1.737	-2.395	-3.013	-2.588	-3.372	-0.007	-0.966	-2.092	-2.82	-2.349	-1.625
