	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"513.2.5mM DTT 015 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"971.1mM Menadione (40 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"11466.yO1 test hyb"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"
"YJL023C"	0.2755	0.39	-0.381	-0.023	0.31	0.103	0.069	0.209	1.328	1.182	1.516	1.307	1.32	1.435	1.408	0.737	0.619	0.836	0.848	0.872	-0.038	0.0735	1.013	0.88	0.578	0.731	2.123	1.426	0.904	1.013	0.851	0.888	-0.574	0.913	0.737	1.083	1.039	1.423	0.454	1.4805	0.277
"YJL103C"	0.6805	1.3185	0.0	0.33	0.367	0.172	0.315	1.016	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	1.735	2.684	2.107	1.985	1.467	0.978	3.108	2.803	2.436	3.198	3.063	3.151	2.006	2.229	2.668	0.352	-1.574	1.466	1.552	1.399	1.989	2.047	0.425	2.663	1.0455
"YJL166W"	0.4355	1.4775	-0.484	0.812	0.672	0.613	0.518	1.002	3.137	3.667	3.5	3.101	2.498	3.751	3.849	2.392	2.57	2.339	2.197	2.526	0.133	0.283	3.028	2.833	2.507	2.963	3.264	3.664	3.32	1.878	1.383	1.113	-1.748	1.237	1.203	0.888	0.837	1.48	0.559	3.809	0.992
"YJR157W"	0.0095	-0.109	-0.854	-0.4845	-0.318	-0.102	0.126	-0.313	-0.017	0.984	1.848	1.291	2.06	1.695	1.754	0.234	0.478	0.804	0.268	1.87	0.383	0.061	0.896	0.714	0.827	1.195	2.243	1.993	2.197	0.35	0.688	1.147	-1.369	0.275	0.674	0.188	0.252	0.047	-0.481	1.098	0.405
"YJR160C"	-0.238	0.027	-0.489	-0.436666666666667	0.0805	0.0945	0.1945	-0.2095	0.955	1.01	0.756	1.1605	0.8345	1.4435	0.741	-0.369	0.4755	0.4185	0.4685	0.86	-0.235	-0.021	0.901	0.458	0.842	0.401	1.4515	1.488	1.6405	-0.232	0.108	0.4425	-1.3575	0.3435	0.618	0.3695	0.195	0.515	-0.2435	0.2675	0.3945
"YKL187C"	0.323	1.793	-1.008	-0.172	0.198	0.085	0.118	3.093	3.195	4.289	4.917	4.657	5.015	3.151	5.575	1.311	1.255	3.166	3.771	3.338	-0.079	0.031	1.695	3.45	2.909	2.31	4.717	5.088	4.51	2.306	3.834	2.083	-1.311	0.259	0.455	0.572	0.901	-0.015	0.145	2.829	2.901
"YKL217W"	-1.467	0.874	-0.627	-0.348	-0.528	-0.026	-0.351	0.272	5.715	6.332	5.482	5.515	5.188	5.504	6.057	4.078	3.919	4.968	4.881	4.935	-0.073	-0.077	5.204	5.036	4.489	4.2	6.184	7.178	6.94	3.613	4.249	3.157	-1.386	-0.225	0.068	0.003	0.252	0.489	-0.376	5.542	3.396
"YKR097W"	0.27	0.427	-0.117	0.237	0.378	0.024	-0.136	-0.1	5.028	6.83	7.19	6.862	7.33	5.367	5.07	1.13	0.807	0.58	5.974	6.148	-0.396	0.1	6.922	6.534	5.735	5.448	6.528	6.693	5.565	0.553	4.283	5.059	-0.821	1.384	2.05	3.289	3.323	4.123	0.091	4.982	3.367
"YLL016W"	-0.418	-0.304	-0.0555	-1.031	-0.447	0.1125	-0.2705	-0.45	0.285	0.5345	0.2175	0.962	1.3555	1.7065	1.945	-0.014	-0.1555	-0.2235	0.3995	0.077	0.055	-0.1695	0.469	0.5605	0.9775	0.6435	1.857	1.6455	1.3695	0.296	1.331	1.454	-1.153	-0.1655	0.803	1.0265	0.7285	0.4825	-0.622	1.505	0.013
"YLL041C"	1.578	1.933	-0.662	0.107	0.588	0.27	0.771	1.077	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.48	2.342	2.74	2.712	2.855	1.002	0.753	4.827	4.436	3.693	3.746	4.25	4.703	3.334	2.67	2.991	3.417	-0.938	0.627	1.415	1.799	1.493	2.09	-0.235	4.704	1.27
"YLL056C"	-0.834	0.313	-0.027	-0.77	-0.621	-0.005	-0.239	0.178	1.224	0.963	1.119	1.573	1.698	1.624	2.137	0.576	0.754	0.956	1.055	1.298	0.089	0.226	0.52	1.017	1.396	1.478	1.672	1.402	0.929	0.75	0.862	1.61	-1.215	0.135	0.89	0.9	0.82	1.086	-0.396	1.469	0.345
"YLR094C"	-0.054	0.303	-0.454	-1.145	-3.792	-0.318	-0.865	-0.491	0.898	1.178	0.905	1.078	1.182	1.366	0.66	0.235	0.343	0.554	0.707	1.154	-0.723	-0.537	0.628	0.509	0.925	1.072	0.831	1.34	1.356	-0.007	0.158	-0.215	-1.204	0.306	0.47	0.468	0.739	-0.159	-0.785	0.357	0.154
"YLR156W"	1.222	0.0	-0.666	0.159	-0.384	0.051	-0.313	0.212	1.281	1.462	1.837	1.612	2.511	3.06	3.101	0.756	0.34	0.48	1.183	0.986	-0.761	0.237	1.719	1.84	2.087	2.291	3.877	3.302	3.197	-0.046	0.433	1.176	-1.075	1.333	1.471	1.324	1.295	0.333	0.017	0.802	0.833
"YLR311C"	0.1	0.222	0.131	-0.294	0.699	0.489	0.377	0.164	3.535	3.882	4.224	3.277	3.765	2.811	3.182	1.644	1.481	2.026	2.73	2.447	-0.35	-0.172	2.587	1.807	2.447	3.128	3.92	3.702	3.13	1.47	2.503	-0.359	-0.885	2.186	2.432	2.609	2.017	2.606	0.361	4.728	0.207
"YLR312C"	-0.49	1.469	-0.547	-0.063	0.924	1.737	0.935	1.064	4.821	5.627	6.446	5.561	5.97	4.818	6.051	3.422	3.545	2.674	4.286	4.34	0.542	0.621	4.955	5.214	4.896	5.569	6.764	7.043	6.406	1.69	2.783	3.462	-2.303	4.649	4.618	4.916	4.296	5.025	1.404	4.571	1.443
"YLR462W"	-0.167	-0.516	-0.866	-0.19	-0.024	0.133	-0.248	-0.404	1.528	1.368	1.055	1.123	1.317	1.509	1.031	0.498	0.62	0.438	0.717	0.952	-0.079	-0.087	0.773	0.839	0.937	0.974	1.87	1.45	1.705	-0.246	0.417	0.607	-0.157	0.819	0.791	0.57	0.882	0.679	0.026	-0.166	0.383
"YMR034C"	0.241	0.386	-0.69	-0.462	-0.038	0.042	0.12	-0.465	0.168	1.792	1.101	0.866	1.503	1.208	1.517	0.201	-0.014	-0.23	0.284	0.484	-0.171	0.317	1.512	1.184	1.228	1.46	2.208	2.014	1.905	-0.693	1.184	-1.461	-0.473	0.016	0.106	0.641	0.789	1.213	-0.025	1.594	0.541
"YMR081C"	0.455	0.796	-0.68	0.373	0.541	2.39	-0.388	1.542	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	5.55	5.535	4.182	4.914	-0.592	0.114	5.537	4.601	3.765	5.056	4.13	4.987	4.226	2.582	2.79	4.371	-0.924	2.369	3.016	3.007	3.482	3.108	0.102	3.912	2.769
"YMR201C"	-0.223	0.17	-1.166	0.151	0.443	-0.297	-0.105	0.164	0.863	1.08	1.125	1.311	1.138	1.621	2.109	0.45	0.229	-0.17	0.249	0.951	0.084	-0.148	0.296	0.42	0.672	0.851	0.88	1.202	1.427	NaN	NaN	0.232	-0.957	0.363	0.592	0.658	0.965	0.775	0.111	0.725	1.046
"YNL009W"	0.367	0.918	-1.024	0.104	1.56	0.049	1.087	0.179	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.261	2.636	1.965	2.771	2.567	-0.123	0.082	2.794	3.455	2.625	2.456	4.699	4.803	3.897	1.628	2.612	2.142	-0.702	1.43	2.776	2.656	2.059	2.155	0.645	2.0	0.087
"YNL333W"	0.097	0.248	-0.956	-0.059	-0.807	0.149	-0.721	0.375	0.735	2.845	2.579	1.719	2.296	2.085	0.845	-0.488	-0.199	0.746	0.994	1.561	-0.086	-0.58	1.173	1.051	1.406	1.004	1.704	2.545	2.445	0.553	0.529	1.585	-1.236	0.149	0.603	0.52	0.433	0.892	-0.147	0.558	0.473
"YOR178C"	0.724	1.968	-0.105	-0.736	2.226	1.467	1.126	1.479	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.6495	2.579	2.623	2.2575	2.2275	-0.719	-0.101	3.591	4.802	5.508	5.525	6.246	5.242	4.229	2.71	2.585	3.538	-2.791	2.812	3.601	3.712	3.702	3.655	0.31	1.444	0.256
"YPL054W"	0.396	1.379	-0.337	-1.229	1.451	0.353	0.687	2.818	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.7285	4.3245	5.1485	4.589	0.651	0.305	0.447	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.839	2.322	4.457	0.202	4.466	4.26	4.568	4.886	4.785	3.153	4.439	2.212
"YPL230W"	2.589	3.373	-0.731	1.896	1.701	1.668	0.864	2.942	5.7835	4.1855	4.254	4.299	4.5545	5.401	6.6385	3.777	4.669	3.9765	3.797	3.6845	0.529	0.729	4.417	4.265	4.16	3.897	5.844	6.611	5.087	1.592	1.862	2.633	-1.008	2.79	3.316	2.787	2.944	3.788	0.704	-0.368	2.742
"YPR026W"	1.103	2.524	-1.5685	0.021	1.176	0.287	-0.856	1.4505	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	1.8575	1.9465	1.637	1.72	0.109	0.487	3.247	3.097	3.589	3.048	3.736	3.344	3.193	0.742	1.976	1.986	-0.947	1.531	1.76	2.032	1.357	0.997	0.705	2.2575	0.6515
